English	Hungarian
black	fekete
blue	kék
brown	barna
gray	szürke
green	zöld
orange	narancs
pink	kicsattanó
red	piros
violet	lila
white	fehér
yellow	sárga
couple	pár
eight	nyolc
eighteen	tizennyolc
eighty	nyolcvan
eleven	tizenegy
fifteen	tizenöt
fifty	ötven
five	öt
forty	negyven
four	négy
fourteen	tizennégy
million	millió
nine	kilenc
nineteen	tizenkilenc
ninety	kilencven
nothing	semmi
one	egy
seven	hét
seventy	hetven
six	hat
sixteen	tizenhat
sixty	hatvan
ten	tíz
third	harmadik
thirteen	tizenhárom
thirty	harminc
thousand	ezer
three	három
arm	kar
back	hát
beak	csőr
blood	vér
body	törzs
bone	csont
brain	agy
breath	légzés
cell	sejt
chest	mell
chest	mellkas
chin	áll
ear	fül
eye	szem
face	arc
finger	ujj
foot	láb
forehead	homlok
gene	gén
hair	haj
hair	hajszál
hand	kéz
head	fej
heart	szív
knee	térd
leg	láb
lip	ajak
mouth	száj
muscle	izom
nail	köröm
neck	nyak
nerve	ideg
nose	orr
skin	bőr
stomach	gyomor
tail	farok
throat	torok
thumb	hüvelykujj
toe	lábujj
tongue	nyelv
tooth	fog
wing	szél
ant	hangya
bear	medve
bee	méh
bird	madár
cat	macska
cow	tehén
dog	kutya
elephant	elefántfélék
fish	hal
fly	légy
goat	kecske
horse	ló
insect	rovar
lion	oroszlán
monkey	majom
pig	disznó
sheep	juh
snake	kígyó
afternoon	délután
age	kor
April	Április
August	augusztus
autumn	ősz
beginning	kezdet
century	évszázad
date	dátum
day	nap
December	December
end	vég
evening	est
February	Február
Friday	Péntek
future	jövő
hour	óra
January	Január
July	Július
June	Június
May	május
midnight	éjfél
minute	perc
moment	pillanat
moment	pillanat
Monday	Hétfő
month	hónap
morning	reggel
night	éjszaka
November	November
now	most
October	Október
past	múlt
pause	szünet
period	fázis
present	jelen
Saturday	Szombat
season	idény
second	másodperc
September	Szeptember
spring	tavasz
summer	nyár
Sunday	Vasárnap
Thursday	Csütörtök
tomorrow	holnap
Tuesday	Kedd
Wednesday	Szerda
week	hét
winter	tél
year	év
bread	kenyér
breakfast	reggeli
butter	vaj
cake	tészta
cheese	sajt
chocolate	csoki
egg	tojás
food	táplálék
fruit	gyümölcs
lunch	ebéd
meal	étel
meat	hús
oil	olaj
rice	rizs
salad	saláta
salt	só
sandwich	szendvics
sauce	mártás
soup	leves
sugar	cukor
beer	sör
coffee	kávé
drink	ital
milk	tej
milkshake	turmix
tea	tea
water	víz
wine	bor
apple	alma
apricot	sárgabarack
banana	banán
blackberry	szeder
cherry	cseresznye
lemon	citrom
nut	dió
orange	narancs
peach	őszibarack
pear	körte
pineapple	ananász
plum	szilva
raspberry	málna
strawberry	eper
bean	bab
cabbage	káposzta
carrot	sárgarépa
cucumber	uborka
garlic	fokhagyma
olive	olajbogyó
onion	vöröshagyma
parsnip	paszternák
potato	krumpli
radish	retek
tomato	paradicsom
baby	kisbaba
birth	születés
birthday	születésnap
boy	fiú
brother	fiú testvér
daughter	lány
death	halál
family	termékcsalád, család
father	apa
friend	barát
girl	lány
grandfather	nagyapa
human	ember
husband	férj
life	élet
man	férfi
marriage	házasság
mother	anya
neighbor	szomszéd
person	személy
relationship	kapcsolat
sister	apáca
son	fiú
wedding	házasságkötés
wife	feleség
woman	asszony
address	cím
bathroom	fürdőszoba
bedroom	hálószoba
brick	tégla
door	ajtó
floor	padló
floor	emelet
garage	garázs
garden	kert
gate	kapu
hall	hall
home	lakhely
house	épület
kitchen	konyha
roof	fedél
room	szoba
shower	zuhany
toilet	vécé
wall	fal
well	kút
window	ablak
bed	ágy
carpet	szőnyeg
chair	szék
cupboard	szekrény
curtain	függöny
desk	íróasztal
furniture	bútor
shelf	polc
sink	mosogató
table	asztal
bag	zsák
boot	csizma
cloth	anyag
clothing	öltözet
coat	kabát
collar	gallér
hat	kalap
jacket	zakó
jewel	ékszer
ring	karika
shirt	ing
shoe	cipő
skirt	szoknya
sock	zokni
suitcase	bőrönd
tie	nyakkendő
air	ég
animal	állati
branch	ág
evolution	evolúció
farm	farm
field	mező
fire	láng
flower	virág
forest	erdő
grass	marihuána
leaf	levél
life	élet
lightning	villámlás
moisture	nedvesség
nature	természet
plant	növény
root	gyökér
sex	nem
sky	ég
sleep	alvás
smell	illat
smoke	füst
spring	forrás
stem	szár
stream	áradat
tree	fa
wave	hullám
weather	idő
world	világ
airport	repülőtér
bank	bank
bridge	híd
building	épület
capital	főváros
castle	vár
church	templom
cinema	mozi
city	város
factory	gyár
flat	lakás
hospital	kórház
hotel	szálloda
library	műsortár
park	park
prison	börtön
restaurant	étterem
road	útvonal
school	iskola
station	állomás
street	utca
structure	építés
subway	földalatti
supermarket	szupermarket
theater	színház
town	város
university	egyetem
village	falu
accident	baleset
boat	csónak
bus	busz
car	autó
express	gyorsvonat
flight	repülés
journey	út
passenger	utas
plane	repülőgép
ship	hajó
track	sín
train	vonat
actor	színész
actress	színésznő
general	tábornok
