Hungarian	﻿English
indít	begin
megtör	break
megszerez	buy
becsuk	close
következik	come
vág	cut
táncol	dance
gyakorol	do
rajzol	draw
iszik	drink
eszik	eat
elesik	fall
tüzel	fire
követ	follow
elfelejt	forget
ad	give
segít	help
remél	hope
ugrik	jump
csókol	kiss
nevet	laugh
tanul	learn
fekszik	lie
hazudik	lie
szeret	like
tárgyal	listen
néz	look
elveszít	lose
szeret	love
mozog	move
kíván	need
kinyit	open
fizet	pay
játszik	play
lehúz	pull
tol	push
helyez	put
olvasás	read
emlékszik	remember
fut	run
mond	say
elad	sell
ül	sit
mosolyog	smile
vesz	take
beszél	talk
értesül	understand
felhasznál	use
vár	wait
megír	write
elfogad	accept
teljesít	achieve
cselekszik	act
hozzáad	add
beismer	admit
egyetért	agree
bejelent	announce
vitatkozik	argue
megérkezik	arrive
kér	ask
megtámad	attack
kikerül	avoid
él	be
visel	bear
eredményez	bring
épít	build
telefonál	call
megváltoztat	change
kiválaszt	choose
osztályoz	classify
hasonlít	compare
tartalmaz	contain
folytat	continue
irányít	control
elkészít	cook
másolás	copy
köhög	cough
összeprésel	crush
sír	cry
eldönt	decide
leír	describe
tervez	design
akar	desire
meghal	die
felfedez	discover
megbeszél	discuss
szétoszt	divide
vezet	drive
bátorít	encourage
befejez	end
növel	enhance
élvez	enjoy
belép	enter
alapít	establish
átad	exceed
létezik	exist
vár	expect
indokol	explain
harcol	fight
megtölt	fill
felfedez	find
kiegyenlít	flush
megbocsát	forgive
felszabadít	free
növekszik	grow
megtörténik	happen
utál	hate
elrejt	hide
tart	hold
felismer	identify
benne van	include
növel	increase
megsebesít	injure
bemutat	introduce
összeköt	join
tart	keep
gyilkol	kill
leszáll	land
megmarad	last
vezet	lead
otthagy	leave
enged	let
emel	lift
korlátoz	limit
betölt	load
bezár	lock
látszik	look
elveszít	lose
vezet	manage
elvesz	marry
egyezik	match
szándékozik	mean
mér	measure
említ	mention
hív	name
birtokol	own
hámoz	peel
tervez	plan
megmérgez	poison
megcsinál	prepare
nyomás	press
nyomtat	print
feldolgoz	process
tiltakozik	protest
kiad	publish
felnevel	raise
becsül	rate
kap	receive
felvesz	record
csökkent	reduce
visszaver	reflect
visszautasít	refuse
eltávolít	remove
visszaad	render
válaszol	reply
beszámol	report
képvisel	represent
kér	request
tisztel	respect
felfed	reveal
megkockáztat	risk
kormányoz	rule
megtakarít	save
kiment	save
lát	see
küld	send
összevarr	sew
osztozik	share
kiabál	shout
megmutat	show
megszagol	smell
áll	stand
marad	stay
leállítás	stop
tanul	study
ajánl	suggest
ellát	supply
támogat	support
meglep	surprise
megízlel	taste
tanít	teach
kipróbál	test
megköszön	thank
dob	throw
kereskedik	trade
betanít	train
megy	travel
kezel	treat
megkísérel	try
forog	turn
meglátogat	visit
jár	walk
melegít	warm
kimos	wash
néz	watch
hord	wear
elnyer	win
