Hungarian	﻿English
körül	about
felett	above
újra	again
majdnem	almost
hosszában	along
már	already
mindig	always
körülbelül	approximately
mint	as
mögött	behind
között	between
keresztül	by
egyenesen	directly
korán	early
mindkét	either
elég	enough
pontosan	exactly
utoljára	finally
eleinte	first
buzgó	forward
itt	here
itt	here
azonban	however
mindjárt	immediately
-ba	in
tényleg	indeed
benn	inside
inkább	instead
volt	late
miután	later
kevés	little
csak	merely
soha	never
nem	not
jelenleg	now
nyilvánvalóan	obviously
gyakran	often
egykor	once
kívül	outside
különösen	particularly
talán	possibly
valószínűleg	probably
gyorsan	quickly
valóban	really
igazán	really
mostanában	recently
lassan	slowly
így	so
csakis	solely
néha	sometimes
nemsokára	soon
még	still
ilyen	such
hirtelen	suddenly
biztosan	surely
akkor	then
tessék	there
ezentúl	therefore
ma	today
együtt	together
holnap	tomorrow
ma este	tonight
is	too
rendszerint	usually
nagyon	very
jó	well
