English	Hebrew
black	שחור
blue	כחול (kakhól)
brown	חום
gray	אפור
green	ירוק
orange	אורנג'
pink	ורוד
red	אדום (adom)
violet	סגול
white	לבן
yellow	צהוב
eight	שמונה
eighteen	שמונה עשרה
eighty	שמונים
eleven	אחד עשר
fifteen	כמשה עשר
fifty	חמישים
five	חמישה
forty	ארבעים
fourteen	ארבע עשרה
million	מיליון
nine	תשעה
nineteen	תשע עשרה
ninety	תשעים
nothing	כלום
one	אחת (ákhat) (f) (used in counting), אחד (ékhad) (m)
seventeen	שבעה־עשר (shivá-asár)
seventy	שבעים
six	שש
sixteen	שש עשרה
sixty	שישים
ten	עשר
thirteen	שלוש עשרה
thirty	שלושים
thousand	אלף
thousand	אלף (élef)
three	שלושה
twenty	עשרים (esrím)
two	שתיים (štáyim) (f) (used for numbering), שניים (šnáyim) (m)
arm	זרוע
back	גב
beak	מקור
blood	דם
body	גו
bone	עצם
brain	מוח
breath	נפש
cell	תא
chest	חזה (m)
chin	סנטר
ear	אוזן
eye	עין
face	פנים
finger	אצבע
foot	כף רגל
forehead	מצח
gene	גן
hair	שיער
hand	יד
head	ראש
heart	לב
knee	ברך
leg	רגל
lip	שפה
mouth	פה
muscle	שריר
nail	ציפורן
neck	צוואר
nerve	עצב
nose	אף
skin	עור
stomach	קיבה
tail	זנב
throat	לוע
thumb	אגודל
toe	אצבעות כף הרגל
tongue	לשון
tooth	שן
wing	כנף
ant	נמליים
bear	דוב
bee	דבורה
bird	ציפור
cat	חתול
cow	פרה
dog	כלב
elephant	פיליים
fish	דג
fly	זבוב
goat	עז
horse	סוס הבית
insect	חרק
lion	אריה
monkey	קוף
pig	חזיר
sheep	כבס
snake	נחש
afternoon	אחר-צהריים
age	גיל
April	אפריל
August	אבגוסט
autumn	סתיו
century	מאה
day	יממה
December	דצמבר
evening	ערב
February	פברואר
Friday	יום שישי
future	עתיד
hour	שעה
January	ינואר
July	יולי
June	יוני
May	מאי
midnight	חצות
minute	דקה
moment	מומנט
Monday	יום שני
month	חודש (hodesh)
morning	בוקר
night	לילה
November	נובמבר
October	אוקטובר
past	עבר
present	הווה
Saturday	יום השבת
season	עונה (oh-NAH)
second	שנייה
September	ספטמבר
spring	אביב
summer	קיץ
Sunday	יום ראשון
Thursday	יום חמישי
Tuesday	יום שלישי
Wednesday	יום רביעי
week	שבוע
weekend	סוף שבוע (m) (Friday and Saturday in Israel)
winter	חורף
year	שנה
bread	לחם
breakfast	ארוחת בוקר
butter	חמאה
cake	עוגה
cheese	גבינה
chocolate	שוקולד
egg	ביצה
food	אוכל
fruit	פרי
lunch	ארוחת צהריים
meal	ארוחה
meat	בשר
oil	שמן
rice	ארז
salad	סלט
salt	מלח
sandwich	לחמניה
sauce	רוטב
soup	מרק
sugar	סוכר
beer	בירה
coffee	קפה
drink	משקה
milk	חלב
milkshake	מילקשייק
tea	תה
water	מים
wine	יין
apple	תפוח
apricot	משמש
banana	בננה
blackberry	תות
cherry	דובדבן
lemon	לימון
nut	אגוז
orange	תפוח
peach	אפרסק
pear	אגס
pineapple	אננס
plum	שזיף
raspberry	פטל
strawberry	תות שדה
bean	שעועית
cabbage	כרוב
carrot	גזר
cucumber	מלפפון
garlic	שום
olive	זית
onion	בצל
parsnip	גזר לבן
potato	תפוח אדמה
radish	צנון
tomato	עגבניה
baby	ינקות
birth	לידה
birthday	יום הולדת
boy	ילד (yéled) (m), בחור (bakhúr) (m)
brother	אח
daughter	בת
death	מוות
family	משפחה
father	אבא
friend	חבר
girl	בת
grandfather	סבא
human	האדם הנבון
husband	בעל
man	גבר
marriage	נישואים
mother	אמא
parent	הורה (hore) (m), הורה (hora) (f)
sister	אחות
son	בן
wedding	חתונה
wife	אישה
woman	אישה
address	כתובת
bathroom	חדר אמבטיה
bedroom	חדר שנה
brick	לבנה
door	דלת
floor	רצפה
floor	רצפה
garage	מוסך
garden	גן
gate	שער
hall	מבואה
home	בית
house	בית מגורים
kitchen	מטבח
roof	גג
room	חדר
shower	מקלחת
toilet	בית שימוש
wall	חומה
well	באר
window	חלון
bed	מיטה
carpet	שטיח
chair	כיסא
cupboard	ארון
curtain	וילון
desk	שולחן (m)
furniture	ריהוט
shelf	מדף
sink	כיור
table	שולחן
boot	מגפיים
cloth	טקסטיל
clothing	ביגוד
coat	מעיל
collar	צווארון (tzavaron)
hat	כובע
jacket	מקטורן
jewel	תכשיט
ring	מעגל
shirt	חולצה
shoe	נעליים
skirt	חצאית
sock	גרב
suitcase	מזוודה
tie	עניבה
air	אוויר
animal	בעל חיים
branch	ענף
evolution	אבולוציה
farm	משק
field	שדה
fire	אש
flower	פרח
forest	יער
grass	עשב
leaf	עלה
life	חיים
lightning	בזק
nature	טבע
plant	צמח
root	בסיס
sex	זוויג
sky	שמיים
sleep	שינה
smell	ריח (m)
spring	מעיין
stream	זרם
tree	עץ
wave	גל
weather	מזג אוויר
world	עולם
airport	נמל תעופה
bank	בנק
bridge	גשר
building	בנין
capital	עיר בירה
castle	טירה
church	כנסייה
cinema	קולנוע
city	עיר
factory	בית חרושת
flat	דירה
hospital	בית חולים
hotel	מלון
library	ספריה
park	פרק
prison	בית כלא
restaurant	מסעדה
road	כביש
school	בית-ספר
station	תחנה
street	רחוב
subway	רכבת תחתית
supermarket	מרכול
theater	תיאטרון
town	עיירה
village	כפר
accident	תאונה
boat	סירה
bus	אבטובוס
car	מכונית
journey	מסע
passenger	נוסע
plane	אבירון
ship	ספינה
track	פס
train	רכבת
actor	שחקן
actress	שחקנית
general	גנרל
journalist	עיתונאי
judge	שופט
leader	מוביל
minister	שר
musician	מוזיקאי
photographer	צלם
pilot	טייס
policeman	שוטר
politician	פוליטיקאי
sailor	יורד ים
secretary	מזכיר
soldier	חייל
writer	סופר
beach	חוף
current	זרם
Earth	כדור הארץ
east	מזרח
height	גבה
hill	גבעה
island	אי
lake	בריכה
land	קרקע
map	מפה
Moon	לבנה
north	צפון
plain	מישור
river	נהר
sea	ים
south	דרום
space	חלל
star	כוכב
sun	שמש
west	מערב
cloud	ענן
dew	טל
fog	ערפל
frost	קרה
rain	גשם (m) (geshem)
rainbow	קשת
snow	שלג
storm	סופה
thunder	רעם
wind	רוח
acid	חומצה
chemical	כימיקל
chemical element	יסוד כימי
coal	פחם
dust	אבק
fat	שומן
glass	זכוכית
glue	דבק
ice	גלידה
iron	ברזל
leather	עור
metallic element	מתכת
oil	נפט
poison	רעל
sand	חול
silk	משי
soap	סבון
steel	פלדה
wood	עץ
wool	צמר
bag	תיק (tik)
basket	סל
bottle	בקבוק
drawer	מגרה
envelope	מעטפה
plate	צלחת
bell	פעמון
button	לחצן
gun	רובה
hammer	פטיש
key	מפתח
lock	מנעול
match	גפרור
nail	מסמר
needle	מחט
pump	משאבה
rope	חבל
scissors	מספריים
spring	קפיץ
stamp	בול
whip	שוט
addition	סכום
angle	זווית
area	שטח
circle	מעגל
curve	עקומה
degree	מעלה
degree	רמה
difference	שוני
distance	מרחק
edge	קצה
element	רכיב
half	חצי
limit	גבול
line	ישר
net	רשת
percent	אחוז
purpose	פונקציה
rule	כלל
set	קבוצה
square	ריבוע
square	ריבוע
surface	פני שטח
action	פעולה
activity	פעילות
addition	הרחבה
amount	כמות
attack	מתקפה
attempt	נסיון
behavior	התנהגות
blow	מכה
break	בידור
campaign	מסע קידום
case	מופע
chance	הזדמנות
change	שינוי
condition	מצב
connection	מחבר
danger	סכנה
death	מוות
decoration	קישוט
drop	טיפה
fall	נפילה
feature	מאמר
front	חזית
hole	חור (m)
internet	אינטרנט
kick	בעיטה
kind	סוג (soog) (m)
knot	קשר
list	רשימה
majority	רוב
mind	רוח (f), מוח (m)
operation	ביצועים
part	חלק
power	כוח
property	מאפיין
quality	איכות
report	דין וחשבון
rest	מנוחה
thing	דבר
treatment	טיפול
art	אמנות
artist	אמן
brush	מברשת
color	צבעים
concert	קונצרט
design	עיצוב
entertainment	בידור
ink	דיו
manner	אופן
movie	סרט
museum	מוזאון
music	מוזיקה
note	תו
orchestra	תזמורת
paint	צבע
painting	תמונה
paper	נייר
pen	עט
pencil	עיפרון
picture	תמונה
poetry	שירה
rhythm	קצב
shape	צורה
singer	זמר
song	זמר
style	סגנון
account	חשבון
advantage	יתרון
advertisement	פרסומת
advice	עצה
attention	קשב
authority	מתן הרשאות
banknote	שטר כסף
capital	הון
cheque	המחאה
committee	ועדה
competition	תחרות
contract	חוזה
cost	עלות
council	עיצה
customer	לקוח
demand	צורך
department	מחלקה
difficulty	קושי
director	מנהל
economy	משטר כלכלי
experience	נסיון
form	טופס
group	לקבץ
help	עזרה
holiday	חופשה
income	הכנסה
industry	תעשייה
insurance	ביטוח
interest	ריבית
invoice	חשבונית
job	משימה
law	דין
management	ניהול
mark	סמן
market	שוק
material	חומר גלם
meeting	פגישה
money	כסף
occupation	עבודה
office	משרד
operation	פעולה
package	חבילה
problem	בעיה (f) (1)
product	תוצר
property	רכוש
rest	שארית
right	זכות
section	פלג
service	שירות
share	מניה
shop	חנות
skill	מיומנות
structure	מבנה
table	טבלה
tax	מס
team	צוות
trade	מסחר
value	ערך
work	עבודה
worker	עובד
announcement	הכרזה
answer	תגובה
argument	ארגומנט
book	סֵפֶר
call	שיחה
character	גרפמה
controversy	מחלוקת
data	נתונים
decision	החלטה
dictionary	מילון
discussion	דיון
