English	Arabic
be	كان
begin	بدأ
break	كسر
buy	اشترى
close	أغلق
come	جاء
cut	قطع
dance	رقص
draw	يرسم
drink	شرب
eat	أكل
fall	سقط
feel	شعر
find	وجد
fire	أطلق النار
fly	طار
follow	تبع
forget	ينسى، لا يتذكر
get	حصل
give	أعطى
have	ملك
hear	يسمع
help	ساعد
hope	رجا
jump	قفز
kiss	قبل
laugh	ضحك
learn	تعلم
lie	يضطجِع، يتمدد
like	أحب
listen	استمع
look	رأى
lose	يفقِد، يخسر
love	أحب
make	جعل
meet	يصادِف، يلتقي صدفةً
move	حرك
need	احتاج
offer	أهدى
open	فتح
play	لعب
pull	سحب
push	دفع
put	وضع
read	يقرأ
remember	يتذكر
run	جرى
say	قال
sell	باع
sing	غنى
sit	جلس
smile	ابتسم
swim	سبح
take	أخذ
talk	تحدث
understand	يفهم
use	استخدم
wait	ينتظِر
write	كتب
accept	وافق
accuse	يتهِم
achieve	يتِم ، يحقِق، ينجِز
act	تحرك
admit	يعترِف بِ
agree	يتفِق مع
announce	يعلِن حضور شخص
argue	جدال
arrive	وصل
ask	يسأل
attack	هاجم
avoid	تجنب
be	يعيش
bear	يحمِل
beat	انتصر
become	أصبح
benefit	يفيد، ينفع
bite	عض
build	يبني
burn	أشعل
call	اتصل
care	اهتم
carry	النقل
catch	أمسك
cause	دفع
change	غير
choose	يحدد
classify	رتب
clean	نظف
compare	يقارِن
contain	يحتوي
continue	يستمِر
control	تحكم
cook	طبخ
copy	نسخ
cough	سعل
crush	حطم
crush	سحق, ضغط
cry	بكى
decide	يقرِر
describe	يصِف
design	صمم
desire	أراد
die	يموت
discover	يكتشِف
discuss	يناقِش، يبحث، يتباحث
divide	فصل
doubt	شك
drive	يسوق
embrace	احتوى
encourage	يشجِع
end	أنهى
enhance	يعزِز، يزيد جمال الشيء
enjoy	يستمتِع بِ
enter	يدخل
establish	يؤسِس، يقيم، ينشِئ
estimate	خمن
exceed	جاوز
exist	يوجد
expect	ينتظِر
explain	شرح، فسر
fight	قاتل
fill	الملء
find	يكتشِف
finish	أكمل
flush	سوى
free	حرر
give	up استسلم (istáslama)
grow	ينمو
happen	يحدث لِ
hate	كره
hide	تقنع
hold	القبضة
identify	يتعرف على ، يثبِت هوية
include	يشمل، يشتمِل
increase	زاد
injure	جرح
introduce	قدم
join	جمع
keep	حافظ
kick	ركل
kill	يقتل
land	حط
last	دام
lead	قاد
leave	يترك، يدع
let	ترك
lift	رفع, ارتفع
limit	حدد
load	يشحن ، يحشو سِلاحا نارياً
lock	أقفل
look	بدا
lose	يخسر
manage	يدير شؤون
marry	يتزوج
match	طابق
mean	يعني
mean	ينوي، يعتزِم
measure	قاسي
mention	يشير إلى
miss	يفوته، لا يلحق
miss	الرمية الخاطئة
name	سمى
order	أمر
own	ملك
peel	قشر
plan	يقرِر على ، ينوي، يعتزِم
plow	حرث
poison	سمم
polish	لمع
prepare	جهز
press	يضغط بإصبعِه
prevent	يمنع
print	طبع
process	أجرى
profit	استفاد
protest	احتج
prove	يبرهِن
publish	ينشر، يصدِر
raise	ربى
rate	قيم
reach	وصل
receive	يستلِم
record	سجل
reduce	يقلِل
reflect	يعكِس
refuse	رفض
remove	يزيل، يبعِد
render	أعاد
reply	أجاب
report	يقدِم تقريرا
represent	يمثِل
request	طلب
respect	احترم
rest	ارتاح
reveal	يظهِر، يفشي، يكشِف
risk	يخاطِر، يجازِف
round off	دور
rule	حكم
save	يوفِر، يدخِر
save	الإنقاذ
see	شاهد
send	أرسل
serve	يخدم في الجيش
sew	عقد
share	يتشارك
shout	صرخ
show	عرض
smash	اصطدم
smell	أصدر رائحة طيبة
smell	أصدر رائحة بشعة
smell	شم
smoke	دخن
spend	يقضي
stand	يقِف
stay	يبقى، يمكث
steal	سرق
stop	توقف
study	درس
suffer	تألم (ta’állama)
suggest	يقترِح
supply	يزوِد، يعطي
support	دعم
surprise	فاجأ
taste	تذوق
teach	علم
test	جرب
thank	يشكر
throw	رمى
trade	تاجر
train	درب
travel	ذهب
treat	يعالِج
trick	خدع
try	حاول
turn	التف
visit	يزور
walk	مشى
warm	سخن
wash	غسل
watch	شاهد
wear	يلبِس، يرتدي
weigh	وزن (wázana)
win	ربح
wish	يرغب، يتمنى