English	Catalan
black	negre
blue	blau
brown	marró
gray	gris
green	verd
orange	orange
pink	rosa
violet	violeta
white	blanc
yellow	groc
eight	vuit
eighteen	divuit
eighty	vuitanta
eleven	onze
fifteen	quinze
fifty	cinquanta
five	cinc
forty	quaranta
four	quatre
fourteen	catorze
million	milió
nine	nou
nineteen	dinou
ninety	noranta
nothing	res
one	un
seven	set
seventy	setanta
six	sis
sixteen	setze
sixty	seixanta
ten	deu
thirteen	tretze
thirty	trenta
thousand	mil
thousand	mil
three	tres
two	dos
arm	braç
back	esquena
beak	bec
blood	sang
body	tronc
bone	os
brain	cervell
cell	sala
chest	pit
chest	pit
chin	mentó
ear	orella
eye	ull
face	cara
finger	dit
foot	peu
forehead	front
gene	gen
hair	cabell
hand	mà
head	cap
heart	cor
knee	genoll
leg	cama
lip	llavi
mouth	boca
muscle	múscul
nail	ungla
neck	coll
nerve	nervi
nose	nas
skin	pell
stomach	estómac
tail	cua
throat	faringe
thumb	polze
toe	dit
tongue	llengua
tooth	dent
wing	ala
ant	formiga
bear	ós
bee	abella
bird	ocell
cat	gat
cow	vaca
dog	gos
elephant	elefant
fish	peix
fly	mosca
goat	cabra
horse	cavall
insect	insecte
lion	lleó
monkey	mico, mona
pig	porc
sheep	ovella
snake	serp
baby	nadó
birthday	aniversari
boy	noi, vailet
brother	germà
child	criatura, infant
daughter	filla
death	mort
family	família
father	pare
friend	amic
girl	senyoreta
grandfather	avi
human	humà
husband	marit
man	home
marriage	matrimoni
mother	mare
neighbor	veí
person	individu
sister	germana
son	fill
wife	muller
woman	dona
beer	cervesa
coffee	cafè
drink	beguda
milk	llet
milkshake	batut
tea	te
water	aigua
wine	vi
bread	pa
breakfast	esmorzar
butter	mantega
cake	pastís
cheese	formatge
chocolate	xocolata
egg	ou
food	menjar
fruit	fruit
lunch	dinar
meal	àpat
meat	carn
oil	oli
rice	arròs
salad	amanida
salt	sal
sandwich	entrepà
sauce	salsa
soup	sopa
sugar	sucre
apple	poma
apricot	albercoc
banana	banana
blackberry	móra
cherry	cirera
lemon	llimó, llimona
nut	núcula
orange	taronja
peach	préssec
pear	perera
pineapple	pinya d'Amèrica
plum	pruna
raspberry	gerdó
strawberry	maduixa
bean	mongeta
cabbage	col
carrot	pastanaga
cucumber	cogombre
garlic	all
olive	oliva
onion	ceba
parsnip	xirivia
potato	patata
radish	rave
tomato	tomàquet
address	adreça
bathroom	bany
bedroom	habitació
brick	maó
door	porta
floor	sòl, trespol
garage	garatge
garden	jardí
gate	porta
hall	vestíbul
home	llar
house	casa
kitchen	cuina
roof	teulada
room	habitació
shower	dutxa
step	esglaó, graó
toilet	wàter
wall	mur
well	pou
window	finestra
bed	llit
carpet	catifa
chair	cadira
cupboard	armari
curtain	cortina
desk	escriptori
furniture	mobles
table	taula
boot	bota
cloth	tèxtil
clothing	indumentària
coat	jaqueta
collar	coll
hat	barret
jacket	jaqueta
jewel	joia
ring	anell
shirt	camisa
shoe	sabata
skirt	faldilla
sock	mitjó
suitcase	maleta
tie	corbata
actor	actor
actress	actor
businessman	comerciant
expert	expert
general	general
journalist	periodista
judge	jutge
leader	cap
minister	ministre
musician	músic
policeman	policia
politician	polític
sailor	mariner
secretary	secretari
soldier	soldat
writer	escriptor
airport	aeroport
bank	banc
bridge	bridge
building	edifici
capital	capital
castle	castell
church	església
cinema	cinema
city	ciutat
factory	fábrica
flat	pis
hospital	l'hospital
hotel	alberg
library	biblioteca
park	parc
road	carretera
school	escola
station	estació
street	carrer
structure	construcció
subway	metro
supermarket	supermercat
theater	teatre
town	ciutat
university	universitat
village	poble, vila
accident	accident
boat	barca
bus	autobús
car	cotxe
curve	corba
flight	vol
passenger	passatger
plane	avió
ship	vaixell
track	carril
train	tren
air	aire
animal	animal
branch	branca
evolution	evolució
farm	granja
field	camp
fire	flama
flower	flor
forest	floresta
grass	herba
leaf	fulla
life	vida
lightning	llamp
nature	natura
plant	planta
root	arrel
sex	sexe
sky	cel
sleep	son
smell	aroma
smoke	fum
spring	font
stem	tija
tree	arbre
wave	ona
weather	temps atmosfèric
world	món
bank	riba, ribera
beach	platja
current	corrent
direction	direcció
Earth	Terra
east	est
height	altitud
hill	turó
island	illa
lake	llac
land	terra
map	mapa
Moon	lluna
north	nord
plain	planícia
region	regió
river	riu
sea	mar
south	sud
star	astre
sun	sol
west	oest
acid	àcid
chemical	substància química
chemical element	element químic
coal	carbó
cotton	cotó
dust	pols
earth	terres
fat	greix
glass	vidre
glue	cola
grain	gra, grana
ice	gel, glaç
iron	ferro
leather	pell
liquid	líquid
matter	matèria
metallic element	metall
oil	petroli
poison	verí
powder	pòlvores
sand	sorra
silk	seda
soap	sabó
steel	acer
wood	fusta
wool	llana
bag	bossa, sac
basket	encistellada
bottle	ampolla
box	caixeta
can	llauna
cup	tassa
drawer	calaix
envelope	sobre de carta
glass	got
plate	plat
camera	càmera fotogràfica
cellular phone	mòbil
clock	rellotge
computer	ordenador
elevator	ascensor
engine	motor
instrument	instrument
machine	màquina
oven	forn
watch	rellotge
addition	addició
angle	angle
area	àrea
center	centre
circle	circumferència
curve	corba
degree	grau
degree	nivell
distance	distància
edge	marge, vora
element	element
limit	fronteral, límit
line	línia
net	xarxa
percent	percentatge
point	punt, punta
purpose	funció
result	resultat
rule	regla
set	conjunt
side	flanc
square	quadrat
square	quadrat
surface	superfície
total	import
act	acte
activity	activitat
amount	quantitat
attitude	actitud
behavior	comportament
blow	cop
break	descans, pausa
case	afer, assumpte
chance	oportunitat
change	canvi
choice	elecció
condition	estat
crack	clivella, escletxa
damage	desperfecte
danger	perill
decoration	decoració
detail	detall
drop	gota
duty	deure
effort	fadiga
fall	caiguda
feature	tret
fight	lluita
front	front
hit	cop
hole	cavitat
increase	augment
internet	internet
kick	puntada
kind	espècie, sort
knot	nus
list	llista
matter	cosa
mind	ment
operation	funcionament
part	part
personality	caràcter, caracteristica
piece	part
place	lloc
power	poder
practice	pràctica
project	projecte
quality	qualitat
responsibility	responsabilitat
rest	descans
rise	ascensió
risk	atzar
seat	espai, lloc
silence	silenci
slice	part
state	estat
step	pas
thing	cosa, objecte
top	cim, dalt
treatment	cura
type	espècie, sort
use	utilització
will	voluntat
wish	desig
