Danish	﻿English
være	be
bryde	break
købe	buy
lukke	close
komme	come
klippe	cut
danse	dance
anvende	do
tegne	draw
drikke	drink
spise	eat
falde	fall
finde	find
affyre	fire
flyve	fly
følge	follow
glemme	forget
få	get
give	give
få	have
erfare	hear
assistere	help
håbe	hope
springe	jump
kysse	kiss
grine	laugh
erfare	learn
ligge	lie
lyve	lie
bryde sig om	like
lytte	listen
se	look
miste	lose
elske	love
støde på	meet
flytte	move
behøve	need
tilbyde	offer
åbne	open
betale	pay
lege	play
hive	pull
skubbe	push
anbringe	put
læse	read
mindes	remember
løbe	run
sige	say
sælge	sell
synge	sing
sidde	sit
smile	smile
tage	take
sige	talk
forstå	understand
bruge	use
vente	wait
skrive	write
tage imod	accept
beskylde	accuse
nå	achieve
handle	act
erkende	admit
stemme overens	agree
tillade	allow
meddele	announce
diskutere	argue
komme	arrive
spørge	ask
angribe	attack
undgå	avoid
leve	be
overvinde	beat
blive	become
gavne	benefit
give	bring
bygge	build
ringe	call
bære	carry
forandre	change
vælge	choose
klassificere	classify
rense	clean
sammenligne med	compare
indeholde	contain
vedblive med	continue
beherske	control
lave mad	cook
kopiere	copy
hoste	cough
knuse	crush
tude	cry
beslutte	decide
skildre	describe
formgive	design
gerne ville have	desire
fremkalde	develop
omkomme	die
opdage	discover
diskutere	discuss
dele	divide
køre	drive
omfatte	embrace
opmuntre	encourage
slutte	end
forbedre	enhance
nyde	enjoy
komme ind	enter
oprette	establish
vurdere	estimate
overgå	exceed
eksistere	exist
afvente	expect
forklare	explain
kæmpe	fight
fylde	fill
opdage	find
tilgive	forgive
befri	free
gro	grow
ske	happen
hade	hate
skjule	hide
holde	hold
identificere	identify
inkludere	include
stige	increase
krænke	injure
introducere	introduce
forbinde	join
holde	keep
sparke	kick
dræbe	kill
lande	land
holde	last
lede	lead
efterlade	leave
lade	let
hejse	lift
begrænse	limit
oplade	load
låse	lock
se ud	look
tabe	lose
lede	manage
gifte sig	marry
passe til	match
betyde	mean
mene	mean
måle	measure
omtale	mention
gå glip af	miss
ramme ved siden af	miss
kalde	name
eje	own
on overgive	pass
skrælle	peel
pløje	plow
forgifte	poison
pudse	polish
lave	prepare
trykke sig	press
forhindre	prevent
trykke	print
fremkalde	process
protestere	protest
bevise	prove
udgive	publish
opdrage	raise
vurdere	rate
nå	reach
modtage	receive
optage	record
reducere	reduce
reflektere	reflect
afvise	refuse
fjerne	remove
stille tilbage	render
svare	reply
rapportere	report
symbolisere	represent
anmode om	request
ære	respect
afsløre	reveal
tage chancen	risk
regere	rule
spare sammen	save
redde	save
se	see
anse	see
sende	send
gøre tjeneste	serve
sy	sew
skrige	shout
vise	show
dufte	smell
dufte	smell
tilbringe	spend
holde	stand
forblive	stay
stjæle	steal
standse	stop
studere	study
foreslå	suggest
forsyne	supply
bakke op	support
overraske	surprise
smage	taste
undervise	teach
teste	test
takke	thank
kaste	throw
kalde	title
handle	trade
uddanne	train
gå	travel
behandle	treat
forsøge	try
dreje	turn
se	visit
gå	walk
varme	warm
vaske	wash
betragte	watch
have på	wear
veje	weigh
vinde	win
