Danish	﻿English
sort	black
blå	blue
brun	brown
noget	gray
umoden	green
orange	orange
lyserød	pink
rød	red
violet	violet
hvid	white
gul	yellow
par	couple
otte	eight
atten	eighteen
firs	eighty
elleve	eleven
femten	fifteen
halvtreds	fifty
fem	five
fyrre	forty
fire	four
fjorten	fourteen
million	million
ni	nine
nitten	nineteen
halvfems	ninety
nul	nothing
halvfjers	seventy
seks	six
seksten	sixteen
tres	sixty
ti	ten
tredje	third
tretten	thirteen
tredive	thirty
tusind	thousand
tusind	thousand
tre	three
arm	arm
ryg	back
næb	beak
blod	blood
krop	body
knogle	bone
hjerne	brain
ånde	breath
celle	cell
bryst	chest
bryst	chest
hage	chin
øre	ear
øje	eye
ansigt	face
finger	finger
fod	foot
pande	forehead
gen	gene
hår	hair
hår	hair
hånd	hand
hoved	head
hjerte	heart
knæ	knee
ben	leg
læbe	lip
mund	mouth
muskel	muscle
negl	nail
hals	neck
nerve	nerve
næse	nose
hud	skin
mave	stomach
hale	tail
hals	throat
tommelfinger	thumb
tå	toe
tunge	tongue
tand	tooth
vinge	wing
myre	ant
bjørn	bear
bi	bee
fugl	bird
kat	cat
ko	cow
hund	dog
elefant	elephant
fisk	fish
flue	fly
ged	goat
hest	horse
insekt	insect
løve	lion
abe	monkey
svin	pig
får	sheep
slange	snake
baby	baby
fødsel	birth
fødselsdag	birthday
dreng	boy
bror	brother
datter	daughter
død	death
familie	family
far	father
ven	friend
pige	girl
bedstefar	grandfather
menneske	human
mand	husband
liv	life
mand	man
ægteskab	marriage
mor	mother
nabo	neighbor
forælder	parent
person	person
forhold	relationship
søster	sister
søn	son
bryllup	wedding
kone	wife
kvinde	woman
øl	beer
kaffe	coffee
drikkevarer	drink
mælk	milk
milkshake	milkshake
te	tea
vand	water
vin	wine
brød	bread
morgenmad	breakfast
smør	butter
kage	cake
ost	cheese
chokolade	chocolate
æg	egg
mad	food
frugt	fruit
frokost	lunch
måltid	meal
kød	meat
olie	oil
ris	rice
salat	salad
salt	salt
sandwich	sandwich
sovs	sauce
suppe	soup
sukker	sugar
æble	apple
abrikos	apricot
banan	banana
brombær	blackberry
kirsebær	cherry
citron	lemon
nød	nut
appelsin	orange
fersken	peach
pære	pear
ananas	pineapple
blomme	plum
hindbær	raspberry
jordbær	strawberry
bønne	bean
kål	cabbage
gulerod	carrot
agurk	cucumber
hvidløg	garlic
oliven	olive
løg	onion
pastinak	parsnip
kartoffel	potato
radise	radish
tomat	tomato
adresse	address
bad	bathroom
soveværelse	bedroom
mursten	brick
vej	door
gulv	floor
sal	floor
garage	garage
have	garden
port	gate
lobby	hall
hjem	home
hus	house
køkken	kitchen
tag	roof
værelse	room
brusebad	shower
trappe	step
toilet	toilet
mur	wall
brønd	well
vindue	window
seng	bed
gulvtæppe	carpet
stol	chair
skab	cupboard
gardin	curtain
skrivebord	desk
møbler	furniture
plads	seat
hylde	shelf
vask	sink
bord	table
taske	bag
støvle	boot
stof	cloth
tøj	clothing
frakke	coat
krave	collar
hue	hat
jakke	jacket
juvel	jewel
ring	ring
skjorte	shirt
sko	shoe
nederdel	skirt
sok	sock
kuffert	suitcase
slips	tie
skuespiller	actor
skuespillerinde	actress
forretningsmand	businessman
ekspert	expert
general	general
journalist	journalist
dommer	judge
leder	leader
minister	minister
musiker	musician
fotograf	photographer
pilot	pilot
politibetjent	policeman
politiker	politician
præsident	president
professionel	professional
repræsentant	representative
matros	sailor
videnskabsmand	scientist
sekretær	secretary
husassistent	servant
soldat	soldier
forfatter	writer
lufthavn	airport
bank	bank
bro	bridge
bygning	building
hovedstad	capital
slot	castle
kirke	church
biograf	cinema
by	city
fabrik	factory
lejlighed	flat
hospital	hospital
hotel	hotel
bibliotek	library
park	park
fængsel	prison
restaurant	restaurant
vej	road
skole	school
banegård	station
gade	street
bygning	structure
undergrundsbane	subway
supermarked	supermarket
teater	theater
by	town
universitet	university
landsby	village
ulykke	accident
båd	boat
bus	bus
bil	car
krumning	curve
eksprestog	express
flyvning	flight
rejse	journey
passager	passenger
flyvemaskine	plane
skib	ship
skinne	track
tog	train
transport	transport
luft	air
dyr	animal
gren	branch
udvikling	evolution
landbrug	farm
mark	field
flamme	fire
blomst	flower
skov	forest
marihuana	grass
blad	leaf
liv	life
lyn	lightning
fugtighed	moisture
natur	nature
plante	plant
rod	root
køn	sex
himmel	sky
slummer	sleep
duft	smell
os	smoke
kilde	spring
stilk	stem
strøm	stream
træ	tree
bølge	wave
vejr	weather
jorden	world
bred	bank
strand	beach
aktuel	current
retning	direction
Jorden	Earth
øst	east
højde	height
bakke	hill
ø	island
sø	lake
land	land
plan	map
måne	Moon
nord	north
slette	plain
region	region
flod	river
hav	sea
syd	south
rummet	space
stjerne	star
sol	sun
vest	west
syre	acid
kemi	chemical
element grundstof	chemical
kul	coal
bomuld	cotton
smuld	dust
Jorden	earth
fedt	fat
glas	glass
lim	glue
korn	grain
is	ice
jern	iron
læder	leather
væske	liquid
materie	matter
element metal	metallic
råolie	oil
gift	poison
pulver	powder
sand	sand
silke	silk
sæbe	soap
stål	steel
ved	wood
uld	wool
pose	bag
kurv	basket
flaske	bottle
kasse	box
dåse	can
kop	cup
skuffe	drawer
konvolut	envelope
glas	glass
tallerken	plate
kamera	camera
kamera	camera
phone mobiltelefon	cellular
ur	clock
computer	computer
elevator	elevator
motor	engine
instrument	instrument
maskine	machine
ovn	oven
tv	television
ur	watch
addition	addition
vinkel	angle
areal	area
cirkel	circle
bue	curve
grad	degree
niveau	degree
forskel	difference
distance	distance
deling	division
kant	edge
grundstof	element
funktion	function
halv	half
begrænsning	limit
streg	line
net	net
yderside	outside
procent	percent
prik	point
formål	purpose
resultat	result
root	root
regel	rule
mængde	set
side	side
kvadrat	square
plads	square
bytte	substitution
overflade	surface
sum	total
evne	ability
handlinger	act
aktion	action
aktivitet	activity
forøgelse	addition
mængde	amount
overfald	attack
forsøg	attempt
holdning	attitude
bagside	back
opførsel	behavior
bid	bit
slag	blow
pause	break
kampagne	campaign
sag	case
chance	chance
forandring	change
valg	choice
stand	condition
forbindelseskomponent	connection
revne	crack
afbrydelse	cut
skade	damage
fare	danger
død	death
pynt	decoration
ruinering	destruction
kontrol	dominance
dråbe	drop
pligt	duty
anstrengelse	effort
fald	fall
kendetegn	feature
kamp	fight
front	front
pletskud	hit
hul	hole
vækst	increase
stigning	increase
internet	internet
chok	jolt
spark	kick
slags	kind
knude	knot
liste	list
flertal	majority
sag	matter
forstand	mind
i kraft	operation
det modsatte	opposite
udbrud	outburst
del	part
del	part
stykke	piece
sted	place
beliggenhed	position
kraft	power
praksis	practice
opgave	project
egenskab	property
kvalitet	quality
sindsro	quiet
ansvar	responsibility
hvile	rest
tilbagekomst	return
opstigning	rise
fare	risk
plads	seat
stilhed	silence
situation	situation
stykke	slice
tilstand	state
skridt	step
standsning	stop
smagssans	taste
ting	thing
toppunkt	top
berøring	touch
behandling	treatment
gys	tremble
trick	trick
slags	type
brug	use
måde	way
slid	wear
hele	whole
vilje	will
ønske	wish
eftermiddag	afternoon
alder	age
April	April
August	August
efterår	autumn
begyndelse	beginning
århundrede	century
dato	date
dag	day
December	December
aften	evening
Februar	February
Fredag	Friday
fremtid	future
time	hour
Januar	January
Juli	July
Juni	June
maj	May
midnat	midnight
minut	minute
minut	moment
Mandag	Monday
måned	month
morgen	morning
nat	night
Dage i november	November
nu	now
Dage i oktober	October
fortid	past
afbrydelse	pause
periode	period
nutid	present
Lørdag	Saturday
sæson	season
sekund	second
Dage i september	September
forår	spring
sommer	summer
Søndag	Sunday
Torsdag	Thursday
i morgen	tomorrow
Tirsdag	Tuesday
Onsdag	Wednesday
uge	week
weekend	weekend
stykke tid	while
vinter	winter
år	year
kunst	art
kunstner	artist
gruppe	band
børste	brush
farve	color
koncert	concert
tegning	design
variation	diversity
fritidsaktivitet	entertainment
hit	hit
image	image
blæk	ink
facon	manner
film	movie
museum	museum
musik	music
node	note
orkester	orchestra
maling	paint
maleri	painting
papir	paper
pen	pen
blyant	pencil
billede	picture
digt	poem
poesi	poetry
takt	rhythm
form	shape
sanger	singer
sang	song
scene	stage
stil	style
stil	vogue
konto	account
fordel	advantage
annonce	advertisement
råd	advice
overenskomst	agreement
opmærksomhed	attention
myndighed	authority
pengeseddel	banknote
aftale	bargain
mærke	brand
forretning	business
penge	capital
småpenge	change
check	cheque
komité	committee
virksomhed	company
konkurrence	competition
sigtelse	complaint
kontrakt	contract
efterligning	copy
omkostninger	cost
råd	council
time	course
kunde	customer
behov	demand
ministerium	department
vanskelighed	difficulty
leder	director
økonomi	economy
omgivelser	environment
erfaring	experience
firma	firm
formular	form
gruppe	group
bistand	help
ferie	holiday
indkomst	income
industri	industry
forsikring	insurance
rente	interest
afregning	invoice
job	job
lov	law
orlov	leave
tab	loss
ledelse	management
mærke	mark
marked	market
materiale	material
gennemsnit	mean
møde	meeting
penge	money
arbejde	occupation
tilbud	offer
kontor	office
handling	operation
ejer	owner
bundt	package
betaling	payment
plan	plan
pris	price
problem	problem
produkt	product
fortjeneste	profit
ejendom	property
rest	rest
belønning	reward
ret	right
salg	sale
sektion	section
afdeling	section
betjening	service
aktie	share
forretning	shop
udstilling	show
dygtighed	skill
stab	staff
succes	success
underhold	support
tabel	table
skat	tax
hold	team
handel	trade
pris	value
arbejde	work
arbejder	worker
meddelelse	announcement
svar	answer
godkendelse	approval
argument	argument
bog	book
telefonopringning	call
type	character
strid	controversy
skrig	cry
data	data
beslutning	decision
ordbog	dictionary
diskussion	discussion
