English	Danish
black	sort
blue	blå
brown	brun
gray	noget
green	umoden
orange	orange
pink	lyserød
red	rød
violet	violet
white	hvid
yellow	gul
couple	par
eight	otte
eighteen	atten
eighty	firs
eleven	elleve
fifteen	femten
fifty	halvtreds
five	fem
forty	fyrre
four	fire
fourteen	fjorten
million	million
nine	ni
nineteen	nitten
ninety	halvfems
nothing	nul
seventy	halvfjers
six	seks
sixteen	seksten
sixty	tres
ten	ti
third	tredje
thirteen	tretten
thirty	tredive
thousand	tusind
thousand	tusind
three	tre
arm	arm
back	ryg
beak	næb
blood	blod
body	krop
bone	knogle
brain	hjerne
breath	ånde
cell	celle
chest	bryst
chest	bryst
chin	hage
ear	øre
eye	øje
face	ansigt
finger	finger
foot	fod
forehead	pande
gene	gen
hair	hår
hair	hår
hand	hånd
head	hoved
heart	hjerte
knee	knæ
leg	ben
lip	læbe
mouth	mund
muscle	muskel
nail	negl
neck	hals
nerve	nerve
nose	næse
skin	hud
stomach	mave
tail	hale
throat	hals
thumb	tommelfinger
toe	tå
tongue	tunge
tooth	tand
wing	vinge
ant	myre
bear	bjørn
bee	bi
bird	fugl
cat	kat
cow	ko
dog	hund
elephant	elefant
fish	fisk
fly	flue
goat	ged
horse	hest
insect	insekt
lion	løve
monkey	abe
pig	svin
sheep	får
snake	slange
baby	baby
birth	fødsel
birthday	fødselsdag
boy	dreng
brother	bror
daughter	datter
death	død
family	familie
father	far
friend	ven
girl	pige
grandfather	bedstefar
human	menneske
husband	mand
life	liv
man	mand
marriage	ægteskab
mother	mor
neighbor	nabo
parent	forælder
person	person
relationship	forhold
sister	søster
son	søn
wedding	bryllup
wife	kone
woman	kvinde
beer	øl
coffee	kaffe
drink	drikkevarer
milk	mælk
milkshake	milkshake
tea	te
water	vand
wine	vin
bread	brød
breakfast	morgenmad
butter	smør
cake	kage
cheese	ost
chocolate	chokolade
egg	æg
food	mad
fruit	frugt
lunch	frokost
meal	måltid
meat	kød
oil	olie
rice	ris
salad	salat
salt	salt
sandwich	sandwich
sauce	sovs
soup	suppe
sugar	sukker
apple	æble
apricot	abrikos
banana	banan
blackberry	brombær
cherry	kirsebær
lemon	citron
nut	nød
orange	appelsin
peach	fersken
pear	pære
pineapple	ananas
plum	blomme
raspberry	hindbær
strawberry	jordbær
bean	bønne
cabbage	kål
carrot	gulerod
cucumber	agurk
garlic	hvidløg
olive	oliven
onion	løg
parsnip	pastinak
potato	kartoffel
radish	radise
tomato	tomat
address	adresse
bathroom	bad
bedroom	soveværelse
brick	mursten
door	vej
floor	gulv
floor	sal
garage	garage
garden	have
gate	port
hall	lobby
home	hjem
house	hus
kitchen	køkken
roof	tag
room	værelse
shower	brusebad
step	trappe
toilet	toilet
wall	mur
well	brønd
window	vindue
bed	seng
carpet	gulvtæppe
chair	stol
cupboard	skab
curtain	gardin
desk	skrivebord
furniture	møbler
seat	plads
shelf	hylde
sink	vask
table	bord
bag	taske
boot	støvle
cloth	stof
clothing	tøj
coat	frakke
collar	krave
hat	hue
jacket	jakke
jewel	juvel
ring	ring
shirt	skjorte
shoe	sko
skirt	nederdel
sock	sok
suitcase	kuffert
tie	slips
actor	skuespiller
actress	skuespillerinde
businessman	forretningsmand
expert	ekspert
general	general
journalist	journalist
judge	dommer
leader	leder
minister	minister
musician	musiker
photographer	fotograf
pilot	pilot
policeman	politibetjent
politician	politiker
president	præsident
professional	professionel
representative	repræsentant
sailor	matros
scientist	videnskabsmand
secretary	sekretær
servant	husassistent
soldier	soldat
writer	forfatter
airport	lufthavn
bank	bank
bridge	bro
building	bygning
capital	hovedstad
castle	slot
church	kirke
cinema	biograf
city	by
factory	fabrik
flat	lejlighed
hospital	hospital
hotel	hotel
library	bibliotek
park	park
prison	fængsel
restaurant	restaurant
road	vej
school	skole
station	banegård
street	gade
structure	bygning
subway	undergrundsbane
supermarket	supermarked
theater	teater
town	by
university	universitet
village	landsby
accident	ulykke
boat	båd
bus	bus
car	bil
curve	krumning
express	eksprestog
flight	flyvning
journey	rejse
passenger	passager
plane	flyvemaskine
ship	skib
track	skinne
train	tog
transport	transport
air	luft
animal	dyr
branch	gren
evolution	udvikling
farm	landbrug
field	mark
fire	flamme
flower	blomst
forest	skov
grass	marihuana
leaf	blad
life	liv
lightning	lyn
moisture	fugtighed
nature	natur
plant	plante
root	rod
sex	køn
sky	himmel
