English	Polish
0 (number)	0 (liczba)
1	1
1 (number)	1 (liczba)
10	10
10 (number)	10 (liczba)
100	100
1000	1000
1000 (number)	1000 (liczba)
101	101
105	105
11	11
11 (number)	11 (liczba)
110	110
115	115
12	12
12 (number)	12 (liczba)
120	120
125	125
13	13
13 (number)	13 (liczba)
130	130
135	135
14	14
14 (number)	14 (liczba)
140	140
144	144
145	145
15	15
15 (number)	15 (liczba)
150	150
155	155
16	16
16 (number)	16 (liczba)
160	160
165	165
17	17
17 (number)	17 (liczba)
170	170
1728	1728
175	175
1750s	Lata 50. XVIII wieku
1760s	Lata 60. XVIII wieku
1770s	Lata 70. XVIII wieku
1780s	Lata 80. XVIII wieku
1790s	Lata 90. XVIII wieku
18	18
18 (number)	18 (liczba)
180	180
1820s	Lata 20. XIX wieku
1830s	Lata 30. XIX wieku
1840s	Lata 40. XIX wieku
1850s	Lata 50. XIX wieku
1860s	Lata 60. XIX wieku
1870s	Lata 70. XIX wieku
1880s	Lata 80. XIX wieku
1890s	Lata 90. XIX wieku
19	19
19 (number)	19 (liczba)
190	190
1900s	Lata 1900-1909
1920s	Lata 20. XX wieku
1930s	Lata 30. XX wieku
1940s	Lata 40. XX wieku
1950s	Lata 50. XX wieku
1960s	Lata 60. XX wieku
1970s	Lata 70. XX wieku
1980s	Lata 80. XX wieku
1990s	Lata 90. XX wieku
2	2
2 (number)	2 (liczba)
20	20
20 (number)	20 (liczba)
200	200
21	21
21 (number)	21 (liczba)
22	22
22 (number)	22 (liczba)
23	23
23 (number)	23 (liczba)
24	24
24 (TV series)	24 godziny
24 (number)	24 (liczba)
25	25
25 (number)	25 (liczba)
26	26
26 (number)	26 (liczba)
27	27
27 (number)	27 (liczba)
28	28
28 (number)	28 (liczba)
29	29
29 (number)	29 (liczba)
3	3
3 (number)	3 (liczba)
30	30
30 (number)	30 (liczba)
300	300
31	31
31 (number)	31 (liczba)
32	32
32 (number)	32 (liczba)
33	33
33 (number)	33 (liczba)
34	34
34 (number)	34 (liczba)
35	35
35 (number)	35 (liczba)
36	36
36 (number)	36 (liczba)
37	37
37 (number)	37 (liczba)
38	38
38 (number)	38 (liczba)
39	39
39 (number)	39 (liczba)
4	4
4 (number)	4 (liczba)
40	40
40 (number)	40 (liczba)
400	400
41	41
41 (number)	41 (liczba)
42	42
42 (number)	42 (liczba)
43	43
43 (number)	43 (liczba)
44	44
45	45
45 (number)	45 (liczba)
46	46
46 (number)	46 (liczba)
47	47
48	48
49	49
49 (number)	49 (liczba)
5	5
5 (number)	5 (liczba)
50	50
50 (number)	50 (liczba)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (liczba)
60	60
60 (number)	60 (liczba)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (liczba)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (liczba)
80	80
80 (number)	80 (liczba)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (liczba)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A (Cyrillic)	А (cyrylica)
A cappella	A cappella
ABC	ABC
AIDS	Zespół nabytego niedoboru odporności
ALGOL	Algol (język programowania)
ATP	ATP (ujednoznacznienie)
AZ (football club)	AZ Alkmaar
Aachen	Akwizgran
Aalborg	Aalborg
Aar	Aare
Aardvark	Mrównik
Aarhus	Århus
Aaron	Aaron (postać biblijna)
Abacus	Abakus (liczydło)
Abadan	Abadan
Abbot	Opat
Abbreviation	Skrót
Abdomen	Odwłok
Abel Tasman	Abel Tasman
Abelian group	Grupa przemienna
Aberdeen	Aberdeen
Abidjan	Abidżan
Abkhazia	Abchazja
Abkhazia	Kategoria:Abchazja
Abolitionism	Abolicjonizm
Abortion	Aborcja
Abraham	Abraham (postać biblijna)
Abraham Lincoln	Abraham Lincoln
Absinthe	Absynt
Absolute magnitude	Absolutna wielkość gwiazdowa
Absolute value	Wartość bezwzględna
Absolute zero	Zero bezwzględne
Absolutism (European history)	Absolutyzm władzy
Abstract art	Abstrakcjonizm
Abstract expressionism	Ekspresjonizm abstrakcyjny
Abstraction	Abstrakcja (filozofia)
Abu Dhabi	Abu Zabi
Abu Dhabi (emirate)	Abu Zabi
Abuja	Abudża
Acacia	Akacja
Academy Award	Nagroda Akademii Filmowej
Acapulco	Acapulco
Acceleration	Przyspieszenie
Accipitridae	Jastrzębiowate
Accordion	Akordeon
Accountancy	Rachunkowość
Accountancy	Kategoria:Rachunkowość
Accra	Akra (Ghana)
Accusative case	Biernik
Acetaldehyde	Aldehyd octowy
Acetic acid	Kwas octowy
Acetone	Aceton
Acetylcholine	Acetylocholina
Acetylene	Etyn
Acheron	Acheron
Achillea millefolium	Krwawnik pospolity
Achilles	Achilles
Acid	Kwasy
Acid rain	Kwaśny deszcz
Acne vulgaris	Trądzik młodzieńczy
Aconcagua	Aconcagua
Acorn	Żołądź (botanika)
Acoustics	Akustyka
Acoustics	Kategoria:Akustyka
Acre	Akr
Acre	Akka
Acre (state)	Acre
Acropolis	Akropol
Actinide	Aktynowce
Actinium	Aktyn
Actor	Aktor
Acts of the Apostles	Dzieje Apostolskie
Acupuncture	Akupunktura
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada (informatyka)
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Baobab
Addiction	Uzależnienie
Addis Ababa	Addis Abeba
Addition	Dodawanie
Adelaide	Adelajda
Aden	Aden
Adenine	Adenina
Adenosine triphosphate	Adenozynotrifosforan
Adiabatic process	Przemiana adiabatyczna
Adige	Adyga
Adjective	Przymiotnik
Admiral	Admirał
Adolescence	Dojrzewanie
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis (mitologia grecka)
Adoption	Adopcja
Adrenal gland	Nadnercze
Adriatic Sea	Morze Adriatyckie
Adsorption	Adsorpcja
Adult	Dorosłość
Advent	Adwent
Adverb	Przysłówek
Advertising	Reklama
Aegean Sea	Morze Egejskie
Aeneas	Eneasz (mitologia)
Aeneid	Eneida
Aeolus	Eol
Aerodynamics	Aerodynamika
Aerosol	Aerozol
Aeschylus	Ajschylos
Aesop	Ezop
Aesthetics	Estetyka
Affix	Zrostek
Afghanistan	Afganistan
Afghanistan	Kategoria:Afganistan
Africa	Afryka
Africa	Kategoria:Afryka
African American	Afroamerykanin
Afrikaans	Język afrikaans
Agamemnon	Agamemnon
Agar	Agar-agar
Agate	Agat
Agatha Christie	Agatha Christie
Aggression	Agresja (psychologia)
Agnatha	Bezżuchwowce
Agnosticism	Agnostycyzm
Agora	Agora
