English	Finnish
Biometrics	Biometrinen tunnistaminen
Biophysics	Biofysiikka
Biopsy	Biopsia
Biosphere	Biosfääri
Biotechnology	Biotekniikka
Biotechnology	Luokka:Biotekniikka
Biotin	Biotiini
Bipolar disorder	Kaksisuuntainen mielialahäiriö
Birch	Koivut
Bird	Linnut
Birmingham	Birmingham (Alabama)
Birth control	Ehkäisy
Bisexuality	Biseksuaalisuus
Bishkek	Biškek
Bishop	Piispa
Bismarck	Bismarck (Pohjois-Dakota)
Bismarck (disambiguation)	Bismarck
Bismuth	Vismutti
Bissau	Bissau
Bit	Bitti
Bithynia	Bithynia
Bivalvia	Simpukat
Black	Musta
Black Death	Musta surma
Black Forest	Schwarzwald
Black Kite	Haarahaukka
Black Sea	Mustameri
Black Stork	Mustahaikara
Black body	Musta kappale
Black hole	Musta aukko
Black pepper	Pippuri
Blackbird	Mustarastas
Blaise Pascal	Blaise Pascal
Blender (software)	Blender (ohjelma)
Blindness	Sokeus
Blitzkrieg	Salamasota
Bloemfontein	Bloemfontein
Blog	Blogi
Blood	Veri
Blood plasma	Veriplasma
Blood pressure	Verenpaine
Blood type	Veriryhmä
Blood vessel	Verisuoni
Blue	Sininen
Blue Whale	Sinivalas
Blues	Blues
Boar	Villisika
Board game	Lautapeli
Boat	Vene
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Rattikelkkailu
Bodhisattva	Bodhisattva
Body mass index	Painoindeksi
Bodybuilding	Kehonrakennus
Bohemia	Böömi
Bohrium	Bohrium
Boiling point	Kiehumispiste
Boise	Boise
Boletus edulis	Herkkutatti
Bolivia	Bolivia
Bolivia	Luokka:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolshevik	Bolševikit
Bolzano	Bolzano
Bomb	Pommi
Bomber	Pommikone
Bombyx mori	Mulperiperhonen
Bond (finance)	Joukkovelkakirja
Bone	Luu
Bone marrow	Luuydin
Bonn	Bonn
Bonsai	Bonsai
Book	Kirja
Book of Esther	Esterin kirja
Book of Joshua	Joosuan kirja
Book of Judges	Tuomarien kirja
Book of Mormon	Mormonin kirja
Book of Numbers	Neljäs Mooseksen kirja
Book of Revelation	Johanneksen ilmestys
Book of Ruth	Ruutin kirja
Boolean algebra (structure)	Boolen algebra
Boomerang	Bumerangi
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spasski
Borneo	Borneo
Boron	Boori
Bosnia and Herzegovina	Bosnia ja Hertsegovina
Bosnia and Herzegovina	Luokka:Bosnia ja Hertsegovina
Boson	Bosoni
Bosporus	Bosporinsalmi
Boston	Boston
Boston Tea Party	Bostonin teekutsut
Bot	Malline:Bot
Botanical garden	Kasvitieteellinen puutarha
Botany	Kasvitiede
Botany	Luokka:Kasvitiede
Botswana	Botswana
Botswana	Luokka:Botswana
Bottle	Pullo
Bottlenose Dolphin	Pullonokkadelfiini
Bourgeoisie	Porvaristo
Bourgogne	Burgundi
Bouvet Island	Bouvet’nsaari
Bovid	Onttosarviset
Bow (weapon)	Jousi (ase)
Bowling	Keilailu
Boxer (dog)	Bokseri
Boxers	Luokka:Nyrkkeilijät
Boxing	Nyrkkeily
Boxing	Luokka:Nyrkkeily
Boyle's law	Boylen laki
Bracket	Sulkeet
Braga	Braga
Brahma	Brahma
Brahmaputra River	Brahmaputra
Braille	Pistekirjoitus
Brain	Aivot
Brainstorming	Aivoriihi
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brandy
Brass	Messinki
Brassicaceae	Ristikukkaiskasvit
Brassiere	Rintaliivit
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasilia
Brazil	Luokka:Brasilia
Brazzaville	Brazzaville
Bread	Leipä
Breast	Rinnat
Breast cancer	Rintasyöpä
Bremen	Bremen
Bremen (state)	Bremen (osavaltio)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest (Ranska)
Brest	Brest (Valko-Venäjä)
Brest	Brest
Bretagne	Bretagne
Brick	Tiili
Bridge	Silta
Bridges	Luokka:Sillat
Bridgetown	Bridgetown
Brigade	Prikaati
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Brittiläinen Kolumbia
British Empire	Brittiläinen imperiumi
British Isles	Britteinsaaret
British Virgin Islands	Brittiläiset Neitsytsaaret
British people	Luokka:Brittiläiset henkilöt
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Parsakaali
Bromine	Bromi
Bronze	Pronssi
Bronze Age	Pronssikausi
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Brown	Ruskea
Brown Bear	Karhu
Brownian motion	Brownin liike
Bruce Lee	Bruce Lee
Bruges	Brugge
Brunei	Brunei
Brunei	Luokka:Brunei
Brussels	Bryssel
Bubonic plague	Paiserutto
Bucharest	Bukarest
Buckingham Palace	Buckinghamin palatsi
Buckminster Fuller	Buckminster Fuller
Buckwheat	Tattari
Budapest	Budapest
Buddha	Buddha
Buddhism	Buddhalaisuus
Buddhism	Luokka:Buddhalaisuus
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo (New York)
Building	Rakennus
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Bulgaria	Luokka:Bulgaria
Bumblebee	Kimalaiset
Buoyancy	Noste
Bureaucracy	Byrokratia
Burkina Faso	Burkina Faso
Burkina Faso	Luokka:Burkina Faso
Burma	Myanmar
Burma	Luokka:Myanmar
Burqa	Burka
Bursa	Bursa
Burundi	Luokka:Burundi
Bus	Linja-auto
Bus (computing)	Väylä
Business	Talous
Businesspeople	Luokka:Liikemiehet
Buster Keaton	Buster Keaton
Butane	Butaani
Butter	Voi
Butterfly effect	Perhosvaikutus
Bydgoszcz	Bydgoszcz
Byte	Tavu (tietotekniikka)
Byzantine Empire	Luokka:Bysantin valtakunta
C	C
C (programming language)	C (ohjelmointikieli)
C. S. Lewis	C. S. Lewis
CD (disambiguation)	Cd (täsmennyssivu)
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaree
Cacao	Kaakaopuu
Cache	Välimuisti
Cactus	Kaktuskasvit
Cadmium	Kadmium
Cadmus	Kadmos
Caelum	Veistotaltta
Caesium	Cesium
Caffeine	Kofeiini
Cairo	Kairo
Cake	Kakku
Calabria	Calabria
Calais	Calais
Calcite	Kalsiitti
Calcium	Kalsium
Calcium carbonate	Kalsiumkarbonaatti
Calcium oxide	Kalkki
Calculator	Laskin
Calculus	Differentiaalilaskenta
Caldera	Kaldera
Calendar	Kalenteri
Caliber	Kaliiperi
California	Kalifornia
California	Luokka:Kalifornia
Californium	Kalifornium
Caligula	Caligula
Caliph	Kalifi
Calligraphy	Kalligrafia
Calliope	Kalliope
Callisto (moon)	Kallisto (kuu)
Callisto (mythology)	Kallisto (mytologia)
Calorie	Kalori
Calvados	Calvados (departementti)
Calvary	Golgata
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinismi
Calypso (mythology)	Kalypso
Cambodia	Kambodža
Cambodia	Luokka:Kambodža
Cambrian	Kambrikausi
Cambridge	Cambridge
Cambridge	Cambridge (Massachusetts)
Cambridge (disambiguation)	Cambridge (täsmennyssivu)
Camel	Kamelit
Camembert (cheese)	Camembert
Camera	Kamera
Cameroon	Kamerun
Cameroon	Luokka:Kamerun
Campania	Campania
Canada	Kanada
Canada	Luokka:Kanada
Canadian dollar	Kanadan dollari
Canal	Kanava
Canary Islands	Kanariansaaret
Canary Islands	Luokka:Kanariansaaret
Canberra	Canberra
Cancer	Syöpä
Cancer (constellation)	Krapu
Candela	Kandela
Candle	Kynttilä
Canidae	Koiraeläimet
Canis Major	Iso koira
Canis Minor	Pieni koira
Cannabis	Kannabis
Cannabis (drug)	Kannabis
Cannes	Cannes
Cannibalism	Kannibalismi
Cannon	Kanuuna
Canoe	Kanootti
Canon (company)	Canon
Canopus	Canopus
Cantata	Kantaatti
Canterbury	Canterbury
Cantonese (linguistics)	Kantoninkiina
Canute the Great	Knuut Suuri
Capacitor	Kondensaattori
Cape Canaveral	Cape Canaveral
Cape Horn	Kap Horn
Cape Town	Kapkaupunki
Cape Verde	Kap Verde
Cape Verde	Luokka:Kap Verde
Cape of Good Hope	Hyväntoivonniemi
Capital	Pääkaupunki
Capital (economics)	Pääoma
Capital punishment	Kuolemanrangaistus
Capitalism	Kapitalismi
Cappadocia	Kappadokia
Capricornus	Kauris (tähdistö)
Caracal	Aavikkoilves
Caracas	Caracas
Carambola	Karambola
Carat (mass)	Karaatti
Carat (purity)	Karaatti
Caravaggio	Caravaggio
Carbohydrate	Hiilihydraatti
Carbon	Hiili
Carbon cycle	Hiilen kiertokulku
Carbon dioxide	Hiilidioksidi
Carbon monoxide	Hiilimonoksidi
Carbonic acid	Hiilihappo
Carboniferous	Kivihiilikausi
Carboxylic acid	Karboksyylihappo
Carburetor	Kaasutin
Card game	Korttipeli
Cardamom	Kardemumma
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinaali
Cardinal Richelieu	Kardinaali Richelieu
Cardiology	Kardiologia
Cardiology	Luokka:Kardiologia
Cardiovascular system	Luokka:Verenkiertoelimistö
Caribbean	Länsi-Intia
Caribbean	Luokka:Karibia
Caribbean Sea	Karibianmeri
Caricature	Pilapiirros
Carina (constellation)	Köli (tähdistö)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Karnevaali
Carnivora	Petoeläimet
Carnivore	Lihansyöjä
Carnivorous plant	Lihansyöjäkasvi
Carolingian dynasty	Karolingit
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Karpaatit
Carrot	Porkkana
Carson City	Carson City
Cartesian coordinate system	Koordinaatisto#Suorakulmainen koordinaatisto
Cartesian product	Karteesinen tulo
Carthage	Karthago
Cartography	Kartografia
Cartography	Luokka:Kartografia
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Cashew	Munuaispuu
Casino	Kasino
Caspian Sea	Kaspianmeri
Cassandra	Kassandra
Cassiopeia (constellation)	Kassiopeia (tähdistö)
Cast iron	Valurauta
Caste	Kastilaitos
Castile (historical region)	Kastilia
Castle	Linna
Castries	Castries (kaupunki)
Casus belli	Casus belli
Cat	Kissa
Catalonia	Katalonia
Catalonia	Luokka:Katalonia
Catalysis	Katalyytti
Cataphract	Katafrakti
Cataract	Harmaakaihi
Catfish	Monnikalat
Catharism	Kataarit
Cathedral	Katedraali
Catherine Parr	Katariina Parr
Catherine of Aragon	Katariina Aragonialainen
Cathode	Katodi
Catholicism	Katolisuus
Cattle	Nauta
Cattle Egret	Lehmähaikara
Catullus	Catullus
Caucasus	Kaukasia
Caucasus	Luokka:Kaukasia
Caucasus Mountains	Kaukasus
Cauliflower	Kukkakaali
Causality	Kausaliteetti
Cavalry	Ratsuväki
Cave	Luola
Caviar	Kaviaari
Cayenne	Cayenne
Cayman Islands	Caymansaaret
Cecil Rhodes	Cecil Rhodes
Cedar	Setrit
Celery	Selleri
Celestial equator	Taivaanekvaattori
Celestial mechanics	Luokka:Taivaanmekaniikka
Celestial mechanics	Taivaanmekaniikka
Celestial sphere	Taivaankansi
Celibacy	Selibaatti
Cell (biology)	Solu
Cell membrane	Solukalvo
Cell nucleus	Tuma
Cell wall	Soluseinä
Cello	Sello
Cellulose	Selluloosa
Celsius	Celsiusaste
Cement	Sementti
Cemetery	Hautausmaa
Cenozoic	Kenotsooinen maailmankausi
Census	Väestönlaskenta
Centaur	Kentauri (taruolento)
Centaurus	Kentauri
Center of mass	Painopiste
Central Africa	Keski-Afrikka (alue)
Central African Republic	Keski-Afrikan tasavalta
Central African Republic	Luokka:Keski-Afrikan tasavalta
Central America	Keski-Amerikka
Central Intelligence Agency	CIA
Central Park	Central Park
Central Powers	Keskusvallat
Central bank	Keskuspankki
Central nervous system	Keskushermosto
Central processing unit	Suoritin
Centre	Centre
Centriole	Keskusjyvänen
Century	Vuosisata
Cepheus (constellation)	Kefeus (tähdistö)
Ceramic	Keraami
Cerberus	Kerberos
Cereal	Vilja
Cerebellum	Pikkuaivot
Ceres (dwarf planet)	Ceres
Ceres (mythology)	Ceres (jumalatar)
Cerium	Cerium
Cesare Borgia	Cesare Borgia
Cetacea	Valaat
Cetus	Valaskala
Chad	Tšad
Chad	Luokka:Tšad
Chaffinch	Peippo
Chair	Tuoli
Chalcedony	Kalsedoni
Chamaeleon	Kameleontti (tähdistö)
Chamois	Gemssi
Champagne (wine)	Samppanja
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Kanaalin tunneli
Chaos (mythology)	Khaos
Charadriiformes	Rantalinnut
Charlemagne	Kaarle Suuri
Charleroi	Charleroi
Charles	Walesin prinssi Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles S. Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Kaarle Kaljupää
Charleston	Charleston (Länsi-Virginia)
Charlie Chaplin	Charles Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Charmed	Siskoni on noita
Charon (moon)	Kharon
Charon (mythology)	Kharon (mytologia)
Chartres	Chartres
Chauvinism	Šovinismi
Che Guevara	Che Guevara
Chechnya	Tšetšenia
Chechnya	Luokka:Tšetšenia
Cheese	Juusto
Cheetah	Gepardi
Chelyabinsk	Tšeljabinsk
Chemical bond	Kemiallinen sidos
Chemical compound	Yhdiste
Chemical element	Alkuaine
Chemical engineering	Kemiantekniikka
Chemical formula	Kemiallinen kaava
Chemical reaction	Kemiallinen reaktio
Chemical warfare	Kemiallinen ase
Chemistry	Kemia
Chemistry	Luokka:Kemia
Chemnitz	Chemnitz
Chemotherapy	Kemoterapia
Chennai	Chennai
Cheque	Šekki
Chernobyl	Tšornobyl
Cherry	Cerasus
Chert	Piikivi
Cherub	Kerubi
Chess	Shakki
Chess	Luokka:Shakki
Chess opening	Shakkiavaus
Chester A. Arthur	Chester A. Arthur
Chestnut	Kastanja
Chewing gum	Purukumi
Cheyenne	Cheyenne
Chi (letter)	Khii
Chiang Kai-shek	Tšiang Kai-šek
Chicago	Chicago
Chicken	Kana
Chickenpox	Vesirokko
Chickpea	Kikherne
Chihuahua	Chihuahua (osavaltio)
Child	Lapsi
Childbirth	Synnytys
Chile	Chile
Chile	Luokka:Chile
Chimborazo (volcano)	Chimborazo (vuori)
Chimera (mythology)	Khimaira
Chimpanzee	Simpanssit
China	Luokka:Kiina
Chios	Khios
Chiron	Kheiron
Chitin	Kitiini
Chlorine	Kloori
Chloroform	Kloroformi
Chlorophyll	Lehtivihreä
Chloroplast	Viherhiukkanen
Chocolate	Suklaa
Choir	Kuoro
Cholera	Kolera
Cholesterol	Kolesteroli
Chondrichthyes	Rustokalat
Chongqing	Chongqing
Chord (music)	Sointu
Chordate	Selkäjänteiset
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kristinusko
Christianity	Luokka:Kristinusko
Christmas	Joulu
Christmas	Luokka:Joulu
Christmas Eve	Jouluaatto
Christmas tree	Joulukuusi
Christopher Columbus	Kristoffer Kolumbus
Christopher Marlowe	Christopher Marlowe
Chromatin	Kromatiini
Chromatography	Kromatografia
Chromium	Kromi
Chromosome	Kromosomi
Chronology	Luokka:Kronologia
Chuck Berry	Chuck Berry
Chukchi Sea	Tšuktšimeri
Church	Kirkko
Church (building)	Kirkko (rakennus)
Church of England	Anglikaaninen kirkko
Cicero	Cicero
Ciconiiformes	Haikaralinnut
Cider	Siideri
Cigarette	Savuke
Cinderella	Tuhkimo
Cinnabar	Sinooperi
Cinnamon	Ceyloninkaneli
Circe	Kirke
Circinus	Harppi (tähdistö)
Circle	Ympyrä
Circulatory system	Verenkierto
Circumcision	Ympärileikkaus
Circus	Sirkus
Cirrhosis	Kirroosi
Citizenship	Kansalaisuus
Citric acid	Sitruunahappo
Citric acid cycle	Sitruunahappokierto
Citrus	Sitruspuut
City-state	Kaupunkivaltio
Civil war	Sisällissota
Civilization	Korkeakulttuuri
Civilization (computer game)	Civilization
Clarinet	Klarinetti
Clark Gable	Clark Gable
Class	Luokka
Class (biology)	Luokka (biologia)
Class (computer science)	Kapselointi
Classical mechanics	Klassinen mekaniikka
Classical music	Taidemusiikki
Classicism	Klassismi (kuvataide)
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clavicle	Solisluu
Clay	Savi
Clef	Nuottiavain
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra
Clergy	Papisto
Cleveland	Cleveland (Ohio)
Climate	Ilmasto
Climate	Luokka:Ilmasto
Climate change	Ilmastonmuutos
Climatology	Klimatologia
Climatology	Luokka:Klimatologia
Clinical depression	Masennus
Clio	Kleio
Clitoris	Häpykieli
Clock	Kello
Clock Tower	Big Ben
Cloning	Kloonaus
Clothing	Luokka:Vaatteet
Clothing	Vaate
Cloud	Pilvi
Clove	Mausteneilikka
Clover	Apilat
Clovis I	Klodvig
Cnidaria	Polttiaiseläimet
Coal	Kivihiili
Coast	Rannikko
Coat of arms	Vaakuna
Cobalt	Koboltti
Cocaine	Kokaiini
Coccinellidae	Leppäkertut
Cockatoo	Kakadut
Cockroach	Torakat
Cocktail	Drinkki
Coconut	Kookospalmu
Cocos (Keeling) Islands	Kookossaaret
Codeine	Kodeiini
Coffee	Kahvi
Coffee	Luokka:Kahvi
Cognac (drink)	Konjakki
Cognitive psychology	Kognitiivinen psykologia
Cognitive science	Kognitiotiede
Coin	Kolikko
Cola	Kolajuoma
Colchis	Kolkhis
Cold War	Kylmä sota
Cold War	Luokka:Kylmä sota
Colin Powell	Colin Powell
Collage	Kollaasi
Collagen	Kollageeni
Colloid	Kolloidi
Cologne	Köln
Colombia	Kolumbia
Colombia	Luokka:Kolumbia
Colombo	Colombo
Colonel	Eversti
Colony	Siirtomaa
Color	Väri
Color blindness	Värisokeus
Colorado	Colorado
Colorado	Luokka:Colorado
Colorado River	Coloradojoki
Colosseum	Colosseum
Colossus of Rhodes	Rodoksen kolossi
Colubrid	Tarhakäärmeet
Columba (constellation)	Kyyhkynen (tähdistö)
Columbia	Columbia (Etelä-Carolina)
Columbia	Columbia
Columbia River	Columbia (joki)
Columbia University	Columbian yliopisto
Columbidae	Kyyhkyt
Columbiformes	Luokka:Kyyhkylinnut
Columbiformes	Kyyhkylinnut
Columbus	Columbus (Ohio)
Columbus	Columbus (täsmennyssivu)
Coma	Kooma
Coma Berenices	Bereniken hiukset
Comedy	Komedia
Comenius	Johan Amos Comenius
Comet	Komeetta
Comma (punctuation)	Pilkku
Commedia dell'arte	Commedia dell'arte
Commerce	Luokka:Kauppa
Common Fig	Aitoviikuna
Common cold	Flunssa
Commonwealth of Independent States	Itsenäisten valtioiden yhteisö
Commonwealth of Nations	Kansainyhteisö
Communication	Luokka:Viestintä
Communication	Viestintä
Communism	Kommunismi
Communism	Luokka:Kommunismi
Comoros	Komorit
Comoros	Luokka:Komorit
Compact Disc	CD-levy
Company (military unit)	Komppania
Compass	Kompassi
Compass (drafting)	Harppi
Competition	Kilpailu
Compiler	Ohjelmointikielen kääntäjä
Complex instruction set computer	CISC
Complex number	Kompleksiluku
Composer	Säveltäjä
Composite material	Komposiitti
Composite number	Yhdistetty luku
Computational linguistics	Tietokonelingvistiikka
Computer	Tietokone
Computer display	Näyttö
Computer file	Tiedosto
Computer graphics	Luokka:Tietokonegrafiikka
Computer hardware	Tietokonelaitteisto
Computer network	Tietokoneverkko
Computer program	Tietokoneohjelma
Computer programming	Ohjelmointi
Computer programming	Luokka:Ohjelmointi
Computer science	Tietojenkäsittelytiede
Computer science	Luokka:Tietojenkäsittelytiede
Computer software	Tietokoneohjelma
Computer virus	Tietokonevirus
Computer-aided design	Tietokoneavusteinen suunnittelu
Conakry	Conakry
Concentration	Konsentraatio
Concerto	Konsertto
Concord	Concord
Concrete	Betoni
Condom	Kondomi
Conducting	Kapellimestari
Cone (geometry)	Kartio
Confederate States of America	Etelävaltiot
Confederation	Valtioliitto
Confirmation	Rippikoulu
Conflict	Konflikti
Confucianism	Kungfutselaisuus
Confucius	Kungfutse
Congo	Kongo
Congo River	Kongo (joki)
Conic section	Kartioleikkaus
Connecticut	Connecticut
Connecticut	Luokka:Connecticut
Connective tissue	Tukikudos
Conquistador	Konkistadori
Consensus	Konsensus-päätöksenteko
Conservation of energy	Energiaperiaate
Conservatism	Konservatismi
Consonant	Konsonantti
Constantine I	Konstantinus Suuri
Constantinople	Konstantinopoli
Constellation	Tähdistö
Constitution (political)	Perustuslaki
Consul	Konsuli
Consumption (economics)	Kulutus
Contact lens	Piilolinssi
Continent	Maanosa
Continental drift	Mannerliikunnot
Continental shelf	Mannerjalusta
Contract	Sopimus
Contract bridge	Bridge
Convection	Konvektio
Cooking	Ruoanlaitto
Cooperative	Osuuskunta
Coordinate system	Koordinaatisto
Copenhagen	Kööpenhamina
Copper	Kupari
Copyright	Tekijänoikeus
Cor anglais	Englannintorvi
Coraciiformes	Säihkylinnut
Coral Sea	Korallimeri
Coral reef	Koralliriutta
Coriander	Korianteri
Corinth	Korintti
Coriolis effect	Coriolis-ilmiö
Cork (city)	Cork
Cormorant	Merimetsot
Cornea	Sarveiskalvo
Cornell University	Cornellin yliopisto
Cornwall	Cornwall
Corona Borealis	Pohjan kruunu
Corrosion	Korroosio
Corsica	Korsika
Corundum	Korundi
Corvette	Korvetti
Corvidae	Varikset
Corvus (constellation)	Korppi (tähdistö)
Cosmic microwave background radiation	Kosminen taustasäteily
Cosmic ray	Kosminen säteily
Cosmology	Kosmologia
Cosmology	Luokka:Kosmologia
Costa Rica	Costa Rica
Costa Rica	Luokka:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Puuvilla
Cougar	Puuma
Coulomb	Coulombi
Coulomb's law	Coulombin laki
Council of Chalcedon	Khalkedonin kirkolliskokous
Council of Ephesus	Efesoksen kirkolliskokous
Council of Trent	Trenton kirkolliskokous
Counterpoint	Kontrapunkti
Country music	Country
Court	Tuomioistuin
Covalent bond	Kovalenttinen sidos
Coventry	Coventry
Coyote	Kojootti
Crab	Taskuravut
Crab Nebula	Rapusumu
Crane (bird)	Kurki
Crater (constellation)	Malja (tähdistö)
Creationism	Kreationismi
Cremona	Cremona
Cretaceous	Liitukausi
Crete	Kreeta
Cricket	Kriketti
Crime	Rikos
Crimea	Krim
Crimean War	Krimin sota
Criminology	Kriminologia
Criminology	Luokka:Kriminologia
Croatia	Kroatia
Croatia	Luokka:Kroatia
Crocodile	Krokotiilit
Crocodilia	Krokotiilieläimet
Cronus	Kronos
Cross	Risti
Crossbow	Varsijousi
Crossword	Sanaristikko
Crow	Varikset (suku)
Crucifixion	Ristiinnaulitseminen
Cruiser	Risteilijä
Crust (geology)	maankuori
Crustacean	Äyriäiset
Crux	Etelän risti
Cryptography	Salaus
Cryptography	Luokka:Salakirjoitustekniikka
Crystal	Kiteinen aine
Crystallography	Luokka:Kristallografia
Ctenophore	Kampamaneetit
Cuba	Kuuba
Cuba	Luokka:Kuuba
Cube	Kuutio
Cubic metre	Kuutiometri
Cubism	Kubismi
Cuculiformes	Käkilinnut
Cucumber	Kurkku
Cucurbitaceae	Kurkkukasvit
Cultural Revolution	Kulttuurivallankumous
Culture	Kulttuuri
Culture	Luokka:Kulttuuri
Cumbria	Cumbria
Cumulus cloud	Kumpupilvi
Cupressaceae	Sypressikasvit
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Currency	Valuutta
Curry	Curry
Curve	Käyrä
Cusco	Cusco
Cyan	Syaani
Cyanide	Syanidi
Cyanobacteria	Syanobakteerit
Cybele	Kybele
Cybernetics	Kybernetiikka
Cyberpunk	Kyberpunk
Cyclades	Kykladit
Cycling	Pyöräily
Cycling	Luokka:Pyöräily
Cyclone	Sykloni
Cyclops	Kyklooppi (mytologia)
Cygnus (constellation)	Joutsen (tähdistö)
Cylinder (geometry)	Lieriö
Cyperaceae	Sarakasvit
Cyprinid	Särkikalat
Cypriniformes	Karppikalat
Cyprus	Kyproksen tasavalta
Cyprus	Luokka:Kypros
Cyrillic alphabet	Kyrillinen kirjaimisto
Cyrus the Great	Kyyros II Suuri
Cystic fibrosis	Kystinen fibroosi
Cytoplasm	Solulima
Cytosine	Sytosiini
Cytoskeleton	Solun tukiranka
Czech Republic	Tšekki
Czech Republic	Luokka:Tšekki
Czechoslovakia	Tšekkoslovakia
Czechoslovakia	Luokka:Tšekkoslovakia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	DNA
DOS	DOS
DVD	DVD
Dachshund	Mäyräkoira
Dada	Dada
Daedalus	Daidalos
Dagger	Tikari
Daguerreotype	Dagerrotypia
Dahlia	Daaliat
Dakar	Dakar
Dalai Lama	Dalai-lama
Dallas	Dallas
Dalmatia	Dalmatia
Dam	Pato
Damascus	Damaskos
Dance	Tanssi
Dance	Luokka:Tanssi
Dandelion	Voikukka
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Tanskan kruunu
Dante Alighieri	Dante Alighieri
Danube	Tonava
Daphne	Dafne
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanellit
Darfur	Darfur
Darjeeling	Darjeeling
Dark matter	Pimeä aine
Darmstadtium	Darmstadtium
Darwin	Darwin (Australia)
Darwin	Darwin
Das Kapital	Pääoma (Marx)
Data	Data
Data structure	Tietorakenne
Database	Tietokanta
Database management system	Tietokannan hallintajärjestelmä
Date Palm	Välimerentaateli
Dative case	Datiivi
Daugavpils	Väinänlinna
David	Daavid
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Day	Vuorokausi
De facto	De facto
Deacon	Diakoni
Dead Sea	Kuollutmeri
Dead Sea scrolls	Kuolleenmeren kääröt
Deadly nightshade	Myrkkykoiso
Death	Kuolema
Death	Luokka:Kuolema
Decade	Luettelo vuosikymmenistä
December	Joulukuu
December 31	31. joulukuuta
December 8	8. joulukuuta
Decibel	Desibeli
Decimal	Kymmenjärjestelmä
Decius (emperor)	Decius
Declination	Deklinaatio
Deco	Deco
Deconstruction	Dekonstruktio
Deductive reasoning	Deduktiivinen päättely
Deer	Hirvieläimet
Definition	Määritelmä
Deflation	Deflaatio
Degree (angle)	Aste
Deimos (moon)	Deimos
Deism	Deismi
Delaware	Delaware
Delaware	Luokka:Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delfoi
Delphinus	Delfiini (tähdistö)
Delta	Delta (täsmennyssivu)
Delta (letter)	Delta
Deluge (mythology)	Vedenpaisumus
Dementia	Dementia
Demeter	Demeter
Democracy	Demokratia
Democratic Party (United States)	Yhdysvaltain demokraattinen puolue
Democratic Republic of the Congo	Kongon demokraattinen tasavalta
Democratic Republic of the Congo	Luokka:Kongon demokraattinen tasavalta
Democritus	Demokritos
Demography	Luokka:Väestötiede
Demon	Demoni
Demosthenes	Demosthenes
Deng Xiaoping	Deng Xiaoping
Dengue fever	Denguekuume
Denis Diderot	Denis Diderot
Denmark	Tanska
Denmark	Luokka:Tanska
Dennis Gabor	Dennis Gabor
Density	Tiheys
Dental caries	Karies
Dentistry	Luokka:Hammaslääketiede
Dentistry	Hammaslääketiede
Denver	Denver
Derivative	Derivaatta
