English	Czech
0 (number)	Nula
1	1
1 (number)	1 (číslo)
10	10
10 (number)	10 (číslo)
100	100
100 (number)	100 (číslo)
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
16 (number)	16 (číslo)
160	160
165	165
17	17
170	170
1728	1728
1728	Kategorie:1728
175	175
18	18
180	180
19	19
190	190
1970s	Kategorie:70. léta 20. století
2	2
2 (number)	2 (číslo)
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (seriál)
25	25
26	26
27	27
28	28
29	29
3	3
3 (number)	3 (číslo)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	4 (číslo)
40	40
400	400
41	41
42	42
42 (number)	42 (číslo)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	5 (číslo)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (číslo)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (číslo)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (číslo)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (číslo)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Cáchy
Aar	Aara
Aardvark	Hrabáč
Aarhus	Århus
Aaron	Árón (prorok)
Abacus	Abakus (kalkulátor)
Abbot	Opat
Abbreviation	Zkratka
Abdomen	Břicho
Abel Tasman	Abel Tasman
Abelian group	Abelova grupa
Aberdeen	Aberdeen (Skotsko)
Abidjan	Abidjan
Abkhazia	Abcházie
Abkhazia	Kategorie:Abcházie
Abolitionism	Abolicionismus
Abortion	Interrupce
Abraham	Abrahám (biblická postava)
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolutní hvězdná velikost
Absolute value	Absolutní hodnota
Absolute zero	Absolutní nula
Absolutism (European history)	Absolutismus
Abstraction	Abstrakce
Abu Dhabi	Abú Dhabí
Abu Dhabi (emirate)	Abú Dhabí
Abuja	Abuja
Academy Award	Oscar
Acapulco	Acapulco
Acceleration	Zrychlení
Accordion	Akordeon
Accountancy	Účetnictví
Accountancy	Kategorie:Účetnictví
Accra	Accra
Accusative case	Akuzativ
Acetaldehyde	Acetaldehyd
Acetic acid	Kyselina octová
Acetone	Aceton
Acetylcholine	Acetylcholin
Acetylene	Ethyn
Achilles	Achilles
Acid	Kyselina
Acid rain	Kyselý déšť
Acne vulgaris	Akné
Aconcagua	Aconcagua
Acoustics	Akustika
Acoustics	Kategorie:Akustika
Acre	Akr
Acre	Akko
Acre (state)	Acre (stát)
Acropolis	Akropolis
Actinide	Aktinoidy
Actinium	Aktinium
Actor	Herec
Acts of the Apostles	Skutky apoštolů
Acupuncture	Akupunktura
Ada (programming language)	Ada
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Baobab
Addiction	Závislost
Addis Ababa	Addis Abeba
Addition	Sčítání
Adelaide	Adelaide
Adenine	Adenin
Adenosine triphosphate	Adenosintrifosfát
Adiabatic process	Adiabatický děj
Adige	Adige
Adjective	Přídavné jméno
Admiral	Admirál
Adolescence	Teenager
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adónis
Adoption	Adopce
Adrenal gland	Nadledvina
Adriatic Sea	Jaderské moře
Adsorption	Adsorpce
Adult	Dospělost
Advent	Advent
Adverb	Příslovce
Advertising	Reklama
Aegean Sea	Egejské moře
Aeneas	Aineiás
Aeneid	Aeneis
Aeolus	Aiolos
Aerodynamics	Aerodynamika
Aerosol	Aerosol
Aeschylus	Aischylos
Aesop	Ezop
Aesthetics	Estetika
Affix	Afix
Afghanistan	Afghánistán
Afghanistan	Kategorie:Afghánistán
Africa	Afrika
Africa	Kategorie:Afrika
Afrikaans	Afrikánština
Agamemnon	Agamemnón
Agar	Agar
Agate	Achát
Agatha Christie	Agatha Christie
Aggression	Agrese
Agnosticism	Agnosticismus
Agora	Agora
Agoraphobia	Agorafobie
Agra	Ágra
Agriculture	Zemědělství
Agriculture	Kategorie:Zemědělství
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain (departement)
Airbus	Airbus
Aircraft	Letadlo
Aircraft	Kategorie:Letadla
Aircraft carrier	Letadlová loď
Airline	Letecká společnost
Airport	Letiště
Ajax	Ajax
Ajax (mythology)	Aiás
Ajax (programming)	Asynchronous JavaScript and XML
Akhenaten	Achnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Káida
Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanin
Alaska	Aljaška
Alaska	Kategorie:Aljaška
Alban Berg	Alban Berg
Albania	Albánie
Albania	Kategorie:Albánie
Albany	Albany (New York)
Albatross	Albatrosovití
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Kategorie:Alberta
Albinism	Albinismus
Albite	Albit
Album	Hudební album
Albuquerque	Albuquerque (Nové Mexiko)
Alchemy	Alchymie
Alchemy	Kategorie:Alchymie
Alcohol	Alkoholy
Alcoholic beverage	Alkoholický nápoj
Alcoholism	Alkoholismus
Aldebaran	Aldebaran
Aldehyde	Aldehydy
Alder	Olše (strom)
Aldous Huxley	Aldous Huxley
Aleksandr Solzhenitsyn	Alexandr Solženicyn
