Estonian	English
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ATP	ATP
Aachen	Aachen
Ålborg	Aalborg
Aare jõgi	Aar
Tuhnik	Aardvark
Århus	Aarhus
Aaron	Aaron
Abakus	Abacus
Ābādān	Abadan
Abt	Abbot
Abeli rühm	Abelian group
Aberdeen	Aberdeen
Abidjan	Abidjan
Abhaasia	Abkhazia
Kategooria:Abhaasia	Abkhazia
Aabraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absint	Absinthe
Absoluutne tähesuurus	Absolute magnitude
Absoluutväärtus	Absolute value
Absoluutne nulltemperatuur	Absolute zero
Absolutism	Absolutism (European history)
Abu Dhabi	Abu Dhabi
Abu Dhabi emiraat	Abu Dhabi (emirate)
Abuja	Abuja
Akaatsia	Acacia
Oscar	Academy Award
Acapulco	Acapulco
Kiirendus	Acceleration
Haugaslased	Accipitridae
Accra	Accra
Atseetaldehüüd	Acetaldehyde
Etaanhape	Acetic acid
Atsetoon	Acetone
Atsetüleen	Acetylene
Achilleus	Achilles
Hape	Acid
Happesademed	Acid rain
Aconcagua	Aconcagua
Akustika	Acoustics
Aaker	Acre
Acre osariik	Acre (state)
Aktinoidid	Actinide
Aktiinium	Actinium
Akupunktuur	Acupuncture
Aadam	Adam
Adam Smith	Adam Smith
Adana	Adana
Ahvileivapuu	Adansonia
Addis Abeba	Addis Ababa
Liitmine	Addition
Adelaide	Adelaide
Aden	Aden
Adeniin	Adenine
Adenosiintrifosfaat	Adenosine triphosphate
Adiabaatiline protsess	Adiabatic process
Adige jõgi	Adige
Admiral	Admiral
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Aadria meri	Adriatic Sea
Adsorptsioon	Adsorption
Täiskasvanu	Adult
Advent	Advent
Reklaam	Advertising
Egeuse meri	Aegean Sea
Aineias	Aeneas
Aeneis	Aeneid
Aerosool	Aerosol
Aischylos	Aeschylus
Esteetika	Aesthetics
Afganistan	Afghanistan
Kategooria:Afganistan	Afghanistan
Aafrika	Africa
Kategooria:Aafrika	Africa
Afroameeriklased	African American
Afrikaani keel	Afrikaans
Agamemnon	Agamemnon
Ahhaat	Agate
Agatha Christie	Agatha Christie
Lõuatud	Agnatha
Agnostitsism	Agnosticism
Agoraa	Agora
Agorafoobia	Agoraphobia
Agra	Agra
Põllumajandus	Agriculture
Kategooria:Põllumajandus	Agriculture
Aikidō	Aikido
Aini departemang	Ain
Airbus	Airbus
Õhusõiduk	Aircraft
Lennukikandja	Aircraft carrier
Ehnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qā‘idah	Al-Qaeda
Alabama	Alabama
Kategooria:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alaska	Alaska
Kategooria:Alaska	Alaska
Albaania	Albania
Kategooria:Albaania	Albania
Albany	Albany
Albatroslased	Albatross
Albeedo	Albedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Alberta	Alberta
Albiit	Albite
Muusikaalbum	Album
Alkeemia	Alchemy
Alkoholid	Alcohol
Alkohoolne jook	Alcoholic beverage
Alkoholism	Alcoholism
Aldebaran	Aldebaran
Aldehüüdid	Aldehyde
Aleksandr Solženitsõn	Aleksandr Solzhenitsyn
Ḩalab	Aleppo
Aleuudid (saarestik)	Aleutian Islands
Alexander Graham Bell	Alexander Graham Bell
Aleksandr Puškin	Alexander Pushkin
Aleksander Suur	Alexander the Great
Alexandre Dumas vanem	Alexandre Dumas
Aleksandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Vetikad	Algae
Algebra	Algebra
Kategooria:Algebra	Algebra
Alžeeria	Algeria
Kategooria:Alžeeria	Algeria
Alžiir	Algiers
Algoritm	Algorithm
‘Alī ibn Abī Ţālib	Ali
Leelismetallid	Alkali metal
Alkaloidid	Alkaloid
Alkaanid	Alkane
Alkeenid	Alkene
Alküünid	Alkyne
Allah	Allah
Allegooria	Allegory
Alleel	Allele
Allergia	Allergy
Alliteratsioon	Alliteration
Allofoon	Allophone
Allotroopia	Allotropy
Sulam	Alloy
Almatõ	Almaty
Harilik mandlipuu	Almond
Aaloe	Aloe
Alfaosake	Alpha particle
Tähestik	Alphabet
Alpid	Alps
Alsace	Alsace
Altar	Altar
Altai	Altay Mountains
Vahelduvvool	Alternating current
Kategooria:Alternatiivmeditsiin	Alternative medicine
Alternatiivmeditsiin	Alternative medicine
Altruism	Altruism
Alumiinium	Aluminium
Alumiiniumoksiid	Aluminium oxide
Alvar Aalto	Alvar Aalto
Punane kärbseseen	Amanita muscaria
Amarüllilised	Amaryllidaceae
Amaterasu	Amaterasu
Amazonas	Amazon River
Suursaadik	Ambassador
Merevaik	Amber
Ambrosius	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Ameerika Ühendriikide kodusõda	American Civil War
Ameerika Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Ameerika jalgpall	American football
Kategooria:Ameerika jalgpall	American football
Ameriitsium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametüst	Amethyst
Amhari keel	Amharic
Amiidid	Amide
Amiinid	Amine
Aminohapped	Amino acid
Amišid	Amish
‘Ammān	Amman
Ammoniaak	Ammonia
Amneesia	Amnesia
Amnestia	Amnesty
Amper	Ampere
Amfetamiin	Amphetamine
Kahepaiksed	Amphibian
Amfiteater	Amphitheatre
Amfora	Amphora
Amplituud	Amplitude
Amsterdam	Amsterdam
Kategooria:Amsterdam	Amsterdam
Amon	Amun
Amuur	Amur
Anabaptistid	Anabaptist
Anaheim	Anaheim
Analüütiline geomeetria	Analytic geometry
Anarhism	Anarchism
Kategooria:Anarhism	Anarchism
Anarhia	Anarchy
Partlased	Anatidae
Anatole France	Anatole France
Kategooria:Anatoomia	Anatomy
Anatoomia	Anatomy
Anaximandros	Anaximander
Ankur	Anchor
Andaluusia	Andalusia
Andamani meri	Andaman Sea
Anders Celsius	Anders Celsius
Andid	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Kategooria:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrei Sahharov	Andrei Sakharov
Andrei Tarkovski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda (täpsustus)	Andromeda
Andromeeda (tähtkuju)	Andromeda (constellation)
Andromeda	Andromeda (mythology)
Andromeeda galaktika	Andromeda Galaxy
Andy Warhol	Andy Warhol
Aneemia	Anemia
Anemomeeter	Anemometer
Angara	Angara River
Ingel	Angel
Angeli juga	Angel Falls
Nurk	Angle
Angola	Angola
Kategooria:Angola	Angola
Anguilla	Anguilla
Boëthius	Anicius Manlius Severinus Boethius
Aniliin	Aniline
Loomad	Animal
Animatsioon	Animation
Anime	Anime
Animism	Animism
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Rõngussid	Annelid
PKr	Anno Domini
Anoreksia	Anorexia nervosa
Sipelglased	Ant
Antananarivo	Antananarivo
Antarktika	Antarctica
Kategooria:Antarktika	Antarctica
Antares	Antares
Anthony Hopkins	Anthony Hopkins
Antropoloogia	Anthropology
Kategooria:Antropoloogia	Anthropology
Antroposoofia	Anthroposophy
Antikehad	Antibody
Antigua ja Barbuda	Antigua and Barbuda
Antimon	Antimony
Vastupaavst	Antipope
Antisemitism	Antisemitism
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Tšehhov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonüüm	Antonym
Antwerpen	Antwerp
Anubis	Anubis
Pärak	Anus
Apatiit	Apatite
Hominoidea	Ape
Aforism	Aphorism
Aphrodite	Aphrodite
Sarikalised	Apiaceae
Apokrüüfid	Apocrypha
Apollon	Apollo
Apollo	Apollo (disambiguation)
Apollo programm	Apollo program
Apoptoos	Apoptosis
Apalatšid	Appalachian Mountains
Õun	Apple
Aprill	April
14. aprill	April 14
Naljapäev	April Fools' Day
Apsiid	Apse
Apuulia	Apulia
Al-‘Aqabah	Aqaba
Kuningvesi	Aqua regia
Akvamariin	Aquamarine
Akvaarium	Aquarium
Akvedukt	Aqueduct
Akvitaania	Aquitaine
Altar (tähtkuju)	Ara (constellation)
Araablased	Arab
Araabia	Arabian Peninsula
Araabia meri	Arabian Sea
Araabia keel	Arabic language
Ämblikulaadsed	Arachnid
Arafura meri	Arafura Sea
Aragón	Aragon
Araali meri	Aral Sea
Aram Hatšaturjan	Aram Khachaturian
Arkaadia	Arcadia
Arheoloogia	Archaeology
Kategooria:Arheoloogia	Archaeology
Ürglind	Archaeopteryx
Peapiiskop	Archbishop
Arhaikum	Archean
Arhetüüp	Archetype
Archimedes	Archimedes
Saarestik	Archipelago
Arhitekt	Architect
Arhitektuur	Architecture
Kategooria:Arhitektuur	Architecture
Arhiiv	Archive
Arktika	Arctic
Põhjapolaarjoon	Arctic Circle
Põhja-Jäämeri	Arctic Ocean
Polaarrebane	Arctic fox
Ardennesi departemang	Ardennes (department)
Aar	Are
Pindala	Area
Ares	Ares
Argentina	Argentina
Kategooria:Argentina	Argentina
Argoon	Argon
Aaria	Aria
Arianism	Arianism
Aristokraatia	Aristocracy
Aristoteles	Aristotle
Aritmeetika	Arithmetic
Areios	Arius
Arizona	Arizona
Kategooria:Arizona	Arizona
Arkansas	Arkansas
Kategooria:Arkansas	Arkansas
Armeenia	Armenia
Kategooria:Armeenia	Armenia
Armeenia keel	Armenian language
Arno jõgi	Arno River
Arnold Schönberg	Arnold Schoenberg
Areenid	Aromatic hydrocarbon
Arras	Arras
Arseen	Arsenic
Kunst	Art
Artemis	Artemis
Koirohi	Artemisia absinthium
Lülijalgsed	Arthropod
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Tehisintellekt	Artificial intelligence
Kategooria:Kunst	Arts
Aruba	Aruba
Kategooria:Aruba	Aruba
Asbest	Asbestos
Asklepios	Asclepius
Aseksuaalsus	Asexuality
Asgard	Asgard
Assurbanipal	Ashurbanipal
Aasia	Asia
Kategooria:Aasia	Asia
Asmara	Asmara
Asfalt	Asphalt
Aspiriin	Aspirin
Assam	Assam
Atentaat	Assassination
Assemblerkeel	Assembly language
ASEAN	Association of Southeast Asian Nations
Assüüria	Assyria
Kategooria:Assüüria	Assyria
Astana	Astana
Astaat	Astatine
Korvõielised	Asteraceae
Kategooria:Korvõielised	Asteraceae
Asteroid	Asteroid
Astenosfäär	Asthenosphere
Bronhiaalastma	Asthma
Astrahan	Astrakhan
Astrobioloogia	Astrobiology
Astroloogia	Astrology
Kategooria:Astroloogia	Astrology
Astronoomiline ühik	Astronomical unit
Astronoomia	Astronomy
Kategooria:Astronoomia	Astronomy
Astrofüüsika	Astrophysics
Aswān	Aswan
Atacama	Atacama Desert
Aton	Aten
Athena	Athena
Ateena	Athens
Kategooria:Kergejõustik	Athletics
Kergejõustik	Athletics (track and field)
Atlanta	Atlanta
Atlandi ookean	Atlantic Ocean
Kategooria:Atlandi ookean	Atlantic Ocean
Atlantis	Atlantis
Atlas	Atlas (disambiguation)
Atlase mäed	Atlas Mountains
Atmosfäär (ühik)	Atmosphere (unit)
Õhurõhk	Atmospheric pressure
Atoll	Atoll
Aatom	Atom
Aatomkell	Atomic clock
Aatommass	Atomic mass
Aatommassiühik	Atomic mass unit
Aatomnumber	Atomic number
Aatomifüüsika	Atomic physics
Atreus	Atreus
Attila	Attila the Hun
Au (täpsustus)	Au
Auckland	Auckland
August	August
1. august	August 1
15. august	August 15
6. august	August 6
Augusta (Maine)	Augusta
Auguste Rodin	Auguste Rodin
Augustinus	Augustine of Hippo
Augustus	Augustus
Veomees	Auriga (constellation)
Virmalised	Aurora (astronomy)
Austin	Austin
Austraalia	Australia
Kategooria:Austraalia	Australia
Austraalia dollar	Australian dollar
Australopithecus	Australopithecus
Austria	Austria
Kategooria:Austria	Austria
Austria-Ungari	Austria-Hungary
Autor	Author
Autosport	Auto racing
Auto	Automobile
Autotroof	Autotroph
Sügis	Autumn
Auvergne	Auvergne (region)
Laviin	Avalanche
Avataara	Avatar
Ibn Rushd	Averroes
Kategooria:Lennundus	Aviation
Lennundus	Aviation
Ibn Sīnā	Avicenna
Avignon	Avignon
Avogadro seadus	Avogadro's law
Kirves	Axe
Aksioom	Axiom
Ajatolla	Ayatollah
Aserbaidžaan	Azerbaijan
Kategooria:Aserbaidžaan	Azerbaijan
Asimuut	Azimuth
Assoorid	Azores
B	B
BASIC	BASIC
Baal	Baal
Paabel	Babylon
Bakterid	Bacteria
Kategooria:Bakterid	Bacteria
Sulgpall	Badminton
Baffini laht	Baffin Bay
Baffini saar	Baffin Island
Bagdad	Baghdad
Kategooria:Bahama	Bahamas
Bahrein	Bahrain
Kategooria:Bahrein	Bahrain
Baja California	Baja California
Bakuu	Baku
Balalaika	Balalaika
Bilanss	Balance sheet
Baldr	Baldr
Baleaarid	Balearic Islands
Bali	Bali
Stara planina	Balkan Mountains
Balkani poolsaar	Balkans
Ballett	Ballet
Ballistiline rakett	Ballistic missile
Pastapliiats	Ballpoint pen
Läänemeri	Baltic Sea
Baltimore	Baltimore
Bamako	Bamako
Bambus	Bamboo
Banaan	Banana
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Kategooria:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Baptism	Baptist
Barbados	Barbados
Kategooria:Barbados	Barbados
Barbarid	Barbarian
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Kategooria:Barcelona	Barcelona
Barentsi meri	Barents Sea
Bari	Bari
Baarium	Barium
Oder	Barley
Suitsupääsuke	Barn Swallow
Barokk	Baroque
Barrel	Barrel (unit)
Basalt	Basalt
Alus (keemia)	Base (chemistry)
Pesapall	Baseball
Kategooria:Pesapall	Baseball
Basel	Basel
Basiilika	Basilica
Basilicata	Basilicata
Basilisk	Basilisk
Korvpall	Basketball
Kategooria:Korvpall	Basketball
Al-Başrah	Basra
Basskitarr	Bass guitar
Alam-Normandia	Basse-Normandie
Basseterre	Basseterre
Fagott	Bassoon
Bastille	Bastille
Käsitiivalised	Bat
Batman	Batman
Baton Rouge	Baton Rouge
Pataljon	Battalion
Austerlitzi lahing	Battle of Austerlitz
Hastingsi lahing	Battle of Hastings
Waterloo lahing	Battle of Waterloo
Lahingulaev	Battleship
Bauhaus	Bauhaus
Boksiit	Bauxite
Baieri	Bavaria
Kategooria:Baieri	Bavaria
Bengali laht	Bay of Bengal
Biskaia laht	Bay of Biscay
Tääk	Bayonet
Bayonne	Bayonne
Beauforti meri	Beaufort Sea
Kobras	Beaver
Bebop	Bebop
Bekrell	Becquerel
Mesilane	Bee
Kategooria:Mesindus	Beekeeping
Õlu	Beer
Kategooria:Õlu	Beer
Mardikalised	Beetle
Biheiviorism	Behaviorism
Peking	Beijing
Beirut	Beirut
Valgevene	Belarus
Kategooria:Valgevene	Belarus
Belfast	Belfast
Belgia	Belgium
Kategooria:Belgia	Belgium
Belgrad	Belgrade
Belize	Belize
Kategooria:Belize	Belize
Kõhutants	Belly dance
Belo Horizonte	Belo Horizonte
Valgevaal	Beluga
Bengal	Bengal
Benin	Benin
Kategooria:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Beringi meri	Bering Sea
Beringi väin	Bering Strait
Berkeelium	Berkelium
Berkshire	Berkshire
Berliin	Berlin
Kategooria:Berliin	Berlin
Bermuda	Bermuda
Bermuda kolmnurk	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Berüllium	Beryllium
Bette Davis	Bette Davis
Bhutan	Bhutan
Kategooria:Bhutan	Bhutan
Piibel	Bible
Kategooria:Piibel	Bible
Jalgratas	Bicycle
Suur Pauk	Big Bang
Bihar	Bihar
Bikiinid	Bikini
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binokkel	Binoculars
Biokeemia	Biochemistry
Kategooria:Biokeemia	Biochemistry
Biodiversiteet	Biodiversity
Biogeograafia	Biogeography
Bioloogiline relv	Biological warfare
Bioloogia	Biology
Kategooria:Bioloogia	Biology
Biofüüsika	Biophysics
Biopsia	Biopsy
Biosfäär	Biosphere
Biotiin	Biotin
Bipolaarne häire	Bipolar disorder
Kask	Birch
Linnud	Bird
Biseksuaalsus	Bisexuality
Biškek	Bishkek
Piiskop	Bishop
Oda (male)	Bishop (chess)
Bismarck	Bismarck
Bismarck (täpsustus)	Bismarck (disambiguation)
Vismut	Bismuth
Bissau	Bissau
Bitt	Bit
Bitüünia	Bithynia
Karbid	Bivalvia
Must	Black
Must surm	Black Death
Schwarzwald	Black Forest
Must meri	Black Sea
Must-toonekurg	Black Stork
Absoluutselt must keha	Black body
Must auk	Black hole
Musträstas	Blackbird
Blaise Pascal	Blaise Pascal
Ajaveeb	Blog
Veri	Blood
Veresoon	Blood vessel
Sinine	Blue
Sinivaal	Blue Whale
Bluus	Blues
Metssiga	Boar
Lauamäng	Board game
Paat	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Robert Fischer	Bobby Fischer
Bobisõit	Bobsleigh
Bodhisattva	Bodhisattva
Kehamassiindeks	Body mass index
Čechy	Bohemia
Bohrium	Bohrium
Keemistemperatuur	Boiling point
Boise	Boise
Harilik kivipuravik	Boletus edulis
Boliivia	Bolivia
Bologna	Bologna
Bolševikud	Bolshevik
Bolzano	Bolzano
Pommitaja	Bomber
Luu	Bone
Luuüdi	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Raamat	Book
Joosua raamat	Book of Joshua
Kohtumõistjate raamat	Book of Judges
Ilmutuseraamat	Book of Revelation
Ruti raamat	Book of Ruth
Bordeaux	Bordeaux
Boriss Godunov	Boris Godunov
Boriss Pasternak	Boris Pasternak
Kalimantan	Borneo
Boor	Boron
Bosnia ja Hertsegoviina	Bosnia and Herzegovina
Kategooria:Bosnia ja Hertsegoviina	Bosnia and Herzegovina
Boson	Boson
Bosporus	Bosporus
Boston	Boston
Bostoni teejoomine	Boston Tea Party
Mall:Bot	Bot
Botaanika	Botany
Kategooria:Botaanika	Botany
Botswana	Botswana
Kategooria:Botswana	Botswana
Afaliin	Bottlenose Dolphin
Burgundia	Bourgogne
Bouvet' saar	Bouvet Island
Kategooria:Poksijad	Boxers
Poks	Boxing
Braga	Braga
Brahma	Brahma
Brahmaputra	Brahmaputra River
Peaaju	Brain
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brändi	Brandy
Messing	Brass
Ristõielised	Brassicaceae
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasiilia	Brazil
Kategooria:Brasiilia	Brazil
Brazzaville	Brazzaville
Leib	Bread
Bremen	Bremen
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest (Prantsusmaa)	Brest
Brest (Valgevene)	Brest
Brest	Brest
Bretagne	Bretagne
Tellis	Brick
Sild	Bridge
Kategooria:Sillad	Bridges
Bridgetown	Bridgetown
Brigaad	Brigade
Brisbane	Brisbane
Bristol	Bristol
Briti Columbia	British Columbia
Briti saared	British Isles
Briti Neitsisaared	British Virgin Islands
Kategooria:Suurbritannia inimesed	British people
Brno	Brno
Broom	Bromine
Pronks	Bronze
Pronksiaeg	Bronze Age
Brooklyn	Brooklyn
Karu	Brown Bear
Browni liikumine	Brownian motion
Bruce Lee	Bruce Lee
Brugge	Bruges
Brunei	Brunei
Kategooria:Brunei	Brunei
Brüssel	Brussels
Katk	Bubonic plague
Bukarest	Bucharest
Budapest	Budapest
Budism	Buddhism
Kategooria:Budism	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Hoone	Building
Bujumbura	Bujumbura
Bulgaaria	Bulgaria
Kategooria:Bulgaaria	Bulgaria
Kimalane	Bumblebee
Üleslükkejõud	Buoyancy
Bürokraatia	Bureaucracy
Bürgermeister	Burgomaster
Burkina Faso	Burkina Faso
Kategooria:Burkina Faso	Burkina Faso
Birma	Burma
Kategooria:Myanmar	Burma
Bursa	Bursa
Kategooria:Burundi	Burundi
Buss	Bus
Ettevõte	Business
Butaan	Butane
Või	Butter
Liblikaefekt	Butterfly effect
Bydgoszcz	Bydgoszcz
Bait	Byte
C	C
C (programmeerimiskeel)	C (programming language)
C. S. Lewis	C. S. Lewis
Cd	CD (disambiguation)
Kaadmium	Cadmium
Kadmos	Cadmus
Tseesium	Caesium
Kofeiin	Caffeine
Kairo	Cairo
Calabria	Calabria
Kaltsiit	Calcite
Kaltsium	Calcium
Kaltsiumkarbonaat	Calcium carbonate
Kaltsiumoksiid	Calcium oxide
Kalkulaator	Calculator
Kaldeera	Caldera
Kalender	Calendar
California	California
Kategooria:California	California
Kalifornium	Californium
Caligula	Caligula
Kaliif	Caliph
Kalifaat	Caliphate
Callisto	Callisto (moon)
Kalor	Calorie
Calvin Coolidge	Calvin Coolidge
Kalvinism	Calvinism
Kambodža	Cambodia
Kategooria:Kambodža	Cambodia
Kambrium	Cambrian
Cambridge	Cambridge
Kaamel	Camel
Kamambäär	Camembert (cheese)
Fotoaparaat	Camera
Kamerun	Cameroon
Campania	Campania
Kanada	Canada
Kategooria:Kanada	Canada
Kanada dollar	Canadian dollar
Kanal	Canal
Kanaari saared	Canary Islands
Canberra	Canberra
Kandela	Candela
Kanep	Cannabis
Kannibalism	Cannibalism
Kanuu	Canoe
Canopus	Canopus
Kantaat	Cantata
Knud Suur	Canute the Great
Kondensaator	Capacitor
Canaverali neem	Cape Canaveral
Hoorni neem	Cape Horn
Kaplinn	Cape Town
Roheneemesaared	Cape Verde
Kategooria:Roheneemesaared	Cape Verde
Hea Lootuse neem	Cape of Good Hope
Pealinn	Capital
Kapital	Capital (economics)
Surmanuhtlus	Capital punishment
Kapitalism	Capitalism
Kapadookia	Cappadocia
Karakal	Caracal
Caracas	Caracas
Karaat	Carat (mass)
Karaat	Carat (purity)
Michelangelo Caravaggio	Caravaggio
Süsivesikud	Carbohydrate
Süsinik	Carbon
Süsinikuringe	Carbon cycle
Süsihappegaas	Carbon dioxide
Vingugaas	Carbon monoxide
Süsihape	Carbonic acid
Karbon	Carboniferous
Karboksüülhapped	Carboxylic acid
Kaardimäng	Card game
Cardiff	Cardiff
Kardinal	Cardinal (Catholicism)
Kardinal Richelieu	Cardinal Richelieu
Lääne-India	Caribbean
Kariibi meri	Caribbean Sea
Karikatuur	Caricature
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Orff	Carl Orff
Kiskjalised	Carnivora
Karnivoor	Carnivore
Karl von Linné	Carolus Linnaeus
Karpaadid	Carpathian Mountains
Carson City	Carson City
Kartaago	Carthage
Kartograafia	Cartography
Kategooria:Kartograafia	Cartography
Nelgilaadsed	Caryophyllales
Casablanca	Casablanca
Lääneanakard	Cashew
Kasiino	Casino
Kaspia meri	Caspian Sea
Kassiopeia (tähtkuju)	Cassiopeia (constellation)
Malm	Cast iron
Linnus	Castle
Castries	Castries
Kass	Cat
Kataloonia	Catalonia
Kategooria:Kataloonia	Catalonia
Katalüsaator	Catalysis
Katarakt	Cataract
Katarid	Catharism
Katedraal	Cathedral
Catherine Aragónist	Catherine of Aragon
Katoliiklus	Catholicism
Veis	Cattle
Kaukaasia	Caucasus
Kategooria:Kaukaasia	Caucasus
Kaukasus	Caucasus Mountains
Lillkapsas	Cauliflower
Põhjuslikkus	Causality
Koobas	Cave
Cayenne	Cayenne
Kaimanisaared	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Taevasfäär	Celestial sphere
Tsölibaat	Celibacy
Rakk	Cell (biology)
Rakumembraan	Cell membrane
Rakutuum	Cell nucleus
Tšello	Cello
Tselluloos	Cellulose
Celsiuse skaala	Celsius
Tsement	Cement
Kainosoikum	Cenozoic
Kentaurid	Centaur
Raskuskese	Center of mass
Sentimeeter	Centimetre
Kesk-Aafrika	Central Africa
Kesk-Aafrika Vabariik	Central African Republic
Kategooria:Kesk-Aafrika Vabariik	Central African Republic
Kesk-Ameerika	Central America
CIA	Central Intelligence Agency
Keskriigid	Central Powers
Protsessor	Central processing unit
Keskpiirkond (Prantsusmaa)	Centre
Sajandid	Century
Peajalgsed	Cephalopod
Keraamika	Ceramic
Kerberos	Cerberus
Ceres (kääbusplaneet)	Ceres (dwarf planet)
Tseerium	Cerium
Cesare Borgia	Cesare Borgia
Paelussid	Cestoda
Vaalalised	Cetacea
Tšaad	Chad
Kategooria:Tšaad	Chad
Kaltsedon	Chalcedony
Champagne-Ardenne	Champagne-Ardenne
Karl Suur	Charlemagne
Charles Mountbatten-Windsor	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
