English	Turkish
0 (number)	Sıfır
1	1
1 (number)	1 (sayı)
10	10
10 (number)	10 (sayı)
100	100
100	Kategori:100
1000	1000
1000	Kategori:1000
101	101
105	105
11	11
11 (number)	11 (sayı)
110	110
115	115
12	12
12	Kategori:12
12 (number)	12 (sayı)
120	120
125	125
13	13
13 (number)	13 (sayı)
130	130
135	135
14	14
14	Kategori:14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
16	Kategori:16
160	160
165	165
17	17
17	Kategori:17
170	170
1728	1728
1728	Kategori:1728
175	175
1750s	Kategori:1750'ler
1760s	Kategori:1760'lar
1770s	Kategori:1770'ler
1780s	Kategori:1780'ler
1790s	Kategori:1790'lar
18	18
180	180
1820s	Kategori:1820'ler
1830s	Kategori:1830'lar
1840s	Kategori:1840'lar
1860s	Kategori:1860'lar
1870s	Kategori:1870'ler
1880s	Kategori:1880'ler
1890s	Kategori:1890'lar
19	19
19 (number)	19 (sayı)
190	190
1900s	Kategori:1900'ler
1920s	Kategori:1920'ler
1930s	Kategori:1930'lar
1940s	Kategori:1940'lar
1950s	Kategori:1950'ler
1960s	Kategori:1960'lar
1970s	Kategori:1970'ler
1980s	Kategori:1980'ler
1990s	Kategori:1990'lar
2	2
2 (number)	2 (sayı)
20	20
200	200
21	21
22	22
22 (number)	22 (sayı)
23	23
23 (number)	23 (sayı)
24	24
24 (TV series)	24 (dizi)
25	25
26	26
27	27
28	28
29	29
3	3
3 (number)	3 (sayı)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	4 (sayı)
40	40
400	400
41	41
42	42
42 (number)	42 (sayı)
43	43
44	44
45	45
45 (number)	Kırk beş
46	46
46 (number)	Kırk altı
47	47
48	48
49	49
5	5
5 (number)	5 (sayı)
50	50
500	500
500	Kategori:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (sayı)
60	60
60 (number)	Altmış
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (sayı)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (sayı)
80	80
80 (number)	80 (sayı)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (sayı)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
