Georgian	English
ნული	0 (number)
1	1
ერთი	1 (number)
10	10
100	100
კატეგორია:100	100
1000	1000
კატეგორია:1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
კატეგორია:12	12
120	120
125	125
13	13
130	130
135	135
14	14
კატეგორია:14	14
140	140
144	144
145	145
15	15
150	150
1530-იანები	1530s
155	155
16	16
კატეგორია:16	16
160	160
165	165
17	17
კატეგორია:17	17
170	170
1728	1728
კატეგორია:1728	1728
175	175
1750-იანები	1750s
1760-იანები	1760s
1770-იანები	1770s
1780-იანები	1780s
1790-იანები	1790s
18	18
180	180
1820-იანები	1820s
1830-იანები	1830s
1840-იანები	1840s
1850-იანები	1850s
1860-იანები	1860s
1870-იანები	1870s
1880-იანები	1880s
1890-იანები	1890s
19	19
190	190
1900-იანები	1900s
კატეგორია:1900-იანები	1900s
1920-იანები	1920s
კატეგორია:1920-იანები	1920s
1930-იანები	1930s
კატეგორია:1930-იანები	1930s
1940-იანები	1940s
კატეგორია:1940-იანები	1940s
1950-იანები	1950s
კატეგორია:1950-იანები	1950s
1960-იანები	1960s
კატეგორია:1960-იანები	1960s
1970-იანები	1970s
კატეგორია:1970-იანები	1970s
1980-იანები	1980s
კატეგორია:1980-იანები	1980s
1990-იანები	1990s
კატეგორია:1990-იანები	1990s
2	2
ორი	2 (number)
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
სამი	3 (number)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
ოთხი	4 (number)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
ხუთი	5 (number)
50	50
500	500
კატეგორია:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
ექვსი	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
შვიდი	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
რვა	8 (number)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
ცხრა	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
А	A (Cyrillic)
ა კაპელა	A cappella
შიდსი	AIDS
აახენი	Aachen
აარე	Aar
არონი	Aaron
აბატი	Abbot
აბელ ტასმანი	Abel Tasman
აფხაზეთის ავტონომიური რესპუბლიკა	Abkhazia
კატეგორია:აფხაზეთი	Abkhazia
აბორტი	Abortion
აბრაამი	Abraham
აბრაამ ლინკოლნი	Abraham Lincoln
აბსენტი	Absinthe
აბსტრაქტული ექსპრესიონიზმი	Abstract expressionism
აბუ-დაბი	Abu Dhabi
აბუჯა	Abuja
აკაცია	Acacia
ოსკარი	Academy Award
აკაპულკო	Acapulco
აჩქარება	Acceleration
კატეგორია:საბუღალტრო აღრიცხვა	Accountancy
აქილევსი (მითოლოგია)	Achilles
აკნე	Acne vulgaris
აკონკაგუა	Aconcagua
აკრი (შტატი)	Acre (state)
მსახიობი	Actor
ადამ სმითი	Adam Smith
ადის-აბება	Addis Ababa
ადენოზინტრიფოსფორმჟავა	Adenosine triphosphate
ადოლფ აიხმანი	Adolf Eichmann
ადოლფ ჰიტლერი	Adolf Hitler
ადონისი (მითოლოგია)	Adonis
ადრიატიკის ზღვა	Adriatic Sea
რეკლამა	Advertising
ეგეოსის ზღვა	Aegean Sea
ენეოსი	Aeneas
ავღანეთი	Afghanistan
კატეგორია:ავღანეთი	Afghanistan
აფრიკა	Africa
კატეგორია:აფრიკა	Africa
აფრიკაანსი	Afrikaans
აგამემნონი	Agamemnon
უყბოები	Agnatha
აგნოსტიციზმი	Agnosticism
აგორაფობია	Agoraphobia
სოფლის მეურნეობა	Agriculture
კატეგორია:სოფლის მეურნეობა	Agriculture
აგრიგენტო	Agrigento
აიკიდო	Aikido
სამხედრო-საჰაერო ძალები	Air force
აერობუსი	Airbus
კატეგორია:თვითმფრინავები	Aircraft
Ajax	Ajax (programming)
ამენჰოტეპ IV	Akhenaten
აკირა კუროსავა	Akira Kurosawa
ალბერტ გორი	Al Gore
ალ-ყაიდა	Al-Qaeda
ალაბამა (შტატი)	Alabama
ალან შეპარდი	Alan Shepard
ალასკა (შტატი)	Alaska
ალბანეთი	Albania
კატეგორია:ალბანეთი	Albania
ალბატროსისებრნი	Albatross
ალბერ კამიუ	Albert Camus
ალბერტ აინშტაინი	Albert Einstein
ალბერტ შპეერი	Albert Speer
ალბერტა	Alberta
ალბუკერკე	Albuquerque
ალკოჰოლური სასმელი	Alcoholic beverage
მურყანი	Alder
ოლდოს ჰაქსლი	Aldous Huxley
ალეკ გინესი	Alec Guinness
ალექსანდრე სოლჟენიცინი	Aleksandr Solzhenitsyn
ალექსანდერ ფლემინგი	Alexander Fleming
ალექსანდრე ჰამილტონი	Alexander Hamilton
ალექსანდრე პუშკინი	Alexander Pushkin
ალექსანდრე მაკედონელი	Alexander the Great
ალექსანდრ დიუმა (უფროსი)	Alexandre Dumas
ალექსანდრია (ეგვიპტე)	Alexandria
ალფრედ დრეიფუსი	Alfred Dreyfus
ალფრედ ჰიჩკოკი	Alfred Hitchcock
ალფრედ ნობელი	Alfred Nobel
ალფრედ დიდი	Alfred the Great
წყალმცენარეები	Algae
ალგებრა	Algebra
ალჟირი	Algeria
კატეგორია:ალჟირი	Algeria
ალჟირი (ქალაქი)	Algiers
ალგორითმი	Algorithm
ალკანი	Alkane
ალაჰი	Allah
ალეგორია	Allegory
ალენ გინზბერგი	Allen Ginsberg
ალმანახი	Almanac
ალმა-ატა	Almaty
ნუში	Almond
ალოე	Aloe
ალფა (ასო)	Alpha (letter)
ანბანი	Alphabet
ალპები	Alps
ელზასი	Alsace
საკურთხეველი	Altar
