English	Armenian
1728	1728
1728	Կատեգորիա:1728
AIDS	ՁԻԱՀ
Abkhazia	Աբխազիա
Abolitionism	Աբոլիցիոնիզմ
Abuja	Աբուջա
Accra	Ակրա
Actinium	Ակտինիում
Adana	Ադանա
Addis Ababa	Ադիս Աբեբա
Adolf Hitler	Ադոլֆ Հիտլեր
Aesop	Եզովպոս
Afghanistan	Աֆղանստան
Africa	Կատեգորիա:Աֆրիկա
Afrikaans	Աֆրիկանս
Aikido	Այկիդո
Airbus	Airbus
Alabama	Ալաբամա
Alaska	Ալյասկա
Albania	Ալբանիա
Albert Einstein	Ալբերտ Էյնշտեյն
Alchemy	Մատենադարանի ձեռագրերը քիմիայի մասին
Aleppo	Հալեպ
Alexander the Great	Ալեքսանդր Մակեդոնացի
Alexandre Dumas	Ալեքսանդր Դյումա
Alexandria	Ալեքսանդրիա
Alfred Nobel	Ալֆրեդ Նոբել
Algeria	Ալժիր
Algiers	Ալժիր (քաղաք)
Aluminium	Ալյումին
Alzheimer's disease	Ալցհայմերի հիվանդություն
American Samoa	Ամերիկյան Սամոա
Americium	Ամերիցիում
Amman	Ամման
Amsterdam	Ամստերդամ
Anabaptist	Անաբապտիզմ
Andorra	Անդորրա
Angola	Անգոլա
Ankara	Անկարա
Antananarivo	Անտանանարիվո
Antimony	Ծարիր
Antoine Lavoisier	Անտուան Լորան Լավուազիե
Apricot	Ծիրան
April	Ապրիլ
April 14	Ապրիլի 14
Arabic language	Արաբերեն
Aram Khachaturian	Արամ Խաչատրյան
Archimedes	Արքիմեդ
Argentina	Արգենտինա
Argon	Արգոն
Aristotle	Արիստոտել
Arizona	Արիզոնա
Arkansas	Արկանզաս
Armenia	Հայաստան
Armenia	Կատեգորիա:Հայաստան
Armenian language	Հայերեն
Arsenic	Մկնդեղ
Art	Արվեստ
Aruba	Արուբա
Asia	Ասիա
Asia	Կատեգորիա:Ասիա
Asmara	Ասմարա
Astana	Աստանա
Astatine	Աստատ
Astrology	Աստղագուշակություն
Astronomy	Աստղագիտություն
Athens	Աթենք
Atlantic Ocean	Ատլանտյան օվկիանոս
Auckland	Օկլենդ
August	Օգոստոս
August 1	Օգոստոսի 1
August 15	Օգոստոսի 15
August 6	Օգոստոսի 6
Augustine of Hippo	Ավգուստին Երանելի
Australia	Ավստրալիա
Austria	Ավստրիա
Autism	Աուտիզմ
Avicenna	Ավիցեննա
Azerbaijan	Ադրբեջան
Azerbaijan	Կատեգորիա:Ադրբեջան
Babylon	Բաբելոն
Baghdad	Բաղդադ
Bahrain	Բահրեյն
Baku	Բաքու
Ballet	Բալետ
Bamako	Բամակո
Bangladesh	Բանգլադեշ
Bangui	Բանգի
Banjul	Բանջուլ
Barcelona	Բարսելոնա
Barium	Բարիում
Basel	Բազել
Bastille	Բաստիլ
Bavaria	Բավարիա
Beijing	Պեկին
Beirut	Բեյրութ
Belarus	Բելառուս
Belgium	Բելգիա
Belgrade	Բելգրադ
Belize	Բելիզ
Benin	Բենին
Berkelium	Բերկլիում
Berlin	Բեռլին
Bermuda	Բերմուդա
Berne	Բեռն
Beryllium	Բերիլիում
Bethlehem	Բեթլեհեմ
Bhutan	Բհութան
Bible	Աստվածաշունչ
Bible	Կատեգորիա:Աստվածաշունչ
Bill Clinton	Բիլ Քլինթոն
Bishkek	Բիշկեկ
Bismuth	Բիսմութ
Bissau	Բիսաու
Black Sea	Սև ծով
Black Stork	Սև Արագիլ
Blaise Pascal	Բլեզ Պասկալ
Bohrium	Բորիում
Bond (finance)	Պարտատոմս
Boron	Բոր
Bosnia and Herzegovina	Բոսնիա և Հերցեգովինա
Bot	Կաղապար:Bot
Botswana	Բոթսվանա
Bratislava	Բրատիսլավա
Brazil	Բրազիլիա
Brazzaville	Բրազավիլ
Bromine	Բրոմ
Bronze	Բրոնզ
Brussels	Բրյուսել
Bucharest	Բուխարեստ
Budapest	Բուդապեշտ
Buddha	Բուդդա
Buddhism	Բուդդայականություն
Buddhism	Կատեգորիա:Բուդդայականություն
Buenos Aires	Բուենոս Այրես
Bujumbura	Բուժումբուրա
Bulgaria	Բուլղարիա
Burma	Մյանմար
Cadmium	Կադմիում
Caesium	Ցեզիում
Cairo	Կահիրա
Calcium	Կալցիում
California	Կալիֆորնիա
Californium	Կալիֆորնիում
Cambodia	Քամբոջա
Cameroon	Կամերուն
Canada	Կանադա
Canada	Կատեգորիա:Կանադա
Canberra	Կանբերա
Cape Verde	Քեյփ Վերդե
Carbon	Ածխածին
Caspian Sea	Կասպից ծով
Caucasus	Կովկաս
Caucasus	Կատեգորիա:Կովկաս
Cerium	Ցերիում
Chad	Չադ
Charles Darwin	Չառլզ Դարվին
Charles de Gaulle	Շառլ դե Գոլ
Che Guevara	Չե Գեվարա
Chemistry	Քիմիա
Chess	Շախմատ
Chicago	Չիկագո
Chlorine	Քլոր
Chocolate	Շոկոլադ
Christianity	Քրիստոնեություն
Christmas	Նավասարդ
Chromium	Քրոմ
Coal	Ածուխ
Cobalt	Կոբալտ
Coffee	Սուրճ
Colombia	Կոլումբիա
Colorado	Կոլորադո
Computer	Համակարգիչ
Computing	Category:Համակարգիչներ
Conakry	Կոնակրի
Confucius	Կոնֆուցիոս
Connecticut	Կոնեկտիկուտ
Constantinople	Կոստանդնուպոլիս
Copenhagen	Կոպենհագեն
Copper	Պղինձ
Costa Rica	Կոստա Րիկա
Croatia	Խորվաթիա
Cuba	Կուբա
Culture	Մշակույթ
Curitiba	Կուրիտիբա
Curium	Կյուրիում
Cyprus	Կիպրոս
Czech Republic	Չեխիա
Dakar	Դակար
Damascus	Դամասկոս
Dante Alighieri	Դանտե Ալիգյերի
De facto	Դե ֆակտո
December	Դեկտեմբեր
December 31	Դեկտեմբերի 31
December 8	Դեկտեմբերի 8
Delaware	Դելավեր
Dell	Dell
Democratic Republic of the Congo	Կոնգոյի Դեմոկրատական Հանրապետություն
Denmark	Դանիա
Dhaka	Դակա
Diamond	Ադամանդ
Dmitri Mendeleev	Դմիտրի Մենդելեև
Dmitri Shostakovich	Դմիտրի Շոստակովիչ
Dodoma	Դոդոմա
Doha	Դոհա
Drug addiction	Թմրամոլություն
Dublin	Դուբլին
Dubnium	Դուբնիում
Dwight D. Eisenhower	Դուայթ Էյզենհաուեր
Dysprosium	Դիսպրոզիում
Earth	Երկիր
Earthquake	Երկրաշարժ
Economy	Տնտեսություն
Ecuador	Էկվադոր
Education	Կատեգորիա:Կրթություն
Egypt	Եգիպտոս
Einsteinium	Էյնշտեյնիում
Engineering	Կատեգորիա:Տեխնիկական գիտություններ
England	Անգլիա
English language	Անգլերեն
Erbium	Էրբիում
Erosion	Էրոզիա
Esfahan	Սպահան
Esperanto	Էսպերանտո
Esperanto	Կատեգորիա:Էսպերանտո
Ethics	Էթիկա
Ethiopia	Եթովպիա
Euclid	Էվկլիդես
Eurasia	Եվրասիա
Euro	Եւրօ
Europe	Եվրոպա
Europe	Կատեգորիա:Եվրոպա
European Union	Եվրոպական Միություն
Europium	Եվրոպիում
February	Փետրվար
February 2	Փետրվարի 2
February 29	Փետրվարի 29
Fermium	Ֆերմիում
Fidel Castro	Ֆիդել Կաստրո
Finland	Ֆինլանդիա
Florida	Ֆլորիդա
Football (soccer)	Կատեգորիա:Ֆուտբոլ
Football (soccer) clubs	Կատեգորիա:Ֆուտբոլային ակումբներ
France	Ֆրանսիա
France	Կատեգորիա:Ֆրանսիա
Francisco Goya	Ֆրանցիսկո Գոյա
Francium	Ֆրասիում
Frankfurt	Ֆրանկֆուրտ
Freemasonry	Մասոնություն
French Revolution	Ֆրանսիական հեղափոխություն
French Revolution	Կատեգորիա:Ֆրանսիայի պատմություն
French people	Կատեգորիա:Ֆրանսիացիներ
Fresno	Ֆրեզնո, Կալիֆորնիա
Friday	Ուրբաթ
Fridtjof Nansen	Ֆրիտյոֆ Նանսեն
Fundamental	Կատեգորիա:Հիմնարար
Fyodor Dostoevsky	Ֆյոդոր Դոստոևսկի
Gabon	Գաբոն
Gaborone	Գաբորոնե
Gadolinium	Գադոլինիում
Galileo Galilei	Գալիլեո Գալիլեյ
Gallium	Գալիում
Ganja	Գանձակ
Geisha	Գեյշա
Geneva	Ժնև
Genocide	Ցեղասպանություն
Genocide	Կատեգորիա:Ցեղասպանություն
Geography	Աշխարհագրություն
Geography	Կատեգորիա:Աշխարհագրություն
George Gershwin	Ջորջ Գերշվին
George Harrison	Ջորջ Հարրիսոն
George Orwell	Ջորջ Օրվել
George W. Bush	Ջորջ Վոկեր Բուշ
George Washington	Ջորջ Վաշինգտոն
Georges Simenon	Ժորժ Սիմենոն
Georgia (U.S. state)	Ջորջիա
Georgia (country)	Վրաստան
Georgia (country)	Կատեգորիա:Վրաստան
Gerald Ford	Ջերալդ Ֆորդ
German language	Գերմաներեն
Germanium	Գերմանիում
Germany	Գերմանիա
Giuseppe Verdi	Ջուզեպպե Վերդի
Global warming	Գլոբալ տաքացում
Gold	Ոսկի
Gospel of Luke	Ավետարան ըստ Ղուկասի
Graffiti	Գրաֆֆիտի
Grammar	Քերականություն
Greece	Հունաստան
Guam	Գուամ
Guinea	Գվինեա
HIV	ՄԻԱՎ
Hafnium	Հաֆնիում
Hamas	Համաս
Hamburg	Համբուրգ
Hammer and sickle	Մուրճ և մանգաղ
Hannibal	Հաննիբալ
Hassium	Հասիում
Hawaii	Հավայան կղզիներ
Helium	Հելիում
Helsinki	Հելսինկի
Hemorrhoid	Թութք
Henry Cavendish	Հենրի Կավենդիշ
Herodotus	Հերոդոտոս
Hippocrates	Հիպոկրատես
History	Պատմություն
Hobby	Հոբբի
Holmium	Հոլմիում
Homeostasis	Հոմեոստազ
Homer	Հոմերոս
Horoscope	Հորոսկոպ
