Latvian	English
Nulle	0 (number)
1	1
10	10
101	101
11	11
12	12
13	13
14	14
15	15
16	16
17	17
Kategorija:1750. gadi	1750s
Kategorija:1760. gadi	1760s
Kategorija:1770. gadi	1770s
Kategorija:1780. gadi	1780s
Kategorija:1790. gadi	1790s
18	18
Kategorija:1820. gadi	1820s
Kategorija:1830. gadi	1830s
Kategorija:1840. gadi	1840s
Kategorija:1870. gadi	1870s
Kategorija:1880. gadi	1880s
Kategorija:1890. gadi	1890s
19	19
Kategorija:1900. gadi	1900s
Kategorija:1920. gadi	1920s
Kategorija:1930. gadi	1930s
Kategorija:1940. gadi	1940s
Kategorija:1950. gadi	1950s
1960. gadi	1960s
Kategorija:1960. gadi	1960s
Kategorija:1970. gadi	1970s
1980. gadi	1980s
Kategorija:1980. gadi	1980s
1990. gadi	1990s
Kategorija:1990. gadi	1990s
2	2
2 (skaitlis)	2 (number)
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
5	5
55	55
6	6
7	7
8	8
9	9
A	A
AIDS	AIDS
AZ Alkmaar	AZ (football club)
Āhene	Aachen
Olborga	Aalborg
Orhūsa	Aarhus
Abidžāna	Abidjan
Abhāzija	Abkhazia
Abrahams Linkolns	Abraham Lincoln
Absolūtais spožums	Absolute magnitude
Modulis (matemātika)	Absolute value
Absolūtā nulle	Absolute zero
Absolūtisms	Absolutism (European history)
Abstrakcionisms	Abstract art
Abudža	Abuja
Amerikas Kinoakadēmijas balva	Academy Award
Paātrinājums	Acceleration
Akra	Accra
Acetaldehīds	Acetaldehyde
Etiķskābe	Acetic acid
Acetons	Acetone
Acetilēns	Acetylene
Ahillejs	Achilles
Skābe	Acid
Akri	Acre (state)
Aktīnijs	Actinium
Ādams Smits	Adam Smith
Adisabeba	Addis Ababa
Īpašības vārds	Adjective
Admirālis	Admiral
Ādolfs Hitlers	Adolf Hitler
Adrijas jūra	Adriatic Sea
Reklāma	Advertising
Egejas jūra	Aegean Sea
Aerodinamika	Aerodynamics
Aishils	Aeschylus
Ēzops	Aesop
Afganistāna	Afghanistan
Kategorija:Afganistāna	Afghanistan
Āfrika	Africa
Kategorija:Āfrika	Africa
Afrikandu valoda	Afrikaans
Ahāts	Agate
Agresija	Aggression
Bezžokļaiņi	Agnatha
Agnosticisms	Agnosticism
Lauksaimniecība	Agriculture
Kategorija:Lauksaimniecība	Agriculture
Aikido	Aikido
Kategorija:Lidmašīnas	Aircraft
Ehnatons	Akhenaten
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Kategorija:Alabama	Alabama
Alans Tjūrings	Alan Turing
Alanīns	Alanine
Aļaska	Alaska
Albānija	Albania
Kategorija:Albānija	Albania
Albatrosi	Albatross
Alberts Maikelsons	Albert Abraham Michelson
Albērs Kamī	Albert Camus
Alberts Einšteins	Albert Einstein
Albīnisms	Albinism
Albīts	Albite
Alķīmija	Alchemy
Spirti	Alcohol
Alkoholiskie dzērieni	Alcoholic beverage
Aldehīdi	Aldehyde
Oldess Hakslijs	Aldous Huxley
Aleksandrs Solžeņicins	Aleksandr Solzhenitsyn
Haleba	Aleppo
Aleksandrs Flemings	Alexander Fleming
Aleksandrs Greiems Bells	Alexander Graham Bell
Aleksandrs Lielais	Alexander the Great
Aleksandrs Dimā (tēvs)	Alexandre Dumas
Aleksandrija	Alexandria
Alfrēds Hičkoks	Alfred Hitchcock
Alfrēds Nobels	Alfred Nobel
Alfrēds Vaitheds	Alfred North Whitehead
Alfreds Lielais	Alfred the Great
Aļģes	Algae
Algebra	Algebra
Kategorija:Algebra	Algebra
Alžīrija	Algeria
Kategorija:Alžīrija	Algeria
Alžīra	Algiers
Algoritms	Algorithm
Sārmu metāli	Alkali metal
Alkaloīdi	Alkaloid
Alkāni	Alkane
Alkēni	Alkene
Alkīni	Alkyne
Alēle	Allele
Allozaurs	Allosaurus
Alotropija	Allotropy
Almanahs	Almanac
Almati	Almaty
Centaura Alfa	Alpha Centauri
Alfa daļiņa	Alpha particle
Alfabēts	Alphabet
Alpi	Alps
Elzasa	Alsace
Maiņstrāva	Alternating current
Alumīnijs	Aluminium
Alumīnija oksīds	Aluminium oxide
Zaļā mušmire	Amanita phalloides
Amazone (upe)	Amazon River
Vēstnieks	Ambassador
Dzintars	Amber
Amerikas pilsoņu karš	American Civil War
Amerikāņu Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikāņu futbols	American football
Amerīcijs	Americium
Amerigo Vespuči	Amerigo Vespucci
Ametists	Amethyst
Amharu valoda	Amharic
Amīdi	Amide
Amīni	Amine
Aminoskābes	Amino acid
Amonjaks	Ammonia
Amnestija	Amnesty
Ampērs	Ampere
Abinieki	Amphibian
Amfiteātris	Amphitheatre
Amplitūda	Amplitude
Amsterdama	Amsterdam
Amons	Amun
Analītiskā ģeometrija	Analytic geometry
Kategorija:Anatomija	Anatomy
Anatomija	Anatomy
Anaksagors	Anaxagoras
Anaksimandrs	Anaximander
Enkurs	Anchor
Kategorija:Senie laiki	Ancient history
Andalūzija	Andalusia
Andamanu jūra	Andaman Sea
Anderss Celsijs	Anders Celsius
Andi	Andes
Andora	Andorra
Kategorija:Andora	Andorra
Endrū Džeksons	Andrew Jackson
Endrū Džonsons	Andrew Johnson
Andromeda	Andromeda
Andromeda (zvaigznājs)	Andromeda (constellation)
Leņķis	Angle
Angola	Angola
Kategorija:Angola	Angola
Angiļa	Anguilla
Anilīns	Aniline
Dzīvnieki	Animal
Lopkopība	Animal husbandry
Multiplikācija	Animation
Anime	Anime
Kategorija:Anime	Anime
Animisms	Animism
Ankara	Ankara
Anods	Anode
Kategorija:Zosveidīgie	Anseriformes
Skudru dzimta	Ant
Antananarivu	Antananarivo
Antarktīda	Antarctica
Kategorija:Antarktīda	Antarctica
Antropoloģija	Anthropology
Kategorija:Antropoloģija	Anthropology
Antigva un Barbuda	Antigua and Barbuda
Kategorija:Antigva un Barbuda	Antigua and Barbuda
Antimons	Antimony
Kategorija:Antisemītisms	Antisemitism
Sūknis (zvaigznājs)	Antlia
Antons Brukners	Anton Bruckner
Antons Čehovs	Anton Chekhov
Antonio Stradivāri	Antonio Stradivari
Antonīms	Antonym
Antverpene	Antwerp
Anubis	Anubis
Afrodīte	Aphrodite
Čemurzieži	Apiaceae
Apollons	Apollo
Apollo	Apollo (disambiguation)
Apollo programma	Apollo program
Ābols	Apple
Aprikozes	Apricot
Aprīlis	April
14. aprīlis	April 14
Apsīda (arhitektūrā)	Apse
Apūlija	Apulia
Paradīzes Putns	Apus
Akvamarīns	Aquamarine
Ūdensvīrs	Aquarius (constellation)
Akvedukts	Aqueduct
Ērglis (zvaigznājs)	Aquila (constellation)
Akvitānija	Aquitaine
Altāris (zvaigznājs)	Ara (constellation)
Arābijas pussala	Arabian Peninsula
Arābijas jūra	Arabian Sea
Arābu valoda	Arabic language
Arafuru jūra	Arafura Sea
Aragona	Aragon
Arāla jūra	Aral Sea
Arka	Arch
Arheoloģija	Archaeology
Kategorija:Arheoloģija	Archaeology
Arheopterikss	Archaeopteryx
Arhimēds	Archimedes
Arhipelāgs	Archipelago
Arhitektūra	Architecture
Kategorija:Arhitektūra	Architecture
Arktika	Arctic
Ziemeļu Ledus okeāns	Arctic Ocean
Platība	Area
Arejs	Ares
Argentīna	Argentina
Kategorija:Argentīna	Argentina
Argons	Argon
Ariānisms	Arianism
Auns (zvaigznājs)	Aries (constellation)
Aristokrātija	Aristocracy
Aristofāns	Aristophanes
Aristotelis	Aristotle
Arizona	Arizona
Kategorija:Arizona	Arizona
Ārkanzasa	Arkansas
Armēnija	Armenia
Kategorija:Armēnija	Armenia
Armēņu valoda	Armenian language
Aromātiskie ogļūdeņraži	Aromatic hydrocarbon
Arsēns	Arsenic
Māksla	Art
Jūgendstils	Art Nouveau
Kategorija:Mākslas vēsture	Art history
Artemīda	Artemis
Vībotnes	Artemisia (plant)
Vērmele	Artemisia absinthium
Artērijas	Artery
Posmkāji	Arthropod
Arturs Konans Doils	Arthur Conan Doyle
Arturs Rembo	Arthur Rimbaud
