Latvian	English
Artūrs Šopenhauers	Arthur Schopenhauer
Mākslīgais intelekts	Artificial intelligence
Kategorija:Mākslīgais intelekts	Artificial intelligence
Artilērija	Artillery
Kategorija:Artilērija	Artillery
Kategorija:Māksla	Arts
Aruba	Aruba
Asgarda	Asgard
Āzija	Asia
Kategorija:Āzija	Asia
Asmera	Asmara
Atentāts	Assassination
Asamblervaloda	Assembly language
ASEAN	Association of Southeast Asian Nations
Asīrija	Assyria
Astana	Astana
Astats	Astatine
Asteroīds	Asteroid
Astenosfēra	Asthenosphere
Astma	Asthma
Astrahaņa	Astrakhan
Astroloģija	Astrology
Kategorija:Astroloģija	Astrology
Kosmonauts	Astronaut
Astronomiskā vienība	Astronomical unit
Astronomija	Astronomy
Kategorija:Astronomija	Astronomy
Astrofizika	Astrophysics
Kategorija:Astrofizika	Astrophysics
Asimptote	Asymptote
Atēna	Athena
Atēnas	Athens
Kategorija:Vieglatlētika	Athletics
Vieglatlētika	Athletics (track and field)
Atlanta	Atlanta
Atlantijas okeāns	Atlantic Ocean
Kategorija:Atlantijas okeāns	Atlantic Ocean
Atmosfēra (mērvienība)	Atmosphere (unit)
Koraļļu salas	Atoll
Atoms	Atom
Atommasa	Atomic mass
Kategorija:Atomfizika	Atomic physics
Augusts	August
Ogists Konts	Auguste Comte
Sv. Augustīns	Augustine of Hippo
Oktaviāns	Augustus
Vedējs (zvaigznājs)	Auriga (constellation)
Austrālāzija	Australasia
Austrālija (valsts)	Australia
Kategorija:Austrālija	Australia
Austrija	Austria
Kategorija:Austrija	Austria
Austroungārija	Austria-Hungary
Autisms	Autism
Bankas automāts	Automated teller machine
Automašīna	Automobile
Overņa	Auvergne (region)
Lavīna	Avalanche
Kategorija:Aviācija	Aviation
Aksioma	Axiom
Azerbaidžāna	Azerbaijan
Kategorija:Azerbaidžāna	Azerbaijan
Azimuts	Azimuth
Acteki	Aztec
B	B
BASIC programmēšanas valoda	BASIC
Babilona	Babylon
Baktērija	Bacteria
Bakteriofāgi	Bacteriophage
Badmintons	Badminton
Bafina jūra	Baffin Bay
Bafina Zeme	Baffin Island
Bagdāde	Baghdad
Kategorija:Bahamas	Bahamas
Bahreina	Bahrain
Baku	Baku
Baldrs	Baldr
Balkānu pussala	Balkans
Balets	Ballet
Ballistiskā raķete	Ballistic missile
Baltijas jūra	Baltic Sea
Bamako	Bamako
Bangalora	Bangalore
Bangkoka	Bangkok
Bangladeša	Bangladesh
Kategorija:Bangladeša	Bangladesh
Bandžula	Banjul
Banka	Bank
Baptisti	Baptist
Barbadosa	Barbados
Kategorija:Barbadosa	Barbados
Barbari	Barbarian
Barselona	Barcelona
Barenca jūra	Barents Sea
Bari	Bari
Bārijs	Barium
Mieži	Barley
Bezdelīga	Barn Swallow
Barons	Baron
Baroks	Baroque
Barioni	Baryon
Sārms	Base (chemistry)
Beisbols	Baseball
Bāzele	Basel
Bazīdijsēnes	Basidiomycota
Bazilika	Basilica
Bazilikata	Basilicata
Basketbols	Basketball
Kategorija:Basketbols	Basketball
Basģitāra	Bass guitar
Sikspārņi	Bat
Betmens	Batman
Kategorija:Sikspārņi	Bats
Verdenas kauja	Battle of Verdun
Vaterlo kauja	Battle of Waterloo
Kauja pie Sommas	Battle of the Somme
Bavārija	Bavaria
Kategorija:Bavārija	Bavaria
Biskajas līcis	Bay of Biscay
Bīgls	Beagle
Lāču dzimta	Bear
Boforta jūra	Beaufort Sea
Bites	Bee
Alus	Beer
Kategorija:Alus	Beer
Vaboles	Beetle
Biheiviorisms	Behaviorism
Pekina	Beijing
Baltkrievija	Belarus
Kategorija:Baltkrievija	Belarus
Belfāsta	Belfast
Beļģija	Belgium
Kategorija:Beļģija	Belgium
Belgrada	Belgrade
Beliza	Belize
Kategorija:Beliza	Belize
Bellerofons	Bellerophon
Benilukss	Benelux
Benina	Benin
Kategorija:Benina	Benin
Benito Musolīni	Benito Mussolini
Bendžamins Harisons	Benjamin Harrison
Bergena	Bergen
Beringa jūra	Bering Sea
Berklijs	Berkelium
Bērkšīra	Berkshire
Berlīne	Berlin
Bermudu salas	Bermuda
Berne	Berne
Bertolts Brehts	Bertolt Brecht
Bertrans Rasels	Bertrand Russell
Berils	Beryl
Berilijs	Beryllium
Beverlihilsa	Beverly Hills
Bejs	Bey
Butāna	Bhutan
Kategorija:Butāna	Bhutan
Bībele	Bible
Velosipēds	Bicycle
Lielais sprādziens	Big Bang
Bils Klintons	Bill Clinton
Bils Geitss	Bill Gates
Dubultzvaigzne	Binary star
Bioķīmija	Biochemistry
Kategorija:Bioķīmija	Biochemistry
Biogrāfija	Biography
Bioloģija	Biology
Kategorija:Bioloģija	Biology
Bioma	Biome
Putni	Bird
Bismuts	Bismuth
Bits	Bit
Gliemenes	Bivalvia
Melnā nāve	Black Death
Melnā jūra	Black Sea
Melnais stārķis	Black Stork
Melnais caurums	Black hole
Melnais meža strazds	Blackbird
Blēzs Paskāls	Blaise Pascal
Tīmekļa žurnāls	Blog
Asinis	Blood
Asinsvadi	Blood vessel
Zilais valis	Blue Whale
Blūzs	Blues
Bobs Dilans	Bob Dylan
Bobijs Fišers	Bobby Fischer
Bobslejs	Bobsleigh
Bodisatva	Bodhisattva
Bohēmija	Bohemia
Viršanas temperatūra	Boiling point
Bolīvija	Bolivia
Kategorija:Bolīvija	Bolivia
Boloņa	Bologna
Boļševiki	Bolshevik
Bolcāno	Bolzano
Obligācija	Bond (finance)
Kauls	Bone
Bonna	Bonn
Grāmata	Book
Mormona grāmata	Book of Mormon
Bordo	Bordeaux
Boriss Pasternaks	Boris Pasternak
Bors	Boron
Bosnija un Hercegovina	Bosnia and Herzegovina
Kategorija:Bosnija un Hercegovina	Bosnia and Herzegovina
Bozoni	Boson
Bosfors	Bosporus
Veidne:Bot	Bot
Botānika	Botany
Kategorija:Botānika	Botany
Botsvāna	Botswana
Kategorija:Botsvāna	Botswana
Buvē Sala	Bouvet Island
Bokss	Boxing
Braga	Braga
Braila raksts	Braille
Smadzenes	Brain
Brandenburga (zeme)	Brandenburg
Krustziežu dzimta	Brassicaceae
Bratislava	Bratislava
Brazīlija	Brazil
Kategorija:Brazīlija	Brazil
Maize	Bread
Brēmene	Bremen
Bresta (Baltkrievija)	Brest
Kategorija:Tilti	Bridges
Braitona	Brighton
Brisbena (pilsēta)	Brisbane
Bristole	Bristol
Britu impērija	British Empire
Britu Virdžīnu salas	British Virgin Islands
Kategorija:Apvienotās Karalistes cilvēki	British people
Brno	Brno
Broms	Bromine
Bronza	Bronze
Bronzas laikmets	Bronze Age
Bruklina	Brooklyn
Brauna kustība	Brownian motion
Brige	Bruges
Bruneja	Brunei
Kategorija:Bruneja	Brunei
Brisele	Brussels
Bukareste	Bucharest
Bekingemas pils	Buckingham Palace
Budapešta	Budapest
Budisms	Buddhism
Kategorija:Budisms	Buddhism
Buenosairesa	Buenos Aires
Bufalo	Buffalo
Bulgārija	Bulgaria
Kategorija:Bulgārija	Bulgaria
Burkinafaso	Burkina Faso
Kategorija:Burkinafaso	Burkina Faso
Mjanma	Burma
Kategorija:Mjanma	Burma
Kategorija:Burundi	Burundi
Autobuss	Bus
Uzņēmējdarbība	Business
Butāns	Butane
Sviests	Butter
Bidgošča	Bydgoszcz
Baits	Byte
Kategorija:Bizantija	Byzantine Empire
C	C
C (programmēšanas valoda)	C (programming language)
Kadmijs	Cadmium
Greblis	Caelum
Cēzijs	Caesium
Kofeīns	Caffeine
Kaira	Cairo
Kalabrija	Calabria
Kalcīts	Calcite
Kalcijs	Calcium
Kalcija karbonāts	Calcium carbonate
Kalcija oksīds	Calcium oxide
Kalkulators	Calculator
Kalibrs	Caliber
Kalifornija	California
Kategorija:Kalifornija	California
Kalifornijs	Californium
Kaligula	Caligula
Kalifs	Caliph
Kalifāts	Caliphate
Kallisto (pavadonis)	Callisto (moon)
Kelvins Kūlidžs	Calvin Coolidge
Kambodža	Cambodia
Kategorija:Kambodža	Cambodia
Kamerūna	Cameroon
Kategorija:Kamerūna	Cameroon
Kampānija	Campania
Kanāda	Canada
Kategorija:Kanāda	Canada
Kanāriju salas	Canary Islands
Kanbera	Canberra
Kandela	Candela
Svece	Candle
Suņu dzimta	Canidae
Lielais Suns	Canis Major
Mazais Suns	Canis Minor
Marihuāna	Cannabis (drug)
Kanibālisms	Cannibalism
Kanoe	Canoe
Elektriskā kapacitāte	Capacitance
Kondensators	Capacitor
Keiptauna	Cape Town
Kaboverde	Cape Verde
Kategorija:Kaboverde	Cape Verde
Galvaspilsēta	Capital
Kapitāls (ekonomikā)	Capital (economics)
Nāvessods	Capital punishment
Kapadokija	Cappadocia
Mežāzis	Capricornus
Karakasa	Caracas
Karavadžo	Caravaggio
Ogļhidrāti	Carbohydrate
Ogleklis	Carbon
Oglekļa dioksīds	Carbon dioxide
Oglekļa monoksīds	Carbon monoxide
Ogļskābe	Carbonic acid
Karbonskābes	Carboxylic acid
Kārdifa	Cardiff
Kardināls Rišeljē	Cardinal Richelieu
Kategorija:Karību jūra	Caribbean
Karību jūra	Caribbean Sea
Kuģa Ķīlis	Carina (constellation)
Karls Gustavs Jungs	Carl Jung
Karpati	Carpathian Mountains
Kartāga	Carthage
Kartogrāfija	Cartography
Kategorija:Kartogrāfija	Cartography
Kasablanka (pilsēta)	Casablanca
Kaspijas jūra	Caspian Sea
Kasiopeja	Cassiopeia (constellation)
Pils	Castle
Kara akts	Casus belli
Kaķis	Cat
Katalizators	Catalysis
Katods	Cathode
Lopu gārnis	Cattle Egret
Kavalērija	Cavalry
Ala	Cave
Kaimanu Salas	Cayman Islands
Ciedri	Cedar
Kategorija:Debess mehānika	Celestial mechanics
Šūna	Cell (biology)
Šūnas membrāna	Cell membrane
Šūnas kodols	Cell nucleus
Čells	Cello
Cements	Cement
Kentaurs	Centaur
Centaurs (zvaigznājs)	Centaurus
Centimetrs	Centimetre
Centrālāfrikas Republika	Central African Republic
Kategorija:Centrālāfrikas Republika	Central African Republic
Centrālparks	Central Park
Centrālās lielvalstis	Central Powers
Centrālais procesors	Central processing unit
Centriola	Centriole
Gadsimts	Century
Galvkāji	Cephalopod
Cefejs (zvaigznājs)	Cepheus (constellation)
Smadzenītes	Cerebellum
Cērijs	Cerium
Lenteņi	Cestoda
Valis (zvaigznājs)	Cetus
Čada	Chad
Kategorija:Čada	Chad
Halcedons	Chalcedony
Hameleons (zvaigznājs)	Chamaeleon
Kārlis Lielais	Charlemagne
Šarleruā	Charleroi
Šarls Bodlērs	Charles Baudelaire
Čārlzs Darvins	Charles Darwin
Čārlzs Dikenss	Charles Dickens
Čārlzs Pīrss	Charles Peirce
Čārlzs Vilsons	Charles Thomson Rees Wilson
Šarls de Golls	Charles de Gaulle
Čārlijs Pārkers	Charlie Parker
Če Gevara	Che Guevara
Siers	Cheese
Gepards	Cheetah
Čeļabinska	Chelyabinsk
Ķīmiskā saite	Chemical bond
Ķīmiskais elements	Chemical element
Ķīmiskā formula	Chemical formula
Ķīmiskā reakcija	Chemical reaction
Ķīmija	Chemistry
Kategorija:Ķīmija	Chemistry
Čenaja	Chennai
Krams	Chert
Šahs	Chess
Kategorija:Šahs	Chess
Česters Artūrs	Chester A. Arthur
Čikāga	Chicago
Dzemdības	Childbirth
Čīle	Chile
Kategorija:Čīle	Chile
Hlors	Chlorine
Hloroforms	Chloroform
Šokolāde	Chocolate
Skrimšļzivis	Chondrichthyes
Čuncjina	Chongqing
Akords	Chord (music)
Hordaiņi	Chordate
Kristietība	Christianity
Kategorija:Kristietība	Christianity
Ziemassvētki	Christmas
Kristofors Kolumbs	Christopher Columbus
Kristofers Mārlovs	Christopher Marlowe
Hromatīns	Chromatin
Hroms	Chromium
Hromosoma	Chromosome
Kategorija:Hronoloģija	Chronology
Čukču jūra	Chukchi Sea
Anglikāņu baznīca	Church of England
Cicerons	Cicero
Cinobrs	Cinnabar
Cirkulis (zvaigznājs)	Circinus
Riņķis	Circle
Asinsrites orgānu sistēma	Circulatory system
Citronskābe	Citric acid
Trikarbonskābju cikls	Citric acid cycle
Civilizācija	Civilization
Civilization I	Civilization (computer game)
Klarnete	Clarinet
Klasiskā mūzika	Classical music
Kategorija:Klasiskā mūzika	Classical music
Klasicisms	Classicism
Klods Monē	Claude Monet
Māls	Clay
Klients-serveris	Client-server
Klimats	Climate
Kategorija:Klimats	Climate
Kategorija:Klimatoloģija	Climatology
Pulkstenis	Clock
Kategorija:Apģērbs	Clothing
Mākoņi	Cloud
Dzēlējzarndobumaiņi	Cnidaria
Akmeņogles	Coal
Piekraste	Coast
Kobalts	Cobalt
Mārīšu dzimta	Coccinellidae
Kokosu (Kīlinga) Salas	Cocos (Keeling) Islands
Kognitīvā psiholoģija	Cognitive psychology
Monēta	Coin
Aukstais karš	Cold War
Kategorija:Aukstais karš	Cold War
Kolāža	Collage
Ķelne	Cologne
Kolumbija	Colombia
Kategorija:Kolumbija	Colombia
Kolonija	Colony
Krāsa	Color
Kolorādo	Colorado
Kolizejs	Colosseum
Balodis (zvaigznājs)	Columba (constellation)
Columbus	Columbus
Koma	Coma
Berenikes Mati	Coma Berenices
Komēdija	Comedy
Komēta	Comet
Komats	Comma (punctuation)
Delartiskā komēdija	Commedia dell'arte
Kategorija:Tirdzniecība	Commerce
Neatkarīgo Valstu Savienība	Commonwealth of Independent States
Nāciju Sadraudzība	Commonwealth of Nations
Kategorija:Sakari	Communication
Saskarsme	Communication
Komunisms	Communism
Kategorija:Komunisms	Communism
Komoras	Comoros
Kategorija:Komoru salas	Comoros
Komponists	Composer
Datorlingvistika	Computational linguistics
Dators	Computer
Datora arhitektūra	Computer architecture
Monitors	Computer display
Fails	Computer file
Kategorija:Datorgrafika	Computer graphics
Kategorija:Datoru aparatūra	Computer hardware
Datortīkli	Computer network
Datorprogramma	Computer program
Kategorija:Programmēšana	Computer programming
Datorzinātne	Computer science
Kategorija:Datorzinātne	Computer science
Programmatūra	Computer software
Category:Datorzinātne	Computing
Konakri	Conakry
Konflikts	Conflict
Konfūcisms	Confucianism
Konfūcijs	Confucius
Kongo	Congo
Konektikuta	Connecticut
Konservatīvisms	Conservatism
Līdzskanis	Consonant
Zvaigznājs	Constellation
Konstitūcija	Constitution (political)
Kontinents	Continent
Bridžs	Contract bridge
Konvekcija	Convection
Universālais koordinētais laiks	Coordinated Universal Time
Kopenhāgena	Copenhagen
Varš	Copper
Koraļļu jūra	Coral Sea
Korka	Cork (city)
Kornvola	Cornwall
Ziemeļu Vainags	Corona Borealis
Uzņēmums	Corporation
Korozija	Corrosion
Korunds	Corundum
Krauklis (zvaigznājs)	Corvus (constellation)
Reliktstarojums	Cosmic microwave background radiation
Kategorija:Kosmoloģija	Cosmology
Kostarika	Costa Rica
Kategorija:Kostarika	Costa Rica
Puma	Cougar
Koventrija	Coventry
Koijots	Coyote
Kauss (zvaigznājs)	Crater (constellation)
Krīts (periods)	Cretaceous
Krēta	Crete
Krimas Autonomā Republika	Crimea
Krimas karš	Crimean War
Kategorija:Krimināltiesības	Criminal law
Krimināltiesības	Criminal law
Kategorija:Kriminoloģija	Criminology
Horvātija	Croatia
Kategorija:Horvātija	Croatia
Krokodili	Crocodilia
Krons	Cronus
Stops (ierocis)	Crossbow
Zemes garoza	Crust (geology)
Vēžveidīgie	Crustacean
Dienvidu Krusts	Crux
Kristāls	Crystal
Kristalogrāfija	Crystallography
Kategorija:Kristalogrāfija	Crystallography
Ktenofori	Ctenophore
Kuba	Cuba
Kategorija:Kuba	Cuba
Ķirbju dzimta	Cucurbitaceae
Kultūra	Culture
Kategorija:Kultūra	Culture
Kambrija	Cumbria
Ciprešu dzimta	Cupressaceae
Kuritiba	Curitiba
Kirijs	Curium
Valūta	Currency
Cianīdi	Cyanide
Gulbis (zvaigznājs)	Cygnus (constellation)
Kipra	Cyprus
Kategorija:Kipra	Cyprus
Kirilica	Cyrillic alphabet
Mukoviscidoze	Cystic fibrosis
Citoplazma	Cytoplasm
Čehija	Czech Republic
Kategorija:Čehija	Czech Republic
Čehoslovākija	Czechoslovakia
Kategorija:Čehoslovākija	Czechoslovakia
D	D
D. H. Lorenss	D. H. Lawrence
Dezoksiribonukleīnskābe	DNA
DOS	DOS
Dadaisms	Dada
Dagerotips	Daguerreotype
Dakara	Dakar
Dalasa	Dallas
Damaska	Damascus
Kategorija:Deja	Dance
Dante Aligjēri	Dante Alighieri
Donava	Danube
Datizrace	Data mining
Datu struktūra	Data structure
Datu bāze	Database
Daugavpils	Daugavpils
Dāvids Hilberts	David Hilbert
Deivids Hjūms	David Hume
Diena	Day
Kategorija:Dienas	Days
Nāves jūra	Dead Sea
Nāve	Death
Desmitgade	Decade
Decembris	December
Decimālā skaitīšanas sistēma	Decimal
Deklinācija (astronomijā)	Declination
Deduktīvs slēdziens	Deductive reasoning
Briežu dzimta	Deer
Delavēra	Delaware
Deli	Delhi
Delfīns (zvaigznājs)	Delphinus
Delta	Delta
Dēmetra	Demeter
Demokrātija	Democracy
Kongo Demokrātiskā Republika	Democratic Republic of the Congo
Kategorija:Kongo Demokrātiskā Republika	Democratic Republic of the Congo
Kategorija:Demogrāfija	Demography
Dēmons	Demon
Dens Sjaopins	Deng Xiaoping
Dānija	Denmark
Kategorija:Dānija	Denmark
Deniss Gabors	Dennis Gabor
Blīvums	Density
Tuksnesis	Desert
Kategorija:Tuksneši	Deserts
Roterdamas Erasms	Desiderius Erasmus
Kategorija:Dizains	Design
Detroita	Detroit
Deitērijs	Deuterium
Attīstības psiholoģija	Developmental psychology
Draiveris	Device driver
Devona	Devon
Daka	Dhaka
Cukura diabēts	Diabetes mellitus
Dialekts	Dialect
Dimants	Diamond
Divdīgļlapji	Dicotyledon
Diktatūra	Dictatorship
Vārdnīca	Dictionary
Difrakcija	Diffraction
Kategorija:Gremošanas orgānu sistēma	Digestive system
Dimensija	Dimension
Dingo	Dingo
Dinozauri	Dinosaur
Diokletiāns	Diocletian
Dionīss	Dionysus
Diplodoks	Diplodocus
Diplomātija	Diplomacy
Līdzstrāva	Direct current
Kategorija:Nozīmju atdalīšana	Disambiguation
Diskurss	Discourse
Slimība	Disease
Džibuti	Djibouti (city)
Dmitrijs Mendeļejevs	Dmitri Mendeleev
Dnipropetrovska	Dnipropetrovsk
Dodekaedrs	Dodecahedron
Dodo	Dodo
Suns	Dog
Dolmens	Dolmen
Impērija (bioloģiskā)	Domain (biology)
Domestikācija	Domestication
Dominika	Dominica
Kategorija:Dominika	Dominica
Dominikāņi	Dominican Order
Dominikāna	Dominican Republic
Kategorija:Dominikāna	Dominican Republic
Doņecka	Donetsk
Doplera efekts	Doppler effect
Zelta Zivs	Dorado
Dortmunde	Dortmund
Pūķis (zvaigznājs)	Draco (constellation)
Pūķis	Dragon
Dramaturģija	Drama
Drēzdene	Dresden
Bungas	Drum
Duālisms	Dualism
Duālisms (prāta filosofijā)	Dualism (philosophy of mind)
Dublina	Dublin
Hercogs	Duke
Durbana	Durban
Dušanbe	Dushanbe
Kategorija:Nīderlandes cilvēki	Dutch people
Dvaits Eizenhauers	Dwight D. Eisenhower
Dinamīts	Dynamite
Disleksija	Dyslexia
Disprozijs	Dysprosium
E	E
E-pasts	E-mail
Ernests Teodors Amadejs Hofmanis	E. T. A. Hoffmann
Roņu dzimta	Earless seal
Zeme	Earth
Kategorija:Zeme	Earth
Zemestrīce	Earthquake
Austrumķīnas jūra	East China Sea
Vācijas Demokrātiskā Republika	East Germany
Īstsaseksa	East Sussex
Austrumtimora	East Timor
Kategorija:Austrumtimora	East Timor
Lieldienas	Easter
Pareizticība	Eastern Orthodox Church
Adatādaiņi	Echinoderm
