English	Yiddish
0 (number)	0 (נומער)
1 (number)	1 (נומער)
10 (number)	10 (נומער)
100 (number)	100 (נומער)
1000 (number)	1000 (נומער)
11 (number)	11 (נומער)
12 (number)	12 (נומער)
13 (number)	13 (נומער)
14 (number)	14 (נומער)
15 (number)	15 (נומער)
16 (number)	16 (נומער)
17 (number)	17 (נומער)
18 (number)	18 (נומער)
19 (number)	19 (נומער)
1920s	1920ער
1920s	קאַטעגאָריע:1920ער
1930s	1930ער
1930s	קאַטעגאָריע:1930ער
1940s	1940ער
1990s	קאַטעגאָריע:1990ער
2 (number)	2 (נומער)
20 (number)	צוואנציק
21 (number)	21 (נומער)
22 (number)	22 (נומער)
23 (number)	23 (נומער)
24 (number)	24 (נומער)
25 (number)	25 (נומער)
26 (number)	26 (נומער)
27 (number)	27 (נומער)
28 (number)	28 (נומער)
29 (number)	29 (נומער)
3 (number)	3 (נומער)
30 (number)	30 (נומער)
31 (number)	31 (נומער)
32 (number)	32 (נומער)
33 (number)	33 (נומער)
34 (number)	34 (נומער)
35 (number)	35 (נומער)
36 (number)	36 (נומער)
37 (number)	37 (נומער)
38 (number)	38 (נומער)
39 (number)	39 (נומער)
4 (number)	4 (נומער)
40 (number)	40 (נומער)
41 (number)	41 (נומער)
42 (number)	42 (נומער)
43 (number)	43 (נומער)
45 (number)	45 (נומער)
46 (number)	46 (נומער)
49 (number)	49 (נומער)
5 (number)	5 (נומער)
50 (number)	50 (נומער)
6 (number)	6 (נומער)
60 (number)	60 (נומער)
7 (number)	7 (נומער)
8 (number)	8 (נומער)
80 (number)	80 (נומער)
9 (number)	9 (נומער)
AIDS	עידס
Aaron	אהרן הכהן
Abbreviation	קורץ ווארט
Abdomen	בויך
Abortion	אבארטאציע
Abraham	אברהם אבינו
Abraham Lincoln	עברעהעם לינקולן
Abuja	אבוזשא
Academy Award	אסקאר
Accountancy	בוך האלטעריי
Accusative case	אקוזאטיוו
Acre	עכו
Actor	אקטיאר
Adam	אדם הראשון
Addition	צוגעבן
Adjective	אדיעקטיוו
Adolf Eichmann	אדאלף אייכמאן
Adolf Hitler	אדאלף היטלער
Adult	ערוואקסענער
Adverb	אדווערב
Advertising	אדווערטייזונג
Aegean Sea	אגאישער ים
Aeneas	איניעס
Aesthetics	עסטעטיק
Affix	פרעפיקס
Afghanistan	אפגאניסטאן
Afghanistan	קאַטעגאָריע:אפגאניסטאן
Africa	אפריקע
Africa	קאַטעגאָריע:אפריקע
Agnosticism	אגנאסטיציזם
Agriculture	לאנדווירטשאפט
Agriculture	קאַטעגאָריע:לאנדווירטשאפט
Airbus	ערבוס
Airline	פלי געזעלשאפט
Airport	פליפעלד
Al Gore	על גאור
Al-Qaeda	אל-קאידא
Alabama	אלאבאמא
