Indonesian	English
1	1
1 (angka)	1 (number)
10	10
10 (angka)	10 (number)
100	100
Kategori:100	100
1000	1000
Kategori:1000	1000
101	101
105	105
11	11
11 (angka)	11 (number)
110	110
115	115
12	12
12 (angka)	12 (number)
120	120
125	125
13	13
13 (angka)	13 (number)
130	130
135	135
14	14
14 (angka)	14 (number)
140	140
144	144
145	145
15	15
15 (angka)	15 (number)
150	150
1530-an	1530s
155	155
16	16
16 (angka)	16 (number)
160	160
165	165
17	17
17 (angka)	17 (number)
170	170
1728	1728
Kategori:1728	1728
175	175
1750-an	1750s
Kategori:1750-an	1750s
1760-an	1760s
Kategori:1760-an	1760s
1770-an	1770s
Kategori:1770-an	1770s
1780-an	1780s
Kategori:1780-an	1780s
1790-an	1790s
Kategori:1790-an	1790s
18	18
18 (angka)	18 (number)
180	180
1820-an	1820s
Kategori:1820-an	1820s
1830-an	1830s
Kategori:1830-an	1830s
1840-an	1840s
Kategori:1840-an	1840s
1850-an	1850s
1860-an	1860s
Kategori:1860-an	1860s
1870-an	1870s
Kategori:1870-an	1870s
1880-an	1880s
Kategori:1880-an	1880s
1890-an	1890s
Kategori:1890-an	1890s
19	19
19 (angka)	19 (number)
190	190
1900-an	1900s
Kategori:1900-an	1900s
1920-an	1920s
Kategori:1920-an	1920s
1930-an	1930s
Kategori:1930-an	1930s
1940-an	1940s
Kategori:1940-an	1940s
1950-an	1950s
Kategori:1950-an	1950s
1960-an	1960s
Kategori:1960-an	1960s
1970-an	1970s
Kategori:1970-an	1970s
1980-an	1980s
Kategori:1980-an	1980s
1990-an	1990s
Kategori:1990-an	1990s
2	2
2 (angka)	2 (number)
20	20
20 (angka)	20 (number)
200	200
21	21
21 (angka)	21 (number)
22	22
22 (angka)	22 (number)
23	23
23 (angka)	23 (number)
24	24
24 (serial televisi)	24 (TV series)
24 (angka)	24 (number)
25	25
25 (angka)	25 (number)
26	26
26 (angka)	26 (number)
27	27
27 (angka)	27 (number)
28	28
28 (angka)	28 (number)
29	29
29 (angka)	29 (number)
3	3
3 (angka)	3 (number)
30	30
30 (angka)	30 (number)
300	300
31	31
31 (angka)	31 (number)
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (angka)	4 (number)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (angka)	5 (number)
50	50
500	500
Kategori:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (angka)	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (angka)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (angka)	8 (number)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (angka)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A capella	A cappella
AIDS	AIDS
ATP	ATP
AZ Alkmaar	AZ (football club)
Aachen	Aachen
Aalborg	Aalborg
Århus	Aarhus
Sempoa	Abacus
Abadan	Abadan
Abdomen	Abdomen
Abel Tasman	Abel Tasman
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abkhazia
Gugur kandungan	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Magnitudo mutlak	Absolute magnitude
Seni abstrak	Abstract art
Abu Dhabi	Abu Dhabi
Abu Dhabi	Abu Dhabi (emirate)
Abuja	Abuja
Academy Awards	Academy Award
Acapulco	Acapulco
Percepatan	Acceleration
Akuntansi	Accountancy
Kategori:Akuntansi	Accountancy
Accra	Accra
Asetaldehida	Acetaldehyde
Asam asetat	Acetic acid
Asetilena	Acetylene
Asam	Acid
Hujan asam	Acid rain
Jerawat	Acne vulgaris
Acorn	Acorn
Kategori:Akustik	Acoustics
Akko	Acre
Acre	Acre (state)
Aktinida	Actinide
Aktinium	Actinium
Pemeran	Actor
Kisah Para Rasul	Acts of the Apostles
Akupunktur	Acupuncture
Ada (bahasa pemrograman)	Ada (programming language)
Adam	Adam
Adam Smith	Adam Smith
Adana	Adana
Baobab	Adansonia
Kecanduan	Addiction
Addis Ababa	Addis Ababa
Penjumlahan	Addition
Adelaide	Adelaide
Aden	Aden
Adenin	Adenine
Adenosin trifosfat	Adenosine triphosphate
Adjektiva	Adjective
Laksamana	Admiral
Remaja	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Kelenjar adrenal	Adrenal gland
Laut Adriatik	Adriatic Sea
Adsorpsi	Adsorption
Dewasa	Adult
Adven	Advent
Adverbia	Adverb
Iklan	Advertising
Laut Aegea	Aegean Sea
Aerodinamika	Aerodynamics
Aerosol	Aerosol
Aesop	Aesop
Estetika	Aesthetics
Afiks	Affix
Afganistan	Afghanistan
Kategori:Afganistan	Afghanistan
Afrika	Africa
Kategori:Afrika	Africa
Afrika-Amerika	African American
Bahasa Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar-agar	Agar
Agatha Christie	Agatha Christie
Agresi	Aggression
Agnostisisme	Agnosticism
Agra	Agra
Pertanian	Agriculture
Kategori:Pertanian	Agriculture
Agrigento	Agrigento
Aikido	Aikido
Ain (departemen)	Ain
Angkatan udara	Air force
Airbus	Airbus
Pesawat terbang	Aircraft
Kategori:Pesawat	Aircraft
Kapal induk	Aircraft carrier
Maskapai penerbangan	Airline
Bandar udara	Airport
Ajax	Ajax
AJAX	Ajax (programming)
Akhenaten	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Kategori:Alabama	Alabama
Alan Turing	Alan Turing
Alanin	Alanine
