English	Arabic
0 (number)	0 (عدد)
1	1
1 (number)	1 (عدد)
10	10
10 (number)	10 (عدد)
100	100
100	تصنيف:100
1000	1000
1000	تصنيف:1000
101	101
105	105
11	11
11 (number)	11 (عدد)
110	110
115	115
12	12
12	تصنيف:12
12 (number)	12 (عدد)
120	120
125	125
13	13
13 (number)	13 (عدد)
130	130
135	135
14	14
14	تصنيف:14
14 (number)	14 (عدد)
140	140
144	144
145	145
15	15
15 (number)	15 (عدد)
150	150
1530s	عقد 1530
155	155
16	16
16	تصنيف:16
16 (number)	16 (عدد)
160	160
165	165
17	17
17	تصنيف:17
17 (number)	17 (عدد)
170	170
1728	1728
1728	تصنيف:1728
175	175
1750s	عقد 1750
1750s	تصنيف:عقد 1750
1760s	عقد 1760
1760s	تصنيف:عقد 1760
1770s	عقد 1770
1770s	تصنيف:عقد 1770
1780s	عقد 1780
1780s	تصنيف:عقد 1780
1790s	عقد 1790
1790s	تصنيف:عقد 1790
18	18
18 (number)	18 (عدد)
180	180
1820s	عقد 1820
1820s	تصنيف:عقد 1820
1830s	عقد 1830
1830s	تصنيف:عقد 1830
1840s	عقد 1840
1840s	تصنيف:عقد 1840
1850s	عقد 1850
1860s	عقد 1860
1860s	تصنيف:عقد 1860
1870s	عقد 1870
1870s	تصنيف:عقد 1870
1880s	عقد 1880
1880s	تصنيف:عقد 1880
1890s	عقد 1890
1890s	تصنيف:عقد 1890
19	19
19 (number)	19 (عدد)
190	190
1900s	عقد 1900
1900s	تصنيف:عقد 1900
1920s	عقد 1920
1920s	تصنيف:عقد 1920
1930s	عقد 1930
1930s	تصنيف:عقد 1930
1940s	عقد 1940
1940s	تصنيف:عقد 1940
1950s	عقد 1950
1950s	تصنيف:عقد 1950
1960s	عقد 1960
1960s	تصنيف:عقد 1960
1970s	عقد 1970
1970s	تصنيف:عقد 1970
1980s	عقد 1980
1980s	تصنيف:عقد 1980
1990s	عقد 1990
1990s	تصنيف:عقد 1990
2	2
2 (number)	2 (عدد)
20	20
20 (number)	20 (عدد)
200	200
21	21
21 (number)	21 (عدد)
22	22
22 (number)	22 (عدد)
23	23
