English	Piedmontese
Abidjan	Abidjan
Abraham Lincoln	Abraham Lincoln
Abu Dhabi	Abu Dhabi
Academy Award	Premi Oscar
Accra	Accra
Acre (state)	Acre
Addis Ababa	Addis Abeba
Adolf Hitler	Adolf Hitler
Afghanistan	Afgànistan
Afghanistan	Categorìa:Afgànistan
Africa	Àfrica
Africa	Categorìa:Àfrica
Agatha Christie	Agatha Christie
Agra	Agra (India)
Agrigento	Agrigent
Al Capone	Al Capone
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alasca
Albania	Albanìa
Albania	Categorìa:Albanìa
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Alexandre Dumas	Alexandre Dumas (pare)
Alexandre Dumas	Alexandre Dumas (fieul)
Alfred North Whitehead	Alfred North Whitehead
Algebra	Àlgebra
Algeria	Algerìa
Algeria	Categorìa:Algerìa
Algiers	Algeri
Alkane	Parafin-a
Alsace	Alsassia
Amedeo Avogadro	Amedeo Avogadro
Amman	Amman
Amsterdam	Àmsterdam
Anatole France	Anatole France
Anatomy	Categorìa:Anatomìa
Anchorage	Anchorage
Andalusia	Andalusìa
Andorra	Andorra
Andorra	Categorìa:Andorra
Angola	Angòla
Angola	Categorìa:Angòla
Anguilla	Anguilla
Ankara	Ankara
Annapolis	Annapolis
Antananarivo	Antananarivo
Antarctica	Antàrtide
Anthropology	Categorìa:Antropologìa
Antigua and Barbuda	Antigua e Barbuda
Antigua and Barbuda	Categorìa:Antigua e Barbuda
Apia	Apia
Apulia	Pulia
Aquitaine	Aquitania
Aragon	Aragon-a
Archaeology	Categorìa:Archeologìa
Archimedes	Archimede
Architecture	Categorìa:Architetura
Argentina	Argentin-a
Argentina	Categorìa:Argentin-a
Aristarchus of Samos	Aristarch ëd Samo
Aristotle	Aristòtil
Arizona	Arison-a
Arkansas	Arkansas
Armenia	Armenia
Arthur Conan Doyle	Arthur Conan Doyle
Aruba	Aruba
Aruba	Categorìa:Aruba
Asia	Asia
Asia	Categorìa:Asia
Asmara	Asmara
Astana	Astana
Astronomical unit	Unità Astronòmica
Astronomy	Categorìa:Astronomìa
Athens	Atene
Atlantic Ocean	Océan Atlàntich
Augustine of Hippo	Agustin d'Ipon-a
Australia	Australia
Australia	Categorìa:Australia
Austria	Àustria
Auvergne (region)	Alvernia
Averroes	Averoé
Azerbaijan	Azerbaigian
Azerbaijan	Categorìa:Azerbaigian
Baghdad	Baghdad
Bahamas	Categorìa:Bahamas
Bahrain	Bahrain
Baja California	Bassa Califòrnia
Baku	Baku
Balearic Islands	Ìsole Balear
Bamako	Bamako
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Categorìa:Bangladesh
Bangui	Bangui
Banjul	Banjul
Barbados	Barbados
Barbados	Categorìa:Barbados
Bari	Bari
Basilicata	Basilicà
Basse-Normandie	Bassa Normandìa
Basseterre	Basseterre
Bavaria	Baviera
Beijing	Pechin
Beirut	Beirut
Belarus	Bielorussia
Belfast	Belfast
Belgium	Belgi
Belgrade	Belgrad
Belize	Belize
Belize	Categorìa:Belize
Benghazi	Bèngasi
Benin	Benin
Benin	Categorìa:Benin
Benito Mussolini	Benito Mussolini
Benjamin Disraeli	Benjamin Disraeli
Berlin	Berlin
Berne	Berna
Bertrand Russell	Bertrand Russell
Bhutan	Bhutan
Bishkek	Bishkek
Bissau	Bissau
Blackbird	Turdus merula
Blaise Pascal	Blaise Pascal
Bloemfontein	Bloemfontein
Boletus edulis	Boletus edulis
Bolivia	Bolivia
Bolivia	Categorìa:Bolivia
Bologna	Bològna
Bolzano	Bolsan
Bordeaux	Bordò
Bosnia and Herzegovina	Bòsnia e Erzegòvina
Bot	Stamp:Trigomiro
Botswana	Botswana
Botswana	Categorìa:Botswana
Bourgogne	Borgògna
Brandenburg	Brandeborgh
Bratislava	Bratislava
Brazil	Brasil
Brazzaville	Brazzaville
Bremen (state)	Brema (Land)
Brescia	Bressia
Bretagne	Brëtagna
Bridgetown	Bridgetown
Brindisi	Brìndisi
British Columbia	Columbia Britànica
British Isles	Ìsole britàniche
Bronze Age	Età dël bronz
Brunei	Brunei
Brussels	Brussel
Bucharest	Bùcarest
Buckingham Palace	Buckingham Palace
Budapest	Bùdapest
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bulgarìa
Burkina Faso	Burkina Faso
Burkina Faso	Categorìa:Burkina Faso
Burma	Myanmar
Burundi	Categorìa:Burundi
Buster Keaton	Buster Keaton
Cairo	Ël Càiro
Calabria	Calabria
California	Califòrnia
Cambodia	Cambògia
Cambodia	Categorìa:Cambògia
Cameroon	Cameron
Cameroon	Categorìa:Cameron
Campania	Campania
Canada	Canadà
Canada	Categorìa:Canadà
Canary Islands	Ìsole Canarie
Canberra	Canberra
Cape Town	Sità dël Cap
Cape Verde	Cap Verd
Caracas	Caracas
Cardiff	Cardiff
Cartesian product	Prodot cartesian
Casablanca	Casablanca
Castries	Castries
Catalonia	Catalògna (comunità autònoma)
Cayenne	Cajen-a
Central African Republic	Repùblica Centrafrican-a
Central America	Categorìa:América central
Chad	Ciad
Champagne-Ardenne	Champagne-Ardënne
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Chemical element	Element chìmich
Chihuahua	Chihuahua (stat federal)
Chile	Cile
Chile	Categorìa:Cile
Christiaan Huygens	Christiaan Huygens
Christianity	Cristianésim
Colombia	Colombia
Colombia	Categorìa:Colombia
Colombo	Colombo (Sri Lanka)
Colorado	Colorado
Colosseum	Colossé
Comoros	Comòre
Computer science	Anformàtica
Conakry	Conakry
Connecticut	Connecticut
Copenhagen	Copenàghen
Corsica	Còrsica
Costa Rica	Còsta Rica
Costa Rica	Categorìa:Còsta Rica
Cotonou	Cotonou
Cremona	Cremon-a
Croatia	Croassia
Cuba	Cuba
Cuba	Categorìa:Cuba
Curitiba	Curitiba
Cybernetics	Sibernética
Cyprus	Cipro
Cyprus	Categorìa:Cipro
Czech Republic	Repùblica Ceca
DNA	DNA
Dakar	Dakar
Damascus	Damasco
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Dar es Salaam	Dar es Salaam
David Hilbert	David Hilbert
Delaware	Delaware
Democratic Republic of the Congo	Repùblica Democràtica dël Còngo
Democritus	Demòcrit
Denmark	Danimarca
Denmark	Categorìa:Danimarca
Desiderius Erasmus	Erasm da Rotterdam
Dhaka	Dacca
Dhaulagiri	Dhaulagiri
Dialect	Dialèt
Diana	Dian-a Frances Spencer
Djibouti	Categorìa:Djibouti
