English	Dutch
9 (number)	9 (getal)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A (letter)
A cappella	A capella
ABC	ABC
AIDS	Aids
ALGOL	Algol (programmeertaal)
ATP	ATP
AZ (football club)	AZ (voetbalclub)
Aachen	Aken (stad)
Aalborg	Aalborg (stad)
Aar	Aare
Aardvark	Aardvarken
Aarhus	Århus
Aaron	Aäron
Abacus	Abacus (rekentuig)
Abadan	Abadan
Abbot	Abt (abdij)
Abbreviation	Afkorting
Abdomen	Buik
Abel Tasman	Abel Tasman
Abelian group	Abelse groep
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abchazië
Abkhazia	Categorie:Abchazië
Abolitionism	Abolitionisme (slavernij)
Abortion	Abortus
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolute helderheid
Absolute value	Absolute waarde
Absolute zero	Absoluut nulpunt
Abstract art	Abstracte kunst
Abstract expressionism	Abstract expressionisme
Abstraction	Abstractie
Abu Dhabi	Abu Dhabi (stad)
Abu Dhabi (emirate)	Abu Dhabi
Abuja	Abuja
Acacia	Acacia
Academy Award	Academy Award
Acapulco	Acapulco (Guerrero)
Acceleration	Versnelling (natuurkunde)
Accipitridae	Havikachtigen
Accordion	Accordeon
Accountancy	Boekhouding
Accountancy	Categorie:Boekhouden
Accra	Accra
Accusative case	Accusatief
Acetaldehyde	Aceetaldehyde
Acetic acid	Azijnzuur
Acetone	Aceton
Acetylcholine	Acetylcholine
Acetylene	Ethyn
Acheron	Acheron (mythologie)
Achillea millefolium	Duizendblad
Achilles	Achilles
Acid	Zuur (scheikunde)
Acid rain	Zure regen
Acne vulgaris	Acne
Aconcagua	Aconcagua
Acorn	Eikel (vrucht)
Acoustics	Akoestiek
Acoustics	Categorie:Akoestiek
Acre	Acre (oppervlaktemaat)
Acre	Akko
Acre (state)	Acre (staat)
Acropolis	Akropolis
Actinide	Actinide
Actinium	Actinium
Actor	Acteur
Acts of the Apostles	Handelingen van de Apostelen
Acupuncture	Acupunctuur
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada (programmeertaal)
Adam	Adam
Adam Smith	Adam Smith
Adana	Adana (stad)
Adansonia	Baobab
Addiction	Verslaving
Addis Ababa	Addis Abeba
Addition	Optellen
Adelaide	Adelaide
Aden	Aden
Adenine	Adenine
Adenosine triphosphate	Adenosinetrifosfaat
Adiabatic process	Adiabatisch proces
Adige	Adige
Adjective	Bijvoeglijk naamwoord
Admiral	Admiraal
Adolescence	Adolescentie
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis (mythologie)
Adoption	Adoptie
Adrenal gland	Bijnier
Adriatic Sea	Adriatische Zee
Adsorption	Adsorptie
Adult	Volwassene
Advent	Advent
Adverb	Bijwoord
Advertising	Reclame
Aegean Sea	Egeïsche Zee
Aeneas	Aeneas
Aeneid	Aeneis
Aeolus	Aeolus (mythologie)
Aerodynamics	Aerodynamica
Aerosol	Aerosol
Aeschylus	Aischylos
Aesop	Aisopos
Aesthetics	Esthetica
Affix	Affix
Afghanistan	Afghanistan
Afghanistan	Categorie:Afghanistan
Africa	Afrika
Africa	Categorie:Afrika
African American	Afro-Amerikanen
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar	Agar-agar
Agate	Agaat
Agatha Christie	Agatha Christie
Aggression	Agressie
Agnatha	Kaakloze vissen
Agnosticism	Agnosticisme
Agora	Agora
Agoraphobia	Agorafobie
Agra	Agra (India)
Agriculture	Landbouw
Agriculture	Categorie:Landbouw
Agrigento	Agrigento (stad)
Aikido	Aikido
Ain	Ain (departement)
Air force	Luchtmacht
Airbus	Airbus
Aircraft	Vliegtuig
Aircraft	Categorie:Vliegtuig
Aircraft carrier	Vliegdekschip
Airline	Luchtvaartmaatschappij
Airport	Vliegveld
Ajax	Ajax
Ajax (mythology)	Ajax (mythologie)
Ajax (programming)	Asynchronous JavaScript and XML
Akhenaten	Achnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al Qaida
Alabama	Alabama
Alabama	Categorie:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanine
Alaska	Alaska
Alaska	Categorie:Alaska
Alban Berg	Alban Berg
Albania	Albanië
Albania	Categorie:Albanië
Albany	Albany (New York)
Albatross	Albatrossen
Albedo	Weerkaatsingsvermogen
Albert Abraham Michelson	Albert Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Categorie:Alberta
Albinism	Albinisme
Albite	Albiet
Album	Album (muziek)
Albuquerque	Albuquerque
Alchemy	Alchemie
Alchemy	Categorie:Alchemie
Alcohol	Alcohol (stofklasse)
Alcoholic beverage	Alcoholische drank
Alcoholism	Alcoholisme
Aldebaran	Aldebaran
Aldehyde	Aldehyde
Alder	Els (boom)
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Solzjenitsyn
Aleppo	Aleppo
Aleutian Islands	Aleoeten
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Poesjkin
Alexander the Great	Alexander de Grote
Alexandre Dumas	Alexandre Dumas père
Alexandre Dumas	Alexandre Dumas fils
Alexandria	Alexandrië
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfred de Grote
Algae	Algen
Algebra	Algebra
Algebra	Categorie:Algebra
Algebraic number	Algebraïsch getal
Algeria	Algerije
Algeria	Categorie:Algerije
Algiers	Algiers
Algorithm	Algoritme
Alhambra	Alhambra
Ali	Ali ibn Abu Talib
Alkali metal	Alkalimetaal
Alkaloid	Alkaloïde
Alkane	Alkaan
Alkene	Alkeen
Alkyne	Alkyn
Allah	Allah
Allegory	Allegorie (letterkunde)
Allele	Allel
Allen Ginsberg	Allen Ginsberg
Allergy	Allergie
Alliteration	Beginrijm
Allophone	Allofoon
Allosaurus	Allosaurus
Allotropy	Allotropie
Alloy	Legering
Almanac	Almanak
Almaty	Alma-Ata
Almond	Amandel
Aloe	Aloë
Alpha (letter)	Alfa (letter)
Alpha Centauri	Alpha Centauri
Alpha particle	Alfadeeltje
Alphabet	Alfabet
Alps	Alpen
Alps	Categorie:Alpen
Alsace	Elzas
Altair	Altair
Altar	Altaar (religie)
Altay Mountains	Altaj (gebergte)
Alternating current	Wisselstroom
Alternative medicine	Categorie:Alternatieve geneeswijze
Alternative medicine	Alternatieve geneeswijzen
Altruism	Altruïsme
Aluminium	Aluminium
Aluminium oxide	Aluminiumoxide
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Ziekte van Alzheimer
Amanita muscaria	Vliegenzwam
Amanita phalloides	Groene knolamaniet
Amaryllidaceae	Narcisfamilie
Amaterasu	Amaterasu
Amazon River	Amazone (rivier)
Ambassador	Ambassadeur
Amber	Barnsteen
Ambrose	Ambrosius van Milaan
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Amerikaanse bizon
American Black Bear	Amerikaanse zwarte beer
American Civil War	Amerikaanse Burgeroorlog
American Revolutionary War	Amerikaanse Onafhankelijkheidsoorlog
American Samoa	Amerikaans-Samoa
American Standard Code for Information Interchange	ASCII (tekenset)
American football	American football
American football	Categorie:American football
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci (persoon)
Amethyst	Amethist
Amharic	Amhaars
Amide	Amide
Amine	Amine
Amino acid	Aminozuur
Amish	Amish
Amman	Amman (stad)
Ammeter	Ampèremeter
Ammonia	Ammoniak
Amnesia	Geheugenverlies
Amnesty	Amnestie
Ampere	Ampère
Amphetamine	Amfetamine
Amphibian	Amfibieën
Amphitheatre	Amfitheater
Amphora	Amfora
Amplitude	Amplitude
Amsterdam	Amsterdam
Amsterdam	Categorie:Amsterdam
Amun	Amon (mythologie)
Amur	Amoer (rivier)
Anabaptist	Anabaptisme
Anagram	Anagram
Anaheim	Anaheim
Anal sex	Anale seks
Analytic geometry	Analytische meetkunde
Anarchism	Anarchisme
Anarchism	Categorie:Anarchisme
Anarchy	Regeringsloosheid
Anatidae	Anatidae
Anatole France	Anatole France
Anatomy	Categorie:Anatomie
Anatomy	Anatomie
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anchor	Anker (schip)
Anchorage	Anchorage (Alaska)
Ancient Greek	Oudgrieks
Ancient history	Categorie:Oudheid
Andalusia	Andalusië
Andaman Sea	Andamanse Zee
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Categorie:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Sacharov
Andrei Tarkovsky	Andrej Tarkovski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Androïde
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (sterrenbeeld)
Andromeda (mythology)	Andromeda (mythologie)
Andromeda Galaxy	Andromedanevel
Andy Warhol	Andy Warhol
Anemia	Bloedarmoede
Anemometer	Anemometer
Anesthesia	Anesthesie
Angara River	Angara
Angel	Engel
Angel Falls	Ángelwaterval
Angle	Hoek (meetkunde)
Anglicanism	Anglicanisme
Angola	Angola
Angola	Categorie:Angola
Anguilla	Anguilla (eiland)
Angular momentum	Impulsmoment
Angular velocity	Hoeksnelheid
Anicius Manlius Severinus Boethius	Boëthius
Aniline	Aniline
Animal	Dieren (rijk)
Animal husbandry	Veeteelt
Animation	Animatie
Anime	Anime
Animism	Animisme (religie)
Anise	Anijs
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anna Boleyn
Annelid	Ringwormen
Anno Domini	Anno Domini
Annunciation	Annunciatie
Anode	Anode
Anseriformes	Eendvogels
Anseriformes	Categorie:Anseriformes
Ant	Mieren
Antakya	Antiochië
Antalya	Antalya (stad)
Antananarivo	Antananarivo (stad)
Antarctica	Antarctica
Antarctica	Categorie:Antarctica
Antares	Antares (ster)
Antenna (radio)	Antenne (straling)
Anthony Hopkins	Anthony Hopkins
Anthrax	Miltvuur
Anthropology	Antropologie
Anthropology	Categorie:Antropologie
Anthroposophy	Antroposofie
Antibiotic	Antibioticum
Antibody	Immunoglobuline
Antichrist	Antichrist
Anticyclone	Hogedrukgebied
Antigen	Antigeen
Antigone	Antigone (dochter van Oedipus)
Antigua and Barbuda	Antigua en Barbuda
Antigua and Barbuda	Categorie:Antigua en Barbuda
Antimatter	Antimaterie
Antimony	Antimoon
Antioxidant	Antioxidant
Antipope	Tegenpaus
Antisemitism	Antisemitisme
Antisemitism	Categorie:Antisemitisme
Antlia	Luchtpomp (sterrenbeeld)
Antofagasta	Antofagasta (stad)
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Tsjechov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi (componist)
Antonym	Antoniem
Antwerp	Antwerpen (stad)
Antwerp (province)	Antwerpen (provincie)
Anubis	Anubis (god)
Anus	Anus (anatomie)
Aorta	Aorta
Apache	Apache (volk)
Apatite	Apatiet
Ape	Hominoidea
Aphasia	Afasie
Aphorism	Aforisme
Aphrodite	Aphrodite
Apia	Apia
Apiaceae	Schermbloemenfamilie
Apocrypha	Apocrief
Apodiformes	Gierzwaluwachtigen
Apollo	Apollon
Apollo (disambiguation)	Apollo
Apollo program	Project Apollo
Apollo program	Categorie:Apollo (ruimtevaartuig)
Apoptosis	Apoptose
Appalachian Mountains	Appalachen
Appendicitis	Blindedarmontsteking
Apple	Appel (vrucht)
Applied mathematics	Toegepaste wiskunde
Apricot	Abrikoos
April	April
April 14	14 april
April Fools' Day	1 aprilgrap
Apse	Apsis (architectuur)
Apulia	Apulië
Apus	Paradijsvogel (sterrenbeeld)
Aqaba	Akaba
Aqua regia	Koningswater
Aquamarine	Aquamarijn
Aquarium	Aquarium
Aquarius (constellation)	Waterman (astronomie)
Aqueduct	Aquaduct (waterbouwkunde)
Aquila (constellation)	Arend (sterrenbeeld)
Aquitaine	Aquitanië
Ara (constellation)	Altaar (sterrenbeeld)
Arab	Arabieren
Arab League	Arabische Liga
Arabian Peninsula	Arabisch Schiereiland
Arabian Sea	Arabische Zee
Arabic alphabet	Arabisch alfabet
Arabic language	Arabisch
Araceae	Aronskelkfamilie
Arachnid	Spinachtigen
Arafura Sea	Arafurazee
Aragon	Aragón
Aral Sea	Aralmeer
Aram Khachaturian	Aram Chatsjatoerjan
Arcadia	Arcadië
Arcangelo Corelli	Arcangelo Corelli
Arch	Boog (bouwkunde)
Archaeology	Archeologie
Archaeology	Categorie:Archeologie
Archaeopteryx	Archaeopteryx
Archangel	Aartsengel
Archbishop	Aartsbisschop
Archean	Archeïcum
Archetype	Archetype (model)
Archimedes	Archimedes
Archipelago	Archipel
Architect	Architect
Architecture	Architectuur
Architecture	Categorie:Architectuur
Archive	Archief
Archosaur	Archosauria
Arctic	Arctis
Arctic Circle	Noordpoolcirkel
Arctic Ocean	Noordelijke IJszee
Arctic fox	Poolvos
Ardennes	Ardennen
Ardennes (department)	Ardennes
Are	Are
Area	Oppervlakte
Arecaceae	Palmenfamilie
Ares	Ares (mythologie)
Argentina	Argentinië
Argentina	Categorie:Argentinië
Argon	Argon
Argos	Argos (stad)
Aria	Aria (compositie)
Ariadne	Ariadne
Arianism	Arianisme
Aries (constellation)	Ram (sterrenbeeld)
Aristarchus of Samos	Aristarchus
Aristocracy	Aristocratie
Aristophanes	Aristophanes/ Aristofanes (blijspeldichter)
Aristotle	Aristoteles
Arithmetic	Rekenen
Arithmetic	Categorie:Rekenen
Arithmetic progression	Rekenkundige rij
Arius	Arius (theoloog)
Arizona	Arizona (staat)
Arizona	Categorie:Arizona
Ark of the Covenant	Ark van het Verbond
Arkansas	Arkansas (staat)
Arkansas	Categorie:Arkansas
Arles	Arles
Armadillo	Gordeldieren
Armenia	Armenië
Armenia	Categorie:Armenië
Armenian language	Armeens
Arminius	Arminius (veldheer)
Armour	Harnas
Army	Landmacht (algemeen)
Arnhem	Arnhem
Arno River	Arno (rivier)
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Aromatische verbinding
Arquebus	Haakbus
Arras	Arras
Arrow	Pijl (wapen)
Arsenic	Arseen
Art	Kunst
Art Deco	Art deco
Art Nouveau	Jugendstil
Art history	Categorie:Kunstgeschiedenis
Art history	Kunstgeschiedenis
Artemis	Artemis (mythologie)
Artemisia (plant)	Alsem
Artemisia absinthium	Absintalsem
Artery	Slagader
Arthritis	Artritis
Arthropod	Geleedpotigen
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley
Artificial intelligence	Kunstmatige intelligentie
Artificial intelligence	Categorie:Kunstmatige intelligentie
Artillery	Artillerie
Artillery	Categorie:Artillerie
Artist	Artiest
Arts	Categorie:Kunst
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Aruba	Categorie:Aruba
Asbestos	Asbest
Asclepius	Asclepius
Asexuality	Aseksualiteit
Asgard	Asgaard (mythologie)
Ash Wednesday	Aswoensdag
Ashurbanipal	Assurbanipal
Asia	Azië
Asia	Categorie:Azië
Asmara	Asmara
Aspartame	Aspartaam
Asphalt	Asfalt
Aspirin	Acetylsalicylzuur
Assam	Assam
Assassination	Aanslag (misdrijf)
Association of Southeast Asian Nations	Association of Southeast Asian Nations
Assyria	Assyrische Rijk
Assyria	Categorie:Assyrische oudheid
Astana	Astana (stad)
Astatine	Astatium
Asteraceae	Composietenfamilie
Asteraceae	Categorie:Asteraceae
Asteroid	Planetoïde
Asteroid belt	Planetoïdengordel
Asthenosphere	Asthenosfeer
Asthma	Astma
Astigmatism (eye)	Astigmatisme (aandoening)
Astrakhan	Astrachan
Astrobiology	Astrobiologie
Astrolabe	Astrolabium
Astrology	Astrologie
Astrology	Categorie:Astrologie
Astrometry	Astrometrie
Astronaut	Ruimtevaarder
Astronomer	Astronoom
Astronomical unit	Astronomische eenheid
Astronomy	Astronomie
Astronomy	Categorie:Astronomie
Astronomy	Portaal:Astronomie
Astrophysics	Astrofysica
Astrophysics	Categorie:Astrofysica
Aswan	Aswan
Asymptote	Asymptoot
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama Desert	Atacama (woestijn)
Aten	Aton
Atheism	Categorie:Atheïsme
Athena	Pallas Athena
Athens	Athene
Athletics	Categorie:Atletiek
Athletics (track and field)	Atletiek
Atlanta	Atlanta
Atlantic Ocean	Atlantische Oceaan
Atlantic Ocean	Categorie:Atlantische Oceaan
Atlantis	Atlantis (eiland)
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (maan)
Atlas (mythology)	Atlas (mythologie)
Atlas Mountains	Atlasgebergte
Atmosphere	Atmosfeer (astronomie)
Atmosphere (unit)	Atmosfeer (eenheid)
Atmospheric pressure	Luchtdruk
Atoll	Atol
Atom	Atoom
Atomic clock	Atoomklok
Atomic mass	Atoommassa
Atomic mass unit	Atomaire massa-eenheid
Atomic number	Atoomnummer
Atomic physics	Categorie:Atoomfysica
Atomic physics	Atoomfysica
Atreus	Atreus
Atropine	Atropine
Attica	Attika
Attila the Hun	Attila de Hun
Au	Au
Auckland	Auckland
Auction	Veiling
August	Augustus (maand)
August 1	1 augustus
August 15	15 augustus
August 6	6 augustus
August Strindberg	August Strindberg
Augusta	Augusta (Maine)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustinus van Hippo
Augustus	Imperator Caesar Augustus
Auriga (constellation)	Voerman
Aurora	Aurora
Aurora (astronomy)	Poollicht
Austin	Austin (Texas)
Australasia	Australazië
Australia	Australië (land)
Australia	Categorie:Australië
Australian dollar	Australische dollar
Australopithecus	Australopithecus
Austria	Oostenrijk
Austria	Categorie:Oostenrijk
Austria-Hungary	Oostenrijk-Hongarije
Author	Auteur
Authority	Autoriteit
Autism	Autisme
Auto racing	Autosport
Autobiography	Autobiografie
Automated teller machine	Geldautomaat
Automobile	Auto
Autonomic nervous system	Autonoom zenuwstelsel
Autotroph	Autotroof
Autumn	Herfst
Auvergne (region)	Auvergne
Avalanche	Lawine
Avant-garde	Avant-garde
Avatar	Avatar (hindoeïsme)
Averroes	Averroes
Avesta	Avesta (literatuur)
Aviation	Categorie:Luchtvaart
Aviation	Luchtvaart
Avicenna	Avicenna
Avignon	Avignon
Avocado	Avocado
Avogadro's law	Wet van Avogadro
Axe	Bijl
Axiom	Axioma
Axon	Axon
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbaijan	Azerbeidzjan
Azerbaijan	Categorie:Azerbeidzjan
Azimuth	Azimut
Azores	Azoren
Aztec	Azteken
Azurite	Azuriet
B	B (letter)
BASIC	BASIC
Baal	Baäl
Baboon	Bavianen
Babylon	Babylon (stad)
Babylonia	Babylonië
Backgammon	Backgammon
Bacteria	Bacterie
Bacteria	Categorie:Bacterie
Bacteriophage	Bacteriofaag
Bactrian Camel	Kameel
Badminton	Badminton
Baffin Bay	Baffinbaai
Baffin Island	Baffineiland
Baghdad	Bagdad
Bahamas	Categorie:Bahama's
Bahrain	Bahrein
Bahrain	Categorie:Bahrein
Baja California	Baja California (staat)
Baklava	Baklava
Baku	Bakoe
Balalaika	Balalaika
Balance sheet	Balans (boekhouden)
Baldr	Baldr
Balearic Islands	Balearen
Baleen whale	Baleinwalvissen
Bali	Bali (eiland)
Balkan Mountains	Balkan (gebergte)
Balkan Wars	Balkanoorlogen
Balkans	Balkan (schiereiland)
Ball	Bal (voorwerp)
Ballet	Ballet
Ballet	Categorie:Ballet
Ballistic missile	Ballistische raket
Ballpoint pen	Balpen
Baltic Sea	Oostzee
Baltimore	Baltimore (Maryland)
Bamako	Bamako
Bamboo	Bamboe
Banana	Banaan (fruit)
Banana republic	Bananenrepubliek
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Categorie:Bangladesh
Bangui	Bangui (stad)
Banjul	Banjul
Bank	Bank (financiële instelling)
Banknote	Bankbiljet
Banks	Categorie:Bank
Baptism	Doop (sacrament)
Baptist	Baptisme
Bar (unit)	Bar (druk)
Barbados	Barbados
Barbados	Categorie:Barbados
Barbarian	Barbaar
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona (stad)
Barcelona	Categorie:Barcelona (stad)
Barents Sea	Barentszzee
Bari	Bari (stad)
Barium	Barium
Barley	Gerst
Barn Owl	Kerkuil
Barn Swallow	Boerenzwaluw
Barometer	Barometer
Baron	Baron (titel)
Baroque	Barok (stijlperiode)
Barranquilla	Barranquilla
Barrel (unit)	Vat (eenheid)
Baryon	Baryon
Basalt	Basalt (gesteente)
Base (chemistry)	Base (scheikunde)
Baseball	Honkbal
Baseball	Categorie:Honkbal
Basel	Bazel (Zwitserland)
Bash	Bash
Basidiomycota	Basidiomycota
Basil	Basilicum
Basil of Caesarea	Basilius de Grote
Basilica	Basiliek
Basilicata	Basilicata
Basiliscus	Basiliscus
Basilisk	Basilisk (fabeldier)
Basketball	Basketbal
Basketball	Categorie:Basketbal
Basra	Basra
Bass guitar	Basgitaar
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Bassoon	Fagot
Bast (mythology)	Bastet
Bastille	Bastille Saint-Antoine
Bat	Vleermuizen
Bath	Bath (Engeland)
Batman	Batman (fictief personage)
Baton Rouge	Baton Rouge
Bats	Categorie:Vleermuis
Battalion	Bataljon
Battery (electricity)	Batterij (elektrisch)
Battle of Austerlitz	Slag bij Austerlitz
Battle of Britain	Slag om Engeland
Battle of Hastings	Slag bij Hastings
Battle of Lepanto (1571)	Slag bij Lepanto
Battle of Marathon	Slag bij Marathon
Battle of Midway	Slag bij Midway
Battle of Thermopylae	Slag bij Thermopylae
Battle of Trafalgar	Zeeslag bij Trafalgar
Battle of Verdun	Slag om Verdun
Battle of Waterloo	Slag bij Waterloo
Battle of the Bulge	Slag om de Ardennen
Battle of the Somme	Slag aan de Somme
Battleship	Slagschip
Bauhaus	Bauhaus
Bauxite	Bauxiet
Bavaria	Beieren
Bavaria	Categorie:Beieren
Bay Laurel	Laurier
Bay of Bengal	Golf van Bengalen
Bay of Biscay	Golf van Biskaje
Bayer	Bayer
Bayonet	Bajonet
Bayonne	Bayonne (Frankrijk)
Beach	Strand (kust)
Beagle	Beagle (hond)
Beak	Snavel
Bear	Beren
Beaufort Sea	Beaufortzee
Beaufort scale	Schaal van Beaufort
Beaver	Bevers
Bebop	Bop
Becquerel	Becquerel
Bed	Bed
Bede	Beda
Bedouin	Bedoeïenen
Bee	Bijen
Beech	Fagus
Beekeeping	Categorie:Bijenhouderij
Beer	Bier
Beer	Categorie:Bier
Beetle	Kevers
Behaviorism	Behaviorisme
Beijing	Peking
Beirut	Beiroet
Belarus	Wit-Rusland
Belarus	Categorie:Wit-Rusland
Belfast	Belfast
Belgium	België
Belgium	Categorie:België
Belgrade	Belgrado
Belisarius	Belisarius
Belize	Belize (land)
Belize	Categorie:Belize
Bell (instrument)	Klok (bel)
Bellerophon	Bellerophon
Belly dance	Buikdans
Belo Horizonte	Belo Horizonte
Beluga	Witte dolfijn
Benelux	Benelux
Bengal	Bengalen (gebied)
Benghazi	Benghazi
Benin	Benin
Benin	Categorie:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf (gedicht)
Bergen	Bergen (Noorwegen)
Bering Sea	Beringzee
Bering Strait	Beringstraat
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berlijn
Berlin	Categorie:Berlijn
Bermuda	Bermuda
