Lithuanian	English
Kalipsė	Calypso (mythology)
Kambodža	Cambodia
Kategorija:Kambodža	Cambodia
Kambras	Cambrian
Kembridžas	Cambridge
Kamerūnas	Cameroon
Kategorija:Kamerūnas	Cameroon
Kampanija	Campania
Kanada	Canada
Kategorija:Kanada	Canada
Kanarų salos	Canary Islands
Kanbera	Canberra
Vėžys (liga)	Cancer
Vėžys (astronomija)	Cancer (constellation)
Kandela	Candela
Žvakė	Candle
Šuniniai	Canidae
Didysis Šuo	Canis Major
Mažasis Šuo	Canis Minor
Kanapė	Cannabis
Marihuana	Cannabis (drug)
Kanibalizmas	Cannibalism
Patranka	Cannon
Kanopus	Canopus
Knutas II Didysis	Canute the Great
Elektrinė talpa	Capacitance
Kondensatorius	Capacitor
Kanaveralo kyšulys	Cape Canaveral
Keiptaunas	Cape Town
Žaliasis Kyšulys	Cape Verde
Gerosios Vilties kyšulys	Cape of Good Hope
Sostinė	Capital
Kapitalas	Capital (economics)
Mirties bausmė	Capital punishment
Kapitalizmas	Capitalism
Kapadokija	Cappadocia
Ožiaragis	Capricornus
Paprika	Capsicum
Karakalas	Caracal
Karakasas	Caracas
Karatas	Carat (mass)
Karatas	Carat (purity)
Angliavandenis	Carbohydrate
Anglis	Carbon
Anglies ciklas	Carbon cycle
Anglies dioksidas	Carbon dioxide
Anglies monoksidas	Carbon monoxide
Anglies rūgštis	Carbonic acid
Karbonas	Carboniferous
Karboksirūgštys	Carboxylic acid
Kortų žaidimas	Card game
Tikrasis kardamonas	Cardamom
Kardifas	Cardiff
Kardinolas	Cardinal (Catholicism)
Richelieu	Cardinal Richelieu
Kategorija:Kraujotakos sistema	Cardiovascular system
Karibų jūros regionas	Caribbean
Kategorija:Karibų jūros regionas	Caribbean
Karibų jūra	Caribbean Sea
Laivo Kilis	Carina (constellation)
Carl Gustav Jung	Carl Jung
Carl Maria von Weber	Carl Maria von Weber
Plėšrieji žinduoliai	Carnivora
Vabzdžiaėdžiai augalai	Carnivorous plant
Karolingai	Carolingian dynasty
Karlas Linėjus	Carolus Linnaeus
Karpatai	Carpathian Mountains
Valgomoji morka	Carrot
Karson Sitis	Carson City
Kartachena (Ispanija)	Cartagena
Dekarto sandauga	Cartesian product
Kartagina	Carthage
Kartografija	Cartography
Gvazdikiečiai	Caryophyllales
Kasablanka	Casablanca
Kaspijos jūra	Caspian Sea
Kasandra	Cassandra
Kasiopėja (astronomija)	Cassiopeia (constellation)
Varna (luomas)	Caste
Pilis	Castle
Kastris	Castries
Katė	Cat
Katalonija	Catalonia
Katalizatorius	Catalysis
Katarakta	Cataract
Šamažuvės	Catfish
Katarai	Catharism
Katedra	Cathedral
Katodas	Cathode
Katalikybė	Catholicism
Naminis jautis	Cattle
Ibiškasis garnys	Cattle Egret
Kaukazo kalnai	Caucasus Mountains
Priežastingumas	Causality
Kavalerija	Cavalry
Urvas	Cave
Ikrai	Caviar
Kajenas	Cayenne
Kaimanų salos	Cayman Islands
Kedras	Cedar
Salieras	Celery
Dangaus pusiaujas	Celestial equator
Kategorija:Dangaus mechanika	Celestial mechanics
Dangaus mechanika	Celestial mechanics
Dangaus sfera	Celestial sphere
Celibatas	Celibacy
Ląstelė	Cell (biology)
Plazminė membrana	Cell membrane
Ląstelės branduolys	Cell nucleus
Ląstelės sienelė	Cell wall
Violončelė	Cello
Celiuliozė	Cellulose
Celsijus	Celsius
Cementas	Cement
Kapinės	Cemetery
Kainozojus	Cenozoic
Kentaurai	Centaur
Kentauras (astronomija)	Centaurus
Centrinės Afrikos Respublika	Central African Republic
Kategorija:Centrinės Afrikos Respublika	Central African Republic
Centrinė Amerika	Central America
Kategorija:Centrinė Amerika	Central America
CŽV	Central Intelligence Agency
Centrinis parkas	Central Park
Centrinių valstybių sąjunga	Central Powers
Centrinis bankas	Central bank
Centrinė nervų sistema	Central nervous system
Procesorius	Central processing unit
Centras (Prancūzijos regionas)	Centre
Centriolė	Centriole
Amžius	Century
Galvakojai	Cephalopod
Cefėjas (astronomija)	Cepheus (constellation)
Keramika	Ceramic
Cerberis	Cerberus
Javai	Cereal
Smegenėlės	Cerebellum
Cerera (nykštukinė planeta)	Ceres (dwarf planet)
Cerera	Ceres (mythology)
Ceris	Cerium
Kaspinuočiai	Cestoda
Banginiai	Cetacea
Banginis (astronomija)	Cetus
Čadas	Chad
Kategorija:Čadas	Chad
Kikilis	Chaffinch
Kėdė	Chair
Chalcedonas	Chalcedony
Chameleonas (astronomija)	Chamaeleon
Gemzė	Chamois
Šampanas	Champagne (wine)
Šampanė-Ardėnai	Champagne-Ardenne
Eurotunelis	Channel Tunnel
Chaosas	Chaos (mythology)
Sėjikiniai paukščiai	Charadriiformes
Karolis Didysis	Charlemagne
Šarlerua	Charleroi
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Čarlzas Pirsas	Charles Peirce
Šarlis de Golis	Charles de Gaulle
Čarlis Čaplinas	Charlie Chaplin
Šarlotė	Charlotte
Charonas (palydovas)	Charon (moon)
Charonas (mitologija)	Charon (mythology)
Šovinizmas	Chauvinism
Če Gevara	Che Guevara
Čečėnija	Chechnya
Kategorija:Čečėnija	Chechnya
Sūris	Cheese
Gepardas	Cheetah
Čeliabinskas	Chelyabinsk
Cheminis ryšys	Chemical bond
Cheminis elementas	Chemical element
Cheminė formulė	Chemical formula
Cheminė reakcija	Chemical reaction
Cheminis ginklas	Chemical warfare
Chemija	Chemistry
Kategorija:Chemija	Chemistry
Chemoterapija	Chemotherapy
Čenajus	Chennai
Čekis	Cheque
Černobylis	Chernobyl
Vyšnia	Cherry
Titnagas	Chert
Cherubinas	Cherub
Šachmatai	Chess
Kategorija:Šachmatai	Chess
Debiutas (šachmatai)	Chess opening
Chi (raidė)	Chi (letter)
Čiang Kai-ši	Chiang Kai-shek
Čikaga	Chicago
Višta	Chicken
Sėjamasis avinžirnis	Chickpea
Vaikas	Child
Gimdymas	Childbirth
Čilė	Chile
Kategorija:Čilė	Chile
Čimborasas	Chimborazo (volcano)
Chimera	Chimera (mythology)
Šimpanzė	Chimpanzee
Kategorija:Kinija	China
Kinija (regionas)	China
Cheironas	Chiron
Chitinas	Chitin
Chloras	Chlorine
Chlorofilas	Chlorophyll
Chloroplastas	Chloroplast
Šokoladas	Chocolate
Choras	Choir
Cholera	Cholera
Cholesterolis	Cholesterol
Kremzlinės žuvys	Chondrichthyes
Čongčingas	Chongqing
Chordiniai	Chordate
Kraistčerčas	Christchurch
Krikščionybė	Christianity
Kategorija:Krikščionybė	Christianity
Kalėdos	Christmas
Kūčios	Christmas Eve
Kalėdų eglutė	Christmas tree
Kristupas Kolumbas	Christopher Columbus
Chromatinas	Chromatin
Chromas	Chromium
Chromosoma	Chromosome
Kategorija:Chronologija	Chronology
Čiukčių jūra	Chukchi Sea
Markas Tulijus Ciceronas	Cicero
Gandriniai paukščiai	Ciconiiformes
Sidras	Cider
Cigaretė	Cigarette
Cinoberis (mineralas)	Cinnabar
Kirkė	Circe
Skriestuvas (astronomija)	Circinus
Apskritimas	Circle
Kraujotakos sistema	Circulatory system
Apipjaustymas	Circumcision
Cirkas	Circus
Krebso ciklas	Citric acid cycle
Citrinmedis	Citrus
Miestas-valstybė	City-state
Pilietinis karas	Civil war
Civilizacija	Civilization
Klarnetas	Clarinet
Klasė	Class
Klasė (biologija)	Class (biology)
Klasė (programavimas)	Class (computer science)
Klasikinė mechanika	Classical mechanics
Klasicizmas	Classicism
Claude Monet	Claude Monet
Klaudijus Monteverdis	Claudio Monteverdi
Klaudijus	Claudius
Raktikaulis	Clavicle
Molis (uoliena)	Clay
Clement Attlee	Clement Attlee
Kleopatra	Cleopatra (disambiguation)
Klyvlendas	Cleveland
Klimatas	Climate
Kategorija:Klimatas	Climate
Klimatologija	Climatology
Depresija	Clinical depression
Klėjo	Clio
Varputė	Clitoris
Laikrodis	Clock
Vestminsterio laikrodžio bokštas	Clock Tower
Apranga	Clothing
Debesis	Cloud
Kvapnusis gvazdikmedis	Clove
Dobilas	Clover
Chlodvigas	Clovis I
Duobagyviai	Cnidaria
Akmens anglis	Coal
Herbas	Coat of arms
Kobaltas	Cobalt
Kokainas	Cocaine
Boružės	Coccinellidae
Kakadu	Cockatoo
Tarakonai	Cockroach
Riešutinė kokospalmė	Coconut
Kokosų (Kilingo) Salos	Cocos (Keeling) Islands
Kodeinas	Codeine
Kavamedis	Coffea
Kava	Coffee
Konjakas	Cognac (drink)
Pažinimo psichologija	Cognitive psychology
Kognityviniai mokslai	Cognitive science
Kola	Cola
Kolchidė	Colchis
Šaltasis karas	Cold War
Kategorija:Šaltasis karas	Cold War
Kolagenas	Collagen
Kelnas	Cologne
Kolumbija	Colombia
Kategorija:Kolumbija	Colombia
Kolombas	Colombo
Spalva	Color
Koloradas (valstija)	Colorado
Koloradas (upė JAV)	Colorado River
Koliziejus	Colosseum
Rodo kolosas	Colossus of Rhodes
Žaltiniai	Colubrid
Balandis (astronomija)	Columba (constellation)
Kolumbija (upė)	Columbia River
Karveliniai	Columbidae
Kategorija:Karveliniai paukščiai	Columbiformes
Karveliniai paukščiai	Columbiformes
Kolumbas (Ohajas)	Columbus
Koma	Coma
Berenikės Garbanos	Coma Berenices
Degimo reakcija	Combustion
Komedija	Comedy
Kometa	Comet
Kategorija:Prekyba	Commerce
Peršalimas	Common cold
Nepriklausomų valstybių sandrauga	Commonwealth of Independent States
Tautų Sandrauga	Commonwealth of Nations
Komunikacija	Communication
Komunizmas	Communism
Kategorija:Komunizmas	Communism
Komorai	Comoros
Kategorija:Komorai	Comoros
Kompaktinė plokštelė	Compact Disc
Kuopa	Company (military unit)
Kompasas	Compass
Konkurencija	Competition
Kompiliatorius	Compiler
CISC	Complex instruction set computer
Kompleksinis skaičius	Complex number
Kompozitorius	Composer
Kompiuteris	Computer
Monitorius	Computer display
Failas	Computer file
Techninė įranga	Computer hardware
Kompiuterių tinklas	Computer network
Programa (kompiuterio)	Computer program
Kategorija:Programavimas	Computer programming
Informatika	Computer science
Kategorija:Informatika	Computer science
Programinė įranga	Computer software
Virusas (programa)	Computer virus
Konakris	Conakry
Betonas	Concrete
Prezervatyvas	Condom
Kūgis	Cone (geometry)
Amerikos Valstijų Konfederacija	Confederate States of America
Konfederacija	Confederation
Išpažintis	Confession
Sutvirtinimo sakramentas	Confirmation
Konfliktas	Conflict
Konfucianizmas	Confucianism
Konfucijus	Confucius
Kongas	Congo
Kongas (upė)	Congo River
Kūgio pjūvis	Conic section
Konektikutas	Connecticut
Jungiamasis audinys	Connective tissue
Konkistadoras	Conquistador
Konsensusas	Consensus
Energijos tvermės dėsnis	Conservation of energy
Konservatizmas	Conservatism
Konstantinas I	Constantine I
Žvaigždynas	Constellation
Konstitucija	Constitution (political)
Konsulas	Consul
Konsumpcija	Consumption (economics)
Žemynai	Continent
Kontinentų dreifo teorija	Continental drift
Šelfas	Continental shelf
Sutartis	Contract
Konvekcija	Convection
Kulinarija	Cooking
Koordinačių sistema	Coordinate system
Pasaulinis koordinuotasis laikas	Coordinated Universal Time
Kopenhaga	Copenhagen
Varis	Copper
Autoriaus teisė	Copyright
Žalvarniniai paukščiai	Coraciiformes
Koralas	Coral
Koralų jūra	Coral Sea
Koralinis rifas	Coral reef
Kalendra	Coriander
Korintas	Corinth
Koriolio efektas	Coriolis effect
Korkas	Cork (city)
Kormoraniniai	Cormorant
Ragena	Cornea
Kornvalis	Cornwall
Šiaurės Vainikas	Corona Borealis
Korporacija	Corporation
Korozija	Corrosion
Korsika	Corsica
Korundas	Corundum
Korvetė	Corvette
Varniniai	Corvidae
Varnas (astronomija)	Corvus (constellation)
Reliktinis spinduliavimas	Cosmic microwave background radiation
Kosminiai spinduliai	Cosmic ray
Kosmologija	Cosmology
Kategorija:Kosmologija	Cosmology
Kosta Rika	Costa Rica
Kotonu	Cotonou
Kotopaksis	Cotopaxi
Puma	Cougar
Kulonas	Coulomb
Chalkedono susirinkimas	Council of Chalcedon
Efezo susirinkimas	Council of Ephesus
Tridento susirinkimas	Council of Trent
Kantri muzika	Country music
Teismas	Court
Kovalentinis ryšys	Covalent bond
Koventris	Coventry
Kojotas	Coyote
Krabas	Crab
Krabo ūkas	Crab Nebula
Gerviniai	Crane (bird)
Taurė (astronomija)	Crater (constellation)
Kreacionizmas	Creationism
Kreida (periodas)	Cretaceous
Kreta	Crete
Kriketas	Cricket
Svirpliai	Cricket (insect)
Nusikalstamumas	Crime
Krymas	Crimea
Krymo karas	Crimean War
Kategorija:Baudžiamoji teisė	Criminal law
Baudžiamoji teisė	Criminal law
Kriminologija	Criminology
Kategorija:Kriminologija	Criminology
Kroatija	Croatia
Kategorija:Kroatija	Croatia
Tikrieji krokodilai	Crocodile
Krokodilai	Crocodilia
Kronas	Cronus
Arbaletas	Crossbow
Kryžiažodis	Crossword
Varnos	Crow
Nukryžiavimas	Crucifixion
Žemės pluta	Crust (geology)
Vėžiagyviai	Crustacean
Pietų Kryžius	Crux
Kategorija:Kriptografija	Cryptography
Kristalas	Crystal
Kristalografija	Crystallography
Šukuočiai	Ctenophore
Kuba	Cuba
Kubas	Cube
Kubizmas	Cubism
Gegutiniai paukščiai	Cuculiformes
Paprastasis agurkas	Cucumber
Moliūginiai	Cucurbitaceae
Kultūrinė revoliucija	Cultural Revolution
Kultūra	Culture
Kategorija:Kultūra	Culture
Kiparisiniai	Cupressaceae
Kuritiba	Curitiba
Kiuris	Curium
Akmenslydis	Curling
Kategorija:Valiuta	Currency
Valiuta	Currency
Kreivė	Curve
Kuskas	Cusco
Cianas (spalva)	Cyan
Cianidas	Cyanide
Melsvabakterės	Cyanobacteria
Kibelė	Cybele
Kibernetika	Cybernetics
Kiberpankas	Cyberpunk
Ciklonas	Cyclone
Kiklopai	Cyclops
Gulbė (astronomija)	Cygnus (constellation)
Cilindras	Cylinder (geometry)
Viksvuoliniai	Cyperaceae
Karpinės	Cyprinid
Karpžuvės	Cypriniformes
Kipras	Cyprus
Kategorija:Kipras	Cyprus
Kirilica	Cyrillic alphabet
Kyras Didysis	Cyrus the Great
Citoplazma	Cytoplasm
Citozinas	Cytosine
Citoskeletas	Cytoskeleton
Čekija	Czech Republic
Kategorija:Čekija	Czech Republic
Čekoslovakija	Czechoslovakia
D	D
Deoksiribonukleorūgštis	DNA
DOS	DOS
DVD	DVD
Taksas	Dachshund
Dadaizmas	Dada
Dedalas	Daedalus
Durklas	Dagger
Dagerotipija	Daguerreotype
Jurginas	Dahlia
Dakaras	Dakar
Dalasas	Dallas
Dalmatija	Dalmatia
Užtvanka	Dam
Damaskas	Damascus
Šokis	Dance
Kiaulpienė	Dandelion
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danijos krona	Danish krone
Dantė	Dante Alighieri
Dunojus	Danube
Dafnė	Daphne
Dar es Salamas	Dar es Salaam
Dardanelai	Dardanelles
Dardžilingas	Darjeeling
Tamsioji medžiaga	Dark matter
Darmštatis	Darmstadtium
Darvinas (Australija)	Darwin
Darvinas	Darwin
Kapitalas (knyga)	Das Kapital
Duomenų išgavimas	Data mining
Duomenų bazė	Database
Duomenų bazių valdymo sistema	Database management system
Daugpilis	Daugavpils
Dovydas	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
Davidas Rikardas	David Ricardo
Para	Day
Kategorija:Diena	Days
De facto	De facto
Diakonas	Deacon
Negyvoji jūra	Dead Sea
Vaistinė šunvyšnė	Deadly nightshade
Mirtis	Death
Kategorija:Mirtis	Death
Dešimtmečiai	Decade
Gruodis	December
Gruodžio 31	December 31
Gruodžio 8	December 8
Deklinacija	Declination
Deco	Deco
Elniniai	Deer
Defliacija	Deflation
Deimas (palydovas)	Deimos (moon)
Deizmas	Deism
Delaveras	Delaware
Delis	Delhi
Delfai	Delphi
Delfinas (astronomija)	Delphinus
Delta (reikšmės)	Delta
Delta (raidė)	Delta (letter)
Pasaulio tvanas	Deluge (mythology)
Demagogija	Demagogy
Demetra	Demeter
Demokratija	Democracy
JAV demokratų partija	Democratic Party (United States)
Kongo Demokratinė Respublika	Democratic Republic of the Congo
Kategorija:Kongo Demokratinė Respublika	Democratic Republic of the Congo
Demokritas Abderietis	Democritus
Demonas	Demon
Demostenas	Demosthenes
Denis Diderot	Denis Diderot
Danija	Denmark
Kategorija:Danija	Denmark
Dennis Gabor	Dennis Gabor
Tankis	Density
Dantų ėduonis	Dental caries
Denveris	Denver
Išvestinė	Derivative
De Moinas	Des Moines
Dykuma	Desert
Kategorija:Dykumos	Deserts
Erazmas Roterdamietis	Desiderius Erasmus
Dizainas	Design
Kategorija:Dizainas	Design
Eskadrinis minininkas	Destroyer
Determinantas	Determinant
Determinizmas	Determinism
Detroitas	Detroit
Tvarkyklė	Device driver
Devonas	Devonian
Rasa	Dew
Rasos taškas	Dew point
Daka	Dhaka
Dharma	Dharma
Daulagyris	Dhaulagiri
Raudonasis vilkas	Dhole
Cukrinis diabetas	Diabetes mellitus
Diakritiniai ženklai	Diacritic
Tarmė	Dialect
Dialektinis materializmas	Dialectical materialism
Diametras	Diameter
Deimantas	Diamond
Velso princesė Diana	Diana
Diana	Diana (mythology)
Viduriavimas	Diarrhea
Titnagdumbliai	Diatom
Lošimo kauliukas	Dice
Diktatūra	Dictatorship
Žodynas	Dictionary
Dyzelinas	Diesel
Diferencialinė lygtis	Differential equation
Difrakcija	Diffraction
Difuzija	Diffusion
Virškinimas	Digestion
Kategorija:Virškinimo sistema	Digestive system
Skaitmeninė fotografija	Digital photography
Krapas	Dill
Dingas	Dingo
Dinozaurai	Dinosaur
Vyskupija	Diocese
Puslaidininkis diodas	Diode
Dionisas	Dionysus
Difterija	Diphtheria
Diplodokas	Diplodocus
Diplomatija	Diplomacy
Kategorija:Diplomatija	Diplomacy
Dire Straits	Dire Straits
Disacharidas	Disaccharide
Kategorija:Nuorodiniai straipsniai	Disambiguation
Diskriminacija	Discrimination
Liga	Disease
Distiliacija	Distillation
Divergencija	Divergence
Dalyba	Division (mathematics)
Divizija	Division (military)
Kategorija:Džibutis	Djibouti
Džibutis (miestas)	Djibouti (city)
Dmitrijus Mendelejevas	Dmitri Mendeleev
Dniepras	Dnieper River
Dniepropetrovskas	Dnipropetrovsk
Dobermanas	Doberman Pinscher
Dokumentas	Document
Dodoma	Dodoma
Šuo	Dog
Dogma	Dogma
Doha	Doha
Doleris	Dollar
Avis Doli	Dolly (sheep)
Dolmenas	Dolmen
Dolomitas	Dolomite
Delfinai	Dolphin
Domenas	Domain (biology)
Paskutiniojo teismo knyga	Domesday Book
Dominika	Dominica
Kategorija:Dominika	Dominica
Dominikonų ordinas	Dominican Order
Dominikos Respublika	Dominican Republic
Domicianas	Domitian
Donas	Don River (Russia)
Donatelas	Donatello
Doneckas	Donetsk
Laukinis asilas	Donkey
Durys	Door
Dopaminas	Dopamine
Doplerio reiškinys	Doppler effect
Aukso Žuvis	Dorado
Dortmundas	Dortmund
Duala	Douala
Dauno sindromas	Down syndrome
Slibinas (astronomija)	Draco (constellation)
Drakula	Dracula
Drama	Drama
Šaškės	Draughts
Dresdenas	Dresden
Vienkupris kupranugaris	Dromedary
Sausra	Drought
Narkomanija	Drug addiction
Druidas	Druid
Būgnas	Drum
Dubajus	Dubai
Dublinas	Dublin
Dubnis	Dubnium
Dubrovnikas	Dubrovnik
Antis	Duck
Duke universitetas	Duke University
Kopa	Dune
Dvylikapirštė žarna	Duodenum
Durbanas	Durban
Dušanbė	Dushanbe
Kategorija:Nyderlandų asmenybės	Dutch people
Dwight Eisenhower	Dwight D. Eisenhower
Dinamitas	Dynamite
Dinastija	Dynasty
Disprozis	Dysprosium
E	E
Skaičius e	E (mathematical constant)
Elektroninis paštas	E-mail
Ernst Theodor Amadeus Hoffman	E. T. A. Hoffmann
ETA	ETA
Ereliai	Eagle
Ausis	Ear
Ausytieji ruoniai	Eared seal
Tikrieji ruoniai	Earless seal
Žemė	Earth
Žemės drebėjimas	Earthquake
Rytai	East
Vokietijos Demokratinė Respublika	East Germany
Rytų Timoras	East Timor
Kategorija:Rytų Timoras	East Timor
Velykos	Easter
Ebola	Ebola
Ebras	Ebro
Ekscentricitetas	Eccentricity (mathematics)
Echidniniai	Echidna
Echidna (mitologija)	Echidna (mythology)
Dygiaodžiai	Echinoderm
Užtemimas	Eclipse
Eclipse (kompiuterinė programa)	Eclipse (software)
Ekliptika	Ecliptic
Ekologinė niša	Ecological niche
Ekologija	Ecology
Kategorija:Ekologija	Ecology
Ekonomika	Economics
Kategorija:Ekonomika	Economics
Ekonomika	Economy
Ekosistema	Ecosystem
Ekvadoras	Ecuador
Kategorija:Ekvadoras	Ecuador
Visuotinis Bažnyčios susirinkimas	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgas	Edinburgh
Edirnė	Edirne
Edmontonas	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmundas Huserlis	Edmund Husserl
Edas	Edo
Švietimas	Education
Kategorija:Švietimas	Education
Edvardas Grygas	Edvard Grieg
Edward Jenner	Edward Jenner
Edvardas Teleris	Edward Teller
Edvinas Hablas	Edwin Hubble
Unguriažuvės	Eel
Kiaušinis	Egg (biology)
Baklažanas	Eggplant
Egiptas	Egypt
Kategorija:Egiptas	Egypt
Egipto svaras	Egyptian pound
Eifelio bokštas	Eiffel Tower
Eindhovenas	Eindhoven
Einšteinis	Einsteinium
Ejakuliacija	Ejaculation
El Greco	El Greco
El Pasas	El Paso
Salvadoras	El Salvador
Kategorija:Salvadoras	El Salvador
Elamas	Elam
Elbė	Elbe
Rinkimai	Election
Elektra (mitologija)	Electra
Elektros krūvis	Electric charge
Elektros srovė	Electric current
Elektrinis laukas	Electric field
Elektrinė gitara	Electric guitar
Elektros variklis	Electric motor
Elektrotechnika	Electrical engineering
Elektrinė varža	Electrical resistance
Elektra	Electricity
Elektrokardiografija	Electrocardiogram
Elektrolizė	Electrolysis
Elektromagnetinė banga	Electromagnetic radiation
Kategorija:Elektromagnetizmas	Electromagnetism
Elektronas	Electron
Elektroninis mikroskopas	Electron microscope
Elektroneigiamumas	Electronegativity
Elektronika	Electronics
Kategorija:Elektronika	Electronics
Elementas	Element
Elementarioji dalelė	Elementary particle
Straubliniai	Elephant
Elfai	Elf
Elijas	Elijah
Ella Fitzgerald	Ella Fitzgerald
Elipsė	Ellipse
Daugtaškis	Ellipsis
Guoba	Elm
Elvis Presley	Elvis Presley
Gemalas	Embryo
Embriologija	Embryology
Smaragdas	Emerald
Emilija-Romanija	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emyras	Emir
Ema Goldman	Emma Goldman
Šypsenėlė	Emoticon
Emocija	Emotion
Kategorija:Emocijos	Emotion
Empatija	Empathy
Empedoklis	Empedocles
Imperatoriškasis pingvinas	Emperor Penguin
Empire State Building	Empire State Building
Empirizmas	Empiricism
Emu	Emu
Emuliatorius	Emulator
Emulsija	Emulsion
Enciklopedija	Encyclopedia
Endokrininė sistema	Endocrine system
Endokrinologija	Endocrinology
Kategorija:Endokrinologija	Endocrinology
Energija	Energy
Energija	Energy (society)
Variklis	Engine
Inžinerija	Engineering
Anglija	England
Kategorija:Anglija	England
Lamanšo sąsiauris	English Channel
Anglijos pilietinis karas	English Civil War
Anglų kalba	English language
Kategorija:Anglijos asmenybės	English people
Anglai	English people
Enrico Fermi	Enrico Fermi
Kategorija:Pramogos	Entertainment
Entomologija	Entomology
Kategorija:Entomologija	Entomology
Entropija	Entropy
Aplinka	Environment
Fermentas	Enzyme
Eonas	Eon (geology)
Eos	Eos
Epas	Epic poetry
Epiktetas	Epictetus
Epikūras	Epicurus
Epidemija	Epidemic
Epidemiologija	Epidemiology
Epilepsija	Epilepsy
Epimetėjas	Epimetheus (mythology)
Adrenalinas	Epinephrine
Epyras	Epirus (periphery)
Epistemologija	Epistemology
Epitelinis audinys	Epithelium
Epsilon (raidė)	Epsilon
Lygtis	Equation
Pusiaujas	Equator
Pusiaujo Gvinėja	Equatorial Guinea
Kategorija:Pusiaujo Gvinėja	Equatorial Guinea
Arkliai	Equidae
Lygiadienis	Equinox
Asiūklis	Equisetum
Erasure	Erasure
Erata	Erato
Eratostenas	Eratosthenes
Erbis	Erbium
Erebas	Erebus
Impotencija	Erectile dysfunction
Erekcija	Erection
Erikiniai	Ericaceae
Erikiečiai	Ericales
Eridanas (astronomija)	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eridė (nykštukinė planeta)	Eris (dwarf planet)
Eridė	Eris (mythology)
Kategorija:Eritrėja	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Werner von Siemens	Ernst Werner von Siemens
Erotas	Eros (mythology)
Erozija	Erosion
Erotika	Erotica
Isfahanas	Esfahan
Stemplė	Esophagus
Esperanto	Esperanto
Kategorija:Esperanto	Esperanto
Espas	Espoo
Esė	Essay
Esenas	Essen
Eterinis aliejus	Essential oil
Eseksas	Essex
Esteriai	Ester
Kategorija:Estija	Estonia
Estrogenai	Estrogen
Eta (raidė)	Eta (letter)
Ofortas	Etching
Etanas	Ethane
Etanolis	Ethanol
Ethernet	Ethernet
Etika	Ethics
Kategorija:Etika	Ethics
Etiopija	Ethiopia
Kategorija:Etiopija	Ethiopia
Etnografija	Ethnography
Kategorija:Etnologija	Ethnology
Etologija	Ethology
Etenas	Ethylene
Etimologija	Etymology
Eukaliptas	Eucalyptus
Eucharistija	Eucharist
Euklidas	Euclid
Eukariotas	Eukaryote
Eufemizmas	Euphemism
Eufratas	Euphrates
Eurazija	Eurasia
Barsukas	Eurasian Badger
Euripidas	Euripides
Euras	Euro
Europa (palydovas)	Europa (moon)
Europa (mitologija)	Europa (mythology)
Europa	Europe
Kategorija:Europa	Europe
Europos Centrinis Bankas	European Central Bank
Europos Ekonominė Bendrija	European Community
Šarka	European Magpie
Europos Sąjunga	European Union
Kategorija:Europos Sąjunga	European Union
Europis	Europium
Euterpė	Euterpe
Eutanazija	Euthanasia
Evanescence	Evanescence
Garavimas	Evaporation
Porakanopiai	Even-toed ungulate
Evoliucija	Evolution
Valiutos kursas	Exchange rate
Šauktukas	Exclamation mark
Ekskomunika	Excommunication
Vykdomoji valdžia	Executive (government)
Ekshibicionizmas	Exhibitionism
Egzistencializmas	Existentialism
Pasaulinė paroda	Expo (exhibition)
Ekspresionizmas	Expressionism
Akis	Eye
F	F
Pupiniai	Fabaceae
Pasakėčia	Fable
Veidas	Face
Šablonas:Faktas	Fact
Faktorialas	Factorial
Saulės dėmė	Facula
Fado	Fado
Kategorija:Bukiniai	Fagaceae
Bukiečiai	Fagales
Fair use	Fair use
Fėja	Fairy
Sakalai	Falcon
Sakaliniai paukščiai	Falconiformes
Folklando (Malvinų) Salos	Falkland Islands
Argumentacijos klaida	Fallacy
Kiaušintakis	Fallopian tube
Danielius	Fallow Deer
Falun Gong	Falun Gong
Kategorija:Šeima	Family
Šeima	Family (biology)
Pavardė (asmenvardis)	Family name
Maginė fantastika	Fantasy
Faradas	Farad
Kategorija:Farerų salos	Faroe Islands
Fašizmas	Fascism
Mada	Fashion
Baimė	Fear
Plunksna	Feather
Vasaris	February
Vasario 12	February 12
Vasario 14	February 14
Vasario 2	February 2
Vasario 22	February 22
Vasario 29	February 29
Vasario Revoliucija	February Revolution
Išmatos	Feces
Federalinis Tyrimų Biuras	Federal Bureau of Investigation
Mikronezijos Federacinės Valstijos	Federated States of Micronesia
Federacija	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Grįžtamasis ryšys	Feedback
Lauko špatas	Feldspar
Katiniai	Felidae
Feliksas Mendelsonas	Felix Mendelssohn
Feminizmas	Feminism
Kategorija:Feminizmas	Feminism
