English	Slovenian
1	1
1 (number)	1 (število)
10	10
10 (number)	10 (število)
100	100
100	Kategorija:Leto 100
100 (number)	100 (število)
1000	1000
1000	Kategorija:Leto 1000
1000 (number)	1000 (število)
101	101
105	105
11	11
11 (number)	11 (število)
110	110
115	115
12	12
12	Kategorija:Leto 12
12 (number)	12 (število)
120	120
125	125
13	13
13 (number)	13 (število)
130	130
135	135
14	14
14	Kategorija:Leto 14
14 (number)	14 (število)
140	140
144	144
145	145
15	15
15 (number)	15 (število)
150	150
1530s	1530.
155	155
16	16
16	Kategorija:Leto 16
16 (number)	16 (število)
160	160
165	165
17	17
17	Kategorija:Leto 17
17 (number)	17 (število)
170	170
1728	1728
1728	Kategorija:Leto 1728
175	175
1750s	1750.
1760s	1760.
1770s	1770.
1780s	1780.
1790s	1790.
18	18
18 (number)	18 (število)
180	180
1820s	1820.
1830s	1830.
1840s	1840.
1850s	1850.
1860s	1860.
1860s	Kategorija:1860. leta
1870s	1870.
1880s	1880.
1890s	1890.
19	19
19 (number)	19 (število)
190	190
1900s	1900.
1920s	1920.
1920s	Kategorija:1920. leta
1930s	1930.
1940s	1940.
1940s	Kategorija:1940. leta
1950s	1950.
1960s	1960.
1970s	1970.
1970s	Kategorija:1970. leta
1980s	1980.
1990s	1990.
2	2
2 (number)	2 (število)
20	20
20 (number)	20 (število)
200	200
21	21
21 (number)	21 (število)
22	22
22 (number)	22 (število)
23	23
23 (number)	23 (število)
24	24
24 (number)	24 (število)
25	25
25 (number)	25 (število)
26	26
26 (number)	26 (število)
27	27
27 (number)	27 (število)
28	28
28 (number)	28 (število)
29	29
29 (number)	29 (število)
3	3
3 (number)	3 (število)
30	30
30 (number)	30 (število)
300	300
31	31
31 (number)	31 (število)
32	32
32 (number)	32 (število)
33	33
33 (number)	33 (število)
34	34
34 (number)	34 (število)
35	35
35 (number)	35 (število)
36	36
36 (number)	36 (število)
37	37
37 (number)	37 (število)
38	38
38 (number)	38 (število)
39	39
39 (number)	39 (število)
4	4
4 (number)	4 (število)
40	40
40 (number)	40 (število)
400	400
41	41
41 (number)	41 (število)
42	42
42 (number)	42 (število)
43	43
43 (number)	43 (število)
44	44
45	45
45 (number)	45 (število)
46	46
46 (number)	46 (število)
47	47
48	48
49	49
49 (number)	49 (število)
5	5
5 (number)	5 (število)
50	50
50 (number)	50 (število)
500	500
500	Kategorija:Leto 500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (število)
60	60
60 (number)	60 (število)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (število)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (število)
80	80
80 (number)	80 (število)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (število)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
AIDS	Aids
ATP	ATP
Aachen	Aachen
Aaron	Aron
Abacus	Abak
Abbot	Opat
Abbreviation	Kratica
Abelian group	Abelova grupa
Abolitionism	Abolicionizem
Abortion	Splav
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolutni izsev
Absolute value	Absolutna vrednost
Absolute zero	Absolutna ničla
Absolutism (European history)	Absolutizem
Abstract expressionism	Abstraktni ekspresionizem
Academy Award	Oskar (filmska nagrada)
Acceleration	Pospešek
Accordion	Harmonika
Accra	Akra
Acetaldehyde	Etanal
Acetic acid	Ocetna kislina
Acetone	Aceton
Acetylcholine	Acetilholin
Acetylene	Acetilen
Acheron	Aheron
Achilles	Ahil
Acid	Kislina
Acid rain	Kisli dež
Aconcagua	Aconcagua
Acoustics	Akustika
Acoustics	Kategorija:Akustika
Acre	Aker
Acropolis	Akropola
Actinium	Aktinij
Actor	Filmski igralec
Acupuncture	Akupunktura
Ada (programming language)	Ada (programski jezik)
Adam Smith	Adam Smith
Adana	Adana
Addis Ababa	Adis Abeba
Addition	Vsota
Adelaide	Adelaide
Adenine	Adenin
Adenosine triphosphate	Adenozin trifosfat
Adiabatic process	Adiabatna sprememba
Adige	Adiža
Admiral	Admiral
Adolescence	Mladostništvo
Adolf Hitler	Adolf Hitler
Adoption	Adopcija
Adrenal gland	Nadledvični žlezi
Adriatic Sea	Jadransko morje
Advent	Adventni čas
Advertising	Oglaševanje
Aegean Sea	Egejsko morje
Aeneid	Eneida
Aeolus	Eol
Aerodynamics	Aerodinamika
Aeschylus	Ajshil
Aesop	Ezop
Aesthetics	Estetika
Afghanistan	Afganistan
Afghanistan	Kategorija:Afganistan
Africa	Afrika
Africa	Kategorija:Afrika
Afrikaans	Afrikanščina
Agate	Ahat
Agatha Christie	Agatha Christie
Agnatha	Brezčeljustnice
Agnosticism	Agnosticizem
Agoraphobia	Agorafobija
Agriculture	Kmetijstvo
Agriculture	Kategorija:Kmetijstvo
Aikido	Aikido
Ain	Ain
Air force	Vojno letalstvo
Aircraft	Zrakoplov
Aircraft	Kategorija:Zrakoplovi
Aircraft carrier	Letalonosilka
Airport	Letališče
Ajax	Ajax
Akhenaten	Ehnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al Kaida
Alabama	Alabama
Alabama	Kategorija:Alabama
Alan Shepard	Alan Bartlett Shepard mlajši
Alan Turing	Alan Turing
Alaska	Aljaska
Alaska	Kategorija:Aljaska
Alban Berg	Alban Berg
Albania	Albanija
Albania	Kategorija:Albanija
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Albinism	Albinizem
Albite	Albit
Album	Glasbeni album
Albuquerque	Albuquerque, Nova Mehika
Alchemy	Alkimija
Alchemy	Kategorija:Alkimija
Alcohol	Alkohol
Alcoholic beverage	Alkoholna pijača
Alcoholism	Alkoholizem
Aldehyde	Aldehid
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksander Solženicin
Aleppo	Alep
Aleutian Islands	Aleuti
Alexander	Aleksander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pushkin	Aleksander Sergejevič Puškin
Alexander the Great	Aleksander Veliki
Alexandre Dumas	Alexandre Dumas
Alexandria	Aleksandrija
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Algae	Alge
Algebra	Algebra
Algebra	Kategorija:Algebra
Algeria	Alžirija
Algeria	Kategorija:Alžirija
Algorithm	Algoritem
Alhambra	Alhambra
Alkali metal	Alkalijska kovina
Alkaloid	Alkaloid
Alkane	Alkan
Alkene	Alken
Alkyne	Alkin
Allah	Alah
Allegory	Alegorija
Allotropy	Alotropija
Alloy	Zlitina
Almanac	Almanah
Alpha (letter)	Alfa
Alpha particle	Delec alfa
Alphabet	Abeceda
Alps	Alpe
Alps	Kategorija:Alpe
Alsace	Alzacija
Altar	Oltar
Altay Mountains	Altaj
Alternating current	Izmenični električni tok
Alternative medicine	Kategorija:Zdravilstvo
Alternative medicine	Zdravilstvo
Altruism	Altruizem
Aluminium	Aluminij
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimerjeva bolezen
Amanita phalloides	Zelena mušnica
Amaterasu	Amaterasu
Amazon River	Amazonka
Ambassador	Veleposlanik
Amber	Jantar
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Ameriški bizon
American Black Bear	Ameriški črni medved
American Civil War	Ameriška državljanska vojna
American Revolutionary War	Ameriška vojna za neodvisnost
American Samoa	Ameriška Samoa
