Russian	English
0 (число)	0 (number)
1 год	1
1 (число)	1 (number)
10 год	10
10 (число)	10 (number)
100 год	100
Категория:100 год	100
100 (число)	100 (number)
1000 год	1000
Категория:1000 год	1000
Тысяча	1000 (number)
101 год	101
105 год	105
11 год	11
11 (число)	11 (number)
110 год	110
115 год	115
12 год	12
Категория:12 год	12
12 (число)	12 (number)
120 год	120
125 год	125
13 год	13
13 (число)	13 (number)
130 год	130
135 год	135
14 год	14
Категория:14 год	14
14 (число)	14 (number)
140 год	140
144 год	144
145 год	145
15 год	15
15 (число)	15 (number)
150 год	150
1530-е	1530s
155 год	155
16 год	16
Категория:16 год	16
16 (число)	16 (number)
160 год	160
165 год	165
17 год	17
Категория:17 год	17
17 (число)	17 (number)
170 год	170
1728 год	1728
Категория:1728 год	1728
175 год	175
1750-е	1750s
Категория:1750-е	1750s
1760-е	1760s
Категория:1760-е	1760s
1770-е	1770s
Категория:1770-е	1770s
1780-е	1780s
Категория:1780-е	1780s
1790-е	1790s
Категория:1790-е	1790s
18 год	18
18 (число)	18 (number)
180 год	180
1820-е	1820s
Категория:1820-е	1820s
1830-е	1830s
Категория:1830-е	1830s
1840-е	1840s
Категория:1840-е	1840s
1850-е	1850s
1860-е	1860s
Категория:1860-е	1860s
1870-е	1870s
Категория:1870-е	1870s
1880-е	1880s
Категория:1880-е	1880s
1890-е	1890s
Категория:1890-е	1890s
19 год	19
19 (число)	19 (number)
190 год	190
1900-е	1900s
Категория:1900-е	1900s
1920-е	1920s
Категория:1920-е	1920s
1930-е	1930s
Категория:1930-е	1930s
1940-е	1940s
Категория:1940-е	1940s
1950-е	1950s
Категория:1950-е	1950s
1960-е	1960s
Категория:1960-е	1960s
1970-е	1970s
Категория:1970-е	1970s
1980-е	1980s
Категория:1980-е	1980s
1990-е	1990s
Категория:1990-е	1990s
2 год	2
2 (число)	2 (number)
20 год	20
20 (число)	20 (number)
200 год	200
21 год	21
21 (число)	21 (number)
22 год	22
22 (число)	22 (number)
23 год	23
23 (число)	23 (number)
24 год	24
24 (число)	24 (number)
25 год	25
25 (число)	25 (number)
26 год	26
26 (число)	26 (number)
27 год	27
27 (число)	27 (number)
28 год	28
28 (число)	28 (number)
29 год	29
29 (число)	29 (number)
3 год	3
3 (число)	3 (number)
30 год	30
30 (число)	30 (number)
300 год	300
31 год	31
31 (число)	31 (number)
32 год	32
32 (число)	32 (number)
33 год	33
33 (число)	33 (number)
34 год	34
34 (число)	34 (number)
35 год	35
35 (число)	35 (number)
36 год	36
36 (число)	36 (number)
37 год	37
37 (число)	37 (number)
38 год	38
38 (число)	38 (number)
39 год	39
39 (число)	39 (number)
4 год	4
4 (число)	4 (number)
40 год	40
40 (число)	40 (number)
