Catalan	English
Zero	0 (number)
1	1
U (nombre)	1 (number)
10	10
Deu	10 (number)
100	100
Cent	100 (number)
1000	1000
Mil	1000 (number)
101	101
105	105
11	11
Onze	11 (number)
110	110
115	115
12	12
Dotze	12 (number)
120	120
125	125
13	13
Tretze	13 (number)
130	130
135	135
14	14
Catorze	14 (number)
140	140
144	144
145	145
15	15
Quinze	15 (number)
150	150
Dècada del 1530	1530s
155	155
16	16
Setze	16 (number)
160	160
165	165
17	17
Disset	17 (number)
170	170
1728	1728
175	175
Dècada del 1750	1750s
Dècada del 1760	1760s
Dècada del 1770	1770s
Dècada del 1780	1780s
Dècada del 1790	1790s
18	18
Divuit	18 (number)
180	180
Dècada del 1820	1820s
Dècada del 1830	1830s
Dècada del 1840	1840s
Dècada del 1850	1850s
Dècada del 1860	1860s
Dècada del 1870	1870s
Dècada del 1880	1880s
Dècada del 1890	1890s
19	19
Dinou	19 (number)
190	190
Dècada del 1900	1900s
Categoria:Dècada del 1900	1900s
Dècada del 1920	1920s
Categoria:Dècada del 1920	1920s
Dècada del 1930	1930s
Categoria:Dècada del 1930	1930s
Dècada del 1940	1940s
Categoria:Dècada del 1940	1940s
Dècada del 1950	1950s
Categoria:Dècada del 1950	1950s
Dècada del 1960	1960s
Categoria:Dècada del 1960	1960s
Dècada del 1970	1970s
Categoria:Dècada del 1970	1970s
Dècada del 1980	1980s
Categoria:Dècada del 1980	1980s
Dècada del 1990	1990s
Categoria:Dècada del 1990	1990s
2	2
Dos	2 (number)
20	20
Vint	20 (number)
200	200
21	21
Vint-i-u	21 (number)
22	22
23	23
Vint-i-tres	23 (number)
24	24
Vint-i-quatre	24 (number)
25	25
Vint-i-cinc	25 (number)
26	26
Vint-i-sis	26 (number)
27	27
28	28
29	29
Vint-i-nou	29 (number)
3	3
Tres	3 (number)
30	30
Trenta	30 (number)
300	300
31	31
Trenta-u	31 (number)
32	32
Trenta-dos	32 (number)
33	33
Trenta-tres	33 (number)
34	34
Trenta-quatre	34 (number)
35	35
Trenta-cinc	35 (number)
36	36
Trenta-sis	36 (number)
37	37
Trenta-set	37 (number)
38	38
Trenta-vuit	38 (number)
39	39
Trenta-nou	39 (number)
4	4
Quatre	4 (number)
40	40
Quaranta	40 (number)
400	400
41	41
Quaranta-u	41 (number)
42	42
Quaranta-dos	42 (number)
43	43
Quaranta-tres	43 (number)
44	44
45	45
Quaranta-cinc	45 (number)
46	46
Quaranta-sis	46 (number)
47	47
48	48
49	49
Quaranta-nou	49 (number)
5	5
Cinc	5 (number)
50	50
Cinquanta	50 (number)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
Sis	6 (number)
