Korean	English
센트럴 파크	Central Park
동맹국	Central Powers
중앙은행	Central bank
중앙 처리 장치	Central processing unit
상트르	Centre
중심소체	Centriole
세기	Century
두족강	Cephalopod
세페우스자리	Cepheus (constellation)
케르베로스	Cerberus
세레스	Ceres
1 세레스	Ceres (dwarf planet)
케레스	Ceres (mythology)
세륨	Cerium
체사레 보르자	Cesare Borgia
고래	Cetacea
고래자리	Cetus
차드	Chad
분류:차드	Chad
의자	Chair
옥수	Chalcedony
카멜레온자리	Chamaeleon
샹파뉴아르덴	Champagne-Ardenne
채널 터널	Channel Tunnel
카오스	Chaos (mythology)
도요목	Charadriiformes
카롤루스 대제	Charlemagne
영국의 웨일스 공 찰스 왕세자	Charles
샤를 보들레르	Charles Baudelaire
찰스 다윈	Charles Darwin
찰스 디킨스	Charles Dickens
찰스 린드버그	Charles Lindbergh
샤를 드골	Charles de Gaulle
카를 2세	Charles the Bald
찰스턴 (웨스트버지니아 주)	Charleston
찰리 채플린	Charlie Chaplin
찰리 파커	Charlie Parker
샬럿	Charlotte
카론 (위성)	Charon (moon)
샤르트르	Chartres
배타주의	Chauvinism
체 게바라	Che Guevara
체첸 공화국	Chechnya
분류:체첸 공화국	Chechnya
치즈	Cheese
치타	Cheetah
첼랴빈스크	Chelyabinsk
화학 결합	Chemical bond
화합물	Chemical compound
화학 원소	Chemical element
화학공학	Chemical engineering
화학식	Chemical formula
화학 반응	Chemical reaction
화학 무기	Chemical warfare
화학	Chemistry
분류:화학	Chemistry
화학요법	Chemotherapy
첸나이	Chennai
수표	Cheque
초르노빌	Chernobyl
그룹 (기독교)	Cherub
체스	Chess
분류:체스	Chess
체스터 A. 아서	Chester A. Arthur
밤나무속	Chestnut
샤이엔	Cheyenne
Χ	Chi (letter)
장제스	Chiang Kai-shek
시카고	Chicago
닭	Chicken
치와와 주	Chihuahua
어린이	Child
칠레	Chile
분류:칠레	Chile
치메라	Chimera (mythology)
침팬지속	Chimpanzee
분류:중국	China
중국	China
키틴	Chitin
염소 (원소)	Chlorine
엽록소	Chlorophyll
엽록체	Chloroplast
초콜릿	Chocolate
합창	Choir
콜레라	Cholera
콜레스테롤	Cholesterol
연골어류	Chondrichthyes
충칭	Chongqing
화음	Chord (music)
척색동물	Chordate
크라이스트처치	Christchurch
크리스티안 하위헌스	Christiaan Huygens
크리스찬 디올	Christian Dior
기독교	Christianity
분류:기독교	Christianity
크리스마스	Christmas
분류:크리스마스	Christmas
크리스마스 이브	Christmas Eve
크리스토퍼 콜럼버스	Christopher Columbus
크로뮴	Chromium
염색체	Chromosome
분류:연대기	Chronology
축치 해	Chukchi Sea
보이지 않는 교회	Church
교회	Church (building)
영국 성공회	Church of England
키케로	Cicero
황새목	Ciconiiformes
궐련	Cigarette
신데렐라	Cinderella
키르케	Circe
컴퍼스자리	Circinus
원 (기하)	Circle
포경수술	Circumcision
시트르산	Citric acid
TCA 회로	Citric acid cycle
귤속	Citrus
도시 국가	City-state
내전	Civil war
문명	Civilization
문명 (컴퓨터 게임)	Civilization (computer game)
클라리넷	Clarinet
클래스	Class
강 (생물학)	Class (biology)
고전역학	Classical mechanics
고전 시대 음악	Classical music
분류:고전 음악	Classical music
고전주의	Classicism
클로드 모네	Claude Monet
클로드 섀넌	Claude Shannon
클라우디오 몬테베르디	Claudio Monteverdi
클라우디우스	Claudius
클레오파트라 (동음이의)	Cleopatra (disambiguation)
성직자	Clergy
클리블랜드	Cleveland
클라이언트 서버 시스템	Client-server
기후	Climate
분류:기후	Climate
기후 변화	Climate change
분류:기후학	Climatology
우울증	Clinical depression
클리오	Clio
음핵	Clitoris
시계	Clock
분류:의류	Clothing
옷	Clothing
구름	Cloud
토끼풀속	Clover
자포동물	Cnidaria
연안	Coast
국장	Coat of arms
코발트	Cobalt
코카인	Cocaine
무당벌레과	Coccinellidae
바퀴목	Cockroach
칵테일	Cocktail
코코넛	Coconut
코코스 제도	Cocos (Keeling) Islands
코데인	Codeine
커피	Coffee
분류:커피	Coffee
코냑	Cognac (drink)
동전	Coin
콜라	Cola
냉전	Cold War
분류:냉전	Cold War
콜라겐	Collagen
쾰른	Cologne
콜롬비아	Colombia
분류:콜롬비아	Colombia
콜롬보	Colombo
식민지	Colony
색	Color
콜로라도 주	Colorado
분류:콜로라도 주	Colorado
콜로라도 강	Colorado River
콜로세움	Colosseum
로도스의 거상	Colossus of Rhodes
비둘기자리	Columba (constellation)
컬럼비아 (사우스캐롤라이나 주)	Columbia
컬럼비아	Columbia
컬럼비아 대학교	Columbia University
비둘기	Columbidae
분류:비둘기목	Columbiformes
콜럼버스 (오하이오 주)	Columbus
콜럼버스	Columbus
머리털자리	Coma Berenices
연소	Combustion
혜성	Comet
분류:상업	Commerce
무화과나무	Common Fig
감기	Common cold
독립국가연합	Commonwealth of Independent States
영국 연방	Commonwealth of Nations
분류:통신	Communication
통신	Communication
공산주의	Communism
분류:공산주의	Communism
코모로	Comoros
분류:코모로	Comoros
콤팩트 디스크	Compact Disc
나침반	Compass
컴퍼스	Compass (drafting)
경쟁	Competition
컴파일러	Compiler
CISC	Complex instruction set computer
복소수	Complex number
작곡가	Composer
합성수	Composite number
전산언어학	Computational linguistics
컴퓨터	Computer
컴퓨터 구조	Computer architecture
컴퓨터 디스플레이	Computer display
컴퓨터 파일	Computer file
분류:컴퓨터 그래픽스	Computer graphics
컴퓨터 하드웨어	Computer hardware
분류:하드웨어	Computer hardware
컴퓨터 네트워크	Computer network
컴퓨터 프로그램	Computer program
컴퓨터 프로그래밍	Computer programming
분류:컴퓨터 프로그래밍	Computer programming
전산학	Computer science
분류:전산학	Computer science
컴퓨터 소프트웨어	Computer software
컴퓨터 바이러스	Computer virus
컴퓨터 지원 설계	Computer-aided design
분류:전산	Computing
코나크리	Conakry
협주곡	Concerto
콩코드 (뉴햄프셔 주)	Concord
콘돔	Condom
지휘	Conducting
원뿔	Cone (geometry)
남부동맹	Confederate States of America
국가연합	Confederation
견진성사	Confirmation
갈등	Conflict
유교	Confucianism
공자	Confucius
콩고	Congo
콩고 강	Congo River
원뿔 곡선	Conic section
코네티컷 주	Connecticut
분류:코네티컷 주	Connecticut
콘키스타도르	Conquistador
총의	Consensus
에너지 보존	Conservation of energy
보수주의	Conservatism
닿소리	Consonant
콘스탄티누스 1세	Constantine I
콘스탄티노폴리스	Constantinople
별자리	Constellation
헌법	Constitution (political)
집정관	Consul
소비	Consumption (economics)
콘택트 렌즈	Contact lens
대륙	Continent
대륙이동설	Continental drift
대륙붕	Continental shelf
미국의 계약법	Contract
대류	Convection
요리	Cooking
생활협동조합	Cooperative
좌표계	Coordinate system
협정 세계시	Coordinated Universal Time
코펜하겐	Copenhagen
구리	Copper
저작권	Copyright
산호	Coral
산호해	Coral Sea
고수 (식물)	Coriander
코린토스	Corinth
코리올리 효과	Coriolis effect
각막	Cornea
코넬 대학교	Cornell University
콘월 주	Cornwall
북쪽왕관자리	Corona Borealis
주식회사	Corporation
코르시카	Corsica
까마귀과	Corvidae
까마귀자리	Corvus (constellation)
우주선 (물리)	Cosmic ray
우주론	Cosmology
분류:우주론	Cosmology
코스타리카	Costa Rica
분류:코스타리카	Costa Rica
목화	Cotton
퓨마	Cougar
쿨롱	Coulomb
쿨롱의 법칙	Coulomb's law
칼케돈 공의회	Council of Chalcedon
에페소스 공의회	Council of Ephesus
트리엔트 공의회	Council of Trent
대위법	Counterpoint
법원	Court
공유 결합	Covalent bond
코요테	Coyote
게	Crab
게 성운	Crab Nebula
두루미과	Crane (bird)
컵자리	Crater (constellation)
창조론	Creationism
크레모나	Cremona
백악기	Cretaceous
크리티 지역	Crete
크리켓	Cricket
귀뚜라미과	Cricket (insect)
크림 공화국	Crimea
크림 전쟁	Crimean War
분류:형법	Criminal law
형법	Criminal law
분류:범죄학	Criminology
크로아티아	Croatia
분류:크로아티아	Croatia
크로커다일과	Crocodile
악어	Crocodilia
크로노스	Cronus
십자	Cross
외적	Cross product
석궁	Crossbow
십자말	Crossword
까마귀속	Crow
십자가형	Crucifixion
순양함	Cruiser
갑각류	Crustacean
남십자자리	Crux
암호학	Cryptography
분류:암호학	Cryptography
결정	Crystal
분류:결정학	Crystallography
쿠바	Cuba
분류:쿠바	Cuba
정육면체	Cube
세제곱미터	Cubic metre
입체파	Cubism
뻐꾸기목	Cuculiformes
오이	Cucumber
문화 대혁명	Cultural Revolution
문화	Culture
분류:문화	Culture
적운	Cumulus cloud
측백나무과	Cupressaceae
쿠리치바	Curitiba
퀴륨	Curium
분류:통화	Currency
통화	Currency
곡선	Curve
쿠스코	Cusco
옥색	Cyan
사이안화물	Cyanide
남조류	Cyanobacteria
사이버네틱스	Cybernetics
사이버펑크	Cyberpunk
사이클론 (열대저기압)	Cyclone
고니자리	Cygnus (constellation)
원기둥	Cylinder (geometry)
잉어과	Cyprinid
잉어목	Cypriniformes
키프로스	Cyprus
분류:키프로스	Cyprus
키릴 문자	Cyrillic alphabet
키루스 2세	Cyrus the Great
세포질	Cytoplasm
세포골격	Cytoskeleton
체코	Czech Republic
분류:체코	Czech Republic
체코슬로바키아	Czechoslovakia
분류:체코슬로바키아	Czechoslovakia
D	D
D. H. 로렌스	D. H. Lawrence
DDT	DDT
디옥시리보핵산	DNA
도스	DOS
DVD	DVD
다다이즘	Dada
다카르	Dakar
달라이 라마	Dalai Lama
댈러스	Dallas
달마티아	Dalmatia
댐	Dam
다마스쿠스	Damascus
춤	Dance
분류:춤	Dance
민들레속	Dandelion
다니엘 베르누이	Daniel Bernoulli
다니엘 오르테가	Daniel Ortega
단테 알리기에리	Dante Alighieri
도나우 강	Danube
다프네	Daphne
다르에스살람	Dar es Salaam
다르다넬스 해협	Dardanelles
다르푸르	Darfur
다르질링	Darjeeling
암흑 물질	Dark matter
다름슈타튬	Darmstadtium
다윈 (노던 준주)	Darwin
다윈	Darwin
자본론	Das Kapital
자료	Data
데이터 마이닝	Data mining
자료 구조	Data structure
데이터베이스	Database
데이터베이스 관리 시스템	Database management system
다우가프필스	Daugavpils
다윗 왕	David
다비드 힐베르트	David Hilbert
데이비드 흄	David Hume
데이비드 리빙스턴	David Livingstone
데이비드 리카도	David Ricardo
데이비스컵	Davis Cup
날	Day
분류:날짜	Days
De facto	De facto
부제	Deacon
사해	Dead Sea
사해 문서	Dead Sea scrolls
죽음	Death
분류:죽음	Death
연대 (연도)	Decade
12월	December
12월 31일	December 31
12월 8일	December 8
데시벨	Decibel
십진법	Decimal
적위	Declination
데쿠	Deco
연역법	Deductive reasoning
사슴과	Deer
디플레이션	Deflation
도 (각도)	Degree (angle)
데이모스 (위성)	Deimos (moon)
이신론	Deism
델라웨어 주	Delaware
분류:델라웨어 주	Delaware
델프트	Delft
델리	Delhi
델	Dell
돌고래자리	Delphinus
델타	Delta
Δ	Delta (letter)
델루게	Deluge (mythology)
데메테르	Demeter
민주주의	Democracy
민주당 (미국)	Democratic Party (United States)
콩고 민주 공화국	Democratic Republic of the Congo
분류:콩고 민주 공화국	Democratic Republic of the Congo
데모크리토스	Democritus
분류:인구학	Demography
데몬 (악귀)	Demon
덩샤오핑	Deng Xiaoping
드니 디드로	Denis Diderot
덴마크	Denmark
분류:덴마크	Denmark
밀도	Density
분류:치과	Dentistry
치과	Dentistry
덴버	Denver
미분	Derivative
피부과	Dermatology
디모인	Des Moines
사막	Desert
분류:사막	Deserts
데시데리우스 에라스무스	Desiderius Erasmus
디자인	Design
분류:디자인	Design
데스몬드 투투	Desmond Tutu
구축함	Destroyer
행렬식	Determinant
결정론	Determinism
디트로이트	Detroit
중수소	Deuterium
신명기	Deuteronomy
발달심리학	Developmental psychology
디바이스 드라이버	Device driver
데본기	Devonian
이슬점	Dew point
다카	Dhaka
법보	Dharma
다울라기리 산	Dhaulagiri
승냥이	Dhole
당뇨병	Diabetes mellitus
발음 구별 기호	Diacritic
방언	Dialect
변증법	Dialectic
변증법적 유물론	Dialectical materialism
지름	Diameter
다이아몬드	Diamond
영국의 다이애나 왕세자빈	Diana
설사	Diarrhea
디아스포라	Diaspora
규조류	Diatom
주사위	Dice
쌍떡잎식물	Dicotyledon
독재	Dictatorship
사전	Dictionary
경유	Diesel
디젤 엔진	Diesel engine
디트리히 본회퍼	Dietrich Bonhoeffer
미분 방정식	Differential equation
회절	Diffraction
소화 (생물학)	Digestion
분류:소화 기관	Digestive system
디지털	Digital
디지털 카메라	Digital camera
디지털 가입자 회선	Digital subscriber line
차원	Dimension
딩고	Dingo
공룡	Dinosaur
디오클레티아누스	Diocletian
다이오드	Diode
디오니소스	Dionysus
외교	Diplomacy
분류:외교	Diplomacy
직류	Direct current
분류:동음이의어 문서	Disambiguation
디스크자키	Disc jockey
차별	Discrimination
질병	Disease
거리	Distance
발산 (벡터)	Divergence
나눗셈	Division (mathematics)
분류:지부티	Djibouti
지부티 (수도)	Djibouti (city)
드미트리 멘델레예프	Dmitri Mendeleev
드미트리 쇼스타코비치	Dmitri Shostakovich
드니프로 강	Dnieper River
드니프로페트로우시크	Dnipropetrovsk
문서	Document
정십이면체	Dodecahedron
도도	Dodo
개	Dog
교리	Dogma
도하	Doha
달러	Dollar
돌리	Dolly (sheep)
고인돌	Dolmen
돌고래	Dolphin
도메인 (생물학)	Domain (biology)
도메인 이름	Domain name
돔	Dome
둠스데이 북	Domesday Book
가축화	Domestication
도미니카	Dominica
분류:도미니카	Dominica
도미니코회	Dominican Order
도미니카 공화국	Dominican Republic
분류:도미니카 공화국	Dominican Republic
도미티아누스	Domitian
돈 키호테	Don Quixote
돈 강	Don River (Russia)
도널드 덕	Donald Duck
도네치크	Donetsk
당나귀	Donkey
문	Door
도파민	Dopamine
도플러 효과	Doppler effect
황새치자리	Dorado
도리스 레싱	Doris Lessing
도르트문트	Dortmund
콘트라베이스	Double bass
더글러스 맥아더	Douglas MacArthur
도버 (델라웨어 주)	Dover
도버	Dover
다운 증후군	Down syndrome
용자리	Draco (constellation)
드라큘라	Dracula
드라마	Drama
체커	Draughts
드레스덴	Dresden
음료	Drink
가뭄	Drought
중독	Drug addiction
북	Drum
두바이	Dubai
더블린	Dublin
더브늄	Dubnium
두브로브니크	Dubrovnik
오리	Duck
듀공	Dugong
공작 (작위)	Duke
듀크대학교	Duke University
더반	Durban
두샨베	Dushanbe
더스틴 호프먼	Dustin Hoffman
분류:네덜란드 사람	Dutch people
드와이트 아이젠하워	Dwight D. Eisenhower
동역학	Dynamics (physics)
다이너마이트	Dynamite
디스프로슘	Dysprosium
디스토피아	Dystopia
E	E
E (상수)	E (mathematical constant)
전자 우편	E-mail
ETA	ETA
독수리류	Eagle
귀	Ear
물개과	Eared seal
물범과	Earless seal
지구	Earth
분류:지구	Earth
지구과학	Earth science
지진	Earthquake
동쪽	East
동아프리카	East Africa
동중국해	East China Sea
독일민주공화국	East Germany
동티모르	East Timor
분류:동티모르	East Timor
부활절	Easter
동방정교회	Eastern Orthodox Church
에볼라 바이러스	Ebola
이심률	Eccentricity (mathematics)
전도서	Ecclesiastes
가시두더지	Echidna
에키드나	Echidna (mythology)
극피동물	Echinoderm
식 (천문)	Eclipse
이클립스	Eclipse (software)
황도	Ecliptic
생태학	Ecology
분류:생태학	Ecology
경제학	Economics
분류:경제학	Economics
경제	Economy
생태계	Ecosystem
에콰도르	Ecuador
분류:에콰도르	Ecuador
공의회	Ecumenical council
에드거 앨런 포	Edgar Allan Poe
에드가르 드가	Edgar Degas
에든버러	Edinburgh
에디르네	Edirne
에드먼드 핼리	Edmond Halley
에드먼턴	Edmonton
에드먼드 버크	Edmund Burke
에드먼드 힐러리	Edmund Hillary
에드문트 후설	Edmund Husserl
에도	Edo
에드워드 부크너	Eduard Buchner
교육	Education
분류:교육	Education
에드바르 그리그	Edvard Grieg
에드바르드 뭉크	Edvard Munch
에드워드 기번	Edward Gibbon
에드워드 제너	Edward Jenner
에드워드 텔러	Edward Teller
에드윈 허블	Edwin Hubble
알	Egg (biology)
이집트	Egypt
분류:이집트	Egypt
이집트 파운드	Egyptian pound
에펠 탑	Eiffel Tower
에인트호번	Eindhoven
아인슈타이늄	Einsteinium
사정 (생리학)	Ejaculation
엘 그레코	El Greco
엘패소	El Paso
엘살바도르	El Salvador
분류:엘살바도르	El Salvador
엘람 제국	Elam
엘베 강	Elbe
엘리너 루스벨트	Eleanor Roosevelt
선거	Election
전하	Electric charge
전류	Electric current
전기장	Electric field
전기 기타	Electric guitar
유도전동기	Electric motor
분류:전기공학	Electrical engineering
전기저항	Electrical resistance
전기	Electricity
분류:전기	Electricity
전기화학	Electrochemistry
분류:전기화학	Electrochemistry
전기 분해	Electrolysis
전해질	Electrolyte
전자기파	Electromagnetic radiation
전자기 스펙트럼	Electromagnetic spectrum
전자기학	Electromagnetism
분류:전자기학	Electromagnetism
전자	Electron
전기 음성도	Electronegativity
전자공학	Electronics
분류:전자공학	Electronics
원소	Element
기본입자	Elementary particle
코끼리	Elephant
승강기	Elevator
엘프	Elf
엘리야	Elijah
엘리자베스 테일러	Elizabeth Taylor
타원	Ellipse
느릅나무속	Elm
엘비스 프레슬리	Elvis Presley
에밀리아노 사파타	Emiliano Zapata
에밀리 디킨슨	Emily Dickinson
아미르	Emir
에마 골드먼	Emma Goldman
이모티콘	Emoticon
감정	Emotion
분류:감정	Emotion
감정이입	Empathy
황제	Emperor
황제펭귄	Emperor Penguin
제국	Empire
엠파이어 스테이트 빌딩	Empire State Building
경험론	Empiricism
에뮬레이터	Emulator
백과사전	Encyclopedia
고유종	Endemism
분류:내분비학	Endocrinology
에너지	Energy
분류:에너지	Energy
에너지	Energy (society)
기관 (기계)	Engine
기술자	Engineer
공학	Engineering
분류:공학	Engineering
잉글랜드	England
분류:잉글랜드	England
영국 해협	English Channel
영어	English language
분류:영어	English language
에아	Enki
엔리코 페르미	Enrico Fermi
분류:오락	Entertainment
엔탈피	Enthalpy
곤충학	Entomology
분류:곤충학	Entomology
엔트로피	Entropy
분류:환경	Environment
환경	Environment
효소	Enzyme
에오세	Eocene
에오스	Eos
에페소스	Ephesus
에피쿠로스	Epicurus
금석문	Epigraphy
아드레날린	Epinephrine
주현절	Epiphany (Christian)
이피로스 지역	Epirus (periphery)
갈라티아 신자들에게 보낸 서간	Epistle to the Galatians
상피세포	Epithelium
Ε	Epsilon
방정식	Equation
적도	Equator
적도 기니	Equatorial Guinea
분류:적도 기니	Equatorial Guinea
말과	Equidae
분점	Equinox
속새류	Equisetum
에라토	Erato
에라토스테네스	Eratosthenes
어븀	Erbium
발기	Erection
진달래과	Ericaceae
진달래목	Ericales
에리다누스자리	Eridanus (constellation)
136199 에리스	Eris (dwarf planet)
에리스 (신화)	Eris (mythology)
분류:에리트레아	Eritrea
어니스트 헤밍웨이	Ernest Hemingway
어니스트 러더퍼드	Ernest Rutherford
에로스	Eros (mythology)
에르빈 롬멜	Erwin Rommel
탈출 속도	Escape velocity
대장균	Escherichia coli
식도	Esophagus
에스페란토	Esperanto
분류:에스페란토	Esperanto
간첩	Espionage
에스프레소	Espresso
수필	Essay
에센	Essen
에스터	Ester
분류:에스토니아	Estonia
에스트로겐	Estrogen
Η	Eta (letter)
에칭	Etching
에테인	Ethane
에탄올	Ethanol
에테르 (화학)	Ether
이더넷	Ethernet
분류:윤리	Ethics
에티오피아	Ethiopia
분류:에티오피아	Ethiopia
민족	Ethnic group
문화기술연구	Ethnography
동물행동학	Ethology
에틸렌	Ethylene
성찬	Eucharist
에우클레이데스	Euclid
유클리드 기하학	Euclidean geometry
진핵생물	Eukaryote
환관	Eunuch
유프라테스 강	Euphrates
유라시아	Eurasia
오소리	Eurasian Badger
에우리피데스	Euripides
유로	Euro
에우로파 (위성)	Europa (moon)
에우로파 (신화)	Europa (mythology)
유럽	Europe
분류:유럽	Europe
유럽 중앙은행	European Central Bank
유럽 공동체	European Community
까치	European Magpie
유럽 연합	European Union
분류:유럽 연합	European Union
유로퓸	Europium
에우테르페	Euterpe
안락사	Euthanasia
에반젤리스타 토리첼리	Evangelista Torricelli
증발	Evaporation
소목	Even-toed ungulate
진화	Evolution
엑스칼리버	Excalibur
환율	Exchange rate
느낌표	Exclamation mark
실존주의	Existentialism
출애굽기	Exodus
기대값	Expected value
폭발	Explosion
세계 박람회	Expo (exhibition)
지수 함수	Exponential function
거듭제곱	Exponentiation
표현주의	Expressionism
멸종	Extinction
눈 (동물)	Eye
분류:눈 (동물)	Eye
F	F
F. 스콧 피츠제럴드	F. Scott Fitzgerald
우화	Fable
얼굴	Face
틀:출처	Fact
계승	Factorial
공장	Factory
광반	Facula
분류:참나무과	Fagaceae
참나무목	Fagales
화씨	Fahrenheit
공정 이용	Fair use
페어리	Fairy
동화	Fairy tale
포클랜드 제도	Falkland Islands
파룬궁	Falun Gong
과 (생물학)	Family (biology)
판타지	Fantasy
극동	Far East
패럿	Farad
분류:페로 제도	Faroe Islands
파시즘	Fascism
분류:패션	Fashion
패션	Fashion
즉석식	Fast food
지방산	Fatty acid
단층	Fault (geology)
야수파	Fauvism
팩시밀리	Fax
2월	February
2월 12일	February 12
2월 14일	February 14
2월 2일	February 2
2월 22일	February 22
2월 29일	February 29
러시아 2월 혁명	February Revolution
똥	Feces
미국 연방 수사국	Federal Bureau of Investigation
연방준비제도	Federal Reserve System
미크로네시아 연방	Federated States of Micronesia
분류:미크로네시아 연방	Federated States of Micronesia
페도라 코어	Fedora (Linux distribution)
피드백	Feedback
장석	Feldspar
고양이과	Felidae
펠릭스 멘델스존	Felix Mendelssohn
여성주의	Feminism
분류:페미니즘	Feminism
페르디난드 마젤란	Ferdinand Magellan
페르디낭 드 소쉬르	Ferdinand de Saussure
발효	Fermentation (biochemistry)
발효	Fermentation (food)
페르미온	Fermion
페르뮴	Fermium
비료	Fertilizer
봉건 제도	Feudalism
피보나치 수	Fibonacci number
분류:허구	Fiction
피델 카스트로	Fidel Castro
체 (수학)	Field (mathematics)
필드하키	Field hockey
전투기	Fighter aircraft
피겨 스케이팅	Figure skating
피지	Fiji
분류:피지	Fiji
파일 할당 테이블	File Allocation Table
파일 전송 프로토콜	File Transfer Protocol
파일 시스템	File system
필리포 브루넬레스키	Filippo Brunelleschi
분류:영화	Film
영화	Film
긴수염고래	Fin Whale
분류:금융	Finance
금융	Finance
손가락	Finger
지문	Fingerprint
핀란드	Finland
분류:핀란드	Finland
전나무속	Fir
불	Fire
화기	Firearm
방화벽 (네트워킹)	Firewall (networking)
펌웨어	Firmware
제1차 니케아 공의회	First Council of Nicaea
제1차 십자군	First Crusade
코린토 신자들에게 보낸 첫째 서간	First Epistle to the Corinthians
모어	First language
물고기	Fish
분류:어류	Fish
낚시	Fishing
분류:낚시	Fishing
피오르	Fjord
깃발	Flag
플란데런	Flanders
플래시 메모리	Flash memory
방귀	Flatulence
플린트	Flint
플립플롭	Flip-flop (electronics)
홍수	Flood
디스켓	Floppy disk
피렌체	Florence
플로렌스 나이팅게일	Florence Nightingale
플로리다 주	Florida
분류:플로리다 주	Florida
밀가루	Flour
꽃	Flower
속씨식물	Flowering plant
유체	Fluid
유체역학	Fluid mechanics
플루트	Flute
파리류	Fly
안개	Fog
잎산	Folic acid
음식	Food
국제 연합 식량 농업 기구	Food and Agriculture Organization
발	Foot
피트	Foot (unit of length)
축구	Football (soccer)
분류:축구	Football (soccer)
분류:나라별 축구	Football (soccer) by country
분류:축구 클럽팀	Football (soccer) clubs
분류:축구 감독	Football (soccer) managers
분류:축구 선수	Football (soccer) players
분류:축구 경기 시설	Football (soccer) venues
자금성	Forbidden City
힘 (물리)	Force
숲	Forest
임업	Forestry
포크	Fork
정부 형태	Form of government
폼알데하이드	Formaldehyde
폼산	Formic acid
화로자리	Fornax
포트워스	Fort Worth
요새	Fortification
포트란	Fortran
화석	Fossil
화석 연료	Fossil fuel
분수 (물)	Fountain
푸리에 급수	Fourier series
제4차 십자군	Fourth Crusade
여우	Fox
프랙탈	Fractal
분수 (수학)	Fraction (mathematics)
프랑스	France
분류:프랑스	France
프랜시스 베이컨 (철학자)	Francis Bacon
프랜시스 크릭	Francis Crick
프랜시스 드레이크	Francis Drake
아시시의 프란체스코	Francis of Assisi
프란체스코회	Franciscan
프란시스코 프랑코	Francisco Franco
프란시스코 고야	Francisco Goya
프랑슘	Francium
프로이센-프랑스 전쟁	Franco-Prussian War
프랭크 로이드 라이트	Frank Lloyd Wright
프랭크퍼트	Frankfort
프랑크푸르트	Frankfurt
분류:프랑크푸르트	Frankfurt
프랭클린 피어스	Franklin Pierce
프란츠 카프카	Franz Kafka
프란츠 리스트	Franz Liszt
프란츠 슈베르트	Franz Schubert
신성 로마 제국의 프리드리히 1세	Frederick I
신성로마제국의 프리드리히 2세	Frederick II
프레더릭 생어	Frederick Sanger
프레더릭턴	Fredericton
자유	Freedom (philosophy)
표현의 자유	Freedom of speech
프리메이슨	Freemasonry
프리타운	Freetown
프리웨어	Freeware
프랑스령 폴리네시아	French Polynesia
분류:프랑스령 폴리네시아	French Polynesia
프랑스 혁명	French Revolution
분류:프랑스 혁명	French Revolution
분류:프랑스 사람	French people
진동수	Frequency
프레스코	Fresco
민물	Freshwater
프레즈노	Fresno
프레이야	Freyja
프레위르	Freyr
마찰력	Friction
금요일	Friday
프리티오프 난센	Fridtjof Nansen
프리드리히 엥겔스	Friedrich Engels
프리슬란트 주	Friesland
프리깃	Frigate
프리그	Frigg
프리츠 하버	Fritz Haber
개구리목	Frog
프럭토스	Fructose
열매	Fruit
분류:과일	Fruit
푸킹	Fucking
연료	Fuel
연료전지	Fuel cell
푸가	Fugue
후쿠오카 시	Fukuoka
보름달	Full moon
푸나푸티	Funafuti
함수	Function (mathematics)
분류:기본 분류	Fundamental
기본 상호작용	Fundamental interaction
원리주의	Fundamentalism
분류:균계	Fungi
균계	Fungus
펑키	Funk
분류:가구	Furniture
미래	Future
퍼지	Fuzzy logic
표도르 도스토옙스키	Fyodor Dostoevsky
G	G
김프	GIMP
그놈	GNOME
GNU	GNU
가봉	Gabon
분류:가봉	Gabon
가보로네	Gaborone
대천사 가브리엘	Gabriel
가브리엘 리프만	Gabriel Lippmann
가돌리늄	Gadolinium
가에타노 도니체티	Gaetano Donizetti
가이아	Gaia (mythology)
갈라티아	Galatia
은하	Galaxy
갈리시아 지방	Galicia (Spain)
갈릴리	Galilee
갈릴레오 우주선	Galileo (spacecraft)
갈릴레오 갈릴레이	Galileo Galilei
갤리	Galley
닭목	Galliformes
분류:닭목	Galliformes
갈륨	Gallium
갤런	Gallon
가말 압델 나세르	Gamal Abdel Nasser
도박	Gambling
놀이	Game
게임 이론	Game theory
Γ	Gamma
감마선	Gamma ray
가네샤	Ganesha
갠지스 강	Ganges
간자	Ganja
간쑤 성	Gansu
가니메데	Ganymede (moon)
정원	Garden
에덴 동산	Garden of Eden
원예	Gardening
가필드	Garfield
마늘	Garlic
기체	Gas
기체 상수	Gas constant
목성형 행성	Gas giant
휘발유	Gasoline
소화 기관	Gastrointestinal tract
복족류	Gastropoda
갈리아	Gaul
싯다르타 고타마	Gautama Buddha
가자 지구	Gaza Strip
톱니바퀴	Gear
쌍둥이자리	Gemini (constellation)
유전자	Gene
관세 무역 일반 협정	General Agreement on Tariffs and Trade
장군	General Officer
일반 상대성 이론	General relativity
창세기	Genesis
코돈	Genetic code
유전공학	Genetic engineering
유전학	Genetics
분류:유전학	Genetics
제네바	Geneva
제노바	Genoa
학살	Genocide
게놈	Genome
유전형	Genotype
속 (생물학)	Genus
분류:측지학	Geodesy
지리학	Geography
분류:지리	Geography
분류:지질학	Geology
지질학	Geology
등비수열	Geometric progression
기하학	Geometry
분류:기하학	Geometry
지구물리학	Geophysics
분류:지구물리학	Geophysics
게오르크 빌헬름 프리드리히 헤겔	Georg Wilhelm Friedrich Hegel
조지 버클리	George Berkeley
조지 버나드 쇼	George Bernard Shaw
조지 불	George Boole
조지 부시	George Bush
