English	Marathi
1	इ.स. १
10	इ.स. १०
100	इ.स. १००
1000	इ.स. १०००
1000	वर्ग:इ.स. १०००
1000 (number)	सहस्र
101	इ.स. १०१
105	इ.स. १०५
11	इ.स. ११
110	इ.स. ११०
115	इ.स. ११५
12	इ.स. १२
12	वर्ग:इ.स. १२
120	इ.स. १२०
125	इ.स. १२५
13	इ.स. १३
130	इ.स. १३०
135	इ.स. १३५
14	इ.स. १४
14	वर्ग:इ.स. १४
140	इ.स. १४०
144	इ.स. १४४
145	इ.स. १४५
15	इ.स. १५
150	इ.स. १५०
1530s	इ.स.चे १५३० चे दशक
155	इ.स. १५५
16	इ.स. १६
16	वर्ग:इ.स. १६
160	इ.स. १६०
165	इ.स. १६५
17	इ.स. १७
17	वर्ग:इ.स. १७
170	इ.स. १७०
1728	इ.स. १७२८
175	इ.स. १७५
1750s	इ.स.चे १७५० चे दशक
1750s	वर्ग:इ.स.चे १७५० चे दशक
1760s	इ.स.चे १७६० चे दशक
1760s	वर्ग:इ.स.चे १७६० चे दशक
1770s	इ.स.चे १७७० चे दशक
1770s	वर्ग:इ.स.चे १७७० चे दशक
1780s	इ.स.चे १७८० चे दशक
1780s	वर्ग:इ.स.चे १७८० चे दशक
1790s	इ.स.चे १७९० चे दशक
1790s	वर्ग:इ.स.चे १७९० चे दशक
18	इ.स. १८
180	इ.स. १८०
1820s	इ.स.चे १८२० चे दशक
1820s	वर्ग:इ.स.चे १८२० चे दशक
1830s	इ.स.चे १८३० चे दशक
1830s	वर्ग:इ.स.चे १८३० चे दशक
1840s	इ.स.चे १८४० चे दशक
1840s	वर्ग:इ.स.चे १८४० चे दशक
1850s	इ.स.चे १८५० चे दशक
1860s	इ.स.चे १८६० चे दशक
1860s	वर्ग:इ.स.चे १८६० चे दशक
1870s	इ.स.चे १८७० चे दशक
1870s	वर्ग:इ.स.चे १८७० चे दशक
1880s	इ.स.चे १८८० चे दशक
1880s	वर्ग:इ.स.चे १८८० चे दशक
1890s	इ.स.चे १८९० चे दशक
1890s	वर्ग:इ.स.चे १८९० चे दशक
19	इ.स. १९
190	इ.स. १९०
1900s	इ.स.चे १९०० चे दशक
1900s	वर्ग:इ.स.चे १९०० चे दशक
1920s	इ.स.चे १९२० चे दशक
1920s	वर्ग:इ.स.चे १९२० चे दशक
1930s	इ.स.चे १९३० चे दशक
1930s	वर्ग:इ.स.चे १९३० चे दशक
1940s	इ.स.चे १९४० चे दशक
1940s	वर्ग:इ.स.चे १९४० चे दशक
1950s	इ.स.चे १९५० चे दशक
1950s	वर्ग:इ.स.चे १९५० चे दशक
1960s	इ.स.चे १९६० चे दशक
1960s	वर्ग:इ.स.चे १९६० चे दशक
1970s	इ.स.चे १९७० चे दशक
1970s	वर्ग:इ.स.चे १९७० चे दशक
1980s	इ.स.चे १९८० चे दशक
1980s	वर्ग:इ.स.चे १९८० चे दशक
1990s	इ.स.चे १९९० चे दशक
1990s	वर्ग:इ.स.चे १९९० चे दशक
2	इ.स. २
20	इ.स. २०
200	इ.स. २००
21	इ.स. २१
22	इ.स. २२
23	इ.स. २३
24	इ.स. २४
25	इ.स. २५
26	इ.स. २६
27	इ.स. २७
28	इ.स. २८
29	इ.स. २९
3	इ.स. ३
30	इ.स. ३०
300	इ.स. ३००
31	इ.स. ३१
32	इ.स. ३२
33	इ.स. ३३
34	इ.स. ३४
35	इ.स. ३५
36	इ.स. ३६
37	इ.स. ३७
38	इ.स. ३८
39	इ.स. ३९
4	इ.स. ४
40	इ.स. ४०
400	इ.स. ४००
41	इ.स. ४१
42	इ.स. ४२
43	इ.स. ४३
44	इ.स. ४४
45	इ.स. ४५
46	इ.स. ४६
47	इ.स. ४७
48	इ.स. ४८
49	इ.स. ४९
5	इ.स. ५
5 (number)	५
50	इ.स. ५०
500	इ.स. ५००
500	वर्ग:इ.स. ५००
51	इ.स. ५१
52	इ.स. ५२
53	इ.स. ५३
54	इ.स. ५४
55	इ.स. ५५
56	इ.स. ५६
57	इ.स. ५७
58	इ.स. ५८
59	इ.स. ५९
6	इ.स. ६
60	इ.स. ६०
61	इ.स. ६१
62	इ.स. ६२
63	इ.स. ६३
64	इ.स. ६४
65	इ.स. ६५
66	इ.स. ६६
67	इ.स. ६७
68	इ.स. ६८
69	इ.स. ६९
7	इ.स. ७
70	इ.स. ७०
71	इ.स. ७१
72	इ.स. ७२
73	इ.स. ७३
74	इ.स. ७४
75	इ.स. ७५
76	इ.स. ७६
77	इ.स. ७७
78	इ.स. ७८
79	इ.स. ७९
8	इ.स. ८
80	इ.स. ८०
81	इ.स. ८१
82	इ.स. ८२
83	इ.स. ८३
84	इ.स. ८४
85	इ.स. ८५
86	इ.स. ८६
87	इ.स. ८७
88	इ.स. ८८
89	इ.स. ८९
9	इ.स. ९
90	इ.स. ९०
91	इ.स. ९१
92	इ.स. ९२
93	इ.स. ९३
94	इ.स. ९४
95	इ.स. ९५
96	इ.स. ९६
97	इ.स. ९७
98	इ.स. ९८
99	इ.स. ९९
AIDS	एड्स
Abraham Lincoln	अब्राहम लिंकन
Accra	आक्रा
Achilles	अकिलिस
Addis Ababa	अदिस अबाबा
Aden	एडन
Adolescence	पौगंडावस्था
Adolf Hitler	एडॉल्फ हिटलर
Afghanistan	अफगाणिस्तान
Afghanistan	वर्ग:अफगाणिस्तान
Africa	आफ्रिका
Agatha Christie	अगाथा ख्रिस्ती
Airport	विमानतळ
Alabama	अलाबामा
Alabama	वर्ग:अलाबामा
Alan Shepard	ऍलन शेपर्ड
Alan Turing	ऍलन ट्युरिंग
Alaska	अलास्का
Alaska	वर्ग:अलास्का
Albania	आल्बेनिया
Albert Einstein	अल्बर्ट आइनस्टाइन
Alberta	आल्बर्टा
Alchemy	अल्केमी
Aleksandr Solzhenitsyn	अलेक्सांद्र सोल्झेनित्झिन
Alexander Graham Bell	अलेक्झांडर ग्रॅहॅम बेल
Alexander Pope	अलेक्झांडर पोप
Alexander Pushkin	अलेक्झांडर पुश्किन
Alexander the Great	अलेक्झांडर द ग्रेट
Alfred Nobel	आल्फ्रेड नोबेल
Algebra	बीजगणित
Algeria	अल्जीरिया
Algeria	वर्ग:अल्जीरिया
Algiers	अल्जीयर्स
Almaty	अल्माटी
Alps	आल्प्स
Aluminium	ऍल्युमिनियम
American Civil War	अमेरिकन गृहयुद्ध
American Samoa	अमेरिकन सामोआ
American football	अमेरिकन फुटबॉल
Amman	अम्मान
Ampere	अँपियर
Amsterdam	ऍम्स्टरडॅम
Amun	अमुन रा
Amur	आमुर नदी
Anatole France	अनतोल फ्रांस
Anders Celsius	अँडर्स सेल्सियस
Andes	अँडीझ पर्वतरांग
Andhra Pradesh	आंध्र प्रदेश
Andorra	आंदोरा
Andrei Sakharov	आंद्रेई सखारोव्ह
Andrew Jackson	अँड्रु जॅक्सन
Andrew Johnson	अँड्रु जॉन्सन
Andromeda Galaxy	देवयानी दीर्घिका
Angle	कोन
Angola	अँगोला
Anguilla	अँग्विला
Ankara	अंकारा
Annapurna	अन्नपूर्णा १
Anne Boleyn	ऍन बोलेन
Antarctica	अंटार्क्टिका
Antigua and Barbuda	अँटिगा आणि बार्बुडा
Antimony	अँटिमोनी
Anton Chekhov	आंतोन चेखव
Antonio Vivaldi	अँतोनियो विवाल्डी
Antwerp	अँटवर्प
Apollo program	अपोलो मोहीम
April	एप्रिल
April 14	एप्रिल १४
April Fools' Day	एप्रिल फूल्स दिन
Arabian Sea	अरबी समुद्र
Arctic Ocean	आर्क्टिक महासागर
Argentina	आर्जेन्टीना
Argentina	वर्ग:आर्जेन्टीना
Argon	आर्गॉन
Aristotle	ऍरिस्टोटल
Arithmetic	अंकगणित
Arizona	ऍरिझोना
Arizona	वर्ग:ऍरिझोना
Arkansas	आर्कान्सा
Arkansas	वर्ग:आर्कान्सा
Armenia	आर्मेनिया
Armenia	वर्ग:आर्मेनिया
Arsenic	आर्सेनिक
Artemis	आर्टेमिस
Arthur Conan Doyle	आर्थर कोनन डॉयल
Arthur Miller	आर्थर मिलर
Arthur Wellesley	आर्थर वेलेस्ली, ड्युक ऑफ वेलिंग्टन
Artificial intelligence	कृत्रिम बुद्धिमत्ता
Asia	आशिया
Asmara	अस्मारा
Assam	आसाम
Assyria	असिरिया
Astana	अस्ताना
Astronomical unit	खगोलीय एकक
Athena	अथेना
Athens	अथेन्स
Atlanta	अटलांटा
Atlantic Ocean	अटलांटिक महासागर
Atom	अणू
Atomic mass	अणुभार
Atomic number	अणुक्रमांक
August	ऑगस्ट
August 1	ऑगस्ट १
August 15	ऑगस्ट १५
August 6	ऑगस्ट ६
Austin	ऑस्टिन, टेक्सास
Australia	ऑस्ट्रेलिया
Australia	वर्ग:ऑस्ट्रेलिया
Australian dollar	ऑस्ट्रेलियन डॉलर
Austria	ऑस्ट्रिया
Austria	वर्ग:ऑस्ट्रिया
Ayn Rand	आयन रँड
Azerbaijan	अझरबैजान
Azerbaijan	वर्ग:अझरबैजान
Aztec	ऍझटेक
Bacteria	जीवाणू
Baghdad	बगदाद
Baltic Sea	बाल्टिक समुद्र
Baltimore	बाल्टिमोर
Bangalore	बंगळूर
Bangkok	बँगकॉक
Bangladesh	बांगलादेश
Bangladesh	वर्ग:बांगलादेश
Barcelona	बार्सिलोना
Baseball	बेसबॉल
Basel	बासेल
Basketball	बास्केटबॉल
Bastille	बॅस्टिल तुरुंग
Battle of Britain	बॅटल ऑफ ब्रिटन
Battle of Thermopylae	थर्मोपिलाईचे युद्ध
Battle of Trafalgar	ट्रफाल्गरची लढाई
Battle of Waterloo	वॉटर्लूचे युद्ध
Bay of Bengal	बंगालचा उपसागर
Beijing	बीजिंग
Beirut	बैरुत
Belarus	बेलारूस
Belgium	बेल्जियम
Belgium	वर्ग:बेल्जियम
Belgrade	बेलग्रेड
Benghazi	बेंगाझी
Benjamin Disraeli	बेंजामिन डिझरायेली
Berlin	बर्लिन
Berne	बर्न
Bertrand Russell	बर्ट्रांड रसेल
Bhutan	वर्ग:भूतान
Bible	बायबल
Bihar	बिहार
Bill Clinton	विल्यम जेफरसन क्लिंटन
Bill Gates	बिल गेट्स
Binoculars	द्विनेत्री
Biodiversity	जैविक विविधता
Bismuth	बिस्मथ
Black Forest	श्वार्त्सवाल्ड
Black Kite	घार
Blaise Pascal	ब्लेस पास्कल
Bloemfontein	ब्लूमफाँटेन
Blood	रक्त
Bolivia	बोलिव्हिया
Bolivia	वर्ग:बॉलिव्हिया
Bologna	बोलोन्या
Boris Pasternak	बोरिस पास्तरनाक
Bosnia and Herzegovina	वर्ग:बॉस्निया-हर्झगोव्हेना
Boston	बॉस्टन
Brazil	वर्ग:ब्राझिल
Brazzaville	ब्राझाव्हिल
Bremen	ब्रेमेन
British Columbia	ब्रिटिश कोलंबिया
Broccoli	ब्रोकली
Bromine	ब्रोमिन
Brussels	ब्रसेल्स
Budapest	बुडापेस्ट
Buddhism	बौद्ध धर्म
Buddy Holly	बडी हॉली
Buenos Aires	बोयनोस एर्स
Bulgaria	वर्ग:बल्गेरिया
Burma	म्यानमार
Burma	वर्ग:म्यानमार
Caesium	सिझियम
Cairo	कैरो
California	कॅलिफोर्निया
California	वर्ग:कॅलिफोर्निया
Californium	कॅलिफोर्नियम
Caligula	कालिगुला
Callisto (moon)	कॅलिस्टो उपग्रह
Calvin Coolidge	कॅल्विन कूलिज
Cambodia	कंबोडिया
Cambodia	वर्ग:कंबोडिया
Cameroon	कामेरून
Cameroon	वर्ग:कामेरून
Canada	कॅनडा
Canada	वर्ग:कॅनडा
Canadian dollar	केनेडियन डॉलर
Canberra	कॅनबेरा
Cannes	कान, फ्रांस
Cannon	तोफ
Cape Verde	केप व्हर्दे
Cape Verde	वर्ग:केप व्हर्दे
Capitalism	भांडवलशाही
Caracas	काराकास
Carbon	कार्बन
Carbon dioxide	कार्बन डायॉक्साइड
Carbon monoxide	कार्बन मोनॉक्साईड
Carl Jung	कार्ल गुस्टाफ युंग
Cartesian coordinate system	कार्टेशियन गुणक पद्धती
Caspian Sea	कॅस्पियन समुद्र
Cat	मांजर
Cattle Egret	गाय बगळा
Cavalry	घोडदळ
Celsius	सेल्सियस
Chad	चाड
Charles Darwin	चार्ल्स डार्विन
Charles Dickens	चार्ल्स डिकन्स
Charles de Gaulle	चार्ल्स दि गॉल
Charles the Bald	टकल्या चार्ल्स
