Norwegian	﻿English
21 (tall)	21 (number)
22	22
22 (tall)	22 (number)
23	23
23 (tall)	23 (number)
24	24
24 (TV-serie)	24 (TV series)
24 (tall)	24 (number)
25	25
25 (tall)	25 (number)
26	26
26 (tall)	26 (number)
27	27
27 (tall)	27 (number)
28	28
28 (tall)	28 (number)
29	29
29 (tall)	29 (number)
3	3
3 (tall)	3 (number)
30	30
30 (tall)	30 (number)
300	300
31	31
31 (tall)	31 (number)
32	32
32 (tall)	32 (number)
33	33
33 (tall)	33 (number)
34	34
34 (tall)	34 (number)
35	35
35 (tall)	35 (number)
36	36
36 (tall)	36 (number)
37	37
37 (tall)	37 (number)
38	38
38 (tall)	38 (number)
39	39
39 (tall)	39 (number)
4	4
4 (tall)	4 (number)
40	40
40 (tall)	40 (number)
400	400
41	41
41 (tall)	41 (number)
42	42
42 (tall)	42 (number)
43	43
43 (tall)	43 (number)
44	44
45	45
45 (tall)	45 (number)
46	46
46 (tall)	46 (number)
47	47
48	48
49	49
49 (tall)	49 (number)
5	5
5 (tall)	5 (number)
50	50
50 (tall)	50 (number)
500	500
Kategori:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (tall)	6 (number)
60	60
60 (tall)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (tall)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (tall)	8 (number)
80	80
80 (tall)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (tall)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
А	A (Cyrillic)
A cappella	A cappella
ABC	ABC
Aids	AIDS
ATP (andre betydninger)	ATP
AZ Alkmaar	AZ (football club)
Aachen	Aachen
Aalborg	Aalborg
Aare	Aar
Jordsvin	Aardvark
Århus	Aarhus
Aron	Aaron
Abakus (kuleramme)	Abacus
Abbed	Abbot
Forkortelse	Abbreviation
Bakkropp	Abdomen
Abel Janszoon Tasman	Abel Tasman
Abelsk gruppe	Abelian group
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhasia	Abkhazia
Kategori:Abkhasia	Abkhazia
Abolisjonisme	Abolitionism
Abort	Abortion
Abraham (bibelsk person)	Abraham
Abraham Lincoln	Abraham Lincoln
Absint	Absinthe
Absolutt størrelsesklasse	Absolute magnitude
Absoluttverdi	Absolute value
Det absolutte nullpunkt	Absolute zero
Absolutisme	Absolutism (European history)
Abstrakt kunst	Abstract art
Abstrakt ekspresjonisme	Abstract expressionism
Abstraksjon	Abstraction
Abu Dhabi	Abu Dhabi
Abu Dhabi	Abu Dhabi (emirate)
Abuja	Abuja
Oscar	Academy Award
Acapulco	Acapulco
Akselerasjon	Acceleration
Haukefamilien	Accipitridae
Trekkspill	Accordion
Regnskap	Accountancy
Kategori:Regnskap	Accountancy
Accra	Accra
Akkusativ	Accusative case
Acetaldehyd	Acetaldehyde
Eddiksyre	Acetic acid
Aceton	Acetone
Acetylkolin	Acetylcholine
Acetylen	Acetylene
Ryllik	Achillea millefolium
Akilles	Achilles
Syre	Acid
Sur nedbør	Acid rain
Akne	Acne vulgaris
Aconcagua	Aconcagua
Akustikk	Acoustics
Acre (måleenhet)	Acre
Akko	Acre
Acre (Brasil)	Acre (state)
Akropolis	Acropolis
Aktinoider	Actinide
Actinium	Actinium
Skuespiller	Actor
Apostlenes gjerninger	Acts of the Apostles
Akupunktur	Acupuncture
Ad hominem-argument	Ad hominem
Ada	Ada (programming language)
Adam Smith	Adam Smith
Baobab	Adansonia
Avhengighet	Addiction
Addis Abeba	Addis Ababa
Addisjon	Addition
Adelaide	Adelaide
Aden	Aden
Adenin	Adenine
Adenosintrifosfat	Adenosine triphosphate
Adige	Adige
Adjektiv	Adjective
Admiral	Admiral
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adopsjon	Adoption
Binyre	Adrenal gland
Adriaterhavet	Adriatic Sea
Adsorbsjon	Adsorption
Voksen	Adult
Advent	Advent
Adverb	Adverb
Reklame	Advertising
Egeerhavet	Aegean Sea
Aineias	Aeneas
Aeneiden	Aeneid
Aiolos	Aeolus
Aerodynamikk	Aerodynamics
Aerosol	Aerosol
Aiskhylos	Aeschylus
Æsop	Aesop
Estetikk	Aesthetics
Affiks	Affix
Afghanistan	Afghanistan
Kategori:Afghanistan	Afghanistan
Afrika	Africa
Kategori:Afrika	Africa
Afroamerikanere	African American
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agatha Christie	Agatha Christie
Aggresjon	Aggression
Agnostisisme	Agnosticism
Agora	Agora
Agorafobi	Agoraphobia
Agra (by i India)	Agra
Landbruk	Agriculture
Kategori:Landbruk	Agriculture
Agrigento	Agrigento
Aikido	Aikido
Ain (departement)	Ain
Flyvåpen	Air force
Airbus	Airbus
Luftfartøy	Aircraft
Kategori:Luftfartøyer	Aircraft
Hangarskip	Aircraft carrier
Flyselskap	Airline
Lufthavn	Airport
Ajax	Ajax
Ajax (mytologi)	Ajax (mythology)
Ajax (Internett)	Ajax (programming)
Akhnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaida	Al-Qaeda
Alabama	Alabama
Kategori:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alaska	Alaska
Kategori:Alaska	Alaska
Alban Berg	Alban Berg
Albania	Albania
Kategori:Albania	Albania
Albany (New York)	Albany
Albatrosser	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Kategori:Alberta	Alberta
Albinisme	Albinism
Albitt	Albite
Musikkalbum	Album
Albuquerque	Albuquerque
Alkymi	Alchemy
Alkoholer	Alcohol
Alkoholholdige drikker	Alcoholic beverage
Alkoholisme	Alcoholism
Aldehyd	Aldehyde
Orer	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzjenitsyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleutene	Aleutian Islands
Aleksander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Aleksandr Pusjkin	Alexander Pushkin
Aleksander den store	Alexander the Great
Alexandre Dumas	Alexandre Dumas
Alexandre Dumas den yngre	Alexandre Dumas
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Alfred av England	Alfred the Great
Alge	Algae
Algebra	Algebra
Kategori:Algebra	Algebra
Algerie	Algeria
Kategori:Algerie	Algeria
Alger	Algiers
Algoritme	Algorithm
Alhambra	Alhambra
Ali ibn Abi Talib	Ali
Alkalimetall	Alkali metal
Alkaloid	Alkaloid
Alkaner	Alkane
Alkener	Alkene
Alkyner	Alkyne
Allah	Allah
Allegori	Allegory
Allel	Allele
Allen Ginsberg	Allen Ginsberg
Allergi	Allergy
Allitterasjon	Alliteration
Allofon	Allophone
Allosaurus	Allosaurus
Allotropi	Allotropy
Legering	Alloy
Almanakk	Almanac
Almaty	Almaty
Mandel	Almond
Aloe	Aloe
Alfa	Alpha (letter)
Alfa Centauri	Alpha Centauri
Alfapartikkel	Alpha particle
Alfabet	Alphabet
Alpene	Alps
Kategori:Alpene	Alps
Alsace	Alsace
Altair	Altair
Alter	Altar
Altaj (fjellkjede)	Altay Mountains
Vekselstrøm	Alternating current
Kategori:Alternativ medisin	Alternative medicine
Alternativ medisin	Alternative medicine
Altruisme	Altruism
Aluminium	Aluminium
Aluminiumoksid	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimers sykdom	Alzheimer's disease
Rød fluesopp	Amanita muscaria
Grønn fluesopp	Amanita phalloides
Narsissfamilien	Amaryllidaceae
Amaterasu	Amaterasu
Amazonaselva	Amazon River
Ambassadør	Ambassador
Rav	Amber
Ambrosius av Milano	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Amerikansk bison	American Bison
Amerikansk svartbjørn	American Black Bear
Den amerikanske borgerkrigen	American Civil War
Den amerikanske uavhengighetskrigen	American Revolutionary War
Amerikansk Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikansk fotball	American football
Kategori:Amerikansk fotball	American football
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametyst	Amethyst
Amharisk	Amharic
Amid	Amide
Amin	Amine
Aminosyre	Amino acid
Amish	Amish
Amman	Amman
Ammoniakk	Ammonia
Amnesti	Amnesty
Ampere	Ampere
Amfetamin	Amphetamine
Amfibier	Amphibian
Amfiteater	Amphitheatre
Amfora	Amphora
Amplitude	Amplitude
Amsterdam	Amsterdam
Kategori:Amsterdam	Amsterdam
Amon	Amun
Amur	Amur
Anabaptister	Anabaptist
Anagram	Anagram
Anaheim	Anaheim
Analsex	Anal sex
Anarkisme	Anarchism
Kategori:Anarkisme	Anarchism
Anarki	Anarchy
Andefamilien	Anatidae
Anatole France	Anatole France
Kategori:Anatomi	Anatomy
Anatomi	Anatomy
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anker	Anchor
Anchorage	Anchorage
Gammelgresk	Ancient Greek
Andalucía	Andalusia
Andamanhavet	Andaman Sea
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Kategori:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrej Sakharov	Andrei Sakharov
Andrej Tarkovskij	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Androide	Android
Andromeda	Andromeda
Andromeda (stjernebilde)	Andromeda (constellation)
Andromeda (mytologi)	Andromeda (mythology)
Andromedagalaksen	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anemi	Anemia
Anemometer	Anemometer
Anestesi	Anesthesia
Angara	Angara River
Engel	Angel
Salto Angel	Angel Falls
Den anglikanske kirke	Anglicanism
Angola	Angola
Kategori:Angola	Angola
Anguilla	Anguilla
Drivmoment	Angular momentum
Vinkelhastighet	Angular velocity
Boëthius	Anicius Manlius Severinus Boethius
Anilin	Aniline
Dyr	Animal
Animasjon	Animation
Anime	Anime
Kategori:Anime	Anime
Animisme	Animism
Anis	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Leddormer	Annelid
Kristi fødsel	Anno Domini
Maria Budskapsdag	Annunciation
Anode	Anode
Andefugler	Anseriformes
Kategori:Andefugler	Anseriformes
Maur	Ant
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarktika	Antarctica
Kategori:Antarktika	Antarctica
Antenne	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Miltbrann	Anthrax
Antropologi	Anthropology
Kategori:Antropologi	Anthropology
Antroposofi	Anthroposophy
Antibiotika	Antibiotic
Antistoff	Antibody
Antikrist	Antichrist
Antisyklon	Anticyclone
Antigen	Antigen
Antigone	Antigone
Antigua og Barbuda	Antigua and Barbuda
Kategori:Antigua og Barbuda	Antigua and Barbuda
Antimaterie	Antimatter
Antimon	Antimony
Antioksidant	Antioxidant
Motpave	Antipope
Antisemittisme	Antisemitism
Kategori:Antisemittisme	Antisemitism
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Tsjekhov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonym
Antwerpen (by)	Antwerp
Antwerpen (provins)	Antwerp (province)
Anubis	Anubis
Anus	Anus
Aorta	Aorta
Apasje	Apache
Apatitt	Apatite
Menneskeaper	Ape
Afasi	Aphasia
Aforisme	Aphorism
Afrodite	Aphrodite
Apia	Apia
Skjermplantefamilien	Apiaceae
Apokryfer	Apocrypha
Apollon	Apollo
Apollo	Apollo (disambiguation)
Apollo-programmet	Apollo program
Kategori:Apollo-programmet	Apollo program
Apoptose	Apoptosis
Appalachene	Appalachian Mountains
Appendisitt	Appendicitis
Epler	Apple
Anvendt matematikk	Applied mathematics
Aprikos	Apricot
April	April
14. april	April 14
Aprilsnarr	April Fools' Day
Apside	Apse
Puglia	Apulia
Kongevann	Aqua regia
Akvamarin	Aquamarine
Akvarium	Aquarium
Akvedukt	Aqueduct
Aquitaine	Aquitaine
Alteret	Ara (constellation)
Arabere	Arab
Den arabiske liga	Arab League
Den arabiske halvøy	Arabian Peninsula
Arabiahavet	Arabian Sea
Det arabiske alfabetet	Arabic alphabet
Arabisk	Arabic language
Myrkonglefamilien	Araceae
Edderkoppdyr	Arachnid
Arafurasjøen	Arafura Sea
Aragón	Aragon
Aralsjøen	Aral Sea
Arkadia (Hellas)	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Bue (arkitektur)	Arch
Arkeologi	Archaeology
Kategori:Arkeologi	Archaeology
Erkeengel	Archangel
Erkebiskop	Archbishop
Arkeikum	Archean
Arketype	Archetype
Arkimedes	Archimedes
Arkipelag	Archipelago
Arkitekt	Architect
Arkitektur	Architecture
Kategori:Arkitektur	Architecture
Arkiv	Archive
Arktis	Arctic
Nordlige polarsirkel	Arctic Circle
Nordishavet	Arctic Ocean
Fjellrev	Arctic fox
Ardennene	Ardennes
Ardennes	Ardennes (department)
Ar	Are
Areal	Area
Palmer	Arecaceae
Ares	Ares
Argentina	Argentina
Kategori:Argentina	Argentina
Argon	Argon
Argos	Argos
Arie	Aria
Ariadne	Ariadne
Arianisme	Arianism
Aristarkhos	Aristarchus of Samos
Aristokrati	Aristocracy
Aristofanes	Aristophanes
Aristoteles	Aristotle
Aritmetikk	Arithmetic
Kategori:Aritmetikk	Arithmetic
Arius	Arius
Arizona	Arizona
Kategori:Arizona	Arizona
Paktens ark	Ark of the Covenant
Arkansas	Arkansas
Kategori:Arkansas	Arkansas
Arles	Arles
Beltedyr	Armadillo
Armenia	Armenia
Kategori:Armenia	Armenia
Armensk	Armenian language
Arminius	Arminius
Rustning	Armour
Armé	Army
Arnhem	Arnhem
Arno	Arno River
Arnold Schönberg	Arnold Schoenberg
Arkebuse	Arquebus
Arras	Arras
Pil	Arrow
Arsen	Arsenic
Kunst	Art
Art deco	Art Deco
Art nouveau	Art Nouveau
Kategori:Kunsthistorie	Art history
Kunsthistorie	Art history
Artemis	Artemis
Malurter	Artemisia (plant)
Ekte malurt	Artemisia absinthium
Arterie	Artery
Leddgikt	Arthritis
Leddyr	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, 1. hertug av Wellington	Arthur Wellesley
Kunstig intelligens	Artificial intelligence
Artilleri	Artillery
Kategori:Artilleri	Artillery
Kunstner	Artist
Kategori:Kunst	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Kategori:Aruba	Aruba
Asbest	Asbestos
Asklepios	Asclepius
Aseksualitet	Asexuality
Åsgard	Asgard
Askeonsdag	Ash Wednesday
Asurbanipal	Ashurbanipal
Asia	Asia
Kategori:Asia	Asia
Asmara	Asmara
Aspartam	Aspartame
Asfalt	Asphalt
Acetylsalisylsyre	Aspirin
Assam	Assam
Attentat	Assassination
Assembler	Assembly language
Association of Southeast Asian Nations	Association of Southeast Asian Nations
Assyria	Assyria
Astana	Astana
Astat	Astatine
Kurvplantefamilien	Asteraceae
Kategori:Kurvblomstfamilien	Asteraceae
Asteroide	Asteroid
Asteroidebeltet	Asteroid belt
Astenosfære	Asthenosphere
Astma	Asthma
Astigmatisme	Astigmatism (eye)
Astrakhan	Astrakhan
Astrobiologi	Astrobiology
Astrolabium	Astrolabe
Astrologi	Astrology
Kategori:Astrologi	Astrology
Astrometri	Astrometry
Romfarer	Astronaut
Astronom	Astronomer
Astronomisk enhet	Astronomical unit
Astronomi	Astronomy
Kategori:Astronomi	Astronomy
Portal:Astronomi	Astronomy
Astrofysikk	Astrophysics
Kategori:Astrofysikk	Astrophysics
Aswan	Aswan
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacamaørkenen	Atacama Desert
Aton	Aten
Kategori:Ateisme	Atheism
Athene	Athena
Athen	Athens
Kategori:Friidrett	Athletics
Friidrett	Athletics (track and field)
Atlanta	Atlanta
Atlanterhavet	Atlantic Ocean
Kategori:Atlanterhavet	Atlantic Ocean
Atlantis	Atlantis
Atlas	Atlas (disambiguation)
Atlas (måne)	Atlas (moon)
Atlas (mytologi)	Atlas (mythology)
Atlasfjellene	Atlas Mountains
Atmosfære	Atmosphere
Standardatmosfære	Atmosphere (unit)
Atmosfærisk trykk	Atmospheric pressure
Atoll	Atoll
Atom	Atom
Atomur	Atomic clock
Atommasse	Atomic mass
Atommasseenhet	Atomic mass unit
Atomnummer	Atomic number
Kategori:Atomfysikk	Atomic physics
Atrevs	Atreus
Atropin	Atropine
Attika (landskap)	Attica
Attila	Attila the Hun
AU	Au
Auckland	Auckland
Auksjon	Auction
August	August
1. august	August 1
15. august	August 15
6. august	August 6
August Strindberg	August Strindberg
Augusta (Maine)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustin av Hippo	Augustine of Hippo
Augustus	Augustus
Aurora	Aurora
Aurora polaris	Aurora (astronomy)
Austin (Texas)	Austin
Australasia	Australasia
Australia	Australia
Kategori:Australia	Australia
Australsk dollar	Australian dollar
Australopithecus	Australopithecus
Østerrike	Austria
Kategori:Østerrike	Austria
Østerrike-Ungarn	Austria-Hungary
Forfatter	Author
Autoritet	Authority
Autisme	Autism
Motorsport	Auto racing
Minibank	Automated teller machine
Bil	Automobile
Det autonome nervesystem	Autonomic nervous system
Autotrofi	Autotroph
Høst	Autumn
Auvergne	Auvergne (region)
Lavine	Avalanche
Avant-garde	Avant-garde
Avatar	Avatar
Averroës	Averroes
Kategori:Luftfart	Aviation
Luftfart	Aviation
Avicenna	Avicenna
Avignon	Avignon
Avokado	Avocado
Avogadros lov	Avogadro's law
Øks	Axe
Aksiom	Axiom
Akson	Axon
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Aserbajdsjan	Azerbaijan
Kategori:Aserbajdsjan	Azerbaijan
Asimut	Azimuth
Azorene	Azores
Aztekere	Aztec
B	B
BASIC	BASIC
Baal	Baal
Bavianer	Baboon
Babylon	Babylon
Babylonia	Babylonia
Backgammon	Backgammon
Bakterier	Bacteria
Kategori:Bakterier	Bacteria
Bakteriofag	Bacteriophage
Baktriakamel	Bactrian Camel
Badminton	Badminton
Baffinbukta	Baffin Bay
Baffinøya	Baffin Island
Bagdad	Baghdad
Kategori:Bahamas	Bahamas
Bahrain	Bahrain
Kategori:Bahrain	Bahrain
Baja California	Baja California
Baku	Baku
Balalaika	Balalaika
Balder	Baldr
Balearene	Balearic Islands
Bardehvaler	Baleen whale
Bali	Bali
Balkanfjellene	Balkan Mountains
Balkankrigene	Balkan Wars
Balkan	Balkans
Ballett	Ballet
Kategori:Ballett	Ballet
Østersjøen	Baltic Sea
Baltimore	Baltimore
Bamako	Bamako
Bambus	Bamboo
Bananer	Banana
Bananrepublikk	Banana republic
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Kategori:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Bank
Pengeseddel	Banknote
Kategori:Banker	Banks
Dåp	Baptism
Baptisme	Baptist
Barbados	Barbados
Kategori:Barbados	Barbados
Barbar	Barbarian
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Kategori:Barcelona	Barcelona
Barentshavet	Barents Sea
Bari	Bari
Barium	Barium
Bygg (korn)	Barley
Tårnugle	Barn Owl
låvesvale	Barn Swallow
Barometer	Barometer
Baron	Baron
Barokken	Baroque
Barranquilla	Barranquilla
Fat (mål)	Barrel (unit)
Baryon	Baryon
Basalt	Basalt
Base	Base (chemistry)
Baseball	Baseball
Kategori:Baseball	Baseball
Basel	Basel
Basilikum	Basil
Basilios den store	Basil of Caesarea
Basilika	Basilica
Basilicata	Basilicata
Basiliskus	Basiliscus
Basilisk	Basilisk
Basketball	Basketball
Kategori:Basketball	Basketball
Basra	Basra
Bassgitar	Bass guitar
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Fagott	Bassoon
Bast	Bast (mythology)
Bastillen	Bastille
Flaggermus	Bat
Bath	Bath
Batman	Batman
Baton Rouge	Baton Rouge
Kategori:Flaggermus	Bats
Bataljon	Battalion
Elektrisk batteri	Battery (electricity)
Slaget ved Austerlitz	Battle of Austerlitz
Slaget om Storbritannia	Battle of Britain
Slaget ved Hastings	Battle of Hastings
Slaget ved Lepanto	Battle of Lepanto (1571)
Slaget ved Marathon	Battle of Marathon
Slaget ved Midway	Battle of Midway
Slaget ved Thermopylene	Battle of Thermopylae
Slaget ved Trafalgar	Battle of Trafalgar
Slaget ved Verdun	Battle of Verdun
Slaget ved Waterloo	Battle of Waterloo
Ardenneroffensiven	Battle of the Bulge
Slaget ved Somme	Battle of the Somme
Bauhaus	Bauhaus
Bauksitt	Bauxite
Bayern	Bavaria
Kategori:Bayern	Bavaria
Bengalbukta	Bay of Bengal
Biscayabukten	Bay of Biscay
Bayer AG	Bayer
Bajonett (våpen)	Bayonet
Bayonne	Bayonne
Strand	Beach
Beagle	Beagle
Nebb	Beak
Bjørnefamilien	Bear
Beauforthavet	Beaufort Sea
Beauforts skala	Beaufort scale
Bevere	Beaver
Bebop	Bebop
Becquerel	Becquerel
Seng	Bed
Beda den ærverdige	Bede
Beduiner	Bedouin
Bier	Bee
Bøker	Beech
Kategori:Birøkt	Beekeeping
Øl	Beer
Kategori:Øl	Beer
Biller	Beetle
Behaviorisme	Behaviorism
Beijing	Beijing
Beirut	Beirut
Hviterussland	Belarus
Kategori:Hviterussland	Belarus
Belfast	Belfast
Belgia	Belgium
Kategori:Belgia	Belgium
Beograd	Belgrade
Belisarius	Belisarius
Belize	Belize
Kategori:Belize	Belize
Bellerofon	Bellerophon
Orientalsk dans	Belly dance
Belo Horizonte	Belo Horizonte
Hvithval	Beluga
Benelux	Benelux
Bengal	Bengal
Benin	Benin
Kategori:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli, 1. jarl av Beaconsfield	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Beringhavet	Bering Sea
Beringstredet	Bering Strait
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berlin
Kategori:Berlin	Berlin
Bermuda	Bermuda
Kategori:Bermuda	Bermuda
Bermudatriangelet	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Bær	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Beryllium
Beta	Beta (letter)
Betahenfall	Beta decay
Betelgeuse	Betelgeuse
Betlehem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bey	Bey
Bhutan	Bhutan
Kategori:Bhutan	Bhutan
Bibelen	Bible
Kategori:Bibelen	Bible
Bibliografi	Bibliography
Sykkel	Bicycle
Big Bang	Big Bang
Bihar	Bihar
Bikini (klesplagg)	Bikini
Galle	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Dobbeltstjerne	Binary star
Kikkert	Binoculars
Biokjemi	Biochemistry
Kategori:Biokjemi	Biochemistry
Biologisk mangfold	Biodiversity
Biogeografi	Biogeography
Biografi	Biography
Biologisk krigføring	Biological warfare
Biologi	Biology
Kategori:Biologi	Biology
Biomasse	Biomass
Biom	Biome
Biometri	Biometrics
Biopsi	Biopsy
Biosfære	Biosphere
Bioteknologi	Biotechnology
Biotin	Biotin
Bipolar lidelse	Bipolar disorder
Bjørker	Birch
Fugler	Bird
Birmingham (Alabama)	Birmingham
Prevensjon	Birth control
Bifili	Bisexuality
Bisjkek	Bishkek
Biskop	Bishop
Løper (sjakk)	Bishop (chess)
Bismarck (Nord-Dakota)	Bismarck
Bismarck	Bismarck (disambiguation)
Vismut	Bismuth
Bissau	Bissau
Bit	Bit
Bitynia	Bithynia
Muslinger	Bivalvia
Svart	Black
Svartedauden	Black Death
Schwarzwald	Black Forest
Svartglente	Black Kite
Svartehavet	Black Sea
Svartstork	Black Stork
Svart legeme	Black body
Sort hull	Black hole
Svart pepper	Black pepper
Svarttrost	Blackbird
Blaise Pascal	Blaise Pascal
Blender (program)	Blender (software)
Blindhet	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blogg	Blog
Blod	Blood
Blodplasma	Blood plasma
Blodtrykk	Blood pressure
Blodåre	Blood vessel
Blå	Blue
Blåhval	Blue Whale
Blues	Blues
Villsvin	Boar
Brettspill	Board game
Båt	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobsleigh
Bodhisattva	Bodhisattva
BMI	Body mass index
Kroppsbygging	Bodybuilding
Böhmen	Bohemia
Bohrium	Bohrium
Kokepunkt	Boiling point
Boise	Boise
