English	Lithuanian
Cancer	Vėžys (liga)
Cancer (constellation)	Vėžys (astronomija)
Candela	Kandela
Candle	Žvakė
Canidae	Šuniniai
Canis Major	Didysis Šuo
Canis Minor	Mažasis Šuo
Cannabis	Kanapė
Cannabis (drug)	Marihuana
Cannibalism	Kanibalizmas
Cannon	Patranka
Canopus	Kanopus
Canute the Great	Knutas II Didysis
Capacitance	Elektrinė talpa
Capacitor	Kondensatorius
Cape Canaveral	Kanaveralo kyšulys
Cape Town	Keiptaunas
Cape Verde	Žaliasis Kyšulys
Cape of Good Hope	Gerosios Vilties kyšulys
Capital	Sostinė
Capital (economics)	Kapitalas
Capital punishment	Mirties bausmė
Capitalism	Kapitalizmas
Cappadocia	Kapadokija
Capricornus	Ožiaragis
Capsicum	Paprika
Caracal	Karakalas
Caracas	Karakasas
Carat (mass)	Karatas
Carat (purity)	Karatas
Carbohydrate	Angliavandenis
Carbon	Anglis
Carbon cycle	Anglies ciklas
Carbon dioxide	Anglies dioksidas
Carbon monoxide	Anglies monoksidas
Carbonic acid	Anglies rūgštis
Carboniferous	Karbonas
Carboxylic acid	Karboksirūgštys
Card game	Kortų žaidimas
Cardamom	Tikrasis kardamonas
Cardiff	Kardifas
Cardinal (Catholicism)	Kardinolas
Cardinal Richelieu	Richelieu
Cardiovascular system	Kategorija:Kraujotakos sistema
Caribbean	Karibų jūros regionas
Caribbean	Kategorija:Karibų jūros regionas
Caribbean Sea	Karibų jūra
Carina (constellation)	Laivo Kilis
Carl Jung	Carl Gustav Jung
Carl Maria von Weber	Carl Maria von Weber
Carnivora	Plėšrieji žinduoliai
Carnivorous plant	Vabzdžiaėdžiai augalai
Carolingian dynasty	Karolingai
Carolus Linnaeus	Karlas Linėjus
Carpathian Mountains	Karpatai
Carrot	Valgomoji morka
Carson City	Karson Sitis
Cartagena	Kartachena (Ispanija)
Cartesian product	Dekarto sandauga
Carthage	Kartagina
Cartography	Kartografija
Caryophyllales	Gvazdikiečiai
Casablanca	Kasablanka
Caspian Sea	Kaspijos jūra
Cassandra	Kasandra
Cassiopeia (constellation)	Kasiopėja (astronomija)
Caste	Varna (luomas)
Castle	Pilis
Castries	Kastris
Cat	Katė
Catalonia	Katalonija
Catalysis	Katalizatorius
Cataract	Katarakta
Catfish	Šamažuvės
Catharism	Katarai
Cathedral	Katedra
Cathode	Katodas
Catholicism	Katalikybė
Cattle	Naminis jautis
Cattle Egret	Ibiškasis garnys
Caucasus Mountains	Kaukazo kalnai
Causality	Priežastingumas
Cavalry	Kavalerija
Cave	Urvas
Caviar	Ikrai
Cayenne	Kajenas
Cayman Islands	Kaimanų salos
Cedar	Kedras
Celery	Salieras
Celestial equator	Dangaus pusiaujas
Celestial mechanics	Kategorija:Dangaus mechanika
Celestial mechanics	Dangaus mechanika
Celestial sphere	Dangaus sfera
Celibacy	Celibatas
Cell (biology)	Ląstelė
Cell membrane	Plazminė membrana
Cell nucleus	Ląstelės branduolys
Cell wall	Ląstelės sienelė
Cello	Violončelė
Cellulose	Celiuliozė
Celsius	Celsijus
Cement	Cementas
Cemetery	Kapinės
Cenozoic	Kainozojus
Centaur	Kentaurai
Centaurus	Kentauras (astronomija)
Central African Republic	Centrinės Afrikos Respublika
Central African Republic	Kategorija:Centrinės Afrikos Respublika
Central America	Centrinė Amerika
Central America	Kategorija:Centrinė Amerika
Central Intelligence Agency	CŽV
Central Park	Centrinis parkas
Central Powers	Centrinių valstybių sąjunga
Central bank	Centrinis bankas
Central nervous system	Centrinė nervų sistema
Central processing unit	Procesorius
Centre	Centras (Prancūzijos regionas)
Centriole	Centriolė
Century	Amžius
Cephalopod	Galvakojai
Cepheus (constellation)	Cefėjas (astronomija)
Ceramic	Keramika
Cerberus	Cerberis
Cereal	Javai
Cerebellum	Smegenėlės
Ceres (dwarf planet)	Cerera (nykštukinė planeta)
Ceres (mythology)	Cerera
Cerium	Ceris
Cestoda	Kaspinuočiai
Cetacea	Banginiai
Cetus	Banginis (astronomija)
Chad	Čadas
Chad	Kategorija:Čadas
Chaffinch	Kikilis
Chair	Kėdė
Chalcedony	Chalcedonas
Chamaeleon	Chameleonas (astronomija)
Chamois	Gemzė
Champagne (wine)	Šampanas
Champagne-Ardenne	Šampanė-Ardėnai
Channel Tunnel	Eurotunelis
Chaos (mythology)	Chaosas
Charadriiformes	Sėjikiniai paukščiai
Charlemagne	Karolis Didysis
Charleroi	Šarlerua
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Peirce	Čarlzas Pirsas
Charles de Gaulle	Šarlis de Golis
Charlie Chaplin	Čarlis Čaplinas
Charlotte	Šarlotė
Charon (moon)	Charonas (palydovas)
Charon (mythology)	Charonas (mitologija)
Chauvinism	Šovinizmas
Che Guevara	Če Gevara
Chechnya	Čečėnija
Chechnya	Kategorija:Čečėnija
Cheese	Sūris
Cheetah	Gepardas
Chelyabinsk	Čeliabinskas
Chemical bond	Cheminis ryšys
Chemical element	Cheminis elementas
Chemical formula	Cheminė formulė
Chemical reaction	Cheminė reakcija
Chemical warfare	Cheminis ginklas
Chemistry	Chemija
Chemistry	Kategorija:Chemija
Chemotherapy	Chemoterapija
Chennai	Čenajus
Cheque	Čekis
Chernobyl	Černobylis
Cherry	Vyšnia
Chert	Titnagas
Cherub	Cherubinas
Chess	Šachmatai
Chess	Kategorija:Šachmatai
Chess opening	Debiutas (šachmatai)
Chi (letter)	Chi (raidė)
Chiang Kai-shek	Čiang Kai-ši
Chicago	Čikaga
Chicken	Višta
Chickpea	Sėjamasis avinžirnis
Child	Vaikas
Childbirth	Gimdymas
Chile	Čilė
Chile	Kategorija:Čilė
Chimborazo (volcano)	Čimborasas
Chimera (mythology)	Chimera
Chimpanzee	Šimpanzė
China	Kategorija:Kinija
China	Kinija (regionas)
Chiron	Cheironas
Chitin	Chitinas
Chlorine	Chloras
Chlorophyll	Chlorofilas
Chloroplast	Chloroplastas
Chocolate	Šokoladas
Choir	Choras
Cholera	Cholera
Cholesterol	Cholesterolis
Chondrichthyes	Kremzlinės žuvys
Chongqing	Čongčingas
Chordate	Chordiniai
Christchurch	Kraistčerčas
Christianity	Krikščionybė
Christianity	Kategorija:Krikščionybė
Christmas	Kalėdos
Christmas Eve	Kūčios
Christmas tree	Kalėdų eglutė
Christopher Columbus	Kristupas Kolumbas
Chromatin	Chromatinas
Chromium	Chromas
Chromosome	Chromosoma
Chronology	Kategorija:Chronologija
Chukchi Sea	Čiukčių jūra
Cicero	Markas Tulijus Ciceronas
Ciconiiformes	Gandriniai paukščiai
Cider	Sidras
Cigarette	Cigaretė
Cinnabar	Cinoberis (mineralas)
Circe	Kirkė
Circinus	Skriestuvas (astronomija)
Circle	Apskritimas
Circulatory system	Kraujotakos sistema
Circumcision	Apipjaustymas
Circus	Cirkas
Citric acid cycle	Krebso ciklas
Citrus	Citrinmedis
City-state	Miestas-valstybė
Civil war	Pilietinis karas
Civilization	Civilizacija
Clarinet	Klarnetas
Class	Klasė
Class (biology)	Klasė (biologija)
Class (computer science)	Klasė (programavimas)
Classical mechanics	Klasikinė mechanika
Classicism	Klasicizmas
Claude Monet	Claude Monet
Claudio Monteverdi	Klaudijus Monteverdis
Claudius	Klaudijus
Clavicle	Raktikaulis
Clay	Molis (uoliena)
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra
Cleveland	Klyvlendas
Climate	Klimatas
Climate	Kategorija:Klimatas
Climatology	Klimatologija
Clinical depression	Depresija
Clio	Klėjo
Clitoris	Varputė
Clock	Laikrodis
Clock Tower	Vestminsterio laikrodžio bokštas
Clothing	Apranga
Cloud	Debesis
Clove	Kvapnusis gvazdikmedis
Clover	Dobilas
Clovis I	Chlodvigas
Cnidaria	Duobagyviai
Coal	Akmens anglis
Coat of arms	Herbas
Cobalt	Kobaltas
Cocaine	Kokainas
Coccinellidae	Boružės
Cockatoo	Kakadu
Cockroach	Tarakonai
Coconut	Riešutinė kokospalmė
Cocos (Keeling) Islands	Kokosų (Kilingo) Salos
Codeine	Kodeinas
Coffea	Kavamedis
Coffee	Kava
Cognac (drink)	Konjakas
Cognitive psychology	Pažinimo psichologija
Cognitive science	Kognityviniai mokslai
Cola	Kola
Colchis	Kolchidė
Cold War	Šaltasis karas
Cold War	Kategorija:Šaltasis karas
Collagen	Kolagenas
Cologne	Kelnas
Colombia	Kolumbija
Colombia	Kategorija:Kolumbija
Colombo	Kolombas
Color	Spalva
Colorado	Koloradas (valstija)
Colorado River	Koloradas (upė JAV)
Colosseum	Koliziejus
Colossus of Rhodes	Rodo kolosas
Colubrid	Žaltiniai
Columba (constellation)	Balandis (astronomija)
Columbia River	Kolumbija (upė)
Columbidae	Karveliniai
Columbiformes	Kategorija:Karveliniai paukščiai
Columbiformes	Karveliniai paukščiai
Columbus	Kolumbas (Ohajas)
Coma	Koma
Coma Berenices	Berenikės Garbanos
Combustion	Degimo reakcija
Comedy	Komedija
Comet	Kometa
Commerce	Kategorija:Prekyba
Common cold	Peršalimas
Commonwealth of Independent States	Nepriklausomų valstybių sandrauga
Commonwealth of Nations	Tautų Sandrauga
Communication	Komunikacija
Communism	Komunizmas
Communism	Kategorija:Komunizmas
Comoros	Komorai
Comoros	Kategorija:Komorai
Compact Disc	Kompaktinė plokštelė
Company (military unit)	Kuopa
Compass	Kompasas
Competition	Konkurencija
Compiler	Kompiliatorius
Complex instruction set computer	CISC
Complex number	Kompleksinis skaičius
Composer	Kompozitorius
Computer	Kompiuteris
Computer display	Monitorius
Computer file	Failas
Computer hardware	Techninė įranga
Computer network	Kompiuterių tinklas
Computer program	Programa (kompiuterio)
Computer programming	Kategorija:Programavimas
Computer science	Informatika
Computer science	Kategorija:Informatika
Computer software	Programinė įranga
Computer virus	Virusas (programa)
Conakry	Konakris
Concrete	Betonas
Condom	Prezervatyvas
Cone (geometry)	Kūgis
Confederate States of America	Amerikos Valstijų Konfederacija
Confederation	Konfederacija
Confession	Išpažintis
Confirmation	Sutvirtinimo sakramentas
Conflict	Konfliktas
Confucianism	Konfucianizmas
Confucius	Konfucijus
Congo	Kongas
Congo River	Kongas (upė)
Conic section	Kūgio pjūvis
Connecticut	Konektikutas
Connective tissue	Jungiamasis audinys
Conquistador	Konkistadoras
Consensus	Konsensusas
Conservation of energy	Energijos tvermės dėsnis
Conservatism	Konservatizmas
Constantine I	Konstantinas I
Constellation	Žvaigždynas
Constitution (political)	Konstitucija
Consul	Konsulas
Consumption (economics)	Konsumpcija
Continent	Žemynai
Continental drift	Kontinentų dreifo teorija
Continental shelf	Šelfas
Contract	Sutartis
Convection	Konvekcija
Cooking	Kulinarija
Coordinate system	Koordinačių sistema
Coordinated Universal Time	Pasaulinis koordinuotasis laikas
Copenhagen	Kopenhaga
Copper	Varis
Copyright	Autoriaus teisė
Coraciiformes	Žalvarniniai paukščiai
Coral	Koralas
Coral Sea	Koralų jūra
Coral reef	Koralinis rifas
Coriander	Kalendra
Corinth	Korintas
Coriolis effect	Koriolio efektas
Cork (city)	Korkas
Cormorant	Kormoraniniai
Cornea	Ragena
Cornwall	Kornvalis
Corona Borealis	Šiaurės Vainikas
Corporation	Korporacija
Corrosion	Korozija
Corsica	Korsika
Corundum	Korundas
Corvette	Korvetė
Corvidae	Varniniai
Corvus (constellation)	Varnas (astronomija)
Cosmic microwave background radiation	Reliktinis spinduliavimas
Cosmic ray	Kosminiai spinduliai
Cosmology	Kosmologija
Cosmology	Kategorija:Kosmologija
Costa Rica	Kosta Rika
Cotonou	Kotonu
Cotopaxi	Kotopaksis
Cougar	Puma
Coulomb	Kulonas
Council of Chalcedon	Chalkedono susirinkimas
Council of Ephesus	Efezo susirinkimas
Council of Trent	Tridento susirinkimas
Country music	Kantri muzika
Court	Teismas
Covalent bond	Kovalentinis ryšys
Coventry	Koventris
Coyote	Kojotas
Crab	Krabas
Crab Nebula	Krabo ūkas
Crane (bird)	Gerviniai
Crater (constellation)	Taurė (astronomija)
Creationism	Kreacionizmas
Cretaceous	Kreida (periodas)
Crete	Kreta
Cricket	Kriketas
Cricket (insect)	Svirpliai
Crime	Nusikalstamumas
Crimea	Krymas
Crimean War	Krymo karas
Criminal law	Kategorija:Baudžiamoji teisė
Criminal law	Baudžiamoji teisė
Criminology	Kriminologija
Criminology	Kategorija:Kriminologija
Croatia	Kroatija
Croatia	Kategorija:Kroatija
Crocodile	Tikrieji krokodilai
Crocodilia	Krokodilai
Cronus	Kronas
Crossbow	Arbaletas
Crossword	Kryžiažodis
Crow	Varnos
Crucifixion	Nukryžiavimas
Crust (geology)	Žemės pluta
Crustacean	Vėžiagyviai
Crux	Pietų Kryžius
Cryptography	Kategorija:Kriptografija
Crystal	Kristalas
Crystallography	Kristalografija
Ctenophore	Šukuočiai
Cuba	Kuba
Cube	Kubas
Cubism	Kubizmas
Cuculiformes	Gegutiniai paukščiai
Cucumber	Paprastasis agurkas
Cucurbitaceae	Moliūginiai
Cultural Revolution	Kultūrinė revoliucija
Culture	Kultūra
Culture	Kategorija:Kultūra
Cupressaceae	Kiparisiniai
Curitiba	Kuritiba
Curium	Kiuris
Curling	Akmenslydis
Currency	Kategorija:Valiuta
Currency	Valiuta
Curve	Kreivė
Cusco	Kuskas
Cyan	Cianas (spalva)
Cyanide	Cianidas
Cyanobacteria	Melsvabakterės
Cybele	Kibelė
Cybernetics	Kibernetika
Cyberpunk	Kiberpankas
Cyclone	Ciklonas
Cyclops	Kiklopai
Cygnus (constellation)	Gulbė (astronomija)
Cylinder (geometry)	Cilindras
Cyperaceae	Viksvuoliniai
Cyprinid	Karpinės
Cypriniformes	Karpžuvės
Cyprus	Kipras
Cyprus	Kategorija:Kipras
Cyrillic alphabet	Kirilica
Cyrus the Great	Kyras Didysis
Cytoplasm	Citoplazma
Cytosine	Citozinas
Cytoskeleton	Citoskeletas
Czech Republic	Čekija
Czech Republic	Kategorija:Čekija
Czechoslovakia	Čekoslovakija
D	D
DNA	Deoksiribonukleorūgštis
DOS	DOS
DVD	DVD
Dachshund	Taksas
Dada	Dadaizmas
Daedalus	Dedalas
Dagger	Durklas
Daguerreotype	Dagerotipija
Dahlia	Jurginas
Dakar	Dakaras
Dallas	Dalasas
Dalmatia	Dalmatija
Dam	Užtvanka
Damascus	Damaskas
Dance	Šokis
Dandelion	Kiaulpienė
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Danijos krona
Dante Alighieri	Dantė
Danube	Dunojus
Daphne	Dafnė
Dar es Salaam	Dar es Salamas
Dardanelles	Dardanelai
Darjeeling	Dardžilingas
Dark matter	Tamsioji medžiaga
Darmstadtium	Darmštatis
Darwin	Darvinas (Australija)
Darwin	Darvinas
Das Kapital	Kapitalas (knyga)
Data mining	Duomenų išgavimas
Database	Duomenų bazė
Database management system	Duomenų bazių valdymo sistema
Daugavpils	Daugpilis
David	Dovydas
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	Davidas Rikardas
Day	Para
Days	Kategorija:Diena
De facto	De facto
Deacon	Diakonas
Dead Sea	Negyvoji jūra
Deadly nightshade	Vaistinė šunvyšnė
Death	Mirtis
Death	Kategorija:Mirtis
Decade	Dešimtmečiai
December	Gruodis
December 31	Gruodžio 31
December 8	Gruodžio 8
Declination	Deklinacija
Deco	Deco
Deer	Elniniai
Deflation	Defliacija
Deimos (moon)	Deimas (palydovas)
Deism	Deizmas
Delaware	Delaveras
Delhi	Delis
Delphi	Delfai
Delphinus	Delfinas (astronomija)
Delta	Delta (reikšmės)
Delta (letter)	Delta (raidė)
Deluge (mythology)	Pasaulio tvanas
Demagogy	Demagogija
Demeter	Demetra
Democracy	Demokratija
Democratic Party (United States)	JAV demokratų partija
Democratic Republic of the Congo	Kongo Demokratinė Respublika
Democratic Republic of the Congo	Kategorija:Kongo Demokratinė Respublika
Democritus	Demokritas Abderietis
Demon	Demonas
Demosthenes	Demostenas
Denis Diderot	Denis Diderot
Denmark	Danija
Denmark	Kategorija:Danija
Dennis Gabor	Dennis Gabor
Density	Tankis
Dental caries	Dantų ėduonis
Denver	Denveris
Derivative	Išvestinė
Des Moines	De Moinas
Desert	Dykuma
Deserts	Kategorija:Dykumos
Desiderius Erasmus	Erazmas Roterdamietis
Design	Dizainas
Design	Kategorija:Dizainas
Destroyer	Eskadrinis minininkas
Determinant	Determinantas
Determinism	Determinizmas
Detroit	Detroitas
Device driver	Tvarkyklė
Devonian	Devonas
Dew	Rasa
Dew point	Rasos taškas
Dhaka	Daka
Dharma	Dharma
Dhaulagiri	Daulagyris
Dhole	Raudonasis vilkas
Diabetes mellitus	Cukrinis diabetas
Diacritic	Diakritiniai ženklai
Dialect	Tarmė
Dialectical materialism	Dialektinis materializmas
Diameter	Diametras
Diamond	Deimantas
Diana	Velso princesė Diana
Diana (mythology)	Diana
Diarrhea	Viduriavimas
Diatom	Titnagdumbliai
Dice	Lošimo kauliukas
Dictatorship	Diktatūra
Dictionary	Žodynas
Diesel	Dyzelinas
Differential equation	Diferencialinė lygtis
Diffraction	Difrakcija
Diffusion	Difuzija
Digestion	Virškinimas
Digestive system	Kategorija:Virškinimo sistema
Digital photography	Skaitmeninė fotografija
Dill	Krapas
Dingo	Dingas
Dinosaur	Dinozaurai
Diocese	Vyskupija
Diode	Puslaidininkis diodas
Dionysus	Dionisas
Diphtheria	Difterija
Diplodocus	Diplodokas
Diplomacy	Diplomatija
Diplomacy	Kategorija:Diplomatija
Dire Straits	Dire Straits
Disaccharide	Disacharidas
Disambiguation	Kategorija:Nuorodiniai straipsniai
Discrimination	Diskriminacija
Disease	Liga
Distillation	Distiliacija
Divergence	Divergencija
Division (mathematics)	Dalyba
Division (military)	Divizija
Djibouti	Kategorija:Džibutis
Djibouti (city)	Džibutis (miestas)
Dmitri Mendeleev	Dmitrijus Mendelejevas
Dnieper River	Dniepras
Dnipropetrovsk	Dniepropetrovskas
Doberman Pinscher	Dobermanas
Document	Dokumentas
Dodoma	Dodoma
Dog	Šuo
Dogma	Dogma
Doha	Doha
Dollar	Doleris
Dolly (sheep)	Avis Doli
Dolmen	Dolmenas
Dolomite	Dolomitas
Dolphin	Delfinai
Domain (biology)	Domenas
Domesday Book	Paskutiniojo teismo knyga
Dominica	Dominika
Dominica	Kategorija:Dominika
Dominican Order	Dominikonų ordinas
Dominican Republic	Dominikos Respublika
Domitian	Domicianas
Don River (Russia)	Donas
Donatello	Donatelas
Donetsk	Doneckas
Donkey	Laukinis asilas
Door	Durys
Dopamine	Dopaminas
Doppler effect	Doplerio reiškinys
Dorado	Aukso Žuvis
Dortmund	Dortmundas
Douala	Duala
Down syndrome	Dauno sindromas
Draco (constellation)	Slibinas (astronomija)
Dracula	Drakula
Drama	Drama
Draughts	Šaškės
Dresden	Dresdenas
Dromedary	Vienkupris kupranugaris
Drought	Sausra
Drug addiction	Narkomanija
Druid	Druidas
Drum	Būgnas
Dubai	Dubajus
Dublin	Dublinas
Dubnium	Dubnis
Dubrovnik	Dubrovnikas
Duck	Antis
Duke University	Duke universitetas
Dune	Kopa
Duodenum	Dvylikapirštė žarna
Durban	Durbanas
Dushanbe	Dušanbė
Dutch people	Kategorija:Nyderlandų asmenybės
Dwight D. Eisenhower	Dwight Eisenhower
Dynamite	Dinamitas
Dynasty	Dinastija
Dysprosium	Disprozis
E	E
E (mathematical constant)	Skaičius e
E-mail	Elektroninis paštas
E. T. A. Hoffmann	Ernst Theodor Amadeus Hoffman
ETA	ETA
Eagle	Ereliai
Ear	Ausis
Eared seal	Ausytieji ruoniai
Earless seal	Tikrieji ruoniai
Earth	Žemė
Earthquake	Žemės drebėjimas
East	Rytai
East Germany	Vokietijos Demokratinė Respublika
East Timor	Rytų Timoras
East Timor	Kategorija:Rytų Timoras
Easter	Velykos
Ebola	Ebola
Ebro	Ebras
Eccentricity (mathematics)	Ekscentricitetas
Echidna	Echidniniai
Echidna (mythology)	Echidna (mitologija)
Echinoderm	Dygiaodžiai
Eclipse	Užtemimas
Eclipse (software)	Eclipse (kompiuterinė programa)
Ecliptic	Ekliptika
Ecological niche	Ekologinė niša
Ecology	Ekologija
Ecology	Kategorija:Ekologija
Economics	Ekonomika
Economics	Kategorija:Ekonomika
Economy	Ekonomika
Ecosystem	Ekosistema
Ecuador	Ekvadoras
Ecuador	Kategorija:Ekvadoras
Ecumenical council	Visuotinis Bažnyčios susirinkimas
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edinburgas
Edirne	Edirnė
Edmonton	Edmontonas
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmundas Huserlis
Edo	Edas
Education	Švietimas
Education	Kategorija:Švietimas
Edvard Grieg	Edvardas Grygas
Edward Jenner	Edward Jenner
Edward Teller	Edvardas Teleris
Edwin Hubble	Edvinas Hablas
Eel	Unguriažuvės
Egg (biology)	Kiaušinis
Eggplant	Baklažanas
Egypt	Egiptas
Egypt	Kategorija:Egiptas
Egyptian pound	Egipto svaras
Eiffel Tower	Eifelio bokštas
Eindhoven	Eindhovenas
Einsteinium	Einšteinis
Ejaculation	Ejakuliacija
El Greco	El Greco
El Paso	El Pasas
El Salvador	Salvadoras
El Salvador	Kategorija:Salvadoras
Elam	Elamas
Elbe	Elbė
Election	Rinkimai
Electra	Elektra (mitologija)
Electric charge	Elektros krūvis
Electric current	Elektros srovė
Electric field	Elektrinis laukas
Electric guitar	Elektrinė gitara
Electric motor	Elektros variklis
Electrical engineering	Elektrotechnika
Electrical resistance	Elektrinė varža
Electricity	Elektra
Electrocardiogram	Elektrokardiografija
Electrolysis	Elektrolizė
Electromagnetic radiation	Elektromagnetinė banga
Electromagnetism	Kategorija:Elektromagnetizmas
Electron	Elektronas
Electron microscope	Elektroninis mikroskopas
Electronegativity	Elektroneigiamumas
Electronics	Elektronika
Electronics	Kategorija:Elektronika
Element	Elementas
Elementary particle	Elementarioji dalelė
Elephant	Straubliniai
Elf	Elfai
Elijah	Elijas
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Elipsė
Ellipsis	Daugtaškis
Elm	Guoba
Elvis Presley	Elvis Presley
Embryo	Gemalas
Embryology	Embriologija
Emerald	Smaragdas
Emilia-Romagna	Emilija-Romanija
Emiliano Zapata	Emiliano Zapata
Emir	Emyras
Emma Goldman	Ema Goldman
Emoticon	Šypsenėlė
Emotion	Emocija
Emotion	Kategorija:Emocijos
Empathy	Empatija
Empedocles	Empedoklis
Emperor Penguin	Imperatoriškasis pingvinas
Empire State Building	Empire State Building
Empiricism	Empirizmas
Emu	Emu
Emulator	Emuliatorius
Emulsion	Emulsija
Encyclopedia	Enciklopedija
Endocrine system	Endokrininė sistema
Endocrinology	Endokrinologija
Endocrinology	Kategorija:Endokrinologija
Energy	Energija
Energy (society)	Energija
Engine	Variklis
Engineering	Inžinerija
England	Anglija
England	Kategorija:Anglija
English Channel	Lamanšo sąsiauris
English Civil War	Anglijos pilietinis karas
English language	Anglų kalba
English people	Kategorija:Anglijos asmenybės
English people	Anglai
Enrico Fermi	Enrico Fermi
Entertainment	Kategorija:Pramogos
Entomology	Entomologija
Entomology	Kategorija:Entomologija
Entropy	Entropija
Environment	Aplinka
Enzyme	Fermentas
Eon (geology)	Eonas
Eos	Eos
Epic poetry	Epas
Epictetus	Epiktetas
Epicurus	Epikūras
Epidemic	Epidemija
Epidemiology	Epidemiologija
Epilepsy	Epilepsija
Epimetheus (mythology)	Epimetėjas
Epinephrine	Adrenalinas
Epirus (periphery)	Epyras
Epistemology	Epistemologija
Epithelium	Epitelinis audinys
Epsilon	Epsilon (raidė)
Equation	Lygtis
Equator	Pusiaujas
Equatorial Guinea	Pusiaujo Gvinėja
Equatorial Guinea	Kategorija:Pusiaujo Gvinėja
Equidae	Arkliai
Equinox	Lygiadienis
Equisetum	Asiūklis
Erasure	Erasure
Erato	Erata
Eratosthenes	Eratostenas
Erbium	Erbis
Erebus	Erebas
Erectile dysfunction	Impotencija
Erection	Erekcija
Ericaceae	Erikiniai
Ericales	Erikiečiai
Eridanus (constellation)	Eridanas (astronomija)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (dwarf planet)	Eridė (nykštukinė planeta)
Eris (mythology)	Eridė
Eritrea	Kategorija:Eritrėja
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner von Siemens
Eros (mythology)	Erotas
Erosion	Erozija
Erotica	Erotika
Esfahan	Isfahanas
Esophagus	Stemplė
Esperanto	Esperanto
Esperanto	Kategorija:Esperanto
Espoo	Espas
Essay	Esė
Essen	Esenas
Essential oil	Eterinis aliejus
Essex	Eseksas
Ester	Esteriai
Estonia	Kategorija:Estija
Estrogen	Estrogenai
Eta (letter)	Eta (raidė)
Etching	Ofortas
Ethane	Etanas
Ethanol	Etanolis
Ethernet	Ethernet
Ethics	Etika
Ethics	Kategorija:Etika
Ethiopia	Etiopija
Ethiopia	Kategorija:Etiopija
Ethnography	Etnografija
Ethnology	Kategorija:Etnologija
Ethology	Etologija
Ethylene	Etenas
Etymology	Etimologija
Eucalyptus	Eukaliptas
Eucharist	Eucharistija
Euclid	Euklidas
Eukaryote	Eukariotas
Euphemism	Eufemizmas
Euphrates	Eufratas
Eurasia	Eurazija
Eurasian Badger	Barsukas
Euripides	Euripidas
Euro	Euras
Europa (moon)	Europa (palydovas)
Europa (mythology)	Europa (mitologija)
Europe	Europa
Europe	Kategorija:Europa
European Central Bank	Europos Centrinis Bankas
European Community	Europos Ekonominė Bendrija
European Magpie	Šarka
European Union	Europos Sąjunga
European Union	Kategorija:Europos Sąjunga
Europium	Europis
Euterpe	Euterpė
Euthanasia	Eutanazija
Evanescence	Evanescence
Evaporation	Garavimas
Even-toed ungulate	Porakanopiai
Evolution	Evoliucija
Exchange rate	Valiutos kursas
Exclamation mark	Šauktukas
Excommunication	Ekskomunika
Executive (government)	Vykdomoji valdžia
Exhibitionism	Ekshibicionizmas
Existentialism	Egzistencializmas
Expo (exhibition)	Pasaulinė paroda
Expressionism	Ekspresionizmas
Eye	Akis
F	F
Fabaceae	Pupiniai
Fable	Pasakėčia
Face	Veidas
Fact	Šablonas:Faktas
Factorial	Faktorialas
Facula	Saulės dėmė
Fado	Fado
Fagaceae	Kategorija:Bukiniai
Fagales	Bukiečiai
Fair use	Fair use
Fairy	Fėja
Falcon	Sakalai
Falconiformes	Sakaliniai paukščiai
Falkland Islands	Folklando (Malvinų) Salos
Fallacy	Argumentacijos klaida
Fallopian tube	Kiaušintakis
Fallow Deer	Danielius
Falun Gong	Falun Gong
Family	Kategorija:Šeima
Family (biology)	Šeima
Family name	Pavardė (asmenvardis)
Fantasy	Maginė fantastika
Farad	Faradas
Faroe Islands	Kategorija:Farerų salos
Fascism	Fašizmas
Fashion	Mada
Fear	Baimė
Feather	Plunksna
February	Vasaris
February 12	Vasario 12
February 14	Vasario 14
February 2	Vasario 2
February 22	Vasario 22
February 29	Vasario 29
February Revolution	Vasario Revoliucija
Feces	Išmatos
Federal Bureau of Investigation	Federalinis Tyrimų Biuras
Federated States of Micronesia	Mikronezijos Federacinės Valstijos
Federation	Federacija
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feedback	Grįžtamasis ryšys
Feldspar	Lauko špatas
Felidae	Katiniai
Felix Mendelssohn	Feliksas Mendelsonas
Feminism	Feminizmas
Feminism	Kategorija:Feminizmas
Feng shui	Feng Shui
Fenrir	Fenris
Ferdinand II	Imperatorius Ferdinandas II
Ferdinand Magellan	Ferdinandas Magelanas
Fermentation (biochemistry)	Fermentacija
Fermentation (food)	Fermentacija
Fermion	Fermionas
Fermium	Fermis
Fern	Papartūnai
Ferrara	Ferara
Ferry	Keltas
