English	Irish
Mexico	Meicsiceo
Mexico	Catagóir:Meicsiceo
Michigan	Michigan
Michigan	Catagóir:Michigan
Mick Jagger	Mick Jagger
Microbiology	Micribhitheolaíocht
Microscopium	An Micreascóp
Microwave oven	Micreathonnán
Miguel de Cervantes	Miguel de Cervantes
Mikhail Gorbachev	Míchail Gorbaitsov
Milan	Milano
Milk	Bainne
Milky Way	Bealach na Bó Finne
Millard Fillmore	Millard Fillmore
Mineral	Mianra
Minneapolis	Minneapolis, Minnesota
Minnesota	Minnesota
Minnesota	Catagóir:Minnesota
Minsk	Minsc
Mississippi River	Abhainn Mississippi
Missouri	Missouri
Mobile phone	Fón póca
Modem	Móideim
Mogadishu	Mogaidisiú
Moldova	An Mholdóiv
Molecule	Móilín
Molise	Molise
Monaco	Monacó
Monarchy	Monarcacht
Monday	Luan
Mongolia	An Mhongóil
Mongolia	Catagóir:An Mhongóil
Montana	Montana
Monte Carlo	Monte Carlo
Montenegro	Montainéagró
Montgomery	Montgomery, Alabama
Montreal	Montréal
Montserrat	Montsarat
Moon	An Ghealach
Morocco	Maracó
Morpheme	Moirféim
Moscow	Moscó
Mosque	Mosc
Mount Everest	Teomólongma
Mount Kilimanjaro	Cilimeaindearó
Mountain	Sliabh
Mountain range	Sliabhraon
Mozambique	Mósaimbíc
Mu (letter)	Mú
Muhammad Ali	Muhammad Ali
Multimedia	Ilmheáin
Mumbai	Mumbai
Musca	An Chuileog
Mushroom	Fungas
Music	Ceol
Music	Catagóir:Ceol
Musician	Ceoltóir
Mycology	Míceolaíocht
Mythology	Miotaseolaíocht
NATO	Eagraíocht Chonradh an Atlantaigh Thuaidh
Nairobi	Nairobi
Namibia	An Namaib
Naples	Napoli
Nation	Náisiún
National anthem	Amhrán náisiúnta
Nationalism	Náisiúnachas
Nauru	Nárú
Nebraska	Nebraska
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Neon	Neon
Nepal	Neipeal
Neptune	Neiptiún (pláinéad)
Nero	Nearó
Netherlands	An Ísiltír
Neurology	Néareolaíocht
Neuron	Cillín néarach
Neutron	Neodrón
Neutron star	Neodrónréalta
Nevada	Nevada
Nevada	Catagóir:Nevada
Neville Chamberlain	Neville Chamberlain
New England	Sasana Nua
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	Nua-Mheicsiceo
New Orleans	New Orleans, Louisiana
New South Wales	New South Wales
New York	Nua-Eabhrac (stát)
New York (disambiguation)	Nua-Eabhrac
New York City	Nua-Eabhrac (cathair)
New Zealand	An Nua-Shéalainn
Newfoundland (island)	Talamh an Éisc
Newfoundland and Labrador	Talamh an Éisc agus Labradóir
Newport	Casnewydd
Niagara Falls	Eas Niagara
Nicaragua	Nicearagua
Nicolaus Copernicus	Nicolaus Copernicus
Nicosia	An Leafcóis
Niels Bohr	Niels Bohr
Niger	An Nígir
Nigeria	An Nigéir
Nihilism	Nihilí
Nikita Khrushchev	Nikita Khrushchev
Nile	An Níl
Nitrogen	Nítrigin
Nix (moon)	Nix
Noam Chomsky	Noam Chomsky
Nobel Prize	Duais Nobel
Norfolk	Norfolk
Norma (constellation)	An Riail
Normandy	An Normainn
North America	Meiriceá Thuaidh
North America	Catagóir:Meiriceá Thuaidh
North Carolina	Carolina Thuaidh
North Dakota	Dakota Thuaidh
North Korea	An Chóiré Thuaidh
North Sea	An Mhuir Thuaidh
North Yorkshire	Yorkshire Thuaidh
Northern Ireland	Tuaisceart Éireann
Northern Territory	Críoch an Tuaiscirt
Norway	An Iorua
Nova Scotia	Albain Nua
Novel	Úrscéal
November	Samhain
November 1	1 Samhain
November 11	11 Samhain
November 2	2 Samhain
November 5	5 Samhain
Nu (letter)	Nú
Nucleon	Núicléón
Nunavut	Nunavut
OPEC	Eagraíocht Tíortha Onnmhairithe an Pheitriliam
Oceania	An Aigéine
Octans	An tOchtamhán
October	Deireadh Fómhair
October 12	12 Deireadh Fómhair
October 24	24 Deireadh Fómhair
October Revolution	Réabhlóid Dheireadh Fómhair
Odyssey	An Odaisé
Ohio	Ohio
Ohm's law	Dlí Ohm
Oklahoma	Oklahoma
Oliver Cromwell	Oilibhéar Cromail
Olympia	Olympia
Olympic Games	Cluichí Oilimpeacha
Oman	Óman
Omicron	Oimeacrón
Ontario	Ontario
Ontology	Onteolaíocht
Oort cloud	Scamall Oort
Opera	Ceoldráma (opera)
Operating system	Córas oibriúcháin
Ophiuchus	Fear na bPéisteanna
Oregon	Oregon
Orion (constellation)	An Bodach
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Oslo	Osló
Ottawa	Ottawa
Otto von Bismarck	Otto von Bismarck
Ovid	Óivid
Oxford	Oxford
Oxygen	Ocsaigin
Pablo Picasso	Pablo Picasso
Pacific Ocean	An tAigéan Ciúin
Pakistan	An Phacastáin
Palace of Versailles	Pálás Versailles
Palau	Palau
Palermo	Palermo
Palestine	An Phalaistín
Panama	Panama
Papua New Guinea	Nua-Ghuine Phapua
Paracelsus	Paracelsus
Paraguay	Paragua
Paranoia	Paranóia
Paris	Páras
Parliament	Parlaimint
Paul McCartney	Paul McCartney
Paul the Apostle	Naomh Pól
Pavo (constellation)	An Phéacóg
Pegasus (constellation)	Peigeasas (réaltbhuíon)
Peloponnesian War	Cogadh na Peilipinéise
Pennsylvania	Pennsylvania
People's Republic of China	Daon-Phoblacht na Síne
Perciformes	Perciform
Periodic table	Tábla peiriadach
Pernambuco	Pernambuco
Perth	Perth
Peru	Peiriú
Phi (letter)	Fí
Philippines	Na hOileáin Fhilipíneacha
Philosophy	Fealsúnacht
Phoenix	Phoenix, Arizona
Phoenix (constellation)	An Féinics
Phoneme	Fóinéim
Phosphorus	Fosfar
Photography	Grianghrafadóireacht
Photon	Fótón
Phylum	Fíleam
Physician	Dochtúir leighis
Physics	Fisic
Physics	Catagóir:Fisic
Pi (letter)	Pí
Pictor	An Péintéir
Pidgin	Nasctheanga
Piedmont	Piedmont (na hIodáile)
Pisa	Pisa
Pisces (constellation)	Na hÉisc
Pixel	Picteilín
Pizza	Píotsa
Planet	Pláinéad
Plant	Planda
Plato	Platón
Pluto	Plútón (abhacphláinéad)
Plutonium	Plútóiniam
Plymouth	Plymouth
Podcast	Podchraolachán
Poetry	Filíocht
Poland	An Pholainn
Poland	Catagóir:An Pholainn
Politics	Polaitíocht
Politics	Catagóir:Polaitíocht
Polonium	Polóiniam
Pope	Pápa
Portugal	An Phortaingéil
Portugal	Catagóir:An Phortaingéil
Potassium	Potaisiam
Prague	Prág
Precession	Luainíocht
President of the United States	Uachtarán na Stát Aontaithe
Prime minister	Príomh-Aire
Prime number	Uimhir phríomha
Prokaryote	Prócarót
Protestant Reformation	Athleasú Creidimh
Protestantism	Protastúnachas
Protist	Prótaisteach
Proton	Prótón
Prussia	An Phrúis
Psychiatry	Síciatracht
Psychology	Síceolaíocht
Psychology	Catagóir:Síceolaíocht
Ptolemy	Tolamaes
Puerto Rico	Pórtó Rice
Puppis	Deireadh na Loinge
Pyongyang	Pyongyang
Pyrenees	Piréiní
Pythagoras	Píotagarás
Pyxis	Compás an Mhairnéalaigh
Qatar	Catar
Quark	Cuarc
Quebec	Québec
Queens	Queens
Queensland	Queensland
Rabat	Rabat
Racism	Ciníochas
Radio	Catagóir:Raidió
Radioactive decay	Meath radaighníomhach
Radon	Radón
Random access memory	Cuimhne randamrochtana
Religion	Creideamh
Religion	Catagóir:Reiligiún
Religious Society of Friends	Cumann na gCarad
Renaissance	An Renaissance
Republic	Poblacht
Republic of Ireland	Poblacht na hÉireann
Republic of Ireland	Catagóir:Éire
Republic of the Congo	Poblacht an Chongó
Republican Party (United States)	Páirtí Poblachtach (Stáit Aontaithe)
Reticulum	An Líontán
Rho (letter)	Ró
Rhode Island	Oileán Rhode
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Riga	Ríge
Ringo Starr	Ringo Starr
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (state)	Rio de Janeiro (stát)
River Thames	Abhainn na Tamaise
Riyadh	Riyadh
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert Anson Heinlein
Robert Boyle	Robert Boyle
Robert Koch	Robert Koch
Robin Hood	Robin Hood
Rock	Cloch, Páipéar, Siosúr
Rocket	Roicéad
Roman Catholic Church	Eaglais Chaitliceach Rómhánach
Romania	An Rómáin
Rome	An Róimh
Ronald Reagan	Ronald W. Reagan
Rosa Parks	Rosa Parks
Router	Ródaire
Rubidium	Rúbaidiam
Rugby football	Rugbaí
Russia	An Rúis
Russia	Catagóir:An Rúis
Russian Revolution (1917)	Réabhlóid na Rúise 1917
Rutherford B. Hayes	Rutherford B. Hayes
Rwanda	Ruanda
Sacramento	Sacramento
Saddam Hussein	Saddam Hussein
Sagitta	An tSaighead
Sagittarius (constellation)	An Saighdeoir
Sahara	An Sahára
Saint Andrew	Naomh Aindriú
Saint Kitts and Nevis	San Críostóir-Nimheas
Saint Lucia	San Lúisia
Saint Patrick	Naomh Pádraig
Saint Paul	Saint Paul, Minnesota
Saint Peter	Naomh Peadar
Saint Petersburg	Cathair Pheadair
Saint Vincent and the Grenadines	San Uinseann agus na Greanáidíní
Saladin	Saladin
Salvador	Salvador
Samoa	Samó
Samuel Beckett	Samuel Beckett
San Diego	San Diego, California
San Francisco	San Francisco, California
San Juan	San Juan
San Marino	San Mairíne
Sanskrit	Sanscrait
Santa Fe	Santa Fe, Nua-Mheicsiceo
Santiago	Santiago de Chile
Sarajevo	Sairéavó
Sardinia	An tSairdín
Saturday	Satharn
Saturn	Satarn (pláinéad)
Saudi Arabia	An Araib Shádach
Saul Bellow	Saul Bellow
Saxony	An tSacsain
Scandinavia	Críoch Lochlann
Science	Eolaíocht
Science	Catagóir:Eolaíocht
Scorpius	An Scairp
Scotland	Albain
Scottish Gaelic	Gaeilge na hAlban
Sculptor (constellation)	An Dealbhóir
Seattle	Seattle
Second	Soicind
Selenium	Seiléiniam
Senegal	An tSeineagáil
Seoul	Seoul
September	Meán Fómhair
September 11	11 Meán Fómhair
September 11	9/11
September 17	17 Meán Fómhair
September 29	29 Meán Fómhair
Serbia	An tSeirbia
Serpens	An Phéist
Seven Years' War	Cogadh na Seacht mBliana
Seville	Sevilla
Seychelles	Na Séiséil
Shanghai	Shang-hai
Sheffield	Sheffield
Sicily	An tSicil
Sierra Leone	Siarra Leon
Sigma	Sigme
Sigmund Freud	Sigmund Freud
Sign language	Teanga chomharthaíochta
Silicon	Sileacan
Silver	Airgead (dúil)
Simone de Beauvoir	Simone de Beauvoir
Singapore	Singeapór
Sitting Bull	Tarbh Suite
Slovakia	An tSlóvaic
Slovenia	An tSlóivéin
Snooker	Snúcar
Socialism	Sóisialachas
Sociolinguistics	Sochtheangeolaíocht
Sociology	Socheolaíocht
Socrates	Sócraitéas
Sodium	Sóidiam
Software	Catagóir:Bogearraí
Solar System	Grianchóras
Somalia	An tSomáil
Soul	Anam
Sound	Fuaim
South America	Meiriceá Theas
South America	Catagóir:Meiriceá Theas
South Carolina	Carolina Theas
South Dakota	Dakota Theas
South Korea	An Chóiré Theas
Soviet Union	An tAontas Sóivéadach
Spain	An Spáinn
Spain	Catagóir:An Spáinn
Spanish Civil War	Cogadh Cathartha na Spáinne
Sparta	Sparta
Spermatophyte	Spermatophyta
Sport	Spórt
Sri Lanka	Srí Lanca
St. Louis	St. Louis
State	Tír
Staten Island	Oileán Staten, Nua Eabhrac
Statistics	Staidreamh
Steel	Cruach (miotal)
Stephen Hawking	Stephen Hawking
Sting	Sting
Stockholm	Stócólm
Stub	Teimpléad:Stumpa
Sudan	An tSúdáin
Sudoku	Sūdoku
Sulfur	Sulfar
Sun	An Ghrian
Sunday	Domhnach
Supernova	Ollnóva
Surgeon	Máinliacht
Surgery	Máinliacht
Suriname	Suranam
Swallow	Fáinleog
Swaziland	An tSuasalainn
Sweden	An tSualainn
Switzerland	An Eilvéis
Sydney	Sydney
Syria	An tSiria
Taj Mahal	Taj Mahal
Tajikistan	An Táidsíceastáin
Tallahassee	Tallahassee
Tallinn	Tallinn
Tampere	Tampere
Tanzania	An Tansáin
Tasmania	An Tasmáin
Tau	Tó
Taurus (constellation)	an Tarbh
Tbilisi	Tbilisi
Tegucigalpa	Tegucigalpa
Tehran	Tehran
Telecommunication	Teileachumarsáid
Telescopium	An Teileascóp
Television	Teilifís
Tellurium	Teallúiream
Tennessee	Tennessee
Tennis	Leadóg
Tethys (moon)	Tethys
Texas	Texas
Texas	Catagóir:Texas
Thailand	An Téalainn
Thales	Tailéas
Thallium	Tailliam
The Gambia	An Ghaimbia
The Hague	An Háig
Theodore Roosevelt	Theodore Roosevelt
Theta	Téite
Thomas Aquinas	Tomás ó Aquino
Thomas Edison	Thomas Edison
Thomas Jefferson	Thomas Jefferson
Thomas Mann	Thomas Mann
Thomas More	Thomas More
Thucydides	Thucydides
Thuringia	Thüringen
Thursday	Déardaoin
Tiber	Tibir
Tibet	Catagóir:An Tibéid
Timur	Timur Bacach
Tin	Stán
Tocantins (state)	Tocantins
Togo	Tóga
Toledo	Toledo
Tom Hanks	Tom Hanks
Tonga	Tonga
Tongue	Teanga (anatamaíocht)
Tony Blair	Tony Blair
Torah	Tóra
Toronto	Torontó
Tower of London	Túr Londan
Train	Traein
Tram	Tram
Transportation	Catagóir:Iompar
Trento	Trento
Triangulum	An Triantán
Triangulum Australe	Triantán an Deiscirt
Trinidad and Tobago	Oileán na Tríonóide agus Tobága
Trinity	Tríonóid
Trombone	Trombón
Troy	Traoi
Trumpet	Trumpa
Truth	Fírinne
Tsunami	Súnámaí
Tuberculosis	Eitinn
Tucana	An Túcán
Tuesday	Máirt
Tunicate	Urochordata
Tunisia	An Túinéis
Turkey	An Tuirc
Turkmenistan	An Tuircméanastáin
Tuscany	An Tuscáin
Tuvalu	Tuvalu
UNESCO	UNESCO
Uganda	Uganda
Ukraine	An Úcráin
Ulan Bator	Ulánbátar
Ulster	Cúige Uladh
Ulysses S. Grant	Ulysses S. Grant
Umbria	Umbria
Unidentified flying object	Úfó
United Arab Emirates	Aontas na nÉimíríochtaí Arabacha
United Kingdom	An Ríocht Aontaithe
United Kingdom	Catagóir:Ríocht Aontaithe
United Nations	Náisiúin Aontaithe
United States	Stáit Aontaithe Mheiriceá
United States	Catagóir:Stáit Aontaithe Mheiriceá
United States Senate	Seanad Stáit Aontaithe Mheiriceá
University	Ollscoil
Ununhexium	Únúinheicsiam
Upsilon	Upsalón
Uranium	Úráiniam
Uranus	Úránas (pláinéad)
Urdu	Urdais
Ursa Major	An Béar Mór
Ursa Minor	An Béar Beag
Uruguay	Uragua
Utah	Utah
Utrecht (city)	Utrecht (cathair)
Utrecht (province)	Utrecht (cúige)
Uzbekistan	An Úisbéiceastáin
Valletta	Vaileite
Vancouver	Vancouver
Vanuatu	Vanuatú
Vatican City	Cathair na Vatacáine
Vega	Vega (réalta)
Vela (constellation)	Na Seolta
Veneto	Veneto
Venezuela	Veiniséala
Venice	An Veinéis
Venus	Véineas (pláinéad)
Venus (disambiguation)	Véineas
Vermont	Vermont
Vertebrate	Veirteabrach
Victor Hugo	Victor Hugo
Victoria	Victoria, an Cholóim Bhriotanach
Victoria (Australia)	Victoria (stát)
Victoria Falls	Mosi-oa-Tunya
Video	Físeán
Vienna	Vín
Vietnam	Vítneam
Vietnam	Catagóir:Vítneam
Vietnam War	Cogadh Vítneam
Viking	Na Lochlannaigh
Vilnius	Vilnias
Vincent van Gogh	Vincent van Gogh
Virgil	Veirgil
Virginia	Virginia
Virgo (constellation)	An Mhaighdean
Virus	Víreas
Vladimir Lenin	Vlaidímír Léinín
Vladimir Putin	Vladímír Pútín
Volans	An tIasc Eitilte
Voltaire	Voltaire
Vulpecula	An Sionnach
Wales	An Bhreatain Bheag
Wales	Catagóir:An Bhreatain Bheag
Walt Disney	Walt Disney
Walter Scott	Walter Scott
Wars of the Roses	Cogadh na Rósanna
Warsaw	Vársá
Washington	Washington
Water	Uisce
Weather	Aimsir (meitéareolaíocht)
Web browser	Brabhsálaí gréasáin
Wednesday	Céadaoin
Weimar Republic	Poblacht Weimar
West Virginia	Virginia Thiar
Western Australia	Iarthar na hAstráile
Whisky	Uisce beatha
Wide area network	Líonra achair fhairsing
William Butler Yeats	W. B. Yeats
William Gladstone	William Ewart Gladstone
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William Howard Taft	William H. Taft
William II	Uilliam II na Gearmáine
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
Wine	Fíon
Winston Churchill	Winston Churchill
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woman	Bean
Woodrow Wilson	Woodrow Wilson
Woody Allen	Woody Allen
World War I	An Chéad Chogadh Domhanda
World War II	An Dara Cogadh Domhanda
World War II	Catagóir:An Dara Cogadh Domhanda
World Wide Web	Gréasán Domhanda
Wyoming	Wyoming
Xenon	Xeanón
Xenophon	Xenophon
Xi	Xí
Yasser Arafat	Iasar Arafat
Year	Bliain
Yemen	Poblacht Éimin
York	Eabhrac
Yuri Gagarin	Yuri Gagarin
Zachary Taylor	Zachary Taylor
Zaragoza	Zaragoza
Zeta	Zéite
Zimbabwe	An tSiombáib
Zimbabwe	Catagóir:An tSiombáib
Zinc	Sinc
Zombie	Zombaí
Zoology	Zó-eolaíocht
Zoroaster	Sorastar
Zoroastrianism	Sorastrachas
