Latin	English
Discus varius digitalis	DVD
Daedalus	Daedalus
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallasium	Dallas
Moles (agger)	Dam
Damascus	Damascus
Saltatio	Dance
Daniel Defoe	Daniel Defoe
Dantes Alagherius	Dante Alighieri
Danubius	Danube
Materia nigra	Dark matter
Darmstadtium	Darmstadtium
Darwin (discretiva)	Darwin
Dativus	Dative case
David (Rex)	David
David Humius	David Hume
Dies	Day
Categoria:Dies	Days
Diaconus	Deacon
Mare Mortuum	Dead Sea
Solanum	Deadly nightshade
Mors	Death
Decennium	Decade
December	December
31 Decembris	December 31
8 Decembris	December 8
Decius	Decius (emperor)
Declinatio (astronomia)	Declination
Cervidae	Deer
Dimos (satelles)	Deimos (moon)
Delevaria	Delaware
Delphi (urbs Bataviae)	Delft
Delphi (urbs Graeciae)	Delphi
Delphinus (sidus)	Delphinus
Delta	Delta (letter)
Demeter	Demeter
Democratia	Democracy
Factio Democratica (CFA)	Democratic Party (United States)
Respublica Popularis Congensis	Democratic Republic of the Congo
Democritus	Democritus
Daemon	Demon
Demosthenes	Demosthenes
Dionysius Diderot	Denis Diderot
Dania	Denmark
Categoria:Dania	Denmark
Densitas et Spissitudo	Density
Denverium (Coloratum)	Denver
Dermatologia	Dermatology
Deserta	Desert
Desiderius Erasmus Roterodamus	Desiderius Erasmus
Detroitum	Detroit
Deuteronomium	Deuteronomy
Devonia	Devon
Aevum Devonianum	Devonian
Dacca	Dhaka
Dialectos	Dialect
Dialectica	Dialectic
Adamas	Diamond
Diana Francisca Spencer	Diana
Diana	Diana (mythology)
Alvei profluvium	Diarrhea
Alea	Dice
Dictatura	Dictatorship
Lexicon	Dictionary
Theodoricus Bonhoeffer	Dietrich Bonhoeffer
Categoria:Apparatus digestorius	Digestive system
Divio	Dijon
Anethum	Dill
Dinosauria	Dinosaur
Episcopatus	Diocese
Diocletianus	Diocletian
Diodus	Diode
Diphtheria	Diphtheria
Disaccharides	Disaccharide
Categoria:Discretiva	Disambiguation
Discimpositor	Disc jockey
Morbus	Disease
Categoria:Dzibutum	Djibouti
Urbs Dzibutum	Djibouti (city)
Demetrius Mendeleev	Dmitri Mendeleev
Demetrius Sostakovic	Dmitri Shostakovich
Danapris	Dnieper River
Doctor Ecclesiae	Doctor of the Church
Dodecanesus	Dodecanese
Dodoma	Dodoma
Canis	Dog
Dogma	Dogma
Delphinus	Dolphin
Cupola	Dome
Liber de Wintonia	Domesday Book
Dominicani	Dominican Order
Respublica Dominicana	Dominican Republic
Categoria:Respublica Dominicana	Dominican Republic
Domitianus	Domitian
Tanais	Don River (Russia)
Donaldus Anas	Donald Duck
Donatellus Florentinus	Donatello
Asinus	Donkey
Ianua	Door
Dorado (sidus)	Dorado
Dorothea Lessing	Doris Lessing
Tremonia	Dortmund
Douglas MacArthur	Douglas MacArthur
Dubris	Dover
Draco (sidus)	Draco (constellation)
Draco	Dragon
Damicus ludus	Draughts
Dresda	Dresden
Potio	Drink
Camelus dromedarius	Dromedary
Aritudo	Drought
Eblana	Dublin
Dubnium	Dubnium
Ragusa	Dubrovnik
Anas (avis)	Duck
Dugon	Dugong
Universitas Dukiana	Duke University
Dunquerca	Dunkirk
Duodenum	Duodenum
Durbanum	Durban
Dustin Hoffman	Dustin Hoffman
Dwight D. Eisenhower	Dwight D. Eisenhower
Dysprosium	Dysprosium
E	E
Numerus Euleri	E (mathematical constant)
Euskadi Ta Askatasuna	ETA
Aquila	Eagle
Auris	Ear
Tellus (planeta)	Earth
Categoria:Terra	Earth
Terrae motus	Earthquake
Res publica Democratica Germanica	East Germany
Timoria Orientalis	East Timor
Pascha (festum Christianum)	Easter
Ecclesiae Orthodoxae	Eastern Orthodox Church
Ebola febris haemorrhagica	Ebola
Hiberus	Ebro
Eccentricitas	Eccentricity (mathematics)
Liber Ecclesiastes	Ecclesiastes
Echidna	Echidna (mythology)
Defectio solis	Eclipse
Oecologia	Ecology
Oeconomia	Economics
Categoria:Oeconomia	Economics
Aequatoria	Ecuador
Categoria:Aequatoria	Ecuador
Oecumenicum Concilium	Ecumenical council
Edgarus Allan Poe	Edgar Allan Poe
Edimburgum	Edinburgh
Hadrianopolis	Edirne
Edmundus Halley	Edmond Halley
Edmundopolis	Edmonton
Edmundus Burke	Edmund Burke
Edmundus Hillary	Edmund Hillary
Edmundus Husserl	Edmund Husserl
Eduardus Grieg	Edvard Grieg
Eduardus Munch	Edvard Munch
Eduardus Gibbon	Edward Gibbon
Eduardus Iennerus	Edward Jenner
Eduardus Confessor (rex Anglorum)	Edward the Confessor
Anguilliformes	Eel
Ovum	Egg (biology)
Melongena	Eggplant
Aegyptus	Egypt
Categoria:Aegyptus	Egypt
Turris Eiffelia	Eiffel Tower
Einsteinium	Einsteinium
Rodericus Didaci	El Cid
El Greco	El Greco
Passus, Texiae	El Paso
Salvatoria	El Salvador
Albis	Elbe
Onus electricum	Electric charge
Fluxio electrica	Electric current
Cithara electrica	Electric guitar
Electrochemia	Electrochemistry
Physica electromagnetica	Electromagnetism
Electron	Electron
Electronica	Electronics
Categoria:Electronica	Electronics
Poësis elegiaca	Elegy
Elementum (discretiva)	Element
Elephantidae	Elephant
Teleferica	Elevator
Alfus	Elf
Elias Canetti	Elias Canetti
Elizabeth Rosamunda Taylor	Elizabeth Taylor
Ulmus	Elm
Elvis Presley	Elvis Presley
Smaragdus (lapis)	Emerald
Aemilia et Romania	Emilia-Romagna
Amiralis	Emir
Emma Goldman	Emma Goldman
Motus animi	Emotion
Empedocles	Empedocles
Imperator	Emperor
Aedificium Civitatis Imperialis	Empire State Building
Encyclopaedia	Encyclopedia
Energia	Energy
Energia	Energy (society)
Anglia	England
Categoria:Anglia	England
Oceanus Britannicus	English Channel
Bellum Civile Anglicum	English Civil War
Lingua Anglica	English language
Henricus Caruso	Enrico Caruso
Henricus Fermi	Enrico Fermi
Entomologia	Entomology
Enzymum	Enzyme
Eos	Eos
Ephesus	Ephesus
Poesis epica	Epic poetry
Epictetus	Epictetus
Epicurus	Epicurus
Epidemia	Epidemic
Epigraphia	Epigraphy
Adrenalinum	Epinephrine
Sollemnitas Epiphaniae Domini	Epiphany (Christian)
Epirus	Epirus (periphery)
Epistemologia	Epistemology
Epistula ad Galatas	Epistle to the Galatians
Epistula ad Romanos	Epistle to the Romans
Epsilon	Epsilon
Aequatio	Equation
Linea aequatorialis	Equator
Guinea Aequatorensis	Equatorial Guinea
Equidae	Equidae
Erato	Erato
Erbium	Erbium
Impotentia erecti	Erectile dysfunction
Ericaceae	Ericaceae
Ericales	Ericales
Eridanus (sidus)	Eridanus (constellation)
Ericus Satie	Erik Satie
Eris (planetula)	Eris (dwarf planet)
Eris	Eris (mythology)
Categoria:Erythraea	Eritrea
Ernestus Rutherford	Ernest Rutherford
Ervinus Rommel	Erwin Rommel
Aspadana	Esfahan
Oesophagus	Esophagus
Esperanto	Esperanto
Espo	Espoo
Assindia	Essen
Ester	Ester
Categoria:Estonia	Estonia
Eta (littera)	Eta (letter)
Ethanum	Ethane
Ethanol	Ethanol
Aether (chemica)	Ether
Ethica	Ethics
Aethiopia	Ethiopia
Categoria:Aethiopia	Ethiopia
Categoria:Ethnologia	Ethnology
Ethenum	Ethylene
Etymologia	Etymology
Eucalyptus	Eucalyptus
Eucharistia	Eucharist
Euclides	Euclid
Eucaryota	Eukaryote
Euphrates	Euphrates
Eurasia	Eurasia
Euripides	Euripides
Euro	Euro
Europa (satelles)	Europa (moon)
Europa	Europe
Categoria:Europa	Europe
Argentaria Europaea centralis	European Central Bank
Pica	European Magpie
Unio Europaea	European Union
Categoria:Unio Europaea	European Union
Europium	Europium
Eusebius Pamphili	Eusebius of Caesarea
Euterpe	Euterpe
Eva Braun	Eva Braun
Evangelista Torricellius	Evangelista Torricelli
Artiodactyla	Even-toed ungulate
Evolutio	Evolution
Caliburnus	Excalibur
Exsistentialista	Existentialism
Liber Exodus	Exodus
Potentia (mathematica)	Exponentiation
Oculus	Eye
F	F
Fabaceae	Fabaceae
Vultus	Face
Fatum (musica)	Fado
Fagales	Fagales
Falco	Falcon
Falconiformes	Falconiformes
Insulae Malvinae	Falkland Islands
Categoria:Familia	Family
Familia (Taxon)	Family (biology)
Fascismus	Fascism
Categoria:Fascismus	Fascism
Categoria:Mos vestis	Fashion
Februarius	February
12 Februarii	February 12
14 Februarii	February 14
2 Februarii	February 2
22 Februarii	February 22
29 Februarii	February 29
Faeces	Feces
Systema aerarium foederale	Federal Reserve System
Fridericus Fellini	Federico Fellini
Felidae	Felidae
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Ferdinandus II	Ferdinand II
Ferdinandus Magellanus	Ferdinand Magellan
Ferdinandus de Saussure	Ferdinand de Saussure
Fermion	Fermion
Fermium	Fermium
Ferraria	Ferrara
Febris	Fever
Fiat	Fiat
Fidelis Castro	Fidel Castro
Patinaticum	Figure skating
Viti	Fiji
Philippus Brunelleschi	Filippo Brunelleschi
Categoria:Cinematographia	Film
Pellicula	Film
Moderator cinematographicus	Film director
Digitus	Finger
Finnia	Finland
Categoria:Finnia	Finland
Abies	Fir
Ignis	Fire
Sclopetum	Firearm
Concilium Constantinopolitanum Primum	First Council of Constantinople
Concilium Nicaenum Primum	First Council of Nicaea
Prima Cruciata	First Crusade
Epistula I ad Corinthios	First Epistle to the Corinthians
Piscis	Fish
Categoria:Pisces	Fish
Flamencum	Flamenco
Flandria	Flanders
Platyhelminthes	Flatworm
Lingua Flandrica	Flemish (linguistics)
Silex	Flint
Inundatio	Flood
Florentia	Florence
Florentia Nightingale	Florence Nightingale
Florida	Florida
Categoria:Florida	Florida
Flos	Flower
Magnoliophyta	Flowering plant
Diptera	Fly
Nebula (meteorologia)	Fog
Alimentum	Food
Organizatio Alimentaria et Agriculturalis	Food and Agriculture Organization
Pes	Foot
Pediludium	Football (soccer)
Categoria:Societates pediludii	Football (soccer) clubs
Categoria:Pedilusores	Football (soccer) players
Vis	Force
Silva	Forest
Methanal	Formaldehyde
Acidum formicum	Formic acid
Fornax (sidus)	Fornax
Arx Vorthensis	Fort Worth
Fossilia	Fossil
Francia	France
Categoria:Francia	France
Franciscus Baco	Francis Bacon
Franciscus Drakus	Francis Drake
Franciscus Ford Coppola	Francis Ford Coppola
Franciscus II	Francis II
Franciscus Poulenc	Francis Poulenc
Sanctus Franciscus Assisiensis	Francis of Assisi
Ordo Fratrum Minorum	Franciscan
Franciscus Franco	Francisco Franco
Franciscus Goya	Francisco Goya
Francium	Francium
Franciscus Sinatra	Frank Sinatra
Francofurtum ad Moenum	Frankfurt
Categoria:Francofurtum ad Moenum	Frankfurt
Francofurtum	Frankfurt (disambiguation)
Franklinus Pierce	Franklin Pierce
Franciscus Kafka	Franz Kafka
Franciscus Liszt	Franz Liszt
Franciscus Petrus Schubert	Franz Schubert
Fridericus I Barbarossa	Frederick I
Fridericus II	Frederick II
Fredericopolis	Fredericton
Civitas Libera	Free State
Liberum arbitrium	Free will
Libertas	Freedom (philosophy)
Freetown	Freetown
Polynesia Francogallica	French Polynesia
Res Novae Francicae	French Revolution
Categoria:Rerum Francicarum eversio	French Revolution
Frequentia	Frequency
Fraxinus	Fresno
Dies Veneris	Friday
Fridericus Engels	Friedrich Engels
Frisia (provincia)	Friesland
Forum Iulii et Venetia Iulia	Friuli-Venezia Giulia
Rana	Frog
Fructosium	Fructose
Fructus	Fruit
Fuga	Fugue
Fucuoca	Fukuoka
Categoria:Omnia	Fundamental
Fundamentalismus	Fundamentalism
Categoria:Fungi	Fungi
Fungi	Fungus
Theodorus Dostoevskij	Fyodor Dostoevsky
G	G
Gabonia	Gabon
Gaborone	Gaborone
Gadolinium	Gadolinium
Caietanus Donizetti	Gaetano Donizetti
Galatia	Galatia
Galaxias	Galaxy
Claudius Galenus	Galen
Galicia	Galicia (Central Europe)
Gallaecia	Galicia (Spain)
Galileia	Galilee
Galilaeus Galilaei	Galileo Galilei
Vesica biliaris	Gallbladder
Galliformes	Galliformes
Categoria:Galliformes	Galliformes
Gallium	Gallium
Galvia	Galway
Ludus	Game
Gamma	Gamma
Ganesa	Ganesha
Ganymedes (satelles)	Ganymede (moon)
Vapincum	Gap
Hortus	Garden
Allium	Garlic
Garumna	Garonne
Gasium	Gas
Gigas gasosus	Gas giant
Apparatus digestorius	Gastrointestinal tract
Gastropoda	Gastropoda
Gallia	Gaul
Gautama Buddha	Gautama Buddha
Gaza	Gaza
Lacinia Gazetica	Gaza Strip
Gemini (sidus)	Gemini (constellation)
Gemma (lapis)	Gemstone
Relativitas generalis	General relativity
Liber Genesis	Genesis
Genetica	Genetics
Categoria:Genetica	Genetics
Genava (urbs)	Geneva
Casus genetivus	Genitive case
Genua	Genoa
Galfridus Chaucer	Geoffrey Chaucer
Geographia	Geography
Categoria:Geographia	Geography
Categoria:Geologia	Geology
Geologia	Geology
Geometria	Geometry
Geographia politica	Geopolitics
Georgius Philippus Telemann	Georg Philipp Telemann
Georgius Wilhelmus Fridericus Hegel	Georg Wilhelm Friedrich Hegel
Georgius Berkeley	George Berkeley
Georgius Bernardus Shavius	George Bernard Shaw
Georgius Bush	George Bush
Georgius Fridericus Handel	George Frideric Handel
Georgius Orwell	George Orwell
Georgius W. Bush	George W. Bush
Georgius Washingtonius	George Washington
Georgius Bizet	Georges Bizet
Georgius Clemenceau	Georges Clemenceau
Georgius Simenon	Georges Simenon
Georgiopolis	Georgetown
Georgia (CFA)	Georgia (U.S. state)
Georgia	Georgia (country)
Categoria:Georgia	Georgia (country)
Giraldus Ford	Gerald Ford
Lingua Theodisca	German language
Germanium	Germanium
Germania	Germany
Categoria:Germania	Germany
Gana	Ghana
Categoria:Gana	Ghana
Gandavum	Ghent
Larva	Ghost
Iacobus Puccini	Giacomo Puccini
Panda maior	Giant Panda
Calpe	Gibraltar
Gilgamus	Gilgamesh
Ginkgo	Ginkgo
Iordanus Brunus	Giordano Bruno
Georgius Vasari	Giorgio Vasari
Iohannes Boccacius	Giovanni Boccaccio
Giraffa	Giraffe
Hieronymus Savonarola	Girolamo Savonarola
Girundia (praefectura Franciae)	Gironde
Iosephus Garibaldi	Giuseppe Garibaldi
Iosephus Verdi	Giuseppe Verdi
Gladiator	Gladiator
Glandula	Gland
Glasgovia	Glasgow
Glasnost	Glasnost
Vitrum	Glass
GPS (Systema localizationis globale)	Global Positioning System
Glucagon	Glucagon
Glucosium	Glucose
Gluon	Gluon
Gnathostomata	Gnathostomata
Igo	Go (board game)
Capra	Goat
Deus	God
Golan	Golan Heights
Aurum	Gold
Aquila chrysaetos	Golden Eagle
Avifer aureus	Golden Retriever
Homel	Gomel
Dies Passionis Domini	Good Friday
Google	Google
Evangelium	Gospel
Evangelium secundum Lucam	Gospel of Luke
Gothoburgum	Gothenburg
Architectura gothica	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gratia Patricia (principissa Monoecensis)	Grace Kelly
Ars grammatica	Grammar
Categoria:Ars grammatica	Grammar
Genus verborum	Grammatical gender
Granata	Granada
Uva	Grape
Citrus paradisi	Grapefruit
Graphitum	Graphite
Gravitas (physica)	Gravitation
Graviton	Graviton
Lupus	Gray Wolf
Graecia (urbs)	Graz
Britannia Maior	Great Britain
Depressio oeconomica magna	Great Depression
Lacus Magni	Great Lakes
Murus Sinicus	Great Wall of China
Carcharodon carcharias	Great white shark
Antillae Magnae	Greater Antilles
Graecia	Greece
Categoria:Graecia	Greece
Abecedarium Graecum	Greek alphabet
Ignis Graecus	Greek fire
Mythologia Graeca	Greek mythology
Categoria:Mythologia Graeca	Greek mythology
Viridis	Green
Groenlandia	Greenland
Grenovicum	Greenwich
Gregorius Mendel	Gregor Mendel
Calendarium Gregorianum	Gregorian calendar
Gratianopolis	Grenoble
Greta Garbo	Greta Garbo
Canus	Grey
Gryps	Griffin
Gyps fulvus	Griffon Vulture
Productus domesticus grossus	Gross domestic product
Grover Cleveland	Grover Cleveland
Grus (sidus)	Grus (constellation)
Guadalaxara	Guadalajara
Guadalupa	Guadeloupe
Guama	Guam
Categoria:Guatemala	Guatemala
Gulielmus Marconi	Guglielmo Marconi
Guinea	Guinea
Guinea Bissaviensis	Guinea-Bissau
Cithara Hispanica	Guitar
Bellum Sinus Persici Alterum	Gulf War
Sinus Bothnicus	Gulf of Bothnia
Sinus Mexicanus	Gulf of Mexico
Gustavus Klimt	Gustav Klimt
Gustavus Mahler	Gustav Mahler
Guido Fawkes	Guy Fawkes
Guido de Maupassant	Guy de Maupassant
Gynaecologia et Obstetricia	Gynaecology
Gypsum	Gypsum
Gyroscopium	Gyroscope
H	H
Aeon Hadaicus	Hadean
Hadit	Hadith
Hadrianus (imperator)	Hadrian
Hadron	Hadron
Hafnium	Hafnium
Sancta Sophia	Hagia Sophia
Haicu	Haiku
Grando	Hail
Ave Maria	Hail Mary
Pilus	Hair
Haitia	Haiti
Categoria:Haitia	Haiti
Halebarda	Halberd
Salinae Saxonicae	Halle
Pervigilium Omnium Sanctorum	Halloween
Halogenica	Halogen
Hamas	Hamas
Hamburgum	Hamburg
Amletus, Princeps Daniae	Hamlet
Malleus (instrumentum)	Hammer
Hammurabi	Hammurabi
Hantonia	Hampshire
Cricetus	Hamster
Manus	Hand
Hannibal	Hannibal
Hanoi	Hanoi
Hannovera	Hanover
Iohannes Christianus Andersen	Hans Christian Andersen
Hansa	Hanseatic League
Encaenia	Hanukkah
Hararensis Urbs	Harare
Clavicymbalum	Harpsichord
Harrisburgum	Harrisburg
Henricus Houdini	Harry Houdini
Hassium	Hassium
Normannia Superior	Haute-Normandie
Havana	Havana
Havaii (civitas)	Hawaii
Corylus	Hazel
Caput	Head
Salus	Health
Cor	Heart
Caelum	Heaven
Metal (musica)	Heavy metal music
Calendarium Hebraicum	Hebrew calendar
Hector	Hector
Hector Berlioz	Hector Berlioz
Henricus Himmler	Heinrich Himmler
Henricus Schliemann	Heinrich Schliemann
Helena	Helen
Helena Keller	Helen Keller
Helenopolis (Montana)	Helena
Helicopterum	Helicopter
Helius	Helios
Helium	Helium
Infernus	Hell
Helimutus Schmidt	Helmut Schmidt
Helsinkium	Helsinki
Haematologia	Hematology
Henricus Bergson	Henri Bergson
Henricus Matisse	Henri Matisse
Henricus Ibsen	Henrik Ibsen
Henricus David Thoreau	Henry David Thoreau
Henricus Fonda	Henry Fonda
Henricus Ford	Henry Ford
Henricus Kissinger	Henry Kissinger
Henricus Purcell	Henry Purcell
Hepatitis	Hepatitis
Hephaestus	Hephaestus
Hera	Hera
Hercules	Heracles
Heraclitus	Heraclitus
Herbertus Hoover	Herbert Hoover
Hercules (sidus)	Hercules (constellation)
Haeresis	Heresy
Hermes	Hermes
Heron Alexandrinus	Hero of Alexandria
Herodotus	Herodotus
Ardea (avis)	Heron
Comitatus Hertfordiensis	Hertfordshire
Hesiodus	Hesiod
Hassia	Hesse
Categoria:Hassia	Hesse
Hestia	Hestia
Hizbullah	Hezbollah
Himalaia	Himalayas
Hinduismus	Hinduism
Categoria:Induismus	Hinduism
Hippocrates	Hippocrates
Hippopotamus	Hippopotamus
Hirohitus	Hirohito
Hirosima	Hiroshima
Hispaniola	Hispaniola
Historia	History
Categoria:Historia	History
Hobart	Hobart
Hobbit (gens ficticia)	Hobbit
Ruscisilva	Hollywood
Holmium	Holmium
Imperium Romanum Sacrum	Holy Roman Empire
Spiritus Sanctus	Holy Spirit
Homerus	Homer
Hominidae	Hominidae
Homo (genus)	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homophylophilia	Homosexuality
Honduria	Honduras
Categoria:Honduria	Honduras
Mel	Honey
Hongcongum	Hong Kong
Honolulu	Honolulu
Quintus Horatius Flaccus	Horace
Hormon	Hormone
Equus	Horse
Horus	Horus
Valetudinarium	Hospital
Deversorium	Hotel
Hora	Hour
Domus	House
Domus medicinae doctor	House (TV series)
Mus	House Mouse
Passer domesticus	House Sparrow
Hustonia (Texia)	Houston
Hudsonicum	Hudson River
Hugo Capetius	Hugh Capet
Hugo Grotius	Hugo Grotius
Huguenoti	Huguenot
Homo sapiens	Human
Humanismus	Humanism
Categoria:Scientia humana	Humanities
Humerus	Humerus
Bellum Centum Annorum	Hundred Years' War
Hungaria	Hungary
Categoria:Hungaria	Hungary
Fames	Hunger
Hydra (sidus)	Hydra (constellation)
Hydrogenium	Hydrogen
Hydrogenium peroxydatum	Hydrogen peroxide
Hydroxidum	Hydroxide
Hydrus (sidus)	Hydrus
Hymenoptera	Hymenoptera
Hymnus	Hymn
Hyperion (satelles)	Hyperion (moon)
Hypertextus	Hypertext
Hypothalamus	Hypothalamus
I	I
Iapetus (satelles)	Iapetus (moon)
Iberia	Iberian Peninsula
Glacies	Ice
Islandia	Iceland
Categoria:Islandia	Iceland
Ichthyologia	Ichthyology
Idahum	Idaho
Ideologia	Ideology
Ido	Ido
Iglu	Igloo
Ignatius de Loyola	Ignatius of Loyola
Igor Stravinski	Igor Stravinsky
Ilias	Iliad
Illinoesia	Illinois
Immanuel Kantius	Immanuel Kant
Uncia	Inch
India	India
Categoria:India	India
Oceanus Indicus	Indian Ocean
Indiana	Indiana
Categoria:Indiana	Indiana
Indianapolis	Indianapolis
Indium	Indium
Paeninsula Indosinensis	Indochina
Indonesia	Indonesia
Indulgentia	Indulgence
Indus (sidus)	Indus (constellation)
Indus (fluvius)	Indus River
Inertia	Inertia
Infinitivus (grammatica)	Infinitive
Infinitas	Infinity
Inflammatio	Inflammation
Ingmar Bergman	Ingmar Bergman
Pons Aeni	Innsbruck
Chemia Inorganica	Inorganic chemistry
Insecta	Insect
Insulinum	Insulin
Numerus integer	Integer
Interiectio	Interjection
Interlingua	Interlingua
Linea commutationis diei	International Date Line
Aerarium Monetarium Internationale	International Monetary Fund
Systema Internationale	International System of Units
Interrete	Internet
Castra ad captivos concludendos posita	Internment
Intestinum	Intestine
Inventum	Invention
Invertebrata	Invertebrate
Io (satelles)	Io (moon)
Iodium	Iodine
Ion	Ion
Ionia	Ionia
Ionium mare	Ionian Sea
Iota	Iota
Iova	Iowa
Irania	Iran
Categoria:Irania	Iran
Bellum Sinus Persici Primum	Iran-Iraq War
Iraquia	Iraq
Categoria:Iraquia	Iraq
Iridium	Iridium
Ferrum	Iron
Iron Maiden	Iron Maiden
Numerus irrationalis	Irrational number
Isaac	Isaac
Isaac Asimov	Isaac Asimov
Isaacus Newtonus	Isaac Newton
Isis	Isis
Religio Islamica	Islam
Categoria:Religio Islamica	Islam
Islamabada	Islamabad
Insula	Island
Monapia	Isle of Man
Vecta	Isle of Wight
Isorocus Iamamotus	Isoroku Yamamoto
Israel (civitas)	Israel
Categoria:Israel	Israel
Categoria:Constantinopolis	Istanbul
Italia	Italy
Categoria:Italia	Italy
Ithaca (insula)	Ithaca
Ioannes Pavlov	Ivan Pavlov
Ebur	Ivory
J	J
Jack Lemmon	Jack Lemmon
Iacsoniapolis, Floridae	Jacksonville
Iacobus Cartier	Jacques Cartier
Iacobus Derrida	Jacques Derrida
Iacobus Offenbach	Jacques Offenbach
Onca	Jaguar
Batavia (urbs)	Jakarta
Iamaica	Jamaica
Sanctus Iacobus Maior	James
Iacobus Garfield	James A. Garfield
Iacobus Bond	James Bond
Iacobus Buchanan	James Buchanan
Iacobus Cook	James Cook
Iacobus Joyce	James Joyce
Iacobus Knox Polk	James K. Polk
Iacobus Madison	James Madison
Iacobus Monroe	James Monroe
Iacobus Prescott Joule	James Prescott Joule
Iacobus Watt	James Watt
Ioannes Hus	Jan Hus
Ioanna Austen	Jane Austen
Ioanna Fonda	Jane Fonda
Iana Seimora	Jane Seymour
Ianuarius	January
1 Ianuarii	January 1
19 Ianuarii	January 19
20 Ianuarii	January 20
6 Ianuarii	January 6
Ianus	Janus (mythology)
Iaponia	Japan
Categoria:Iaponia	Japan
Iason	Jason
Icterus	Jaundice
Iava	Java
Iazium	Jazz
Ioannes Cocteau	Jean Cocteau
Ioannes Iulius Christianus Sibelius	Jean Sibelius
Iohannes-Iacobus Rousseau	Jean-Jacques Rousseau
Ioannes Paulus Sartre	Jean-Paul Sartre
Ioannes Philippus Rameau	Jean-Philippe Rameau
Iedda	Jeddah
Iehovah	Jehovah
Testes Iehovah	Jehovah's Witnesses
Scyphozoa	Jellyfish
Iena	Jena
Ieremia Bentham	Jeremy Bentham
Hieronymus	Jerome
Caesarea insula	Jersey
Hierosolyma	Jerusalem
Iesus	Jesus
Populus Iudaicus	Jew
Gihad	Jihad
Jimi Hendrix	Jimi Hendrix
Iacobus Earl Carter	Jimmy Carter
Ioanna de Arc	Joan of Arc
Iohannes Sebastianus Bach	Johann Sebastian Bach
Ioannes Wolfgang Goethe	Johann Wolfgang von Goethe
Iohannes Brahms	Johannes Brahms
Iohannes Gutenberg	Johannes Gutenberg
Iohannes Keplerus	Johannes Kepler
Ioannisburgum	Johannesburg
Ioannes Adams	John Adams
Ioannes Calvinus	John Calvin
Iohannes Chrysostomus	John Chrysostom
Ioannes Dalton	John Dalton
Ioannes Lennon	John Lennon
Ioannes Lockius	John Locke
Ioannes Major	John Major
Ioannes Meginhardus Keynes	John Maynard Keynes
Ioannes Miltonus	John Milton
Ioannes Quintius Adams	John Quincy Adams
Ioannes Ruskin	John Ruskin
Ioannes Stuart Mill	John Stuart Mill
Ioannes Tyler	John Tyler
Iohannes Wayne	John Wayne
Ioannes Wicliffe	John Wycliffe
Sanctus Ioannes Baptista	John the Baptist
Iordania	Jordan
Iordanus	Jordan River
Georgius Ludovicus Borges	Jorge Luis Borges
Iosephus Goebbels	Joseph Goebbels
Franciscus Iosephus Haydn	Joseph Haydn
Iosephus Aloisius Gaylussac	Joseph Louis Gay-Lussac
Iosephus Smith	Joseph Smith
Iosephus Stalin	Joseph Stalin
Flavius Iosephus	Josephus
Joulium	Joule
Iovianus	Jovian
Religio Iudaica	Judaism
Categoria:Religio Iudaica	Judaism
Ziudo	Judo
Judy Garland	Judy Garland
Ziuziutum	Jujutsu
Iulius Verne	Jules Verne
Calendarium Iulianum	Julian calendar
Flavius Claudius Iulianus	Julian the Apostate
Gaius Iulius Caesar	Julius Caesar
Iulius	July
1 Iulii	July 1
4 Iulii	July 4
Iunius	June
14 Iunii	June 14
21 Iunii	June 21
23 Iunii	June 23
24 Iunii	June 24
29 Iunii	June 29
3 Iunii	June 3
Iunellum	Juneau
Juniperus	Juniper
Iuno (mythologia)	Juno (mythology)
Iuppiter (planeta)	Jupiter
Categoria:Iuppiter	Jupiter
Iuppiter	Jupiter (disambiguation)
Iuppiter (deus)	Jupiter (mythology)
Aevum Iurassicum	Jurassic
Iustinianus I	Justinian I
Cimbria	Jutland
K	K
Cabura	Kabul
Camicaze	Kamikaze
Kampala	Kampala
Alexandria Arachosia	Kandahar
Macropus	Kangaroo
Kansia	Kansas
Cappa	Kappa
Karachi	Karachi
Carate	Karate
Carolus Barth	Karl Barth
Carolus Theodorus Jaspers	Karl Jaspers
Carolus Marx	Karl Marx
Carolus Popper	Karl Popper
Carnatica	Karnataka
Catharina Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katovicum	Katowice
Couna	Kaunas
Casachia	Kazakhstan
Casanum	Kazan
Kelvin (unitas)	Kelvin
Cantium	Kent
Kentukia	Kentucky
Kenia	Kenya
Categoria:Kenia	Kenya
Medulla	Kernel (computer science)
Petroleum	Kerosene
Ketonum	Ketone
Claviatura	Keyboard (computing)
Chanis	Khan
Charcovia	Kharkiv
Khartumensis Urbs	Khartoum
Cheops	Khufu
Ren	Kidney
Chiovia	Kiev
Kigali	Kigali
Chiliogramma	Kilogram
Chiliometrum	Kilometre
Rex (scacci)	King (chess)
Arthurus Rex	King Arthur
Leir Rex	King Lear
Kingston (Iamaica)	Kingston
Kinshasa	Kinshasa
Kiribati	Kiribati
Draco volans papyreus	Kite
Genu	Knee
