English	Catalan
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest
Brest	Brest-Litovsk
Bretagne	Bretanya
Brick	Maó (construcció)
Bridge	Pont
Bridges	Categoria:Ponts
Bridgetown	Bridgetown
Brigade	Brigada
Brighton	Brighton
Brindisi	Bríndisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Colúmbia Britànica
British Empire	Imperi britànic
British Isles	Illes Britàniques
British Virgin Islands	Illes Verges Britàniques
British people	Categoria:Britànics
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Bròquil
Bromine	Brom
Bronze	Bronze
Bronze Age	Edat del bronze
Brooklyn	Brooklyn
Brooklyn Bridge	Pont de Brooklyn
Brown	Marró
Brown Bear	Ós bru
Brownian motion	Moviment brownià
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunei
Brunei	Categoria:Brunei
Brussels	Brussel·les
Bubonic plague	Pesta
Bucharest	Bucarest
Buckingham Palace	Palau de Buckingham
Buckminster Fuller	Buckminster Fuller
Buckwheat	Fajol
Budapest	Budapest
Buddha	Buda (il·luminat)
Buddhism	Budisme
Buddhism	Categoria:Budisme
Buenos Aires	Buenos Aires
Buffalo	Buffalo
Bujumbura	Bujumbura
Bulgaria	Bulgària
Bulgaria	Categoria:Bulgària
Bumblebee	Borinot
Buoyancy	Principi d'Arquimedes
Burkina Faso	Burkina Faso
Burkina Faso	Categoria:Burkina Faso
Burma	Myanmar
Burma	Categoria:Myanmar
Burqa	Burka
Bursa	Bursa
Burundi	Categoria:Burundi
Bus	Autobús
Businesspeople	Categoria:Empresaris
Buster Keaton	Buster Keaton
Butane	Butà
Butter	Mantega
Butterfly	Papallona
Butterfly effect	Efecte papallona
Byte	Byte
Byzantine Empire	Categoria:Imperi Bizantí
C	C
C (programming language)	Llenguatge C
C. S. Lewis	Clive Staples Lewis
CD (disambiguation)	Cd
CHAOS (Linux distribution)	CHAOS
COBOL	COBOL
Cabaret	Cabaret
Cacao	Cacau
Cache	Memòria cau
Cactus	Cactàcia
Cadmium	Cadmi
Cadmus	Cadme
Caelum	Burí (constel·lació)
Caesium	Cesi
Caffeine	Cafeïna
Cairo	El Caire
Cake	Pastís
Calabria	Calàbria
Calais	Calais
Calcite	Calcita
Calcium	Calci
Calcium carbonate	Carbonat de calci
Calcium oxide	Calç
Calculator	Calculadora
Calculus	Càlcul infinitesimal
Calendar	Calendari
California	Califòrnia
California	Categoria:Califòrnia
Californium	Californi
Caligula	Calígula
Caliph	Califa
Calligraphy	Cal·ligrafia
Calliope	Cal·líope
Callisto (moon)	Cal·listo (satèl·lit)
Calorie	Caloria
Calvados	Calvados
Calvary	Gòlgota
Calvin Coolidge	Calvin Coolidge
Calvinism	Calvinisme
Calypso (mythology)	Calipso (mitologia)
Cambodia	Cambodja
Cambodia	Categoria:Cambodja
Cambrian	Cambrià
Cambridge	Cambridge
Camel	Camell
Camembert (cheese)	Camembert (formatge)
Camera	Càmera fotogràfica
Cameroon	Camerun
Cameroon	Categoria:Camerun
Campania	Campània
Canada	Canadà
Canada	Categoria:Canadà
Canadian dollar	Dòlar canadenc
Canal	Canal navegable
Canary Islands	Illes Canàries
Canary Islands	Categoria:Illes Canàries
Canberra	Canberra
Cancer	Càncer
Cancer (constellation)	Cranc (constel·lació)
Candela	Candela
Candle	Espelma
Canidae	Cànids
Canis Major	Ca Major
Canis Minor	Ca Menor
Cannabis	Cànnabis
Cannes	Canes
Cannibalism	Canibalisme
Cannon	Canó
Canoe	Canoa
Canopus	Canopus
Cantata	Cantata
Canterbury	Canterbury
Capacitance	Capacitància
Capacitor	Condensador
Cape Horn	Cap d'Hornos
Cape Town	Ciutat del Cap
Cape Verde	Cap Verd
Cape Verde	Categoria:Cap Verd
Cape of Good Hope	Cap de Bona Esperança
Capital	Capital
Capital (economics)	Capital (economia)
Capital punishment	Pena de mort
Capitalism	Capitalisme
Cappadocia	Capadòcia
Capricornus	Capricorn
Capsicum	Pebrotera
Caracal	Caracal
Caracas	Caracas
Carat (mass)	Quirat
Carat (purity)	Quirat
Caravaggio	Caravaggio
Carbohydrate	Glúcid
Carbon	Carboni
Carbon dioxide	Diòxid de carboni
Carbon monoxide	Monòxid de carboni
Carbonic acid	Àcid carbònic
Carboniferous	Carbonífer
Carburetor	Carburador
Card game	Joc de cartes
Cardiff	Cardiff
Cardinal (Catholicism)	Cardenal
Cardinal Richelieu	Cardenal Richelieu
Cardiology	Cardiologia
Cardiovascular system	Categoria:Sistema circulatori
Caribbean	Carib
Caribbean	Categoria:Carib
Caribbean Sea	Mar Carib
Caricature	Caricatura
Carina (constellation)	Quilla (constel·lació)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Carnaval
Carnivora	Carnívor
Carnivore	Dieta carnívora
Carnivorous plant	Planta carnívora
Carolingian dynasty	Dinastia Carolíngia
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Carpats
Carrot	Pastanaga
Carson City	Carson City
Cartagena	Cartagena
Cartesian coordinate system	Sistema de coordenades cartesianes
Cartesian product	Producte cartesià
Carthage	Cartago
Cartography	Cartografia
Cartography	Categoria:Cartografia
Cary Grant	Cary Grant
Caryophyllales	Cariofil·lal
Casablanca	Casablanca
Cashew	Anacard
Casino	Casino
Caspian Sea	Mar Càspia
Cassandra	Cassandra
Cassiopeia (constellation)	Cassiopea (constel·lació)
Cast iron	Fosa
Castile (historical region)	Castella
Castle	Castell
Castries	Castries
Casus belli	Casus belli
Cat	Gat
Catalonia	Catalunya
Catalonia	Categoria:Catalunya
Catalysis	Catalitzador
Cataphract	Catafracta
Cataract	Cataracta
Catharism	Catarisme
Cathedral	Catedral
Catherine of Aragon	Caterina d'Aragó
Catholicism	Catolicisme
Cattle	Vaca
Cattle Egret	Esplugabous
Caucasus	Caucas
Caucasus	Categoria:Caucas
Cauliflower	Coliflor
Causality	Causalitat
Cavalry	Cavalleria
Cave	Cova
Cayman Islands	Illes Caiman
Cecil Rhodes	Cecil Rhodes
Cedar	Cedre
Celery	Api
Celestial equator	Equador celeste
Celestial mechanics	Categoria:Mecànica celeste
Celestial mechanics	Mecànica celeste
Celestial sphere	Esfera celeste
Celibacy	Celibat
Cell (biology)	Cèl·lula
Cell membrane	Membrana plasmàtica
Cell nucleus	Nucli cel·lular
Cell wall	Paret cel·lular
Cello	Violoncel
Cellulose	Cel·lulosa
Celsius	Grau Celsius
Cement	Ciment
Cemetery	Cementiri
Cenozoic	Cenozoic
Census	Cens de població
Centaur	Centaure (mitologia)
Centaurus	Centaure (constel·lació)
Center of mass	centre de massa
Centimetre	Centímetre
Central Africa	Àfrica Central
Central African Republic	República Centreafricana
Central African Republic	Categoria:República Centreafricana
Central America	Amèrica Central
Central America	Categoria:Amèrica Central
Central Intelligence Agency	Agència Central d'Intel·ligència
Central Powers	Potències Centrals
Central bank	Banc central
Central nervous system	Sistema nerviós central
Central processing unit	Unitat Central de Procés
Centre	Centre (regió francesa)
Centriole	Centríol
Century	Segle
Cephalopod	Cefalòpode
Cepheus (constellation)	Cefeu (constel·lació)
Ceramic	Ceràmica
Cerberus	Cèrber
Cereal	Cereal
Cerebellum	Cerebel
Ceres	Ceres
Ceres (dwarf planet)	(1) Ceres
Cerium	Ceri
Cesare Borgia	Cèsar Borja
Cetacea	Cetaci
Cetus	Balena (constel·lació)
Chad	Txad
Chad	Categoria:Txad
Chaffinch	Pinsà
Chair	Cadira
Chalcedony	Calcedònia (mineral)
Chamaeleon	Camaleó (constel·lació)
Chamois	Isard
Champagne (wine)	Xampany
Champagne-Ardenne	Xampanya-Ardenes
Channel Tunnel	Eurotúnel
Chaos (mythology)	Caos (mitologia)
Charadriiformes	Caradriforme
Charlemagne	Carlemany
Charles Baudelaire	Charles Pierre Baudelaire
Charles Darwin	Charles Robert Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Sanders Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Carles II el Calb
Charleston	Charleston
Charlie Chaplin	Charles Chaplin
Charlie Parker	Charlie Parker
Charon (moon)	Caront (satèl·lit)
Charon (mythology)	Caront (mitologia)
Chartres	Chartres
Chauvinism	Xovinisme
Che Guevara	Che Guevara
Chechnya	Txetxènia
Chechnya	Categoria:Txetxènia
Cheese	Formatge
Cheetah	Guepard
Chemical bond	Enllaç químic
Chemical compound	Compost químic
Chemical element	Element químic
Chemical engineering	Enginyeria química
Chemical formula	Fórmula química
Chemical reaction	Reacció química
Chemistry	Química
Chemistry	Categoria:Química
Chemistry	Portal:Química
Chemotherapy	Quimioteràpia
Chennai	Chennai
Chernobyl	Txernòbil
Chert	Sílex
Chess	Escacs
Chess	Categoria:Escacs
Chestnut	Castanya
Chewing gum	Xiclet
Cheyenne	Cheyenne (Wyoming)
Chi (letter)	Khi
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chicken	Gall
Chickenpox	Varicel·la
Chickpea	Cigró
Chihuahua	Estat de Chihuahua
Child	Nen
Chile	Xile
Chile	Categoria:Xile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Quimera
Chimpanzee	Ximpanzé
China	Categoria:Xina
China	Xina
Chios	Quios
Chitin	Quitina
Chlorine	Clor
Chloroform	Cloroform
Chlorophyll	Clorofil·la
Chloroplast	Cloroplast
Chocolate	Xocolata
Choir	Cor (música)
Cholera	Còlera
Cholesterol	Colesterol
Chondrichthyes	Condricti
Chongqing	Chongqing
Chord (music)	Acord (música)
Chordate	Cordat
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Cristianisme
Christianity	Categoria:Cristianisme
Christmas	Nadal
Christmas tree	Arbre de Nadal
Christopher Columbus	Cristòfor Colom
Christopher Marlowe	Christopher Marlowe
Chromatin	Cromatina
Chromatography	Cromatografia
Chromium	Crom
Chromosome	Cromosoma
Chuck Berry	Chuck Berry
Chukchi Sea	Mar dels Txuktxis
Church (building)	Església (arquitectura)
Cicero	Ciceró
Ciconiiformes	Ciconiforme
Cider	Sidra
Cigarette	Cigarreta
Cinderella	La Ventafocs
Cinnabar	Cinabri
Cinnamon	Canyeller
Circe	Circe
Circinus	Compàs (constel·lació)
Circle	Cercle
Circulatory system	Sistema cardiovascular
Circumcision	Circumcisió
Circus	Circ
Citrus	Cítric
City-state	Ciutat estat
Civil war	Guerra civil
Civilization	Civilització
Clarinet	Clarinet
Clark Gable	Clark Gable
Class	Classe
Class (biology)	Classe (biologia)
Class (computer science)	Classe (informàtica)
Classical mechanics	Mecànica clàssica
Classical music	Música clàssica
Classical music	Categoria:Música clàssica
Classicism	Classicisme
Claude Monet	Claude Monet
Claude Shannon	Claude Elwood Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudi
Clavicle	Clavícula
Clay	Argila
Clef	Clau (música)
Clergy	Clergat
Cleveland	Cleveland (Ohio)
Client-server	Client-servidor
Climate	Clima
Climate	Categoria:Clima
Climate change	Canvi climàtic
Climatology	Climatologia
Clinical depression	Depressió
Clio	Clio
Clitoris	Clítoris
Clock	Rellotge
Clock Tower	Big Ben
Cloning	Clonació
Clothing	Categoria:Roba
Clothing	Roba
Cloud	Núvol
Clove	Clavell d'espècia
Clover	Trèvol
Clovis I	Clodoveu
Cnidaria	Cnidari
Coal	Carbó
Coast	Costa
Coat of arms	Escut d'armes
Cobalt	Cobalt
Cocaine	Cocaïna
Coccinellidae	Marieta
Cockroach	Blatodeu
Cocktail	Còctel
Coconut	Cocoter
Cocos (Keeling) Islands	Illes Cocos
Codeine	Codeïna
Coffee	Cafè
Cognac (drink)	Conyac
Cognitive psychology	Psicologia cognitiva
Cognitive science	Ciència cognitiva
Coin	Moneda
Cola	Beguda de cola
Colchis	Còlquida
Cold War	Guerra freda
Cold War	Categoria:Guerra freda
Colin Powell	Colin Powell
Collage	Collage
Collagen	Col·lagen
Colloid	Col·loide
Cologne	Colònia (Alemanya)
Colombia	Colòmbia
Colombia	Categoria:Colòmbia
Colonel	Coronel
Color	Color
Color blindness	Daltonisme
Colorado	Colorado
Colorado River	Riu Colorado
Colosseum	Colosseu
Colossus of Rhodes	Colós de Rodes
Colubrid	Colúbrid
Columba (constellation)	Coloma (constel·lació)
Columbia	Columbia
Columbia	Columbia (desambiguació)
Columbia River	Riu Columbia
Columbia University	Universitat de Columbia
Columbidae	Colom (ocell)
Columbiformes	Columbiformes
Columbus	Columbus
Columbus	Columbus (desambiguació)
Coma Berenices	Cabellera de Berenice
Combustion	Combustió
Comedy	Comèdia
Comenius	Jan Amós Comenius
Comet	Cometa
Comma (punctuation)	Coma (puntuació)
Commedia dell'arte	Commedia dell'arte
Commerce	Categoria:Comerç
Common Fig	Figuera
Common cold	Refredat
Commonwealth of Independent States	Comunitat d'Estats Independents
Commonwealth of Nations	Commonwealth
Communication	Categoria:Comunicacions
Communication	Comunicació
Communism	Comunisme
Communism	Categoria:Comunisme
Comoros	Comores
Comoros	Categoria:Comores
Compact Disc	Disc compacte
Company (military unit)	Companyia militar
Compass	Brúixola
Competition	Competència
Compiler	Compilador
Complex instruction set computer	CISC
Complex number	Nombre complex
Composer	Compositor
Composite material	Compòsit
Composite number	Nombre compost
Computed tomography	Tomografia computada
Computer	Ordinador
Computer display	Monitor (informàtica)
Computer file	Fitxer informàtic
Computer graphics	Categoria:Infografia
Computer hardware	Maquinari
Computer hardware	Categoria:Maquinari
Computer network	Xarxa informàtica
Computer program	Programa informàtic
Computer programming	Categoria:Programació
Computer science	Informàtica
Computer science	Categoria:Informàtica
Computer software	Programari
Computer virus	Virus informàtic
Computer-aided design	Disseny assistit per ordinador
Computing	Categoria:Informàtica
Conakry	Conakry
Concord	Concord (Nova Hampshire)
Concrete	Formigó
Condom	Preservatiu
Cone (geometry)	Con
Confederate States of America	Estats Confederats d'Amèrica
Confederation	Confederació
Confession	Penitència
Confirmation	Confirmació
Confucianism	Confucianisme
Confucius	Confuci
Congo	Congo
Congo River	Riu Congo
Conic section	Cònica
Connecticut	Connecticut
Connective tissue	Teixit conjuntiu
Conquistador	Conquistador
Conservation of energy	Conservació de l'energia
Conservatism	Conservadorisme
Consonant	Consonant
Constantine I	Constantí I el Gran
Constantinople	Constantinoble
Constellation	Constel·lació
Constitution (political)	Constitució
Consul	Cònsol romà
Consumption (economics)	Consum
Continent	Continent
Continental shelf	Plataforma continental
Contract	Contracte
Convection	Convecció
Cooperative	Cooperativa
Coordinate system	Coordenada
Coordinated Universal Time	Temps Universal Coordinat
Copenhagen	Copenhaguen
Copper	Coure
Copyright	Drets d'autor
Cor anglais	Corn anglès
Coraciiformes	Coraciforme
Coral	Corall
Coral Sea	Mar del Corall
Coriander	Coriandre
Corinth	Corint
Coriolis effect	Efecte de Coriolis
Cork (city)	Cork
Cormorant	Corb marí
Cornea	Còrnia
Cornell University	Universitat de Cornell
Cornwall	Cornualla
Corona Borealis	Corona Boreal
Corrosion	Corrosió
Corsica	Còrsega
Corvidae	Còrvid
Corvus (constellation)	Corb (constel·lació)
Cosmic microwave background radiation	Radiació còsmica de fons
Cosmic ray	Raigs còsmics
Cosmology	Cosmologia
Cosmology	Categoria:Cosmologia
Costa Rica	Costa Rica
Costa Rica	Categoria:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Cotó
Cougar	Puma
Coulomb	Coulomb
Coulomb's law	Llei de Coulomb
Council of Chalcedon	Concili de Calcedònia
Council of Trent	Concili de Trento
Counterpoint	Contrapunt
Country	País
Country music	Country
Covalent bond	Enllaç covalent
Coyote	Coiot
Crab	Cranc
Crab Nebula	Nebulosa del Cranc
Crater (constellation)	Copa (constel·lació)
Creationism	Creacionisme
Cremona	Cremona
Cretaceous	Cretaci
Crete	Creta
Cricket	Criquet
Cricket (insect)	Grill
Crimea	Crimea
Crimean War	Guerra de Crimea
Criminal law	Categoria:Dret penal
Criminal law	Dret penal
Criminology	Criminologia
Croatia	Croàcia
Croatia	Categoria:Croàcia
Crocodile	Cocodril
Cronus	Cronos
Cross	Creu
Cross product	Producte vectorial
Crossbow	Ballesta
Crow	Corvus (gènere)
Crucifixion	Crucifixió
Crust (geology)	Escorça terrestre
Crustacean	Crustaci
Crux	Creu del Sud
Cryptography	Criptografia
Cryptography	Categoria:Criptografia
Crystal	Cristall
Crystallography	Cristal·lografia
Crystallography	Categoria:Cristal·lografia
Ctenophore	Ctenòfor
Cuba	Cuba
Cuba	Categoria:Cuba
Cube	Cub
Cubic metre	Metre cúbic
Cubism	Cubisme
Cuculiformes	Cuculiforme
Cucumber	Cogombre
Cucurbitaceae	Cucurbitàcia
Cultural Revolution	Revolució Cultural
Culture	Cultura
Culture	Categoria:Cultura
Cumbria	Cumbria
Cumulus cloud	Cumulus
Cupressaceae	Cupressàcia
Curitiba	Curitiba
Curium	Curi
Curling	Curling
Currency	Categoria:Monedes
Currency	Moneda
Cusco	Cusco
Cyan	Cian
Cyanide	Cianur
Cyanobacteria	Cianobacteri
Cybele	Cíbele
Cybernetics	Cibernètica
Cyberpunk	Ciberpunk
Cyclades	Cíclades
Cycling	Ciclisme
Cycling	Categoria:Ciclisme
Cyclops	Ciclop
Cygnus (constellation)	Cigne (constel·lació)
Cylinder (geometry)	Cilindre
Cyperaceae	Ciperàcia
Cyprinid	Ciprínid
Cypriniformes	Cipriniforme
Cyprus	Xipre
Cyprus	Categoria:Xipre
Cyrillic alphabet	Alfabet ciríl·lic
Cyrus the Great	Cir II el Gran
Cystic fibrosis	Fibrosi quística
Cytoplasm	Citoplasma
Cytosine	Citosina
Cytoskeleton	Citosquelet
Czech Republic	República Txeca
Czech Republic	Categoria:Txèquia
Czechoslovakia	Txecoslovàquia
Czechoslovakia	Categoria:Txecoslovàquia
D	D
DDT	DDT
DNA	Àcid desoxiribonucleic
DVD	DVD
Dachshund	Teckel
Dada	Dadaisme
Daedalus	Dèdal
Dagger	Daga
Daguerreotype	Daguerrotip
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmàcia
Dam	Presa d'aigua
Damascus	Damasc
Dance	Dansa
Dance	Categoria:Dansa
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	José Daniel Ortega Saavedra
Danish krone	Corona danesa
Dante Alighieri	Dante Alighieri
Danube	Danubi
Daphne	Dafne (nimfa)
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanels
Darfur	Darfur
Dark matter	Matèria fosca
Darmstadtium	Darmstadi
Darwin	Darwin
Database	Base de dades
Database management system	Sistema de gestió de bases de dades
Date Palm	Palmera datilera
Dative case	Cas datiu
Daugavpils	Daugavpils
David	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Copa Davis de tennis
Day	Dia
De facto	De facto
Deacon	Diaca
Dead Sea	Mar Morta
Dead Sea scrolls	Manuscrits de la mar Morta
Deadly nightshade	Belladona
Death	Mort
Decade	Dècada
December	Desembre
December 31	31 de desembre
December 8	8 de desembre
Decibel	Decibel
Decimal	Nombre decimal
Decius (emperor)	Deci (emperador romà)
Deco	Anderson Luis de Souza
Deconstruction	Deconstrucció
Deer	Cérvol
Definition	Definició
Deflation	Deflació
Degree	Grau
Degree (angle)	Grau sexagesimal
Deimos (moon)	Deimos (satèl·lit)
Deism	Deisme
Delaware	Delaware
Delft	Delft
Delphi	Delfos (ciutat)
Delphinus	Dofí (constel·lació)
Delta (letter)	Delta (lletra)
Deluge (mythology)	Diluvi Universal
Demagogy	Demagògia
Demeter	Demèter
Democracy	Democràcia
Democratic Party (United States)	Partit Demòcrata dels Estats Units
Democratic Republic of the Congo	República Democràtica del Congo
Democratic Republic of the Congo	Categoria:República Democràtica del Congo
Democritus	Demòcrit
Demography	Demografia
Demography	Categoria:Demografia
Demosthenes	Demòstenes de Peània
Dengue fever	Dengue
Denis Diderot	Denis Diderot
Denmark	Dinamarca
Denmark	Categoria:Dinamarca
Dennis Gabor	Dennis Gabor
Density	Densitat
Dental caries	Càries dental
Dentistry	Categoria:Odontologia
Dentistry	Odontologia
Denver	Denver
Derivative	Derivada
Dermatology	Dermatologia
Des Moines	Des Moines
Desert	Desert
Deserts	Categoria:Deserts
Desiderius Erasmus	Erasme de Rotterdam
Design	Disseny
Design	Categoria:Disseny
Desmond Tutu	Desmond Tutu
Determinant	Determinant (matemàtiques)
Determinism	Determinisme
Detroit	Detroit
Deuterium	Deuteri
Deuteronomy	Deuteronomi
Developmental psychology	Psicologia del desenvolupament
Device driver	Programa de control
Devon	Devon
Devonian	Devonià
Dew	Rosada
Dew point	Punt de rosada
Dhaka	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Diabetes mellitus	Diabetis mellitus
Diacritic	Signe diacrític
Dialect	Dialecte
Dialectic	Dialèctica
Diameter	Diàmetre
Diamond	Diamant
Diana	Diana de Gal·les
Diana (mythology)	Diana
Diarrhea	Diarrea
Diaspora	Diàspora
Dice	Dau
Dictatorship	Dictadura
Dictionary	Diccionari
Diego Rivera	Diego Rivera
Diesel	Gasoli
Diesel engine	Motor dièsel
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Equació diferencial
Diffraction	Difracció
Diffusion	Difusió
Digestion	Digestió
Digestive system	Categoria:Aparell digestiu
Digital	Sistema digital
Digital camera	Càmera digital
Digital photography	Fotografia digital
Digital subscriber line	Línia Digital d'Abonat
Dijon	Dijon
Dill	Anet
Dimension	Dimensió
Dingo	Dingo
Dinosaur	Dinosaure
Diocese	Diòcesi
Diocletian	Dioclecià
Diode	Díode
Dionysus	Dionís
Diphtheria	Diftèria
Diphthong	Diftong
Diplodocus	Diplodocus
Diplomacy	Diplomàcia
Diplomacy	Categoria:Diplomàcia
Dire Straits	Dire Straits
Direct current	Corrent continu
Disambiguation	Categoria:Viquipèdia:Registre de pàgines de desambiguació
Disc jockey	Disc jockey
Discrimination	Discriminació
Disease	Malaltia
Distance	Distància
Distillation	Destil·lació
Divergence	Divergència
Division (mathematics)	Divisió
Division (military)	Divisió militar
Divorce	Divorci
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Categoria:Djibouti
Dmitri Mendeleev	Dimitri Mendeléiev
Dmitri Shostakovich	Dmitri Xostakòvitx
Dnieper River	Dnièper
Doctor of the Church	Doctor de l'Església
Dodecahedron	Dodecàedre
Dodecanese	Dodecanès
Dodo	Dodo
Dodoma	Dodoma
Dog	Gos
Dogma	Dogma
Doha	Doha
Dollar	Dòlar
Dolly (sheep)	Ovella Dolly
Dolmen	Dolmen
Dolphin	Dofí
Domain (biology)	Domini taxonòmic
Domain name	Domini d'Internet
Dome	Cúpula
Domesday Book	Llibre de Domesday
Domestication	Domesticació
Dominica	Dominica
Dominica	Categoria:Dominica
Dominican Order	Orde dels Predicadors
Dominican Republic	República Dominicana
Dominican Republic	Categoria:República Dominicana
Domitian	Domicià
Don Quixote	El Quixot
Don River (Russia)	Don
Donald Duck	Ànec Donald
Donatello	Donatello
Donato Bramante	Bramante
Donetsk	Donetsk
Donkey	Ase
Door	Porta
Dopamine	Dopamina
Doppler effect	Efecte Doppler
Dorado	Orada (constel·lació)
Doric order	Dòric
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Double bass	Contrabaix
Dover	Dover (Estats Units)
Dover	Dover (Anglaterra)
Down syndrome	Síndrome de Down
Draco (constellation)	Dragó (constel·lació)
Dracula	Dràcula
Dragon	Drac
Drama	Drama
Draughts	Dames
Dream	Somni
Dresden	Dresden
Drink	Beguda
Dromedary	Dromedari
Drought	Sequera
Drug addiction	Addicció
Druid	Druida
Drum	Tambor
Dualism	Dualisme
Dualism (philosophy of mind)	Dualisme
Dubai	Dubai
Dublin	Dublín
Dubnium	Dubni
Dubrovnik	Dubrovnik
Duck	Ànec
Dugong	Dugong
Duke	Duc
Duke Ellington	Duke Ellington
Duke University	Universitat de Duke
Dune	Duna
Dunkirk	Dunkerque
Duodenum	Duodè
Durban	Durban
Dushanbe	Duixanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Categoria:Neerlandesos
Dwight D. Eisenhower	Dwight David Eisenhower
Dynamics (physics)	Dinàmica
Dynamite	Dinamita
Dynasty	Dinastia
Dyslexia	Dislèxia
Dysprosium	Disprosi
Dystopia	Distopia
E	E
E (mathematical constant)	Nombre e
E-mail	Correu electrònic
E. T. A. Hoffmann	Ernst Theodor Amadeus Hoffmann
ETA	Euskadi Ta Askatasuna
Eagle	Àguila
Ear	Oïda
Earless seal	Foca
Earth	Terra
Earth science	Ciències de la Terra
Earthquake	Terratrèmol
East	Est
East Africa	Àfrica Oriental
East China Sea	Mar de la Xina Oriental
East Germany	República Democràtica Alemanya
East Sussex	East Sussex
East Timor	Timor Oriental
East Timor	Categoria:Timor Oriental
Easter	Pasqua (cristianisme)
Eastern Orthodox Church	Ortodòxia de l'est
Ebro	Ebre
Eccentricity (mathematics)	Excentricitat
Ecclesiastes	Eclesiastès
Echidna	Equidna
Echinoderm	Equinoderm
Eclipse	Eclipsi
Ecliptic	Eclíptica
Ecological niche	Nínxol ecològic
Ecology	Ecologia
Ecology	Categoria:Ecologia
Econometrics	Econometria
Economics	Economia
Economics	Categoria:Economia
Economy	Economia
Ecosystem	Ecosistema
Ecuador	Equador
Ecuador	Categoria:Equador
Ecumenical council	Concili ecumènic
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edinburgh	Edimburg
Edirne	Adrianòpolis
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Percival Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Education	Educació
Education	Categoria:Educació
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Egg (biology)	Ou (biologia)
Eggplant	Albergínia
Egypt	Egipte
Egypt	Categoria:Egipte
Egyptian pound	Lliura egípcia
Egyptology	Egiptologia
Eiffel Tower	Torre Eiffel
Eindhoven	Eindhoven
Einsteinium	Einsteini
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Categoria:El Salvador
Elam	Regne d'Elam
Elbe	Elba (riu)
Eleanor Roosevelt	Eleanor Roosevelt
Election	Elecció
Electra	Electra
Electric charge	Càrrega elèctrica
Electric current	Corrent elèctric
Electric field	Camp elèctric
Electric guitar	Guitarra elèctrica
Electric motor	Motor elèctric
Electrical engineering	Categoria:Enginyeria elèctrica
Electrical engineering	Electrotècnia
Electrical resistance	Resistència elèctrica (propietat)
Electricity	Electricitat
Electricity	Categoria:Electricitat
Electrochemistry	Electroquímica
Electrochemistry	Categoria:Electroquímica
Electrolysis	Electròlisi
Electrolyte	Electròlit
Electromagnetic radiation	Radiació electromagnètica
Electromagnetic spectrum	Espectre
Electromagnetism	Electromagnetisme
Electromagnetism	Categoria:Electromagnetisme
Electron	Electró
Electron microscope	Microscopi electrònic
Electronegativity	Electronegativitat
Electronics	Electrònica
Electronics	Categoria:Electrònica
Element	Element
Elementary particle	Partícula elemental
Elephant	Elefant
Elf	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elies
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	El·lipse
Elm	Om
Elvis Presley	Elvis Presley
Embryo	Embrió
Embryology	Embriologia
Emerald	Maragda
Emilia-Romagna	Emília-Romanya
Emiliano Zapata	Emiliano Zapata
