Asturian	English
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
Años 1530	1530s
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
Años 1750	1750s
Años 1760	1760s
Años 1770	1770s
Años 1780	1780s
Años 1790	1790s
18	18
180	180
Años 1820	1820s
Años 1830	1830s
Años 1840	1840s
Años 1850	1850s
Años 1860	1860s
Años 1870	1870s
Años 1880	1880s
Años 1890	1890s
19	19
190	190
Años 1900	1900s
Años 1920	1920s
Años 1930	1930s
Años 1940	1940s
Años 1950	1950s
Años 1960	1960s
Años 1970	1970s
Años 1980	1980s
Años 1990	1990s
2	2
Dos	2 (number)
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
SIDA	AIDS
Abdome	Abdomen
Albuertu	Abortion
Abraham Lincoln	Abraham Lincoln
Premios Oscar	Academy Award
Aceleración	Acceleration
Llande	Acorn
Acre (unidá de superficie)	Acre
San Xuan d'Acre	Acre
Acre (Brasil)	Acre (state)
Actínidu	Actinide
Actor	Actor
Adam Smith	Adam Smith
Adolf Hitler	Adolf Hitler
Mar Exéu	Aegean Sea
Aerodinámica	Aerodynamics
Afganistán	Afghanistan
Categoría:Afganistán	Afghanistan
África	Africa
Categoría:África	Africa
Afrikaans	Afrikaans
Agricultura	Agriculture
Categoría:Agricultura	Agriculture
Al Gore	Al Gore
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albania
Categoría:Albania	Albania
Albedu	Albedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albuquerque, Nuevu Méxicu	Albuquerque
Alcohol	Alcohol
Aldebarán	Aldebaran
Alexander Graham Bell	Alexander Graham Bell
Alexandru Magno	Alexander the Great
Alfred Hitchcock	Alfred Hitchcock
Álxebra	Algebra
Categoría:Álxebra	Algebra
Arxelia	Algeria
Categoría:Arxelia	Algeria
Algoritmu	Algorithm
Alcalín	Alkali metal
Alerxa	Allergy
Alfa	Alpha (letter)
Alfabetu	Alphabet
Alpes	Alps
Altair	Altair
Aluminiu	Aluminium
Alzheimer	Alzheimer's disease
Ríu Amazones	Amazon River
Ámbar	Amber
Amelia Earhart	Amelia Earhart
Guerra de Secesión	American Civil War
ASCII	American Standard Code for Information Interchange
Amerigo Vespucci	Amerigo Vespucci
Amperiu	Ampere
Amsterdam	Amsterdam
Anarquismu	Anarchism
Anchorage	Anchorage
Andalucía	Andalusia
Anders Celsius	Anders Celsius
Andes	Andes
Andorra	Andorra
Categoría:Andorra	Andorra
Anemómetru	Anemometer
Anestesioloxía y reanimación	Anesthesia
Ángulu	Angle
Angola	Angola
Categoría:Angola	Angola
Animal	Animal
Ganadería	Animal husbandry
Anime	Anime
Annapolis, Maryland	Annapolis
Ánodu	Anode
Formiga	Ant
Antártida	Antarctica
Antropoloxía	Anthropology
Categoría:Antropoloxía	Anthropology
Antigua y Barbuda	Antigua and Barbuda
Antipapa	Antipope
Antoine Lavoisier	Antoine Lavoisier
Anton Chekhov	Anton Chekhov
Aorta	Aorta
Malus domestica	Apple
Abril	April
14 d'abril	April 14
Acuariu (recipiente)	Aquarium
Lliga d'Estaos Árabes	Arab League
Arabia	Arabian Peninsula
Alfabetu árabe	Arabic alphabet
Idioma Árabe	Arabic language
Aragón	Aragon
Arqueoloxía	Archaeology
Categoría:Arqueoloxía	Archaeology
Arquiteutura	Architecture
Categoría:Arquiteutura	Architecture
Océanu Glacial Árticu	Arctic Ocean
Área (unidá de superficie)	Are
Arxentina	Argentina
Categoría:Arxentina	Argentina
Argón	Argon
Aries	Aries (constellation)
Aristóteles	Aristotle
Aritmética	Arithmetic
Arizona	Arizona
Arkansas	Arkansas
Armenia	Armenia
Categoría:Armenia	Armenia
Armeniu	Armenian language
Arcabuz	Arquebus
Arte	Art
Art Decó	Art Deco
Artemisa	Artemis
Artillería	Artillery
Categoría:Artes	Arts
Asclepiu	Asclepius
Asia	Asia
Categoría:Asia	Asia
Aspirina	Aspirin
Asteroide	Asteroid
Cinturón d'asteroides	Asteroid belt
Astrolabiu	Astrolabe
Astroloxía	Astrology
Categoría:Astroloxía	Astrology
Astrónomu	Astronomer
Unidá astronómica	Astronomical unit
Astronomía	Astronomy
Categoría:Astronomía	Astronomy
Atenea	Athena
Atenes	Athens
Atlanta	Atlanta
Océanu Atlánticu	Atlantic Ocean
Atlántida	Atlantis
Átomu	Atom
Masa atómica	Atomic mass
Unidá de masa atómica	Atomic mass unit
Númberu atómicu	Atomic number
Agostu	August
1 d'agostu	August 1
15 d'agostu	August 15
6 d'agostu	August 6
Augusta, Maine	Augusta
Auguste Comte	Auguste Comte
Agustín d'Hipona	Augustine of Hippo
César Augustu	Augustus
Australia	Australia
Categoría:Australia	Australia
Dólar australianu	Australian dollar
Austria	Austria
Categoría:Austria	Austria
Automóvil	Automobile
Seronda	Autumn
Auvernia	Auvergne (region)
Ádene	Avalanche
Avena	Avena
Categoría:Aviación	Aviation
Hachu	Axe
Azerbaiyán	Azerbaijan
Acimut	Azimuth
Mexica	Aztec
B	B
Babilonia	Babylonia
Bádminton	Badminton
Bahrein	Bahrain
Islles Baleares	Balearic Islands
Balcanes	Balkans
Mar Bálticu	Baltic Sea
Baltimore	Baltimore
Plátanu	Banana
Bangladesh	Bangladesh
Billete	Banknote
Barbados	Barbados
Barcelona	Barcelona
Cebada	Barley
Curuxa	Barn Owl
Esperteyu	Bat
Batalla de Lepanto	Battle of Lepanto (1571)
Batalla de les Termópiles	Battle of Thermopylae
Estáu Llibre de Baviera	Bavaria
Sablera	Beach
Osu	Bear
Abeya	Bee
Cerveza	Beer
Pequín	Beijing
Bielorrusia	Belarus
Categoría:Bielorrusia	Belarus
Bélxica	Belgium
Categoría:Bélxica	Belgium
Belgradu	Belgrade
Belice	Belize
Categoría:Belice	Belize
Belo Horizonte	Belo Horizonte
Benin	Benin
Categoría:Benín	Benin
Benito Mussolini	Benito Mussolini
Berlín	Berlin
Islles Bermudes	Bermuda
Berna	Berne
Beriliu	Beryllium
Beta	Beta (letter)
Emisión beta	Beta decay
Beverly Hills	Beverly Hills
Bután	Bhutan
Categoría:Bhutan	Bhutan
Biblia	Bible
Categoría:Biblia	Bible
Bicicleta	Bicycle
Teoría del Big Bang	Big Bang
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Bioquímica	Biochemistry
Biografía	Biography
Bioloxía	Biology
Categoría:Bioloxía	Biology
Biofísica	Biophysics
Páxaru	Bird
Bismarck, Dakota del Norte	Bismarck
Bit	Bit
Selva Prieta	Black Forest
Mar Negru	Black Sea
Furacu prietu	Black hole
Ñerbatu	Blackbird
Blogue	Blog
Azul	Blue
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Puntu d'ebullición	Boiling point
Bolivia	Bolivia
Categoría:Bolivia	Bolivia
Bolxevique	Bolshevik
Xosué	Book of Joshua
Xueces	Book of Judges
Llibru del Mormón	Book of Mormon
Númberos	Book of Numbers
Apocalipsis	Book of Revelation
Álxebra de Boole	Boolean algebra (structure)
Bordeos	Bordeaux
Boru	Boron
Bosnia-Herzegovina	Bosnia and Herzegovina
Categoría:Bosnia-Herzegovina	Bosnia and Herzegovina
Bósforo	Bosporus
Plantía:Bot	Bot
Botánica	Botany
Botsuana	Botswana
Categoría:Botswana	Botswana
Bolos	Bowling
Boxéu	Boxing
Llei de Boyle-Mariotte	Boyle's law
Bratislava	Bratislava
Brasil	Brazil
Categoría:Brasil	Brazil
Pan	Bread
Bretaña	Bretagne
Categoría:Pontes	Bridges
Islles britániques	British Isles
Categoría:Británicos	British people
Bronce	Bronze
Edá de Bronce	Bronze Age
Marrón	Brown
Osu Pardu	Brown Bear
Bruce Lee	Bruce Lee
Brunei	Brunei
Bruseles	Brussels
Bucarest	Bucharest
Budapest	Budapest
Budismu	Buddhism
Bulgaria	Bulgaria
Categoría:Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Categoría:Burkina Faso	Burkina Faso
Myanmar	Burma
Categoría:Myanmar	Burma
Mantega	Butter
Pumarina	Butterfly
Byte	Byte
C	C
Llinguaxe de programación C	C (programming language)
Cabaré	Cabaret
Calciu	Calcium
Repertoriu	Calendar
California	California
Categoría:California	California
Camboya	Cambodia
Categoría:Camboya	Cambodia
Camerún	Cameroon
Categoría:Camerún	Cameroon
Canadá	Canada
Categoría:Canadá	Canada
Dólar canadiense	Canadian dollar
Canaries	Canary Islands
Categoría:Canaries	Canary Islands
Cáncer (constelación)	Cancer (constellation)
Canidae	Canidae
Cabu d'Hornos	Cape Horn
Ciudá del Cabu	Cape Town
Cabu Verde	Cape Verde
Categoría:Cabu Verde	Cape Verde
Cabu de Bona Esperanza	Cape of Good Hope
Pena de muerte	Capital punishment
Capitalismu	Capitalism
Caracas	Caracas
Carbonu	Carbon
Xuegu de cartes	Card game
Cardioloxía	Cardiology
Mar Caribe	Caribbean Sea
Antroxu	Carnival
Carson City, Nevada	Carson City
Cartografía	Cartography
Castiellu	Castle
Castries	Castries
Gatu	Cat
Cataluña	Catalonia
Categoría:Cataluña	Catalonia
Catarismu	Catharism
Cátodu	Cathode
Islles Caimán	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Ecuador celeste	Celestial equator
Esfera celeste	Celestial sphere
Cenozoicu	Cenozoic
República Centroafricana	Central African Republic
América Central	Central America
Sistema nerviosu central	Central nervous system
Sieglu	Century
1 Ceres	Ceres (dwarf planet)
Chad	Chad
Categoría:Chad	Chad
Xampán	Champagne (wine)
Carlomagno	Charlemagne
Charles Darwin	Charles Darwin
Charles de Gaulle	Charles de Gaulle
Charleston, Virxinia Occidental	Charleston
Charles Chaplin	Charlie Chaplin
Ernesto Guevara de la Serna	Che Guevara
Quesu	Cheese
Elementu químicu	Chemical element
Química	Chemistry
Categoría:Química	Chemistry
Axedrez	Chess
Neñu	Child
Chile	Chile
Categoría:Chile	Chile
Categoría:China	China
Cloru	Chlorine
Chicolate	Chocolate
Chordata	Chordate
Cristianismu	Christianity
Categoría:Cristianismu	Christianity
Cristóbal Colón	Christopher Columbus
Cromu (elementu)	Chromium
Ilesia	Church
Sidra	Cider
Círculu	Circle
Sistema cardiovascular	Circulatory system
Categoría:Indumentaria	Clothing
Ropa	Clothing
Costa	Coast
Codeína	Codeine
Café	Coffee
Moneda	Coin
Colombia	Colombia
Categoría:Colombia	Colombia
Color	Color
Colorado	Colorado
Columbia, Carolina del Sur	Columbia
Palomba	Columbidae
Coma (médicu)	Coma
Cometa	Comet
Coma (puntuación)	Comma (punctuation)
Mancomunidá Británica de Naciones	Commonwealth of Nations
Categoría:Comunicaciones	Communication
Comunismu	Communism
Categoría:Comunismu	Communism
Comores	Comoros
Categoría:Comores	Comoros
Compilador	Compiler
Computadora	Computer
Ficheru informáticu	Computer file
Soporte físicu	Computer hardware
Programación	Computer programming
Informática	Computer science
Programa d'ordenador	Computer software
Concord, New Hampshire	Concord
Estaos Confederaos d'América	Confederate States of America
Confucio	Confucius
Connecticut	Connecticut
Consonante	Consonant
Constelación	Constellation
Constitución	Constitution (political)
Continente	Continent
Contratu	Contract
Coordenada	Coordinate system
Tiempu Coordináu Universal	Coordinated Universal Time
Derechos d'autor	Copyright
Cornualles	Cornwall
Costa Rica	Costa Rica
Culombiu	Coulomb
Cretácicu	Cretaceous
Creta	Crete
Croacia	Croatia
Categoría:Croacia	Croatia
Cronos	Cronus
Crucifixón	Crucifixion
Cuba	Cuba
Categoría:Cuba	Cuba
Metru cúbicu	Cubic metre
Cultura	Culture
Categoría:Cultura	Culture
Curitiba	Curitiba
Categoría:Monedes	Currency
Cibeles	Cybele
Cilindru	Cylinder (geometry)
Chipre	Cyprus
Categoría:Chipre	Cyprus
Alfabetu cirílicu	Cyrillic alphabet
República Checa	Czech Republic
Categoría:República Checa	Czech Republic
D	D
Ácidu desoxirribonucleicu	DNA
DVD	DVD
Daga	Dagger
Presa d'agua	Dam
Danza	Dance
Categoría:Danza	Dance
Dante Alighieri	Dante Alighieri
Ríu Danubiu	Danube
Materia escuro	Dark matter
Darwin	Darwin
Estructura de datos	Data structure
Día	Day
Mar Muertu	Dead Sea
Avientu	December
31 d'avientu	December 31
8 d'avientu	December 8
Declinación (astronomía)	Declination
Grau sexaxesimal	Degree (angle)
Delaware	Delaware
Delta	Delta (letter)
Democracia	Democracy
Partíu Demócrata de los Estaos Xuníos	Democratic Party (United States)
República Democrática del Congo	Democratic Republic of the Congo
Demografía	Demography
Categoría:Demografía	Demography
Dinamarca	Denmark
Categoría:Dinamarca	Denmark
Densidá (física)	Density
Ermu	Desert
Deuteriu	Deuterium
Deuteronomiu	Deuteronomy
Rosada	Dew
Diabetes	Diabetes mellitus
Diacríticu	Diacritic
Dialéutica	Dialectic
Materialismu dialéuticu	Dialectical materialism
Diámetru	Diameter
Diana Spencer	Diana
Foria	Diarrhea
Dictadura	Dictatorship
Diccionariu	Dictionary
Dinosauriu	Dinosaur
Categoría:Uiquipedia:Dixebra	Disambiguation
Enfermedá	Disease
Dimitri Ivánovich Mendeléyev	Dmitri Mendeleev
Perru	Dog
Doha	Doha
Dolmen	Dolmen
Toliña	Dolphin
Dominica	Dominica
Categoría:Dominica	Dominica
República Dominicana	Dominican Republic
Puerta	Door
Dresde	Dresden
Druidismu	Druid
Tambor	Drum
Dubai	Dubai
Ciudá de Dublín	Dublin
Coríu	Duck
Universidá de Duke	Duke University
E	E
Corréu electrónicu	E-mail
Euskadi Ta Askatasuna	ETA
Tierra	Earth
República Democrática Alemana	East Germany
Timor Oriental	East Timor
Categoría:Timor Oriental	East Timor
Ilesia ortodoxa	Eastern Orthodox Church
Escentricidá	Eccentricity (mathematics)
Equidna (mitoloxía)	Echidna (mythology)
Eclíptica	Ecliptic
Ecoloxía	Ecology
Categoría:Ecoloxía	Ecology
Economía	Economics
Categoría:Economía	Economics
Economía	Economy
Ecuador	Ecuador
Categoría:Ecuador	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Rice Burroughs	Edgar Rice Burroughs
Edimburgo	Edinburgh
Edmund Hillary	Edmund Hillary
Educación	Education
Categoría:Educación	Education
Edward Jenner	Edward Jenner
Güevu (bioloxía)	Egg (biology)
Exipto	Egypt
Torre Eiffel	Eiffel Tower
Rodrigo Díaz de Vivar	El Cid
El Paso, Texas	El Paso
El Salvador	El Salvador
Ríu Elba	Elbe
Lletricidá	Electricity
Espectru electromagnéticu	Electromagnetic spectrum
Electrón	Electron
Electronegatividá	Electronegativity
Elefante	Elephant
Elipse	Ellipse
Llamera	Elm
Enerxía (física)	Energy
Inxeniería	Engineering
Categoría:Inxeniería	Engineering
Inglaterra	England
Canal de la Mancha	English Channel
Inglés	English language
Categoría:Inglés	English language
Enrico Fermi	Enrico Fermi
Entalpía	Enthalpy
Eocenu	Eocene
Eos	Eos
Epicuru	Epicurus
Epigrafía	Epigraphy
Epsilon	Epsilon
Llinia ecuatorial	Equator
Guinea Ecuatorial	Equatorial Guinea
Eratóstenes	Eratosthenes
136199 Eris	Eris (dwarf planet)
Eris	Eris (mythology)
Esperanto	Esperanto
Categoría:Estonia	Estonia
Etiopía	Ethiopia
Categoría:Etiopía	Ethiopia
Etimoloxía	Etymology
Euclides	Euclid
Eukaryota	Eukaryote
Eufemismu	Euphemism
Éufrates	Euphrates
Eurasia	Eurasia
Euru	Euro
Europa (lluna)	Europa (moon)
Europa	Europe
Categoría:Europa	Europe
Xunión Europea	European Union
Categoría:Xunión Europea	European Union
Artiodactyla	Even-toed ungulate
Poder executivu	Executive (government)
Éxodu	Exodus
Esposición Universal	Expo (exhibition)
Güeyu	Eye
F	F
fada	Fairy
Islles Malvines	Falkland Islands
Faradiu	Farad
Fascismu	Fascism
Febreru	February
12 de febreru	February 12
14 de febreru	February 14
2 de febreru	February 2
22 de febreru	February 22
29 de febreru	February 29
Estaos Federaos de Micronesia	Federated States of Micronesia
Feminismu	Feminism
Esgrima	Fencing
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Formentación	Fermentation (biochemistry)
Fidel Castro	Fidel Castro
Fiyi	Fiji
Categoría:Cine	Film
Buelga dactilar	Fingerprint
Finlandia	Finland
Categoría:Finlandia	Finland
1Corintios	First Epistle to the Corinthians
Llingua materna	First language
Pexe	Fish
Categoría:Pexes	Fish
Florida	Florida
Fariña	Flour
Fluorita	Fluorite
Borrina	Fog
Alimentu	Food
Pie (anatomía)	Foot
Pie (unidá)	Foot (unit of length)
Fuercia	Force
Viesca	Forest
Raposu	Fox
Francia	France
Categoría:Francia	France
Francis Drake	Francis Drake
Francisco Franco	Francisco Franco
Frankfort, Kentucky	Frankfort
Frankfurt	Frankfurt
Franz Kafka	Franz Kafka
Revolución Francesa	French Revolution
Categoría:Franceses	French people
Frecuencia	Frequency
Vienres	Friday
Friedrich Engels	Friedrich Engels
Lluna enllena	Full moon
Categoría:Principal	Fundamental
Fundamentalismu relixosu	Fundamentalism
Fungi	Fungus
G	G
GNOME	GNOME
Gabón	Gabon
Gaia	Gaia (mythology)
Galaxa	Galaxy
Galicia (Europa central)	Galicia (Central Europe)
Galicia	Galicia (Spain)
Galileo Galilei	Galileo Galilei
Galera	Galley
Xuegu	Game
Gamma	Gamma
Radiación gamma	Gamma ray
Ganímedes (mitoloxía)	Ganymede
Xardín	Garden
Gas	Gas
Aparatu dixestivu	Gastrointestinal tract
Buda Gautama	Gautama Buddha
Gai	Gay
Xéminis	Gemini (constellation)
Xema (xeoloxía)	Gemstone
Xenealoxía	Genealogy
Xénesis	Genesis
Xenética	Genetics
Xeodesia	Geodesy
Xeografía	Geography
Categoría:Xeografía	Geography
Categoría:Xeoloxía	Geology
Xeoloxía	Geology
Xeometría	Geometry
Categoría:Xeometría	Geometry
Xeopolítica	Geopolitics
George Bernard Shaw	George Bernard Shaw
George Lucas	George Lucas
George Orwell	George Orwell
George Walker Bush	George W. Bush
George Washington	George Washington
Xorxa	Georgia (country)
Categoría:Xorxa	Georgia (country)
Alemán	German language
Alemaña	Germany
Categoría:Alemaña	Germany
Ghana	Ghana
Categoría:Ghana	Ghana
Gante	Ghent
Xibraltar	Gibraltar
Giordano Bruno	Giordano Bruno
Giorgio de Chirico	Giorgio de Chirico
Xirafa	Giraffe
Glaciar	Glacier
Glasnost	Glasnost
Globalización	Globalization
Dios	God
Oru	Gold
Golda Meir	Golda Meir
Googol	Googol
Grafiti	Graffiti
Gramu	Gram
Gramática	Grammar
Granada	Granada
Interfaz gráfica d'usuariu	Graphical user interface
Gravedá	Gravitation
Llobu	Gray Wolf
Gran barrera de coral	Great Barrier Reef
Gran Bretaña	Great Britain
Grandes Llagos	Great Lakes
Gran valle del rift	Great Rift Valley
Grecia	Greece
Categoría:Grecia	Greece
Alfabetu griegu	Greek alphabet
Categoría:Alfabetu griegu	Greek alphabet
Mitoloxía griega	Greek mythology
Categoría:Mitoloxía griega	Greek mythology
Groenlandia	Greenland
Categoría:Groenlandia	Greenland
Greenpeace	Greenpeace
Grupu de la tabla periódica	Group (periodic table)
Guadalupe (Francia)	Guadeloupe
Categoría:Guatemala	Guatemala
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guinea	Guinea
Guinea-Bissáu	Guinea-Bissau
Gustav Klimt	Gustav Klimt
H	H
Herbert George Wells	H. G. Wells
Hacker	Hacker
Hades	Hades
Haití	Haiti
Alabarda	Halberd
Periodu de semidesintegración	Half-life
Halóxenu	Halogen
Hamas	Hamas
Hammurabi	Hammurabi
Hannover	Hanover
Harrisburg, Pennsylvania	Harrisburg
Harry Houdini	Harry Houdini
Hartford, Connecticut	Hartford
L'Habana	Havana
Hawaii	Hawaii
Xefe d'Estáu	Head of state
Alfabetu hebréu	Hebrew alphabet
Hécate	Hecate
Hectárea	Hectare
Helena, Montana	Helena
Heliu (mitoloxía)	Helios
Heliu (elementu)	Helium
Henri Bergson	Henri Bergson
Henriu	Henry (unit)
Henry Ford	Henry Ford
Herat (ciudá)	Herat
Herón d'Alexandría	Hero of Alexandria
Herodotu	Herodotus
Herciu	Hertz
Hesse	Hesse
Categoría:Hesse	Hesse
Hestia	Hestia
Hexágonu	Hexagon
Himalaya	Himalayas
Hippie	Hippie
Hipócrates	Hippocrates
Hiroshima	Hiroshima
Histoloxía	Histology
Hestoria	History
Categoría:Historia	History
Katsushika Hokusai	Hokusai
Hollywood	Hollywood
Holocenu	Holocene
Homero	Homer
Homínidu	Hominidae
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homosexualidá	Homosexuality
Hondures	Honduras
Miel	Honey
Hong Kong	Hong Kong
Horizonte	Horizon
Caballu	Horse
Hora	Hour
Gurrión	House Sparrow
Houston	Houston
Homo sapiens sapiens	Human
Categoría:Ciencies humanes	Humanities
Humphrey Bogart	Humphrey Bogart
Hungría	Hungary
Categoría:Hungría	Hungary
Hidróxenu	Hydrogen
Hiperión (satélite)	Hyperion (moon)
Hiperión (mitoloxía)	Hyperion (mythology)
Hipótesis	Hypothesis
I	I
Xapetu (titán)	Iapetus (mythology)
Península Ibérica	Iberian Peninsula
Xelu	Ice
Islandia	Iceland
Categoría:Islandia	Iceland
Ido	Ido
Iglú	Igloo
Ilíada	Iliad
Immanuel Kant	Immanuel Kant
Imperialismu	Imperialism
Independencia	Independence
India	India
Categoría:India	India
Océanu Índicu	Indian Ocean
Indira Gandhi	Indira Gandhi
Indonesia	Indonesia
Categoría:Indonesia	Indonesia
Inercia	Inertia
Inseutu	Insect
Insulina	Insulin
Organización Internacional del Trabayu	International Labour Organization
Fondu Monetariu Internacional	International Monetary Fund
Sistema Internacional d'Unidaes	International System of Units
Internet	Internet
Categoría:Internet	Internet
Invertebráu	Invertebrate
Ío (lluna)	Io (moon)
Ion	Ion
Irán	Iran
Categoría:Irán	Iran
Iraq	Iraq
Categoría:Iraq	Iraq
Islla d'Irlanda	Ireland
IRA	Irish Republican Army
Mar d'Irlanda	Irish Sea
Categoría:Irlandeses	Irish people
Fierro	Iron
Edá del Fierro	Iron Age
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Islam	Islam
Categoría:Islam	Islam
Islamabad	Islamabad
Islla (xeografía)	Island
