English	Gujarati
AIDS	એડ્સ
Afghanistan	અફઘાનિસ્તાન
Africa	આફ્રિકા
Albert Einstein	આલ્બર્ટ આઇન્સ્ટાઇન
Alexander the Great	સિકંદર
Andhra Pradesh	આંધ્ર પ્રદેશ
Antarctica	ઍન્ટાર્કટિકા
Arabian Sea	અરબ સાગર
Arts	Category:કલા
Asia	એશિયા
Assam	આસામ
Astronomy	ખગોળશાસ્ત્ર
Atlantic Ocean	એટલાન્ટીક મહાસાગર
Australia	ઑસ્ટ્રેલિયા
Austria	ઑસ્ટ્રિયા
Bali	બાલી
Bangalore	બેંગલોર
Bible	બાઇબલ
Bihar	બિહાર
Black hole	કાળું કાણું
Brahma	બ્રહ્મા
Buddha	ગૌતમ બુદ્ધ
Capital	રાજધાની
Capitalism	મૂડીવાદ
Carbon	કાર્બન
Cattle	ગાય
Chemistry	રસાયણ શાસ્ત્ર
Chennai	ચેન્નઈ
Comet	ધૂમકેતુ
Computer	કમ્પ્યૂટર
Computer software	સૉફ્ટવેર
Constellation	નક્ષત્ર
Copper	તાંબુ
Country	દેશ
Cricket	ક્રિકેટ
Death	મરણ
Delhi	દિલ્હી
Dhaka	ઢાકા
Earth	પૃથ્વી
Earthquake	ધરતીકંપ
Eggplant	રીંગણ
Electromagnetic radiation	વિદ્યુત-ચુંબકીય તરંગો
English language	અંગ્રેજી ભાષા
Europe	યુરોપ
Fair use	Fair use
Force	બળ
France	ફ્રાઁસ
Ganesha	ગણેશ
Ganges	ગંગા
Geography	ભૂગોળ
Geography	Category:ભૂગોળ
Geometry	ભૂમિતિ
Goa	ગોઆ
Gold	સોનું
Gujarat	ગુજરાત
Heat	ઉષ્મા
Helium	હીલિયમ
Himalayas	હિમાલય
Hinduism	હિંદુ
Hyderabad	હૈદરાબાદ
Hydrogen	હાઈડ્રોજન
Iceland	આઇસલૅન્ડ
India	ભારત
India	Category:ભારત
Indus River	સિંધૂ
Iron	લોખંડ
Isaac Newton	આઇઝેક ન્યુટન
Islam	ઇસ્લામ
Jammu and Kashmir	જમ્મુ અને કાશ્મીર
Japan	જાપાન
Jupiter	ગુરુ ગ્રહ
Karnataka	કર્ણાટક
Kathmandu	કાઠમંડુ
Krishna	કૃષ્ણ
Lahore	લાહોર
Language	ભાષા
Lentil	દાળ
Light-year	પ્રકાશવર્ષ
Lion	એશીયાઇ સિંહ
Literature	સાહિત્ય
Literature	Category:સાહિત્ય
London	લંડન
Maharashtra	મહારાષ્ટ્ર
Mahatma Gandhi	મહાત્મા ગાંધી
Manipur	મણિપુર
Mark Twain	માર્ક ટ્વેઇન
Mass	દળ
Mathematics	ગણિત
Mathematics	Category:ગણિત
Mercury (planet)	બુધ (ગ્રહ)
Moon	ચંદ્ર
Muhammad	મહંમદ
Mumbai	મુંબઈ
Nebula	નિહારિકા
Neil Armstrong	નીલ આર્મસ્ટ્રૉંગ
Nelson Mandela	નેલ્સન મંડેલા
Nepal	નેપાળ
Neptune	નૅપ્ચ્યુન (ગ્રહ)
Niels Henrik Abel	નીલ્સ હેન્રીક અબૅલ
Nitrogen	નાઇટ્રોજન
North America	ઉત્તર અમેરિકા
Orissa	ઓરિસ્સા
Oxygen	ઑક્સીજન
Pacific Ocean	પ્રશાંત મહાસાગર
Pakistan	પાકિસ્તાન
Peafowl	મોર
People	Category:વ્યક્તિત્વ
People's Republic of China	ચીન
Periodic table	આવર્ત કોષ્ટક
Physics	ભૌતિક શાસ્ત્ર
Pluto	પ્લૂટો (ગ્રહ)
Politics	Category:રાજનીતી
Public domain	Public domain
Punjab (India)	પંજાબ
Rama	રામ
Ramayana	રામાયણ
Sanskrit	સંસ્કૃત ભાષા
Saturn	શનિ (ગ્રહ)
Science	વિજ્ઞાન
Science	Category:વિજ્ઞાન
Shiva	શિવ
Sikkim	સિક્કિમ
Silicon	સિલિકોન
Silver	ચાંદી
Solar System	સૂર્યમંડળ
South America	દક્ષીણ અમેરિકા
Spain	સ્પેઇન
Sun	સૂર્ય
Swan	હંસ
Tamil Nadu	તમિલનાડૂ
Thailand	થાઇલેન્ડ
Tiger	વાઘ
Tsunami	ત્સુનામી
United States	સંયુક્ત રાજ્ય અમેરિકા
Uranus	યુરેનસ (ગ્રહ)
Uttar Pradesh	ઉત્તર પ્રદેશ
Venus	શુક્ર (ગ્રહ)
Waterfall	ધોધ
Wavelength	તરંગલંબાઇ
Wellington	વેલિંગ્ટન
West Bengal	પશ્ચિમ બંગાળ
X-ray	ક્ષ-કિરણો
Yak	યાક
