Romanian	English
Categorie:Cartografie	Cartography
Cary Grant	Cary Grant
Casablanca	Casablanca
Marea Caspică	Caspian Sea
Casandra	Cassandra
Cassiopeia (constelaţie)	Cassiopeia (constellation)
Fontă	Cast iron
Cetate (edificiu)	Castle
Rocadă	Castling
Casus belli	Casus belli
Pisică de casă	Cat
Catalonia	Catalonia
Categorie:Catalonia	Catalonia
Catafractă	Cataphract
Catherine Parr	Catherine Parr
Catherine de Aragon	Catherine of Aragon
Gaius Valerius Catullus	Catullus
Caucaz	Caucasus
Categorie:Caucaz	Caucasus
Munţii Caucaz	Caucasus Mountains
Cauză	Causality
Cavalerie	Cavalry
Peşteră	Cave
Cayenne	Cayenne
Insulele Cayman	Cayman Islands
Cedru	Cedar
Categorie:Astromecanică	Celestial mechanics
Sferă cerească	Celestial sphere
Celulă	Cell (biology)
Nucleul celulei	Cell nucleus
Ciment	Cement
Neozoic	Cenozoic
Recensământ	Census
Centaur	Centaur
Centaurul (constelaţie)	Centaurus
Centimetru	Centimetre
Africa Centrală	Central Africa
Republica Centrafricană	Central African Republic
America Centrală	Central America
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Puterile Centrale	Central Powers
Sistemul nervos central	Central nervous system
Centru (Franţa)	Centre
Centriol	Centriole
Secol	Century
Cefeu (constelaţie)	Cepheus (constellation)
Cerber	Cerberus
Ceres	Ceres
Ceres (planetă pitică)	Ceres (dwarf planet)
Ceres (zeiţă)	Ceres (mythology)
Ceriu	Cerium
Cetaceu	Cetacea
Balena (constelaţie)	Cetus
Ciad	Chad
Categorie:Ciad	Chad
Scaun	Chair
Calcedon (mineral)	Chalcedony
Cameleonul (constelaţie)	Chamaeleon
Champagne-Ardenne	Champagne-Ardenne
Tunelul Canalului Mânecii	Channel Tunnel
Haos	Chaos (mythology)
Carol cel Mare	Charlemagne
Charleroi	Charleroi
Charles, Prinţ de Wales	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Carol cel Pleşuv	Charles the Bald
Charleston, West Virginia	Charleston
Charlie Chaplin	Charlie Chaplin
Charlotte, North Carolina	Charlotte
Charon (satelit)	Charon (moon)
Charon (mitologie)	Charon (mythology)
Chartres	Chartres
Che Guevara	Che Guevara
Cecenia	Chechnya
Brânză	Cheese
Ghepard	Cheetah
Celiabinsk	Chelyabinsk
Legătură chimică	Chemical bond
Element chimic	Chemical element
Formulă chimică	Chemical formula
Chimie	Chemistry
Categorie:Chimie	Chemistry
Portal:Chimie	Chemistry
Chemnitz	Chemnitz
Chennai	Chennai
Cernobîl	Chernobyl
Silicolit	Chert
Heruvim	Cherub
Şah (joc)	Chess
Categorie:Şah	Chess
Deschidere (şah)	Chess opening
Chester Alan Arthur	Chester A. Arthur
Cheyenne, Wyoming	Cheyenne
Chiang Kai-Shek	Chiang Kai-shek
Chicago, Illinois	Chicago
Varicelă	Chickenpox
Năut	Chickpea
Chihuahua (stat Mexic)	Chihuahua
Copil	Child
Chile	Chile
Categorie:Chile	Chile
Himera	Chimera (mythology)
Categorie:China	China
Insula Chios	Chios
Chiron	Chiron
Clor	Chlorine
Cloroform	Chloroform
Clorofilă	Chlorophyll
Cloroplast	Chloroplast
Ciocolată	Chocolate
Holeră	Cholera
Colesterol	Cholesterol
Chongqing	Chongqing
Chordata	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Creştinism	Christianity
Categorie:Creştinism	Christianity
Crăciun	Christmas
Categorie:Crăciun	Christmas
Pom de Crăciun	Christmas tree
Cristofor Columb	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Crom	Chromium
Cromozom	Chromosome
Categorie:Cronologie	Chronology
Chuck Berry	Chuck Berry
Biserică (instituţie)	Church
Biserică (edificiu)	Church (building)
Biserica Anglicană	Church of England
Marcus Tullius Cicero	Cicero
Cidru	Cider
Scorţişoară	Cinnamon
Circe	Circe
Compasul (constelaţie)	Circinus
Aparatul cardiovascular	Circulatory system
Circumcizie	Circumcision
Circ	Circus
Acid citric	Citric acid
Război civil	Civil war
Civilizaţie	Civilization
Clark Gable	Clark Gable
Clasă (dezambiguizare)	Class
Clasă (biologie)	Class (biology)
Mecanică clasică	Classical mechanics
Muzică cultă	Classical music
Categorie:Muzică clasică	Classical music
Clasicism	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Clement Attlee	Clement Attlee
Cler	Clergy
Cleveland, Ohio	Cleveland
Climă	Climate
Categorie:Climă	Climate
Climatologie	Climatology
Categorie:Climatologie	Climatology
Depresie (boală)	Clinical depression
Clio	Clio
Clitoris	Clitoris
Ceas	Clock
Nor	Cloud
Cuişoare	Clove
Trifolium	Clover
Clovis I	Clovis I
Cărbune	Coal
Cobalt	Cobalt
Cocaină	Cocaine
Cocteil	Cocktail
Cocotier	Coconut
Insulele Cocos	Cocos (Keeling) Islands
Codeină	Codeine
Cafea	Coffee
Psihologie cognitivă	Cognitive psychology
Monedă	Coin
Războiul Rece	Cold War
Categorie:Războiul Rece	Cold War
Colin Powell	Colin Powell
Köln	Cologne
Columbia	Colombia
Categorie:Columbia	Colombia
Colombo	Colombo
Culoare	Color
Colorado (stat SUA)	Colorado
Categorie:Statul Colorado, SUA	Colorado
Fluviul Colorado	Colorado River
Colosseum	Colosseum
Colosul din Rodos	Colossus of Rhodes
Porumbelul (constelaţie)	Columba (constellation)
Columbia, South Carolina	Columbia
Columbia (dezambiguizare)	Columbia
Columbia (fluviu)	Columbia River
Columbus, Ohio	Columbus
Părul Berenicei (constelaţie)	Coma Berenices
Comedie	Comedy
Cometă	Comet
Virgulă	Comma (punctuation)
Commedia dell'arte	Commedia dell'arte
Categorie:Comerţ	Commerce
Gripă	Common cold
Comunitatea Statelor Independente	Commonwealth of Independent States
Categorie:Comunicaţii	Communication
Comunicaţii	Communication
Comunism	Communism
Categorie:Comunism	Communism
Insulele Comore	Comoros
Compact Disc	Compact Disc
Busolă	Compass
Concurenţă	Competition
Număr complex	Complex number
Compozitor	Composer
Număr compus	Composite number
Lingvistică computaţională	Computational linguistics
Computer	Computer
Monitor	Computer display
Fişier	Computer file
Hardware	Computer hardware
Program (informatică)	Computer program
Programare	Computer programming
Informatică	Computer science
Categorie:Informatică	Computer science
Software	Computer software
Virus informatic	Computer virus
Proiectare asistată de calculator	Computer-aided design
Diluţie	Concentration
Concord, New Hampshire	Concord
Beton	Concrete
Dirijor	Conducting
Con	Cone (geometry)
Statele Confederate ale Americii	Confederate States of America
Confederaţie	Confederation
Pocăinţă (taină)	Confession
Mir (taină)	Confirmation
Conflict	Conflict
Confucianism	Confucianism
Confucius	Confucius
Congo (dezambiguizare)	Congo
Congo (fluviu)	Congo River
Conică	Conic section
Connecticut (stat SUA)	Connecticut
Categorie:Statul Connecticut, SUA	Connecticut
Conchistador	Conquistador
Consens	Consensus
Conservatorism	Conservatism
Consoană	Consonant
Constantin cel Mare	Constantine I
Constantinopol	Constantinople
Constelaţie	Constellation
Constituţie	Constitution (political)
Consul	Consul
Continent	Continent
Platformă continentală	Continental shelf
Bridge	Contract bridge
Bucătărie	Cooking
Ora universală coordonată	Coordinated Universal Time
Copenhaga	Copenhagen
Cupru	Copper
Drepturi de autor	Copyright
Coral	Coral
Corint	Corinth
Cornwall	Cornwall
Coroana Boreală (constelaţie)	Corona Borealis
Corporaţie	Corporation
Corsica	Corsica
Corindon	Corundum
Corbul (constelaţie)	Corvus (constellation)
Radiaţia cosmică de fond	Cosmic microwave background radiation
Radiaţie cosmică	Cosmic ray
Cosmologie	Cosmology
Categorie:Cosmologie	Cosmology
Costa Rica	Costa Rica
Categorie:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Bumbac	Cotton
Coulomb (unitate)	Coulomb
Legea lui Coulomb	Coulomb's law
Conciliul de la Calcedon	Council of Chalcedon
Conciliul de la Efes	Council of Ephesus
Conciliul Tridentin	Council of Trent
Contrapunct (muzică)	Counterpoint
Ţară	Country
Country	Country music
Coventry	Coventry
Crab	Crab
Nebuloasa Crabului	Crab Nebula
Cupa (constelaţie)	Crater (constellation)
Creaţionism	Creationism
Cremona	Cremona
Cretacic	Cretaceous
Creta (insulă)	Crete
Crichet	Cricket
Crimeea	Crimea
Războiul Crimeii	Crimean War
Drept Penal	Criminal law
Criminologie	Criminology
Croaţia	Croatia
Categorie:Croaţia	Croatia
Crocodil	Crocodile
Cruce	Cross
Produs vectorial a doi vectori	Cross product
Cuvinte încrucişate	Crossword
Scoarţă terestră	Crust (geology)
Crustacee	Crustacean
Crucea Sudului (constelaţie)	Crux
Criptografie	Cryptography
Cristalografie	Crystallography
Cuba	Cuba
Categorie:Cuba	Cuba
Cub	Cube
Metru cub	Cubic metre
Cubism	Cubism
Cuculiformes	Cuculiformes
Castravete	Cucumber
Cucurbitaceae	Cucurbitaceae
Revoluţia Culturală	Cultural Revolution
Cultură	Culture
Categorie:Cultură	Culture
Cumbria	Cumbria
Cumulus	Cumulus cloud
Curitiba	Curitiba
Curiu	Curium
Curling	Curling
Categorie:Monedă	Currency
Cuzco	Cusco
Cyan	Cyan
Cianură	Cyanide
Cybele	Cybele
Cibernetică	Cybernetics
Cyberpunk	Cyberpunk
Insulele Ciclade	Cyclades
Categorie:Ciclism	Cycling
Lebăda (constelaţie)	Cygnus (constellation)
Cilindru (geometrie)	Cylinder (geometry)
Cyperaceae	Cyperaceae
Cipru	Cyprus
Categorie:Cipru	Cyprus
Alfabetul chirilic	Cyrillic alphabet
Cyrus al II-lea cel Mare	Cyrus the Great
Citoplasmă	Cytoplasm
Citoschelet	Cytoskeleton
Cehia	Czech Republic
Categorie:Republica Cehă	Czech Republic
Cehoslovacia	Czechoslovakia
Categorie:Cehoslovacia	Czechoslovakia
D	D
D. H. Lawrence	D. H. Lawrence
ADN	DNA
DOS	DOS
DVD	DVD
Teckel	Dachshund
Dadaism	Dada
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas, Texas	Dallas
Dalmaţia	Dalmatia
Baraj	Dam
Damasc	Damascus
Dans	Dance
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Dunăre	Danube
Daphne	Daphne
Dardanele	Dardanelles
Materia întunecată	Dark matter
Darmstadtiu	Darmstadtium
Darwin (Northern Territory)	Darwin
Darwin (dezambiguizare)	Darwin
Das Kapital	Das Kapital
Data mining	Data mining
Structură de date	Data structure
Bază de date	Database
Cazul dativ	Dative case
Daugavpils	Daugavpils
David (Israel)	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Cupa Davis	Davis Cup
Zi	Day
Diacon	Deacon
Marea Moartă	Dead Sea
Manuscrisele de la Marea Moartă	Dead Sea scrolls
Mătrăgună	Deadly nightshade
Moarte	Death
Categorie:Moarte	Death
Decenii	Decade
Decembrie	December
31 decembrie	December 31
8 decembrie	December 8
Decius	Decius (emperor)
Deco	Deco
Raţionament deductiv	Deductive reasoning
Definiţie	Definition
Grad (dezambiguizare)	Degree
Grad centezimal	Degree (angle)
Deimos (satelit)	Deimos (moon)
Deism	Deism
Delaware (stat SUA)	Delaware
Categorie:Statul Delaware, SUA	Delaware
Delft	Delft
Delhi	Delhi
Dell, Inc.	Dell
Delphi, Grecia	Delphi
Delfinul (constelaţie)	Delphinus
Potop	Deluge (mythology)
Demetra	Demeter
Democraţie	Democracy
Partidul Democrat, SUA	Democratic Party (United States)
Republica Democrată Congo	Democratic Republic of the Congo
Categorie:Republica Democrată Congo	Democratic Republic of the Congo
Democrit	Democritus
Demografie	Demography
Demostene	Demosthenes
Deng Xiaoping	Deng Xiaoping
Denis Diderot	Denis Diderot
Danemarca	Denmark
Categorie:Danemarca	Denmark
Dennis Gabor	Dennis Gabor
Densitate	Density
Carie dentară	Dental caries
Categorie:Stomatologie	Dentistry
Stomatologie	Dentistry
Denver, Colorado	Denver
Derivată	Derivative
Des Moines, Iowa	Des Moines
Deşert	Desert
Categorie:Deşerturi	Deserts
Erasmus din Rotterdam	Desiderius Erasmus
Categorie:Design	Design
Determinant (matematică)	Determinant
Determinism	Determinism
Detroit, Michigan	Detroit
Deuteriu	Deuterium
Psihologia dezvoltării	Developmental psychology
Driver	Device driver
Devon	Devon
Devonian	Devonian
Punct de rouă	Dew point
Dacca	Dhaka
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Diabet zaharat	Diabetes mellitus
Semn diacritic	Diacritic
Dialect	Dialect
Dialectică	Dialectic
Materialism dialectic	Dialectical materialism
Diamant	Diamond
Diana, Prinţesă de Wales	Diana
Diana (zeiţă)	Diana (mythology)
Dictatură	Dictatorship
Dicţionar	Dictionary
Motor diesel	Diesel engine
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Ecuaţie diferenţială	Differential equation
Difracţie	Diffraction
Categorie:Aparatul digestiv	Digestive system
Digital subscriber line	Digital subscriber line
Dijon	Dijon
Mărar	Dill
Dimensiune	Dimension
Dinozaur	Dinosaur
Dieceză	Diocese
Diocleţian	Diocletian
Diodă	Diode
Dionis	Dionysus
Difterie	Diphtheria
Diftong	Diphthong
Diplodocus	Diplodocus
Diplomaţie	Diplomacy
Categorie:Diplomaţie	Diplomacy
Categorie:Dezambiguizare	Disambiguation
Disc jockey	Disc jockey
Boală	Disease
Distilare	Distillation
Divergenţă	Divergence
Divorţ	Divorce
Dimitri Mendeleev	Dmitri Mendeleev
Dmitri Şostakovici	Dmitri Shostakovich
Nipru	Dnieper River
Dnipropetrovsk	Dnipropetrovsk
Doctor al Bisericii	Doctor of the Church
Insulele Dodecaneze	Dodecanese
Dodoma	Dodoma
Câine	Dog
Doha	Doha
Dolar	Dollar
Dolmen	Dolmen
Dolomit (mineral)	Dolomite
Domeniu internet	Domain name
Dom	Dome
Domesticire	Domestication
Dominica	Dominica
Ordinul dominican	Dominican Order
Republica Dominicană	Dominican Republic
Domiţian	Domitian
Don (Rusia)	Don River (Russia)
Donatello	Donatello
Donato Bramante	Donato Bramante
Doneţk	Donetsk
Măgar	Donkey
Efectul Doppler	Doppler effect
Peştele de Aur (constelaţie)	Dorado
Ordinul doric	Doric order
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Contrabas	Double bass
Douglas MacArthur	Douglas MacArthur
Dover, Delaware	Dover
Dover	Dover
Sindrom Down	Down syndrome
Dragonul (constelaţie)	Draco (constellation)
Dracula	Dracula
Dragon	Dragon
Dramă	Drama
Vis	Dream
Dresda	Dresden
Secetă	Drought
Dependenţă	Drug addiction
Tobă	Drum
Dubai	Dubai
Dublin	Dublin
Dubniu	Dubnium
Dubrovnik	Dubrovnik
Duke Ellington	Duke Ellington
Duke University	Duke University
Dună	Dune
Dunkerque	Dunkirk
Durban	Durban
Duşanbe	Dushanbe
Dustin Hoffman	Dustin Hoffman
Categorie:Olandezi	Dutch people
Dwight David Eisenhower	Dwight D. Eisenhower
Dinamică	Dynamics (physics)
Dinamită	Dynamite
Distopie	Dystopia
E	E
E (constantă matematică)	E (mathematical constant)
E-mail	E-mail
Ernst Theodor Amadeus Hoffmann	E. T. A. Hoffmann
ETA	ETA
Ureche	Ear
Otariidae	Eared seal
Phocidae	Earless seal
Pământ	Earth
Categorie:Pământ	Earth
Ştiinţele Pământului	Earth science
Cutremur	Earthquake
Est	East
Republica Democrată Germană	East Germany
East Sussex	East Sussex
Timorul de Est	East Timor
Categorie:Timorul de Est	East Timor
Paşti	Easter
Biserica Ortodoxă	Eastern Orthodox Church
Ebro	Ebro
Echidnă	Echidna
Eclipse	Eclipse (software)
Ecliptică	Ecliptic
Ecologie	Ecology
Categorie:Ecologie	Ecology
Econometrie	Econometrics
Economie	Economics
Categorie:Economie	Economics
Economie	Economy
Ecosistem	Ecosystem
Ecuador	Ecuador
Categorie:Ecuador	Ecuador
Conciliu ecumenic	Ecumenical council
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Adrianopol	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Eduard Buchner	Eduard Buchner
Educaţie	Education
Categorie:Educaţie	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Eduard Confesorul	Edward the Confessor
Edwin Hubble	Edwin Hubble
Vânătă	Eggplant
Egipt	Egypt
Categorie:Egipt	Egypt
Liră egipteană	Egyptian pound
Egiptologie	Egyptology
Turnul Eiffel	Eiffel Tower
Eindhoven	Eindhoven
Einsteiniu	Einsteinium
El Greco	El Greco
El Paso, Texas	El Paso
El Salvador	El Salvador
Categorie:El Salvador	El Salvador
Elam	Elam
Râul Elba	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Alegere	Election
Sarcină electrică	Electric charge
Câmp electric	Electric field
Chitară electrică	Electric guitar
Motor electric	Electric motor
Categorie:Electrotehnică	Electrical engineering
Electrotehnică	Electrical engineering
Rezistenţă electrică	Electrical resistance
Electroliză	Electrolysis
Radiaţie electromagnetică	Electromagnetic radiation
Electromagnetism	Electromagnetism
Categorie:Electromagnetism	Electromagnetism
Electron	Electron
Microscop electronic	Electron microscope
Electronegativitate	Electronegativity
Electronică	Electronics
Categorie:Electronică	Electronics
Elegie	Elegy
Element	Element
Particulă elementară	Elementary particle
Elefant (animal)	Elephant
Elf	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Sfântul Ilie	Elijah
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Elipsă	Ellipse
Ulmus	Elm
Elvis Presley	Elvis Presley
Embriologie	Embryology
Smarald	Emerald
Emilia-Romagna	Emilia-Romagna
Emir	Emir
Categorie:Emoţie	Emotion
Empedocle	Empedocles
Împărat	Emperor
Empire State Building	Empire State Building
Empirism	Empiricism
Emulsie	Emulsion
Enciclopedie	Encyclopedia
Endocrinologie	Endocrinology
Categorie:Endocrinologie	Endocrinology
Energie	Energy
Categorie:Energie	Energy
Energie	Energy (society)
Inginer	Engineer
Inginerie	Engineering
Anglia	England
Categorie:Anglia	England
Canalul Mânecii	English Channel
Războiul civil englez	English Civil War
Limba engleză	English language
Categorie:Englezi	English people
Englezi	English people
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Categorie:Divertisment	Entertainment
Entalpie	Enthalpy
Entomologie	Entomology
Categorie:Entomologie	Entomology
Entropie	Entropy
Categorie:Mediu înconjurător	Environment
Mediu înconjurător	Environment
Enzimă	Enzyme
Eocen	Eocene
Eos	Eos
Epictet	Epictetus
Epicur	Epicurus
Epidemie	Epidemic
Epidemiologie	Epidemiology
Epigrafie	Epigraphy
Epimetheus	Epimetheus (mythology)
Adrenalină	Epinephrine
Epir	Epirus (periphery)
Epistola lui Pavel către galateni	Epistle to the Galatians
Epistola lui Pavel către romani	Epistle to the Romans
Ecuaţie	Equation
Ecuator	Equator
Guineea Ecuatorială	Equatorial Guinea
Equidae	Equidae
Echinocţiu	Equinox
Equisetum	Equisetum
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbiu	Erbium
Erebus	Erebus
Ericaceae	Ericaceae
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (planetă pitică)	Eris (dwarf planet)
Eris (mitologie)	Eris (mythology)
Categorie:Eritreea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Werner von Siemens	Ernst Werner von Siemens
Eros	Eros (mythology)
Eroziunea solului	Erosion
Erotism	Erotica
Erwin Rommel	Erwin Rommel
Viteză de eliberare	Escape velocity
Escatologie	Eschatology
Isfahan	Esfahan
Esofag	Esophagus
Esperanto	Esperanto
Categorie:Esperanto	Esperanto
Espoo	Espoo
Eseu	Essay
Essen	Essen
Essex	Essex
Esteri	Ester
Categorie:Estonia	Estonia
Etan	Ethane
Etanol	Ethanol
Eter	Ether
Etică	Ethics
Categorie:Etică	Ethics
Etiopia	Ethiopia
Categorie:Etiopia	Ethiopia
Etologie	Ethology
Etimologie	Etymology
Eucalipt	Eucalyptus
Frângerea pâinii	Eucharist
Euclid	Euclid
Geometrie euclidiană	Euclidean geometry
Eugene O'Neill	Eugene O'Neill
Eucariote	Eukaryote
Eufemism	Euphemism
Eufrat	Euphrates
Eurasia	Eurasia
Viezure	Eurasian Badger
Euripide	Euripides
Euro	Euro
Europa (satelit)	Europa (moon)
Europa (mitologie)	Europa (mythology)
Europa	Europe
Categorie:Europa	Europe
Banca Centrală Europeană	European Central Bank
Comunitatea Europeană	European Community
Uniunea Europeană	European Union
Categorie:Uniunea Europeană	European Union
Europiu	Europium
Eusebiu din Cezareea	Eusebius of Caesarea
Euterpe	Euterpe
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporare	Evaporation
Artiodactyla	Even-toed ungulate
Existenţialism	Existentialism
Exodul (capitol biblic)	Exodus
Funcţie exponenţială	Exponential function
Expresionism	Expressionism
Ochi	Eye
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Fabaceae
Fabulă	Fable
Format:Necesită citare	Fact
Fabrică	Factory
Fado	Fado
Categorie:Fagaceae	Fagaceae
Utilizare cinstită	Fair use
Zână	Fairy
Basm	Fairy tale
Falconiformes	Falconiformes
Insulele Falkland	Falkland Islands
Eroare logică	Fallacy
Familie (biologie)	Family (biology)
Genealogie	Family history
Fantasy	Fantasy
Orientul Îndepărtat	Far East
Categorie:Insulele Feroe	Faroe Islands
Fascism	Fascism
Categorie:Fascism	Fascism
Categorie:Modă	Fashion
Modă	Fashion
Post	Fasting
Fatah	Fatah
Faună	Fauna
Fauvism	Fauvism
Fax	Fax
Frică	Fear
Februarie	February
12 februarie	February 12
14 februarie	February 14
2 februarie	February 2
22 februarie	February 22
29 februarie	February 29
Revoluţia din Februarie	February Revolution
FBI	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve System
Federaţie	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Feldspat	Feldspar
Felide	Felidae
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Feminism	Feminism
Feng Shui	Feng shui
Fenicul	Fennel
Fenris	Fenrir
Schinduf	Fenugreek
Fernando Magellan	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentaţie alcoolică	Fermentation (biochemistry)
Fermion	Fermion
Ferigă	Fern
Ferrara	Ferrara
Cornul Abundenţei	Fertile Crescent
Fecundaţie	Fertilisation
Feudalism	Feudalism
Fiat	Fiat
Numerele Fibonacci	Fibonacci number
Fidel Castro	Fidel Castro
Corp (matematică)	Field (mathematics)
Patinaj artistic	Figure skating
Fiji	Fiji
File Allocation Table	File Allocation Table
Fillipo Brunelleschi	Filippo Brunelleschi
Categorie:Film	Film
Film	Film
Portal:Film	Film
Regizor de film	Film director
Categorie:Finanţe	Finance
Finlanda	Finland
Categorie:Finlanda	Finland
Pompier	Firefighter
Firewall	Firewall (networking)
Firmware	Firmware
Primul conciliu de la Constantinopol	First Council of Constantinople
Primul conciliu de la Niceea	First Council of Nicaea
Prima cruciadă	First Crusade
Întâia epistolă a lui Pavel către corinteni	First Epistle to the Corinthians
Primul ajutor	First aid
Limba maternă	First language
Peşte	Fish
Categorie:Peşti	Fish
Fiord	Fjord
Drapel	Flag
Flamenco	Flamenco
Flandra	Flanders
Memorie Flash	Flash memory
Flatulenţă	Flatulence
Vierme lat	Flatworm
Purice	Flea
Limba flamandă	Flemish (linguistics)
Silex	Flint
Inundaţie	Flood
Dischetă	Floppy disk
Florenţa	Florence
Florence Nightingale	Florence Nightingale
Florida (stat SUA)	Florida
Categorie:Statul Florida, SUA	Florida
Floare	Flower
Magnoliophyta	Flowering plant
Fluid	Fluid
Mecanica fluidelor	Fluid mechanics
Fluorină	Fluorite
Flaut	Flute
Diptera	Fly
Ceaţă	Fog
Muzică folk	Folk music
Picior (unitate)	Foot (unit of length)
Fotbal	Football (soccer)
Categorie:Fotbal	Football (soccer)
Categorie:Cluburi de fotbal	Football (soccer) clubs
Categorie:Fotbalişti	Football (soccer) players
Palatul Imperial Chinezesc	Forbidden City
Forţă	Force
Pădure	Forest
Silvicultură	Forestry
Formaldehidă	Formaldehyde
Acid formic	Formic acid
Cuptorul (constelaţie)	Fornax
Fort Worth, Texas	Fort Worth
Fortran	Fortran
Fosilă	Fossil
Combustibil fosil	Fossil fuel
Pendul Foucault	Foucault pendulum
Fântână	Fountain
Serie Fourier	Fourier series
Cruciada a patra	Fourth Crusade
Vulpe	Fox
Fractal	Fractal
Franţa	France
Categorie:Franţa	France
Francis Bacon (filozof)	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francisc I al Austriei	Francis II
Francisc de Assisi	Francis of Assisi
Ordinul franciscan	Franciscan
Francisco Franco	Francisco Franco
Francisco de Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Franciu	Francium
Războiul franco-prusac	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort, Kentucky	Frankfort
Frankfurt pe Main	Frankfurt
Categorie:Frankfurt	Frankfurt
Frankfurt an der Oder	Frankfurt (Oder)
Frankfurt (dezambiguizare)	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederic I, Împărat Roman	Frederick I
Frederic al II-lea, Împărat Roman	Frederick II
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton, New Brunswick	Fredericton
Free State	Free State
Francmasonerie	Freemasonry
Freeware	Freeware
Polinezia franceză	French Polynesia
Revoluţia franceză	French Revolution
Categorie:Revoluţia franceză	French Revolution
Categorie:Francezi	French people
Frecvenţă	Frequency
Frescă	Fresco
Fresno, California	Fresno
Freya	Freyja
Freyr	Freyr
Vineri	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Provincia Frizia	Friesland
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Veneţia Giulia	Friuli-Venezia Giulia
Fruct	Fruit
Categorie:Fructe	Fruit
Fucking, Austria	Fucking
Combustibil	Fuel
Pilă de combustie	Fuel cell
Fugă (muzică)	Fugue
Fukuoka	Fukuoka
Funcţie (matematică)	Function (mathematics)
Categorie:Categorii	Fundamental
Fundamentalism religios	Fundamentalism
Regn Fungi	Fungus
Muzică funk	Funk
Categorie:Mobilier	Furniture
Mobilier	Furniture
Futurism	Futurism (art)
Logica fuzzy	Fuzzy logic
Fiodor Dostoievski	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Categorie:Gabon	Gabon
Gaborone	Gaborone
Arhanghelul Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gaetano Donizetti	Gaetano Donizetti
Gaia	Gaia (mythology)
Galatia	Galatia
Galaxie	Galaxy
Galenus	Galen
Galenă	Galena
Galiţia	Galicia (Central Europe)
Galicia	Galicia (Spain)
Galileo (sondă spaţială)	Galileo (spacecraft)
