English	Korean
Central Park	센트럴 파크
Central Powers	동맹국
Central bank	중앙은행
Central processing unit	중앙 처리 장치
Centre	상트르
Centriole	중심소체
Century	세기
Cephalopod	두족강
Cepheus (constellation)	세페우스자리
Cerberus	케르베로스
Ceres	세레스
Ceres (dwarf planet)	1 세레스
Ceres (mythology)	케레스
Cerium	세륨
Cesare Borgia	체사레 보르자
Cetacea	고래
Cetus	고래자리
Chad	차드
Chad	분류:차드
Chair	의자
Chalcedony	옥수
Chamaeleon	카멜레온자리
Champagne-Ardenne	샹파뉴아르덴
Channel Tunnel	채널 터널
Chaos (mythology)	카오스
Charadriiformes	도요목
Charlemagne	카롤루스 대제
Charles	영국의 웨일스 공 찰스 왕세자
Charles Baudelaire	샤를 보들레르
Charles Darwin	찰스 다윈
Charles Dickens	찰스 디킨스
Charles Lindbergh	찰스 린드버그
Charles de Gaulle	샤를 드골
Charles the Bald	카를 2세
Charleston	찰스턴 (웨스트버지니아 주)
Charlie Chaplin	찰리 채플린
Charlie Parker	찰리 파커
Charlotte	샬럿
Charon (moon)	카론 (위성)
Chartres	샤르트르
Chauvinism	배타주의
Che Guevara	체 게바라
Chechnya	체첸 공화국
Chechnya	분류:체첸 공화국
Cheese	치즈
Cheetah	치타
Chelyabinsk	첼랴빈스크
Chemical bond	화학 결합
Chemical compound	화합물
Chemical element	화학 원소
Chemical engineering	화학공학
Chemical formula	화학식
Chemical reaction	화학 반응
Chemical warfare	화학 무기
Chemistry	화학
Chemistry	분류:화학
Chemotherapy	화학요법
Chennai	첸나이
Cheque	수표
Chernobyl	초르노빌
Cherub	그룹 (기독교)
Chess	체스
Chess	분류:체스
Chester A. Arthur	체스터 A. 아서
Chestnut	밤나무속
Cheyenne	샤이엔
Chi (letter)	Χ
Chiang Kai-shek	장제스
Chicago	시카고
Chicken	닭
Chihuahua	치와와 주
Child	어린이
Chile	칠레
Chile	분류:칠레
Chimera (mythology)	치메라
Chimpanzee	침팬지속
China	분류:중국
China	중국
Chitin	키틴
Chlorine	염소 (원소)
Chlorophyll	엽록소
Chloroplast	엽록체
Chocolate	초콜릿
Choir	합창
Cholera	콜레라
Cholesterol	콜레스테롤
Chondrichthyes	연골어류
Chongqing	충칭
Chord (music)	화음
Chordate	척색동물
Christchurch	크라이스트처치
Christiaan Huygens	크리스티안 하위헌스
Christian Dior	크리스찬 디올
Christianity	기독교
Christianity	분류:기독교
Christmas	크리스마스
Christmas	분류:크리스마스
Christmas Eve	크리스마스 이브
Christopher Columbus	크리스토퍼 콜럼버스
Chromium	크로뮴
Chromosome	염색체
Chronology	분류:연대기
Chukchi Sea	축치 해
Church	보이지 않는 교회
Church (building)	교회
Church of England	영국 성공회
Cicero	키케로
Ciconiiformes	황새목
Cigarette	궐련
Cinderella	신데렐라
Circe	키르케
Circinus	컴퍼스자리
Circle	원 (기하)
Circumcision	포경수술
Citric acid	시트르산
Citric acid cycle	TCA 회로
Citrus	귤속
City-state	도시 국가
Civil war	내전
Civilization	문명
Civilization (computer game)	문명 (컴퓨터 게임)
Clarinet	클라리넷
Class	클래스
Class (biology)	강 (생물학)
Classical mechanics	고전역학
Classical music	고전 시대 음악
Classical music	분류:고전 음악
Classicism	고전주의
Claude Monet	클로드 모네
Claude Shannon	클로드 섀넌
Claudio Monteverdi	클라우디오 몬테베르디
Claudius	클라우디우스
Cleopatra (disambiguation)	클레오파트라 (동음이의)
Clergy	성직자
Cleveland	클리블랜드
Client-server	클라이언트 서버 시스템
Climate	기후
Climate	분류:기후
Climate change	기후 변화
Climatology	분류:기후학
Clinical depression	우울증
Clio	클리오
Clitoris	음핵
Clock	시계
Clothing	분류:의류
Clothing	옷
Cloud	구름
Clover	토끼풀속
Cnidaria	자포동물
Coast	연안
Coat of arms	국장
Cobalt	코발트
Cocaine	코카인
Coccinellidae	무당벌레과
Cockroach	바퀴목
Cocktail	칵테일
Coconut	코코넛
Cocos (Keeling) Islands	코코스 제도
Codeine	코데인
Coffee	커피
Coffee	분류:커피
Cognac (drink)	코냑
Coin	동전
Cola	콜라
Cold War	냉전
Cold War	분류:냉전
Collagen	콜라겐
Cologne	쾰른
Colombia	콜롬비아
Colombia	분류:콜롬비아
Colombo	콜롬보
Colony	식민지
Color	색
Colorado	콜로라도 주
Colorado	분류:콜로라도 주
Colorado River	콜로라도 강
Colosseum	콜로세움
Colossus of Rhodes	로도스의 거상
Columba (constellation)	비둘기자리
Columbia	컬럼비아 (사우스캐롤라이나 주)
Columbia	컬럼비아
Columbia University	컬럼비아 대학교
Columbidae	비둘기
Columbiformes	분류:비둘기목
Columbus	콜럼버스 (오하이오 주)
Columbus	콜럼버스
Coma Berenices	머리털자리
Combustion	연소
Comet	혜성
Commerce	분류:상업
Common Fig	무화과나무
Common cold	감기
Commonwealth of Independent States	독립국가연합
Commonwealth of Nations	영국 연방
Communication	분류:통신
Communication	통신
Communism	공산주의
Communism	분류:공산주의
Comoros	코모로
Comoros	분류:코모로
Compact Disc	콤팩트 디스크
Compass	나침반
Compass (drafting)	컴퍼스
Competition	경쟁
Compiler	컴파일러
Complex instruction set computer	CISC
Complex number	복소수
Composer	작곡가
Composite number	합성수
Computational linguistics	전산언어학
Computer	컴퓨터
Computer architecture	컴퓨터 구조
Computer display	컴퓨터 디스플레이
Computer file	컴퓨터 파일
Computer graphics	분류:컴퓨터 그래픽스
Computer hardware	컴퓨터 하드웨어
Computer hardware	분류:하드웨어
Computer network	컴퓨터 네트워크
Computer program	컴퓨터 프로그램
Computer programming	컴퓨터 프로그래밍
Computer programming	분류:컴퓨터 프로그래밍
Computer science	전산학
Computer science	분류:전산학
Computer software	컴퓨터 소프트웨어
Computer virus	컴퓨터 바이러스
Computer-aided design	컴퓨터 지원 설계
Computing	분류:전산
Conakry	코나크리
Concerto	협주곡
Concord	콩코드 (뉴햄프셔 주)
Condom	콘돔
Conducting	지휘
Cone (geometry)	원뿔
Confederate States of America	남부동맹
Confederation	국가연합
Confirmation	견진성사
Conflict	갈등
Confucianism	유교
Confucius	공자
Congo	콩고
Congo River	콩고 강
Conic section	원뿔 곡선
Connecticut	코네티컷 주
Connecticut	분류:코네티컷 주
Conquistador	콘키스타도르
Consensus	총의
Conservation of energy	에너지 보존
Conservatism	보수주의
Consonant	닿소리
Constantine I	콘스탄티누스 1세
Constantinople	콘스탄티노폴리스
Constellation	별자리
Constitution (political)	헌법
Consul	집정관
Consumption (economics)	소비
Contact lens	콘택트 렌즈
Continent	대륙
Continental drift	대륙이동설
Continental shelf	대륙붕
Contract	미국의 계약법
Convection	대류
Cooking	요리
Cooperative	생활협동조합
Coordinate system	좌표계
Coordinated Universal Time	협정 세계시
Copenhagen	코펜하겐
Copper	구리
Copyright	저작권
Coral	산호
Coral Sea	산호해
Coriander	고수 (식물)
Corinth	코린토스
Coriolis effect	코리올리 효과
Cornea	각막
Cornell University	코넬 대학교
Cornwall	콘월 주
Corona Borealis	북쪽왕관자리
Corporation	주식회사
Corsica	코르시카
Corvidae	까마귀과
Corvus (constellation)	까마귀자리
Cosmic ray	우주선 (물리)
Cosmology	우주론
Cosmology	분류:우주론
Costa Rica	코스타리카
Costa Rica	분류:코스타리카
Cotton	목화
Cougar	퓨마
Coulomb	쿨롱
Coulomb's law	쿨롱의 법칙
Council of Chalcedon	칼케돈 공의회
Council of Ephesus	에페소스 공의회
Council of Trent	트리엔트 공의회
Counterpoint	대위법
Court	법원
Covalent bond	공유 결합
Coyote	코요테
Crab	게
Crab Nebula	게 성운
Crane (bird)	두루미과
Crater (constellation)	컵자리
Creationism	창조론
Cremona	크레모나
Cretaceous	백악기
Crete	크리티 지역
Cricket	크리켓
Cricket (insect)	귀뚜라미과
Crimea	크림 공화국
Crimean War	크림 전쟁
Criminal law	분류:형법
Criminal law	형법
Criminology	분류:범죄학
Croatia	크로아티아
Croatia	분류:크로아티아
Crocodile	크로커다일과
Crocodilia	악어
Cronus	크로노스
Cross	십자
Cross product	외적
Crossbow	석궁
Crossword	십자말
Crow	까마귀속
Crucifixion	십자가형
Cruiser	순양함
Crustacean	갑각류
Crux	남십자자리
Cryptography	암호학
Cryptography	분류:암호학
Crystal	결정
Crystallography	분류:결정학
Cuba	쿠바
Cuba	분류:쿠바
Cube	정육면체
Cubic metre	세제곱미터
Cubism	입체파
Cuculiformes	뻐꾸기목
Cucumber	오이
Cultural Revolution	문화 대혁명
Culture	문화
Culture	분류:문화
Cumulus cloud	적운
Cupressaceae	측백나무과
Curitiba	쿠리치바
Curium	퀴륨
Currency	분류:통화
Currency	통화
Curve	곡선
Cusco	쿠스코
Cyan	옥색
Cyanide	사이안화물
Cyanobacteria	남조류
Cybernetics	사이버네틱스
Cyberpunk	사이버펑크
Cyclone	사이클론 (열대저기압)
Cygnus (constellation)	고니자리
Cylinder (geometry)	원기둥
Cyprinid	잉어과
Cypriniformes	잉어목
Cyprus	키프로스
Cyprus	분류:키프로스
Cyrillic alphabet	키릴 문자
Cyrus the Great	키루스 2세
Cytoplasm	세포질
Cytoskeleton	세포골격
Czech Republic	체코
Czech Republic	분류:체코
Czechoslovakia	체코슬로바키아
Czechoslovakia	분류:체코슬로바키아
D	D
D. H. Lawrence	D. H. 로렌스
DDT	DDT
DNA	디옥시리보핵산
DOS	도스
DVD	DVD
Dada	다다이즘
Dakar	다카르
Dalai Lama	달라이 라마
Dallas	댈러스
Dalmatia	달마티아
Dam	댐
Damascus	다마스쿠스
Dance	춤
Dance	분류:춤
Dandelion	민들레속
Daniel Bernoulli	다니엘 베르누이
Daniel Ortega	다니엘 오르테가
Dante Alighieri	단테 알리기에리
Danube	도나우 강
Daphne	다프네
Dar es Salaam	다르에스살람
Dardanelles	다르다넬스 해협
Darfur	다르푸르
Darjeeling	다르질링
Dark matter	암흑 물질
Darmstadtium	다름슈타튬
Darwin	다윈 (노던 준주)
Darwin	다윈
Das Kapital	자본론
Data	자료
Data mining	데이터 마이닝
Data structure	자료 구조
Database	데이터베이스
Database management system	데이터베이스 관리 시스템
Daugavpils	다우가프필스
David	다윗 왕
David Hilbert	다비드 힐베르트
David Hume	데이비드 흄
David Livingstone	데이비드 리빙스턴
David Ricardo	데이비드 리카도
Davis Cup	데이비스컵
Day	날
Days	분류:날짜
De facto	De facto
Deacon	부제
Dead Sea	사해
Dead Sea scrolls	사해 문서
Death	죽음
Death	분류:죽음
Decade	연대 (연도)
December	12월
December 31	12월 31일
December 8	12월 8일
Decibel	데시벨
Decimal	십진법
Declination	적위
Deco	데쿠
Deductive reasoning	연역법
Deer	사슴과
Deflation	디플레이션
Degree (angle)	도 (각도)
Deimos (moon)	데이모스 (위성)
Deism	이신론
Delaware	델라웨어 주
Delaware	분류:델라웨어 주
Delft	델프트
Delhi	델리
Dell	델
Delphinus	돌고래자리
Delta	델타
Delta (letter)	Δ
Deluge (mythology)	델루게
Demeter	데메테르
Democracy	민주주의
Democratic Party (United States)	민주당 (미국)
Democratic Republic of the Congo	콩고 민주 공화국
Democratic Republic of the Congo	분류:콩고 민주 공화국
Democritus	데모크리토스
Demography	분류:인구학
Demon	데몬 (악귀)
Deng Xiaoping	덩샤오핑
Denis Diderot	드니 디드로
Denmark	덴마크
Denmark	분류:덴마크
Density	밀도
Dentistry	분류:치과
Dentistry	치과
Denver	덴버
Derivative	미분
Dermatology	피부과
Des Moines	디모인
Desert	사막
Deserts	분류:사막
Desiderius Erasmus	데시데리우스 에라스무스
Design	디자인
Design	분류:디자인
Desmond Tutu	데스몬드 투투
Destroyer	구축함
Determinant	행렬식
Determinism	결정론
Detroit	디트로이트
Deuterium	중수소
Deuteronomy	신명기
Developmental psychology	발달심리학
Device driver	디바이스 드라이버
Devonian	데본기
Dew point	이슬점
Dhaka	다카
Dharma	법보
Dhaulagiri	다울라기리 산
Dhole	승냥이
Diabetes mellitus	당뇨병
Diacritic	발음 구별 기호
Dialect	방언
Dialectic	변증법
Dialectical materialism	변증법적 유물론
Diameter	지름
Diamond	다이아몬드
Diana	영국의 다이애나 왕세자빈
Diarrhea	설사
Diaspora	디아스포라
Diatom	규조류
Dice	주사위
Dicotyledon	쌍떡잎식물
Dictatorship	독재
Dictionary	사전
Diesel	경유
Diesel engine	디젤 엔진
Dietrich Bonhoeffer	디트리히 본회퍼
Differential equation	미분 방정식
Diffraction	회절
Digestion	소화 (생물학)
Digestive system	분류:소화 기관
Digital	디지털
Digital camera	디지털 카메라
Digital subscriber line	디지털 가입자 회선
Dimension	차원
Dingo	딩고
Dinosaur	공룡
Diocletian	디오클레티아누스
Diode	다이오드
Dionysus	디오니소스
Diplomacy	외교
Diplomacy	분류:외교
Direct current	직류
Disambiguation	분류:동음이의어 문서
Disc jockey	디스크자키
Discrimination	차별
Disease	질병
Distance	거리
Divergence	발산 (벡터)
Division (mathematics)	나눗셈
Djibouti	분류:지부티
Djibouti (city)	지부티 (수도)
Dmitri Mendeleev	드미트리 멘델레예프
Dmitri Shostakovich	드미트리 쇼스타코비치
Dnieper River	드니프로 강
Dnipropetrovsk	드니프로페트로우시크
Document	문서
Dodecahedron	정십이면체
Dodo	도도
Dog	개
Dogma	교리
Doha	도하
Dollar	달러
Dolly (sheep)	돌리
Dolmen	고인돌
Dolphin	돌고래
Domain (biology)	도메인 (생물학)
Domain name	도메인 이름
Dome	돔
Domesday Book	둠스데이 북
Domestication	가축화
Dominica	도미니카
Dominica	분류:도미니카
Dominican Order	도미니코회
Dominican Republic	도미니카 공화국
Dominican Republic	분류:도미니카 공화국
Domitian	도미티아누스
Don Quixote	돈 키호테
Don River (Russia)	돈 강
Donald Duck	도널드 덕
Donetsk	도네치크
Donkey	당나귀
Door	문
Dopamine	도파민
Doppler effect	도플러 효과
Dorado	황새치자리
Doris Lessing	도리스 레싱
Dortmund	도르트문트
Double bass	콘트라베이스
Douglas MacArthur	더글러스 맥아더
Dover	도버 (델라웨어 주)
Dover	도버
Down syndrome	다운 증후군
Draco (constellation)	용자리
Dracula	드라큘라
Drama	드라마
Draughts	체커
Dresden	드레스덴
Drink	음료
Drought	가뭄
Drug addiction	중독
Drum	북
Dubai	두바이
Dublin	더블린
Dubnium	더브늄
Dubrovnik	두브로브니크
Duck	오리
Dugong	듀공
Duke	공작 (작위)
Duke University	듀크대학교
Durban	더반
Dushanbe	두샨베
Dustin Hoffman	더스틴 호프먼
Dutch people	분류:네덜란드 사람
Dwight D. Eisenhower	드와이트 아이젠하워
Dynamics (physics)	동역학
Dynamite	다이너마이트
Dysprosium	디스프로슘
Dystopia	디스토피아
E	E
E (mathematical constant)	E (상수)
E-mail	전자 우편
ETA	ETA
Eagle	독수리류
Ear	귀
Eared seal	물개과
Earless seal	물범과
Earth	지구
Earth	분류:지구
Earth science	지구과학
Earthquake	지진
East	동쪽
East Africa	동아프리카
East China Sea	동중국해
East Germany	독일민주공화국
East Timor	동티모르
East Timor	분류:동티모르
Easter	부활절
Eastern Orthodox Church	동방정교회
Ebola	에볼라 바이러스
Eccentricity (mathematics)	이심률
Ecclesiastes	전도서
Echidna	가시두더지
Echidna (mythology)	에키드나
Echinoderm	극피동물
Eclipse	식 (천문)
Eclipse (software)	이클립스
Ecliptic	황도
Ecology	생태학
Ecology	분류:생태학
Economics	경제학
Economics	분류:경제학
Economy	경제
Ecosystem	생태계
Ecuador	에콰도르
Ecuador	분류:에콰도르
Ecumenical council	공의회
Edgar Allan Poe	에드거 앨런 포
Edgar Degas	에드가르 드가
Edinburgh	에든버러
Edirne	에디르네
Edmond Halley	에드먼드 핼리
Edmonton	에드먼턴
Edmund Burke	에드먼드 버크
Edmund Hillary	에드먼드 힐러리
Edmund Husserl	에드문트 후설
Edo	에도
Eduard Buchner	에드워드 부크너
Education	교육
Education	분류:교육
Edvard Grieg	에드바르 그리그
Edvard Munch	에드바르드 뭉크
Edward Gibbon	에드워드 기번
Edward Jenner	에드워드 제너
Edward Teller	에드워드 텔러
Edwin Hubble	에드윈 허블
Egg (biology)	알
Egypt	이집트
Egypt	분류:이집트
Egyptian pound	이집트 파운드
Eiffel Tower	에펠 탑
Eindhoven	에인트호번
Einsteinium	아인슈타이늄
Ejaculation	사정 (생리학)
El Greco	엘 그레코
El Paso	엘패소
El Salvador	엘살바도르
El Salvador	분류:엘살바도르
Elam	엘람 제국
Elbe	엘베 강
Eleanor Roosevelt	엘리너 루스벨트
Election	선거
Electric charge	전하
Electric current	전류
Electric field	전기장
Electric guitar	전기 기타
Electric motor	유도전동기
Electrical engineering	분류:전기공학
Electrical resistance	전기저항
Electricity	전기
Electricity	분류:전기
Electrochemistry	전기화학
Electrochemistry	분류:전기화학
Electrolysis	전기 분해
Electrolyte	전해질
Electromagnetic radiation	전자기파
Electromagnetic spectrum	전자기 스펙트럼
Electromagnetism	전자기학
Electromagnetism	분류:전자기학
Electron	전자
Electronegativity	전기 음성도
Electronics	전자공학
Electronics	분류:전자공학
Element	원소
Elementary particle	기본입자
Elephant	코끼리
Elevator	승강기
Elf	엘프
Elijah	엘리야
Elizabeth Taylor	엘리자베스 테일러
Ellipse	타원
Elm	느릅나무속
Elvis Presley	엘비스 프레슬리
Emiliano Zapata	에밀리아노 사파타
Emily Dickinson	에밀리 디킨슨
Emir	아미르
Emma Goldman	에마 골드먼
Emoticon	이모티콘
Emotion	감정
Emotion	분류:감정
Empathy	감정이입
Emperor	황제
Emperor Penguin	황제펭귄
Empire	제국
Empire State Building	엠파이어 스테이트 빌딩
Empiricism	경험론
Emulator	에뮬레이터
Encyclopedia	백과사전
Endemism	고유종
Endocrinology	분류:내분비학
Energy	에너지
Energy	분류:에너지
Energy (society)	에너지
Engine	기관 (기계)
Engineer	기술자
Engineering	공학
Engineering	분류:공학
England	잉글랜드
England	분류:잉글랜드
English Channel	영국 해협
English language	영어
English language	분류:영어
Enki	에아
Enrico Fermi	엔리코 페르미
Entertainment	분류:오락
Enthalpy	엔탈피
Entomology	곤충학
Entomology	분류:곤충학
Entropy	엔트로피
Environment	분류:환경
Environment	환경
Enzyme	효소
Eocene	에오세
Eos	에오스
Ephesus	에페소스
Epicurus	에피쿠로스
Epigraphy	금석문
Epinephrine	아드레날린
Epiphany (Christian)	주현절
Epirus (periphery)	이피로스 지역
Epistle to the Galatians	갈라티아 신자들에게 보낸 서간
Epithelium	상피세포
Epsilon	Ε
Equation	방정식
Equator	적도
Equatorial Guinea	적도 기니
Equatorial Guinea	분류:적도 기니
Equidae	말과
Equinox	분점
Equisetum	속새류
Erato	에라토
Eratosthenes	에라토스테네스
Erbium	어븀
Erection	발기
Ericaceae	진달래과
Ericales	진달래목
Eridanus (constellation)	에리다누스자리
Eris (dwarf planet)	136199 에리스
Eris (mythology)	에리스 (신화)
Eritrea	분류:에리트레아
Ernest Hemingway	어니스트 헤밍웨이
Ernest Rutherford	어니스트 러더퍼드
Eros (mythology)	에로스
Erwin Rommel	에르빈 롬멜
Escape velocity	탈출 속도
Escherichia coli	대장균
Esophagus	식도
Esperanto	에스페란토
Esperanto	분류:에스페란토
Espionage	간첩
Espresso	에스프레소
Essay	수필
Essen	에센
Ester	에스터
Estonia	분류:에스토니아
Estrogen	에스트로겐
Eta (letter)	Η
Etching	에칭
Ethane	에테인
Ethanol	에탄올
Ether	에테르 (화학)
Ethernet	이더넷
Ethics	분류:윤리
Ethiopia	에티오피아
Ethiopia	분류:에티오피아
Ethnic group	민족
Ethnography	문화기술연구
Ethology	동물행동학
Ethylene	에틸렌
Eucharist	성찬
Euclid	에우클레이데스
Euclidean geometry	유클리드 기하학
Eukaryote	진핵생물
Eunuch	환관
Euphrates	유프라테스 강
Eurasia	유라시아
Eurasian Badger	오소리
Euripides	에우리피데스
Euro	유로
Europa (moon)	에우로파 (위성)
Europa (mythology)	에우로파 (신화)
Europe	유럽
Europe	분류:유럽
European Central Bank	유럽 중앙은행
European Community	유럽 공동체
European Magpie	까치
European Union	유럽 연합
European Union	분류:유럽 연합
Europium	유로퓸
Euterpe	에우테르페
Euthanasia	안락사
Evangelista Torricelli	에반젤리스타 토리첼리
Evaporation	증발
Even-toed ungulate	소목
Evolution	진화
Excalibur	엑스칼리버
Exchange rate	환율
Exclamation mark	느낌표
Existentialism	실존주의
Exodus	출애굽기
Expected value	기대값
Explosion	폭발
Expo (exhibition)	세계 박람회
Exponential function	지수 함수
Exponentiation	거듭제곱
Expressionism	표현주의
Extinction	멸종
Eye	눈 (동물)
Eye	분류:눈 (동물)
F	F
F. Scott Fitzgerald	F. 스콧 피츠제럴드
Fable	우화
Face	얼굴
Fact	틀:출처
Factorial	계승
Factory	공장
Facula	광반
Fagaceae	분류:참나무과
Fagales	참나무목
Fahrenheit	화씨
Fair use	공정 이용
Fairy	페어리
Fairy tale	동화
Falkland Islands	포클랜드 제도
Falun Gong	파룬궁
Family (biology)	과 (생물학)
Fantasy	판타지
Far East	극동
Farad	패럿
Faroe Islands	분류:페로 제도
Fascism	파시즘
Fashion	분류:패션
Fashion	패션
Fast food	즉석식
Fatty acid	지방산
Fault (geology)	단층
Fauvism	야수파
Fax	팩시밀리
February	2월
February 12	2월 12일
February 14	2월 14일
February 2	2월 2일
February 22	2월 22일
February 29	2월 29일
February Revolution	러시아 2월 혁명
Feces	똥
Federal Bureau of Investigation	미국 연방 수사국
Federal Reserve System	연방준비제도
Federated States of Micronesia	미크로네시아 연방
Federated States of Micronesia	분류:미크로네시아 연방
Fedora (Linux distribution)	페도라 코어
Feedback	피드백
Feldspar	장석
Felidae	고양이과
Felix Mendelssohn	펠릭스 멘델스존
Feminism	여성주의
Feminism	분류:페미니즘
Ferdinand Magellan	페르디난드 마젤란
Ferdinand de Saussure	페르디낭 드 소쉬르
Fermentation (biochemistry)	발효
Fermentation (food)	발효
Fermion	페르미온
Fermium	페르뮴
Fertilizer	비료
Feudalism	봉건 제도
Fibonacci number	피보나치 수
Fiction	분류:허구
Fidel Castro	피델 카스트로
Field (mathematics)	체 (수학)
Field hockey	필드하키
Fighter aircraft	전투기
Figure skating	피겨 스케이팅
Fiji	피지
Fiji	분류:피지
File Allocation Table	파일 할당 테이블
File Transfer Protocol	파일 전송 프로토콜
File system	파일 시스템
Filippo Brunelleschi	필리포 브루넬레스키
Film	분류:영화
Film	영화
Fin Whale	긴수염고래
Finance	분류:금융
Finance	금융
Finger	손가락
Fingerprint	지문
Finland	핀란드
Finland	분류:핀란드
Fir	전나무속
Fire	불
Firearm	화기
Firewall (networking)	방화벽 (네트워킹)
Firmware	펌웨어
First Council of Nicaea	제1차 니케아 공의회
First Crusade	제1차 십자군
First Epistle to the Corinthians	코린토 신자들에게 보낸 첫째 서간
First language	모어
Fish	물고기
Fish	분류:어류
Fishing	낚시
Fishing	분류:낚시
Fjord	피오르
Flag	깃발
Flanders	플란데런
Flash memory	플래시 메모리
Flatulence	방귀
Flint	플린트
Flip-flop (electronics)	플립플롭
Flood	홍수
Floppy disk	디스켓
Florence	피렌체
Florence Nightingale	플로렌스 나이팅게일
Florida	플로리다 주
Florida	분류:플로리다 주
Flour	밀가루
Flower	꽃
Flowering plant	속씨식물
Fluid	유체
Fluid mechanics	유체역학
Flute	플루트
Fly	파리류
Fog	안개
Folic acid	잎산
Food	음식
Food and Agriculture Organization	국제 연합 식량 농업 기구
Foot	발
Foot (unit of length)	피트
Football (soccer)	축구
Football (soccer)	분류:축구
Football (soccer) by country	분류:나라별 축구
Football (soccer) clubs	분류:축구 클럽팀
Football (soccer) managers	분류:축구 감독
Football (soccer) players	분류:축구 선수
Football (soccer) venues	분류:축구 경기 시설
Forbidden City	자금성
Force	힘 (물리)
Forest	숲
Forestry	임업
Fork	포크
Form of government	정부 형태
Formaldehyde	폼알데하이드
Formic acid	폼산
Fornax	화로자리
Fort Worth	포트워스
Fortification	요새
Fortran	포트란
Fossil	화석
Fossil fuel	화석 연료
Fountain	분수 (물)
Fourier series	푸리에 급수
Fourth Crusade	제4차 십자군
Fox	여우
Fractal	프랙탈
Fraction (mathematics)	분수 (수학)
France	프랑스
France	분류:프랑스
Francis Bacon	프랜시스 베이컨 (철학자)
Francis Crick	프랜시스 크릭
Francis Drake	프랜시스 드레이크
Francis of Assisi	아시시의 프란체스코
Franciscan	프란체스코회
Francisco Franco	프란시스코 프랑코
Francisco Goya	프란시스코 고야
Francium	프랑슘
Franco-Prussian War	프로이센-프랑스 전쟁
Frank Lloyd Wright	프랭크 로이드 라이트
Frankfort	프랭크퍼트
Frankfurt	프랑크푸르트
Frankfurt	분류:프랑크푸르트
Franklin Pierce	프랭클린 피어스
Franz Kafka	프란츠 카프카
Franz Liszt	프란츠 리스트
Franz Schubert	프란츠 슈베르트
Frederick I	신성 로마 제국의 프리드리히 1세
Frederick II	신성로마제국의 프리드리히 2세
Frederick Sanger	프레더릭 생어
Fredericton	프레더릭턴
Freedom (philosophy)	자유
Freedom of speech	표현의 자유
Freemasonry	프리메이슨
Freetown	프리타운
Freeware	프리웨어
French Polynesia	프랑스령 폴리네시아
French Polynesia	분류:프랑스령 폴리네시아
French Revolution	프랑스 혁명
French Revolution	분류:프랑스 혁명
French people	분류:프랑스 사람
Frequency	진동수
Fresco	프레스코
Freshwater	민물
Fresno	프레즈노
Freyja	프레이야
Freyr	프레위르
Friction	마찰력
Friday	금요일
Fridtjof Nansen	프리티오프 난센
Friedrich Engels	프리드리히 엥겔스
Friesland	프리슬란트 주
Frigate	프리깃
Frigg	프리그
Fritz Haber	프리츠 하버
Frog	개구리목
Fructose	프럭토스
Fruit	열매
Fruit	분류:과일
Fucking	푸킹
Fuel	연료
Fuel cell	연료전지
Fugue	푸가
Fukuoka	후쿠오카 시
Full moon	보름달
Funafuti	푸나푸티
Function (mathematics)	함수
Fundamental	분류:기본 분류
Fundamental interaction	기본 상호작용
Fundamentalism	원리주의
Fungi	분류:균계
Fungus	균계
Funk	펑키
Furniture	분류:가구
Future	미래
Fuzzy logic	퍼지
Fyodor Dostoevsky	표도르 도스토옙스키
G	G
GIMP	김프
GNOME	그놈
GNU	GNU
Gabon	가봉
Gabon	분류:가봉
Gaborone	가보로네
Gabriel	대천사 가브리엘
Gabriel Lippmann	가브리엘 리프만
Gadolinium	가돌리늄
Gaetano Donizetti	가에타노 도니체티
Gaia (mythology)	가이아
Galatia	갈라티아
Galaxy	은하
Galicia (Spain)	갈리시아 지방
Galilee	갈릴리
Galileo (spacecraft)	갈릴레오 우주선
Galileo Galilei	갈릴레오 갈릴레이
Galley	갤리
Galliformes	닭목
Galliformes	분류:닭목
Gallium	갈륨
Gallon	갤런
Gamal Abdel Nasser	가말 압델 나세르
Gambling	도박
Game	놀이
Game theory	게임 이론
Gamma	Γ
Gamma ray	감마선
Ganesha	가네샤
Ganges	갠지스 강
Ganja	간자
Gansu	간쑤 성
Ganymede (moon)	가니메데
Garden	정원
Garden of Eden	에덴 동산
Gardening	원예
Garfield	가필드
Garlic	마늘
Gas	기체
Gas constant	기체 상수
Gas giant	목성형 행성
Gasoline	휘발유
Gastrointestinal tract	소화 기관
Gastropoda	복족류
Gaul	갈리아
Gautama Buddha	싯다르타 고타마
Gaza Strip	가자 지구
Gear	톱니바퀴
Gemini (constellation)	쌍둥이자리
Gene	유전자
General Agreement on Tariffs and Trade	관세 무역 일반 협정
General Officer	장군
General relativity	일반 상대성 이론
Genesis	창세기
Genetic code	코돈
Genetic engineering	유전공학
Genetics	유전학
Genetics	분류:유전학
Geneva	제네바
Genoa	제노바
Genocide	학살
Genome	게놈
Genotype	유전형
Genus	속 (생물학)
Geodesy	분류:측지학
Geography	지리학
Geography	분류:지리
Geology	분류:지질학
Geology	지질학
Geometric progression	등비수열
Geometry	기하학
Geometry	분류:기하학
Geophysics	지구물리학
Geophysics	분류:지구물리학
Georg Wilhelm Friedrich Hegel	게오르크 빌헬름 프리드리히 헤겔
George Berkeley	조지 버클리
George Bernard Shaw	조지 버나드 쇼
George Boole	조지 불
George Bush	조지 부시
