English	Ukrainian
0 (number)	0 (число)
1	1
1 (number)	1 (число)
10	10
10 (number)	10 (число)
100	100
1000	1000
101	101
105	105
11	11
11 (number)	11 (число)
110	110
115	115
12	12
12 (number)	12 (число)
120	120
125	125
13	13
13 (number)	13 (число)
130	130
135	135
14	14
14 (number)	14 (число)
140	140
144	144
145	145
15	15
15 (number)	15 (число)
150	150
1530s	1530-ті
155	155
16	16
16 (number)	16 (число)
160	160
165	165
17	17
17 (number)	17 (число)
170	170
1728	1728
175	175
1750s	1750-ті
1750s	Категорія:1750-ті
1760s	1760-ті
1760s	Категорія:1760-ті
1770s	1770-ті
1770s	Категорія:1770-ті
1780s	1780-ті
1780s	Категорія:1780-ті
1790s	1790-ті
1790s	Категорія:1790-ті
18	18
180	180
1820s	1820-ті
1820s	Категорія:1820-ті
1830s	1830-ті
1830s	Категорія:1830-ті
1840s	1840-ві
1840s	Категорія:1840-ві
1850s	1850-ті
1860s	1860-ті
1860s	Категорія:1860-ті
1870s	1870-ті
1870s	Категорія:1870-ті
1880s	1880-ті
1880s	Категорія:1880-ті
1890s	1890-ті
1890s	Категорія:1890-ті
19	19
190	190
1900s	1900-ті
1900s	Категорія:1900-ті
1920s	1920-ті
1920s	Категорія:1920-ті
1930s	1930-ті
1930s	Категорія:1930-ті
1940s	1940-ві
1940s	Категорія:1940-ві
1950s	1950-ті
1950s	Категорія:1950-ті
1960s	1960-ті
1960s	Категорія:1960-ті
1970s	1970-ті
1970s	Категорія:1970-ті
1980s	1980-ті
1980s	Категорія:1980-ті
1990s	1990-ті
1990s	Категорія:1990-ті
2	2
2 (number)	2 (число)
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (телесеріал)
25	25
26	26
27	27
28	28
29	29
3	3
3 (number)	3 (число)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	4 (число)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	5 (число)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (число)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (число)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (число)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (число)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A (латиниця)
A (Cyrillic)	Аз
A cappella	А капела
AIDS	СНІД
ALGOL	АЛГОЛ
Aachen	Аахен
Aaron	Аарон (Біблія)
Abacus	Абак
Abadan	Абадан
Abbot	Абат
Abbreviation	Абревіатура
Abdomen	Черевце
Aberdeen	Абердін
Abidjan	Абіджан
Abkhazia	Абхазія
Abkhazia	Категорія:Абхазія
Abolitionism	Аболіціонізм
Abortion	Аборт
Abraham	Авраам
Abraham Lincoln	Абрахам Лінкольн
Absinthe	Абсент
Absolute value	Абсолютна величина
Absolute zero	Абсолютний нуль
Abstract art	Абстрактне мистецтво
Abstract expressionism	Абстрактний експресіонізм
Abstraction	Абстракція
Abu Dhabi	Абу-Дабі
Abu Dhabi (emirate)	Абу-Дабі
Abuja	Абуджа
Acacia	Акація
Academy Award	Оскар (премія)
Acapulco	Акапулько
Acceleration	Прискорення
Accipitridae	Яструбові
Accordion	Акордеон
Accountancy	Бухгалтерський облік
Accountancy	Категорія:Бухгалтерський облік і аудит
Accra	Аккра
Accusative case	Знахідний відмінок
Acetic acid	Оцтова кислота
Acetone	Ацетон
Acetylcholine	Ацетилхолін
Acetylene	Ацетилен
Acheron	Ахеронт
Achillea millefolium	Деревій звичайний
Achilles	Ахіллес
Acid	Кислота
Acid rain	Кислотні дощі
Aconcagua	Аконкаґуа
Acoustics	Акустика
Acoustics	Категорія:Акустика
Acre	Акр
Acre	Акко (місто)
Acre (state)	Акрі
Acropolis	Акрополь
Actinide	Актиноїди
Actinium	Актиній
Actor	Кіноактор
Acts of the Apostles	Діяння святих апостолів
Acupuncture	Акупунктура
Ad hominem	Argumentum ad Hominem
Ada (programming language)	Ada
Adam	Адам
Adam Smith	Адам Сміт
Adana	Адана
Adansonia	Баобаб
Addis Ababa	Аддис-Абеба
Adelaide	Аделаїда
Aden	Аден
Adenine	Аденін
Adenosine triphosphate	Аденозинтрифосфат
Adiabatic process	Адіабатичний процес
Adige	Адідже
Adjective	Прикметник
Admiral	Адмірал
Adolf Hitler	Адольф Гітлер
Adonis	Адоніс
Adoption	Адопція
Adriatic Sea	Адріатичне море
Adsorption	Адсорбція
Adult	Дорослий
Adverb	Прислівник
Advertising	Реклама
Aegean Sea	Егейське море
Aeneas	Еней
Aeneid	Енеїда
Aeolus	Еол
Aerodynamics	Аеродинаміка
Aerosol	Аерозолі
Aeschylus	Есхіл
Aesthetics	Естетика
Affix	Афікс
Afghanistan	Афганістан
Afghanistan	Категорія:Афганістан
Africa	Африка
Africa	Категорія:Африка
Afrikaans	Африкаанс
Agamemnon	Агамемнон
Agar	Агар-агар
Agate	Агат (мінерал)
