English	Chinese
Bosnia and Herzegovina	Category:波士尼亞赫塞哥維納
Boson	玻色子
Bosporus	博斯普鲁斯海峡
Boston	波士顿
Boston Tea Party	波士頓茶葉事件
Bot	Template:Bot
Botanical garden	植物園
Botany	植物學
Botany	Category:植物學
Botswana	波札那
Botswana	Category:波札那
Bottle	瓶子
Bottlenose Dolphin	宽吻海豚
Bourgeoisie	資產階級
Bourgogne	勃艮第
Bouvet Island	布韦岛
Bovid	牛科
Bow (weapon)	弓
Bowling	保齡球
Boxer (dog)	拳師犬
Boxing	拳击
Boxing	Category:拳擊
Boyle's law	玻意耳定律
Bracket	括号
Braga	布拉加
Brahma	梵天
Brahmaputra River	雅鲁藏布江
Braille	盲文
Brain	脑
Brainstorming	腦力激盪法
Bram Stoker	布拉姆·斯托克
Brandenburg	勃兰登堡
Brandy	白兰地
Brass	黃銅
Brassicaceae	十字花科
Brassiere	胸罩
Bratislava	布拉迪斯拉发
Braunschweig	不伦瑞克
Brazil	巴西
Brazil	Category:巴西
Brazzaville	布拉柴维尔
Bread	麵包
Breast	乳房
Breast cancer	乳癌
Bremen	不来梅
Bremen (state)	不來梅州
Bremerhaven	不来梅港
Brescia	布雷西亚
Brest	布列斯特
Brest	布雷斯特
Bretagne	布列塔尼
Brick	磚
Bridge	橋
Bridges	Category:橋樑
Bridgetown	布里奇敦
Brigade	旅
Brighton	布赖顿
Brindisi	布林迪西
Brisbane	布里斯班
Bristol	布里斯托尔
British Columbia	不列颠哥伦比亚
British Empire	大英帝国
British Isles	不列顛群島
British Virgin Islands	英屬維爾京群島
British people	Category:英国人
Brno	布爾諾
Broadway (New York City)	百老匯
Broccoli	西蘭花
Bromine	溴
Bronze	青铜
Bronze Age	青铜时代
Brooklyn	布鲁克林区
Brooklyn Bridge	布魯克林大橋
Brown	褐色
Brown Bear	棕熊
Brownian motion	布朗運動
Bruce Lee	李小龙
Bruges	布鲁日
Brunei	文莱
Brunei	Category:文萊
Brussels	布鲁塞尔
Bubonic plague	腺鼠疫
Bucharest	布加勒斯特
Buckingham Palace	白金汉宫
Buckminster Fuller	巴克敏斯特·富勒
Buckwheat	蕎麥
Budapest	布达佩斯
Buddha	佛
Buddhism	佛教
Buddhism	Category:佛教
Buddy Holly	巴迪·霍利
Buenos Aires	布宜諾斯艾利斯
Buffalo	水牛城
Building	建築物
Bujumbura	布琼布拉
Bulgaria	保加利亚
Bulgaria	Category:保加利亚
Buoyancy	浮力
Bureaucracy	官僚制
Burgomaster	市长
Burkina Faso	布吉納法索
Burkina Faso	Category:布吉納法索
Burma	缅甸
Burma	Category:緬甸
Burqa	波卡
Bursa	布尔萨
Burundi	Category:布隆迪
Bus	公共汽車
Bus (computing)	总线
Business	工商业
Businesspeople	Category:企业家
Buster Keaton	巴基特·基頓
Butane	丁烷
Butter	黄油
Butterfly	蝴蝶
Butterfly effect	蝴蝶效应
Bydgoszcz	比得哥什
Byte	字节
C	C
C (programming language)	C语言
C. S. Lewis	C·S·路易斯
CD (disambiguation)	CD (消歧义)
CHAOS (Linux distribution)	CHAOS
CN Tower	西恩塔
COBOL	COBOL
Cabaret	卡巴萊
Cacao	可可
Cache	高速缓存
Cactus	仙人掌
Cadmium	镉
Cadmus	卡德摩斯
Caelum	雕具座
Caesium	铯
Caffeine	咖啡因
Cairo	开罗
Cake	蛋糕
Calabria	卡拉布里亚
Calais	加来
Calcite	方解石
Calcium	钙
Calcium carbonate	碳酸鈣
Calcium oxide	氧化钙
Calculator	计算器
Calculus	微积分
Caldera	破火山口
Calendar	历法
Caliber	口徑
California	加利福尼亚州
California	Category:加利福尼亞州
Californium	锎
Caligula	卡利古拉
Caliph	哈里發
Calligraphy	书法
Calliope	卡利俄佩
Callisto (moon)	木卫四
Callisto (mythology)	卡利斯托
Calorie	卡路里
Calvados	卡尔瓦多斯省
Calvary	各各他
Calvin Coolidge	卡尔文·柯立芝
Calvinism	喀爾文主義
Calypso (mythology)	卡吕普索
Cambodia	柬埔寨
Cambodia	Category:柬埔寨
Cambrian	寒武纪
Cambridge	劍橋
Cambridge	剑桥 (马萨诸塞州)
Cambridge (disambiguation)	劍橋 (消歧義)
Camel	骆驼
Camembert (cheese)	金银毕
Camera	照相機
Cameroon	喀麦隆
Cameroon	Category:喀麥隆
Campania	坎帕尼亚
Canada	加拿大
Canada	Category:加拿大
Canadian dollar	加拿大元
Canal	运河
Canary Islands	加那利群岛
Canary Islands	Category:加那利群岛
Canberra	堪培拉
Cancer	癌症
Cancer (constellation)	巨蟹座
Candela	坎德拉
Candle	蜡烛
Canidae	犬科
Canis Major	大犬座
Canis Minor	小犬座
Cannabis	麻
Cannabis (drug)	大麻
Cannes	戛纳
Cannibalism	同类相食
Cannon	加农炮
Canoe	独木舟
Canon (company)	佳能
Canopus	老人星
Cantata	康塔塔
Canterbury	坎特伯雷
Cantonese (linguistics)	粤语
Canute the Great	卡紐特大帝
Capacitance	電容
Capacitor	电容器
Cape Canaveral	卡纳维拉尔角
Cape Horn	合恩角
Cape Town	開普敦
Cape Verde	佛得角共和国
Cape Verde	Category:佛得角
Cape of Good Hope	好望角
Capital	首都
Capital (economics)	资本
Capital punishment	死刑
Capitalism	资本主义
Cappadocia	卡帕多细亚
Capricornus	摩羯座
Caracal	獰貓
Caracas	卡拉卡斯
Carambola	楊桃
Carat (mass)	克拉
Carat (purity)	克拉
Caravaggio	卡拉瓦乔
Carbohydrate	糖类
Carbon	碳
Carbon cycle	碳循環
Carbon dioxide	二氧化碳
Carbon monoxide	一氧化碳
Carbonic acid	碳酸
Carboniferous	石炭纪
Carboxylic acid	羧酸
Carburetor	化油器
Card game	纸牌游戏
Cardamom	白豆蔻
Cardiff	加的夫
Cardinal (Catholicism)	樞機
Cardinal Richelieu	黎塞留
Cardiology	心臟內科
Cardiology	Category:心臟內科
Cardiovascular system	Category:循環系統
Caribbean	加勒比地区
Caribbean	Category:加勒比海地區
Caribbean Sea	加勒比海
Caricature	諷刺畫
Carina (constellation)	船底座
Carl David Anderson	卡尔·戴维·安德森
Carl Jung	卡尔·荣格
Carl Lewis	卡尔·刘易斯
Carl Maria von Weber	卡尔·马利亚·冯·韦伯
Carl Orff	卡尔·奥尔夫
Carnival	狂歡節
Carnivora	食肉目
Carnivore	肉食性
Carnivorous plant	食肉植物
Carolingian dynasty	卡洛林王朝
Carolus Linnaeus	卡尔·林奈
Carpathian Mountains	喀尔巴阡山脉
Carrot	胡萝卜
Carson City	卡森城 (內華達州)
Cartesian coordinate system	笛卡儿坐标系
Cartesian product	笛卡儿积
Carthage	迦太基
Cartography	地图学
Cartography	Category:地图学
Cary Grant	加里·格兰特
Caryophyllales	石竹目
Casablanca	达尔贝达
Cashew	腰果
Casino	賭場
Caspian Sea	裡海
Cassandra	卡珊德拉
Cassiopeia (constellation)	仙后座
Castile (historical region)	卡斯蒂利亚
Castle	城堡
Castling	王車易位
Castries	卡斯特里
Casus belli	战争借口
Cat	猫
Catalonia	加泰罗尼亚
Catalonia	Category:加泰罗尼亚
Catalysis	催化剂
Cataract	白内障
Catfish	鲇形目
Catharism	阿爾比派
Cathedral	座堂
Catherine of Aragon	阿拉貢的凱瑟琳
Cathode	陰極
Catholicism	天主教
Cattle	歐洲牛
Cattle Egret	牛背鹭
Caucasus	高加索
Caucasus Mountains	高加索山脉
Cauliflower	花椰菜
Causality	因果
Cavalry	骑兵
Cave	洞穴
Caviar	鱼子酱
Cayenne	開雲
Cayman Islands	開曼群島
Cecil Rhodes	赛西尔·罗兹
Cedar	香柏
Celery	芹菜
Celestial equator	天赤道
Celestial mechanics	Category:天体力学
Celestial mechanics	天體力學
Celestial sphere	天球
Cell (biology)	细胞
Cell membrane	细胞膜
Cell nucleus	细胞核
Cell wall	細胞壁
Cello	大提琴
Cellulose	纤维素
Celsius	摄氏温标
Cement	水泥
Cemetery	墓葬建筑
Cenozoic	新生代
Census	人口普查
Centaur	半人马
Centaurus	半人马座
Center of mass	质心
Centimetre	厘米
Central Africa	中部非洲
Central African Republic	中非共和國
Central African Republic	Category:中非共和國
Central America	中美洲
Central America	Category:中美洲
Central Intelligence Agency	中央情报局
Central Park	中央公園 (紐約市)
Central Powers	同盟國 (第一次世界大戰)
Central bank	中央银行
Central nervous system	中樞神經系統
Central processing unit	中央处理器
Centre	中央 (大區)
Centriole	中心粒
Century	世纪
Cephalopod	头足纲
Cepheus (constellation)	仙王座
Ceramic	陶瓷材料
Cerberus	刻耳柏洛斯
Cereal	粮食
Cerebellum	小脑
Ceres (dwarf planet)	穀神星
Ceres (mythology)	刻瑞斯
Cerium	铈
Cesare Borgia	凱薩·波吉耳
Cestoda	絛蟲綱
Cetacea	鯨目
Cetus	鲸鱼座
Chad	乍得
Chad	Category:乍得
Chaffinch	苍头燕雀
Chair	椅
Chalcedony	玉髓
Chamaeleon	堰蜒座
Chamois	臆羚
Champagne (wine)	香槟酒
Champagne-Ardenne	香槟-阿登
Channel Tunnel	英法海底隧道
Chaos (mythology)	卡厄斯
Charadriiformes	鸻形目
Charlemagne	查理大帝
Charleroi	沙勒罗瓦
Charles	查爾斯 (威爾斯親王)
Charles Baudelaire	夏尔·波德莱尔
Charles Darwin	查尔斯·达尔文
Charles Dickens	查尔斯·狄更斯
Charles Fourier	夏尔·傅立叶
Charles Lindbergh	查爾斯·林德伯格
Charles Peirce	查尔斯·桑德斯·皮尔士
Charles Thomson Rees Wilson	查尔斯·汤姆森·里斯·威耳孙
Charles de Gaulle	夏爾·戴高樂
Charles the Bald	查理 (秃头)
Charleston	查尔斯顿 (西弗吉尼亚州)
Charlie Chaplin	查理·卓别林
Charlie Parker	查利·帕克
Charlotte	夏洛特 (北卡羅萊那州)
Charon (moon)	冥卫一
Charon (mythology)	卡戎
Chartres	沙特尔
Chauvinism	沙文主义
Che Guevara	切·格瓦拉
Chechnya	车臣共和国
Cheese	乾酪
Cheetah	猎豹
Chelyabinsk	車里雅賓斯克
Chemical bond	化学键
Chemical compound	化合物
Chemical element	元素
Chemical engineering	化学工程
Chemical formula	化学式
Chemical reaction	化学反应
Chemical warfare	化学武器
Chemistry	化学
Chemistry	Category:化学
Chemistry	Portal:化学
Chemnitz	开姆尼茨
Chemotherapy	化学疗法
Chennai	金奈
Cheque	支票
Chernobyl	切尔诺贝利
Cherry	樱桃
Chert	燧石
Cherub	智天使
Chess	國際象棋
Chess	Category:国际象棋
Chester A. Arthur	切斯特·艾伦·阿瑟
Chestnut	栗
Chewing gum	口香糖
Cheyenne	夏延 (怀俄明州)
Chi (letter)	Χ
Chiang Kai-shek	蔣中正
Chicago	芝加哥
Chicken	鸡
Chickenpox	水痘
Chickpea	鹰嘴豆
Chihuahua	奇瓦瓦州
Child	儿童
Childbirth	分娩
Chile	智利
Chile	Category:智利
Chimborazo (volcano)	钦博拉索山
Chimera (mythology)	喀邁拉
Chimpanzee	黑猩猩屬
China	Category:中国
China	中国
Chios	希俄斯
Chiron	喀戎
Chitin	甲殼素
Chlorine	氯
Chloroform	氯仿
Chlorophyll	叶绿素
Chloroplast	叶绿体
Chocolate	巧克力
Choir	合唱
Cholera	霍亂
Cholesterol	膽固醇
Chondrichthyes	軟骨魚綱
Chongqing	重庆市
Chord (music)	和弦
Chordate	脊索动物
Christchurch	基督城
Christiaan Huygens	克里斯蒂安·惠更斯
Christian Dior	克里斯汀·迪奥
Christianity	基督教
Christianity	Category:基督教
Christmas	圣诞节
Christmas	Category:圣诞节
Christmas Eve	聖誕夜
Christmas tree	圣诞树
Christopher Columbus	克里斯托弗·哥伦布
Chromatin	染色质
Chromatography	色谱法
Chromium	铬
Chromosome	染色體
Chronology	Category:年代学
Chukchi Sea	楚科奇海
Church	教会
Church (building)	教堂
Church of England	英國國教會
Cicero	西塞罗
Ciconiiformes	鹳形目
Cider	苹果酒
Cigarette	香煙
Cinderella	灰姑娘
Cinnabar	朱砂
Circe	瑟茜
Circinus	圆规座
Circle	圆
Circulatory system	循环系统
Circumcision	割禮
Circus	马戏
Cirrhosis	肝硬化
Citizenship	公民
Citric acid	檸檬酸
Citric acid cycle	三羧酸循环
Citrus	柑橘属
City-state	城邦
Civil war	内战
Civilization	文明
Civilization (computer game)	文明 (游戏)
Clarinet	單簧管
Clark Gable	克拉克·盖博
Class	类
Class (biology)	纲 (生物)
Class (computer science)	类 (计算机科学)
Classical mechanics	经典力学
Classical music	西洋古典音樂
Classical music	Category:古典音樂
Classicism	古典主義
Claude Monet	克洛德·莫內
Claude Shannon	克劳德·香农
Claudio Monteverdi	克勞迪奧·蒙泰韋爾迪
Claudius	克勞狄一世
Clavicle	锁骨
Clay	黏土
Clef	譜號
Clement Attlee	克莱门特·艾德礼
Cleopatra (disambiguation)	克利奥帕特拉
Cleveland	克里夫蘭 (俄亥俄州)
Client-server	客户端/服务器结构
Climate	氣候
Climate	Category:氣候
Climatology	气候学
Climatology	Category:气候学
Clinical depression	憂鬱症
Clio	克利俄
Clitoris	陰蒂
Clock	時鐘
Clock Tower	大本钟
Cloning	克隆
Clothing	Category:服裝
Clothing	服装
Cloud	云
Clover	三叶草属
Clovis I	克洛维一世
Cnidaria	刺胞動物門
Coal	煤炭
Coast	海岸
Coat of arms	紋章
Cobalt	钴
Cocaine	可卡因
Coccinellidae	瓢蟲
Cockatoo	凤头鹦鹉科
Cockroach	蟑螂
Cocktail	鸡尾酒
Coconut	椰子
Cocos (Keeling) Islands	科科斯（基林）群島
Codeine	可待因
Coffea	咖啡树
Coffee	咖啡
Coffee	Category:咖啡
Cognac (drink)	干邑白蘭地
Cognitive psychology	認知心理學
Cognitive science	认知科学
Coin	硬幣
Cola	可乐
Colchis	科爾基斯
Cold War	冷战
Cold War	Category:冷战
Colin Powell	克林·鲍威尔
Collagen	膠原蛋白
Colloid	膠體
Cologne	科隆
Colombia	哥伦比亚共和国
Colombia	Category:哥倫比亞
Colombo	可倫坡
Colonel	上校
Colony	殖民地
Color	颜色
Color blindness	色盲
Colorado	科羅拉多州
Colorado	Category:科罗拉多州
Colorado River	科羅拉多河
Colosseum	罗马斗兽场
Colossus of Rhodes	羅得島太陽神銅像
Colubrid	游蛇科
Columba (constellation)	天鸽座
Columbia	哥伦比亚 (南卡罗来纳州)
Columbia	哥伦比亚 (消歧义)
Columbia River	哥倫比亞河
Columbia University	哥倫比亞大學
Columbidae	鸠鸽科
Columbiformes	Category:鸽形目
Columbiformes	鸽形目
Columbus	哥伦布 (俄亥俄州)
Columbus	哥伦布 (消歧义)
Coma	昏迷
Coma Berenices	后发座
Combustion	燃烧
Comedy	喜劇
Comenius	约翰·阿摩司·夸美纽斯
Comet	彗星
Comma (punctuation)	逗號
Commerce	Category:商業
Common Fig	無花果
Common cold	傷風
Commonwealth of Independent States	獨立國家聯合體
Commonwealth of Nations	英联邦
Communication	Category:通信
Communication	传播学
Communism	共产主义
Communism	Category:共产主义
Comoros	葛摩
Comoros	Category:葛摩
Compact Disc	CD
Company (military unit)	连
Compass	指南针
Compass (drafting)	圆规
Competition	竞争
Compiler	编译器
Complex instruction set computer	复杂指令集
Complex number	複數 (數學)
Composer	作曲家
Composite material	复合材料
Composite number	合数
Computational linguistics	计算语言学
Computed tomography	X射线断层成像
Computer	計算機
Computer architecture	计算机系统结构
Computer display	显示器
Computer file	電腦檔案
Computer graphics	Category:计算机图形学
Computer hardware	计算机硬件
Computer hardware	Category:電腦硬體
Computer network	计算机网络
Computer program	程序
Computer programming	程序设计
Computer programming	Category:程序设计
Computer science	计算机科学
Computer science	Category:计算机科学
Computer software	软件
Computer virus	计算机病毒
Computer-aided design	计算机辅助设计
Computing	Category:電腦
Conakry	科納克里
Concentration	浓度
Concerto	协奏曲
Concord	康科德 (新罕布什尔州)
Concrete	混凝土
Condom	避孕套
Conducting	指挥家
Cone (geometry)	圆锥
Confederate States of America	美利堅聯盟國
Confederation	邦联制
Confession	告解
Confirmation	坚振圣事
Confucianism	儒家
Confucius	孔子
Congo	刚果
Congo River	刚果河
Conic section	圆锥曲线
Connecticut	康乃狄克州
Connecticut	Category:康涅狄格州
Connective tissue	结缔组织
Conservation of energy	能量守恒定律
Conservatism	保守主义
Consonant	辅音
Constantine I	君士坦丁一世 (罗马帝国)
Constantinople	君士坦丁堡
Constellation	星座
Constitution (political)	宪法
Consul	罗马执政官
Consumption (economics)	消费
Contact lens	隱形眼鏡
Continent	洲
Continental drift	大陆漂移学说
Continental shelf	大陆架
Contract	契約
Contract bridge	合約橋牌
Convection	對流
Cooking	烹饪
Cooperative	合作社
Coordinate system	坐標系統
Coordinated Universal Time	协调世界时
Copenhagen	哥本哈根
Copper	铜
Copyright	著作權
Coraciiformes	佛法僧目
Coral	珊瑚
Coral Sea	珊瑚海
Coral reef	珊瑚礁
Coriander	香菜
Corinth	科林斯
Coriolis effect	科里奥利力
Cork (city)	科克
Cormorant	鸕鶿
Cornea	角膜
Cornell University	康乃尔大学
Cornwall	康沃爾郡
Corona Borealis	北冕座
Corporation	股份有限公司
Corrosion	腐蚀
Corsica	科西嘉島
Corundum	剛玉
Corvette	护卫舰
Corvidae	鸦科
Corvus (constellation)	乌鸦座
Cosmic microwave background radiation	宇宙微波背景辐射
Cosmic ray	宇宙線
Cosmology	宇宙学
Cosmology	Category:宇宙学
Costa Rica	哥斯达黎加
Costa Rica	Category:哥斯大黎加
Cotonou	科托努
Cotopaxi	科托帕希峰
Cotton	棉花
Cougar	美洲狮
Coulomb	库仑
Coulomb's law	库仑定律
Council of Chalcedon	迦克墩公會議
Council of Ephesus	以弗所公會議
Council of Trent	天特會議
Counterpoint	对位法
Country	国家
Country music	乡村音乐
Court	法院
Covalent bond	共价键
Coventry	考文垂
Coyote	郊狼
Crab	螃蟹
Crab Nebula	蟹狀星雲
Crane (bird)	鹤科
Crater (constellation)	巨爵座
Creationism	創造論
Cremona	克雷莫納
Cretaceous	白垩纪
Crete	克里特
Cricket	板球
Cricket (insect)	蟋蟀
Crime	犯罪
Crimea	克里米亚
Crimean War	克里米亚战争
Criminal law	Category:刑事法
Criminal law	刑法
Criminology	犯罪學
Criminology	Category:犯罪学
Croatia	克罗地亚
Croatia	Category:克罗地亚
Crocodile	鱷科
Crocodilia	鳄目
Cronus	克洛诺斯
Cross	十字
Cross product	向量积
Crossbow	弩
Crow	乌鸦
Crucifixion	十字架
Cruiser	巡洋舰
Crust (geology)	地壳
Crustacean	甲壳亚门
Crux	南十字座
Cryptography	密码学
Cryptography	Category:密码学
Crystal	晶体
Crystallography	晶体学
Crystallography	Category:晶体学
Ctenophore	栉水母
Cuba	古巴
Cuba	Category:古巴
Cube	立方體
Cubic metre	立方米
Cubism	立体主义
Cuculiformes	鹃形目
Cucumber	黄瓜
Cucurbitaceae	葫芦科
Cultural Revolution	文化大革命
Culture	文化
Culture	Category:文化
Cumbria	坎布里亞郡
Cupressaceae	柏科
Curitiba	庫里奇巴
Curium	锔
Curling	冰壺
Currency	Category:货币
Currency	通貨
Curry	咖哩
Curve	曲线
Cusco	庫斯科
Cyan	青色
Cyanide	氰化物
Cyanobacteria	藍菌
Cybernetics	控制论
Cyberpunk	赛博朋克
Cyclades	基克拉泽斯
Cycling	Category:自行車
Cyclone	气旋
Cyclops	独眼巨人
Cygnus (constellation)	天鹅座
Cylinder (geometry)	圆柱体
Cyperaceae	莎草科
Cyprinid	鲤科
Cypriniformes	鲤形目
Cyprus	賽普勒斯
Cyprus	Category:賽普勒斯
Cyrillic alphabet	西里尔字母
Cyrus the Great	居鲁士二世
Cystic fibrosis	囊腫性纖維化
Cytoplasm	細胞質
Cytosine	胞嘧啶
Cytoskeleton	细胞骨架
Czech Republic	捷克
Czech Republic	Category:捷克
Czechoslovakia	捷克斯洛伐克
Czechoslovakia	Category:捷克斯洛伐克
D	D
D. H. Lawrence	大卫·赫伯特·劳伦斯
D. W. Griffith	大衛·格里菲斯
DDT	滴滴涕
DNA	脱氧核糖核酸
DOS	DOS
DVD	DVD
Dachshund	腊肠犬
Dada	达达主义
Daedalus	代达罗斯
Dagger	匕首
Daguerreotype	银版摄影法
Dahlia	大麗菊
Dakar	達喀爾
Dalai Lama	达赖喇嘛
Dallas	達拉斯
Dalmatia	達爾馬提亞
Dam	水坝
Damascus	大馬士革
Dance	舞蹈
Dance	Category:舞蹈
Dandelion	蒲公英
Daniel Bernoulli	丹尼尔·伯努利
Daniel Defoe	丹尼尔·笛福
Daniel Ortega	丹尼尔·奥尔特加
Danish krone	丹麥克朗
Dante Alighieri	但丁·亞利基利
Danube	多瑙河
Dar es Salaam	达累斯萨拉姆
Dardanelles	達達尼爾海峽
Darfur	達爾富爾
Darjeeling	大吉嶺
Dark matter	暗物质
Darmstadtium	鐽
Darwin	达尔文 (澳大利亚)
Das Kapital	资本论
Data	数据
Data mining	数据挖掘
Data structure	数据结构
Database	数据库
Database management system	数据库管理系统
Date Palm	枣椰树
Dative case	与格
Daugavpils	陶格夫匹尔斯
David	大衛
David Hilbert	大卫·希尔伯特
David Hume	大卫·休谟
David Livingstone	戴维·利文斯通
David Ricardo	大卫·李嘉图
Davis Cup	台維斯盃
Day	日
Days	Category:公曆日
De facto	De facto
Deacon	执事
Dead Sea	死海
Dead Sea scrolls	死海古卷
Deadly nightshade	颠茄
Death	死亡
Death	Category:死亡
Decade	年代
December	12月
December 31	12月31日
December 8	12月8日
Decibel	分貝
Decimal	十进制
Declination	赤纬
Deco	迪高
Deconstruction	解構主義
Deductive reasoning	演绎推理
Deer	鹿科
Definition	定义
Deflation	通货紧缩
Degree	度
Degree (angle)	角度
Deimos (moon)	火卫二
Deism	自然神论
Delaware	特拉华州
Delaware	Category:特拉华州
Delft	代尔夫特
Delhi	德里
Dell	戴爾
Delphi	德尔斐
Delphinus	海豚座
Delta (letter)	Δ
Deluge (mythology)	大洪水
Dementia	失智症
Demeter	得墨忒尔
Democracy	民主
Democratic Party (United States)	民主党 (美国)
Democratic Republic of the Congo	刚果民主共和国
Democratic Republic of the Congo	Category:剛果民主共和國
Democritus	德谟克利特
Demography	人口学
Demography	Category:人口学
Demon	惡魔
Demosthenes	狄摩西尼
Deng Xiaoping	邓小平
Dengue fever	骨痛熱症
Denis Diderot	德尼·狄德罗
Denmark	丹麦
Denmark	Category:丹麥
Dennis Gabor	丹尼斯·伽柏
Density	密度
Dental caries	齲齒
Dentistry	Category:牙科
Dentistry	牙醫學
Denver	丹佛
Derivative	导数
Des Moines	德梅因
Desert	沙漠
Deserts	Category:沙漠
Desiderius Erasmus	伊拉斯谟
Design	設計
Design	Category:设计
Desmond Tutu	德斯蒙德·图图
Destroyer	驱逐舰
Determinant	行列式
Determinism	決定論
Detroit	底特律
Deuterium	氘
Deuteronomy	申命記
Developmental psychology	发展心理学
Device driver	驱动程序
Devon	德文郡
Devonian	泥盆纪
Dew	露水
Dew point	露点
Dewey Decimal Classification	杜威十进制图书分类法
Dhaka	达卡
Dharma	法 (佛教)
Dhaulagiri	道拉吉里峰
Dhole	豺
Diabetes mellitus	糖尿病
Diacritic	变音符号
Dialect	方言
Dialectic	辩证法
Dialectical materialism	辩证唯物主义
Diameter	直径
Diamond	钻石
Diana	戴安娜 (威爾斯王妃)
Diana (mythology)	狄安娜
Diarrhea	腹瀉
Diatom	矽藻
Dice	骰子
Dicotyledon	双子叶植物纲
Dictatorship	专政
Dictionary	詞典
Diesel	柴油
Diesel engine	柴油引擎
Dietrich Bonhoeffer	迪特里希·潘霍華
Differential equation	微分方程
Diffraction	衍射
Diffusion	扩散
Digestion	消化作用
Digestive system	Category:消化系统
Digital	數碼
Digital camera	数码照相机
Digital photography	数码摄影
Digital subscriber line	DSL
Dijon	第戎
Dill	蒔蘿
Dimension	維度
Dingo	澳洲野犬
Dinosaur	恐龙
Diocese	教區
Diocletian	戴克里先
Diode	二極體
Dionysus	狄俄尼索斯
Diphtheria	白喉
Diplodocus	梁龍
Diplomacy	外交
Diplomacy	Category:外交
Dire Straits	險峻海峽
Direct current	直流電
Disaccharide	雙醣
Disambiguation	Category:消歧义
Disc jockey	唱片騎師
Discrimination	歧視
Disease	疾病
Distance	距离
Distillation	蒸馏
Divergence	散度
Division (mathematics)	除法
Division (military)	師 (軍事)
Divorce	离婚
Dizzy Gillespie	迪齐·吉莱斯皮
Djibouti	Category:吉布地
Djibouti (city)	吉布地 (城市)
Dmitri Mendeleev	季米特里·门捷列夫
Dmitri Shostakovich	季米特里·肖斯塔科维奇
Dnieper River	第聂伯河
Dnipropetrovsk	第聂伯罗彼得罗夫斯克
Document	文件
Dodecahedron	正十二面體
Dodecanese	十二群島
Dodo	渡渡鸟
Dodoma	多多马
Dog	犬
Doha	多哈
Dollar	銀圓
Dolly (sheep)	多利
Dolomite	白云石
Dolphin	海豚
Domain (biology)	域 (生物)
Domain name	域名
Dome	圓頂
Domesday Book	末日审判书
Domestication	馴養
Dominica	多米尼克
Dominica	Category:多米尼克
Dominican Order	多明我会
Dominican Republic	多明尼加共和國
Dominican Republic	Category:多明尼加共和國
Domitian	图密善
Don Quixote	堂吉诃德
Don River (Russia)	頓河 (俄羅斯)
Donald Duck	唐老鸭
Donatello	多那太羅
Donato Bramante	伯拉孟特
Donetsk	頓涅茨克
Donkey	驴
Door	门 (建筑)
Dopamine	多巴胺
Doppler effect	多普勒效应
Dorado	劍魚座
Doric order	多立克柱式
Doris Lessing	多丽丝·莱辛
Dortmund	多特蒙德
Douala	杜阿拉
Double bass	低音提琴
Douglas MacArthur	道格拉斯·麥克阿瑟
Dover	多佛 (特拉华州)
Dover	多佛尔
Down syndrome	唐氏综合症
Draco (constellation)	天龙座
Dracula	德拉库拉 (小说)
Dragon	龙 (西方)
Drainage basin	流域
Drama	戏剧
Draughts	西洋跳棋
Dream	夢
Dresden	德累斯顿
Drink	饮料
Dromedary	單峰駱駝
Drought	干旱
Drug addiction	藥物成癮
Druid	德魯伊
Drum	鼓
Dualism	二元論
Dualism (philosophy of mind)	二元並存理念
Dubai	杜拜
Dublin	都柏林
Dubnium	𨧀
Dubrovnik	杜布羅夫尼克
Duck	鸭
Dugong	儒艮
Duke	公爵
Duke Ellington	艾靈頓公爵
Duke University	杜克大学
Dune	沙丘 (地形)
Dunkirk	敦刻尔克
Duodenum	十二指肠
Durban	德班
Dushanbe	杜尚别
Dustin Hoffman	德斯汀·荷夫曼
Dutch people	Category:荷兰人
Dwight D. Eisenhower	德怀特·艾森豪威尔
Dynamics (physics)	動力學
Dynamite	代納邁
Dynasty	朝代
Dyslexia	失讀症
Dysprosium	镝
Dystopia	反乌托邦
E	E
E (mathematical constant)	E (数学常数)
E-mail	电子邮件
ETA	巴斯克獨立解放組織
Eagle	鹰
Ear	耳
Eared seal	海獅科
Earless seal	海豹
Earth	地球
Earth	Category:地球
Earth science	地球科学
Earthquake	地震
East	東
East Africa	东部非洲
East China Sea	东海
East Germany	德意志民主共和国
East Sussex	東薩塞克斯郡
East Timor	东帝汶
East Timor	Category:東帝汶
Easter	復活節
Eastern Orthodox Church	東正教
Ebola	埃博拉病毒
Ebro	埃布羅河
Eccentricity (mathematics)	離心率
Ecclesiastes	傳道書
Echidna	针鼹
Echidna (mythology)	厄客德娜
Echinoderm	棘皮动物
Eclipse	食 (天文現象)
Eclipse (software)	Eclipse
Ecliptic	黄道
Ecological niche	生态位
Ecology	生态学
Ecology	Category:生態學
Econometrics	计量经济学
Economics	经济学
Economics	Category:经济学
Economy	經濟
Ecosystem	生态系统
Ecuador	厄瓜多尔
Ecuador	Category:厄瓜多
Ecumenical council	大公會議
Edgar Allan Poe	爱伦·坡
Edgar Degas	埃德加·德加
Edinburgh	爱丁堡
Edirne	埃迪爾內
Edmond Halley	愛德蒙·哈雷
Edmonton	埃德蒙顿
Edmund Burke	埃德蒙·伯克
Edmund Hillary	艾德蒙·希拉里
Edmund Husserl	埃德蒙德·胡塞爾
Edo	江戶
