English	Latin
1	1
1 (number)	Unus
10	10
10 (number)	Decem
100	100
100 (number)	Centum
1000	1000
1000 (number)	Mille
101	101
105	105
11	11
11 (number)	Undecim
110	110
115	115
12	12
12 (number)	Duodecim
120	120
125	125
13	13
13 (number)	Tredecim
130	130
135	135
14	14
14 (number)	Quattuordecim
140	140
144	144
145	145
15	15
15 (number)	Quindecim
150	150
1530s	Decennium 154
155	155
16	16
16 (number)	Sedecim
160	160
165	165
17	17
17 (number)	Septendecim
170	170
1728	1728
175	175
1750s	Decennium 176
1760s	Decennium 177
1770s	Decennium 178
1780s	Decennium 179
1790s	Decennium 180
18	18
18 (number)	Duodeviginti
180	180
1820s	Decennium 183
1830s	Decennium 184
1840s	Decennium 185
1850s	Decennium 186
1860s	Decennium 187
1870s	Decennium 188
1880s	Decennium 189
1890s	Decennium 190
19	19
19 (number)	Undeviginti
190	190
1900s	Decennium 191
1920s	Decennium 193
1930s	Decennium 194
1940s	Decennium 195
1950s	Decennium 196
1960s	Decennium 197
1970s	Decennium 198
1980s	Decennium 199
1990s	Decennium 200
2	2
2 (number)	Duo
20	20
20 (number)	Viginti
200	200
21	21
21 (number)	Viginti unus
22	22
22 (number)	Viginti duo
23	23
23 (number)	Viginti tres
24	24
24 (number)	Viginti quattuor
25	25
25 (number)	Viginti quinque
26	26
26 (number)	Viginti sex
27	27
27 (number)	Viginti septem
28	28
28 (number)	Duodetriginta
29	29
29 (number)	Undetriginta
3	3
3 (number)	Tres
30	30
30 (number)	Triginta
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	Quattuor
40	40
400	400
41	41
42	42
42 (number)	Quadraginta et duo
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	Quinque
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	Sex
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	Septem
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	Octo
80	80
80 (number)	Octoginta
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	Novem
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
AIDS	SCDI
Aachen	Aquisgranum
Aar	Abrinca (flumen)
Aarhus	Aarhusium
Abacus	Abacus
Abbot	Abbas
Abbreviation	Abbreviatio
Abel Tasman	Abel Tasman
Aberdeen	Aberdonia
Abkhazia	Abasci
Abortion	Abortus
Abraham	Abraham
Abraham Lincoln	Abrahamus Lincoln
Absolute value	Magnitudo absoluta
Abuja	Abugia
Acacia	Acacia
Academy Award	Praemia Academiae
Acceleration	Acceleratio
Accipitridae	Accipitridae
Accordion	Harmonica diductilis
Accra	Accra
Accusative case	Accusativus
Acetaldehyde	Ethanal
Acetic acid	Acidum aceticum
Acetone	Acetonum
Acetylene	Ethinum
Achilles	Achilles
Acid	Acidum
Acne vulgaris	Acne
Acorn	Glans (fructus)
Acre	Ager (mensura)
Acre (state)	Acre
Actinium	Actinium
Actor	Actor
Acts of the Apostles	Actus Apostolorum
Adam	Adam
Adam Smith	Adamus Smith
Addis Ababa	Neanthopolis
Addition	Additio
Adelaide	Adelhaidis
Adige	Athesis
Adjective	Adiectivum
Adolf Eichmann	Adolphus Eichmann
Adolf Hitler	Adolfus Hitler
Adrenal gland	Glandula adrenalis
Adriatic Sea	Hadriaticum
Advent	Adventus
Adverb	Adverbium
Aegean Sea	Mare Aegaeum
Aeneas	Aeneas
Aeneid	Aeneis
Aeschylus	Aeschylus
Aesop	Aesopus
Aesthetics	Aesthetica
Affix	Affixum
Afghanistan	Afgania
Afghanistan	Categoria:Afgania
Africa	Africa
Africa	Categoria:Africa
Afrikaans	Lingua Africana
Agamemnon	Agamemnon
Agar	Agar
Agate	Achates
Agatha Christie	Agatha Christie
Agnatha	Agnatha
Agriculture	Agricultura
Agriculture	Categoria:Agricultura
Agrigento	Agrigentum
Ain	Addua (praefectura Franciae)
Airbus	Laophorium aerium
Aircraft	Aeroplanum
Airport	Aeroportus
Al Gore	Albertus Arnoldus Gore
Al-Qaeda	Alcaeda
Alabama	Alabama
Alabama	Categoria:Alabama
Alaska	Alasca
Alban Berg	Albanus Berg
Albania	Albania
Albania	Categoria:Albania
Albert Camus	Albertus Camus
Albert Einstein	Albertus Einstein
Albert Schweitzer	Albertus Schweitzer
Albert Speer	Albertus Speer
Alberta	Alberta
Alchemy	Alchemia
Alcohol	Alcohol
Alcoholism	Alcoholismus
Aldehyde	Aldehydum
Aleksandr Solzhenitsyn	Alexander Solzhenitsyn
Aleppo	Beroea (Syria)
Aleutian Islands	Insulae Aleutiae
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Pope	Alexander Pope
Alexander Pushkin	Alexander Puskin
Alexander the Great	Alexander Magnus
Alexandre Dumas	Alexander Dumas (pater)
Alexandria	Alexandria Magna
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Hitchcock	Alfredus Hitchcock
Alfred Russel Wallace	Alfredus Russel Wallace
Alfred the Great	Alfredus (rex Anglorum)
Algae	Alga
Algebra	Algebra
Algebra	Categoria:Algebra
Algeria	Algerium
Algeria	Categoria:Algerium
Algiers	Algeria
Alkali metal	Metallum alkalicum
Alkane	Alcanum
Alkene	Alkenum
Alkyne	Alkinum
Allosaurus	Allosaurus
Alpha (letter)	Alpha
Alpha Centauri	Alpha Centauri
Alphabet	Abecedarium
Alps	Alpes
Alps	Categoria:Alpes
Alsace	Elisatia
Altar	Altare
Altay Mountains	Altai
Aluminium	Aluminium
Alvar Aalto	Alvar Aalto
Amazon River	Amazonum flumen
Amber	Succinum
Ambrose	Ambrosius
Amedeo Avogadro	Amadeus Avogadro
American Civil War	Bellum Civile Americanum
American Samoa	Samoa Americana
Americium	Americium
Amerigo Vespucci	Americus Vespucius
Amethyst	Amethystus
Amino acid	Acidum aminicum
Amphibian	Amphibia
Amphitheatre	Amphitheatrum
Amphora	Amphora
Amsterdam	Amstelodamum
Amun	Amun
Anabaptist	Anabaptistae
Anagram	Anagramma
Anarchism	Anarchismus
Anarchy	Anarchia
Anatole France	Anatolius France
Anatomy	Categoria:Anatomia
Anatomy	Anatomia
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anchor	Ancora
Anchorage	Ancoraria (Alasca)
Ancient Greek	Lingua Graeca Antiqua
Andalusia	Vandalitia
Anders Celsius	Andreas Celsius
Andes	Andes
Andorra	Andorra
Andorra	Categoria:Andorra
Andrea Palladio	Andreas Palladius
Andrei Sakharov	Andreas Sacharov
Andrew Jackson	Andreas Jackson
Andrew Johnson	Andreas Johnson
Andrew Lloyd Webber	Andreas Lloyd Webber
Andromeda	Andromeda (discretiva)
Andromeda (constellation)	Andromeda (sidus)
Andy Warhol	Andreas Warhol
Anemia	Anaemia
Angel	Angelus
Angola	Angolia
Angola	Categoria:Angolia
Anicius Manlius Severinus Boethius	Anicius Manlius Torquatus Severinus Boethius
Animal	Animalia
Anime	Anime
Ankara	Ancyra
Annapolis	Annapolis
Anne Boleyn	Anna Bolina
Annelid	Annelida
Anno Domini	Anno Domini
Annunciation	Annuntiatio
Anseriformes	Anseriformes
Ant	Formica
Antakya	Antiochia
Antalya	Attalea
Antananarivo	Antananarivo
Antarctica	Antarctica
Anthony Hopkins	Antonius Hopkins
Anthropology	Anthropologia
Anthropology	Categoria:Anthropologia
Antigone	Antigone
Antigua and Barbuda	Antiqua et Barbuda
Antimony	Stibium
Antipope	Antipapa
Antisemitism	Antisemitismus
Antisemitism	Categoria:Antisemitismus
Antlia	Antlia (sidus)
Antoine Lavoisier	Antonius Laurentius Lavoisier
Anton Bruckner	Antonius Bruckner
Antonio Stradivari	Antonius Stradivarius
Antonio Vivaldi	Antonius Vivaldi
Antwerp	Antwerpium
Antwerp (province)	Antverpia (provincia)
Anubis	Anubis
Anus	Anus
Aorta	Aorta
Ape	Hominideae
Aphrodite	Aphrodite
Apia	Apia
Apiaceae	Apiaceae
Apocrypha	Apocrypha
Apollo	Apollo
Apple	Malum
Apricot	Prunus armeniaca
April	Aprilis
April 14	14 Aprilis
April Fools' Day	Ludificatio Calendarum Aprilium
Apulia	Apulia
Apus	Apus (sidus)
Aquamarine	Aquamarina
Aquarium	Aquarium
Aquarius (constellation)	Aquarius (sidus)
Aqueduct	Aquae ductus
Aquila (constellation)	Aquila (sidus)
Aquitaine	Aquitania (regio Franciae)
Ara (constellation)	Ara (sidus)
Arab	Arabes
Arabian Peninsula	Arabia
Arabic language	Lingua Arabica
Araceae	Araceae
Arachnid	Arachnida
Aragon	Aragonia
Aral Sea	Mare Aral
Aram Khachaturian	Aram Khachaturian
Arcadia	Arcadia (nomus Graeciae)
Arcangelo Corelli	Archangelus Corelli
Arch	Arcus (architectura)
Archaeology	Archaeologia
Archangel	Archangelus
Archbishop	Archiepiscopus
Archean	Aeon Archaicus
Archimedes	Archimedes
Archipelago	Archipelagus
Architecture	Architectura
Architecture	Categoria:Architectura
Archive	Archivum
Archosaur	Archosauria
Arctic Ocean	Oceanus Arcticus
Arctic fox	Alopex lagopus
Ardennes (department)	Arduenna (praefectura Franciae)
Argentina	Argentina
Argentina	Categoria:Argentina
Argon	Argon
Argos	Argos
Arianism	Arianismus
Aries (constellation)	Aries (sidus)
Aristophanes	Aristophanes
Aristotle	Aristoteles
Arithmetic	Arithmetica
Arizona	Arizona
Arizona	Categoria:Arizona
Arkansas	Arcansia
Arles	Arelate
Armadillo	Dasypodidae
Armenia	Armenia
Arminius	Arminius
Army	Exercitus
Arnhem	Arecanum
Arnold Schoenberg	Arnoldus Schoenberg
Arras	Nemetacum
Arsenic	Arsenicum
Art	Ars
Artemis	Artemis
Artemisia absinthium	Absinthium
Artery	Arteria
Arthropod	Arthropoda
Arthur Conan Doyle	Arthurus Conan Doyle
Arthur Rimbaud	Arthurus Rimbaud
Arthur Schopenhauer	Arthurus Schopenhauer
Arthur Wellesley	Arthurus Wellesley
Arts	Categoria:Ars
Arturo Toscanini	Arturus Toscanini
Asclepius	Aesculapius
Asgard	Asgard
Ash Wednesday	Dies Cinerum
Asia	Asia
Asia	Categoria:Asia
Asmara	Asmara
Assyria	Assyria
Astana	Astana
Astatine	Astatinum
Asteraceae	Asteraceae
Asteroid	Asteroides
Asteroid belt	Cingulum asteroidum
Asthma	Asthma bronchiale
Astrakhan	Astrachanum
Astronaut	Astronauta
Astronomer	Astronomus
Astronomical unit	Unitas astronomica
Astronomy	Astronomia
Astronomy	Categoria:Astronomia
Athena	Athena
Athens	Athenae
Atlanta	Atlanta (Georgia)
Atlantic Ocean	Oceanus Atlanticus
Atlantis	Atlantis insula
Atlas (disambiguation)	Atlas (discretiva)
Atlas (mythology)	Atlas (mythologia)
Atoll	Atolu
Atom	Atomus
Atomic number	Numerus atomicus
Atreus	Atreus
Attica	Attica
Attila the Hun	Attila
Auckland	Aucopolis
August	Augustus
August 1	1 Augusti
August 15	15 Augusti
August 6	6 Augusti
August Strindberg	Augustus Strindberg
Augusta	Augusta (Cenomannica)
Auguste Rodin	Augustus Rodin
Augustine of Hippo	Augustinus
Augustus	Gaius Iulius Caesar Octavianus Augustus
Auriga (constellation)	Auriga (sidus)
Aurora	Aurora (discretiva)
Austin	Austinopolis
Australia	Australia
Australia	Categoria:Australia
Australopithecus	Australopithecus
Austria	Austria
Austria	Categoria:Austria
Austria-Hungary	Imperium Austro-Hungaricum
Autism	Autismus
Automobile	Autocinetum
Autumn	Autumnus
Auvergne (region)	Arvernia
Avalanche	Labina nivis
Avant-garde	Prima acies (artis)
Avena	Avena
Averroes	Averroes
Aviation	Categoria:Aerinavigatio
Avicenna	Avicenna
Avignon	Avenio
Avocado	Persea americana
Axe	Securis
Axiom	Axioma
Axon	Axon
Ayn Rand	Ayn Rand
Azerbaijan	Adrabigania
Azores	Azores
Aztec	Azteci
B	B
BASIC	Basic
Babylon	Babylon
Backgammon	Nerdiludium
Bacteria	Bacterium
Bactrian Camel	Camelus bactrianus
Baghdad	Bagdatum
Bahrain	Baharina
Baja California	California Inferior
Baku	Baku
Balearic Islands	Insulae Baleares
Balkan Mountains	Haemus
Balkan Wars	Bella Balcanica
Balkans	Paeninsula Balcanica
Ball	Pila
Baltic Sea	Mare Balticum
Baltimore	Baltimora
Bamako	Bamako
Bamboo	Bambuseae
Banana	Banana
Bangalore	Bengalurus
Bangkok	Bangkok
Bangladesh	Bangladesha
Bangui	Bangui
Banjul	Banjul
Bank	Argentaria
Baptism	Baptismus
Barbados	Barbata
Barcelona	Barcino
Bari	Barium (urbs Italica)
Barium	Barium (elementum)
Barley	Hordeum
Baroque	Barocus
Baryon	Baryon
Base (chemistry)	Alkalium
Baseball	Basipila
Basel	Basilia (urbs)
Basil	Basilicum
Basil of Caesarea	Basilius Magnus
Basilica	Basilica
Basilicata	Lucania
Basiliscus	Flavius Basiliscus
Basketball	Ludus canistri
Bass guitar	Cithara gravis
Basse-Normandie	Normannia Inferior
Bast (mythology)	Bubastis dea
Bat	Chiroptera
Bath	Aquae Sulis
Batman	Vir Vespertilianus
Baton Rouge	Rubribaculum
Battle of Lepanto (1571)	Proelium Lepantinum
Battle of Waterloo	Proelium Waterlooense
Bavaria	Bavaria
Bavaria	Categoria:Bavaria
Bayonne	Baiona
Beach	Litus
Beak	Rostrum (beccus)
Bear	Ursidae
Bed	Lectus
Bede	Beda
Bee	Apidae
Beech	Fagus
Beer	Cervisia
Beetle	Coleoptera
Beijing	Pechinum
Beirut	Berytus
Belarus	Ruthenia Alba
Belarus	Categoria:Ruthenia Alba
Belgium	Belgia
Belgium	Categoria:Belgia
Belgrade	Belgradum
Belisarius	Flavius Belisarius
Belize	Beliza
Bell (instrument)	Campana
Belo Horizonte	Urbs Pulchri Horizontis
Benin	Beninum
Benito Mussolini	Benitus Mussolini
Benjamin Britten	Beniaminus Britten
Benjamin Disraeli	Beniaminus Disraeli
Benjamin Franklin	Beniaminus Franklin
Benjamin Harrison	Beniamin Harrison
Beowulf	Beowulf
Bergen	Berga
Berkelium	Berkelium
Berkshire	Comitatus Berceriensis
Berlin	Berolinum
Berlin	Categoria:Berolinum
Bermuda	Bermuda
Berne	Berna (urbs)
Bertolt Brecht	Bertoldus Brecht
Beryl	Beryllus
Beryllium	Beryllium
Beta (letter)	Beta
Bethlehem	Bethleem
Bey	Beigus
Bhutan	Butania
Bible	Biblia
Bible	Categoria:Biblia
Bicycle	Birota
Big Bang	Fragor Maximus
Bile	Bilis
Bill Clinton	Gulielmus Clinton
Bill Gates	Gulielmus Gates
Biochemistry	Biochemia
Biography	Biographia
Biology	Biologia
Biology	Categoria:Biologia
Biotechnology	Biotechnologia
Birch	Betula
Bird	Aves
Bishop	Episcopus
Bishop (chess)	Episcopus (scacci)
Bismuth	Bisemutum
Bissau	Bissau
Bithynia	Bithynia
Bivalvia	Bivalvia
Black	Niger (color)
Black Forest	Nigra silva
Black Sea	Pontus Euxinus
Black hole	Gurges ater
Blackbird	Merula
Blaise Pascal	Blasius Pascalis
Bloemfontein	Anthopege
Blood	Sanguis
Blood vessel	Vas sanguineum
Blue	Caeruleus
Boar	Sus scrofa
Board game	Ludus tabularis
Boat	Linter
Bob Dylan	Robertus Zimmerman
Bob Marley	Robertus Marley
Bobby Fischer	Robertus Fischer
Bohemia	Bohemia
Bohrium	Bohrium
Bolivia	Bolivia
Bolivia	Categoria:Bolivia
Bologna	Bononia
Bolzano	Bauzanum
Bomb	Pyrobolus
Bombyx mori	Bombyx
Bone	Os (ossis - anatomia)
Bone marrow	Medulla ossium
Bonn	Bonna
Book	Liber (litterae)
Book of Esther	Liber Esther
Book of Joshua	Liber Iosue
Book of Judges	Liber Iudicum
Book of Numbers	Liber Numeri
Book of Revelation	Apocalypsis Ioannis
Book of Ruth	Liber Ruth
Bordeaux	Burdigala
Boron	Borium
Bosnia and Herzegovina	Bosnia et Herzegovina
Bosnia and Herzegovina	Categoria:Bosnia et Herzegovina
Boson	Boson
Bosporus	Bosporus
Boston	Bostonia
Botany	Botanica
Botany	Categoria:Botanica
Botswana	Botsuana
Botswana	Categoria:Botsuana
Bourgogne	Burgundia (regio Franciae)
Bouvet Island	Insula Bouvet
Bovid	Bovidae
Bow (weapon)	Arcus (arma)
Braga	Bracara Augusta
Brandenburg	Brandenburgum
Brassicaceae	Brassicaceae
Bratislava	Bratislava
Braunschweig	Brunsvicum
Brazil	Brasilia
Brazil	Categoria:Brasilia
Brazzaville	Brazzaville
Bread	Panis
Breast	Mamma
Breast cancer	Cancer mammae
Bremen	Brema
Bremen (state)	Urbs Hanseatica Brema
Brescia	Brixia
Brest	Brestia
Brest	Bressicia
Bretagne	Britannia Minor
Bridge	Pons
Brighton	Bristelmestuna
Brindisi	Brundisium
Brisbane	Brisbana
Bristol	Bristolium
British Columbia	Columbia Britannica
British Empire	Imperium Britannicum
British people	Categoria:Britanni
Brno	Bruna
Bromine	Bromum
Bronze Age	Aenea aetas
Brown	Aquilus
Brown Bear	Ursus arctos
