Armenian	English
1728	1728
Կատեգորիա:1728	1728
ՁԻԱՀ	AIDS
Աբխազիա	Abkhazia
Աբոլիցիոնիզմ	Abolitionism
Աբուջա	Abuja
Ակրա	Accra
Ակտինիում	Actinium
Ադանա	Adana
Ադիս Աբեբա	Addis Ababa
Ադոլֆ Հիտլեր	Adolf Hitler
Եզովպոս	Aesop
Աֆղանստան	Afghanistan
Կատեգորիա:Աֆրիկա	Africa
Աֆրիկանս	Afrikaans
Այկիդո	Aikido
Airbus	Airbus
Ալաբամա	Alabama
Ալյասկա	Alaska
Ալբանիա	Albania
Ալբերտ Էյնշտեյն	Albert Einstein
Մատենադարանի ձեռագրերը քիմիայի մասին	Alchemy
Հալեպ	Aleppo
Ալեքսանդր Մակեդոնացի	Alexander the Great
Ալեքսանդր Դյումա	Alexandre Dumas
Ալեքսանդրիա	Alexandria
Ալֆրեդ Նոբել	Alfred Nobel
Ալժիր	Algeria
Ալժիր (քաղաք)	Algiers
Ալյումին	Aluminium
Ալցհայմերի հիվանդություն	Alzheimer's disease
Ամերիկյան Սամոա	American Samoa
Ամերիցիում	Americium
Ամման	Amman
Ամստերդամ	Amsterdam
Անաբապտիզմ	Anabaptist
Անդորրա	Andorra
Անգոլա	Angola
Անկարա	Ankara
Անտանանարիվո	Antananarivo
Ծարիր	Antimony
Անտուան Լորան Լավուազիե	Antoine Lavoisier
Ծիրան	Apricot
Ապրիլ	April
Ապրիլի 14	April 14
Արաբերեն	Arabic language
Արամ Խաչատրյան	Aram Khachaturian
Արքիմեդ	Archimedes
Արգենտինա	Argentina
Արգոն	Argon
Արիստոտել	Aristotle
Արիզոնա	Arizona
Արկանզաս	Arkansas
Հայաստան	Armenia
Կատեգորիա:Հայաստան	Armenia
Հայերեն	Armenian language
Մկնդեղ	Arsenic
Արվեստ	Art
Արուբա	Aruba
Ասիա	Asia
Կատեգորիա:Ասիա	Asia
Ասմարա	Asmara
Աստանա	Astana
Աստատ	Astatine
Աստղագուշակություն	Astrology
Աստղագիտություն	Astronomy
Աթենք	Athens
Ատլանտյան օվկիանոս	Atlantic Ocean
Օկլենդ	Auckland
Օգոստոս	August
Օգոստոսի 1	August 1
Օգոստոսի 15	August 15
Օգոստոսի 6	August 6
Ավգուստին Երանելի	Augustine of Hippo
Ավստրալիա	Australia
Ավստրիա	Austria
Աուտիզմ	Autism
Ավիցեննա	Avicenna
Ադրբեջան	Azerbaijan
Կատեգորիա:Ադրբեջան	Azerbaijan
Բաբելոն	Babylon
Բաղդադ	Baghdad
Բահրեյն	Bahrain
Բաքու	Baku
Բալետ	Ballet
Բամակո	Bamako
Բանգլադեշ	Bangladesh
Բանգի	Bangui
Բանջուլ	Banjul
Բարսելոնա	Barcelona
Բարիում	Barium
Բազել	Basel
Բաստիլ	Bastille
Բավարիա	Bavaria
Պեկին	Beijing
Բեյրութ	Beirut
Բելառուս	Belarus
Բելգիա	Belgium
Բելգրադ	Belgrade
Բելիզ	Belize
Բենին	Benin
Բերկլիում	Berkelium
Բեռլին	Berlin
Բերմուդա	Bermuda
Բեռն	Berne
Բերիլիում	Beryllium
Բեթլեհեմ	Bethlehem
Բհութան	Bhutan
Աստվածաշունչ	Bible
Կատեգորիա:Աստվածաշունչ	Bible
Բիլ Քլինթոն	Bill Clinton
