Finnish	English
Biomassa	Biomass
Biomi	Biome
Biometrinen tunnistaminen	Biometrics
Biofysiikka	Biophysics
Biopsia	Biopsy
Biosfääri	Biosphere
Biotekniikka	Biotechnology
Luokka:Biotekniikka	Biotechnology
Biotiini	Biotin
Kaksisuuntainen mielialahäiriö	Bipolar disorder
Koivut	Birch
Linnut	Bird
Birmingham (Alabama)	Birmingham
Ehkäisy	Birth control
Biseksuaalisuus	Bisexuality
Biškek	Bishkek
Piispa	Bishop
Bismarck (Pohjois-Dakota)	Bismarck
Bismarck	Bismarck (disambiguation)
Vismutti	Bismuth
Bissau	Bissau
Bitti	Bit
Bithynia	Bithynia
Simpukat	Bivalvia
Musta	Black
Musta surma	Black Death
Schwarzwald	Black Forest
Haarahaukka	Black Kite
Mustameri	Black Sea
Mustahaikara	Black Stork
Musta kappale	Black body
Musta aukko	Black hole
Pippuri	Black pepper
Mustarastas	Blackbird
Blaise Pascal	Blaise Pascal
Blender (ohjelma)	Blender (software)
Sokeus	Blindness
Salamasota	Blitzkrieg
Bloemfontein	Bloemfontein
Blogi	Blog
Veri	Blood
Veriplasma	Blood plasma
Verenpaine	Blood pressure
Veriryhmä	Blood type
Verisuoni	Blood vessel
Sininen	Blue
Sinivalas	Blue Whale
Blues	Blues
Villisika	Boar
Lautapeli	Board game
Vene	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Rattikelkkailu	Bobsleigh
Bodhisattva	Bodhisattva
Painoindeksi	Body mass index
Kehonrakennus	Bodybuilding
Böömi	Bohemia
Bohrium	Bohrium
Kiehumispiste	Boiling point
Boise	Boise
Herkkutatti	Boletus edulis
Bolivia	Bolivia
Luokka:Bolivia	Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolševikit	Bolshevik
Bolzano	Bolzano
Pommi	Bomb
Pommikone	Bomber
Mulperiperhonen	Bombyx mori
Joukkovelkakirja	Bond (finance)
Luu	Bone
Luuydin	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Kirja	Book
Esterin kirja	Book of Esther
Joosuan kirja	Book of Joshua
Tuomarien kirja	Book of Judges
Mormonin kirja	Book of Mormon
Neljäs Mooseksen kirja	Book of Numbers
Johanneksen ilmestys	Book of Revelation
Ruutin kirja	Book of Ruth
Boolen algebra	Boolean algebra (structure)
Bumerangi	Boomerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Boris Spasski	Boris Spassky
Borneo	Borneo
Boori	Boron
Bosnia ja Hertsegovina	Bosnia and Herzegovina
Luokka:Bosnia ja Hertsegovina	Bosnia and Herzegovina
Bosoni	Boson
Bosporinsalmi	Bosporus
Boston	Boston
Bostonin teekutsut	Boston Tea Party
Malline:Bot	Bot
Kasvitieteellinen puutarha	Botanical garden
Kasvitiede	Botany
Luokka:Kasvitiede	Botany
Botswana	Botswana
Luokka:Botswana	Botswana
Pullo	Bottle
Pullonokkadelfiini	Bottlenose Dolphin
Porvaristo	Bourgeoisie
Burgundi	Bourgogne
Bouvet’nsaari	Bouvet Island
Onttosarviset	Bovid
Jousi (ase)	Bow (weapon)
Keilailu	Bowling
Bokseri	Boxer (dog)
Luokka:Nyrkkeilijät	Boxers
Nyrkkeily	Boxing
Luokka:Nyrkkeily	Boxing
Boylen laki	Boyle's law
Sulkeet	Bracket
Braga	Braga
Brahma	Brahma
Brahmaputra	Brahmaputra River
Pistekirjoitus	Braille
Aivot	Brain
Aivoriihi	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brandy
Messinki	Brass
Ristikukkaiskasvit	Brassicaceae
Rintaliivit	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasilia	Brazil
Luokka:Brasilia	Brazil
Brazzaville	Brazzaville
Leipä	Bread
Rinnat	Breast
Rintasyöpä	Breast cancer
Bremen	Bremen
Bremen (osavaltio)	Bremen (state)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest (Ranska)	Brest
Brest (Valko-Venäjä)	Brest
Brest	Brest
Bretagne	Bretagne
Tiili	Brick
Silta	Bridge
Luokka:Sillat	Bridges
Bridgetown	Bridgetown
Prikaati	Brigade
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
Brittiläinen Kolumbia	British Columbia
Brittiläinen imperiumi	British Empire
Britteinsaaret	British Isles
Brittiläiset Neitsytsaaret	British Virgin Islands
Luokka:Brittiläiset henkilöt	British people
Brno	Brno
Broadway	Broadway (New York City)
Parsakaali	Broccoli
Bromi	Bromine
Pronssi	Bronze
Pronssikausi	Bronze Age
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklyn Bridge
Ruskea	Brown
Karhu	Brown Bear
Brownin liike	Brownian motion
Bruce Lee	Bruce Lee
Brugge	Bruges
Brunei	Brunei
Luokka:Brunei	Brunei
Bryssel	Brussels
Paiserutto	Bubonic plague
Bukarest	Bucharest
Buckinghamin palatsi	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Tattari	Buckwheat
Budapest	Budapest
Buddha	Buddha
Buddhalaisuus	Buddhism
Luokka:Buddhalaisuus	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo (New York)	Buffalo
Rakennus	Building
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Luokka:Bulgaria	Bulgaria
Kimalaiset	Bumblebee
Noste	Buoyancy
Byrokratia	Bureaucracy
Burkina Faso	Burkina Faso
Luokka:Burkina Faso	Burkina Faso
Myanmar	Burma
Luokka:Myanmar	Burma
Burka	Burqa
Bursa	Bursa
Luokka:Burundi	Burundi
Linja-auto	Bus
Väylä	Bus (computing)
Talous	Business
Luokka:Liikemiehet	Businesspeople
Buster Keaton	Buster Keaton
Butaani	Butane
Voi	Butter
Perhosvaikutus	Butterfly effect
Bydgoszcz	Bydgoszcz
Tavu (tietotekniikka)	Byte
Luokka:Bysantin valtakunta	Byzantine Empire
C	C
C (ohjelmointikieli)	C (programming language)
C. S. Lewis	C. S. Lewis
Cd (täsmennyssivu)	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
CN Tower	CN Tower
COBOL	COBOL
Kabaree	Cabaret
Kaakaopuu	Cacao
Välimuisti	Cache
Kaktuskasvit	Cactus
Kadmium	Cadmium
Kadmos	Cadmus
Veistotaltta	Caelum
Cesium	Caesium
Kofeiini	Caffeine
Kairo	Cairo
Kakku	Cake
Calabria	Calabria
Calais	Calais
Kalsiitti	Calcite
Kalsium	Calcium
Kalsiumkarbonaatti	Calcium carbonate
Kalkki	Calcium oxide
Laskin	Calculator
Differentiaalilaskenta	Calculus
Kaldera	Caldera
Kalenteri	Calendar
Kaliiperi	Caliber
Kalifornia	California
Luokka:Kalifornia	California
Kalifornium	Californium
Caligula	Caligula
Kalifi	Caliph
Kalligrafia	Calligraphy
Kalliope	Calliope
Kallisto (kuu)	Callisto (moon)
Kallisto (mytologia)	Callisto (mythology)
Kalori	Calorie
Calvados (departementti)	Calvados
Golgata	Calvary
Calvin Coolidge	Calvin Coolidge
Kalvinismi	Calvinism
Kalypso	Calypso (mythology)
Kambodža	Cambodia
Luokka:Kambodža	Cambodia
Kambrikausi	Cambrian
Cambridge	Cambridge
Cambridge (Massachusetts)	Cambridge
Cambridge (täsmennyssivu)	Cambridge (disambiguation)
Kamelit	Camel
Camembert	Camembert (cheese)
Kamera	Camera
Kamerun	Cameroon
Luokka:Kamerun	Cameroon
Campania	Campania
Kanada	Canada
Luokka:Kanada	Canada
Kanadan dollari	Canadian dollar
Kanava	Canal
Kanariansaaret	Canary Islands
Luokka:Kanariansaaret	Canary Islands
Canberra	Canberra
Syöpä	Cancer
Krapu	Cancer (constellation)
Kandela	Candela
Kynttilä	Candle
Koiraeläimet	Canidae
Iso koira	Canis Major
Pieni koira	Canis Minor
Kannabis	Cannabis
Kannabis	Cannabis (drug)
Cannes	Cannes
Kannibalismi	Cannibalism
Kanuuna	Cannon
Kanootti	Canoe
Canon	Canon (company)
Canopus	Canopus
Kantaatti	Cantata
Canterbury	Canterbury
Kantoninkiina	Cantonese (linguistics)
Knuut Suuri	Canute the Great
Kondensaattori	Capacitor
Cape Canaveral	Cape Canaveral
Kap Horn	Cape Horn
Kapkaupunki	Cape Town
Kap Verde	Cape Verde
Luokka:Kap Verde	Cape Verde
Hyväntoivonniemi	Cape of Good Hope
Pääkaupunki	Capital
Pääoma	Capital (economics)
Kuolemanrangaistus	Capital punishment
Kapitalismi	Capitalism
Kappadokia	Cappadocia
Kauris (tähdistö)	Capricornus
Aavikkoilves	Caracal
Caracas	Caracas
Karambola	Carambola
Karaatti	Carat (mass)
Karaatti	Carat (purity)
Caravaggio	Caravaggio
Hiilihydraatti	Carbohydrate
Hiili	Carbon
Hiilen kiertokulku	Carbon cycle
Hiilidioksidi	Carbon dioxide
Hiilimonoksidi	Carbon monoxide
Hiilihappo	Carbonic acid
Kivihiilikausi	Carboniferous
Karboksyylihappo	Carboxylic acid
Kaasutin	Carburetor
Korttipeli	Card game
Kardemumma	Cardamom
Cardiff	Cardiff
Kardinaali	Cardinal (Catholicism)
Kardinaali Richelieu	Cardinal Richelieu
Kardiologia	Cardiology
Luokka:Kardiologia	Cardiology
Luokka:Verenkiertoelimistö	Cardiovascular system
Länsi-Intia	Caribbean
Luokka:Karibia	Caribbean
Karibianmeri	Caribbean Sea
Pilapiirros	Caricature
Köli (tähdistö)	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Karnevaali	Carnival
Petoeläimet	Carnivora
Lihansyöjä	Carnivore
Lihansyöjäkasvi	Carnivorous plant
Karolingit	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Karpaatit	Carpathian Mountains
Porkkana	Carrot
Carson City	Carson City
Koordinaatisto#Suorakulmainen koordinaatisto	Cartesian coordinate system
Karteesinen tulo	Cartesian product
Karthago	Carthage
Kartografia	Cartography
Luokka:Kartografia	Cartography
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Munuaispuu	Cashew
Kasino	Casino
Kaspianmeri	Caspian Sea
Kassandra	Cassandra
Kassiopeia (tähdistö)	Cassiopeia (constellation)
Valurauta	Cast iron
Kastilaitos	Caste
Kastilia	Castile (historical region)
Linna	Castle
Castries (kaupunki)	Castries
Casus belli	Casus belli
Kissa	Cat
Katalonia	Catalonia
Luokka:Katalonia	Catalonia
Katalyytti	Catalysis
Katafrakti	Cataphract
Harmaakaihi	Cataract
Monnikalat	Catfish
Kataarit	Catharism
Katedraali	Cathedral
Katariina Parr	Catherine Parr
Katariina Aragonialainen	Catherine of Aragon
Katodi	Cathode
Katolisuus	Catholicism
Nauta	Cattle
Lehmähaikara	Cattle Egret
Catullus	Catullus
Kaukasia	Caucasus
Luokka:Kaukasia	Caucasus
Kaukasus	Caucasus Mountains
Kukkakaali	Cauliflower
Kausaliteetti	Causality
Ratsuväki	Cavalry
Luola	Cave
Kaviaari	Caviar
Cayenne	Cayenne
Caymansaaret	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Setrit	Cedar
Selleri	Celery
Taivaanekvaattori	Celestial equator
Luokka:Taivaanmekaniikka	Celestial mechanics
Taivaanmekaniikka	Celestial mechanics
Taivaankansi	Celestial sphere
Selibaatti	Celibacy
Solu	Cell (biology)
Solukalvo	Cell membrane
Tuma	Cell nucleus
Soluseinä	Cell wall
Sello	Cello
Selluloosa	Cellulose
Celsiusaste	Celsius
Sementti	Cement
Hautausmaa	Cemetery
Kenotsooinen maailmankausi	Cenozoic
Väestönlaskenta	Census
Kentauri (taruolento)	Centaur
Kentauri	Centaurus
Painopiste	Center of mass
Keski-Afrikka (alue)	Central Africa
Keski-Afrikan tasavalta	Central African Republic
Luokka:Keski-Afrikan tasavalta	Central African Republic
Keski-Amerikka	Central America
CIA	Central Intelligence Agency
Central Park	Central Park
Keskusvallat	Central Powers
Keskuspankki	Central bank
Keskushermosto	Central nervous system
Suoritin	Central processing unit
Centre	Centre
Keskusjyvänen	Centriole
Vuosisata	Century
Kefeus (tähdistö)	Cepheus (constellation)
Keraami	Ceramic
Kerberos	Cerberus
Vilja	Cereal
Pikkuaivot	Cerebellum
Ceres	Ceres (dwarf planet)
Ceres (jumalatar)	Ceres (mythology)
Cerium	Cerium
Cesare Borgia	Cesare Borgia
Valaat	Cetacea
Valaskala	Cetus
Tšad	Chad
Luokka:Tšad	Chad
Peippo	Chaffinch
Tuoli	Chair
Kalsedoni	Chalcedony
Kameleontti (tähdistö)	Chamaeleon
Gemssi	Chamois
Samppanja	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Kanaalin tunneli	Channel Tunnel
Khaos	Chaos (mythology)
Rantalinnut	Charadriiformes
Kaarle Suuri	Charlemagne
Charleroi	Charleroi
Walesin prinssi Charles	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles S. Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Kaarle Kaljupää	Charles the Bald
Charleston (Länsi-Virginia)	Charleston
Charles Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte
Siskoni on noita	Charmed
Kharon	Charon (moon)
Kharon (mytologia)	Charon (mythology)
Chartres	Chartres
Šovinismi	Chauvinism
Che Guevara	Che Guevara
Tšetšenia	Chechnya
Luokka:Tšetšenia	Chechnya
Juusto	Cheese
Gepardi	Cheetah
Tšeljabinsk	Chelyabinsk
Kemiallinen sidos	Chemical bond
Yhdiste	Chemical compound
Alkuaine	Chemical element
Kemiantekniikka	Chemical engineering
Kemiallinen kaava	Chemical formula
Kemiallinen reaktio	Chemical reaction
Kemiallinen ase	Chemical warfare
Kemia	Chemistry
Luokka:Kemia	Chemistry
Chemnitz	Chemnitz
Kemoterapia	Chemotherapy
Chennai	Chennai
Šekki	Cheque
Tšornobyl	Chernobyl
Cerasus	Cherry
Piikivi	Chert
Kerubi	Cherub
Shakki	Chess
Luokka:Shakki	Chess
Shakkiavaus	Chess opening
Chester A. Arthur	Chester A. Arthur
Kastanja	Chestnut
Purukumi	Chewing gum
Cheyenne	Cheyenne
Khii	Chi (letter)
Tšiang Kai-šek	Chiang Kai-shek
Chicago	Chicago
Kana	Chicken
Vesirokko	Chickenpox
Kikherne	Chickpea
Chihuahua (osavaltio)	Chihuahua
Lapsi	Child
Synnytys	Childbirth
Chile	Chile
Luokka:Chile	Chile
Chimborazo (vuori)	Chimborazo (volcano)
Khimaira	Chimera (mythology)
Simpanssit	Chimpanzee
Luokka:Kiina	China
Khios	Chios
Kheiron	Chiron
Kitiini	Chitin
Kloori	Chlorine
Kloroformi	Chloroform
Lehtivihreä	Chlorophyll
Viherhiukkanen	Chloroplast
Suklaa	Chocolate
Kuoro	Choir
Kolera	Cholera
Kolesteroli	Cholesterol
Rustokalat	Chondrichthyes
Chongqing	Chongqing
Sointu	Chord (music)
Selkäjänteiset	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kristinusko	Christianity
Luokka:Kristinusko	Christianity
Joulu	Christmas
Luokka:Joulu	Christmas
Jouluaatto	Christmas Eve
Joulukuusi	Christmas tree
Kristoffer Kolumbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Kromatiini	Chromatin
Kromatografia	Chromatography
Kromi	Chromium
Kromosomi	Chromosome
Luokka:Kronologia	Chronology
Chuck Berry	Chuck Berry
Tšuktšimeri	Chukchi Sea
Kirkko	Church
Kirkko (rakennus)	Church (building)
Anglikaaninen kirkko	Church of England
Cicero	Cicero
Haikaralinnut	Ciconiiformes
Siideri	Cider
Savuke	Cigarette
Tuhkimo	Cinderella
Sinooperi	Cinnabar
Ceyloninkaneli	Cinnamon
Kirke	Circe
Harppi (tähdistö)	Circinus
Ympyrä	Circle
Verenkierto	Circulatory system
Ympärileikkaus	Circumcision
Sirkus	Circus
Kirroosi	Cirrhosis
Kansalaisuus	Citizenship
Sitruunahappo	Citric acid
Sitruunahappokierto	Citric acid cycle
Sitruspuut	Citrus
Kaupunkivaltio	City-state
Sisällissota	Civil war
Korkeakulttuuri	Civilization
Civilization	Civilization (computer game)
Klarinetti	Clarinet
Clark Gable	Clark Gable
Luokka	Class
Luokka (biologia)	Class (biology)
Kapselointi	Class (computer science)
Klassinen mekaniikka	Classical mechanics
Taidemusiikki	Classical music
Klassismi (kuvataide)	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Solisluu	Clavicle
Savi	Clay
Nuottiavain	Clef
Clement Attlee	Clement Attlee
Kleopatra	Cleopatra (disambiguation)
Papisto	Clergy
Cleveland (Ohio)	Cleveland
Ilmasto	Climate
Luokka:Ilmasto	Climate
Ilmastonmuutos	Climate change
Klimatologia	Climatology
Luokka:Klimatologia	Climatology
Masennus	Clinical depression
Kleio	Clio
Häpykieli	Clitoris
Kello	Clock
Big Ben	Clock Tower
Kloonaus	Cloning
Luokka:Vaatteet	Clothing
Vaate	Clothing
Pilvi	Cloud
Mausteneilikka	Clove
Apilat	Clover
Klodvig	Clovis I
Polttiaiseläimet	Cnidaria
Kivihiili	Coal
Rannikko	Coast
Vaakuna	Coat of arms
Koboltti	Cobalt
Kokaiini	Cocaine
Leppäkertut	Coccinellidae
Kakadut	Cockatoo
Torakat	Cockroach
Drinkki	Cocktail
Kookospalmu	Coconut
Kookossaaret	Cocos (Keeling) Islands
Kodeiini	Codeine
Kahvi	Coffee
Luokka:Kahvi	Coffee
Konjakki	Cognac (drink)
Kognitiivinen psykologia	Cognitive psychology
Kognitiotiede	Cognitive science
Kolikko	Coin
Kolajuoma	Cola
Kolkhis	Colchis
Kylmä sota	Cold War
Luokka:Kylmä sota	Cold War
Colin Powell	Colin Powell
Kollaasi	Collage
Kollageeni	Collagen
Kolloidi	Colloid
Köln	Cologne
Kolumbia	Colombia
Luokka:Kolumbia	Colombia
Colombo	Colombo
Eversti	Colonel
Siirtomaa	Colony
Väri	Color
Värisokeus	Color blindness
Colorado	Colorado
Luokka:Colorado	Colorado
Coloradojoki	Colorado River
Colosseum	Colosseum
Rodoksen kolossi	Colossus of Rhodes
Tarhakäärmeet	Colubrid
Kyyhkynen (tähdistö)	Columba (constellation)
Columbia (Etelä-Carolina)	Columbia
Columbia	Columbia
Columbia (joki)	Columbia River
Columbian yliopisto	Columbia University
Kyyhkyt	Columbidae
Luokka:Kyyhkylinnut	Columbiformes
Kyyhkylinnut	Columbiformes
Columbus (Ohio)	Columbus
Columbus (täsmennyssivu)	Columbus
Kooma	Coma
Bereniken hiukset	Coma Berenices
Komedia	Comedy
Johan Amos Comenius	Comenius
Komeetta	Comet
Pilkku	Comma (punctuation)
Commedia dell'arte	Commedia dell'arte
Luokka:Kauppa	Commerce
Aitoviikuna	Common Fig
Flunssa	Common cold
Itsenäisten valtioiden yhteisö	Commonwealth of Independent States
Kansainyhteisö	Commonwealth of Nations
Luokka:Viestintä	Communication
Viestintä	Communication
Kommunismi	Communism
Luokka:Kommunismi	Communism
Komorit	Comoros
Luokka:Komorit	Comoros
CD-levy	Compact Disc
Komppania	Company (military unit)
Kompassi	Compass
Harppi	Compass (drafting)
Kilpailu	Competition
Ohjelmointikielen kääntäjä	Compiler
CISC	Complex instruction set computer
Kompleksiluku	Complex number
Säveltäjä	Composer
Komposiitti	Composite material
Yhdistetty luku	Composite number
Tietokonelingvistiikka	Computational linguistics
Tietokone	Computer
Näyttö	Computer display
Tiedosto	Computer file
Luokka:Tietokonegrafiikka	Computer graphics
Tietokonelaitteisto	Computer hardware
Tietokoneverkko	Computer network
Tietokoneohjelma	Computer program
Ohjelmointi	Computer programming
Luokka:Ohjelmointi	Computer programming
Tietojenkäsittelytiede	Computer science
Luokka:Tietojenkäsittelytiede	Computer science
Tietokoneohjelma	Computer software
Tietokonevirus	Computer virus
Tietokoneavusteinen suunnittelu	Computer-aided design
Conakry	Conakry
Konsentraatio	Concentration
Konsertto	Concerto
Concord	Concord
Betoni	Concrete
Kondomi	Condom
Kapellimestari	Conducting
Kartio	Cone (geometry)
Etelävaltiot	Confederate States of America
Valtioliitto	Confederation
Rippikoulu	Confirmation
Konflikti	Conflict
Kungfutselaisuus	Confucianism
Kungfutse	Confucius
Kongo	Congo
Kongo (joki)	Congo River
Kartioleikkaus	Conic section
Connecticut	Connecticut
Luokka:Connecticut	Connecticut
Tukikudos	Connective tissue
Konkistadori	Conquistador
Konsensus-päätöksenteko	Consensus
Energiaperiaate	Conservation of energy
Konservatismi	Conservatism
Konsonantti	Consonant
Konstantinus Suuri	Constantine I
Konstantinopoli	Constantinople
Tähdistö	Constellation
Perustuslaki	Constitution (political)
Konsuli	Consul
Kulutus	Consumption (economics)
Piilolinssi	Contact lens
Maanosa	Continent
Mannerliikunnot	Continental drift
Mannerjalusta	Continental shelf
Sopimus	Contract
Bridge	Contract bridge
Konvektio	Convection
Ruoanlaitto	Cooking
Osuuskunta	Cooperative
Koordinaatisto	Coordinate system
Kööpenhamina	Copenhagen
Kupari	Copper
Tekijänoikeus	Copyright
Englannintorvi	Cor anglais
Säihkylinnut	Coraciiformes
Korallimeri	Coral Sea
Koralliriutta	Coral reef
Korianteri	Coriander
Korintti	Corinth
Coriolis-ilmiö	Coriolis effect
Cork	Cork (city)
Merimetsot	Cormorant
Sarveiskalvo	Cornea
Cornellin yliopisto	Cornell University
Cornwall	Cornwall
Pohjan kruunu	Corona Borealis
Korroosio	Corrosion
Korsika	Corsica
Korundi	Corundum
Korvetti	Corvette
Varikset	Corvidae
Korppi (tähdistö)	Corvus (constellation)
Kosminen taustasäteily	Cosmic microwave background radiation
Kosminen säteily	Cosmic ray
Kosmologia	Cosmology
Luokka:Kosmologia	Cosmology
Costa Rica	Costa Rica
Luokka:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Puuvilla	Cotton
Puuma	Cougar
Coulombi	Coulomb
Coulombin laki	Coulomb's law
Khalkedonin kirkolliskokous	Council of Chalcedon
Efesoksen kirkolliskokous	Council of Ephesus
Trenton kirkolliskokous	Council of Trent
Kontrapunkti	Counterpoint
Country	Country music
Tuomioistuin	Court
Kovalenttinen sidos	Covalent bond
Coventry	Coventry
Kojootti	Coyote
Taskuravut	Crab
Rapusumu	Crab Nebula
Kurki	Crane (bird)
Malja (tähdistö)	Crater (constellation)
Kreationismi	Creationism
Cremona	Cremona
Liitukausi	Cretaceous
Kreeta	Crete
Kriketti	Cricket
Rikos	Crime
Krim	Crimea
Krimin sota	Crimean War
Kriminologia	Criminology
Luokka:Kriminologia	Criminology
Kroatia	Croatia
Luokka:Kroatia	Croatia
Krokotiilit	Crocodile
Krokotiilieläimet	Crocodilia
Kronos	Cronus
Risti	Cross
Varsijousi	Crossbow
Sanaristikko	Crossword
Varikset (suku)	Crow
Ristiinnaulitseminen	Crucifixion
Risteilijä	Cruiser
maankuori	Crust (geology)
Äyriäiset	Crustacean
Etelän risti	Crux
Salaus	Cryptography
Luokka:Salakirjoitustekniikka	Cryptography
Kiteinen aine	Crystal
Luokka:Kristallografia	Crystallography
Kampamaneetit	Ctenophore
Kuuba	Cuba
Luokka:Kuuba	Cuba
Kuutio	Cube
Kuutiometri	Cubic metre
Kubismi	Cubism
Käkilinnut	Cuculiformes
Kurkku	Cucumber
Kurkkukasvit	Cucurbitaceae
Kulttuurivallankumous	Cultural Revolution
Kulttuuri	Culture
Luokka:Kulttuuri	Culture
Cumbria	Cumbria
Kumpupilvi	Cumulus cloud
Sypressikasvit	Cupressaceae
Curitiba	Curitiba
Curium	Curium
Curling	Curling
Valuutta	Currency
Curry	Curry
Käyrä	Curve
Cusco	Cusco
Syaani	Cyan
Syanidi	Cyanide
Syanobakteerit	Cyanobacteria
Kybele	Cybele
Kybernetiikka	Cybernetics
Kyberpunk	Cyberpunk
Kykladit	Cyclades
Pyöräily	Cycling
Luokka:Pyöräily	Cycling
Sykloni	Cyclone
Kyklooppi (mytologia)	Cyclops
Joutsen (tähdistö)	Cygnus (constellation)
Lieriö	Cylinder (geometry)
Sarakasvit	Cyperaceae
Särkikalat	Cyprinid
Karppikalat	Cypriniformes
Kyproksen tasavalta	Cyprus
Luokka:Kypros	Cyprus
Kyrillinen kirjaimisto	Cyrillic alphabet
Kyyros II Suuri	Cyrus the Great
Kystinen fibroosi	Cystic fibrosis
Solulima	Cytoplasm
Sytosiini	Cytosine
Solun tukiranka	Cytoskeleton
Tšekki	Czech Republic
Luokka:Tšekki	Czech Republic
Tšekkoslovakia	Czechoslovakia
Luokka:Tšekkoslovakia	Czechoslovakia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DDT	DDT
DNA	DNA
DOS	DOS
DVD	DVD
Mäyräkoira	Dachshund
Dada	Dada
Daidalos	Daedalus
Tikari	Dagger
Dagerrotypia	Daguerreotype
Daaliat	Dahlia
Dakar	Dakar
Dalai-lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmatia
Pato	Dam
Damaskos	Damascus
Tanssi	Dance
Luokka:Tanssi	Dance
Voikukka	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Tanskan kruunu	Danish krone
Dante Alighieri	Dante Alighieri
Tonava	Danube
Dafne	Daphne
Dar es Salaam	Dar es Salaam
Dardanellit	Dardanelles
Darfur	Darfur
Darjeeling	Darjeeling
Pimeä aine	Dark matter
Darmstadtium	Darmstadtium
Darwin (Australia)	Darwin
Darwin	Darwin
Pääoma (Marx)	Das Kapital
Data	Data
Tietorakenne	Data structure
Tietokanta	Database
Tietokannan hallintajärjestelmä	Database management system
Välimerentaateli	Date Palm
Datiivi	Dative case
Väinänlinna	Daugavpils
Daavid	David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Vuorokausi	Day
De facto	De facto
Diakoni	Deacon
Kuollutmeri	Dead Sea
Kuolleenmeren kääröt	Dead Sea scrolls
Myrkkykoiso	Deadly nightshade
Kuolema	Death
Luokka:Kuolema	Death
Luettelo vuosikymmenistä	Decade
Joulukuu	December
31. joulukuuta	December 31
8. joulukuuta	December 8
Desibeli	Decibel
Kymmenjärjestelmä	Decimal
Decius	Decius (emperor)
Deklinaatio	Declination
Deco	Deco
Dekonstruktio	Deconstruction
Deduktiivinen päättely	Deductive reasoning
Hirvieläimet	Deer
Määritelmä	Definition
Deflaatio	Deflation
Aste	Degree (angle)
Deimos	Deimos (moon)
Deismi	Deism
Delaware	Delaware
Luokka:Delaware	Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delfoi	Delphi
Delfiini (tähdistö)	Delphinus
Delta (täsmennyssivu)	Delta
Delta	Delta (letter)
Vedenpaisumus	Deluge (mythology)
Dementia	Dementia
Demeter	Demeter
Demokratia	Democracy
Yhdysvaltain demokraattinen puolue	Democratic Party (United States)
Kongon demokraattinen tasavalta	Democratic Republic of the Congo
Luokka:Kongon demokraattinen tasavalta	Democratic Republic of the Congo
Demokritos	Democritus
Luokka:Väestötiede	Demography
Demoni	Demon
Demosthenes	Demosthenes
Deng Xiaoping	Deng Xiaoping
Denguekuume	Dengue fever
Denis Diderot	Denis Diderot
Tanska	Denmark
Luokka:Tanska	Denmark
Dennis Gabor	Dennis Gabor
Tiheys	Density
Karies	Dental caries
Luokka:Hammaslääketiede	Dentistry
Hammaslääketiede	Dentistry
