English	Portuguese
Acorn	Bolota
Acoustics	Acústica
Acoustics	Categoria:Acústica
Acre	Acre (unidade)
Acre	Acre (Israel)
Acre (state)	Acre
Acropolis	Acrópole
Actinide	Actinídio
Actinium	Actínio
Actor	Actor
Acts of the Apostles	Atos dos Apóstolos
Acupuncture	Acupuntura
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada (linguagem de programação)
Adam	Adão e Eva
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Adansonia
Addiction	Vício
Addis Ababa	Adis Abeba
Addition	Adição
Adelaide	Adelaide (Austrália)
Aden	Áden
Adenine	Adenina
Adenosine triphosphate	Trifosfato de adenosina
Adiabatic process	Adiabático
Adige	Rio Ádige
Adjective	Adjetivo
Admiral	Almirante
Adolescence	Adolescência
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adônis
Adoption	Adoção
Adrenal gland	Glândula supra-renal
Adriatic Sea	Mar Adriático
Adsorption	Adsorção
Adult	Adulto
Advent	Advento
Adverb	Advérbio
Advertising	Publicidade
Aegean Sea	Mar Egeu
Aeneas	Enéias
Aeneid	Eneida
Aeolus	Éolo
Aerodynamics	Aerodinâmica
Aerosol	Aerossol
Aeschylus	Ésquilo
Aesop	Esopo
Aesthetics	Estética
Affix	Afixo
Afghanistan	Afeganistão
Afghanistan	Categoria:Afeganistão
Africa	África
Africa	Categoria:África
African American	Afro-americano
Afrikaans	Língua africâner
Agamemnon	Agamemnon
Agar	Ágar
Agate	Ágata
Agatha Christie	Agatha Christie
Aggression	Agressividade
Agnatha	Agnatha
Agnosticism	Agnosticismo
Agora	Ágora
Agoraphobia	Agorafobia
Agra	Agra (Índia)
Agriculture	Agricultura
Agriculture	Categoria:Agricultura
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Air force	Força Aérea
Airbus	Airbus
Aircraft	Aeronave
Aircraft	Categoria:Aviões
Aircraft carrier	Porta-aviões
Airline	Linha aérea
Airport	Aeroporto
Ajax	Ajax
Ajax (mythology)	Ájax
Ajax (programming)	AJAX (programação)
Akhenaten	Akhenaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alabama	Categoria:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanina
Alaska	Alasca
Alaska	Categoria:Alasca
Alban Berg	Alban Berg
Albania	Albânia
Albania	Categoria:Albânia
Albany	Albany (Nova Iorque)
Albatross	Diomedeidae
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Categoria:Alberta
Albinism	Albinismo
Albite	Albita
Album	Álbum
Albuquerque	Albuquerque
Alchemy	Alquimia
Alchemy	Categoria:Alquimia
Alcohol	Álcool
Alcoholic beverage	Bebida alcoólica
Alcoholism	Alcoolismo
Aldebaran	Aldebarã
Aldehyde	Aldeído
Alder	Alnus
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn
Aleppo	Alepo
Aleutian Islands	Ilhas Aleutas
Alexander	Alexandre
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Alexandre S. Pushkin
Alexander the Great	Alexandre, o Grande
Alexandre Dumas	Alexandre Dumas, pai
Alexandre Dumas	Alexandre Dumas, filho
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfredo de Inglaterra
Algae	Alga
Algebra	Álgebra
Algebra	Categoria:Álgebra
Algebraic number	Número algébrico
Algeria	Argélia
Algeria	Categoria:Argélia
Algiers	Argel
Algorithm	Algoritmo
Alhambra	Alhambra
Ali	Ali ibn Abi Talib
Alkali metal	Alcalino-metálicos
Alkaloid	Alcalóide
Alkane	Alcano
Alkene	Alceno
Alkyne	Alcino
Allah	Alá
Allegory	Alegoria
Allele	Alelo
Allen Ginsberg	Allen Ginsberg
Allergy	Alergia
Alliteration	Aliteração
Allophone	Alofonia
Allosaurus	Alossauro
Allotropy	Alotropia
Alloy	Liga metálica
Almanac	Almanaque
Almaty	Almaty
Almond	Amendoeira
Aloe	Aloe
Alpha (letter)	Α
Alpha Centauri	Alfa Centauri
Alpha particle	Partícula alfa
Alphabet	Alfabeto
Alps	Alpes
Alps	Categoria:Alpes
Alsace	Alsácia
Altair	Altair (estrela)
Altar	Altar
Altay Mountains	Montanhas Altai
Alternating current	Corrente alternada
Alternative medicine	Categoria:Medicina alternativa
Alternative medicine	Medicina alternativa
Altruism	Altruísmo
Aluminium	Alumínio
Aluminium oxide	Óxido de alumínio
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Mal de Alzheimer
Amanita muscaria	Amanita muscaria
Amanita phalloides	Amanita phalloides
Amaryllidaceae	Amaryllidaceae
Amaterasu	Amaterasu
Amazon River	Rio Amazonas
Amber	Âmbar
Ambrose	Ambrósio de Milão
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Bisão-americano
American Black Bear	Urso-negro
American Civil War	Guerra Civil dos Estados Unidos da América
American Revolutionary War	Guerra da Independência dos Estados Unidos da América
American Samoa	Samoa Americana
American Standard Code for Information Interchange	ASCII
American football	Futebol americano
American football	Categoria:Futebol americano
Americium	Amerício
Amerigo Vespucci	Américo Vespúcio
Amethyst	Ametista
Amharic	Língua amárica
Amide	Amida (química)
Amine	Amina
Amino acid	Aminoácido
Amish	Amish
Amman	Amã
Ammeter	Amperímetro
Ammonia	Amoníaco
Amnesia	Amnésia
Amnesty	Anistia
Ampere	Ampère
Amphetamine	Anfetamina
Amphibian	Anfíbios
Amphitheatre	Anfiteatro
Amphora	Ânfora
Amplitude	Amplitude
Amsterdam	Amsterdão
Amsterdam	Categoria:Amesterdão
Amun	Amon
Amur	Rio Amur
Anabaptist	Anabaptista
Anagram	Anagrama
Anaheim	Anaheim
Anal sex	Sexo anal
Analytic geometry	Geometria analítica
Anarchism	Anarquismo
Anarchism	Categoria:Anarquismo
Anatidae	Anatidae
Anatole France	Anatole France
Anatomy	Categoria:Anatomia
Anatomy	Anatomia
Anaxagoras	Anaxágoras de Clazômenas
Anaximander	Anaximandro de Mileto
Anchorage	Anchorage (Alasca)
Ancient Greek	Língua grega antiga
Ancient history	Categoria:História da Antiguidade
Andalusia	Andaluzia
Andaman Sea	Mar de Andamão
Anders Celsius	Anders Celsius
Andes	Cordilheira dos Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Categoria:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrei Sakharov
Andrei Tarkovsky	Andrei Tarkovski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Andróide
Andromeda	Andrômeda (desambiguação)
Andromeda (constellation)	Andrômeda (constelação)
Andromeda (mythology)	Andrômeda
Andromeda Galaxy	NGC 224
Andy Warhol	Andy Warhol
Anemia	Anemia
Anemometer	Anemômetro
Anesthesia	Anestesiologia
Angara River	Rio Angara
Angel	Anjo
Angel Falls	Salto Ángel
Angle	Ângulo
Anglicanism	Igreja Anglicana
Angola	Angola
Angola	Categoria:Angola
Anguilla	Anguilla
Angular momentum	Quantidade de movimento angular
Angular velocity	Velocidade angular
Anicius Manlius Severinus Boethius	Boécio
Aniline	Anilina
Animal	Animalia
Animal husbandry	Pecuária
Animation	Animação
Anime	Anime
Anime	Categoria:Anime
Animism	Animismo
Anise	Anis
Ankara	Ancara
Annapolis	Annapolis (Maryland)
Annapurna	Annapurna
Anne Boleyn	Ana Bolena
Annelid	Anelídeo
Anno Domini	Anno Domini
Annunciation	Anunciação
Anode	Ânodo
Anseriformes	Anseriformes
Anseriformes	Categoria:Anseriformes
Ant	Formiga
Antakya	Antioquia
Antalya	Antália
Antananarivo	Antananarivo
Antarctica	Antártica
Antarctica	Categoria:Antártida
Antares	Antares
Antenna (radio)	Antena
Anthony Hopkins	Anthony Hopkins
Anthrax	Carbúnculo
Anthropology	Antropologia
Anthropology	Categoria:Antropologia
Anthroposophy	Antroposofia
Antibiotic	Antibiótico
Antibody	Imunoglobulina
Antichrist	Anticristo
Anticyclone	Anticiclone
Antigen	Antígeno
Antigone	Antígona
Antigua and Barbuda	Antígua e Barbuda
Antigua and Barbuda	Categoria:Antígua e Barbuda
Antimatter	Antimatéria
Antimony	Antimônio
Antioxidant	Antioxidante
Antipope	Antipapa
Antisemitism	Anti-semitismo
Antisemitism	Categoria:Anti-semitismo
Antlia	Antlia
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Pavlovitch Tchékhov
Antonio Stradivari	Antonius Stradivarius
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antônimo
Antwerp	Antuérpia
Antwerp (province)	Antuérpia (província)
Anubis	Anúbis
Anus	Ânus
Aorta	Aorta
Apache	Apaches
Apatite	Apatita
Ape	Hominoidea
Aphasia	Afasia
Aphorism	Aforisma
Aphrodite	Afrodite
Apia	Apia
Apiaceae	Apiaceae
Apocrypha	Livros apócrifos
Apodiformes	Apodiformes
Apollo	Apolo
Apollo (disambiguation)	Apollo
Apollo program	Projeto Apollo
Apollo program	Categoria:Projeto Apollo
Apoptosis	Apoptose
Appalachian Mountains	Apalaches
Appendicitis	Apendicite
Apple	Maçã
Applied mathematics	Matemática aplicada
Apricot	Prunus armeniaca
April	Abril
April 14	14 de Abril
April Fools' Day	Dia da mentira
Apse	Abside
Apulia	Apúlia
Apus	Apus
Aqaba	Aqaba
Aqua regia	Água régia
Aquamarine	Água-marinha
Aquarium	Aquário
Aquarius (constellation)	Aquarius
Aqueduct	Aqueduto
Aquila (constellation)	Aquila
Aquitaine	Aquitânia
Ara (constellation)	Ara
Arab	Árabes
Arab League	Liga Árabe
Arabian Peninsula	Arábia
Arabian Sea	Mar Arábico
Arabic alphabet	Alfabeto árabe
Arabic language	Língua árabe
Araceae	Araceae
Arachnid	Aracnídeos
Arafura Sea	Mar de Arafura
Aragon	Aragão
Aral Sea	Mar de Aral
Aram Khachaturian	Aram Khachaturian
Arcadia	Arcádia
Arcangelo Corelli	Arcangelo Corelli
Arch	Arco (arquitectura)
Archaeology	Arqueologia
Archaeology	Categoria:Arqueologia
Archaeopteryx	Arqueopterix
Archangel	Arcanjo
Archbishop	Arcebispo
Archean	Arqueano
Archetype	Arquétipo
Archimedes	Arquimedes
Archipelago	Arquipélago
Architect	Arquiteto
Architecture	Arquitectura
Architecture	Categoria:Arquitetura
Archive	Arquivo
Archosaur	Arcossauros
Arctic	Ártico
Arctic Circle	Círculo Polar Ártico
Arctic Ocean	Oceano Ártico
Arctic fox	Raposa-do-ártico
Ardennes	Ardenas
Ardennes (department)	Ardenas (departamento)
Are	Are
Area	Área
Arecaceae	Palmeira
Ares	Ares
Argentina	Argentina
Argentina	Categoria:Argentina
Argon	Árgon
Argos	Argos (Grécia)
Aria	Ária
Ariadne	Ariadne
Arianism	Arianismo
Aries (constellation)	Aries
Aristarchus of Samos	Aristarco de Samos
Aristocracy	Aristocracia
Aristophanes	Aristófanes
Aristotle	Aristóteles
Arithmetic	Aritmética
Arithmetic	Categoria:Aritmética
Arithmetic progression	Progressão aritmética
Arius	Ário
Arizona	Arizona
Arizona	Categoria:Arizona
Ark of the Covenant	Arca da Aliança
Arkansas	Arkansas
Arkansas	Categoria:Arkansas
Arles	Arles
Armadillo	Tatu
Armenia	Arménia
Armenia	Categoria:Arménia
Armenian language	Língua arménia
Arminius	Armínio
Armour	Armadura
Army	Exército
Arnhem	Arnhemia
Arno River	Rio Arno
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Hidrocarboneto aromático
Arquebus	Arcabuz
Arras	Arras (França)
Arrow	Flecha
Arsenic	Arsênio
Art	Arte
Art Deco	Art déco
Art Nouveau	Modernidade
Art history	Categoria:História da Arte
Art history	História da arte
Artemis	Ártemis
Artemisia (plant)	Artemísia (botânica)
Artery	Artéria
Arthritis	Artrite
Arthropod	Artrópode
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, 1.º Duque de Wellington
Artificial intelligence	Inteligência artificial
Artificial intelligence	Categoria:Inteligência artificial
Artillery	Artilharia
Artillery	Categoria:Artilharia
Arts	Categoria:Arte
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Aruba	Categoria:Aruba
Asbestos	Asbesto
Asclepius	Esculápio
Asexuality	Assexual
Asgard	Asgard
Ash Wednesday	Quarta-feira de cinzas
Ashurbanipal	Assurbanípal
Asia	Ásia
Asia	Categoria:Ásia
Asmara	Asmara
Aspartame	Aspartame
Asphalt	Asfalto
Aspirin	Aspirina
Assam	Assam
Assembly language	Linguagem de montagem
Association of Southeast Asian Nations	ASEAN
Assyria	Assíria
Assyria	Categoria:Assíria
Astana	Astana
Astatine	Astato
Asteraceae	Asteraceae
Asteraceae	Categoria:Asteraceae
Asteroid	Asteróide
Asteroid belt	Cintura de asteróides
Asthenosphere	Astenosfera
Asthma	Asma
Astigmatism (eye)	Astigmatismo
Astrakhan	Astracã
Astrobiology	Exobiologia
Astrolabe	Astrolábio
Astrology	Astrologia
Astrology	Categoria:Astrologia
Astrometry	Astrometria
Astronaut	Astronauta
Astronomical unit	Unidade astronômica
Astronomy	Astronomia
Astronomy	Categoria:Astronomia
Astronomy	Portal:Astronomia
Astrophysics	Astrofísica
Astrophysics	Categoria:Astrofísica
Aswan	Assuão
Asymptote	Assímptota
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama Desert	Deserto do Atacama
Aten	Aton
Atheism	Categoria:Ateísmo
Athena	Atena
Athens	Atenas
Athletics	Categoria:Atletismo
Athletics (track and field)	Atletismo
Atlanta	Atlanta
Atlantic Ocean	Oceano Atlântico
Atlantis	Atlântida
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (satélite)
Atlas (mythology)	Atlas (mitologia)
Atlas Mountains	Cordilheira do Atlas
Atmosphere	Atmosfera
Atmosphere (unit)	Atmosfera padrão
Atmospheric pressure	Pressão atmosférica
Atoll	Atol
Atom	Átomo
Atomic clock	Relógio atômico
Atomic mass	Massa atômica
Atomic mass unit	Unidade de massa atômica
Atomic number	Número atómico
Atomic physics	Categoria:Física atômica e molecular
Atomic physics	Física atômica
Atreus	Atreu
Atropine	Atropina
Attica	Ática
Attila the Hun	Átila o Huno
Au	AU
Auckland	Auckland
Auction	Leilão
August	Agosto
August 1	1 de Agosto
August 15	15 de Agosto
August 6	6 de Agosto
August Strindberg	August Strindberg
Augusta	Augusta (Maine)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Agostinho de Hipona
Augustus	Augusto
Auriga (constellation)	Auriga
Aurora	Aurora
Aurora (astronomy)	Aurora polar
Austin	Austin
Australasia	Australásia
Australia	Austrália
Australia	Categoria:Austrália
Australian dollar	Dólar australiano
Australopithecus	Australopithecus
Austria	Áustria
Austria	Categoria:Áustria
Austria-Hungary	Áustria-Hungria
Author	Autor
Authority	Autoridade
Autism	Autismo
Auto racing	Automobilismo
Autobiography	Autobiografia
Automated teller machine	Caixa eletrônico
Automobile	Automóvel
Autonomic nervous system	Sistema nervoso autônomo
Autotroph	Autotrofismo
Autumn	Outono
Auvergne (region)	Auvergne
Avalanche	Avalancha
Avant-garde	Vanguarda
Avatar	Avatar (Hinduísmo)
Avena	Aveia
Averroes	Averróis
Avesta	Avesta
Aviation	Categoria:Aviação
Aviation	Aviação
Avicenna	Avicena
Avignon	Avinhão
Avocado	Abacateiro
Avogadro's law	Lei de Avogadro
Axe	Machado
Axiom	Axioma
Axon	Axónio
Ayatollah	Aiatolá
Ayn Rand	Ayn Rand
Azerbaijan	Azerbaijão
Azerbaijan	Categoria:Azerbaijão
Azimuth	Azimute
Azores	Açores
Aztec	Astecas
Azurite	Azurita
B	B
BASIC	BASIC
Baal	Baal
Baboon	Babuíno
Babylon	Babilônia
Backgammon	Gamão
Bacteria	Bactéria
Bacteria	Categoria:Bactérias
Bacteriophage	Fago
Bactrian Camel	Camelo-bactriano
Badminton	Badminton
Baffin Bay	Baía de Baffin
Baffin Island	Ilha de Baffin
Baghdad	Bagdá
Bahamas	Categoria:Bahamas
Bahrain	Bahrein
Bahrain	Categoria:Bahrein
Baja California	Baja California
Baku	Bacu
Balalaika	Balalaica
Balance sheet	Balanço patrimonial
Baldr	Balder
Balearic Islands	Baleares
Baleen whale	Baleia
Bali	Bali
Balkan Mountains	Bálcãs (cordilheira)
Balkan Wars	Guerra dos Balcãs
Balkans	Bálcãs
Ball	Bola
Ballet	Balé
Ballet	Categoria:Ballet
Ballistic missile	Míssil balístico
Ballpoint pen	Caneta esferográfica
Baltic Sea	Mar Báltico
Baltimore	Baltimore (Maryland)
Bamako	Bamako
Bamboo	Bambu
Banana	Banana
Banana republic	República bananeira
Bangalore	Bangalore
Bangkok	Banguecoque
Bangladesh	Bangladesh
Bangladesh	Categoria:Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Banco
Banknote	Papel-moeda
Banks	Categoria:Bancos
Baptism	Baptismo
Baptist	Igreja Batista
Bar (unit)	Bar (unidade)
Barbados	Barbados
Barbados	Categoria:Barbados
Barbarian	Povo bárbaro
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Categoria:Barcelona
Barents Sea	Mar de Barents
Bari	Bari
Barium	Bário
Barley	Cevada
Barn Owl	Coruja-das-torres
Barn Swallow	Andorinha-das-chaminés
Barometer	Barómetro
Baron	Barão
Baroque	Barroco
Barranquilla	Barranquilla
Barrel (unit)	Barril
Baryon	Bárion
Basalt	Basalto
Base (chemistry)	Base (química)
Baseball	Beisebol
Baseball	Categoria:Beisebol
Basel	Basiléia
Bash	Bash
Basidiomycota	Basidiomycota
Basil	Alfavaca
Basil of Caesarea	Basílio de Cesareia
Basilica	Basílica
Basilicata	Basilicata
Basiliscus	Basilisco (Bizâncio)
Basilisk	Basilisco
Basketball	Basquetebol
Basketball	Categoria:Basquetebol
Basra	Bassora
Bass guitar	Baixo
Basse-Normandie	Baixa-Normandia
Basseterre	Basseterre
Bassoon	Fagote
Bast (mythology)	Bastet
Bastille	Bastilha
Bat	Morcego
Bath	Bath (Somerset)
Batman	Batman
Baton Rouge	Baton Rouge
Bats	Categoria:Morcegos
Battalion	Batalhão
Battery (electricity)	Pilha
Battle of Austerlitz	Batalha de Austerlitz
Battle of Britain	Batalha da Grã-Bretanha
Battle of Hastings	Batalha de Hastings
Battle of Lepanto (1571)	Batalha de Lepanto
Battle of Marathon	Batalha de Maratona
Battle of Midway	Batalha de Midway
Battle of Thermopylae	Batalha das Termópilas
Battle of Trafalgar	Batalha de Trafalgar
Battle of Verdun	Batalha de Verdun
Battle of Waterloo	Batalha de Waterloo
Battle of the Bulge	Batalha do Bulge
Battle of the Somme	Batalha do Somme
Battleship	Couraçado
Bauhaus	Bauhaus
Bauxite	Bauxita
Bavaria	Baviera
Bavaria	Categoria:Baviera
Bay Laurel	Loureiro
Bay of Bengal	Golfo de Bengala
Bay of Biscay	Golfo da Biscaia
Bayer	Bayer
Bayonet	Baioneta
Bayonne	Baiona (França)
Beach	Praia
Beagle	Beagle
Beak	Bico
Bear	Ursídeos
Beaufort Sea	Mar de Beaufort
Beaufort scale	Escala de Beaufort
Beaver	Castor
Bebop	Bebop
Becquerel	Becquerel
Bed	Cama
Bede	Beda
Bedouin	Beduíno
Bee	Abelha
Beech	Faia
Beekeeping	Categoria:Apicultura
Beer	Cerveja
Beer	Categoria:Cervejarias
Beetle	Coleoptera
Behaviorism	Behaviorismo
Beijing	Pequim
Beirut	Beirute
Belarus	Bielorrússia
Belarus	Categoria:Bielorrússia
Belfast	Belfast
Belgium	Bélgica
Belgium	Categoria:Bélgica
Belgrade	Belgrado
Belisarius	Belisário
Belize	Belize
Belize	Categoria:Belize
Bell (instrument)	Sino
Bellerophon	Belerofonte
Belly dance	Dança do ventre
Belo Horizonte	Belo Horizonte
Beluga	Baleia-branca
Benelux	Benelux
Bengal	Bengala
Benghazi	Bengasi
Benin	Benin
Benin	Categoria:Benim
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Mar de Bering
Bering Strait	Estreito de Bering
Berkelium	Berquélio
Berkshire	Berkshire
Berlin	Berlim
Berlin	Categoria:Berlim
Bermuda	Bermudas
Bermuda	Categoria:Bermudas
Bermuda Triangle	Triângulo das Bermudas
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Berna
Bernhard Riemann	Bernhard Riemann
Berry	Baga
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Berilo
Beryllium	Berílio
Beta (letter)	Β
Beta decay	Emissão beta
Betelgeuse	Betelgeuse
Bethlehem	Belém (Judeia)
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills (Califórnia)
Bhutan	Butão
Bhutan	Categoria:Butão
Bible	Bíblia
Bible	Categoria:Bíblia
Bibliography	Bibliografia
Bicycle	Bicicleta
Big Bang	Big Bang
Bihar	Bihar
Bikini	Biquíni
Bile	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Sistema binário (astronomia)
Binoculars	Binóculo
Biochemistry	Bioquímica
Biochemistry	Categoria:Bioquímica
Biodiversity	Biodiversidade
Biogeography	Biogeografia
Biography	Biografia
Biography	Portal:Biografias
Biological warfare	Guerra biológica
Biology	Biologia
Biology	Categoria:Biologia
Biology	Portal:Biologia
Biomass	Biomassa
Biome	Bioma
Biometrics	Biometria
Biophysics	Biofísica
Biopsy	Biopsia
Biosphere	Biosfera
Biotechnology	Biotecnologia
Biotechnology	Categoria:Biotecnologia
Biotin	Biotina
Bipolar disorder	Distúrbio bipolar
Birch	Bétula
Bird	Aves
Birmingham	Birmingham (Alabama)
Birth control	Contracepção
Bisexuality	Bissexualidade
Bishkek	Bisqueque
Bishop	Bispo
Bishop (chess)	Bispo (xadrez)
Bismarck	Bismarck (Dakota do Norte)
Bismarck (disambiguation)	Bismarck
Bismuth	Bismuto
Bissau	Bissau
Bit	Bit
Bithynia	Bitínia
Bivalvia	Bivalvia
Black	Preto
