English	Swahili
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
1728	Category:1728
175	175
18	18
180	180
19	19
190	190
2	2
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
AIDS	Ukimwi
Aardvark	Mhanga
Abidjan	Abidjan
Abraham	Abrahamu
Abraham Lincoln	Abraham Lincoln
Abu Dhabi	Abu Dhabi
Abuja	Abuja
Academy Award	Academy Awards
Accra	Accra
Acid	Asidi
Acts of the Apostles	Matendo ya Mitume
Addis Ababa	Addis Ababa
Adolf Hitler	Adolf Hitler
Adriatic Sea	Adria
Afghanistan	Afghanistan
Afghanistan	Category:Afghanistan
Africa	Afrika
Africa	Category:Afrika
Afrikaans	Kiafrikaans
Agriculture	Category:Kilimo
Akira Kurosawa	Akira Kurosawa
Alaska	Alaska
Albania	Albania
Albania	Category:Albania
Albatross	Albatrosi
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albuquerque	Albuquerque, New Mexico
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pushkin	Aleksander Pushkin
Alexander the Great	Aleksander Mashuhuri
Alexandria	Aleksandria
Alfred Nobel	Alfred Nobel
Algeria	Category:Algeria
Algiers	Algiers
Ali	Ali ibn Abu Talib
Alkali metal	Metali alikali
Alloy	Aloi
Almaty	Almaty
Alpha (letter)	Alpha
Alpha Centauri	Alpha Centauri
Alphabet	Alfabeti
Alps	Alpi
Aluminium	Alumini
Amazon River	Amazonas (mto)
American Civil War	Vita vya wenyewe kwa wenyewe vya Marekani
American Samoa	Samoa ya Marekani
Amerigo Vespucci	Amerigo Vespucci
Amman	Amman
Ampere	Ampea
Amsterdam	Amsterdam
Amur	Amur (mto)
Anarchism	Utawala huria
Anatidae	Bata
Anatole France	Anatole France
Andalusia	Andalusia
Andes	Andes
Andorra	Andorra
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andy Warhol	Andy Warhol
Angle	Pembe (jiometria)
Angola	Angola
Angola	Category:Angola
Anguilla	Anguilla
Anno Domini	Baada ya Kristo
Antananarivo	Antananarivo
Antarctica	Bara la Antaktiki
Antigua and Barbuda	Antigua na Barbuda
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antwerp	Antwerpen
Apia	Apia
Apple	Tofaa
April	Aprili
April 14	14 Aprili
Arab	Waarabu
Arab League	Jumuiya ya Nchi za Kiarabu
Arabian Peninsula	Bara Arabu
Arabic alphabet	Herufi za Kiarabu
Arabic language	Kiarabu
Aral Sea	Aral (ziwa)
Archaeology	Akiolojia
Archbishop	Askofu mkuu
Archimedes	Archimedes
Archipelago	Funguvisiwa
Architecture	Ujenzi
Arctic Ocean	Bahari ya Aktiki
Argentina	Argentina
Argentina	Category:Argentina
Argon	Arigoni
Aristotle	Aristoteli
Arithmetic	Hesabu
Armenia	Armenia
Armenia	Category:Armenia
Arsenic	Asenia
Arthur Compton	Arthur Holly Compton
Arthur Rimbaud	Arthur Rimbaud
Aruba	Aruba
Asia	Asia
Asia	Category:Asia
Asmara	Asmara
Astana	Astana
Astatine	Astatini
Astrology	Unajimu
Astronomy	Falaki
Astronomy	Category:Falaki
Aswan	Aswan
Athens	Athens
Atlantic Ocean	Atlantiki
Atlantic Ocean	Category:Atlantiki
Atoll	Atolli
Atom	Atomi
Atomic mass	Uzani atomia
Atomic number	Namba atomia
August	Agosti
August 1	1 Agosti
August 15	15 Agosti
August 6	6 Agosti
Augustine of Hippo	Agostino wa Hippo
Augustus	Augusto
Australia	Category:Australia
Austria	Austria
Austria	Category:Austria
Austria-Hungary	Austria-Hungaria
Avalanche	Banguko
Ayatollah	Ayatollah
Azerbaijan	Azerbaijan
Azores	Azori
Aztec	Azteki
B	B
Babylon	Babeli
Bacteria	Bakteria
Baghdad	Baghdad
Bahrain	Bahrain
Bahrain	Category:Bahrain
Baku	Baku
Balkans	Balkani
Baltic Sea	Bahari ya Baltiki
Bamako	Bamako
Banana	Ndizi
Bangkok	Bangkok
Bangladesh	Bangla Desh
Bangladesh	Category:Bangladesh
Bangui	Bangui
Banjul	Banjul
Barbados	Barbados
Barium	Bari
Basil of Caesarea	Basil wa Caesarea
Basra	Basra
Basseterre	Basseterre
Bauxite	Boksiti
Bay of Bengal	Ghuba ya Bengali
Bede	Bede Mheshimiwa
Beer	Bia
Beijing	Beijing
Beirut	Beirut
Belarus	Belarus
Belgium	Ubelgiji
Belgium	Category:Ubelgiji
Belgrade	Belgrad
Belize	Belize
Belize	Category:Belize
Benin	Benin
Benin	Category:Benin
Benito Mussolini	Benito Mussolini
Benjamin Harrison	Benjamin Harrison
Bering Strait	Mlango wa Bering
Berlin	Berlin
Bermuda	Bermuda
Berne	Bern
Bertrand Russell	Bertrand Russell
Beryllium	Berili
Beta (letter)	Beta
Bhutan	Bhutan
Bible	Biblia ya Kikristo
Bible	Category:Biblia
Binoculars	Darubini
Biology	Biolojia
Biology	Category:Biolojia
Bird	Ndege (mnyama)
Bishkek	Bishkek
Bismuth	Bismuthi
Bissau	Bisau
Black Forest	Msitu mweusi
Black Sea	Bahari Nyeusi
Bloemfontein	Bloemfontein
Blog	Blogu
Blood	Damu
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bolivia	Bolivia
Bolivia	Category:Bolivia
Bonn	Bonn
Book	Kitabu
Book of Esther	Kitabu cha Esta
Book of Joshua	Kitabu cha Yoshua
Book of Judges	Waamuzi (Biblia)
Book of Mormon	Kitabu cha Mormoni
Book of Numbers	Hesabu (Biblia)
Book of Revelation	Ufunuo wa Yohane
Book of Ruth	Kitabu cha Ruthu
Boris Pasternak	Boris Leonidovich Pasternak
Borneo	Borneo
Boron	Boroni
Bosnia and Herzegovina	Bosnia na Herzegovina
Bosporus	Bosporus
Botany	Botania
Botswana	Botswana
Botswana	Category:Botswana
Boxers	Category:Wapiga ngumi
Bram Stoker	Bram Stoker
Bratislava	Bratislava
Brazil	Brazil
Brazil	Category:Brazil
Brazzaville	Brazzaville
Bread	Mkate
Bremen	Bremen
Bridgetown	Bridgetown
British Isles	Funguvisiwa ya Britania
British Virgin Islands	Visiwa vya Virgin vya Uingereza
British people	Category:Watu wa Uingereza
Bromine	Bromi
Bruce Lee	Bruce Lee
Brunei	Brunei
Brunei	Category:Brunei
Brussels	Brussels
Bucharest	Bukarest
Budapest	Budapest
Buddhism	Ubuddha
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Bulgaria	Category:Bulgaria
Burkina Faso	Burkina Faso
Burkina Faso	Category:Burkina Faso
Burma	Myanmar
Burundi	Category:Burundi
C	C
Cadmium	Cadimi
Caesium	Caesi
Cairo	Kairo
Calcium	Kalisi
Caldera	Kaldera
Calendar	Kalenda
California	California
Calvin Coolidge	Calvin Coolidge
Cambodia	Kamboja
Cambodia	Category:Kamboja
Cameroon	Kamerun
Cameroon	Category:Kamerun
Canada	Kanada
Canada	Category:Kanada
Canary Islands	Visiwa vya Kanari
Canary Islands	Category:Visiwa vya Kanari
Canberra	Canberra
Cape Town	Cape Town
Cape Verde	Cabo Verde
Cape Verde	Category:Cabo Verde
Cape of Good Hope	Rasi ya Tumaini Jema
Capital	Mji mkuu
Capital punishment	Adhabu ya kifo
Caracas	Caracas
Carbohydrate	Kabohidrati
Carbon	Kaboni
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinali
Caribbean	Visiwa vya Karibi
Caribbean	Category:Karibi
Caribbean Sea	Bahari ya Karibi
Carl David Anderson	Carl David Anderson
Carl Maria von Weber	Carl Maria von Weber
Carthage	Karthago
Caspian Sea	Bahari ya Kaspi
Castries	Castries
Cat	Paka
Cayenne	Cayenne
Cayman Islands	Cayman
Cecil Rhodes	Cecil Rhodes
Cell (biology)	Seli
Celsius	Selsiasi
Cement	Saruji
Central Africa	Afrika ya Kati
Central African Republic	Jamhuri ya Afrika ya Kati
Central African Republic	Category:Jamhuri ya Afrika ya Kati
Central America	Amerika ya Kati
Central America	Category:Amerika ya Kati
Century	Karne
Cereal	nafaka
Chad	Chad
Chad	Category:Chad
Charlemagne	Karolo Mkuu
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Thomson Rees Wilson	Charles Wilson
Charles de Gaulle	Charles de Gaulle
Charlie Chaplin	Charlie Chaplin
Che Guevara	Che Guevara
Cheese	Jibini
Cheetah	Duma
Chemical compound	Kampaundi
Chemical element	Elementi za kikemia
Chemistry	Kemia
Chemistry	Category:Kemia
Chess	Sataranji
Chester A. Arthur	Chester Arthur
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chile	Chile
Chile	Category:Chile
China	Category:Uchina
Chlorine	Chlorini
Chocolate	Chokoleti
Christianity	Ukristo
Christianity	Category:Ukristo
Christmas	Krismasi
Christopher Columbus	Kristoforo Kolumbus
Chromium	Chromi
Circle	Duara
City-state	Dola-mji
Civil war	Vita ya wenyewe kwa wenyewe
Cobalt	Kobalti
Cocaine	Kokain
Coconut	Mnazi (mti)
Cocos (Keeling) Islands	Visiwa vya Cocos (Keeling)
Coffee	Kahawa
Coin	Sarafu
Cologne	Köln
Colombia	Kolombia
Colombia	Category:Kolombia
Colosseum	Koloseo
Colossus of Rhodes	Sanamu ya Kolossos kisiwani Rhodos
Comet	Nyotamkia
Commonwealth of Independent States	Jumuiya ya Nchi Huru
Commonwealth of Nations	Jumuiya ya Madola
Communication	Category:Mawasiliano
Comoros	Komori
Computer	Tarakilishi
Conakry	Conakry
Congo	Kongo
Congo River	Kongo (mto)
Conquistador	Conquistador
Consonant	Konsonanti
Constantine I	Konstantino Mkuu
Constellation	Kundinyota
Constitution (political)	Katiba
Continent	Bara
Copenhagen	Kopenhagen
Copper	Shaba
Cormorant	Mnandi
Corsica	Korsika
Costa Rica	Kosta Rika
Cotonou	Cotonou
Country	Nchi
Court	Mahakama
Crane (bird)	Korongo (Gruidae)
Croatia	Kroatia
Crow	Kunguru
Crust (geology)	Ganda la dunia
Cuba	Kuba
Curitiba	Curitiba
Cyclone	Tufani
Cyprus	Kupro
Cyrillic alphabet	Kikyrili
Czech Republic	Ucheki
Czech Republic	Category:Ucheki
Czechoslovakia	Chekoslovakia
D	D
Dakar	Dakar
Dam	Lambo
Damascus	Dameski
Dante Alighieri	Dante Alighieri
Danube	Danubi (mto)
Dar es Salaam	Dar es Salaam
Dardanelles	Dardaneli
Darmstadtium	Darmstadti
David Livingstone	David Livingstone
Day	Siku
Deacon	Shemasi
Dead Sea	Bahari ya Chumvi
December	Desemba
December 31	31 Desemba
December 8	8 Desemba
Decius (emperor)	Kaizari Decius
Degree (angle)	Nyuzi
Delaware	Delaware
Democratic Republic of the Congo	Jamhuri ya Kidemokrasia ya Kongo
Democratic Republic of the Congo	Category:Jamhuri ya Kidemokrasia ya Kongo
Denmark	Denmark
Denmark	Category:Denmark
Dennis Gabor	Dennis Gabor
Desert	Jangwa
Deserts	Category:Jangwa
Deuteronomy	Kumbukumbu la Sheria
Diameter	Kipenyo
Diamond	Almasi
Dictatorship	Udikteta
Dinosaur	Dinosau
Diocletian	Diokletian
Disambiguation	Category:Makala zinazotofautisha maana
Djibouti	Category:Jibuti
Djibouti (city)	Jibuti (mji)
Dodoma	Dodoma (mji)
Doha	Doha
Dollar	Dola (pesa)
Dome	Kuba (jengo)
Dominica	Dominica
Dominican Republic	Jamhuri ya Dominika
Domitian	Domitian
Donatello	Donatello
Douala	Douala
Dresden	Dresden
Drink	Kinywaji
Dubai	Dubai
Dublin	Dublin
Duke Ellington	Duke Ellington
Dune	Tuta la mchanga
Durban	Durban
Dushanbe	Dushanbe
Dwight D. Eisenhower	Dwight D. Eisenhower
E	E
Eagle	Tai
Earth	Dunia
Earth science	Sayansi za dunia
Earthquake	Tetemeko la ardhi
East Africa	Afrika ya Mashariki
East Germany	Jamhuri ya Kidemokrasia ya Kijerumani
East Timor	Timor ya Mashariki
East Timor	Category:Timor ya Mashariki
Easter	Pasaka
Economics	Category:Uchumi
Ecuador	Ekuador
Ecuador	Category:Ekuador
Ecumenical council	Mtaguso Mkuu
Edinburgh	Edinburgh
Edmund Hillary	Edmund Hillary
Eduard Buchner	Eduard Buchner
Education	Elimu
Edvard Grieg	Edvard Grieg
Edward the Confessor	Edward Muungamaji
Egypt	Misri
Egypt	Category:Misri
Eiffel Tower	Mnara wa Eiffel
El Salvador	El Salvador
El Salvador	Category:El Salvador
Elbe	Elbe
Electron	Elektroni
Elephant	Ndovu
Elias Canetti	Elias Canetti
Elijah	Nabii Eliya
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Emerald	Zumaridi
Emma Goldman	Emma Goldman
Emperor	Kaizari
Empire State Building	Empire State Building
Encyclopedia	Kamusi elezo
Engineering	Uhandisi
England	Uingereza (nchi)
English Channel	Mfereji wa Kiingereza
English language	Kiingereza
English language	Category:Kiingereza
Enrico Fermi	Enrico Fermi
Epistle to the Galatians	Waraka kwa Wagalatia
Epistle to the Romans	Waraka kwa Waroma
Epsilon	Epsilon
Equator	Ikweta
Equatorial Guinea	Guinea ya Ikweta
Equatorial Guinea	Category:Guinea ya Ikweta
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eris (dwarf planet)	Eris (sayari kibete)
Eritrea	Category:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erosion	Mmomonyoko
Esperanto	Kiesperanto
Estonia	Category:Estonia
Ethiopia	Ethiopia
Ethiopia	Category:Ethiopia
Eugene O'Neill	Eugene O'Neill
Euphrates	Frati
Euro	Euro
Europe	Ulaya
Europe	Category:Ulaya
European Community	Jumuiya ya Kiuchumi ya Ulaya
European Union	Umoja wa Ulaya
Evaporation	Uvukizaji
Exodus	Kutoka (Biblia)
F	F
Falcon	Kozi
February	Februari
February 12	12 Februari
February 14	14 Februari
February 2	2 Februari
February 22	22 Februari
February 29	29 Februari
Felix Mendelssohn	Felix Mendelssohn
Ferdinand Magellan	Ferdinand Magellan
Fidel Castro	Fidel Castro
Fiji	Fiji
Finland	Ufini
Finland	Category:Ufini
Firearm	bunduki
First Epistle to the Corinthians	Waraka wa kwanza kwa Wakorintho
First language	Lugha ya kwanza
Flag	Bendera
Flamingo	Heroe
Flanders	Flandria
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Flour	Unga
Food	chakula
Foot (unit of length)	Futi
Football (soccer)	Mpira wa miguu
France	Ufaransa
France	Category:Ufaransa
Francis Crick	Francis Crick
Francis of Assisi	Fransisko wa Asizi
Franciscan	Wafransisko
Francisco Goya	Francisco de Goya
Francisco Pizarro	Francisco Pizarro
Francium	Fransi
Frankfurt	Frankfurt am Main
Frankfurt (disambiguation)	Frankfurt
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Free State	Dola Huru
Freetown	Freetown
French Polynesia	Polynesia ya Kifaransa
French Revolution	Mapinduzi ya Ufaransa
French people	Category:Watu wa Ufaransa
Friday	Ijumaa
Fridtjof Nansen	Fridtjof Nansen
Fritz Haber	Fritz Haber
Fruit	Tunda
Fruit	Category:Matunda
Fundamental	Category:Jamii Kuu
Furniture	Fanicha
Fyodor Dostoevsky	Fyodor Dostoyevski
G	G
Gabon	Gabon
Gabon	Category:Gabon
Gaborone	Gaborone
Gabriel Lippmann	Gabriel Lippmann
Galaxy	Galaksi
Gallium	Gali
Gamal Abdel Nasser	Gamal Abdel Nasser
Gamma	Gamma
Ganges	Ganga (mto)
Gansu	Gansu
Gas	Gesi
Gaul	Gallia
Gaza Strip	Ukanda wa Gaza
Gemstone	Kito
General Officer	Jenerali
Genesis	Mwanzo (Biblia)
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Jiografia
Geography	Category:Jiografia
Geology	Category:Jiolojia
Geometry	Category:Jiometria
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
George Frideric Handel	Georg Friederich Händel
George Gershwin	George Gershwin
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georgetown	Georgetown (Guyana)
Georgia (U.S. state)	Georgia (jimbo)
Georgia (country)	Georgia (nchi)
Georgia (country)	Category:Georgia (nchi)
German language	Kijerumani
Germanium	Gerimani
Germany	Ujerumani
Germany	Category:Ujerumani
Ghana	Ghana
Ghana	Category:Ghana
Giacomo Puccini	Giacomo Puccini
Gibraltar	Gibraltar
Giraffe	Twiga
Giuseppe Verdi	Giuseppe Verdi
Glacier	Barafuto
Glass	Kioo
Goat	Mbuzi
God	Mungu
Gold	Dhahabu
Gospel	Injili
Gospel of Luke	Injili ya Luka
Granada	Granada
Grape	Zabibu
Great Barrier Reef	Great Barrier Reef
Great Lakes	Maziwa makubwa ya Amerika Kaskazini
Great Wall of China	Ukuta wa China
Greater Antilles	Antili Kubwa
Grebe	Kibisi
Greece	Ugiriki
Greece	Category:Ugiriki
Greek alphabet	Alfabeti ya Kigiriki
Greenland	Greenland
Gregorian calendar	Kalenda ya Gregori
Grover Cleveland	Grover Cleveland
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guatemala	Category:Guatemala
Guatemala City	Guatemala City
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guinea	Guinea
Guinea	Category:Guinea
Guinea-Bissau	Guinea Bisau
Guinea-Bissau	Category:Guinea Bisau
Gulf Stream	Mkondo wa Ghuba
Gulf of Aden	Bahari ya Eritrea
Gulf of Aqaba	Ghuba ya Akaba
Gulf of Guinea	Ghuba ya Guinea
Gulf of Mexico	Ghuba ya Meksiko
Gulf of Oman	Ghuba ya Omani
Gull	Shakwe
Gunpowder	baruti
Gustav Ludwig Hertz	Gustav Hertz
Gustav Mahler	Gustav Mahler
H	H
Hadith	Hadithi za Mtume Muhammad
Hadrian	Kaizari Hadrian
Hafnium	Hafni
Haiti	Haiti
Haiti	Category:Haiti
Hamburg	Hamburg
Hammurabi	Hammurabi
Han Dynasty	Utawala wa Han
Hanoi	Hanoi
Hans Bethe	Hans Bethe
Harare	Harare
Harold Pinter	Harold Pinter
Havana	Havana
Hawaii	Hawaii
Health	Category:Afya
Hebei	Hebei
Hectare	Hektari
Hector Berlioz	Hector Berlioz
Helen Keller	Helen Keller
Helena	Helena, Montana
Helium	Heli
Helsinki	Helsinki
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Fonda	Henry Fonda
Hermann Hesse	Hermann Hesse
Herodotus	Herodoti
Heron	Kingoyo
Hesse	Hesse
Hezbollah	Hezbollah
Hideki Yukawa	Hideki Yukawa
Himalayas	Himalaya
Hipparchus	Hipparchos wa Nikaia
Hippocrates	Hippokrates
Hippopotamus	Kiboko
Hirohito	Hirohito wa Japani
Hispaniola	Hispaniola
History	Historia
Holiday	Sikukuu
Hollywood	Hollywood
Holy Roman Empire	Dola Takatifu la Kiroma
Homer	Homer
Honduras	Honduras
Honduras	Category:Honduras
Honey	Asali
Honey Buzzard	Kengewa
Hong Kong	Hong Kong
Honiara	Honiara
Horace	Horatius
Hour	Saa
House	Nyumba
Human	Binadamu
Hunan	Hunan
Hungary	Hungaria
Hungary	Category:Hungaria
Hydrogen	Hidrojeni
I	I
I. M. Pei	Ieoh Ming Pei
Iberian Peninsula	Rasi ya Iberia
Ice	Barafu
Iceland	Iceland
Iceland	Category:Iceland
Ido	Kiido
Igor Stravinsky	Igor Stravinsky
Illinois	Illinois
India	Uhindi
India	Category:Uhindi
Indian Ocean	Bahari ya Hindi
Indian Ocean	Category:Bahari ya Hindi
Indium	Indi
Indochina	Indochina
Indonesia	Indonesia
Indonesia	Category:Indonesia
Indus River	Indus (mto)
Ingmar Bergman	Ingmar Bergman
Inner Mongolia	Mongolia ya Kichina
International Court of Justice	Mahakama Kuu ya Kimataifa
International Monetary Fund	IMF
International System of Units	Vipimo sanifu vya kimataifa
Internet	Intaneti
Internment	Makambi ya KZ
Iodine	Iodini
Ionia	Ionia
Iran	Uajemi
Iran	Category:Uajemi
Iraq	Iraq
Iraq	Category:Iraq
Irenaeus	Mtakatifu Ireneo
Irish people	Category:Watu wa Ireland
Iron	Chuma
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Islam	Uislamu
Islam	Category:Uislamu
Islamabad	Islamabad
Islamic calendar	Kalenda ya Kiislamu
Island	Kisiwa
Isle of Man	Isle of Man
Israel	Israel
Israel	Category:Israel
Istanbul	Istanbul
Italian Peninsula	Rasi ya Italia
Italy	Italia
Italy	Category:Italia
Ivan Pavlov	Ivan Pavlov
J	J
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jakarta	Jakarta
Jamaica	Jamaika
Jamaica	Category:Jamaika
James A. Garfield	James A. Garfield
James Buchanan	James Buchanan
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Watt	James Watt
January	Januari
January 1	1 Januari
January 19	19 Januari
January 20	20 Januari
January 6	6 Januari
Japan	Japani
Japan	Category:Japani
Jean Sibelius	Jean Sibelius
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jersey	Jersey
Jerusalem	Yerusalemu
Jesus	Yesu
Jimi Hendrix	Jimi Hendrix
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Galsworthy	John Galsworthy
John Lennon	John Lennon
John Locke	John Locke
