English	Estonian
0 (number)	Null
1	1
10	10
100	100
100	Kategooria:100
1000	1000
1000	Kategooria:1000
101	101
105	105
11	11
110	110
115	115
12	12
12	Kategooria:12
120	120
125	125
13	13
130	130
135	135
14	14
14	Kategooria:14
140	140
144	144
145	145
15	15
150	150
1530s	1530. aastad
155	155
16	16
16	Kategooria:16
160	160
165	165
17	17
17	Kategooria:17
170	170
1728	1728
1728	Kategooria:1728
175	175
1750s	1750. aastad
1750s	Kategooria:1750. aastad
1760s	1760. aastad
1760s	Kategooria:1760. aastad
1770s	1770. aastad
1770s	Kategooria:1770. aastad
1780s	1780. aastad
1780s	Kategooria:1780. aastad
1790s	1790. aastad
1790s	Kategooria:1790. aastad
18	18
180	180
1820s	1820. aastad
1820s	Kategooria:1820. aastad
1830s	1830. aastad
1830s	Kategooria:1830. aastad
1840s	1840. aastad
1840s	Kategooria:1840. aastad
1850s	1850. aastad
1860s	1860. aastad
1860s	Kategooria:1860. aastad
1870s	1870. aastad
1870s	Kategooria:1870. aastad
1880s	1880. aastad
1880s	Kategooria:1880. aastad
1890s	1890. aastad
1890s	Kategooria:1890. aastad
19	19
190	190
1900s	1900. aastad
1900s	Kategooria:1900. aastad
1920s	1920. aastad
1920s	Kategooria:1920. aastad
1930s	1930. aastad
1930s	Kategooria:1930. aastad
1940s	1940. aastad
1940s	Kategooria:1940. aastad
1950s	1950. aastad
1950s	Kategooria:1950. aastad
1960s	1960. aastad
1960s	Kategooria:1960. aastad
1970s	1970. aastad
1970s	Kategooria:1970. aastad
1980s	1980. aastad
1980s	Kategooria:1980. aastad
1990s	1990. aastad
1990s	Kategooria:1990. aastad
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (seriaal)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
500	Kategooria:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ATP	ATP
Aachen	Aachen
Aalborg	Ålborg
Aar	Aare jõgi
Aardvark	Tuhnik
Aarhus	Århus
Aaron	Aaron
Abacus	Abakus
Abadan	Ābādān
Abbot	Abt
Abelian group	Abeli rühm
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abhaasia
Abkhazia	Kategooria:Abhaasia
Abraham	Aabraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absoluutne tähesuurus
Absolute value	Absoluutväärtus
Absolute zero	Absoluutne nulltemperatuur
Absolutism (European history)	Absolutism
Abu Dhabi	Abu Dhabi
Abu Dhabi (emirate)	Abu Dhabi emiraat
Abuja	Abuja
Acacia	Akaatsia
Academy Award	Oscar
Acapulco	Acapulco
Acceleration	Kiirendus
Accipitridae	Haugaslased
Accra	Accra
Acetaldehyde	Atseetaldehüüd
Acetic acid	Etaanhape
Acetone	Atsetoon
Acetylene	Atsetüleen
Achilles	Achilleus
Acid	Hape
Acid rain	Happesademed
Aconcagua	Aconcagua
Acoustics	Akustika
Acre	Aaker
Acre (state)	Acre osariik
Actinide	Aktinoidid
Actinium	Aktiinium
Acupuncture	Akupunktuur
Adam	Aadam
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Ahvileivapuu
Addis Ababa	Addis Abeba
Addition	Liitmine
Adelaide	Adelaide
Aden	Aden
Adenine	Adeniin
Adenosine triphosphate	Adenosiintrifosfaat
Adiabatic process	Adiabaatiline protsess
Adige	Adige jõgi
Admiral	Admiral
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adriatic Sea	Aadria meri
Adsorption	Adsorptsioon
Adult	Täiskasvanu
Advent	Advent
Advertising	Reklaam
Aegean Sea	Egeuse meri
Aeneas	Aineias
Aeneid	Aeneis
Aerosol	Aerosool
Aeschylus	Aischylos
Aesthetics	Esteetika
Afghanistan	Afganistan
Afghanistan	Kategooria:Afganistan
Africa	Aafrika
Africa	Kategooria:Aafrika
African American	Afroameeriklased
Afrikaans	Afrikaani keel
Agamemnon	Agamemnon
Agate	Ahhaat
Agatha Christie	Agatha Christie
Agnatha	Lõuatud
Agnosticism	Agnostitsism
Agora	Agoraa
Agoraphobia	Agorafoobia
Agra	Agra
Agriculture	Põllumajandus
Agriculture	Kategooria:Põllumajandus
Aikido	Aikidō
Ain	Aini departemang
Airbus	Airbus
Aircraft	Õhusõiduk
Aircraft carrier	Lennukikandja
Akhenaten	Ehnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qā‘idah
Alabama	Alabama
Alabama	Kategooria:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alaska	Alaska
Alaska	Kategooria:Alaska
Albania	Albaania
Albania	Kategooria:Albaania
Albany	Albany
Albatross	Albatroslased
Albedo	Albeedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Alberta	Alberta
Albite	Albiit
Album	Muusikaalbum
Alchemy	Alkeemia
Alcohol	Alkoholid
Alcoholic beverage	Alkohoolne jook
Alcoholism	Alkoholism
Aldebaran	Aldebaran
Aldehyde	Aldehüüdid
Aleksandr Solzhenitsyn	Aleksandr Solženitsõn
Aleppo	Ḩalab
Aleutian Islands	Aleuudid (saarestik)
Alexander Graham Bell	Alexander Graham Bell
Alexander Pushkin	Aleksandr Puškin
Alexander the Great	Aleksander Suur
Alexandre Dumas	Alexandre Dumas vanem
Alexandria	Aleksandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Algae	Vetikad
Algebra	Algebra
Algebra	Kategooria:Algebra
Algeria	Alžeeria
Algeria	Kategooria:Alžeeria
Algiers	Alžiir
Algorithm	Algoritm
Ali	‘Alī ibn Abī Ţālib
Alkali metal	Leelismetallid
Alkaloid	Alkaloidid
Alkane	Alkaanid
Alkene	Alkeenid
Alkyne	Alküünid
Allah	Allah
Allegory	Allegooria
Allele	Alleel
Allergy	Allergia
Alliteration	Alliteratsioon
Allophone	Allofoon
Allotropy	Allotroopia
Alloy	Sulam
Almaty	Almatõ
Almond	Harilik mandlipuu
Aloe	Aaloe
Alpha particle	Alfaosake
Alphabet	Tähestik
Alps	Alpid
Alsace	Alsace
Altar	Altar
Altay Mountains	Altai
Alternating current	Vahelduvvool
Alternative medicine	Kategooria:Alternatiivmeditsiin
Alternative medicine	Alternatiivmeditsiin
Altruism	Altruism
Aluminium	Alumiinium
Aluminium oxide	Alumiiniumoksiid
Alvar Aalto	Alvar Aalto
Amanita muscaria	Punane kärbseseen
Amaryllidaceae	Amarüllilised
Amaterasu	Amaterasu
Amazon River	Amazonas
Ambassador	Suursaadik
Amber	Merevaik
Ambrose	Ambrosius
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Civil War	Ameerika Ühendriikide kodusõda
American Samoa	Ameerika Samoa
American Standard Code for Information Interchange	ASCII
American football	Ameerika jalgpall
American football	Kategooria:Ameerika jalgpall
Americium	Ameriitsium
