English	Galician
Amaterasu	Amaterasu - 天照
Amazon River	Río Amazonas
Amber	Ámbar
Ambrose	Ambrosio de Milán
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Civil War	Guerra Civil Estadounidense
American Samoa	Samoa Americana
American Standard Code for Information Interchange	ASCII
Americium	Americio
Amino acid	Aminoácido
Amman	Amán - عمان
Ammeter	Amperímetro
Ammonia	Amoníaco
Amnesty	Amnistía
Ampere	Ampere
Amphetamine	Anfetamina
Amphibian	Anfibio
Amplitude	Amplitude
Amsterdam	Ámsterdam - Amsterdam
Amun	Amón
Amur	Río Amur
Anagram	Anagrama
Anaheim	Anaheim, California
Anal sex	Sexo anal
Anarchism	Anarquismo
Anarchism	Categoría:Anarquismo
Anarchy	Anarquía
Anatomy	Categoría:Anatomía
Anatomy	Anatomía
Anaxagoras	Anaxágoras de Clazomenas
Anaximander	Anaximandro de Mileto
Anchorage	Anchorage, Alasca
Ancient Greek	Grego antigo
Andalusia	Andalucía
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andra Pradex
Andorra	Andorra
Andorra	Categoría:Andorra
Andrea Palladio	Andrea Palladio
Andrei Tarkovsky	Andrei Tarkovski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Android	Androide
Andromeda	Andrómeda (homónimos)
Andromeda (constellation)	Andrómeda (constelación)
Andromeda (mythology)	Andrómeda
Andromeda Galaxy	NGC 224
Andy Warhol	Andy Warhol
Anemometer	Anemómetro
Angel	Anxo (cristianismo)
Angle	Ángulo
Anglicanism	Igrexa Anglicana
Angola	Angola
Angola	Categoría:Angola
Anguilla	Anguila - Anguilla
Angular momentum	Momento angular
Anicius Manlius Severinus Boethius	Anicio Boecio
Animal	Animalia
Animal husbandry	Gandería
Animation	Animación
Anime	Anime
Anise	Anís
Ankara	Ancara - Ankara
Annapolis	Annapolis, Maryland
Annapurna	Annapurna
Anne Boleyn	Ana Bolena
Annelid	Annelida
Anorexia nervosa	Anorexia nerviosa
Ant	Formiga
Antakya	Antioquía
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antártida
Antares	Antares
Anthropology	Antropoloxía
Anthropology	Categoría:Antropoloxía
Antibiotic	Antibiótico
Antigone	Antígona
Antigua and Barbuda	Antiga e Barbuda - Antigua and Barbuda
Antigua and Barbuda	Categoría:Antiga e Barbuda
Antimatter	Antimateria
Antimony	Antimonio
Antioxidant	Antioxidante
Antipope	Antipapa
Antisemitism	Antisemitismo
Antlia	Antlia
Antofagasta	Antofagasta
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonimia
Antwerp	Antuerpen - Antwerpen
Antwerp (province)	Provincia de Antwerp
Apache	Pobo apache
Aphasia	Afasia
Aphorism	Aforismo
Aphrodite	Afrodita
Apia	Apia
Apollo	Apolo
Apollo program	Misión Apolo
Apoptosis	Apoptose
Appalachian Mountains	Apalaches
Apple	Maceira
Apricot	Albaricoque
April	Abril
April 14	14 de abril
Apse	Ábsida
Apulia	Puglia
Apus	Apus
Aquamarine	Augamariña
Aquarium	Acuario (recipiente)
Aquarius (constellation)	Aquarius
Aqueduct	Acueduto
Aquila (constellation)	Aquila
Aquitaine	Aquitania
Ara (constellation)	Ara
Arab League	Liga Árabe
Arabian Peninsula	Península de Arabia
Arabian Sea	Mar Arábigo
Arabic alphabet	Alfabeto árabe
Arabic language	Lingua árabe
Aragon	Aragón
Aral Sea	Mar de Aral
Arch	Arco (arquitectura)
Archaeology	Arqueoloxía
Archaeology	Category:Arqueoloxía
Archbishop	Arcebispo
Archimedes	Arquimedes
Archipelago	Arquipélago
Architecture	Arquitectura
Architecture	Categoría:Arquitectura
Archive	Arquivo
Arctic	Ártico
Arctic Circle	Círculo Polar Ártico
Arctic Ocean	Océano Ártico
Ardennes (department)	Ardennes
Ares	Ares (deus)
Argentina	Arxentina - Argentina
Argentina	Categoría:Arxentina
Argon	Argon
Arianism	Arianismo
Aries (constellation)	Aries
Aristarchus of Samos	Aristarco de Samos
Aristocracy	Aristocracia
Aristophanes	Aristófanes
Aristotle	Aristóteles
Arithmetic	Aritmética
Arius	Ario
Arizona	Arizona
Arkansas	Arcansas
Arles	Arles
Armenia	Armenia - Հայաստան
Armenia	Categoría:Armenia
Armenian language	Lingua armenia
Arminius	Arminio
Armour	Armadura
Army	Exército
Arnhem	Arnhem
Arno River	Río Arno
Arquebus	Arcabuz
Arras	Arras
Arsenic	Arsénico
Art	Arte
Art Nouveau	Art Nouveau
Art history	Categoría:Historia da Arte
Art history	Historia da arte
Artemis	Ártemis
Artemisia absinthium	Absintio
Arthropod	Artrópodo
Arthur Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, duque de Wellington
Artificial intelligence	Intelixencia artificial
Artificial intelligence	Categoría:Intelixencia artificial
Artillery	Artillería
Arts	Categoría:Arte e Cultura
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Asbestos	Amianto
Asclepius	Asclepio
Ashurbanipal	Assurbanipal
Asia	Asia
Asia	Categoría:Asia
Asmara	Asmara
Aspartame	Aspartamo
Asphalt	Asfalto
Aspirin	Aspirina
Assam	Assam
Assassination	Atentado
Association of Southeast Asian Nations	ASEAN
Assyria	Asiria
Astana	Astana - Астана
Astatine	Astato
Asteroid	Asteroide
Asteroid belt	Cinto de asteroides
Asthenosphere	Astenosfera
Asthma	Asma
Astigmatism (eye)	Astigmatismo
Astrakhan	Astrakhan - А́страхань
Astrobiology	Astrobioloxía
Astrolabe	Astrolabio
Astronaut	Astronauta
Astronomer	Astrónomo
Astronomical unit	Unidade astronómica
Astronomy	Astronomía
Astronomy	Categoría:Astronomía
Astrophysics	Astrofísica
Astrophysics	Categoría:Astrofísica
Aswan	Asuán - أسوان
Atacama Desert	Deserto do Atacama
Aten	Atón
Athena	Atenea
Athens	Atenas - Αθήνα
Athletics (track and field)	Atletismo
Atlanta	Atlanta, Xeorxia
Atlantic Ocean	Océano Atlántico
Atlantis	Atlántida
Atoll	Atol
Atom	Átomo
Atomic number	Número atómico
Atomic physics	Física atómica
Atropine	Atropina
Attica	Ática
Attila the Hun	Atila
Au	Au
Auckland	Auckland
August	Agosto
August 1	1 de agosto
August 15	15 de agosto
August 6	6 de agosto
Augusta	Augusta, Maine
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Agostiño de Hipona
Auriga (constellation)	Auriga (constelación)
Aurora (astronomy)	Aurora polar
Austin	Austin, Texas
Australia	Australia
Australia	Categoría:Australia
Australopithecus	Australopithecus
Austria	Austria - Österreich
Austria	Categoría:Austria
Austria-Hungary	Imperio Austrohúngaro
Author	Autor
Authority	Autoridade
Auto racing	Automobilismo
Autobiography	Autobiografía
Automobile	Automóbil
Autotroph	Autótrofo
Autumn	Outono
Avalanche	Avalancha
Avant-garde	Vangardas
Avatar	Avatar
Averroes	Averroes
Avesta	Avesta
Aviation	Aviación
Avicenna	Avicena
Avignon	Aviñón - Avignon
Axiom	Axioma
Ayatollah	Aiatolá
Ayn Rand	Ayn Rand
Azerbaijan	Acerbaixán - Azərbaycan
Azerbaijan	Categoría:Acerbaixán
Azimuth	Acimut
Azores	Azores - Açores
Aztec	Azteca
Azurite	Azurita
B	B
BASIC	BASIC
Baal	Baal
Babylonia	Babilonia
Backgammon	Backgammon
Bacteria	Bacteria
Badminton	Bádminton
Baffin Bay	Baía de Baffin
Baffin Island	Illa de Baffin
Baghdad	Bagdad
Bahrain	Bahrain - البحرين
Bahrain	Categoría:Bahrain
Baja California	Baixa California - Baja California
Baku	Bakú - Bakı
Baldr	Balder
Balearic Islands	Illas Baleares - Illes Balears
Baleen whale	Balea
Bali	Bali
Balkans	Balcáns
Ballet	Balé
Ballpoint pen	Bolígrafo
Baltic Sea	Mar Báltico
Baltimore	Baltimore, Maryland
Bamako	Bamaco - Bamako
Bamboo	Bambú
Banana	Banana
Bangalore	Bangalore - ಬೆಂಗಳೂರು
Bangkok	Bangkok - กรุงเทพมหานคร
Bangladesh	Bangladesh - বাংলাদেশ
Bangladesh	Categoría:Bangladesh
Bangui	Bangui
Banjul	Banjul
Baptism	Bautismo
Bar (unit)	Bar (unidade)
Barbados	Barbados
Barbados	Categoría:Barbados
Barcelona	Barcelona
Barents Sea	Mar de Barents
Bari	Bari
Barium	Bario
Barley	Cebada
Barn Owl	Curuxa común
Barn Swallow	Andoriña
Baroque	Barroco
Barranquilla	Barranquilla
Basalt	Basalto
Baseball	Béisbol
Basel	Basilea
Bash	Bash
Basil	Asubiote
Basil of Caesarea	Basilio o Grande
Basilicata	Basilicata
Basiliscus	Basilisco, Emperador
Basketball	Baloncesto
Basketball	Categoría:Baloncesto
Bass guitar	Baixo
Basse-Normandie	Baixa Normandía
Basseterre	Basseterre
Bassoon	Fagot
Bastille	Bastilla
Batman	Batman
Baton Rouge	Baton Rouge
Battalion	Batallón
Battle of Britain	Batalla de Inglaterra
Battle of Hastings	Batalla de Hastings
Battle of Lepanto (1571)	Batalla de Lepanto
Battle of Marathon	Batalla de Maratón
Battle of Thermopylae	Batalla das Termópilas
Battle of Trafalgar	Batalla de Trafalgar
Battle of Waterloo	Batalla de Waterloo
Battleship	Acoirazado
Bauhaus	Bauhaus
Bauxite	Bauxita
Bavaria	Baviera
Bavaria	Categoría:Baviera
Bay of Biscay	Golfo de Biscaia
Bayer	Bayer
Bayonne	Baiona - Bayonne
Beach	Praia
Bear	Oso
Beaver	Castor
Bebop	Bebop
Bed	Cama
Bede	Beda
Bee	Abella
Beer	Cervexa
Beetle	Escaravello
Beijing	Beijing - 北京
Beirut	Beirut
Belarus	Bielorrusia - Беларусь
Belarus	Categoría:Bielorrusia
Belfast	Belfast - Béal Feirste
Belgium	Bélxica - België
Belgium	Categoría:Bélxica
Belgrade	Belgrado
Belisarius	Belisario
Belize	Belice - Belize
Belize	Categoría:Belice
Belo Horizonte	Belo Horizonte
Benelux	Benelux
Benin	República de Benín - République du Bénin
Benin	Categoría:Benín
Benito Mussolini	Benito Mussolini
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Beowulf	Beowulf, poema
Bergen	Bergen
Bering Sea	Mar de Bering
Bering Strait	Estreito de Bering
Berkelium	Berquelio
Berlin	Berlín - Berlin
Bermuda	Bermuda
Berne	Berna - Bern
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Berilo
Beryllium	Berilio
Beta (letter)	Beta
Betelgeuse	Betelgeuse
Bette Davis	Bette Davis
Bey	Bey
Bhutan	Bután - འབྲུག་ཡུལ
Bhutan	Categoría:Bután
Bible	Biblia
Bicycle	Bicicleta
Big Bang	Big Bang
Bihar	Bihar
Bill Clinton	William Jefferson Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Biochemistry	Bioquímica
Biochemistry	Categoría:Bioquímica
Biodiversity	Biodiversidade
Biography	Biografía
Biology	Bioloxía
Biology	Categoría:Bioloxía
Biomass	Biomasa
Biometrics	Identificación biométrica
Biophysics	Biofísica
Biosphere	Biosfera
Biotin	Vitamina B7
Bipolar disorder	Trastorno bipolar
Bird	Paxaro
Bisexuality	Bisexualidade
Bishop	Bispo
Bismarck	Bismarck, Dacota do Norte
Bismuth	Bismuto
Bissau	Bisau - Bissau
Bit	Bit
Bithynia	Reino de Bitinia
Black	Negro (cor)
Black Death	Peste negra
Black Forest	Selva Negra
Black Kite	Millafre negro
Black Sea	Mar Negro
Black Stork	Cegoña negra
Black body	Corpo negro
Black hole	Burato negro
Blackbird	Merlo
Blindness	Cegueira
Blog	Weblog
Blood	Sangue
Blood type	Grupo sanguíneo
Blue	Azul
Blue Whale	Balea azul
Blues	Blues
Boar	Xabaril
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Body mass index	Índice de masa corporal
Bohemia	Bohemia
Bohrium	Bohrio
Boiling point	Punto de ebulición
Boise	Boise, Idaho
Bolivia	Bolivia
Bolivia	Categoría:Bolivia
Bologna	Bologna
Bolshevik	Bolxevique
Bolzano	Bolzán
Bomber	Bombardeiro
Bone	Óso
Bonn	Bon - Bonn
Bonsai	Bonsai
Book	Libro
Book of Mormon	Libro de Mormón
Boolean algebra (structure)	Álxebra de Boole
Bordeaux	Bordeos - Bordeaux
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spassky
Borneo	Borneo
Boron	Boro
Bosnia and Herzegovina	Bosnia e Hercegovina - Босна и Херцеговина
Bosnia and Herzegovina	Categoría:Bosnia - Hercegovina
Boson	Bosón
Bosporus	Bósforo
Boston	Boston, Massachusetts
Bot	Modelo:Bot
Botanical garden	Xardín botánico
Botany	Botánica
Botany	Categoría:Botánica
Botswana	República de Botsuana - Republic of Botswana
Botswana	Categoría:Botsuana
Bottlenose Dolphin	Arroaz
Bourgeoisie	Burguesía
Bourgogne	Borgoña - Bourgogne
Bouvet Island	Illa Bouvet
Boxer (dog)	Bóxer, raza de cans
Boxing	Boxeo
Boyle's law	Lei de Boyle
Braga	Braga
Braille	Braille
Brain	Cerebro
Bram Stoker	Bram Stoker
Brandenburg	Brandemburgo - Brandenburg
Brandy	Brandy
Bratislava	Bratislava
Brazil	Brasil
Brazil	Categoría:Brasil
Brazzaville	Brazzaville
Bread	Pan (alimento)
Bretagne	Bretaña - Breizh
Bridge	Ponte
Brindisi	Brindisi
Brisbane	Brisbane
British Columbia	Columbia Británica - British Columbia
British Isles	Illas Británicas
British Virgin Islands	Illas Virxes Británicas - British Virgin Islands
Brno	Brno
Broadway (New York City)	Broadway
Bromine	Bromo
Bronze	Bronce
Bronze Age	Idade do Bronce
Brooklyn	Brooklyn
Brown	Marrón
Bruges	Bruxas - Brugge
Brunei	Brunei
Brunei	Categoría:Brunei
Brussels	Bruxelas
Bucharest	Bucarest - Bucureşti
Budapest	Budapest
Buddha	Buda
Buddhism	Budismo
Buddhism	Categoría:Budismo
Buddy Holly	Buddy Holly
Buenos Aires	Bos Aires - Buenos Aires
Buffalo	Búfalo, Nova York
Bujumbura	Bujumbura
Bulgaria	Bulgaria - България
Bulgaria	Categoría:Bulgaria
Bureaucracy	Burocracia
Burkina Faso	Burquina Faso - Burkina Faso
Burkina Faso	Categoría:Burquina Faso
Burma	Myanmar - ဴမန္မာ
Burma	Categoría:Myanmar
Burundi	Categoría:Burundi
Bus (computing)	Bus
Buster Keaton	Buster Keaton
Butane	Butano
Butter	Manteiga
Butterfly	Bolboreta
Butterfly effect	Efecto bolboreta
Bydgoszcz	Bydgoszcz
Byte	Byte
C	C
C (programming language)	Linguaxe de programación C
C. S. Lewis	Clive Staples Lewis
CD (disambiguation)	CD
CHAOS (Linux distribution)	CHAOS
COBOL	Cobol
Cache	Cache
Cactus	Cacto
Cadmium	Cadmio
Cadmus	Cadmo
Caelum	Caelum
Caesium	Cesio
Caffeine	Cafeína
Cairo	O Cairo - القاهرة
Calais	Calais
Calcite	Calcita
Calcium	Calcio
Calcium oxide	Cal
Calculus	Cálculo infinitesimal
Calendar	Calendario
Caliber	Calibre
California	California
Californium	Californio
Caligula	Calígula
Caliph	Califa
Caliphate	Califato
Calligraphy	Caligrafía
Callisto (moon)	Calisto (satélite)
Calorie	Caloría
Calvin Coolidge	John Calvin Coolidge, Jr.
Calypso (mythology)	Calipso
Cambodia	Camboxa - កម្ពុជា
Cambodia	Categoría:Camboxa
Cambrian	Cámbrico
Cambridge	Cambridge
Camel	Camelo
Camembert (cheese)	Camembert (queixo)
Camera	Cámara fotográfica
Cameroon	Camerún - Cameroun
Cameroon	Categoría:Camerún
Campania	Campania
Canada	Canadá - Canada
Canada	Categoría:Canadá
Canadian dollar	Dólar canadense
Canary Islands	Illas Canarias
Canary Islands	Categoría:Canarias
Canberra	Canberra
Cancer (constellation)	Cáncer (astronomía)
Candle	Candea
Canis Major	Canis Major
Canis Minor	Canis Minor
Cannabis (drug)	Cannabis (droga)
Cantata	Cantata
Canterbury	Canterbury
Cantonese (linguistics)	Lingua cantonesa
Cape Town	Cidade do Cabo - Cape Town
Cape Verde	Cabo Verde
Cape Verde	Categoría:Cabo Verde
Cape of Good Hope	Cabo de Boa Esperanza
Capital	Capital
Capital (economics)	Capital (economía)
Capital punishment	Pena de morte
Capitalism	Capitalismo
Capricornus	Capricornus
Capsicum	Pemento
Caracas	Caracas
Caravaggio	Caravaggio
Carbohydrate	Carbohidrato
Carbon	Carbono
Carbon dioxide	Dióxido de carbono
Carbon monoxide	Monóxido de carbono
Cardamom	Cardamomo
Cardiff	Cardiff - Caerdydd
Caribbean	Caribe
Caribbean Sea	Mar Caribe
Caricature	Caricatura
Carina (constellation)	Carina
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Orff	Carl Orff
Carnivorous plant	Planta carnívora
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Montes Cárpatos
Carson City	Carson City
Cartagena	Cartaxena - Cartagena
Cartesian product	Produto cartesiano
Carthage	Cartago
Cartography	Cartografía
Casablanca	Casablanca
Cashew	Anacardio
Caspian Sea	Mar Caspio
Cassiopeia (constellation)	Cassiopeia
Cast iron	Ferro fundido
Castile (historical region)	Castela
Castling	Enroque
Castries	Castries
Casus belli	Casus belli
Cat	Gato
Catalonia	Cataluña - Catalunya
Catalonia	Categoría:Cataluña
Catalysis	Catalizador
Cataphract	Catafracto
Cathedral	Catedral
Catherine of Aragon	Catarina de Aragón
Cathode	Cátodo
Cattle	Vaca
Catullus	Catulo
Caucasus	Cáucaso
Caucasus Mountains	Cáucaso (cordilleira)
Cauliflower	Coliflor
Cave	Cova
Cayman Islands	Illas Caimán - Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedar	Cedro
Celestial equator	Ecuador celeste
Celestial mechanics	Mecánica celeste
Cell (biology)	Célula
Cell nucleus	Núcleo celular
Cell wall	Parede celular
Cello	Violoncello
Celsius	Celsius
Census	Censo
Centaur	Centauro
Centaurus	Centaurus
Center of mass	Baricentro
Centimetre	Centímetro
Central Africa	África central
Central African Republic	República Centroafricana - République Centroafricaine
Central America	América Central
Central America	Categoría:América Central
Central Intelligence Agency	Central Intelligence Agency
Central Powers	Potencias Centrais
Central processing unit	CPU
Centre	Centro (rexión francesa)
Centriole	Centriolos
Century	Século
Cepheus (constellation)	Cepheus
Ceramic	Cerámica
Cerberus	Cérbero
Ceres (dwarf planet)	1 Ceres
Cerium	Cerio
Cetacea	Cetáceo
Cetus	Cetus
Chad	Chad - Tchad
Chad	Categoría:Chad
Chaffinch	Pimpín
Chair	Cadeira (moble)
Chamaeleon	Chamaeleon
Channel Tunnel	Eurotúnel
Chaos (mythology)	Caos
Charadriiformes	Charadriiformes
Charlemagne	Carlomagno
Charleroi	Charleroi
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charleston	Charleston, Virxinia Occidental
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte, Carolina do Norte
Charmed	Charmed
Charon (moon)	Caronte (satélite)
Che Guevara	Che Guevara
Chechnya	Chechenia - Нохчичьо
Cheese	Queixo
Cheetah	Guepardo
Chemical bond	Enlace químico
Chemical compound	Composto
Chemical element	Elemento químico
Chemical engineering	Enxeñaría química
Chemical formula	Fórmula química
Chemical reaction	Reacción química
Chemistry	Química
Chemistry	Categoría:Química
Chennai	Chennai - சென்னை
Cherry	Cereixa
Chess	Xadrez
Chess	Categoría:Xadrez
Chess opening	Apertura de xadrez
Chester A. Arthur	Chester Alan Arthur
Chestnut	Castiñeiro
Cheyenne	Cheyenne, Wyoming
Chi (letter)	Khi
Chiang Kai-shek	Chiang Kai Chek
Chicago	Chicago, Illinois
Chicken	Galiña
Chickpea	Garavanzo
Chihuahua	Estado de Chihuahua
Child	Infancia
Chile	Chile
Chile	Categoría:Chile
Chimborazo (volcano)	Monte Chimborazo
China	Categoría:China
China	China
Chios	Quíos
Chitin	Quitina
Chlorine	Cloro
Chlorophyll	Clorofila
Chloroplast	Cloroplasto
Chocolate	Chocolate
Cholesterol	Colesterol
Chongqing	Chongqing - 重庆
Chord (music)	Acorde
Chordate	Chordata
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Cristianismo
Christianity	Categoría:Cristianismo
Christmas	Nadal
Christmas Eve	Noiteboa
Christopher Columbus	Cristovo Colón
Chromatography	Cromatografía
Chromium	Cromo
Chromosome	Cromosoma
Chuck Berry	Chuck Berry
Cicero	Marcus Tullius Cicero
Cider	Sidra
Cinnabar	Cinabrio
Cinnamon	Canela
Circinus	Circinus
Circle	Círculo
Circulatory system	Aparello circulatorio
Citric acid	Ácido cítrico
Citrus	Cítrico
City-state	Cidade-estado
Clarinet	Clarinete
Clark Gable	Clark Gable
Class	Clase
Class (biology)	Clase (bioloxía)
Classical mechanics	Mecánica clásica
Classical music	Música clásica
Classicism	Clasicismo
Claude Monet	Claude Monet
Claudius	Claudio
Clef	Clave (notación musical)
