English	Tagalog
0 (number)	0 (bilang)
1 (number)	1 (bilang)
10 (number)	10 (bilang)
1000 (number)	1,000 (bilang)
1728	1728
2 (number)	2 (bilang)
3 (number)	3 (bilang)
4 (number)	4 (bilang)
5 (number)	5 (bilang)
6 (number)	6 (bilang)
7 (number)	7 (bilang)
8 (number)	8 (bilang)
9 (number)	9 (bilang)
A	A
ABC	ABC
Aachen	Aachen
Aaron	Aaron
Abacus	Abakus
Abdomen	Puson
Aberdeen	Aberdeen
Abkhazia	Abkhazia
Abortion	Pagpapalaglag
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Abu Dhabi	Abu Dhabi
Abuja	Abuja
Acacia	Akasya
Acapulco	Acapulco
Accra	Accra
Acetylcholine	Acetylcholine
Acid	Asido
Acorn	Acorn
Actor	Artista
Ad hominem	Ad hominem
Adam Smith	Adam Smith
Addis Ababa	Addis Ababa
Addition	Pagdaragdag
Adjective	Pang-uri
Adolf Hitler	Adolf Hitler
Adriatic Sea	Dagat Adriatic
Advent	Adbiyento
Adverb	Pang-abay
Aeneas	Aineías
Aesthetics	Estetika
Afghanistan	Afghanistan
Africa	Aprika
Africa	Category:Aprika
Aggression	Paghandulong
Agra	Agra
Agriculture	Agrikultura
Agriculture	Category:Agrikultura
Alabama	Alabama
Alaska	Alaska
Albania	Albanya
Albert Einstein	Albert Einstein
Albinism	Albinismo
Album	Album
Alchemy	Alkimiya
Alcoholism	Alkoholismo
Alexander Graham Bell	Alexander Graham Bell
Alexander the Great	Alexander ang Dakila
Algebra	Aldyebra
Algeria	Algeria
Algiers	Algiers
Algorithm	Algoritmo
Alliteration	Aliterasyon
Almaty	Almaty
Alphabet	Alpabeto
Altair	Altair
Amaterasu	Amaterasu
Amelia Earhart	Amelia Earhart
Amman	Amman
Anatomy	Anatomiya
Ancient history	Category:Sinaunang kasaysayan
Andalusia	Andalucía
Andorra	Andorra
Andy Warhol	Andy Warhol
Angel	Anghel
Angola	Angola
Animal	Hayop
Anime	Anime
Anime	Category:Anime
Ankara	Ankara
Ant	Langgam
Antananarivo	Antananarivo
Antarctica	Antarctica
Anthropology	Antropolohiya
Anthropology	Category:Antropolohiya
Antigua and Barbuda	Antigua at Barbuda
Antigua and Barbuda	Category:Antigua at Barbuda
Antisemitism	Antisemitismo
Antisemitism	Category:Anti-Semitismo
Antoine Lavoisier	Antoine Lavoisier
Aphrodite	Aphrodite
Apia	Apia
Apocrypha	Apokripa
Apricot	Aprikot
April	Abril
April 14	Abril 14
Arabic language	Wikang Arabe
Aragon	Aragón
Archaeology	Arkeolohiya
Archimedes	Archimedes
Archipelago	Kapuluan
Architecture	Arkitektura
Architecture	Category:Arkitektura
Arctic Ocean	Karagatang Artiko
Area	Lawak
Argentina	Arhentina
Aristotle	Aristoteles
Arithmetic	Aritmetika
Arizona	Arizona
Armenia	Armenia
Arnold Schoenberg	Arnold Schoenberg
Arthur Rimbaud	Arthur Rimbaud
Aruba	Aruba
Asia	Asya
Asia	Category:Asya
Asmara	Asmara
Association of Southeast Asian Nations	Kapisanan ng mga Bansa sa Timog-Silangang Asya
Assyria	Assyria
Astana	Astana
Asteroid	Asteroyd
Astrology	Astrolohiya
Astronomy	Astronomiya
Astronomy	Category:Astronomiya
Astrophysics	Astropisika
Aten	Aten
Athena	Athena
Athens	Atenas
Atlantic Ocean	Karagatang Atlantiko
Atom	Atomo
August	Agosto
August 1	Agosto 1
August 15	Agosto 15
August 6	Agosto 6
Augustine of Hippo	Agustin ng Hippo
Augustus	Caesar Augustus
Australia	Australia
Austria	Austria
Austria	Category:Austria
Avocado	Abukado
Azerbaijan	Azerbaijan
B	B
Bacteria	Bakterya
Badminton	Badminton
Baghdad	Baghdad
Bahrain	Bahrain
Baja California	Baja California
Baku	Baku
Balearic Islands	Baleares
Bamako	Bamako
Bamboo	Kawayan
Banana	Saging
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Bangko
Baptism	Binyag
Barbados	Barbados
Barcelona	Lungsod ng Barcelona
Baseball	Beysbol
Baseball	Category:Beysbol
Basketball	Basketbol
Basketball	Category:Basketbol
Basseterre	Basseterre
Bat	Paniki
Baton Rouge	Baton Rouge, Louisiana
Bear	Oso
Beijing	Beijing
Beirut	Beirut
Belarus	Belarus
Belfast	Belfast
Belgium	Belhika
Belisarius	Belisarius
Belize	Belize
Beluga	Delphinapterus leucas
Benin	Benin
Benin	Category:Benin
Bering Sea	Dagat Bering
Bermuda	Bermuda
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Bertrand Russell	Bertrand Russell
Bethlehem	Belén
Bhutan	Bhutan
Bible	Bibliya
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binoculars	Largabista
Biochemistry	Biyokimika
Biology	Biyolohiya
Biology	Category:Biyolohiya
Bird	Ibon
Bishkek	Bishkek
Bissau	Bissau
Black hole	Black hole
Blood	Dugo
Blue	Asul
Bob Marley	Bob Marley
Bohemia	Bohemya
Bolivia	Bolivia
Bone	Buto (anatomiya)
Book	Aklat
Book of Revelation	Aklat ng Pahayag
Boolean algebra (structure)	Aldyebrang Boolean
Borneo	Borneo
Bosnia and Herzegovina	Bosnia at Herzegovina
Bosnia and Herzegovina	Category:Bosnia at Herzegovina
Bot	Template:Bot
Botany	Botanika
Botswana	Botswana
Boxing	Suntukan (laro)
Boxing	Category:Boksing
Brain	Utak
Brassiere	Bra
Bratislava	Bratislava
Brazil	Brazil
Brazil	Category:Brazil
Brazzaville	Brazzaville
Brescia	Lungsod ng Brescia
Bridge	Tulay
Bridgetown	Bridgetown
Brindisi	Lungsod ng Brindisi
Brown	Kayumanggi
Brunei	Brunei
Bucharest	Bucharest
Buckminster Fuller	Buckminster Fuller
Budapest	Budapest
Buddhism	Budismo
Buenos Aires	Lungsod ng Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Burma	Myanmar
Business	Negosyo
Butterfly	Paru-paro
C	C
Cairo	Cairo
Calendar	Kalendaryo
California	California
Caligula	Caligula
Calvin Coolidge	Calvin Coolidge
Cambodia	Cambodia
Cameroon	Cameroon
Campania	Campania
Canada	Canada
Cape Town	Cape Town
Cape Verde	Cape Verde
Capital	Kabisera
Capital (economics)	Kapital
Capital punishment	Parusang kamatayan
Carambola	Balimbing
Carbon	Karbon
Cardinal Richelieu	Kardinal Richelieu
Carolus Linnaeus	Carl Linnaeus
Cashew	Kasoy
Castries	Castries
Cat	Pusa
Catalonia	Cataluña
Catholicism	Katoliko
Cattle	Baka
Cave	Yungib
Central Africa	Gitnang Aprika
Central African Republic	Republikang Gitnang-Aprikano
Century	Daang Taon
Ceres (dwarf planet)	Seres (astronomiya)
Chad	Chad
Chair	Upuan
Charles Darwin	Charles Darwin
Charles Lindbergh	Charles Lindbergh
Che Guevara	Che Guevara
Cheese	Keso
Cheetah	Acinonyx jubatus
Chemical bond	Kawing kimikal
Chemical compound	Kompuwesto
Chemical element	Elementong kimikal
Chemical formula	Pormulang kimikal
Chemical reaction	Reaksyong kimikal
Chemistry	Kimika
Chess	Ahedres
Chester A. Arthur	Chester A. Arthur
Chicken	Manok
Chickpea	Garbansos
Chihuahua	Chihuahua
Child	Anak
Chile	Chile
China	Category:Tsina
Chocolate	Tsokolate
Cholera	Kolera
Chongqing	Chongqing
Christianity	Kristiyanismo
Christmas	Pasko
Christmas	Category:Pasko
Christopher Columbus	Christopher Columbus
Cicero	Cicero
Circle	Bilog
Circulatory system	Sistemang sirkulatoryo
Circumcision	Tuli
Citric acid cycle	Pag-ikot ng asido sitriko
Claudius	Claudius
Clitoris	Tinggil
Coffee	Kape
Cold War	Digmaang Malamig
Colloid	Colloid
Cologne	Cologne
Colombia	Colombia
Colombo	Colombo
Color	Kulay
Columbidae	Kalapati
Combustion	Kombustyon
Comedy	Komedya
Commonwealth of Nations	Komonwelt ng mga Nasyon
Communication	Category:Komunikasyon
Communication	Komunikasyon
Communism	Komunismo
Communism	Category:Komunismo
Comoros	Comoros
Compact Disc	CD
Computer	Kompyuter
Computer network	Network ng kompyuter
Computer science	Agham pangkompyuter
Computer science	Category:Agham pangkompyuter
Computer software	Software
Computing	Category:Agham pangkompyuter
Conakry	Conakry
Condom	Panlalaking kondom
Confederate States of America	Konpederadong mga Estado ng Amerika
Confucianism	Confucianismo
Confucius	Confucius
Constitution (political)	Saligang-batas
Consumption (economics)	Pagkonsumo
Cooking	Pagluluto
Coordinated Universal Time	UTC
Copper	Tanso
Copyright	Karapatang-ari
Costa Rica	Costa Rica
Crab	Alimango
Cremona	Lungsod ng Cremona
Cricket	Kriket
Croatia	Croatia
Crocodile	Buwaya
Crystallography	Crystallography
Cuba	Cuba
Cuba	Category:Cuba
Cultural Revolution	Rebolusyon sa Kultura
Culture	Kultura
Culture	Category:Kultura
Curitiba	Curitiba
Cyprus	Cyprus
Cyrillic alphabet	Alpabetong Siriliko
Cyrus the Great	Cyrus ang Dakila
Czech Republic	Czechia
Czech Republic	Category:Czechia
D	D
DNA	DNA
DVD	DVD
Dakar	Dakar
Damascus	Damascus
Dance	Sayaw
Dante Alighieri	Dante Alighieri
Daphne	Daphne
Data	Datos
Database	Database
David	David
David Hilbert	David Hilbert
Day	Araw (panahon)
Death	Kamatayan
December	Disyembre
December 31	Disyembre 31
December 8	Disyembre 8
Decius (emperor)	Decius (emperor)
Definition	Katuturan
Deimos (moon)	Deimos (buwan)
Delaware	Delaware
Democracy	Demokrasya
Democratic Republic of the Congo	Demokratikong Republika ng Congo
Democritus	Democritus
Demography	Demograpiya
Demosthenes	Demosthenes (mananalumpati)
Denmark	Denmark
Desert	Ilang
Dhaka	Dhaka
Diacritic	Tuldik
Diamond	Diyamante
Dictionary	Talahuluganan
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Digestion	Dihestiyon
Diocletian	Diocletian
Disambiguation	Category:Paglilinaw
Disease	Karamdaman
Division (mathematics)	Dibisyon
Djibouti (city)	Lungsod ng Djibouti
Dodoma	Dodoma
Dog	Aso
Dollar	Dolyar
Dolphin	Lumba-lumba
Dominica	Dominica
Dominican Republic	Dominican Republic
Domitian	Domitian
Douglas MacArthur	Douglas MacArthur
Dragon	Dragon
Drama	Drama
Dubai	Dubai
Dunkirk	Dunkerque
Dushanbe	Dushanbe
Dwight D. Eisenhower	Dwight D. Eisenhower
E	E
E-mail	Elektronikong liham
Ear	Tainga
Earth	Daigdig
Earth science	Agham pandaigdig
Earthquake	Lindol
East Africa	Silangang Aprika
East Timor	Silangang Timor
East Timor	Category:Silangang Timor
Easter	Pasko ng Pagkabuhay
Economics	Ekonomika
Economy	Ekonomiya
Ecuador	Ecuador
Ecuador	Category:Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edmund Hillary	Edmund Hillary
Education	Edukasyon
Edward Jenner	Edward Jenner
Eggplant	Talong
Egypt	Ehipto
El Salvador	El Salvador
El Salvador	Category:El Salvador
Electron	Elektron
Electronics	Elektronika
Element	Elemento
Elephant	Elepante
Elvis Presley	Elvis Presley
Embryology	Embriyolohiya
Emperor	Emperador
Encyclopedia	Ensiklopedya
Endocrine system	Sistemang endokrin
Engineering	Inhinyeriya
England	Inglatera
English language	Wikang Ingles
English people	Ingles (grupong etniko)
Enrico Fermi	Enrico Fermi
Entomology	Entomolohiya
Epic poetry	Epiko
Epistemology	Epistemolohiya
Equator	Ekwador
Equatorial Guinea	Equatorial Guinea
Eris (dwarf planet)	136199 Eris
Ernest Rutherford	Ernest Rutherford
Esfahan	Isfahan (lungsod)
Espresso	Espresso
Essen	Essen, Alemanya
Ethics	Etika
Ethics	Category:Etika
Ethiopia	Ethiopia
Ethology	Etolohiya
Eukaryote	Eukaryote
Euro	Euro
Europe	Europa
Europe	Category:Europa
European Union	Unyong Europeo
Executive (government)	Kagawaran ng Tagapagpaganap
Exodus	Aklat ng Exodo
Exponentiation	Eksponente
Eye	Mata
F	F
Face	Mukha
Fact	Template:Fact
Fairy tale	Kuwentong bibit
Family (biology)	Pamilya (biyolohiya)
Fascism	Pasismo
February	Pebrero
February 12	Pebrero 12
February 14	Pebrero 14
February 2	Pebrero 2
February 22	Pebrero 22
February 29	Pebrero 29
Federated States of Micronesia	Micronesia (estado)
Ferdinand Magellan	Fernando de Magallanes
Fern	Pako
Fidel Castro	Fidel Castro
Fiji	Fiji
File Transfer Protocol	FTP
Finger	Daliri sa kamay
Finland	Finland
Finland	Category:Finland
Fire	Apoy
Flatulence	Utot
Flood	Baha
Floppy disk	Floppy disk
Florence	Lungsod ng Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Folklore	Kuwentong-bayan
Food	Pagkain
Force	Lakas
France	Pransya
Francis Drake	Francis Drake
Francisco Goya	Francisco de Goya
Frankfurt	Frankfurt
