English	Latvian
0 (number)	Nulle
1	1
10	10
101	101
11	11
12	12
13	13
14	14
15	15
16	16
17	17
1750s	Kategorija:1750. gadi
1760s	Kategorija:1760. gadi
1770s	Kategorija:1770. gadi
1780s	Kategorija:1780. gadi
1790s	Kategorija:1790. gadi
18	18
1820s	Kategorija:1820. gadi
1830s	Kategorija:1830. gadi
1840s	Kategorija:1840. gadi
1870s	Kategorija:1870. gadi
1880s	Kategorija:1880. gadi
1890s	Kategorija:1890. gadi
19	19
1900s	Kategorija:1900. gadi
1920s	Kategorija:1920. gadi
1930s	Kategorija:1930. gadi
1940s	Kategorija:1940. gadi
1950s	Kategorija:1950. gadi
1960s	1960. gadi
1960s	Kategorija:1960. gadi
1970s	Kategorija:1970. gadi
1980s	1980. gadi
1980s	Kategorija:1980. gadi
1990s	1990. gadi
1990s	Kategorija:1990. gadi
2	2
2 (number)	2 (skaitlis)
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
5	5
55	55
6	6
7	7
8	8
9	9
A	A
AIDS	AIDS
AZ (football club)	AZ Alkmaar
Aachen	Āhene
Aalborg	Olborga
Aarhus	Orhūsa
Abidjan	Abidžāna
Abkhazia	Abhāzija
Abraham Lincoln	Abrahams Linkolns
Absolute magnitude	Absolūtais spožums
Absolute value	Modulis (matemātika)
Absolute zero	Absolūtā nulle
Absolutism (European history)	Absolūtisms
Abstract art	Abstrakcionisms
Abuja	Abudža
Academy Award	Amerikas Kinoakadēmijas balva
Acceleration	Paātrinājums
Accra	Akra
Acetaldehyde	Acetaldehīds
Acetic acid	Etiķskābe
Acetone	Acetons
Acetylene	Acetilēns
Achilles	Ahillejs
Acid	Skābe
Acre (state)	Akri
Actinium	Aktīnijs
Adam Smith	Ādams Smits
Addis Ababa	Adisabeba
Adjective	Īpašības vārds
Admiral	Admirālis
Adolf Hitler	Ādolfs Hitlers
Adriatic Sea	Adrijas jūra
Advertising	Reklāma
Aegean Sea	Egejas jūra
Aerodynamics	Aerodinamika
Aeschylus	Aishils
Aesop	Ēzops
Afghanistan	Afganistāna
Afghanistan	Kategorija:Afganistāna
Africa	Āfrika
Africa	Kategorija:Āfrika
Afrikaans	Afrikandu valoda
Agate	Ahāts
Aggression	Agresija
Agnatha	Bezžokļaiņi
Agnosticism	Agnosticisms
Agriculture	Lauksaimniecība
Agriculture	Kategorija:Lauksaimniecība
Aikido	Aikido
Aircraft	Kategorija:Lidmašīnas
Akhenaten	Ehnatons
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alabama	Kategorija:Alabama
Alan Turing	Alans Tjūrings
Alanine	Alanīns
Alaska	Aļaska
Albania	Albānija
Albania	Kategorija:Albānija
Albatross	Albatrosi
Albert Abraham Michelson	Alberts Maikelsons
Albert Camus	Albērs Kamī
Albert Einstein	Alberts Einšteins
Albinism	Albīnisms
Albite	Albīts
Alchemy	Alķīmija
Alcohol	Spirti
Alcoholic beverage	Alkoholiskie dzērieni
Aldehyde	Aldehīdi
Aldous Huxley	Oldess Hakslijs
Aleksandr Solzhenitsyn	Aleksandrs Solžeņicins
Aleppo	Haleba
Alexander Fleming	Aleksandrs Flemings
Alexander Graham Bell	Aleksandrs Greiems Bells
Alexander the Great	Aleksandrs Lielais
Alexandre Dumas	Aleksandrs Dimā (tēvs)
Alexandria	Aleksandrija
Alfred Hitchcock	Alfrēds Hičkoks
Alfred Nobel	Alfrēds Nobels
Alfred North Whitehead	Alfrēds Vaitheds
Alfred the Great	Alfreds Lielais
Algae	Aļģes
Algebra	Algebra
Algebra	Kategorija:Algebra
Algeria	Alžīrija
Algeria	Kategorija:Alžīrija
Algiers	Alžīra
Algorithm	Algoritms
Alkali metal	Sārmu metāli
Alkaloid	Alkaloīdi
Alkane	Alkāni
Alkene	Alkēni
Alkyne	Alkīni
Allele	Alēle
Allosaurus	Allozaurs
Allotropy	Alotropija
Almanac	Almanahs
Almaty	Almati
Alpha Centauri	Centaura Alfa
Alpha particle	Alfa daļiņa
