English	Latvian
Alphabet	Alfabēts
Alps	Alpi
Alsace	Elzasa
Alternating current	Maiņstrāva
Aluminium	Alumīnijs
Aluminium oxide	Alumīnija oksīds
Amanita phalloides	Zaļā mušmire
Amazon River	Amazone (upe)
Ambassador	Vēstnieks
Amber	Dzintars
American Civil War	Amerikas pilsoņu karš
American Samoa	Amerikāņu Samoa
American Standard Code for Information Interchange	ASCII
American football	Amerikāņu futbols
Americium	Amerīcijs
Amerigo Vespucci	Amerigo Vespuči
Amethyst	Ametists
Amharic	Amharu valoda
Amide	Amīdi
Amine	Amīni
Amino acid	Aminoskābes
Ammonia	Amonjaks
Amnesty	Amnestija
Ampere	Ampērs
Amphibian	Abinieki
Amphitheatre	Amfiteātris
Amplitude	Amplitūda
Amsterdam	Amsterdama
Amun	Amons
Analytic geometry	Analītiskā ģeometrija
Anatomy	Kategorija:Anatomija
Anatomy	Anatomija
Anaxagoras	Anaksagors
Anaximander	Anaksimandrs
Anchor	Enkurs
Ancient history	Kategorija:Senie laiki
Andalusia	Andalūzija
Andaman Sea	Andamanu jūra
Anders Celsius	Anderss Celsijs
Andes	Andi
Andorra	Andora
Andorra	Kategorija:Andora
Andrew Jackson	Endrū Džeksons
Andrew Johnson	Endrū Džonsons
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (zvaigznājs)
Angle	Leņķis
Angola	Angola
Angola	Kategorija:Angola
Anguilla	Angiļa
Aniline	Anilīns
Animal	Dzīvnieki
Animal husbandry	Lopkopība
Animation	Multiplikācija
Anime	Anime
Anime	Kategorija:Anime
Animism	Animisms
Ankara	Ankara
Anode	Anods
Anseriformes	Kategorija:Zosveidīgie
Ant	Skudru dzimta
Antananarivo	Antananarivu
Antarctica	Antarktīda
Antarctica	Kategorija:Antarktīda
Anthropology	Antropoloģija
Anthropology	Kategorija:Antropoloģija
Antigua and Barbuda	Antigva un Barbuda
Antigua and Barbuda	Kategorija:Antigva un Barbuda
Antimony	Antimons
Antisemitism	Kategorija:Antisemītisms
Antlia	Sūknis (zvaigznājs)
Anton Bruckner	Antons Brukners
Anton Chekhov	Antons Čehovs
Antonio Stradivari	Antonio Stradivāri
Antonym	Antonīms
Antwerp	Antverpene
Anubis	Anubis
Aphrodite	Afrodīte
Apiaceae	Čemurzieži
Apollo	Apollons
Apollo (disambiguation)	Apollo
Apollo program	Apollo programma
Apple	Ābols
Apricot	Aprikozes
April	Aprīlis
April 14	14. aprīlis
Apse	Apsīda (arhitektūrā)
Apulia	Apūlija
Apus	Paradīzes Putns
Aquamarine	Akvamarīns
Aquarius (constellation)	Ūdensvīrs
Aqueduct	Akvedukts
Aquila (constellation)	Ērglis (zvaigznājs)
Aquitaine	Akvitānija
Ara (constellation)	Altāris (zvaigznājs)
Arabian Peninsula	Arābijas pussala
Arabian Sea	Arābijas jūra
Arabic language	Arābu valoda
Arafura Sea	Arafuru jūra
Aragon	Aragona
Aral Sea	Arāla jūra
Arch	Arka
Archaeology	Arheoloģija
Archaeology	Kategorija:Arheoloģija
Archaeopteryx	Arheopterikss
Archimedes	Arhimēds
Archipelago	Arhipelāgs
Architecture	Arhitektūra
Architecture	Kategorija:Arhitektūra
Arctic	Arktika
Arctic Ocean	Ziemeļu Ledus okeāns
Area	Platība
Ares	Arejs
Argentina	Argentīna
Argentina	Kategorija:Argentīna
Argon	Argons
Arianism	Ariānisms
Aries (constellation)	Auns (zvaigznājs)
Aristocracy	Aristokrātija
Aristophanes	Aristofāns
Aristotle	Aristotelis
Arizona	Arizona
Arizona	Kategorija:Arizona
Arkansas	Ārkanzasa
Armenia	Armēnija
Armenia	Kategorija:Armēnija
Armenian language	Armēņu valoda
Aromatic hydrocarbon	Aromātiskie ogļūdeņraži
Arsenic	Arsēns
Art	Māksla
Art Nouveau	Jūgendstils
Art history	Kategorija:Mākslas vēsture
Artemis	Artemīda
Artemisia (plant)	Vībotnes
Artemisia absinthium	Vērmele
Artery	Artērijas
Arthropod	Posmkāji
Arthur Conan Doyle	Arturs Konans Doils
Arthur Rimbaud	Arturs Rembo
Arthur Schopenhauer	Artūrs Šopenhauers
Artificial intelligence	Mākslīgais intelekts
Artificial intelligence	Kategorija:Mākslīgais intelekts
Artillery	Artilērija
Artillery	Kategorija:Artilērija
Arts	Kategorija:Māksla
Aruba	Aruba
Asgard	Asgarda
Asia	Āzija
Asia	Kategorija:Āzija
Asmara	Asmera
Assassination	Atentāts
Assembly language	Asamblervaloda
Association of Southeast Asian Nations	ASEAN
Assyria	Asīrija
Astana	Astana
Astatine	Astats
Asteroid	Asteroīds
Asthenosphere	Astenosfēra
Asthma	Astma
Astrakhan	Astrahaņa
Astrology	Astroloģija
Astrology	Kategorija:Astroloģija
Astronaut	Kosmonauts
Astronomical unit	Astronomiskā vienība
Astronomy	Astronomija
Astronomy	Kategorija:Astronomija
Astrophysics	Astrofizika
Astrophysics	Kategorija:Astrofizika
Asymptote	Asimptote
Athena	Atēna
Athens	Atēnas
Athletics	Kategorija:Vieglatlētika
Athletics (track and field)	Vieglatlētika
Atlanta	Atlanta
Atlantic Ocean	Atlantijas okeāns
Atlantic Ocean	Kategorija:Atlantijas okeāns
Atmosphere (unit)	Atmosfēra (mērvienība)
Atoll	Koraļļu salas
Atom	Atoms
Atomic mass	Atommasa
Atomic physics	Kategorija:Atomfizika
August	Augusts
Auguste Comte	Ogists Konts
Augustine of Hippo	Sv. Augustīns
Augustus	Oktaviāns
Auriga (constellation)	Vedējs (zvaigznājs)
Australasia	Austrālāzija
Australia	Austrālija (valsts)
Australia	Kategorija:Austrālija
Austria	Austrija
Austria	Kategorija:Austrija
Austria-Hungary	Austroungārija
Autism	Autisms
Automated teller machine	Bankas automāts
Automobile	Automašīna
Auvergne (region)	Overņa
Avalanche	Lavīna
Aviation	Kategorija:Aviācija
Axiom	Aksioma
Azerbaijan	Azerbaidžāna
Azerbaijan	Kategorija:Azerbaidžāna
Azimuth	Azimuts
Aztec	Acteki
B	B
BASIC	BASIC programmēšanas valoda
Babylon	Babilona
Bacteria	Baktērija
Bacteriophage	Bakteriofāgi
Badminton	Badmintons
Baffin Bay	Bafina jūra
Baffin Island	Bafina Zeme
Baghdad	Bagdāde
Bahamas	Kategorija:Bahamas
Bahrain	Bahreina
Baku	Baku
Baldr	Baldrs
Balkans	Balkānu pussala
Ballet	Balets
Ballistic missile	Ballistiskā raķete
Baltic Sea	Baltijas jūra
Bamako	Bamako
Bangalore	Bangalora
Bangkok	Bangkoka
Bangladesh	Bangladeša
Bangladesh	Kategorija:Bangladeša
Banjul	Bandžula
Bank	Banka
Baptist	Baptisti
Barbados	Barbadosa
Barbados	Kategorija:Barbadosa
Barbarian	Barbari
Barcelona	Barselona
Barents Sea	Barenca jūra
Bari	Bari
Barium	Bārijs
Barley	Mieži
Barn Swallow	Bezdelīga
Baron	Barons
Baroque	Baroks
Baryon	Barioni
Base (chemistry)	Sārms
Baseball	Beisbols
Basel	Bāzele
Basidiomycota	Bazīdijsēnes
Basilica	Bazilika
Basilicata	Bazilikata
Basketball	Basketbols
Basketball	Kategorija:Basketbols
Bass guitar	Basģitāra
Bat	Sikspārņi
Batman	Betmens
Bats	Kategorija:Sikspārņi
Battle of Verdun	Verdenas kauja
Battle of Waterloo	Vaterlo kauja
Battle of the Somme	Kauja pie Sommas
Bavaria	Bavārija
Bavaria	Kategorija:Bavārija
Bay of Biscay	Biskajas līcis
Beagle	Bīgls
Bear	Lāču dzimta
Beaufort Sea	Boforta jūra
Bee	Bites
Beer	Alus
Beer	Kategorija:Alus
Beetle	Vaboles
Behaviorism	Biheiviorisms
Beijing	Pekina
Belarus	Baltkrievija
Belarus	Kategorija:Baltkrievija
Belfast	Belfāsta
Belgium	Beļģija
Belgium	Kategorija:Beļģija
Belgrade	Belgrada
Belize	Beliza
Belize	Kategorija:Beliza
Bellerophon	Bellerofons
Benelux	Benilukss
Benin	Benina
Benin	Kategorija:Benina
Benito Mussolini	Benito Musolīni
Benjamin Harrison	Bendžamins Harisons
Bergen	Bergena
Bering Sea	Beringa jūra
Berkelium	Berklijs
Berkshire	Bērkšīra
Berlin	Berlīne
Bermuda	Bermudu salas
Berne	Berne
Bertolt Brecht	Bertolts Brehts
Bertrand Russell	Bertrans Rasels
Beryl	Berils
Beryllium	Berilijs
Beverly Hills	Beverlihilsa
Bey	Bejs
Bhutan	Butāna
Bhutan	Kategorija:Butāna
Bible	Bībele
Bicycle	Velosipēds
Big Bang	Lielais sprādziens
Bill Clinton	Bils Klintons
Bill Gates	Bils Geitss
Binary star	Dubultzvaigzne
Biochemistry	Bioķīmija
Biochemistry	Kategorija:Bioķīmija
Biography	Biogrāfija
Biology	Bioloģija
Biology	Kategorija:Bioloģija
Biome	Bioma
Bird	Putni
Bismuth	Bismuts
Bit	Bits
Bivalvia	Gliemenes
Black Death	Melnā nāve
Black Sea	Melnā jūra
Black Stork	Melnais stārķis
Black hole	Melnais caurums
Blackbird	Melnais meža strazds
Blaise Pascal	Blēzs Paskāls
Blog	Tīmekļa žurnāls
Blood	Asinis
Blood vessel	Asinsvadi
Blue Whale	Zilais valis
Blues	Blūzs
Bob Dylan	Bobs Dilans
Bobby Fischer	Bobijs Fišers
Bobsleigh	Bobslejs
Bodhisattva	Bodisatva
Bohemia	Bohēmija
Boiling point	Viršanas temperatūra
Bolivia	Bolīvija
Bolivia	Kategorija:Bolīvija
Bologna	Boloņa
Bolshevik	Boļševiki
Bolzano	Bolcāno
Bond (finance)	Obligācija
Bone	Kauls
Bonn	Bonna
Book	Grāmata
Book of Mormon	Mormona grāmata
Bordeaux	Bordo
Boris Pasternak	Boriss Pasternaks
Boron	Bors
Bosnia and Herzegovina	Bosnija un Hercegovina
Bosnia and Herzegovina	Kategorija:Bosnija un Hercegovina
Boson	Bozoni
Bosporus	Bosfors
Bot	Veidne:Bot
Botany	Botānika
Botany	Kategorija:Botānika
Botswana	Botsvāna
Botswana	Kategorija:Botsvāna
Bouvet Island	Buvē Sala
Boxing	Bokss
Braga	Braga
Braille	Braila raksts
Brain	Smadzenes
Brandenburg	Brandenburga (zeme)
Brassicaceae	Krustziežu dzimta
Bratislava	Bratislava
Brazil	Brazīlija
Brazil	Kategorija:Brazīlija
Bread	Maize
Bremen	Brēmene
Brest	Bresta (Baltkrievija)
Bridges	Kategorija:Tilti
Brighton	Braitona
Brisbane	Brisbena (pilsēta)
Bristol	Bristole
British Empire	Britu impērija
British Virgin Islands	Britu Virdžīnu salas
British people	Kategorija:Apvienotās Karalistes cilvēki
Brno	Brno
Bromine	Broms
Bronze	Bronza
Bronze Age	Bronzas laikmets
Brooklyn	Bruklina
Brownian motion	Brauna kustība
Bruges	Brige
Brunei	Bruneja
Brunei	Kategorija:Bruneja
Brussels	Brisele
Bucharest	Bukareste
Buckingham Palace	Bekingemas pils
Budapest	Budapešta
Buddhism	Budisms
Buddhism	Kategorija:Budisms
Buenos Aires	Buenosairesa
Buffalo	Bufalo
Bulgaria	Bulgārija
Bulgaria	Kategorija:Bulgārija
Burkina Faso	Burkinafaso
Burkina Faso	Kategorija:Burkinafaso
Burma	Mjanma
Burma	Kategorija:Mjanma
Burundi	Kategorija:Burundi
Bus	Autobuss
Business	Uzņēmējdarbība
Butane	Butāns
Butter	Sviests
Bydgoszcz	Bidgošča
Byte	Baits
Byzantine Empire	Kategorija:Bizantija
C	C
C (programming language)	C (programmēšanas valoda)
Cadmium	Kadmijs
Caelum	Greblis
Caesium	Cēzijs
Caffeine	Kofeīns
Cairo	Kaira
Calabria	Kalabrija
Calcite	Kalcīts
Calcium	Kalcijs
Calcium carbonate	Kalcija karbonāts
Calcium oxide	Kalcija oksīds
Calculator	Kalkulators
Caliber	Kalibrs
California	Kalifornija
California	Kategorija:Kalifornija
Californium	Kalifornijs
Caligula	Kaligula
Caliph	Kalifs
Caliphate	Kalifāts
Callisto (moon)	Kallisto (pavadonis)
Calvin Coolidge	Kelvins Kūlidžs
Cambodia	Kambodža
Cambodia	Kategorija:Kambodža
Cameroon	Kamerūna
Cameroon	Kategorija:Kamerūna
Campania	Kampānija
Canada	Kanāda
Canada	Kategorija:Kanāda
Canary Islands	Kanāriju salas
Canberra	Kanbera
Candela	Kandela
Candle	Svece
Canidae	Suņu dzimta
Canis Major	Lielais Suns
Canis Minor	Mazais Suns
Cannabis (drug)	Marihuāna
Cannibalism	Kanibālisms
Canoe	Kanoe
Capacitance	Elektriskā kapacitāte
Capacitor	Kondensators
Cape Town	Keiptauna
Cape Verde	Kaboverde
Cape Verde	Kategorija:Kaboverde
Capital	Galvaspilsēta
Capital (economics)	Kapitāls (ekonomikā)
Capital punishment	Nāvessods
Cappadocia	Kapadokija
Capricornus	Mežāzis
Caracas	Karakasa
Caravaggio	Karavadžo
Carbohydrate	Ogļhidrāti
Carbon	Ogleklis
Carbon dioxide	Oglekļa dioksīds
Carbon monoxide	Oglekļa monoksīds
Carbonic acid	Ogļskābe
Carboxylic acid	Karbonskābes
Cardiff	Kārdifa
Cardinal Richelieu	Kardināls Rišeljē
Caribbean	Kategorija:Karību jūra
Caribbean Sea	Karību jūra
Carina (constellation)	Kuģa Ķīlis
Carl Jung	Karls Gustavs Jungs
Carpathian Mountains	Karpati
Carthage	Kartāga
Cartography	Kartogrāfija
Cartography	Kategorija:Kartogrāfija
Casablanca	Kasablanka (pilsēta)
Caspian Sea	Kaspijas jūra
Cassiopeia (constellation)	Kasiopeja
Castle	Pils
Casus belli	Kara akts
Cat	Kaķis
Catalysis	Katalizators
Cathode	Katods
Cattle Egret	Lopu gārnis
Cavalry	Kavalērija
Cave	Ala
Cayman Islands	Kaimanu Salas
Cedar	Ciedri
Celestial mechanics	Kategorija:Debess mehānika
Cell (biology)	Šūna
Cell membrane	Šūnas membrāna
Cell nucleus	Šūnas kodols
Cello	Čells
Cement	Cements
Centaur	Kentaurs
Centaurus	Centaurs (zvaigznājs)
Centimetre	Centimetrs
Central African Republic	Centrālāfrikas Republika
Central African Republic	Kategorija:Centrālāfrikas Republika
Central Park	Centrālparks
Central Powers	Centrālās lielvalstis
Central processing unit	Centrālais procesors
Centriole	Centriola
Century	Gadsimts
Cephalopod	Galvkāji
Cepheus (constellation)	Cefejs (zvaigznājs)
Cerebellum	Smadzenītes
Cerium	Cērijs
Cestoda	Lenteņi
Cetus	Valis (zvaigznājs)
Chad	Čada
Chad	Kategorija:Čada
Chalcedony	Halcedons
Chamaeleon	Hameleons (zvaigznājs)
Charlemagne	Kārlis Lielais
Charleroi	Šarleruā
Charles Baudelaire	Šarls Bodlērs
Charles Darwin	Čārlzs Darvins
Charles Dickens	Čārlzs Dikenss
Charles Peirce	Čārlzs Pīrss
Charles Thomson Rees Wilson	Čārlzs Vilsons
Charles de Gaulle	Šarls de Golls
Charlie Parker	Čārlijs Pārkers
Che Guevara	Če Gevara
Cheese	Siers
Cheetah	Gepards
Chelyabinsk	Čeļabinska
Chemical bond	Ķīmiskā saite
Chemical element	Ķīmiskais elements
Chemical formula	Ķīmiskā formula
Chemical reaction	Ķīmiskā reakcija
Chemistry	Ķīmija
Chemistry	Kategorija:Ķīmija
Chennai	Čenaja
Chert	Krams
Chess	Šahs
Chess	Kategorija:Šahs
Chester A. Arthur	Česters Artūrs
Chicago	Čikāga
Childbirth	Dzemdības
Chile	Čīle
Chile	Kategorija:Čīle
Chlorine	Hlors
Chloroform	Hloroforms
Chocolate	Šokolāde
Chondrichthyes	Skrimšļzivis
Chongqing	Čuncjina
Chord (music)	Akords
Chordate	Hordaiņi
Christianity	Kristietība
Christianity	Kategorija:Kristietība
Christmas	Ziemassvētki
Christopher Columbus	Kristofors Kolumbs
Christopher Marlowe	Kristofers Mārlovs
Chromatin	Hromatīns
Chromium	Hroms
Chromosome	Hromosoma
Chronology	Kategorija:Hronoloģija
Chukchi Sea	Čukču jūra
Church of England	Anglikāņu baznīca
Cicero	Cicerons
Cinnabar	Cinobrs
Circinus	Cirkulis (zvaigznājs)
Circle	Riņķis
Circulatory system	Asinsrites orgānu sistēma
Citric acid	Citronskābe
Citric acid cycle	Trikarbonskābju cikls
Civilization	Civilizācija
Civilization (computer game)	Civilization I
Clarinet	Klarnete
Classical music	Klasiskā mūzika
Classical music	Kategorija:Klasiskā mūzika
Classicism	Klasicisms
Claude Monet	Klods Monē
Clay	Māls
Client-server	Klients-serveris
Climate	Klimats
Climate	Kategorija:Klimats
Climatology	Kategorija:Klimatoloģija
Clock	Pulkstenis
Clothing	Kategorija:Apģērbs
Cloud	Mākoņi
Cnidaria	Dzēlējzarndobumaiņi
Coal	Akmeņogles
Coast	Piekraste
Cobalt	Kobalts
Coccinellidae	Mārīšu dzimta
Cocos (Keeling) Islands	Kokosu (Kīlinga) Salas
Cognitive psychology	Kognitīvā psiholoģija
Coin	Monēta
Cold War	Aukstais karš
Cold War	Kategorija:Aukstais karš
Collage	Kolāža
Cologne	Ķelne
Colombia	Kolumbija
Colombia	Kategorija:Kolumbija
Colony	Kolonija
Color	Krāsa
Colorado	Kolorādo
Colosseum	Kolizejs
Columba (constellation)	Balodis (zvaigznājs)
Columbus	Columbus
Coma	Koma
Coma Berenices	Berenikes Mati
Comedy	Komēdija
Comet	Komēta
Comma (punctuation)	Komats
Commedia dell'arte	Delartiskā komēdija
Commerce	Kategorija:Tirdzniecība
Commonwealth of Independent States	Neatkarīgo Valstu Savienība
Commonwealth of Nations	Nāciju Sadraudzība
Communication	Kategorija:Sakari
Communication	Saskarsme
Communism	Komunisms
Communism	Kategorija:Komunisms
Comoros	Komoras
Comoros	Kategorija:Komoru salas
Composer	Komponists
Computational linguistics	Datorlingvistika
Computer	Dators
Computer architecture	Datora arhitektūra
Computer display	Monitors
Computer file	Fails
Computer graphics	Kategorija:Datorgrafika
Computer hardware	Kategorija:Datoru aparatūra
Computer network	Datortīkli
Computer program	Datorprogramma
Computer programming	Kategorija:Programmēšana
Computer science	Datorzinātne
Computer science	Kategorija:Datorzinātne
Computer software	Programmatūra
Computing	Category:Datorzinātne
Conakry	Konakri
Conflict	Konflikts
Confucianism	Konfūcisms
Confucius	Konfūcijs
Congo	Kongo
Connecticut	Konektikuta
Conservatism	Konservatīvisms
Consonant	Līdzskanis
Constellation	Zvaigznājs
Constitution (political)	Konstitūcija
Continent	Kontinents
Contract bridge	Bridžs
Convection	Konvekcija
Coordinated Universal Time	Universālais koordinētais laiks
Copenhagen	Kopenhāgena
Copper	Varš
Coral Sea	Koraļļu jūra
Cork (city)	Korka
Cornwall	Kornvola
Corona Borealis	Ziemeļu Vainags
Corporation	Uzņēmums
Corrosion	Korozija
Corundum	Korunds
Corvus (constellation)	Krauklis (zvaigznājs)
Cosmic microwave background radiation	Reliktstarojums
Cosmology	Kategorija:Kosmoloģija
Costa Rica	Kostarika
Costa Rica	Kategorija:Kostarika
Cougar	Puma
Coventry	Koventrija
Coyote	Koijots
Crater (constellation)	Kauss (zvaigznājs)
Cretaceous	Krīts (periods)
Crete	Krēta
Crimea	Krimas Autonomā Republika
Crimean War	Krimas karš
Criminal law	Kategorija:Krimināltiesības
Criminal law	Krimināltiesības
Criminology	Kategorija:Kriminoloģija
Croatia	Horvātija
Croatia	Kategorija:Horvātija
Crocodilia	Krokodili
Cronus	Krons
Crossbow	Stops (ierocis)
Crust (geology)	Zemes garoza
Crustacean	Vēžveidīgie
Crux	Dienvidu Krusts
Crystal	Kristāls
Crystallography	Kristalogrāfija
Crystallography	Kategorija:Kristalogrāfija
Ctenophore	Ktenofori
Cuba	Kuba
Cuba	Kategorija:Kuba
Cucurbitaceae	Ķirbju dzimta
Culture	Kultūra
Culture	Kategorija:Kultūra
Cumbria	Kambrija
Cupressaceae	Ciprešu dzimta
Curitiba	Kuritiba
Curium	Kirijs
Currency	Valūta
Cyanide	Cianīdi
Cygnus (constellation)	Gulbis (zvaigznājs)
Cyprus	Kipra
Cyprus	Kategorija:Kipra
Cyrillic alphabet	Kirilica
Cystic fibrosis	Mukoviscidoze
Cytoplasm	Citoplazma
Czech Republic	Čehija
Czech Republic	Kategorija:Čehija
Czechoslovakia	Čehoslovākija
Czechoslovakia	Kategorija:Čehoslovākija
D	D
D. H. Lawrence	D. H. Lorenss
DNA	Dezoksiribonukleīnskābe
DOS	DOS
Dada	Dadaisms
Daguerreotype	Dagerotips
Dakar	Dakara
Dallas	Dalasa
Damascus	Damaska
Dance	Kategorija:Deja
Dante Alighieri	Dante Aligjēri
Danube	Donava
Data mining	Datizrace
Data structure	Datu struktūra
Database	Datu bāze
Daugavpils	Daugavpils
David Hilbert	Dāvids Hilberts
David Hume	Deivids Hjūms
Day	Diena
Days	Kategorija:Dienas
Dead Sea	Nāves jūra
Death	Nāve
Decade	Desmitgade
December	Decembris
Decimal	Decimālā skaitīšanas sistēma
Declination	Deklinācija (astronomijā)
Deductive reasoning	Deduktīvs slēdziens
Deer	Briežu dzimta
Delaware	Delavēra
Delhi	Deli
Delphinus	Delfīns (zvaigznājs)
Delta	Delta
Demeter	Dēmetra
Democracy	Demokrātija
Democratic Republic of the Congo	Kongo Demokrātiskā Republika
Democratic Republic of the Congo	Kategorija:Kongo Demokrātiskā Republika
Demography	Kategorija:Demogrāfija
Demon	Dēmons
Deng Xiaoping	Dens Sjaopins
Denmark	Dānija
Denmark	Kategorija:Dānija
Dennis Gabor	Deniss Gabors
Density	Blīvums
Desert	Tuksnesis
Deserts	Kategorija:Tuksneši
Desiderius Erasmus	Roterdamas Erasms
Design	Kategorija:Dizains
Detroit	Detroita
Deuterium	Deitērijs
Developmental psychology	Attīstības psiholoģija
Device driver	Draiveris
Devon	Devona
Dhaka	Daka
Diabetes mellitus	Cukura diabēts
Dialect	Dialekts
Diamond	Dimants
Dicotyledon	Divdīgļlapji
Dictatorship	Diktatūra
Dictionary	Vārdnīca
Diffraction	Difrakcija
Digestive system	Kategorija:Gremošanas orgānu sistēma
Dimension	Dimensija
Dingo	Dingo
Dinosaur	Dinozauri
Diocletian	Diokletiāns
Dionysus	Dionīss
Diplodocus	Diplodoks
Diplomacy	Diplomātija
Direct current	Līdzstrāva
Disambiguation	Kategorija:Nozīmju atdalīšana
Discourse	Diskurss
Disease	Slimība
Djibouti (city)	Džibuti
Dmitri Mendeleev	Dmitrijs Mendeļejevs
Dnipropetrovsk	Dnipropetrovska
Dodecahedron	Dodekaedrs
Dodo	Dodo
Dog	Suns
Dolmen	Dolmens
Domain (biology)	Impērija (bioloģiskā)
Domestication	Domestikācija
Dominica	Dominika
Dominica	Kategorija:Dominika
Dominican Order	Dominikāņi
Dominican Republic	Dominikāna
Dominican Republic	Kategorija:Dominikāna
Donetsk	Doņecka
Doppler effect	Doplera efekts
Dorado	Zelta Zivs
Dortmund	Dortmunde
Draco (constellation)	Pūķis (zvaigznājs)
Dragon	Pūķis
Drama	Dramaturģija
Dresden	Drēzdene
Drum	Bungas
Dualism	Duālisms
Dualism (philosophy of mind)	Duālisms (prāta filosofijā)
Dublin	Dublina
Duke	Hercogs
Durban	Durbana
Dushanbe	Dušanbe
Dutch people	Kategorija:Nīderlandes cilvēki
Dwight D. Eisenhower	Dvaits Eizenhauers
Dynamite	Dinamīts
Dyslexia	Disleksija
Dysprosium	Disprozijs
E	E
E-mail	E-pasts
E. T. A. Hoffmann	Ernests Teodors Amadejs Hofmanis
Earless seal	Roņu dzimta
Earth	Zeme
Earth	Kategorija:Zeme
Earthquake	Zemestrīce
East China Sea	Austrumķīnas jūra
East Germany	Vācijas Demokrātiskā Republika
East Sussex	Īstsaseksa
East Timor	Austrumtimora
East Timor	Kategorija:Austrumtimora
Easter	Lieldienas
Eastern Orthodox Church	Pareizticība
Echinoderm	Adatādaiņi
