English	Esperanto
Brick	Briko
Bridge	Ponto
Bridges	Kategorio:Pontoj
Bridgetown	Bridgetown
Brighton	Brajtono
Brindisi	Brindisi
Brisbane	Brisbano
Bristol	Bristol
British Columbia	Brita Kolumbio
British Empire	Brita imperio
British Isles	Britaj Insuloj
British Virgin Islands	Britaj Virgulininsuloj
British people	Kategorio:Britoj
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Brokolo
Bromine	Bromo
Bronze	Bronzo
Bronze Age	Bronzepoko
Brooklyn	Broklino
Brown	Bruna
Brown Bear	Bruna urso
Bruce Lee	Bruce Lee
Bruges	Bruĝo
Brunei	Brunejo
Brunei	Kategorio:Brunejo
Brussels	Bruselo
Bubonic plague	Pesto
Bucharest	Bukareŝto
Buckingham Palace	Palaco Buckingham
Buckminster Fuller	Buckminster Fuller
Budapest	Budapeŝto
Buddha	Budho
Buddhism	Budhismo
Buddhism	Kategorio:Budhismo
Buddy Holly	Buddy Holly
Buenos Aires	Bonaero
Buffalo	Bufalo
Building	Konstruaĵo
Bujumbura	Buĵumburo
Bulgaria	Bulgario
Bulgaria	Kategorio:Bulgario
Bumblebee	Burdo
Buoyancy	Flosemo
Burgomaster	Urbestro
Burkina Faso	Burkino
Burkina Faso	Kategorio:Burkino
Burma	Birmo
Burma	Kategorio:Birmo
Burqa	Burĥo
Bursa	Bursa
Burundi	Kategorio:Burundo
Bus	Aŭtobuso
Businesspeople	Kategorio:Entreprenistoj
Buster Keaton	Buster Keaton
Butane	Butano (kemio)
Butter	Butero
Butterfly	Papilio
Bydgoszcz	Bydgoszcz
Byte	Bitoko
C	C
C (programming language)	C (programlingvo)
C. S. Lewis	C. S. Lewis
CD (disambiguation)	Cd
COBOL	COBOL
Cabaret	Kabaredo
Cache	Kaŝmemoro
Cactus	Kakto
Cadmium	Kadmio
Cadmus	Kadmo
Caelum	Ĉizilo (konstelacio)
Caesium	Cezio
Caffeine	Kafeino
Cairo	Kairo
Cake	Kuko
Calabria	Kalabrio
Calais	Calais
Calcite	Kalcito
Calcium	Kalcio
Calcium oxide	Kalko
Calculator	Kalkulilo
Calculus	Infinitezima kalkulo
Caldera	Kaldero
Calendar	Kalendaro
Caliber	Kalibro
California	Kalifornio
California	Kategorio:Kalifornio
Californium	Kaliforniumo
Caligula	Kaligulo
Caliph	Kalifo
Caliphate	Araba imperio
Calligraphy	Kaligrafio
Calliope	Kaliopo
Callisto (moon)	Kalistoo
Calorie	Kalorio
Calvados	Calvados
Calvary	Golgoto
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinismo
Calypso (mythology)	Kalipso
Cambodia	Kamboĝo
Cambodia	Kategorio:Kamboĝo
Cambrian	Kambrio
Cambridge	Kembriĝo (Britio)
Cambridge	Kembriĝo (Masaĉuseco)
Cambridge (disambiguation)	Kembriĝo
Camel	Kamelo
Camera	Fotilo
Cameroon	Kameruno
Cameroon	Kategorio:Kameruno
Campania	Kampanio
Canada	Kanado
Canada	Kategorio:Kanado
Canal	Kanalo
Canary Islands	Kanarioj
Canary Islands	Kategorio:Kanarioj
Canberra	Kanbero
Cancer	Kancero (medicino)
Cancer (constellation)	Kankro (konstelacio)
Candela	Kandelo (mezurunuo)
Candle	Kandelo
Canidae	Kanisedoj
Canis Major	Granda Hundo
Canis Minor	Malgranda Hundo (konstelacio)
Cannabis	Kanabo
Cannabis (drug)	Mariĥuano
Cannes	Cannes
Cannibalism	Kanibalismo
Cannon	Kanono
Canoe	Kanuo
Canon (company)	Canon
Cantata	Kantato
Canterbury	Canterbury
Cantonese (linguistics)	Kantona lingvo
Capacitance	Kapacitanco
Capacitor	Kondensatoro
Cape Canaveral	Cape Canaveral
Cape Town	Kaburbo
Cape Verde	Kabo-Verdo
Cape Verde	Kategorio:Kabo-Verdo
Cape of Good Hope	Bonespera Kabo
Capital	Ĉefurbo
Capital (economics)	Kapitalo
Capital punishment	Mortpuno
Capitalism	Kapitalismo
Cappadocia	Kapadokio
Capricornus	Kaprikorno (konstelacio)
Capsicum	Kapsiko
Caracal	Karakalo (besto)
Caracas	Karakaso
Carambola	Karambolfrukto
Carat (mass)	Karato
Carat (purity)	Karato
Carbohydrate	Karbonhidrato
Carbon	Karbono
Carbon dioxide	Karbona dioksido
Carbon monoxide	Karbona monooksido
Carbonic acid	Karbonata acido
Carboniferous	Karbonio
Carburetor	Karburilo
Card game	Kartludo
Cardamom	Kardamomo
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinalo
Cardinal Richelieu	Armand Jean du Plessis de Richelieu
Caribbean	Karibio
Caribbean	Kategorio:Karibio
Caribbean Sea	Kariba Maro
Caricature	Karikaturo
Carina (constellation)	Kareno (konstelacio)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carnival	Karnavalo
Carnivora	Karnomanĝuloj
Carnivorous plant	Karnovoraj plantoj
Carolingian dynasty	Karolidoj
Carolus Linnaeus	Linnaeus
Carpathian Mountains	Karpatoj
Carrot	Karoto
Carson City	Carson City (Nevado)
Cartagena	Kartaĥeno (Hispanio)
Cartesian coordinate system	Kartezia koordinato
Cartesian product	Cilindro (algebro)
Carthage	Kartago
Cartography	Kartografio
Cartography	Kategorio:Kartografio
Cary Grant	Cary Grant
Casablanca	Kazablanko
Cashew	Akaĵuo
Casino	Kazino
Caspian Sea	Kaspio
Cassandra	Kasandra
Cassiopeia (constellation)	Kasiopeo (konstelacio)
Cast iron	Gisfero
Caste	Kasto
Castile (historical region)	Kastilio
Castle	Burgo
Castling	Aroko
Castries	Castries (Sankta Lucia)
Casus belli	Militkazo
Cat	Hejma kato
Catalonia	Katalunio
Catalonia	Kategorio:Katalunio
Catalysis	Katalizilo
Cataract	Katarakto
Catharism	Katarismo
Cathedral	Katedralo
Cathode	Katodo
Cattle	Bovo
Cattle Egret	Bovardeo
Catullus	Katulo
Caucasus	Kaŭkazio
Caucasus	Kategorio:Kaŭkazio
Caucasus Mountains	Kaŭkazo
Cauliflower	Florbrasiko
Cavalry	Kavalerio
Cave	Kaverno
Caviar	Kaviaro
Cayenne	Cayenne
Cayman Islands	Kajmaninsuloj
Cecil Rhodes	Cecil Rhodes
Cedar	Cedro
Celery	Celerio
Celestial equator	Ĉielekvatoro
Celestial mechanics	Kategorio:Ĉiela mekaniko
Celestial sphere	Ĉielosfero
Celibacy	Celibato
Cell (biology)	Biologia ĉelo
Cell membrane	Ĉelmembrano
Cell nucleus	Ĉelkerno
Cell wall	Ĉela muro
Cello	Violonĉelo
Cellulose	Celulozo
Celsius	Grado celsia
Cement	Cemento
Cemetery	Tombejo
Cenozoic	Kenozoiko
Census	Popolnombrado
Centaur	Centaŭro
Centaurus	Centaŭro (konstelacio)
Centimetre	Centimetro
Central Africa	Centra Afriko
Central African Republic	Centr-Afrika Respubliko
Central African Republic	Kategorio:Centr-Afrika Respubliko
Central America	Centra Ameriko
Central America	Kategorio:Mezameriko
Central Intelligence Agency	CIA
Central Powers	Centraj Potencoj
Central bank	Centra banko
Central processing unit	Procesoro
Centre	Centro (Francio)
Centriole	Centriolo
Century	Jarcento
Cephalopod	Kapopieduloj
Cepheus (constellation)	Cefeo (konstelacio)
Ceramic	Ceramiko
Cerberus	Kerbero
Cereal	Cerealo
Cerebellum	Cerbeto
Ceres (dwarf planet)	Cereso
Ceres (mythology)	Cereso (mitologio)
Cerium	Cerio
Cesare Borgia	Cezaro Borgia
Cetacea	Cetacoj
Cetus	Baleno (konstelacio)
Chad	Ĉado
Chad	Kategorio:Ĉado
Chaffinch	Fringo
Chair	Seĝo
Chalcedony	Kalcedono
Chamaeleon	Ĥameleono (konstelacio)
Chamois	Ĉamo
Champagne (wine)	Ĉampano
Champagne-Ardenne	Ĉampanjo-Ardenoj
Channel Tunnel	Manika Tunelo
Charadriiformes	Ĥaradrioformaj
Charlemagne	Karolo la Granda
Charleroi	Charleroi
Charles	Princo Karlo
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karlo la 2-a (Francio)
Charleston	Charleston (Okcidenta Virginio)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charon (moon)	Karono (luno)
Charon (mythology)	Karono (mitologio)
Chartres	Chartres
Chauvinism	Ŝovinismo
Che Guevara	Che Guevara
Chechnya	Ĉeĉenio
Chechnya	Kategorio:Ĉeĉenio
Cheese	Fromaĝo
Cheetah	Gepardo
Chelyabinsk	Ĉelabinsk
Chemical bond	Kemia ligo
Chemical compound	Kemia kombinaĵo
Chemical element	Kemia elemento
Chemical engineering	Kemia inĝenierarto
Chemical formula	Kemia formulo
Chemical reaction	Kemia reakcio
Chemical warfare	Kemia armilo
Chemistry	Kemio
Chemistry	Kategorio:Kemio
Chemnitz	Chemnitz
Chennai	Ĉenajo
Cheque	Ĉeko
Chernobyl	Ĉernobilo
Cherry	Ĉerizo
Chert	Siliko
Chess	Ŝako
Chess	Kategorio:Ŝako
Chess opening	Debuto
Chester A. Arthur	Chester A. Arthur
Chestnut	Kastaneo
Chewing gum	Maĉgumo
Cheyenne	Cheyenne
Chi (letter)	Ĥio (litero)
Chiang Kai-shek	Jiang Jieshi
Chicago	Ĉikago
Chicken	Koko (birdo)
Chickenpox	Varioleto
Chickpea	Kikero
Chihuahua	Chihuahua
Child	Infano
Childbirth	Nasko
Chile	Ĉilio
Chile	Kategorio:Ĉilio
Chimborazo (volcano)	Ĉimborazo
Chimera (mythology)	Ĥimero
Chimpanzee	Ĉimpanzo
China	Kategorio:Ĉinio
Chios	Ĥios
Chiron	Kirono
Chitin	Kitino
Chlorine	Kloro
Chlorophyll	Klorofilo
Chloroplast	Kloroplasto
Chocolate	Ĉokolado
Choir	Ĥoro
Cholera	Ĥolero
Cholesterol	Kolesterolo
Chondrichthyes	Kartilagaj fiŝoj
Chongqing	Chongqing
Chord (music)	Akordo (muziko)
Chordate	Ĥorduloj
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Kristanismo
Christianity	Kategorio:Kristanismo
Christmas	Kristnasko
Christmas tree	Kristnaska arbo
Christopher Columbus	Kristoforo Kolumbo
Christopher Marlowe	Christopher Marlowe
Chromium	Kromo
Chromosome	Kromosomo
Chuck Berry	Chuck Berry
Chukchi Sea	Ĉukĉa Maro
Church	Eklezio
Church (building)	Preĝejo
Church of England	Eklezio de Anglio
Cicero	Cicerono
Ciconiiformes	Cikonioformaj birdoj
Cigarette	Cigaredo
Cinnamon	Cinamo
Circe	Kirke
Circinus	Cirkelo (konstelacio)
Circle	Cirklo
Circulatory system	Kardiovaskula sistemo
Circumcision	Cirkumcido
Circus	Cirkartoj
Cirrhosis	Cirozo
Citizenship	civito
Citric acid cycle	Ciklo de Krebs
Citrus	Citruso
City-state	Urboŝtato
Civil war	Interna milito
Civilization	Civilizo
Clarinet	Klarneto
Clark Gable	Clark Gable
Class	Klaso
Class (biology)	Klaso (biologio)
Class (computer science)	Klaso (objektema programado)
Classical mechanics	Klasika Meĥaniko
Classical music	Klasika muziko
Classical music	Kategorio:Klasika muziko
Classicism	Klasikismo
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Klaŭdio
Clavicle	Klaviklo
Clay	Argilo
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Kleopatra (regantoj)
Clergy	Kleriko
Cleveland	Klevlando
Climate	Klimato
Climate change	Klimata ŝanĝo
Climatology	Klimatscienco
Climatology	Kategorio:Klimato
Clinical depression	Deprimo
Clio	Klio
Clitoris	Klitoro
Clock	Horloĝo
Cloning	Klonado
Clothing	Kategorio:Vestoj
Clothing	Vesto
Cloud	Nubo
Clove	Kariofilo
Clover	Trifolio
Clovis I	Kloviso la 1-a
Cnidaria	Knidulo
Coal	Terkarbo
Coat of arms	Blazono
Cobalt	Kobalto
Cocaine	Kokaino
Coccinellidae	Kokcinelo
Cockatoo	Kakatuedoj
Cockroach	Blato
Cocktail	Koktelo
Coconut	Kokoso
Cocos (Keeling) Islands	Kokosinsuloj
Codeine	Kodeino
Coffea	Kafarbo
Coffee	Kafo
Cognac (drink)	Konjako
Coin	Monero
Cola	Kolao
Colchis	Kolĉido
Cold War	Malvarma milito
Cold War	Kategorio:Malvarma milito
Colin Powell	Colin Powell
Collage	Kolaĝo
Collagen	Kolageno
Cologne	Kolonjo
Colombia	Kolombio
Colombia	Kategorio:Kolombio
Colombo	Kolombo (urbo)
Colonel	Kolonelo
Colony	Kolonio
Color	Koloro
Colorado	Koloradio
Colorado	Kategorio:Koloradio
Colorado River	Kolorado (rivero)
Colosseum	Koloseo (Romo)
Colossus of Rhodes	Koloso de Rodiso
Colubrid	Kolubredoj
Columba (constellation)	Kolombo (konstelacio)
Columbia	Columbia (Suda Karolino)
Columbia	Kolumbio
Columbia River	Kolumbio (rivero)
Columbia University	Universitato Kolumbio
Columbidae	Kolombedoj
Columbiformes	Kolomboformaj birdoj
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma	Komato
Coma Berenices	Berenica Hararo (konstelacio)
Combustion	Brulo
Comedy	Komedio
Comenius	Johano Amoso Komenio
Comet	Kometo
Comma (punctuation)	Komo
Commerce	Kategorio:Komerco
Common cold	Kataro (malsano)
Commonwealth of Independent States	Komunumo de Sendependaj Ŝtatoj
Commonwealth of Nations	Komunumo de Nacioj
Communication	Kategorio:Komunikado
Communication	Komunikado
Communism	Komunismo
Communism	Kategorio:Komunismo
Comoros	Komoroj
Comoros	Kategorio:Komoroj
Compact Disc	Kompakta disko
Compass	Kompaso
Compass (drafting)	Cirkelo
Competition	Konkurso
Compiler	Tradukilo
Complex number	Kompleksa nombro
Composer	Komponisto
Composite number	Komponigita nombro
Computational linguistics	Komputila lingvistiko
Computer	Komputilo
Computer display	Komputila monitoro
Computer file	Dosiero
Computer graphics	Kategorio:Komputila grafiko
Computer hardware	Aparataro
Computer hardware	Kategorio:Komputila aparataro
Computer network	Komputila reto
Computer programming	Kategorio:Programado
Computer science	Komputiko
Computer science	Kategorio:Komputiko
Computer software	Programaro
Computer virus	Komputila viruso
Computing	Kategorio:Komputiko
Conakry	Konakrio
Concentration	Koncentriteco
Concerto	Konĉerto
Concord	Concord (Nov-Hampŝiro)
Concrete	Betono
Condom	Kondomo
Conducting	Dirigento
Cone (geometry)	Konuso
Confederate States of America	Konfederaciitaj ŝtatoj de Ameriko
Confession	Konfeso
Confirmation	Konfirmacio
Confucianism	Konfuceismo
Confucius	Konfuceo
Congo	Kongo
Congo River	Kongo (rivero)
Conic section	Koniko
Connecticut	Konektikuto
Connecticut	Kategorio:Konektikuto
Conquistador	Konkistadoro
Conservation of energy	Konservado de energio (fiziko)
Conservatism	Konservativismo
Consonant	Konsonanto
Constantine I	Konstantino la 1-a de la Romia Imperio
Constantinople	Konstantinopolo
Constellation	Konstelacio
Constitution (political)	Konstitucio
Consul	Konsulo (Romia historio)
Consumption (economics)	Konsumo
Contact lens	Kontaktlenso
Continent	Kontinento
Continental drift	Kontinenta drivo
Contract	Kontrakto
Contract bridge	Briĝo
Cooking	Kuirado
Cooperative	Kooperativo
Coordinate system	Koordinatsistemo
Coordinated Universal Time	UTC
Copenhagen	Kopenhago
Copper	Kupro
Copyright	Kopirajto
Coraciiformes	Koracioformaj birdoj
Coral	Koralo
Coral Sea	Korala Maro
Corinth	Korinto
Coriolis effect	Koriolisforto
Cork (city)	Cork
Cormorant	Kormoranoj
Cornea	Korneo
Cornell University	Universitato Cornell
Cornwall	Kornvalo
Corona Borealis	Boreala Krono (konstelacio)
Corporation	Entrepreno
Corsica	Korsiko
Corundum	Korundo
Corvidae	Korvedoj
Corvus (constellation)	Korvo (konstelacio)
Cosmic ray	Kosma radiado
Cosmology	Kosmologio
Cosmology	Kategorio:Kosmologio
Costa Rica	Kostariko
Costa Rica	Kategorio:Kostariko
Cotonou	Kotonuo
Cotton	Kotono
Cougar	Pumo
Coulomb	Kulombo
Counterpoint	Kontrapunkto
Country	Lando
Country music	Kontreo
Court	Tribunalo (juro)
Coventry	Coventry
Coyote	Kojoto
Crab	Krabo
Crab Nebula	M1
Crane (bird)	Gruo
Crater (constellation)	Pokalo (konstelacio)
Creationism	Kreismo
Cremona	Kremono
Cretaceous	Kretaceo
Crete	Kreto
Cricket	Kriketo
Cricket (insect)	Grilo
Crime	Krimo
Crimea	Aŭtonoma Respubliko Krimeo
Criminal law	Puna juro
Criminology	Kriminologio
Croatia	Kroatio
Croatia	Kategorio:Kroatio
Crocodile	Krokodilo
Crocodilia	Krokodilulo
Cronus	Krono (dio)
Cross product	Vektora produto
Crossbow	Arbalesto
Crossword	Krucvortenigmo
Crow	Korvo
Crucifixion	Krucumado
Crust (geology)	Terkrusto
Crustacean	Krustacoj
Crux	Suda Kruco (konstelacio)
Cryptography	Kategorio:Ĉifriko
Crystal	Kristalo
Crystallography	Kristalografio
Crystallography	Kategorio:Kristalografio
Cuba	Kubo (lando)
Cuba	Kategorio:Kubo
Cube	Kubo (geometrio)
Cubic metre	Kubmetro
Cubism	Kubismo
Cuculiformes	Kukoloformaj birdoj
Cucumber	Kukumo
Cucurbitaceae	Kukurbacoj
Cultural Revolution	Kultura Revolucio
Culture	Kulturo
Culture	Kategorio:Kulturo
Cumbria	Kumbrio
Cupressaceae	Kupresacoj
Curitiba	Curitiba
Curium	Kuriumo
Curling	Glitŝtonludo
Currency	Kategorio:Monunuoj
Currency	Valuto
Curry	Kareo
Curve	Kurbo
Cusco	Kusko
Cyan	Cejana
Cyanide	Cianido
Cyanobacteria	Cianobakterio
Cybernetics	Cibernetiko
Cyberpunk	Ciberpunko
Cyclades	Cikladoj
Cycling	Biciklado
Cycling	Kategorio:Biciklado
Cyclone	Ciklono
Cyclops	Ciklopo
Cygnus (constellation)	Cigno (konstelacio)
Cylinder (geometry)	Cilindro
Cyperaceae	Ciperacoj
Cypriniformes	Ciprinoformaj
Cyprus	Respubliko Kipro
Cyprus	Kategorio:Kipro
Cyrillic alphabet	Cirila alfabeto
Cyrus the Great	Kiro la 2-a (Persio)
Cytoplasm	Citoplasmo
Cytosine	Citozino
Cytoskeleton	Ĉelskeleto
Czech Republic	Ĉeĥio
Czech Republic	Kategorio:Ĉeĥio
Czechoslovakia	Ĉeĥoslovakio
Czechoslovakia	Kategorio:Ĉeĥoslovakio
D	D
D. H. Lawrence	D. H. Lawrence
DDT	DDT
DNA	DNA
DVD	DVD
Dachshund	Melhundo
Dada	Dadaismo
Daedalus	Dedalo kaj Ikaro
Dagger	Ponardo
Dahlia	Dalio
Dakar	Dakaro
Dalai Lama	Dalai-lamao
Dallas	Dallas (Teksaso)
Dalmatia	Dalmatio
Dam	Akvobaraĵo
Damascus	Damasko
Dance	Danco
Dance	Kategorio:Danco
Dandelion	Leontodo
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Dana krono
Dante Alighieri	Dante Alighieri
Danube	Danubo
Daphne	Dafna
Dar es Salaam	Daresalamo
Dardanelles	Dardaneloj
Darfur	Darfuro
Darjeeling	Darĝiling
Dark matter	Malluma materio
Darmstadtium	Darmŝtatio
Darwin	Darvino (Aŭstralio)
Darwin	Darwin (apartigilo)
Das Kapital	La Kapitalo
Data	Datumo
Database	Datumbazo
Date Palm	Daktilopalmo
Dative case	Dativo
Daugavpils	Daugavpils
David	Davido
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
Day	Tago
Days	Kategorio:Almanako
Deacon	Diakono
Dead Sea	Morta Maro
Dead Sea scrolls	Pergamenaro de Morta Maro
Deadly nightshade	Beladono
Death	Morto
Death	Kategorio:Morto
Decade	Jardekoj
December	Decembro
December 31	31-a de decembro
December 8	8-a de decembro
Decimal	Dekuma sistemo
Decius (emperor)	Decio
Declination	Deklinacio (astronomio)
Deco	Anderson Luiz de Sousa
Deer	Cervedoj
Definition	Difino
Degree	Grado (apartigilo)
Degree (angle)	Grado
Deimos (moon)	Dejmo
Deism	Diismo
Delaware	Delavaro
Delaware	Kategorio:Delavaro
Delft	Delft
Delphi	Delfo
Delphinus	Delfeno (konstelacio)
Delta	Delto
Delta (letter)	Delto (litero)
Deluge (mythology)	Tutmonda diluvo
Demagogy	Demagogio
Demeter	Demetra
Democracy	Demokratio
Democratic Party (United States)	Demokrata Partio (Usono)
Democratic Republic of the Congo	Kongo Kinŝasa
Democratic Republic of the Congo	Kategorio:Kongo Kinŝasa
Democritus	Demokrito
Demography	Demografio
Demon	Demono
Demosthenes	Demosteno
Deng Xiaoping	Deng Xiaoping
Dengue fever	Dengo
Denis Diderot	Denis Diderot
Denmark	Danio
Denmark	Kategorio:Danio
Dennis Gabor	Dennis Gabor
Density	Denseco
Dental caries	Kario
Dentistry	Dentkuracado
Denver	Denvero (Koloradio)
Derivative	Derivaĵo (matematiko)
Dermatology	Haŭtmedicino
Des Moines	Des Moines (Iovao)
Desert	Dezerto
Deserts	Kategorio:Dezertoj
Desiderius Erasmus	Erasmo de Roterdamo
Design	Dezajno
Design	Kategorio:Dezajno
Desmond Tutu	Desmond Tutu
Destroyer	Destrojero
Determinant	Determinanto
Determinism	Determinismo
Detroit	Detrojto (Miĉigano)
Deuterium	Deŭterio
Deuteronomy	Readmono
Device driver	Pelilo
Devon	Devon
Devonian	Devonio
Dew	Roso
Dew point	Rosopunkto
Dewey Decimal Classification	Dewey dekuma klasifiko
Dhaka	Dako
Dharma	Darmo
Dhaulagiri	Dhaulagiri
Diabetes mellitus	Diabeto
Diacritic	Diakrita signo
Dialect	Dialekto
Dialectic	Dialektiko
Diameter	Diametro
Diamond	Diamanto
Diana	Diana Spencer
Diana (mythology)	Diana
Diarrhea	Diareo
Diaspora	Diasporo
Diatom	Diatomo
Dice	Ĵetpluredro
Dicotyledon	Dukotiledonaj plantoj
Dictatorship	Diktatoreco
Dictionary	Vortaro
Diego Rivera	Diego Rivera
Diesel	Dizeloleo
Diesel engine	Dizelmotoro
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Diferenciala ekvacio
Diffraction	Difrakto
Digestion	Digestado
Digestive system	Kategorio:Digesta sistemo
Digital	Cifereca
Digital camera	Cifereca fotilo
Digital subscriber line	DSL
Dijon	Dijon
Dill	Aneto
Dimension	Dimensio
Dingo	Dingo
Dinosaur	Dinosaŭro
Diocese	Diocezo
Diocletian	Diokleciano
Diode	Diodo
Dionysus	Dionizo
Diphtheria	Difterio
Diphthong	Diftongo
Diplomacy	Diplomatio
Diplomacy	Kategorio:Diplomatio
Direct current	Kontinua kurento
Disaccharide	Disakarido
Disambiguation	Kategorio:Apartigiloj
Disc jockey	Diskĵokeo
Discrimination	Diskriminacio
Disease	Malsano
Distance	Distanco
Distillation	Distilado
Divergence	Diverĝenco
Division (mathematics)	Divido
Divorce	Divorco
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategorio:Ĝibutio
Djibouti (city)	Ĝibuto
Dmitri Mendeleev	Dmitrij Mendelejev
Dmitri Shostakovich	Dmitrij Ŝostakoviĉ
Dnieper River	Dnepro
Dnipropetrovsk	Dnipropetrovsko
Doctor of the Church	Doktoro de eklezio
Document	Dokumento
Dodecahedron	Dekduedro
Dodecanese	Dodekanesoj
Dodo	Dido (birdo)
Dodoma	Dodomao
Dog	Hundo
Dogma	Dogmo
Doha	Doho
Dollar	Dolaro (monunuo)
Dolly (sheep)	Dolly (ŝafino)
Dolmen	Dolmeno
Dolomite	Dolomito
Dolphin	Delfenoj
Domain (biology)	Domajno (biologio)
Domain name	Domajna nomo
Dome	Kupolo
Domesday Book	Domesday Book
Domestication	Aldomigo
Dominica	Dominiko
Dominica	Kategorio:Dominiko
Dominican Order	Dominikanoj
Dominican Republic	Domingo
Dominican Republic	Kategorio:Domingo
Domitian	Domiciano
Don Quixote	Kiĥoto
Don River (Russia)	Don (rivero)
Donald Duck	Donaldo Anaso
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donecko
Donkey	Azeno
Door	Pordo
Doppler effect	Efiko de Doppler
Dorado	Orfiŝo (konstelacio)
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Dualao
Double bass	Kontrabaso
Dover	Dover (Delavaro)
Dover	Dovero
Down syndrome	Down-sindromo
Draco (constellation)	Drako (konstelacio)
Dracula	Drakulo (literaturo)
Dragon	Drako (mitologio)
Drainage basin	Akvokolekta areo
Drama	Dramo
Draughts	Damludo
Dream	Sonĝo
Dresden	Dresdeno
Drink	Trinkaĵo
Dromedary	Dromedaro
Drought	Trosekeco
Drug addiction	Droga dependeco
Druid	Druido
Drum	Tamburo
Dualism	Dualismo
Dualism (philosophy of mind)	Dualismo
Dubai	Dubajo
Dublin	Dublino
Dubnium	Dubnio
Dubrovnik	Dubrovnik
Duck	Anaso
Dugong	Dugongo
Duke	Duko
Duke Ellington	Duke Ellington
Duke University	Universitato Duke
Dune	Duno
Dunkirk	Dunkerque
Duodenum	Duodeno
Durban	Durban
Dushanbe	Duŝanbeo
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategorio:Nederlandanoj
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dinamiko
Dynamite	Dinamito
Dynasty	Dinastio
Dyslexia	Disleksio
Dysprosium	Disprozio
Dystopia	Malutopio
E	E
E (mathematical constant)	℮ (matematiko)
E-mail	Retpoŝto
E. T. A. Hoffmann	E. T. A. Hoffmann
ETA	ETA
Eagle	Aglo
Ear	Orelo
Earth	Tero
Earth science	Terscienco
Earthquake	Tertremo
East	Oriento
East Africa	Orientafriko
East China Sea	Orientĉina Maro
East Germany	Germana Demokratia Respubliko
East Sussex	East Sussex
East Timor	Orienta Timoro
East Timor	Kategorio:Orienta Timoro
Easter	Pasko
Eastern Orthodox Church	Ortodoksismo
Ebro	Ebro
Eccentricity (mathematics)	Discentreco
Echidna	Ekidno
Echinoderm	Ekinodermo
Eclipse	Eklipso
Ecliptic	Ekliptiko
Ecology	Ekologio
Ecology	Kategorio:Ekologio
Econometrics	Ekonometrio
Economics	Ekonomiko
Economics	Kategorio:Ekonomio
Economy	Ekonomiko
Ecosystem	Ekologia sistemo
Ecuador	Ekvadoro
Ecuador	Kategorio:Ekvadoro
Ecumenical council	Koncilio
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgo
Edirne	Edirne
Edmonton	Edmontono (Alberto)
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Education	Eduko
Education	Kategorio:Edukado
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Eduardo la Konfesanto
Edwin Hubble	Edwin Hubble
Egg (biology)	Ovo
Eggplant	Melongeno
Egypt	Egiptio
Egypt	Kategorio:Egiptio
Egyptian pound	Egipta pundo
Egyptology	Egiptologio
Eiffel Tower	Eiffel-Turo
Eindhoven	Eindhoven
Einsteinium	Ejnŝtejnio
El Cid	Cido
El Greco	El Greco
El Paso	El Paso (Teksaso)
El Salvador	Salvadoro
El Salvador	Kategorio:Salvadoro
Elam	Elamo
Elbe	Elbo (rivero)
Eleanor Roosevelt	Eleanor Roosevelt
Election	Voĉdono
Electric charge	Elektra ŝargo
Electric current	Elektra kurento
Electric field	Kampo (elektro)
