English	Malay
0 (number)	0 (nombor)
1	1
10	10
100	100
100 (number)	100 (nombor)
1000	1000
101	101
105	105
11	11
11 (number)	11 (nombor)
110	110
115	115
12	12
12 (number)	12 (nombor)
120	120
125	125
13	13
13 (number)	13 (nombor)
130	130
135	135
14	14
14 (number)	14 (nombor)
140	140
144	144
145	145
15	15
15 (number)	15 (nombor)
150	150
1530s	1530-an
155	155
16	16
16 (number)	16 (nombor)
160	160
165	165
17	17
17 (number)	17 (nombor)
170	170
1728	1728
175	175
1750s	1750-an
1760s	1760-an
1760s	Kategori:1760-an
1770s	1770-an
1780s	1780-an
1790s	1790-an
18	18
18 (number)	18 (nombor)
180	180
1820s	1820-an
1830s	1830-an
1840s	1840-an
1850s	1850-an
1860s	1860-an
1860s	Kategori:1860-an
1870s	1870-an
1880s	1880-an
1880s	Kategori:1880-an
1890s	1890-an
19	19
19 (number)	19 (nombor)
190	190
1900s	1900-an
1900s	Kategori:1900-an
1920s	1920-an
1920s	Kategori:1920-an
1930s	1930-an
1930s	Kategori:1930-an
1940s	1940-an
1940s	Kategori:1940-an
1950s	1950-an
1950s	Kategori:1950-an
1960s	1960-an
1960s	Kategori:1960-an
1970s	1970-an
1970s	Kategori:1970-an
1980s	1980-an
1980s	Kategori:1980-an
1990s	1990-an
1990s	Kategori:1990-an
2	2
20	20
20 (number)	20 (nombor)
200	200
21	21
21 (number)	21 (nombor)
22	22
22 (number)	22 (nombor)
23	23
23 (number)	23 (nombor)
24	24
24 (number)	24 (nombor)
25	25
25 (number)	25 (nombor)
26	26
26 (number)	26 (nombor)
27	27
27 (number)	27 (nombor)
28	28
28 (number)	28 (nombor)
29	29
29 (number)	29 (nombor)
3	3
30	30
30 (number)	30 (nombor)
300	300
31	31
31 (number)	31 (nombor)
32	32
32 (number)	32 (nombor)
33	33
33 (number)	33 (nombor)
34	34
34 (number)	34 (nombor)
35	35
35 (number)	35 (nombor)
36	36
36 (number)	36 (nombor)
37	37
37 (number)	37 (nombor)
38	38
38 (number)	38 (nombor)
39	39
39 (number)	39 (nombor)
4	4
40	40
40 (number)	40 (nombor)
400	400
41	41
41 (number)	41 (nombor)
42	42
42 (number)	42 (nombor)
43	43
43 (number)	43 (nombor)
44	44
45	45
45 (number)	45 (nombor)
46	46
46 (number)	46 (nombor)
47	47
48	48
49	49
49 (number)	49 (nombor)
5	5
50	50
50 (number)	50 (nombor)
500	500
500	Kategori:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
60 (number)	60 (nombor)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
80 (number)	80 (nombor)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
Aachen	Aachen
Abidjan	Abidjan
Abkhazia	Abkhazia
Abortion	Pengguguran
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absolute magnitude	Magnitud mutlak
Abu Dhabi	Abu Dhabi
Abuja	Abuja
Academy Award	Anugerah Akademi
Acceleration	Pecutan
Accipitridae	Accipitridae
Accountancy	Perakaunan
Accountancy	Kategori:Perakaunan
Acetic acid	Asid asetik
Acid	Asid
Acid rain	Hujan asid
Acne vulgaris	Jerawat
Aconcagua	Gunung Aconcagua
Acoustics	Akustik
Acre	Ekar
Actinide	Aktinida
Actor	Pelakon
Adam Smith	Adam Smith
Adenine	Adenina
Adenosine triphosphate	Adenosina trifosfat
Adjective	Kata sifat
Admiral	Laksamana
Adolescence	Remaja
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Advertising	Iklan
Aerodynamics	Aerodinamik
Aesthetics	Estetik
Afghanistan	Afghanistan
Afghanistan	Kategori:Afghanistan
Africa	Afrika
Africa	Kategori:Afrika
Afrikaans	Bahasa Afrikaans
Agra	Agra
Agriculture	Kategori:Pertanian
