English	Breton
Horace	Quintus Horatius Flaccus
Horn (anatomy)	Korn (korfadurezh)
Horse	Marc'h
Hotel	Leti
House	Ti
House Sparrow	Golvan
Human	Den
Hummingbird	Trochilidae
Humor	Rummad:Fent
Humphrey Bogart	Humphrey Bogart
Hungary	Hungaria
Hungary	Rummad:Hungaria
Hydrogen	Hidrogen
Hydrosphere	Hidrosferenn
Hymen	Lienenn-gourzh
Hyperion (mythology)	Hyperion (Titan)
Hypertext	Hypertext
Hypnos	Hypnos
I	I (lizherenn)
Iapetus (mythology)	Iapetos
Iberian Peninsula	Ledenez iberek
Iceland	Island
Idaho	Idaho
Igor Stravinsky	Igor Stravinsky
Iliad	Ilias
Illinois	Illinois
Image scanner	Skanner
Immanuel Kant	Immanuel Kant
India	India
India	Rummad:India
Indian Ocean	Meurvor Indez
Indian Ocean	Rummad:Meurvor Indez
Indiana	Indiana
Indonesia	Indonezia
Industry	Greanterezh
Inflation	Monc’hwezh
Ingmar Bergman	Ingmar Bergman
Inner Mongolia	Mongolia an Diabarzh
Innsbruck	Innsbruck
Insect	Amprevan
International System of Units	Sistem etrevroadel unanennoù ar fizik
Internet	Internet
Internet	Rummad:Internet
Internment	Konzentrationslager
Io (moon)	Io (loarenn)
Io (mythology)	Io (Hellaz)
Ionian Sea	Mor Ionian
Iota	Iota (lizherenn)
Iowa	Iowa
Iran	Iran
Iran	Rummad:Iran
Iraq	Irak
Ireland	Iwerzhon
Irish Republican Army	Irish Republican Army
Irish Sea	Mor Iwerzhon
Iron	Houarn
Iron Age	Oadvezh an houarn
Iron Curtain	Rideoz houarn
Iron Maiden	Iron Maiden
Irony	Flemmerezh
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isis	Isis
Islam	Islam
Islam	Rummad:Islam
Islamabad	Islamabad
Islamic calendar	Deiziadur muzulmat
Island	Enez (douar)
Isle of Man	Manav
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Izotop
Israel	Israel
Istanbul	Istanbul
Isthmus	Strizh-douar
Italy	Italia
Ithaca	Itaka
Ivan Pavlov	Ivan Pavlov
J	J (lizherenn)
Jackson Pollock	Jackson Pollock
Jacob	Jakob
Jacques Cartier	Jakez Karter
Jakarta	Jakarta
James	Jakez, mab Zebede (abostol)
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu ha Kachmir
January	Genver
January 1	1añ Genver
January 19	19 Genver
January 20	20 Genver
January 6	6 Genver
Janus (moon)	Janus (loarenn)
Japan	Japan
Jason	Iason
Jazz	Jazz
Jean Auguste Dominique Ingres	Dominique Ingres
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jeddah
Jeremy Bentham	Jeremy Bentham
Jersey	Jerzenez
Jerusalem	Jeruzalem
Jesus	Jezuz Nazaret
Jimi Hendrix	Jimi Hendrix
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Steinbeck	John Steinbeck
John the Baptist	Yann ar Badezour
John von Neumann	John von Neumann
Joint	Mell (korf)
Jordan	Jordania
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Joseph Goebbels
Joseph Stalin	Jozef Stalin
Josephus	Flavius Josephus
Jovian	Flavius Claudius Jovianus
Judaism	Yuzevegezh
Judaism	Rummad:Yuzevegezh
Jules Verne	Jules Verne
Julian calendar	Deiziadur juluan
Julius Caesar	Caius Julius Caesar
July	Gouere
July 1	1añ Gouere
July 4	4 Gouere
June	Mezheven
June 14	14 Mezheven
June 21	21 Mezheven
June 23	23 Mezheven
June 24	24 Mezheven
June 29	29 Mezheven
June 3	3 Mezheven
Jupiter	Yaou (planedenn)
Jurassic	Juraseg
K	K (lizherenn)
KGB	KGB
Kansas	Kansas
Kappa	Kappa (lizherenn)
Karachi	Karachi
Karen Blixen	Karen Blixen
Karl Marx	Karl Marx
Karnataka	Karnataka
Kaunas	Kaunas
Kazakhstan	Kazakstan
Kazakhstan	Rummad:Kazakstan
Kelvin	Kelvin
Kentucky	Kentucky
Kenya	Kenya
Kenya	Rummad:Kenya
Keyboard (computing)	Klaouier kompoder
Kharkiv	C'harkiv
Khufu	C'houfou
Kiev	Kyiv
Kigali	Kigali
Kilogram	Kilogram
King Arthur	Roue Arzhur
Kingdom (biology)	Riezad
Kinshasa	Kinshasa
Knut Hamsun	Knut Hamsun
Kosovo	Kosovo
Krishna	Krishna
Ku Klux Klan	Ku Klux Klan
Kuiper belt	Gouriziad Kuiper
Kurdistan	Kurdistan
Kurt Waldheim	Kurt Waldheim
Kuwait	Koweit
Kyrgyzstan	Kirgizstan
L	L (lizherenn)
L'Aquila	L'Aquila
La Paz	La Paz (Bolivia)
La Spezia	La Spezia
Lady Jane Grey	Jane Grey
Lake	Lenn (dour)
Lake Baikal	Lenn Baikal
Lake Balaton	Lenn Balaton
Lake Constance	Lenn Konstanz
Lake Geneva	Lenn Geneva
Lambda	Lambda (lizherenn)
Lancashire	Lancashire
Language	Yezh
Laos	Laos
Latin	Latin
Latin America	Amerika Latin
Latin alphabet	Lizherenneg latin
Latitude	Led
Latvia	Latvia
Latvia	Rummad:Latvia
Laurasia	Laurazia
Law	Gwir (lezenn)
Lazio	Lazio
Le Corbusier	Le Corbusier
Leaf	Deil
Lebanon	Liban
Leda (mythology)	Leda
Legend	Richennoù
Leiden	Leiden
Leipzig	Leipzig
Lena River	Lena
Leon Trotsky	Lyev Trotsky
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Lesbian	Lesbianelezh
Lesotho	Lesotho
Lesotho	Rummad:Lesotho
Leto	Leto
Letter (alphabet)	Lizherenn
Liberia	Liberia
Liberia	Rummad:Liberia
Library	Levraoueg
Library science	Skiantoù an Ditour hag al Levraouegoù
Libreville	Libreville
Libya	Libia
Lie	Gaou
Liechtenstein	Liechtenstein
Liechtenstein	Rummad:Liechtenstein
Light-year	Bloavezh-gouloù
Lighthouse	Tour-tan
Liguria	Liguria (Rannvro)
Lille	Lille
Lima	Lima
Limerick	Luimneach
Line (mathematics)	Eeunenn (geometriezh)
Linguistics	Yezhoniezh
Linz	Linz
Lion	Leon (loen)
Liquid crystal display	Skramm strinkennoù liñvel
Lisbon	Lisbon
Literature	Lennegezh
Literature	Rummad:Lennegezh
Literature	Porched:Lennegezh
Lithuania	Lituania
Lithuania	Rummad:Lituania
Litre	Litr
Liverpool	Liverpool
Livy	Titus Livius
Ljubljana	Ljubljana
Loanword	Amprest (yezhoniezh)
Loire River	Liger (stêr)
Lombardy	Lombardia
London	Londrez
Lord's Prayer	Pater noster
Los Angeles	Los Angeles
Lot (department)	Lot (departamant)
Louis Pasteur	Louis Pasteur
Louis the Pious	Loeiz an Deol
Louis the Stammerer	Loeiz II (Bro-C'hall)
Louisiana	Louisiana
Louvre	Louvre
Luanda	Luanda
Lublin	Lublin
Luciano Pavarotti	Luciano Pavarotti
Lucrezia Borgia	Lucrezia Borgia
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig van Beethoven	Ludwig van Beethoven
Lusaka	Lusaka
Lusitania	Lusitania
Luxembourg	Luksembourg (bro)
Luxembourg	Rummad:Luksembourg
Lyon	Lyon
M	M (lizherenn)
Macedonia	Makedonia
Macedonia (Greece)	Makedonia (Gres)
Machine code	Areg ijinenn
Madagascar	Madagaskar
Madagascar	Rummad:Madagaskar
Madonna (entertainer)	Madonna
Madrid	Madrid
Magnetism	Gwarellegezh
Magnoliopsida	Rummad:Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Main	Main
Maine	Maine (SUA)
Malabo	Malabo
Malachite	Malakit
Malawi	Rummad:Malawi
Malaysia	Malaysia
Malcolm X	Malcolm X
Mali	Mali
Malta	Malta
Malta	Rummad:Malta
Maltese language	Malteg
Mammal	Bronneged
Mammoth	Mammout
Manchester	Manchester (Bro-Saoz)
Manila	Manila
Manitoba	Manitoba
Mannerism	Orbidouriezh
Mantua	Mantova
Manuscript	Dornskrid
Mao Zedong	Mao Zedong
Maoism	Maoouriezh
Maputo	Maputo
Marcel Proust	Marcel Proust
March	Meurzh (miz)
March 17	17 Meurzh
March 19	19 Meurzh
March 2	2 Meurzh
March 25	25 Meurzh
Marche	Marche
Marco Polo	Marco Polo
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Twain	Mark Twain
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Markiz Sade
Marriage	Priedelezh
Mars (disambiguation)	Meurzh.
Mars (mythology)	Meurzh (doue)
Marseille	Marselha
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King, Jr.
Martinique	Martinik
Marx Brothers	Ar Vreudeur Marx
Marxism	Rummad:Marksouriezh
Mary Shelley	Mary Shelley
Maryland	Maryland
Mass	Mas
Mass number	Niver mas
Massachusetts	Massachusetts
Materialism	Danvezelouriezh
Mathematics	Matematikoù
Mathematics	Rummad:Jedoniezh
Maundy Thursday	Yaou-Gamblit
Maurice Ravel	Maurice Ravel
Mauritania	Maouritania
Mauritius	Maoris
Max Planck	Max Planck
Max Weber	Max Weber
May	Mae
May 1	1añ Mae
May 24	24 Mae
Mayenne	Mayenne (departamant)
Mead	Mez
Measurement	Muzul
Mecca	Mekka
Medea	Medea
Medici	Medici
Medicine	Mezegiezh
Medicine	Rummad:Medisinerezh
Mediterranean	Rummad:Mor Kreizdouar
Mediterranean Sea	Mor Kreizdouar
Medusa	Medousa
Melpomene	Melpomene
Memphis	Menfis
Menelaus	Menelaos
Mentha	Bent
Mercury	Merc'her
Mercury (planet)	Merc'her (planedenn)
Mesopotamia	Mezopotamia
Mesozoic	Mezozoeg
Metal	Metal
Metis (moon)	Metis (loarenn)
Metre	Metr
Meuse	Meuse (departamant)
Meuse River	Meuse (stêr)
Mexico	Mec'hiko
Mexico City	Kêr-Vec'hiko
Michael Faraday	Michael Faraday
Michelangelo	Michelangelo Buonarroti
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Microprocessor	Mikroprosesor
Middle Ages	Krennamzer
Miguel de Cervantes	Miguel de Cervantes
Mikhail Bakunin	Mic'hail Bakounin
Milan	Milano
Milk	Laezh
Milwaukee	Milwaukee
Minerva	Minerva
Mining	Mengleuz
Minnesota	Minnesota
Minotaur	Minotaoros
Minsk	Minsk
Miocene	Miosen
Missouri	Missouri (Stad)
Mogadishu	Muqdisho
Moirae	Moira
Moldova	Moldova
Moldova	Rummad:Moldova
Mole (unit)	Mol
Molise	Molise
Mombasa	Mombasa
Monaco	Monako
Monarchy	Rouantelezh
Monday	Lun (deiz)
Monrovia	Monrovia
Mons	Mons (Wallonia)
Montana	Montana
Montenegro	Montenegro
Montreal	Montreal
Moon	Loar
Moravia	Moravia
Morocco	Maroko
Morpheme	Morfem
Morphology (linguistics)	Morfologiezh
Morse code	Lizherenneg Morse
Mosaic	Marelladur (arz)
Moscow	Moskva
Moses	Moizez
Mother	Mamm
Mount Olympus	Olympos
Mountain	Menez
Mouse (computing)	Logodenn (stlenneg)
Mozambique	Mozambik
Mozambique	Rummad:Mozambik
Muhammad	Mohammed
Mumbai	Mumbai
Munich	München
Muse	Muzezed
Museum	Mirdi
Music	Sonerezh
Music	Rummad:Sonerezh
Musical instrument	Benveg-seniñ
Mycenae	Mikenai
Mycology	Foueoniezh
Mysticism	Kevrinelezh
Mythology	Mitologiezh
N	N (lizherenn)
N'Djamena	Ndjamena
NATO	Aozadur Feur-emglev Norzh-Atlantel
Nagasaki	Nagasaki
Nahuatl	Nahouatleg
Nairobi	Nairobi
Namibia	Namibia
Namibia	Rummad:Namibia
Namur (city)	Namur
Nantes	Naoned
Naples	Napoli
Narcissus (mythology)	Narkissos
Nathaniel Hawthorne	Nathaniel Hawthorne
National Security Agency	NSA
National anthem	Kan broadel
Nationalism	Broadelouriezh
Nature	Endro
Naturism	Naturegezh
Navy	Morlu
Nazareth	Nazaret
Nazi Party	Strollad Broadel Sokialour al Labourerien Alaman
Nebraska	Nebraska
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Nemean Lion	Leon Nemea
Neolithic	Neolitik
Neologism	Nevezc'her
Nepal	Nepal
Nephthys	Neftis
Neptune	Neizhan (planedenn)
Netherlands	Izelvroioù
Netherlands	Rummad:Izelvroioù
Netherlands Antilles	Antilhez Nederlandat
Network topology	Topologiezh rouedad
Neutron	Neutron
Nevada	Nevada
New Brunswick	New Brunswick
New England	Bro-Saoz Nevez
New Guinea	Ginea Nevez
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	New Mexico
New Testament	Testamant Nevez
New York	New York (Stad)
New York (disambiguation)	New York (digejañ)
New York City	New York
New Zealand	Zeland-Nevez
Newfoundland (island)	Douar-Nevez
Newfoundland and Labrador	Douar-Nevez ha Labrador
Newton	Newton
Nicaragua	Nicaragua
Nice	Nisa
Nicolaus Copernicus	Nicolaus Copernicus
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Nigeria	Nigeria
Nightingale	Eostig
Nijmegen	Nijmegen
Nike (mythology)	Nike
Nikita Khrushchev	Nikita C'hrouchtchov
Nikola Tesla	Nikola Tesla
Nile	Nil
Nitric acid	Trenkenn nitrek
Nix (moon)	Nix
Noam Chomsky	Noam Chomsky
Nobel Prize	Priz Nobel
Normandy	Normandi
North	Norzh
North Africa	Norzhafrika
North America	Norzhamerika
North Carolina	North Carolina
North Dakota	North Dakota
North Korea	Republik Poblel ha Demokratel Korea
North Sea	Mor an Hanternoz
Northern Ireland	Norzhiwerzhon
Norway	Norvegia
Norwegian Sea	Mor Norvegia
Nose	Fri
Noun	Anv-kadarn
Nova Scotia	Skos Nevez
November	Du
November 1	1añ Du
November 11	11 Du
November 2	2 Du
November 5	5 Du
Nu (letter)	Nu (lizherenn)
Nucleon	Nukleon
Number	Niver
Numbers	Rummad:Niveroù
Nymph	Nimfezed
Nyx (mythology)	Nyks
O	O (lizherenn)
Ocean	Meurvor
Ocean current	Kasenn
Oceania	Okeania
Oceanid	Okeanidezed
Oceanus	Okeanos
October	Here
October 12	12 Here
October 24	24 Here
Ode	Meulgan
Odysseus	Odysseüs
Odyssey	Odysseia
Ohio	Ohio
Ohm	Ohm
Ohm's law	Lezenn Ohm
Oklahoma	Oklahoma
Old Norse	Norseg
Old Testament	Testamant Kozh
Oligocene	Oligosen
Oliver Cromwell	Oliver Cromwell
Olympia	Olimpia
Olympic Games	C'hoarioù Olimpek
Oman	Oman
Omega	Omega (lizherenn)
Omicron	Omikron (lizherenn)
Onomastics	Anvadurezh
Ontario	Ontario
Oort cloud	Koumoulennad Oort
Operating system	Reizhiad korvoiñ
Order (biology)	Urzhiad
Ordovician	Ordovisian
Oregon	Oregon
Orestes (mythology)	Orestes (mab Agamemnon)
Organ (anatomy)	Benvegad
Origami	Origami
Ornithology	Evnoniezh
Orson Welles	Orson Welles
Orthography	Reizhskrivadur
Oscar Wilde	Oscar Wilde
Osiris	Osiris
Oslo	Oslo
Ostrava	Ostrava
Otto I	Otto Iañ
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Impalaeriezh otoman
Ovary	Vigell
Ovid	Ovidius
Ovum	Viell
Oxford	Oxford
Oxygen	Oksigen
Ozone	Ozon
P	P (lizherenn)
Pablo Picasso	Pablo Picasso
Pacific Ocean	Meurvor Habask
Padua	Padova
Painting	Rummad:Livouriezh
Pakistan	Pakistan
Paleocene	Paleosen
Paleontology	Paleontologiezh
Paleozoic	Paleozoeg
Palermo	Palermo
Palestine	Rummad:Palestina
Palestinian National Authority	Palestina
Pan (mythology)	Pan
Pangaea	Pangea
Papua New Guinea	Papoua Ginea-Nevez
Paraguay	Paraguay
Paraguay	Rummad:Paraguay
Paris	Pariz
Paris (mythology)	Paris, mab Priam
Pascal (unit)	Pascal
Pasteurization	Pasteurekaat
Pathology	Patologiezh
Paul Gauguin	Paul Gauguin
Paul the Apostle	Paol Tarsos
Pays de la Loire	Broioù al Liger
Pea	Piz bihan
Peafowl	Paün
Pearl Harbor	Pearl Harbor
Peat	Taouarc'h
Pedagogy	Pedagogiezh
Pedophilia	Pedofiliezh
Peloponnese	Peloponnez
Penelope	Penelope
Pennsylvania	Pennsylvania
People	Rummad:Tud
People's Republic of China	Republik Pobl Sina
Pepin the Short	Pepin Grenn
Percy Bysshe Shelley	Percy B. Shelley
Pericles	Perikles
Periodic table	Taolenn beriodek an elfennoù
Perm	Perm
Permian	Permian
Persephone	Persefone
Perseus	Perseüs
Peru	Perou
Peru	Rummad:Perou
Pesticide	Dilastezer
Peter Paul Rubens	Pieter Paul Rubens
Phanerozoic	Fanerozoeg
Pharaoh	Faraon
Phi (letter)	Phi (lizherenn)
Philately	Rummad:Timbrouriezh
Philippines	Filipinez
Philosophy	Prederouriezh
Philosophy	Rummad:Prederouriezh
Philosophy	Porched:Prederouriezh
Phoneme	Fonem
Phonetics	Fonetik
Phonology	Fonologiezh
Photography	Luc'hskeudennerezh
Phylum	Skourrad
Physics	Fizik
Physics	Rummad:Fizik
Physics	Porched:Fizik
Pi (letter)	Pi (lizherenn)
Picardie	Pikardi
Pidgin	Pidjin
Piedmont	Piemonte
Pindar	Pindaros
Pisa	Pisa
Planet	Planedenn
Plant	Plant
Plato	Platon
Platypus	Ornitorink
Pleistocene	Pleistosen
Pleven	Pleven (Bulgaria)
Pliny the Elder	Plinius kozh
Pliocene	Pliosen
Plovdiv	Plovdiv
Plutarch	Ploutarc'hos
Pluto	Ploudon (planedenn-gorr)
Pluto (disambiguation)	Pluton
Po River	Po
Point (geometry)	Poent (geometriezh)
Poitou-Charentes	Poatev-Charant
Poland	Polonia
Poland	Rummad:Polonia
Politics	Politikerezh
Polyhymnia	Polymnia
Pop art	Pop Art
Pope	Pab
Pope Alexander VI	Alesant VI
Population	Poblañs
Port	Porzh (evit listri)
Port-au-Prince	Port-au-Prince
Portland	Portland
Portsmouth	Portsmouth
Portugal	Portugal
Poseidon	Poseidon
Positron	Pozitron
Postal code	Kod post
Prague	Praha
Prehistory	Ragistor
President of the United States	Prezidant Stadoù-Unanet Amerika
Priam	Priam
Price	Priz
Prime number	Niveroù kentael
Prince Edward Island	Enez ar Priñs Edward
Prism (optics)	Kengereg
Prison	Toull-bac'h
Programming language	Areg
Prokaryote	Prokariot
Prometheus	Prometheüs
Pronoun	Raganv
Prophet	Profed
Prose	Komz-plaen
Proterozoic	Proterozoeg
Proton	Proton
Prunus	Prunus
Prussia	Prusia
Psi (letter)	Psi (lizherenn)
Psychology	Bredoniezh
Ptolemaic dynasty	Tierniezh ar Ptolemeed
Ptolemy	Klaudios Ptolemaios
Puberty	Kaezouregezh
Punk rock	Punk rock
Pyrenees	Pireneoù
Pythagoras	Pitagoras
Q	Q (lizherenn)
Qatar	Katar
Quebec	Kebek
Quechua	Ketchwaeg
Queensland	Queensland
R	R (lizherenn)
RNA	Trenkenn ribonukleek
Ra	Ra
Racism	Gouennelouriezh
Rain	Glav
Rainer Maria Rilke	Rainer-Maria Rilke
Rama	Rama
Ramadan	Ramadan
Ramayana	Ramayana
Ramesses II	Ramses II
Random access memory	Memor bresk
Raphael	Raffaello Sanzio
Ravenna	Ravenna
Rawalpindi	Rawalpindi
Recife	Recife
Rectangle	Skouergorneg
Recycling	Adaoz
Red Army Faction	Tuad an Arme Ruz
Red Sea	Mor Ruz
Religion	Relijion
Religion	Rummad:Relijion
Rembrandt	Rembrandt van Rijn
Renaissance	Azginivelezh arzel
Republic	Republik
Republic of Ireland	Republik Iwerzhon
Republic of the Congo	Republik Kongo
Rhea (mythology)	Rea (doueez)
Rhine	Roen
Rho (letter)	Rho (lizherenn)
Rhode Island	Rhode Island
Rhodes	Enez Rodos
Rhyme	Klotenn
Rib	Kostezenn
Richard Wagner	Richard Wagner
Riga	Riga
Rio de Janeiro	Rio de Janeiro
River	Stêr
River Thames	Tavoez
Riyadh	Riyadh
Roald Amundsen	Roald Amundsen
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Schumann	Robert Schumann
Rock music	Sonerezh rock
Roman Catholic Church	Iliz katolik roman
Roman Empire	Impalaeriezh roman
Roman legion	Lejion roman
Romania	Roumania
Romansh	Romañcheg
Rome	Roma
Rook (bird)	Frav
Rosary	Juzu
Rotterdam	Rotterdam
Router	Routaer
Rugby football	Rugbi
Russia	Rusia
Russia	Rummad:Rusia
Rwanda	Rwanda
Rwanda	Rummad:Rwanda
Saddam Hussein	Saddam Husain
Sail	Gouel (bageal)
Saint	Sant
Saint Martin	Sant-Martin (enez)
Saint Nicholas	Nikolaz a vMyra
Saint Peter	Pêr (abostol)
Saint Petersburg	Sankt-Peterbourg
Saladin	Saladin
Salvador	Salvador da Bahia
Salzburg	Salzburg
Salzburg (state)	Salzburg (stad)
Samara	Samara (kêr Rusia)
Samarkand	Samarkand
Samuel Beckett	Samuel Beckett
Samurai	Samourai
San Francisco	San Francisco (Kalifornia)
San Marino	San Marino
San Marino	Città di San Marino
Sand	Traezh
Sandro Botticelli	Sandro Botticelli
Sandwich	Sandwich
Sanskrit	Sañskriteg
Santiago	Santiago de Chile
Santiago	Santiago
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo (kêr)
Sappho	Sapfo
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Sarcophagus	Sarkofagenn
Sardinia	Sardigna
Saturday	Sadorn (deiz)
Saturn	Sadorn (planedenn)
Saturn (disambiguation)	Sadorn
Saturn (mythology)	Sadorn (doue)
Satyr	Satir
Saudi Arabia	Arabia Saoudat
Saudi Arabia	Rummad:Arabia Saoudat
Scandinavia	Skandinavia
Scandinavia	Rummad:Skandinavia
Scheldt	Escaut
Schutzstaffel	SS
Science	Skiant
Science fiction	Skiant-faltazi
Scorpion	Krug
Scotland	Skos
Scotland	Rummad:Bro-Skos
Scottish Gaelic	Gouezeleg Skos
Scrabble	Skrabell
Sculpture	Kizellañ
Sculpture	Rummad:Kizellerezh
Sea	Mor
Sea Otter	Ki-dour mor
Sea of Marmara	Mor Marmara
Sea urchin	Teureuged
Seine	Saena
Seismology	Seismologiezh
Semantics	Semantik
Senegal	Senegal
September	Gwengolo
September 11	11 Gwengolo
September 17	17 Gwengolo
September 29	29 Gwengolo
Serbia	Serbia
Set (mythology)	Seth
Seychelles	Sechelez
Shanghai	Shanghai
Shogun	Shogun
Siberia	Siberia
Sicily	Sikilia
Sicily	Rummad:Sikilia
Sierra Leone	Sierra Leone
Sierra Leone	Rummad:Sierra Leone
Sigma	Sigma (lizherenn)
Sigmund Freud	Sigmund Freud
Sigrid Undset	Sigrid Undset
Sikhism	Sikhegezh
Silesia	Silezia
Silk Road	Hent ar seiz
Silurian	Silurian
Simone de Beauvoir	Simone de Beauvoir
Singapore	Singapour
Skepticism	Amgredoni
Slavery	Sklaverezh
Slayer	Slayer
Slovakia	Slovakia
Slovakia	Rummad:Slovakia
Slovenia	Slovenia
Snake	Naer
Socialist Party (France)	Strollad Sokialour Gall
Sociolinguistics	Sokioyezhoniezh
Socrates	Sokrates
Sofia	Sofia
Software	Rummad:Meziantoù
Solar System	Koskoriad an Heol
Solidarity	Solidarność
Somalia	Somalia
Somerset	Somerset
Somme	Somme (departamant)
Sophocles	Sofokles
South	Su
South America	Suamerika
South America	Rummad:Suamerika
South Carolina	South Carolina
South Dakota	South Dakota
South Korea	Republik Korea
Soviet Union	Unaniezh ar Republikoù Sokialour ha Soviedel
Soviet Union	Rummad:Unaniezh ar Republikoù Sokialour Soviedel
Spain	Spagn
Spain	Rummad:Spagn
Sparta	Sparta (kêr)
Species	Spesad
Speed of light	Tizh ar gouloù
Spice	Spis (temz)
Sport	Sport
Spree	Spree
Spring (season)	Nevezamzer
Sri Lanka	Sri Lanka
Stalinism	Stalinouriezh
Stanley Kubrick	Stanley Kubrick
Star of David	Steredenn David
State	Stad
Statistics	Statistikoù
Statue of Liberty	Delwenn ar frankiz
Stefan Zweig	Stefan Zweig
Stegosaurus	Stegosaor
Stendhal	Stendhal
Steven Spielberg	Steven Spielberg
Stockholm	Stockholm
Stoicism	Stoikegezh
Storm	Korventenn
Strait	Strizh-mor
Strait of Gibraltar	Strizh-mor Jibraltar
Strait of Magellan	Strizh-mor Magalhaes
Stuttgart	Stuttgart
Styx	Styx River
Submarine	Lestr-spluj
Subtraction	Lamadur
Sucre	Sucre
Sudan	Soudan
Sudoku	Sudoku
Suez Canal	Kanol Suez
Suffix	Lostger
Sulfur mustard	Iperit
Sulfuric acid	Trenkenn sulfurek
Sultan	Sultan
Sumer	Sumer
Summer	Hañv
Sun	Heol
Sunday	Sul (deiz)
Suriname	Surinam
Surrey	Kontelezh Surrey
Svalbard	Svalbard
Swaziland	Swaziland
Sweden	Sveden
Sweden	Rummad:Sveden
Switzerland	Suis
Sword	Kleze
Sydney	Sydney
Syllable	Silabenn
Syndicate	Sindikad
Syntax	Kevreadurezh
Syracuse	Sirakuza
Syria	Siria
T	T (lizherenn)
T. E. Lawrence	Thomas Edward Lawrence
Table (furniture)	Taol (arrebeuri)
Tacitus	Tacitus
Tai chi chuan	Taichichuan
Tajikistan	Tadjikistan
Tajikistan	Rummad:Tadjikistan
Tallinn	Tallinn
Tamil Nadu	Tamil Nadu
Tanakh	Tanac'h
Tanzania	Tanzania
Tanzania	Rummad:Tanzania
Tarn	Tarn (departamant)
Tarragon	Stragon
Tartarus	Tartaros
Tartu	Tartu
Tattoo	Tatouadur
Tau	Tau (lizherenn)
Taxonomy	Taksinomiezh
Tbilisi	Tbilisi
Tea	Te
Techno	Tekno
Technology	Greanterezh
Telecommunication	Pellgehenterezhioù
Temperature	Gwrezverk
Tennessee	Tennessee (stad)
Tennis	Rummad:Tennis
Termite	Laou-koad
Terpsichore	Terpsic'hora
Terrorism	Sponterezh
Tethys (mythology)	Tethys
Texas	Texas
Thailand	Thailand
Thales	Thales Miletos
Thanatos	Thanatos
The Gambia	Gambia
Theatre	C'hoariva
Thebe (moon)	Thebe (loarenn)
Thebes	Thebai
Thebes	Teba (Egipt)
Theia	Theia
Themis	Themis
Themistocles	Themistokles
Theodosius I	Teodosius Iañ
Theology	Doueoniezh
Theseus	Theseüs
Theta	Theta (lizherenn)
Third Crusade	Trede kroaziadeg
Thirty Years' War	Brezel Tregont Vloaz
Thomas Aquinas	Tommaso d'Aquino
Thomas Edison	Thomas Edison
Thomas Hobbes	Thomas Hobbes
Thomas More	Thomas More
Thoth	Tot
Thrace	Trakia
Thucydides	Thoukydides
Thursday	Yaou (deiz)
Tianjin	Tianjin
Tiber	Tiber (stêr)
Tiberius	Tiber
Tibet	Tibet
Ticino	Kanton Ticino
Tide	Tre ha lanv
Tiger	Tigr
Titan (moon)	Titan (loarenn)
Titan (mythology)	Titaned
Titian	Tizian
Titus	Titus (impalaer)
Tivoli	Tivoli
Togo	Togo
Tonga	Tonga
Tony Blair	Tony Blair
Topeka	Topeka, Kansas
Torah	Torah
Toronto	Toronto
Totalitarianism	Hollveliouriezh
Tourism	Touristerezh
Tours	Teurgn
Trade union	Sindikad
Tradition	Hengoun
Train station	Porzh-houarn
Transliteration	Treuzlizherennadur
