Czech	English
Allen Ginsberg	Allen Ginsberg
Alergie	Allergy
Aliterace	Alliteration
Alofon	Allophone
Allosaurus	Allosaurus
Alotropie	Allotropy
Slitina	Alloy
Almanach	Almanac
Almaty	Almaty
Alfa Centauri	Alpha Centauri
Alfa částice	Alpha particle
Abeceda	Alphabet
Alpy	Alps
Kategorie:Alpy	Alps
Alsasko	Alsace
Altair	Altair
Oltář	Altar
Altaj (pohoří)	Altay Mountains
Střídavý proud	Alternating current
Kategorie:Alternativní medicína	Alternative medicine
Altruismus	Altruism
Hliník	Aluminium
Oxid hlinitý	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimerova choroba	Alzheimer's disease
Muchomůrka červená	Amanita muscaria
Muchomůrka zelená	Amanita phalloides
Amarylkovité	Amaryllidaceae
Amaterasu	Amaterasu
Amazonka	Amazon River
Vyslanec	Ambassador
Jantar	Amber
Ambrosius	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhartová	Amelia Earhart
Bizon americký	American Bison
Medvěd baribal	American Black Bear
Americká občanská válka	American Civil War
Americká válka za nezávislost	American Revolutionary War
Americká Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Americký fotbal	American football
Kategorie:Americký fotbal	American football
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametyst	Amethyst
Amharština	Amharic
Amidy	Amide
Aminy	Amine
Aminokyseliny	Amino acid
Amišové	Amish
Ammán	Amman
Ampérmetr	Ammeter
Amoniak	Ammonia
Amnézie	Amnesia
Amnestie	Amnesty
Ampér	Ampere
Obojživelníci	Amphibian
Amfiteátr	Amphitheatre
Amfora	Amphora
Amplituda	Amplitude
Amsterdam	Amsterdam
Amon	Amun
Amur	Amur
Novokřtěnci	Anabaptist
Anagram	Anagram
Anaheim	Anaheim
Anální sex	Anal sex
Analytická geometrie	Analytic geometry
Anarchismus	Anarchism
Kategorie:Anarchismus	Anarchism
Anarchie	Anarchy
Kachnovití	Anatidae
Anatole France	Anatole France
Kategorie:Anatomie	Anatomy
Anatomie	Anatomy
Anaxagorás	Anaxagoras
Anaximandros	Anaximander
Kotva (lodní)	Anchor
Anchorage	Anchorage
Starořečtina	Ancient Greek
Kategorie:Starověk	Ancient history
Andalusie	Andalusia
Andamanské moře	Andaman Sea
Anders Celsius	Anders Celsius
Andy	Andes
Ándhrapradéš	Andhra Pradesh
Andorra	Andorra
Kategorie:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrej Dmitrijevič Sacharov	Andrei Sakharov
Andrej Tarkovskij	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Souhvězdí Andromedy	Andromeda (constellation)
Andromeda (mytologie)	Andromeda (mythology)
Galaxie v Andromedě	Andromeda Galaxy
Andy Warhol	Andy Warhol
Chudokrevnost	Anemia
Anemometr	Anemometer
Anestezie	Anesthesia
Angara	Angara River
Anděl	Angel
Salto Ángel	Angel Falls
Úhel	Angle
Anglikánství	Anglicanism
Angola	Angola
Kategorie:Angola	Angola
Anguilla	Anguilla
Moment hybnosti	Angular momentum
Úhlová rychlost	Angular velocity
Anicius Manlius Severinus Boëthius	Anicius Manlius Severinus Boethius
Anilin	Aniline
Živočichové	Animal
Animace	Animation
Anime	Anime
Kategorie:Anime	Anime
Animismus	Animism
Bedrník anýz	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anna Boleynová	Anne Boleyn
Kroužkovci	Annelid
Anno Domini	Anno Domini
Anoda	Anode
Mentální anorexie	Anorexia nervosa
Vrubozobí	Anseriformes
Kategorie:Vrubozobí	Anseriformes
Mravencovití	Ant
Antiochie	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarktida	Antarctica
Kategorie:Antarktida	Antarctica
Antares	Antares
Anténa	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Anthrax	Anthrax
Antropologie	Anthropology
Kategorie:Antropologie	Anthropology
Antroposofie	Anthroposophy
Antibiotikum	Antibiotic
Protilátka	Antibody
Antikrist	Antichrist
Anticyklóna	Anticyclone
Antigen	Antigen
Antigona	Antigone
Antigua a Barbuda	Antigua and Barbuda
Kategorie:Antigua a Barbuda	Antigua and Barbuda
Antihmota	Antimatter
Antimon	Antimony
Antioxidant	Antioxidant
Vzdoropapež	Antipope
Antisemitismus	Antisemitism
Kategorie:Antisemitismus	Antisemitism
Souhvězdí Vývěvy	Antlia
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Pavlovič Čechov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonymum	Antonym
Antverpy	Antwerp
Antverpy (provincie)	Antwerp (province)
Anup	Anubis
Řitní otvor	Anus
Aorta	Aorta
Apačové	Apache
Apatit	Apatite
Aforismus	Aphorism
Afrodita	Aphrodite
Apia	Apia
Miříkovité	Apiaceae
Apokryf	Apocrypha
Apollón	Apollo
Apollo	Apollo (disambiguation)
Program Apollo	Apollo program
Kategorie:Program Apollo	Apollo program
Apoptóza	Apoptosis
Appalačské pohoří	Appalachian Mountains
Apendicitida	Appendicitis
Jablko	Apple
Aplikovaná matematika	Applied mathematics
Meruňka obecná	Apricot
Duben	April
14. duben	April 14
Apríl	April Fools' Day
Apsida (architektura)	Apse
Apulie	Apulia
Souhvězdí Rajky	Apus
Akaba	Aqaba
Lučavka královská	Aqua regia
Akvamarín	Aquamarine
Akvárium	Aquarium
Souhvězdí Vodnáře	Aquarius (constellation)
Akvadukt	Aqueduct
Souhvězdí Orla	Aquila (constellation)
Akvitánie	Aquitaine
Souhvězdí Oltáře	Ara (constellation)
Arabové	Arab
Liga arabských států	Arab League
Arabský poloostrov	Arabian Peninsula
Arabské moře	Arabian Sea
Arabské písmo	Arabic alphabet
Arabština	Arabic language
Árónovité	Araceae
Pavoukovci	Arachnid
Arafurské moře	Arafura Sea
Aragonie	Aragon
Aralské jezero	Aral Sea
Aram Iljič Chačaturjan	Aram Khachaturian
Arkádie	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Archeologie	Archaeology
Kategorie:Archeologie	Archaeology
Archaeopteryx	Archaeopteryx
Archanděl	Archangel
Arcibiskup	Archbishop
Archaikum	Archean
Archetyp	Archetype
Archimédés	Archimedes
Souostroví	Archipelago
Architekt	Architect
Architektura	Architecture
Kategorie:Architektura	Architecture
Archiv	Archive
Archosauři	Archosaur
Arktida	Arctic
Severní polární kruh	Arctic Circle
Severní ledový oceán	Arctic Ocean
Liška polární	Arctic fox
Ardenny	Ardennes
Ardennes (departement)	Ardennes (department)
Ar (jednotka plochy)	Are
Obsah	Area
Arekovité	Arecaceae
Áres	Ares
Argentina	Argentina
Kategorie:Argentina	Argentina
Argon	Argon
Árie	Aria
Ariadna	Ariadne
Ariánství	Arianism
Souhvězdí Berana	Aries (constellation)
Aristarchos ze Samu	Aristarchus of Samos
Aristofanés	Aristophanes
Aristotelés	Aristotle
Aritmetika	Arithmetic
Kategorie:Aritmetika	Arithmetic
Aritmetická posloupnost	Arithmetic progression
Areios	Arius
Arizona	Arizona
Kategorie:Arizona	Arizona
Archa úmluvy	Ark of the Covenant
Arkansas	Arkansas
Kategorie:Arkansas	Arkansas
Arles	Arles
Arménie	Armenia
Kategorie:Arménie	Armenia
Arménština	Armenian language
Arminius	Arminius
Zbroj	Armour
Armáda	Army
Arnhem	Arnhem
Arno	Arno River
Arnold Schoenberg	Arnold Schoenberg
Areny	Aromatic hydrocarbon
Arkebuza	Arquebus
Šíp	Arrow
Arsen	Arsenic
Umění	Art
Art deco	Art Deco
Secese	Art Nouveau
Dějiny umění	Art history
Artemis	Artemis
Pelyněk	Artemisia (plant)
Pelyněk pravý	Artemisia absinthium
Členovci	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, první vévoda z Wellingtonu	Arthur Wellesley
Umělá inteligence	Artificial intelligence
Kategorie:Umělá inteligence	Artificial intelligence
Dělostřelectvo	Artillery
Kategorie:Dělostřelectvo	Artillery
Umělec	Artist
Kategorie:Umění	Arts
Aruba	Aruba
Kategorie:Aruba	Aruba
Azbest	Asbestos
Asklépios	Asclepius
Asexualita	Asexuality
Ásgard	Asgard
Popeleční středa	Ash Wednesday
Asie	Asia
Kategorie:Asie	Asia
Asmara	Asmara
Aspartam	Aspartame
Asfalt	Asphalt
Kyselina acetylsalicylová	Aspirin
Ásám (indický stát)	Assam
Atentát	Assassination
Assembler	Assembly language
Sdružení národů jihovýchodní Asie	Association of Southeast Asian Nations
Asýrie	Assyria
Kategorie:Asýrie	Assyria
Astana	Astana
Astat	Astatine
Hvězdnicovité	Asteraceae
Kategorie:Hvězdnicovité	Asteraceae
Asteroid	Asteroid
Hlavní pás	Asteroid belt
Astenosféra	Asthenosphere
Astma	Asthma
Astigmatismus (medicína)	Astigmatism (eye)
Astrachaň	Astrakhan
Astrobiologie	Astrobiology
Astroláb	Astrolabe
Astrologie	Astrology
Kategorie:Astrologie	Astrology
Astrometrie	Astrometry
Kosmonaut	Astronaut
Astronomická jednotka	Astronomical unit
Astronomie	Astronomy
Kategorie:Astronomie	Astronomy
Portál:Astronomie	Astronomy
Astrofyzika	Astrophysics
Kategorie:Astrofyzika	Astrophysics
Asuán	Aswan
Asymptota	Asymptote
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama	Atacama Desert
Kategorie:Ateismus	Atheism
Athéna	Athena
Athény	Athens
Kategorie:Atletika	Athletics
Atletika	Athletics (track and field)
Atlanta	Atlanta
Atlantský oceán	Atlantic Ocean
Kategorie:Atlantský oceán	Atlantic Ocean
Atlantida	Atlantis
Atlas	Atlas (disambiguation)
Atlas (měsíc)	Atlas (moon)
Atlás (mytologie)	Atlas (mythology)
Atlas (pohoří)	Atlas Mountains
Atmosféra	Atmosphere
Atmosféra (jednotka)	Atmosphere (unit)
Atmosférický tlak	Atmospheric pressure
Atol	Atoll
Atom	Atom
Atomové hodiny	Atomic clock
Relativní atomová hmotnost	Atomic mass
Atomová hmotnostní konstanta	Atomic mass unit
Atomové číslo	Atomic number
Atomová fyzika	Atomic physics
Átreus	Atreus
Atropin	Atropine
Attika	Attica
Attila	Attila the Hun
AU	Au
Auckland	Auckland
Aukce	Auction
Srpen	August
1. srpen	August 1
15. srpen	August 15
6. srpen	August 6
August Strindberg	August Strindberg
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustinus	Augustine of Hippo
Augustus	Augustus
Souhvězdí Vozky	Auriga (constellation)
Aurora	Aurora
Polární záře	Aurora (astronomy)
Austin	Austin
Austrálie	Australia
Kategorie:Austrálie	Australia
Australský dolar	Australian dollar
Australopithecus	Australopithecus
Rakousko	Austria
Kategorie:Rakousko	Austria
Rakousko-Uhersko	Austria-Hungary
Autor	Author
Autorita	Authority
Autismus	Autism
Motorsport	Auto racing
Autobiografie	Autobiography
Automobil	Automobile
Autotrofie	Autotroph
Podzim	Autumn
Auvergne	Auvergne (region)
Lavina	Avalanche
Avantgarda	Avant-garde
Oves	Avena
Averroes	Averroes
Avesta	Avesta
Kategorie:Letectví	Aviation
Letectví	Aviation
Avicenna	Avicenna
Avignon	Avignon
Hruškovec přelahodný	Avocado
Avogadrův zákon	Avogadro's law
Sekera	Axe
Axiom	Axiom
Axon	Axon
Ájatolláh	Ayatollah
Ázerbájdžán	Azerbaijan
Kategorie:Ázerbájdžán	Azerbaijan
Azimut	Azimuth
Azory	Azores
Aztécká říše	Aztec
Azurit	Azurite
B	B
BASIC	BASIC
Babylon	Babylon
Babylonie	Babylonia
Vrhcáby	Backgammon
Bakterie	Bacteria
Kategorie:Bakterie	Bacteria
Bakteriofág	Bacteriophage
Velbloud dvouhrbý	Bactrian Camel
Badminton	Badminton
Baffinův záliv	Baffin Bay
Baffinův ostrov	Baffin Island
Bagdád	Baghdad
Kategorie:Bahamy	Bahamas
Bahrajn	Bahrain
Kategorie:Bahrajn	Bahrain
Baku	Baku
Balalajka	Balalaika
Rozvaha	Balance sheet
Baldr	Baldr
Baleáry	Balearic Islands
Kosticovci	Baleen whale
Bali	Bali
Balkánské války	Balkan Wars
Balkán	Balkans
Míč	Ball
Balet	Ballet
Kategorie:Balet	Ballet
Balistická raketa	Ballistic missile
Propisovací tužka	Ballpoint pen
Baltské moře	Baltic Sea
Baltimore	Baltimore
Bamako	Bamako
Bambus	Bamboo
Banán	Banana
Banánová republika	Banana republic
Bengalúru	Bangalore
Bangkok	Bangkok
Bangladéš	Bangladesh
Kategorie:Bangladéš	Bangladesh
Bangui	Bangui
Banjul	Banjul
Banka	Bank
Bankovka	Banknote
Kategorie:Banky	Banks
Křest	Baptism
Baptisté	Baptist
Bar (jednotka)	Bar (unit)
Barbados	Barbados
Kategorie:Barbados	Barbados
Barbar	Barbarian
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Kategorie:Barcelona	Barcelona
Barentsovo moře	Barents Sea
Bari	Bari
Baryum	Barium
Ječmen	Barley
Sova pálená	Barn Owl
Vlaštovka obecná	Barn Swallow
Barometr	Barometer
Baron	Baron
Baroko	Baroque
Barranquilla	Barranquilla
Barel	Barrel (unit)
Baryon	Baryon
Čedič	Basalt
Zásaditost	Base (chemistry)
Baseball	Baseball
Kategorie:Baseball	Baseball
Basilej	Basel
Bash	Bash
Stopkovýtrusné houby	Basidiomycota
Bazalka pravá	Basil
Basileios Veliký	Basil of Caesarea
Bazilika	Basilica
Basilicata	Basilicata
Basiliskos	Basiliscus
Bazilišek	Basilisk
Basketbal	Basketball
Kategorie:Basketbal	Basketball
Basra	Basra
Basová kytara	Bass guitar
Dolní Normandie	Basse-Normandie
Fagot	Bassoon
Bastila	Bastille
Letouni	Bat
Bath	Bath
Batman (komiks)	Batman
Prapor (jednotka)	Battalion
Bitva u Slavkova	Battle of Austerlitz
Bitva o Británii	Battle of Britain
Bitva u Hastingsu	Battle of Hastings
Bitva u Lepanta (1571)	Battle of Lepanto (1571)
Bitva u Marathonu	Battle of Marathon
Bitva u Midway	Battle of Midway
Bitva u Thermopyl	Battle of Thermopylae
Bitva u Trafalgaru	Battle of Trafalgar
Bitva u Verdunu	Battle of Verdun
Bitva u Waterloo	Battle of Waterloo
Bitva v Ardenách	Battle of the Bulge
Bitva na Sommě	Battle of the Somme
Bitevní loď	Battleship
Bauhaus (výtvarná škola)	Bauhaus
Bauxit	Bauxite
Bavorsko	Bavaria
Kategorie:Bavorsko	Bavaria
Vavřín ušlechtilý	Bay Laurel
Bengálský záliv	Bay of Bengal
Biskajský záliv	Bay of Biscay
Bayer	Bayer
Bajonet	Bayonet
Bayonne	Bayonne
Pláž	Beach
Bígl	Beagle
Zobák	Beak
Medvědovití	Bear
Beaufortova stupnice	Beaufort scale
Bobr	Beaver
Bebop	Bebop
Becquerel	Becquerel
Postel	Bed
Beda Venerabilis	Bede
Beduíni	Bedouin
Včela	Bee
Kategorie:Včelařství	Beekeeping
Pivo	Beer
Kategorie:Pivo	Beer
Brouci	Beetle
Behaviorismus	Behaviorism
Peking	Beijing
Bejrút	Beirut
Bělorusko	Belarus
Kategorie:Bělorusko	Belarus
Belfast	Belfast
Belgie	Belgium
Kategorie:Belgie	Belgium
Bělehrad	Belgrade
Belisar	Belisarius
Belize	Belize
Kategorie:Belize	Belize
Zvon	Bell (instrument)
Bellerofontés	Bellerophon
Břišní tanec	Belly dance
Belo Horizonte	Belo Horizonte
Běluha severní	Beluga
Benelux	Benelux
Bengálsko	Bengal
Benghází	Benghazi
Benin	Benin
Kategorie:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Beowulf	Beowulf
Bergen	Bergen
Beringovo moře	Bering Sea
Beringův průliv	Bering Strait
Berkelium	Berkelium
Berlín	Berlin
Kategorie:Berlín	Berlin
Bermudy	Bermuda
Kategorie:Bermudy	Bermuda
Bermudský trojúhelník	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Bobule	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beryl
Beryllium	Beryllium
Betelgeuze	Betelgeuse
Betlém	Bethlehem
Beverly Hills	Beverly Hills
Bhútán	Bhutan
Kategorie:Bhútán	Bhutan
Bible	Bible
Kategorie:Bible	Bible
Jízdní kolo	Bicycle
Velký třesk	Big Bang
Bihár	Bihar
Bikiny	Bikini
Žluč	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Dvojhvězda	Binary star
Triedr	Binoculars
Biochemie	Biochemistry
Kategorie:Biochemie	Biochemistry
Biologická diverzita	Biodiversity
Biografie	Biography
Biologická zbraň	Biological warfare
Biologie	Biology
Kategorie:Biologie	Biology
Portál:Biologie	Biology
Biomasa	Biomass
Biom	Biome
Biometrie	Biometrics
Biofyzika	Biophysics
Biopsie	Biopsy
Biosféra	Biosphere
Biotechnologie	Biotechnology
Kategorie:Biotechnologie	Biotechnology
Vitamín H	Biotin
Bipolární afektivní porucha	Bipolar disorder
Bříza	Birch
Ptáci	Bird
Antikoncepce	Birth control
Bisexualita	Bisexuality
Biškek	Bishkek
Biskup	Bishop
Střelec (šachy)	Bishop (chess)
Bismarck	Bismarck (disambiguation)
Bismut	Bismuth
Bissau	Bissau
Bit	Bit
Bithýnie	Bithynia
Mlži	Bivalvia
Černá	Black
Schwarzwald	Black Forest
Luňák hnědý	Black Kite
Černé moře	Black Sea
Čáp černý	Black Stork
Absolutně černé těleso	Black body
Černá díra	Black hole
Pepř černý	Black pepper
Kos černý	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Slepota	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Krev	Blood
Krevní plazma	Blood plasma
Tlak krve	Blood pressure
Krevní skupina	Blood type
Céva	Blood vessel
Modrá	Blue
Plejtvák obrovský	Blue Whale
Blues	Blues
Prase divoké	Boar
Desková hra	Board game
Člun	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Robert J. Fischer	Bobby Fischer
Bódhisattva	Bodhisattva
Index tělesné hmotnosti	Body mass index
Kulturistika	Bodybuilding
Čechy	Bohemia
Bohrium	Bohrium
Teplota varu	Boiling point
Boise	Boise
Hřib smrkový	Boletus edulis
Bolívie	Bolivia
Kategorie:Bolívie	Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolzano	Bolzano
Bomba	Bomb
Bombardér	Bomber
Bourec morušový	Bombyx mori
Dluhopis	Bond (finance)
Kost	Bone
Kostní dřeň	Bone marrow
Bonn	Bonn
Bonsaj	Bonsai
Kniha	Book
Kniha Ester	Book of Esther
Kniha Jozue	Book of Joshua
Kniha Soudců	Book of Judges
Numeri	Book of Numbers
Zjevení Janovo	Book of Revelation
Kniha Rút	Book of Ruth
Booleova algebra	Boolean algebra (structure)
Bumerang	Boomerang
Bordeaux	Bordeaux
Boris Fjodorovič Godunov	Boris Godunov
Boris Leonidovič Pasternak	Boris Pasternak
Boris Spasskij	Boris Spassky
Bor (prvek)	Boron
Bosna a Hercegovina	Bosnia and Herzegovina
Kategorie:Bosna a Hercegovina	Bosnia and Herzegovina
Boson	Boson
Bospor	Bosporus
Boston	Boston
Bostonské pití čaje	Boston Tea Party
Šablona:Bot	Bot
Botanická zahrada	Botanical garden
Botanika	Botany
Kategorie:Botanika	Botany
Botswana	Botswana
Kategorie:Botswana	Botswana
Láhev	Bottle
Delfín skákavý	Bottlenose Dolphin
Burgundsko	Bourgogne
Bouvetův ostrov	Bouvet Island
Turovití	Bovid
Luk	Bow (weapon)
Bowling	Bowling
Německý boxer	Boxer (dog)
Kategorie:Boxeři	Boxers
Box	Boxing
Kategorie:Box	Boxing
Boyleův-Mariottův zákon	Boyle's law
Závorky	Bracket
Braga	Braga
Brahmá	Brahma
Brahmaputra	Brahmaputra River
Braillovo písmo	Braille
Mozek	Brain
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Braniborsko	Brandenburg
Brandy	Brandy
Mosaz	Brass
Podprsenka	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazílie	Brazil
Kategorie:Brazílie	Brazil
Brazzaville	Brazzaville
Chléb	Bread
Prs	Breast
Karcinom prsu	Breast cancer
Brémy	Bremen
Svobodné hanzovní město Brémy	Bremen (state)
Bremerhaven	Bremerhaven
