Arabic	English
0 (عدد)	0 (number)
1	1
1 (عدد)	1 (number)
10	10
10 (عدد)	10 (number)
100	100
تصنيف:100	100
1000	1000
تصنيف:1000	1000
101	101
105	105
11	11
11 (عدد)	11 (number)
110	110
115	115
12	12
تصنيف:12	12
12 (عدد)	12 (number)
120	120
125	125
13	13
13 (عدد)	13 (number)
130	130
135	135
14	14
تصنيف:14	14
14 (عدد)	14 (number)
140	140
144	144
145	145
15	15
15 (عدد)	15 (number)
150	150
عقد 1530	1530s
155	155
16	16
تصنيف:16	16
16 (عدد)	16 (number)
160	160
165	165
17	17
تصنيف:17	17
17 (عدد)	17 (number)
170	170
1728	1728
تصنيف:1728	1728
175	175
عقد 1750	1750s
تصنيف:عقد 1750	1750s
عقد 1760	1760s
تصنيف:عقد 1760	1760s
عقد 1770	1770s
تصنيف:عقد 1770	1770s
عقد 1780	1780s
تصنيف:عقد 1780	1780s
عقد 1790	1790s
تصنيف:عقد 1790	1790s
18	18
18 (عدد)	18 (number)
180	180
عقد 1820	1820s
تصنيف:عقد 1820	1820s
عقد 1830	1830s
تصنيف:عقد 1830	1830s
عقد 1840	1840s
تصنيف:عقد 1840	1840s
عقد 1850	1850s
عقد 1860	1860s
تصنيف:عقد 1860	1860s
عقد 1870	1870s
تصنيف:عقد 1870	1870s
عقد 1880	1880s
تصنيف:عقد 1880	1880s
عقد 1890	1890s
تصنيف:عقد 1890	1890s
19	19
19 (عدد)	19 (number)
190	190
عقد 1900	1900s
تصنيف:عقد 1900	1900s
عقد 1920	1920s
تصنيف:عقد 1920	1920s
عقد 1930	1930s
تصنيف:عقد 1930	1930s
عقد 1940	1940s
تصنيف:عقد 1940	1940s
عقد 1950	1950s
تصنيف:عقد 1950	1950s
عقد 1960	1960s
تصنيف:عقد 1960	1960s
عقد 1970	1970s
تصنيف:عقد 1970	1970s
عقد 1980	1980s
تصنيف:عقد 1980	1980s
عقد 1990	1990s
تصنيف:عقد 1990	1990s
2	2
2 (عدد)	2 (number)
20	20
20 (عدد)	20 (number)
