Galician	English
Alfa (letra)	Alpha (letter)
Alfa Centauri	Alpha Centauri
Alfabeto	Alphabet
Alpes	Alps
Alsacia	Alsace
Altair	Altair
Altar	Altar
Corrente alterna	Alternating current
Aluminio	Aluminium
Óxido de aluminio	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimer	Alzheimer's disease
Amanita muscaria	Amanita muscaria
Amaterasu - 天照	Amaterasu
Río Amazonas	Amazon River
Ámbar	Amber
Ambrosio de Milán	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Guerra Civil Estadounidense	American Civil War
Samoa Americana	American Samoa
ASCII	American Standard Code for Information Interchange
Americio	Americium
Aminoácido	Amino acid
Amán - عمان	Amman
Amperímetro	Ammeter
Amoníaco	Ammonia
Amnistía	Amnesty
Ampere	Ampere
Anfetamina	Amphetamine
Anfibio	Amphibian
Amplitude	Amplitude
Ámsterdam - Amsterdam	Amsterdam
Amón	Amun
Río Amur	Amur
Anagrama	Anagram
Anaheim, California	Anaheim
Sexo anal	Anal sex
Anarquismo	Anarchism
Categoría:Anarquismo	Anarchism
Anarquía	Anarchy
Categoría:Anatomía	Anatomy
Anatomía	Anatomy
Anaxágoras de Clazomenas	Anaxagoras
Anaximandro de Mileto	Anaximander
Anchorage, Alasca	Anchorage
Grego antigo	Ancient Greek
Andalucía	Andalusia
Anders Celsius	Anders Celsius
Andes	Andes
Andra Pradex	Andhra Pradesh
Andorra	Andorra
Categoría:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrei Tarkovski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Androide	Android
Andrómeda (homónimos)	Andromeda
Andrómeda (constelación)	Andromeda (constellation)
Andrómeda	Andromeda (mythology)
NGC 224	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anemómetro	Anemometer
Anxo (cristianismo)	Angel
Ángulo	Angle
Igrexa Anglicana	Anglicanism
Angola	Angola
Categoría:Angola	Angola
Anguila - Anguilla	Anguilla
Momento angular	Angular momentum
Anicio Boecio	Anicius Manlius Severinus Boethius
Animalia	Animal
Gandería	Animal husbandry
Animación	Animation
Anime	Anime
Anís	Anise
Ancara - Ankara	Ankara
Annapolis, Maryland	Annapolis
Annapurna	Annapurna
Ana Bolena	Anne Boleyn
Annelida	Annelid
Anorexia nerviosa	Anorexia nervosa
Formiga	Ant
Antioquía	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antártida	Antarctica
Antares	Antares
Antropoloxía	Anthropology
Categoría:Antropoloxía	Anthropology
Antibiótico	Antibiotic
Antígona	Antigone
Antiga e Barbuda - Antigua and Barbuda	Antigua and Barbuda
Categoría:Antiga e Barbuda	Antigua and Barbuda
Antimateria	Antimatter
Antimonio	Antimony
Antioxidante	Antioxidant
Antipapa	Antipope
Antisemitismo	Antisemitism
Antlia	Antlia
Antofagasta	Antofagasta
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antonimia	Antonym
Antuerpen - Antwerpen	Antwerp
Provincia de Antwerp	Antwerp (province)
Pobo apache	Apache
Afasia	Aphasia
Aforismo	Aphorism
Afrodita	Aphrodite
Apia	Apia
Apolo	Apollo
Misión Apolo	Apollo program
Apoptose	Apoptosis
Apalaches	Appalachian Mountains
Maceira	Apple
Albaricoque	Apricot
Abril	April
14 de abril	April 14
Ábsida	Apse
Puglia	Apulia
Apus	Apus
Augamariña	Aquamarine
Acuario (recipiente)	Aquarium
Aquarius	Aquarius (constellation)
Acueduto	Aqueduct
Aquila	Aquila (constellation)
Aquitania	Aquitaine
Ara	Ara (constellation)
Liga Árabe	Arab League
Península de Arabia	Arabian Peninsula
Mar Arábigo	Arabian Sea
Alfabeto árabe	Arabic alphabet
Lingua árabe	Arabic language
Aragón	Aragon
Mar de Aral	Aral Sea
Arco (arquitectura)	Arch
Arqueoloxía	Archaeology
Category:Arqueoloxía	Archaeology
Arcebispo	Archbishop
Arquimedes	Archimedes
Arquipélago	Archipelago
Arquitectura	Architecture
Categoría:Arquitectura	Architecture
Arquivo	Archive
Ártico	Arctic
Círculo Polar Ártico	Arctic Circle
Océano Ártico	Arctic Ocean
Ardennes	Ardennes (department)
Ares (deus)	Ares
Arxentina - Argentina	Argentina
Categoría:Arxentina	Argentina
Argon	Argon
Arianismo	Arianism
Aries	Aries (constellation)
Aristarco de Samos	Aristarchus of Samos
Aristocracia	Aristocracy
Aristófanes	Aristophanes
Aristóteles	Aristotle
Aritmética	Arithmetic
Ario	Arius
Arizona	Arizona
Arcansas	Arkansas
Arles	Arles
Armenia - Հայաստան	Armenia
Categoría:Armenia	Armenia
Lingua armenia	Armenian language
Arminio	Arminius
Armadura	Armour
Exército	Army
Arnhem	Arnhem
Río Arno	Arno River
Arcabuz	Arquebus
Arras	Arras
Arsénico	Arsenic
Arte	Art
Art Nouveau	Art Nouveau
Categoría:Historia da Arte	Art history
Historia da arte	Art history
Ártemis	Artemis
Absintio	Artemisia absinthium
Artrópodo	Arthropod
Arthur Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, duque de Wellington	Arthur Wellesley
Intelixencia artificial	Artificial intelligence
Categoría:Intelixencia artificial	Artificial intelligence
Artillería	Artillery
Categoría:Arte e Cultura	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Amianto	Asbestos
Asclepio	Asclepius
Assurbanipal	Ashurbanipal
Asia	Asia
Categoría:Asia	Asia
Asmara	Asmara
Aspartamo	Aspartame
Asfalto	Asphalt
Aspirina	Aspirin
Assam	Assam
Atentado	Assassination
ASEAN	Association of Southeast Asian Nations
Asiria	Assyria
Astana - Астана	Astana
Astato	Astatine
Asteroide	Asteroid
Cinto de asteroides	Asteroid belt
Astenosfera	Asthenosphere
Asma	Asthma
Astigmatismo	Astigmatism (eye)
Astrakhan - А́страхань	Astrakhan
Astrobioloxía	Astrobiology
Astrolabio	Astrolabe
Astronauta	Astronaut
Astrónomo	Astronomer
Unidade astronómica	Astronomical unit
Astronomía	Astronomy
Categoría:Astronomía	Astronomy
Astrofísica	Astrophysics
Categoría:Astrofísica	Astrophysics
Asuán - أسوان	Aswan
Deserto do Atacama	Atacama Desert
Atón	Aten
Atenea	Athena
Atenas - Αθήνα	Athens
Atletismo	Athletics (track and field)
Atlanta, Xeorxia	Atlanta
Océano Atlántico	Atlantic Ocean
Atlántida	Atlantis
Atol	Atoll
Átomo	Atom
Número atómico	Atomic number
Física atómica	Atomic physics
Atropina	Atropine
Ática	Attica
Atila	Attila the Hun
Au	Au
Auckland	Auckland
Agosto	August
1 de agosto	August 1
15 de agosto	August 15
6 de agosto	August 6
Augusta, Maine	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Agostiño de Hipona	Augustine of Hippo
Auriga (constelación)	Auriga (constellation)
Aurora polar	Aurora (astronomy)
Austin, Texas	Austin
Australia	Australia
Categoría:Australia	Australia
Australopithecus	Australopithecus
Austria - Österreich	Austria
Categoría:Austria	Austria
Imperio Austrohúngaro	Austria-Hungary
Autor	Author
Autoridade	Authority
Automobilismo	Auto racing
Autobiografía	Autobiography
Automóbil	Automobile
Autótrofo	Autotroph
Outono	Autumn
Avalancha	Avalanche
Vangardas	Avant-garde
Avatar	Avatar
Averroes	Averroes
Avesta	Avesta
Aviación	Aviation
Avicena	Avicenna
Aviñón - Avignon	Avignon
Axioma	Axiom
Aiatolá	Ayatollah
Ayn Rand	Ayn Rand
Acerbaixán - Azərbaycan	Azerbaijan
Categoría:Acerbaixán	Azerbaijan
Acimut	Azimuth
Azores - Açores	Azores
Azteca	Aztec
Azurita	Azurite
B	B
BASIC	BASIC
Baal	Baal
Babilonia	Babylonia
Backgammon	Backgammon
Bacteria	Bacteria
Bádminton	Badminton
Baía de Baffin	Baffin Bay
Illa de Baffin	Baffin Island
Bagdad	Baghdad
Bahrain - البحرين	Bahrain
Categoría:Bahrain	Bahrain
Baixa California - Baja California	Baja California
Bakú - Bakı	Baku
Balder	Baldr
Illas Baleares - Illes Balears	Balearic Islands
Balea	Baleen whale
Bali	Bali
Balcáns	Balkans
Balé	Ballet
Bolígrafo	Ballpoint pen
Mar Báltico	Baltic Sea
Baltimore, Maryland	Baltimore
Bamaco - Bamako	Bamako
Bambú	Bamboo
Banana	Banana
Bangalore - ಬೆಂಗಳೂರು	Bangalore
Bangkok - กรุงเทพมหานคร	Bangkok
Bangladesh - বাংলাদেশ	Bangladesh
Categoría:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Bautismo	Baptism
Bar (unidade)	Bar (unit)
Barbados	Barbados
Categoría:Barbados	Barbados
Barcelona	Barcelona
Mar de Barents	Barents Sea
Bari	Bari
Bario	Barium
Cebada	Barley
Curuxa común	Barn Owl
Andoriña	Barn Swallow
Barroco	Baroque
Barranquilla	Barranquilla
Basalto	Basalt
Béisbol	Baseball
Basilea	Basel
Bash	Bash
Asubiote	Basil
Basilio o Grande	Basil of Caesarea
Basilicata	Basilicata
Basilisco, Emperador	Basiliscus
Baloncesto	Basketball
Categoría:Baloncesto	Basketball
Baixo	Bass guitar
Baixa Normandía	Basse-Normandie
Basseterre	Basseterre
Fagot	Bassoon
Bastilla	Bastille
Batman	Batman
Baton Rouge	Baton Rouge
Batallón	Battalion
Batalla de Inglaterra	Battle of Britain
Batalla de Hastings	Battle of Hastings
Batalla de Lepanto	Battle of Lepanto (1571)
Batalla de Maratón	Battle of Marathon
Batalla das Termópilas	Battle of Thermopylae
Batalla de Trafalgar	Battle of Trafalgar
Batalla de Waterloo	Battle of Waterloo
Acoirazado	Battleship
Bauhaus	Bauhaus
Bauxita	Bauxite
Baviera	Bavaria
Categoría:Baviera	Bavaria
Golfo de Biscaia	Bay of Biscay
Bayer	Bayer
Baiona - Bayonne	Bayonne
Praia	Beach
Oso	Bear
Castor	Beaver
Bebop	Bebop
Cama	Bed
Beda	Bede
Abella	Bee
Cervexa	Beer
Escaravello	Beetle
Beijing - 北京	Beijing
Beirut	Beirut
Bielorrusia - Беларусь	Belarus
Categoría:Bielorrusia	Belarus
Belfast - Béal Feirste	Belfast
Bélxica - België	Belgium
Categoría:Bélxica	Belgium
Belgrado	Belgrade
Belisario	Belisarius
Belice - Belize	Belize
Categoría:Belice	Belize
Belo Horizonte	Belo Horizonte
Benelux	Benelux
República de Benín - République du Bénin	Benin
Categoría:Benín	Benin
Benito Mussolini	Benito Mussolini
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Beowulf, poema	Beowulf
Bergen	Bergen
Mar de Bering	Bering Sea
Estreito de Bering	Bering Strait
Berquelio	Berkelium
Berlín - Berlin	Berlin
Bermuda	Bermuda
Berna - Bern	Berne
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Berilo	Beryl
Berilio	Beryllium
Beta	Beta (letter)
Betelgeuse	Betelgeuse
Bette Davis	Bette Davis
Bey	Bey
Bután - འབྲུག་ཡུལ	Bhutan
Categoría:Bután	Bhutan
Biblia	Bible
Bicicleta	Bicycle
Big Bang	Big Bang
Bihar	Bihar
William Jefferson Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Bioquímica	Biochemistry
Categoría:Bioquímica	Biochemistry
Biodiversidade	Biodiversity
Biografía	Biography
Bioloxía	Biology
Categoría:Bioloxía	Biology
Biomasa	Biomass
Identificación biométrica	Biometrics
Biofísica	Biophysics
Biosfera	Biosphere
Vitamina B7	Biotin
Trastorno bipolar	Bipolar disorder
Paxaro	Bird
Bisexualidade	Bisexuality
Bispo	Bishop
Bismarck, Dacota do Norte	Bismarck
Bismuto	Bismuth
Bisau - Bissau	Bissau
Bit	Bit
Reino de Bitinia	Bithynia
Negro (cor)	Black
Peste negra	Black Death
Selva Negra	Black Forest
Millafre negro	Black Kite
Mar Negro	Black Sea
Cegoña negra	Black Stork
Corpo negro	Black body
Burato negro	Black hole
Merlo	Blackbird
Cegueira	Blindness
Weblog	Blog
Sangue	Blood
Grupo sanguíneo	Blood type
Azul	Blue
Balea azul	Blue Whale
Blues	Blues
Xabaril	Boar
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Índice de masa corporal	Body mass index
Bohemia	Bohemia
Bohrio	Bohrium
Punto de ebulición	Boiling point
Boise, Idaho	Boise
Bolivia	Bolivia
Categoría:Bolivia	Bolivia
Bologna	Bologna
Bolxevique	Bolshevik
Bolzán	Bolzano
Bombardeiro	Bomber
Óso	Bone
Bon - Bonn	Bonn
Bonsai	Bonsai
Libro	Book
Libro de Mormón	Book of Mormon
Álxebra de Boole	Boolean algebra (structure)
Bordeos - Bordeaux	Bordeaux
Boris Pasternak	Boris Pasternak
Boris Spassky	Boris Spassky
Borneo	Borneo
Boro	Boron
Bosnia e Hercegovina - Босна и Херцеговина	Bosnia and Herzegovina
Categoría:Bosnia - Hercegovina	Bosnia and Herzegovina
Bosón	Boson
Bósforo	Bosporus
Boston, Massachusetts	Boston
Modelo:Bot	Bot
Xardín botánico	Botanical garden
Botánica	Botany
Categoría:Botánica	Botany
República de Botsuana - Republic of Botswana	Botswana
Categoría:Botsuana	Botswana
Arroaz	Bottlenose Dolphin
Burguesía	Bourgeoisie
Borgoña - Bourgogne	Bourgogne
Illa Bouvet	Bouvet Island
Bóxer, raza de cans	Boxer (dog)
Boxeo	Boxing
Lei de Boyle	Boyle's law
Braga	Braga
Braille	Braille
Cerebro	Brain
Bram Stoker	Bram Stoker
Brandemburgo - Brandenburg	Brandenburg
Brandy	Brandy
Bratislava	Bratislava
Brasil	Brazil
Categoría:Brasil	Brazil
Brazzaville	Brazzaville
Pan (alimento)	Bread
Bretaña - Breizh	Bretagne
Ponte	Bridge
Brindisi	Brindisi
Brisbane	Brisbane
Columbia Británica - British Columbia	British Columbia
Illas Británicas	British Isles
Illas Virxes Británicas - British Virgin Islands	British Virgin Islands
Brno	Brno
Broadway	Broadway (New York City)
Bromo	Bromine
Bronce	Bronze
Idade do Bronce	Bronze Age
Brooklyn	Brooklyn
Marrón	Brown
Bruxas - Brugge	Bruges
Brunei	Brunei
Categoría:Brunei	Brunei
Bruxelas	Brussels
Bucarest - Bucureşti	Bucharest
Budapest	Budapest
Buda	Buddha
Budismo	Buddhism
Categoría:Budismo	Buddhism
Buddy Holly	Buddy Holly
Bos Aires - Buenos Aires	Buenos Aires
Búfalo, Nova York	Buffalo
Bujumbura	Bujumbura
Bulgaria - България	Bulgaria
Categoría:Bulgaria	Bulgaria
Burocracia	Bureaucracy
Burquina Faso - Burkina Faso	Burkina Faso
Categoría:Burquina Faso	Burkina Faso
Myanmar - ဴမန္မာ	Burma
Categoría:Myanmar	Burma
Categoría:Burundi	Burundi
Bus	Bus (computing)
Buster Keaton	Buster Keaton
Butano	Butane
Manteiga	Butter
Bolboreta	Butterfly
Efecto bolboreta	Butterfly effect
Bydgoszcz	Bydgoszcz
Byte	Byte
C	C
Linguaxe de programación C	C (programming language)
Clive Staples Lewis	C. S. Lewis
CD	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
Cobol	COBOL
Cache	Cache
Cacto	Cactus
Cadmio	Cadmium
Cadmo	Cadmus
Caelum	Caelum
Cesio	Caesium
Cafeína	Caffeine
O Cairo - القاهرة	Cairo
Calais	Calais
Calcita	Calcite
Calcio	Calcium
Cal	Calcium oxide
Cálculo infinitesimal	Calculus
Calendario	Calendar
Calibre	Caliber
California	California
Californio	Californium
Calígula	Caligula
Califa	Caliph
Califato	Caliphate
Caligrafía	Calligraphy
Calisto (satélite)	Callisto (moon)
Caloría	Calorie
John Calvin Coolidge, Jr.	Calvin Coolidge
Calipso	Calypso (mythology)
Camboxa - កម្ពុជា	Cambodia
Categoría:Camboxa	Cambodia
Cámbrico	Cambrian
Cambridge	Cambridge
Camelo	Camel
Camembert (queixo)	Camembert (cheese)
Cámara fotográfica	Camera
Camerún - Cameroun	Cameroon
Categoría:Camerún	Cameroon
Campania	Campania
Canadá - Canada	Canada
Categoría:Canadá	Canada
Dólar canadense	Canadian dollar
Illas Canarias	Canary Islands
Categoría:Canarias	Canary Islands
Canberra	Canberra
Cáncer (astronomía)	Cancer (constellation)
Candea	Candle
Canis Major	Canis Major
Canis Minor	Canis Minor
Cannabis (droga)	Cannabis (drug)
Cantata	Cantata
Canterbury	Canterbury
Lingua cantonesa	Cantonese (linguistics)
Cidade do Cabo - Cape Town	Cape Town
Cabo Verde	Cape Verde
Categoría:Cabo Verde	Cape Verde
Cabo de Boa Esperanza	Cape of Good Hope
Capital	Capital
Capital (economía)	Capital (economics)
Pena de morte	Capital punishment
Capitalismo	Capitalism
Capricornus	Capricornus
Pemento	Capsicum
Caracas	Caracas
Caravaggio	Caravaggio
Carbohidrato	Carbohydrate
Carbono	Carbon
Dióxido de carbono	Carbon dioxide
Monóxido de carbono	Carbon monoxide
Cardamomo	Cardamom
Cardiff - Caerdydd	Cardiff
Caribe	Caribbean
Mar Caribe	Caribbean Sea
Caricatura	Caricature
Carina	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Orff	Carl Orff
Planta carnívora	Carnivorous plant
Carl von Linné	Carolus Linnaeus
Montes Cárpatos	Carpathian Mountains
Carson City	Carson City
Cartaxena - Cartagena	Cartagena
Produto cartesiano	Cartesian product
Cartago	Carthage
Cartografía	Cartography
Casablanca	Casablanca
Anacardio	Cashew
Mar Caspio	Caspian Sea
Cassiopeia	Cassiopeia (constellation)
Ferro fundido	Cast iron
Castela	Castile (historical region)
Enroque	Castling
Castries	Castries
Casus belli	Casus belli
Gato	Cat
Cataluña - Catalunya	Catalonia
Categoría:Cataluña	Catalonia
Catalizador	Catalysis
Catafracto	Cataphract
Catedral	Cathedral
Catarina de Aragón	Catherine of Aragon
Cátodo	Cathode
Vaca	Cattle
Catulo	Catullus
Cáucaso	Caucasus
Cáucaso (cordilleira)	Caucasus Mountains
Coliflor	Cauliflower
Cova	Cave
Illas Caimán - Cayman Islands	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedro	Cedar
Ecuador celeste	Celestial equator
Mecánica celeste	Celestial mechanics
Célula	Cell (biology)
Núcleo celular	Cell nucleus
Parede celular	Cell wall
Violoncello	Cello
Celsius	Celsius
Censo	Census
Centauro	Centaur
Centaurus	Centaurus
Baricentro	Center of mass
Centímetro	Centimetre
África central	Central Africa
República Centroafricana - République Centroafricaine	Central African Republic
América Central	Central America
Categoría:América Central	Central America
Central Intelligence Agency	Central Intelligence Agency
Potencias Centrais	Central Powers
CPU	Central processing unit
Centro (rexión francesa)	Centre
Centriolos	Centriole
Século	Century
Cepheus	Cepheus (constellation)
Cerámica	Ceramic
Cérbero	Cerberus
1 Ceres	Ceres (dwarf planet)
Cerio	Cerium
Cetáceo	Cetacea
Cetus	Cetus
Chad - Tchad	Chad
Categoría:Chad	Chad
Pimpín	Chaffinch
Cadeira (moble)	Chair
Chamaeleon	Chamaeleon
Eurotúnel	Channel Tunnel
Caos	Chaos (mythology)
Charadriiformes	Charadriiformes
Carlomagno	Charlemagne
Charleroi	Charleroi
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charleston, Virxinia Occidental	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte, Carolina do Norte	Charlotte
Charmed	Charmed
Caronte (satélite)	Charon (moon)
Che Guevara	Che Guevara
Chechenia - Нохчичьо	Chechnya
Queixo	Cheese
Guepardo	Cheetah
Enlace químico	Chemical bond
Composto	Chemical compound
Elemento químico	Chemical element
Enxeñaría química	Chemical engineering
Fórmula química	Chemical formula
Reacción química	Chemical reaction
Química	Chemistry
Categoría:Química	Chemistry
Chennai - சென்னை	Chennai
Cereixa	Cherry
Xadrez	Chess
Categoría:Xadrez	Chess
Apertura de xadrez	Chess opening
Chester Alan Arthur	Chester A. Arthur
Castiñeiro	Chestnut
Cheyenne, Wyoming	Cheyenne
Khi	Chi (letter)
Chiang Kai Chek	Chiang Kai-shek
Chicago, Illinois	Chicago
Galiña	Chicken
Garavanzo	Chickpea
Estado de Chihuahua	Chihuahua
Infancia	Child
Chile	Chile
Categoría:Chile	Chile
Monte Chimborazo	Chimborazo (volcano)
Categoría:China	China
China	China
Quíos	Chios
Quitina	Chitin
Cloro	Chlorine
Clorofila	Chlorophyll
Cloroplasto	Chloroplast
Chocolate	Chocolate
Colesterol	Cholesterol
Chongqing - 重庆	Chongqing
Acorde	Chord (music)
Chordata	Chordate
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Cristianismo	Christianity
Categoría:Cristianismo	Christianity
Nadal	Christmas
Noiteboa	Christmas Eve
Cristovo Colón	Christopher Columbus
Cromatografía	Chromatography
Cromo	Chromium
Cromosoma	Chromosome
Chuck Berry	Chuck Berry
Marcus Tullius Cicero	Cicero
Sidra	Cider
Cinabrio	Cinnabar
Canela	Cinnamon
Circinus	Circinus
Círculo	Circle
Aparello circulatorio	Circulatory system
Ácido cítrico	Citric acid
Cítrico	Citrus
Cidade-estado	City-state
Clarinete	Clarinet
Clark Gable	Clark Gable
Clase	Class
Clase (bioloxía)	Class (biology)
Mecánica clásica	Classical mechanics
Música clásica	Classical music
Clasicismo	Classicism
Claude Monet	Claude Monet
Claudio	Claudius
Clave (notación musical)	Clef
Clement Attlee	Clement Attlee
