English	Indonesian
Agamemnon	Agamemnon
Agar	Agar-agar
Agatha Christie	Agatha Christie
Aggression	Agresi
Agnosticism	Agnostisisme
Agra	Agra
Agriculture	Pertanian
Agriculture	Kategori:Pertanian
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain (departemen)
Air force	Angkatan udara
Airbus	Airbus
Aircraft	Pesawat terbang
Aircraft	Kategori:Pesawat
Aircraft carrier	Kapal induk
Airline	Maskapai penerbangan
Airport	Bandar udara
Ajax	Ajax
Ajax (programming)	AJAX
Akhenaten	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alabama	Kategori:Alabama
Alan Turing	Alan Turing
Alanine	Alanin
Alaska	Alaska
Alaska	Kategori:Alaska
Albania	Albania
Albania	Kategori:Albania
Albany	Albany, New York
Albatross	Albatros
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Kategori:Alberta
Album	Album
Albuquerque	Albuquerque, New Mexico
Alchemy	Alkimia
Alchemy	Kategori:Alkimia
Alcohol	Alkohol
Alcoholic beverage	Minuman beralkohol
Alcoholism	Alkoholisme
Aldehyde	Alkanal
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleutian Islands	Kepulauan Aleut
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pushkin	Aleksandr Pushkin
Alexander the Great	Alexander Agung
Alexandre Dumas	Alexandre Dumas
Alexandria	Iskandariyah
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Algae	Alga
Algebra	Aljabar
Algebra	Kategori:Aljabar
Algeria	Aljazair
Algeria	Kategori:Aljazair
Algiers	Aljir
Algorithm	Algoritma
Alhambra	Alhambra
Ali	Ali bin Abi Thalib
Alkali metal	Logam alkali
Alkane	Alkana
Alkene	Alkena
Alkyne	Alkuna
Allah	Allah
Allegory	Alegori
Allele	Alel
Allergy	Alergi
Alliteration	Aliterasi
Alloy	Aloy
Almanac	Almanak
Almaty	Almaty
Almond	Badam
Alpha (letter)	Alfa
Alpha Centauri	Alpha Centauri
Alpha particle	Partikel Alfa
Alphabet	Alfabet
Alps	Alpen
Alsace	Alsace
Altar	Altar
Altay Mountains	Pegunungan Altai
Alternative medicine	Kategori:Pengobatan alternatif
Altruism	Altruisme
Aluminium	Aluminium
Aluminium oxide	Aluminium oksida
Alzheimer's disease	Alzheimer
Amaryllidaceae	Amaryllidaceae
Amaterasu	Amaterasu
Amazon River	Sungai Amazon
Ambassador	Duta Besar
Ambrose	Ambrosius
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Civil War	Perang Saudara Amerika
American Revolutionary War	Perang Revolusi Amerika
American Samoa	Samoa Amerika
American Standard Code for Information Interchange	ASCII
American football	Sepak bola Amerika
American football	Kategori:Sepak bola Amerika
Amerigo Vespucci	Amerigo Vespucci
Amharic	Bahasa Amhar
Amide	Amida
Amino acid	Asam amino
Amish	Amish
Amman	Amman
Ammonia	Amonia
Amnesia	Amnesia
Amnesty	Amnesti
Ampere	Ampere
Amphetamine	Amfetamin
Amphibian	Amfibia
Amplitude	Amplitudo
Amsterdam	Amsterdam
Anagram	Anagram
Anaheim	Anaheim, California
Anal sex	Seks anal
Anarchism	Anarkisme
Anarchism	Kategori:Anarkisme
Anatidae	Anatidae
Anatole France	Anatole France
Anatomy	Kategori:Anatomi
Anatomy	Anatomi
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anchor	Jangkar
Anchorage	Anchorage, Alaska
Ancient Greek	Bahasa Yunani Kuno
Andalusia	Andalusia
Andaman Sea	Laut Andaman
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Kategori:Andorra
Andrei Sakharov	Andrei Sakharov
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Android	Android
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (rasi bintang)
Andromeda (mythology)	Andromeda (mitologi)
Andy Warhol	Andy Warhol
Anemia	Anemia
Anesthesia	Anestesi
Angel	Malaikat
Angel Falls	Air terjun Angel
Angle	Sudut (geometri)
Anglicanism	Anglikanisme
Angola	Angola
Angola	Kategori:Angola
Anguilla	Anguilla
Angular momentum	Momentum sudut
Animal	Hewan
Animal husbandry	Peternakan
Animation	Animasi
Anime	Anime
Anime	Kategori:Anime
Animism	Animisme
Ankara	Ankara
Annapolis	Annapolis, Maryland
Annelid	Annelida
Anno Domini	Anno Domini
Anode	Anode
Anorexia nervosa	Anorexia nervosa
Ant	Semut
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antarktika
Antarctica	Kategori:Antarktika
Antares	Antares
Anthony Hopkins	Anthony Hopkins
Anthrax	Antraks
Anthropology	Antropologi
Anthropology	Kategori:Antropologi
Antibiotic	Antibiotika
Antibody	Antibodi
Antichrist	Antikristus
Antigen	Antigen
Antigua and Barbuda	Antigua dan Barbuda
Antigua and Barbuda	Kategori:Antigua dan Barbuda
Antimatter	Antimateri
Antimony	Antimon
Antioxidant	Antioksidan
Antipope	Anti-Paus
Antisemitism	Antisemitisme
Antlia	Antlia
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonim
Antwerp	Antwerpen
Antwerp (province)	Antwerpen (provinsi)
Anus	Anus
Aorta	Aorta
Apache	Suku Apache
Ape	Kera
Aphrodite	Aphrodite
Apia	Apia
Apollo	Apollo (mitologi)
Apollo program	Program Apollo
Apollo program	Kategori:Program Apollo
Apoptosis	Apoptosis
Appendicitis	Apendisitis
Apple	Apel
Apricot	Aprikot
April	April
April 14	14 April
April Fools' Day	April Mop
Apulia	Puglia
Apus	Apus
Aqaba	Aqaba
Aqua regia	Aqua regia
Aquarium	Akuarium
Aquarius (constellation)	Aquarius
Aquila (constellation)	Aquila
Aquitaine	Aquitaine
Ara (constellation)	Ara
Arab	Bangsa Arab
Arab League	Liga Arab
Arabian Peninsula	Jazirah Arab
Arabian Sea	Laut Arab
Arabic alphabet	Alfabet Arab
Arabic language	Bahasa Arab
Araceae	Araceae
Arachnid	Arachnida
Arafura Sea	Laut Arafura
Aragon	Aragon
Aral Sea	Laut Aral
Aram Khachaturian	Aram Khachaturian
Archaeology	Arkeologi
Archaeology	Kategori:Arkeologi
Archaeopteryx	Archeopteryx
Archbishop	Uskup Agung
Archean	Arkean
Archimedes	Archimedes
Archipelago	Kepulauan
Architect	Arsitek
Architecture	Arsitektur
Architecture	Kategori:Arsitektur
Archive	Arsip
Arctic	Arktik
Arctic Ocean	Samudra Arktik
Ardennes (department)	Ardennes
Are	Are
Area	Luas
Arecaceae	Arecaceae
Ares	Ares
Argentina	Argentina
Argentina	Kategori:Argentina
Argon	Argon
Arianism	Arianisme
Aries (constellation)	Aries
Aristarchus of Samos	Aristarchus
Aristocracy	Aristokrasi
Aristophanes	Aristofanes
Aristotle	Aristoteles
Arithmetic	Aritmatika
Arithmetic	Kategori:Aritmatika
Arizona	Arizona
Arizona	Kategori:Arizona
Arkansas	Arkansas
Arkansas	Kategori:Arkansas
Arles	Arles
Armadillo	Armadillo
Armenia	Armenia
Armenia	Kategori:Armenia
Armenian language	Bahasa Armenia
Armour	Baju zirah
Army	Angkatan darat
Arnhem	Arnhem
Arquebus	Arquebus
Arras	Arras
Arrow	Anak panah
Arsenic	Arsen
Art	Seni
Art Deco	Art Deco
Art history	Kategori:Sejarah seni
Artemis	Artemis
Artery	Pembuluh nadi
Arthritis	Pirai
Arthropod	Arthropoda
Arthur Compton	Arthur H. Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Wellesley	Arthur Wellesley dari Wellington
Artificial intelligence	Kecerdasan buatan
Artificial intelligence	Kategori:Kecerdasan buatan
Artillery	Artileri
Artillery	Kategori:Artileri
Artist	Seniman
Arts	Kategori:Seni
Aruba	Aruba
Aruba	Kategori:Aruba
Asbestos	Asbestos
Asgard	Asgard
Ash Wednesday	Rabu Abu
Asia	Asia
Asia	Kategori:Asia
Asmara	Asmara, Eritrea
Aspartame	Aspartam
Asphalt	Aspal
Aspirin	Aspirin
Assam	Assam
Assassination	Pembunuhan rahasia
Association of Southeast Asian Nations	Perhimpunan Bangsa-bangsa Asia Tenggara
Astana	Astana, Kazakhstan
Astatine	Astatin
Asteraceae	Kategori:Asteraceae
Asteroid	Asteroid
Asthma	Asma
Astigmatism (eye)	Astigmatisma
Astrakhan	Astrakhan
Astrology	Astrologi
Astrology	Kategori:Astrologi
Astrometry	Astrometri
Astronaut	Antariksawan
Astronomer	Astronom
Astronomical unit	Satuan astronomi
Astronomy	Astronomi
Astronomy	Kategori:Astronomi
Astronomy	Portal:Astronomi
Astrophysics	Astrofisika
Astrophysics	Kategori:Astrofisika
Aswan	Aswan
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atheism	Kategori:Ateisme
Athena	Dewi Athena
Athens	Kota Athena
Athletics	Kategori:Atletik
Athletics (track and field)	Atletik
Atlanta	Atlanta
Atlantic Ocean	Samudra Atlantik
Atlantic Ocean	Kategori:Samudra Atlantik
Atlantis	Atlantis
Atlas (disambiguation)	Atlas (disambiguasi)
Atlas Mountains	Pegunungan Atlas
Atmosphere	Atmosfer benda langit
Atmospheric pressure	Tekanan atmosfer
Atom	Atom
Atomic clock	Jam atom
Atomic mass	Massa atom
Atomic mass unit	Satuan massa atom
Atomic number	Nomor atom
Atomic physics	Fisika atom
Attica	Attika
Attila the Hun	Attila
Auckland	Auckland
August	Agustus
August 1	1 Agustus
August 15	15 Agustus
August 6	6 Agustus
August Strindberg	August Strindberg
Augusta	Augusta, Maine
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Agustinus dari Hippo
Augustus	Oktavianus
Auriga (constellation)	Auriga
Aurora	Aurora (disambiguasi)
Aurora (astronomy)	Aurora
Austin	Austin, Texas
Australasia	Australasia
Australia	Australia
Australia	Kategori:Australia
Australian dollar	Dolar Australia
Austria	Austria
Austria	Kategori:Austria
Austria-Hungary	Austria-Hongaria
Author	Penulis
Autism	Autisme
Automated teller machine	ATM
Automobile	Mobil
Autumn	Musim gugur
Auvergne (region)	Auvergne
Avalanche	Longsor salju
Avatar	Awatara
Avena	Avena
Averroes	Ibnu Rusyd
Aviation	Kategori:Penerbangan
Avicenna	Ibnu Sina
Avignon	Avignon
Avocado	Apokat
Avogadro's law	Hukum Avogadro
Axe	Kapak
Axiom	Aksioma
Axon	Akson
Ayatollah	Ayatullah
Ayn Rand	Ayn Rand
Azerbaijan	Azerbaijan
Azerbaijan	Kategori:Azerbaijan
Azimuth	Azimut
Azores	Azores
Aztec	Aztek
BASIC	BASIC
Baal	Baal
Babylonia	Babilonia
Backgammon	Backgammon
Bacteria	Bakteri
Bacteria	Kategori:Bakteri
Bactrian Camel	Unta Baktrian
Badminton	Bulutangkis
Baffin Island	Pulau Baffin
Baghdad	Bagdad
Bahamas	Kategori:Bahama
Bahrain	Bahrain
Bahrain	Kategori:Bahrain
Baja California	Baja California (negara bagian)
Baklava	Baklava
Baku	Baku
Balalaika	Balalaika
Balance sheet	Laporan neraca
Baldr	Balder
Balearic Islands	Kepulauan Balears
Baleen whale	Paus balin
Bali	Bali
Balkan Wars	Perang Balkan
Balkans	Balkan
Ball	Bola
Ballet	Balet
Ballet	Kategori:Balet
Ballistic missile	Peluru kendali balistik
Ballpoint pen	Pulpen
Baltic Sea	Laut Baltik
Baltimore	Baltimore, Maryland
Bamako	Bamako
Bamboo	Bambu
Banana	Pisang
Bangalore	Bengaluru
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Kategori:Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Bank
Banks	Kategori:Bank
Baptist	Gereja Baptis
Bar (unit)	Bar
Barbados	Barbados
Barbados	Kategori:Barbados
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barents Sea	Laut Barents
Bari	Bari
Barium	Barium
Barley	Jelai
Barn Swallow	Layang-layang Asia
Barometer	Barometer
Baroque	Barok
Barranquilla	Barranquilla
Barrel (unit)	Barrel (satuan)
Base (chemistry)	Basa
Baseball	Bisbol
Basel	Basel
Basidiomycota	Basidiomycota
Basil	Selasih
Basilica	Basilika
Basilicata	Basilicata
Basilisk	Basilisk
Basketball	Bola basket
Basketball	Kategori:Bola basket
Basra	Basra
Bass guitar	Gitar bass
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Bastille	Bastille
Bat	Kelelawar
Bath	Bath, Inggris
Batman	Batman
Baton Rouge	Baton Rouge, Louisiana
Battalion	Batalyon
Battle of Austerlitz	Pertempuran Austerlitz
Battle of Hastings	Pertempuran Hastings
Battle of Thermopylae	Pertempuran Thermopylae
Battle of Trafalgar	Pertempuran Trafalgar
Battle of Waterloo	Pertempuran Waterloo
Bauhaus	Bauhaus
Bavaria	Bayern
Bay of Bengal	Teluk Benggala
Bayer	Bayer
Bayonne	Bayonne
Beach	Pantai
Bear	Beruang
Beaver	Berang-berang
Bebop	Bebop
Becquerel	Becquerel
Bed	Ranjang
Bede	Beda
Bedouin	Suku Badui (Arab)
Beer	Bir
Beer	Kategori:Bir
Beetle	Kumbang
Behaviorism	Behaviorisme
Beijing	Beijing
Beirut	Beirut
Belarus	Belarus
Belarus	Kategori:Belarus
Belfast	Belfast
Belgium	Belgia
Belgium	Kategori:Belgia
Belgrade	Beograd
Belize	Belize
Belize	Kategori:Belize
Bell (instrument)	Lonceng
Belo Horizonte	Belo Horizonte
Beluga	Paus Beluga
Benelux	Benelux
Bengal	Benggala
Benghazi	Benghazi
Benin	Benin
Benin	Kategori:Benin
Benito Mussolini	Benito Mussolini
Benjamin Disraeli	Benjamin Disraeli, 1st Earl of Beaconsfield
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Bergen	Bergen
Bering Strait	Selat Bering
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berlin
Berlin	Kategori:Berlin
Bermuda	Bermuda
Bermuda	Kategori:Bermuda
Bermuda Triangle	Segitiga Bermuda
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bernhard Riemann	Georg Friedrich Bernhard Riemann
Bertrand Russell	Bertrand Russell
Beryllium	Berilium
Beta (letter)	Beta (huruf Yunani)
Beta decay	Peluruhan beta
Betelgeuse	Betelgeuse
Bethlehem	Betlehem
Bette Davis	Bette Davis
Bhutan	Bhutan
Bhutan	Kategori:Bhutan
Bible	Alkitab
Bible	Kategori:Alkitab
Bicycle	Sepeda
Big Bang	Big Bang
Bihar	Bihar
Bikini	Bikini
Bile	Empedu
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binoculars	Binokular
Biochemistry	Biokimia
Biochemistry	Kategori:Biokimia
Biodiversity	Keanekaragaman hayati
Biography	Biografi
Biography	Portal:Biografi
Biology	Biologi
Biology	Kategori:Biologi
Biology	Portal:Biologi
Biomass	Biomassa
Biome	Bioma
Biometrics	Biometrik
Biophysics	Biofisika
Biosphere	Biosfer
Biotechnology	Bioteknologi
Biotechnology	Kategori:Bioteknologi
Bird	Burung
Birmingham	Birmingham, Alabama
Birth control	Keluarga Berencana
Bisexuality	Biseksualitas
Bishkek	Bishkek
Bishop	Uskup
Bismarck	Bismarck, North Dakota
Bismuth	Bismut
Bissau	Bissau
Bit	Bit
Black	Hitam
Black Death	Kematian Hitam
Black Sea	Laut Hitam
Black body	Benda hitam
Black hole	Lubang hitam
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Kebutaan
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Darah
Blood plasma	Plasma darah
Blood pressure	Tekanan darah
Blood type	Golongan darah
Blood vessel	Pembuluh darah
Blue	Biru
Blue Whale	Paus Biru
Blues	Blues
Boar	Babi hutan
Boat	Perahu
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bodhisattva	Bodhisattva
Bohemia	Bohemia
Boiling point	Titik didih
Boise	Boise, Idaho
Bolivia	Bolivia
Bolivia	Kategori:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolshevik	Bolshevik
Bolzano	Bolzano-Bozen
Bomb	Bom
Bomber	Pesawat pengebom
Bombyx mori	Ulat sutra
Bond (finance)	Obligasi
Bone	Tulang
Bone marrow	Sumsum tulang
Bonn	Bonn
Bonsai	Bonsai
Book	Buku
Book of Esther	Kitab Ester
Book of Joshua	Kitab Yosua
Book of Judges	Kitab Hakim-hakim
Book of Mormon	Kitab Mormon
Book of Numbers	Kitab Bilangan
Book of Revelation	Wahyu kepada Yohanes
Book of Ruth	Kitab Rut
Boolean algebra (structure)	Aljabar Boolean
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Pasternak	Boris Leonidovich Pasternak
Borneo	Pulau Borneo
Boron	Boron
Bosnia and Herzegovina	Bosnia-Herzegovina
Bosnia and Herzegovina	Kategori:Bosnia-Herzegovina
Boson	Boson
Bosporus	Selat Bosporus
Boston	Boston
Boston Tea Party	Boston Tea Party
Bot	Templat:Bot
Botanical garden	Kebun raya
Botany	Botani
Botany	Kategori:Botani
Botswana	Botswana
Botswana	Kategori:Botswana
Bottle	Botol
Bottlenose Dolphin	Lumba-lumba hidung botol
Bourgogne	Bourgogne
Bouvet Island	Pulau Bouvet
Bowling	Boling
Boxer (dog)	Boxer (anjing)
Boxers	Kategori:Petinju
Boxing	Tinju
Boxing	Kategori:Tinju
Braga	Braga, Portugal
Brahma	Brahma
Brahmaputra River	Sungai Brahmaputra
Braille	Braille
Brain	Otak
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brendi
Brass	Kuningan (logam)
Brassicaceae	Brassicaceae
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasil
Brazil	Kategori:Brasil
Brazzaville	Brazzaville
Bread	Roti
Breast	Payudara
Breast cancer	Kanker payudara
Bremen (state)	Bremen
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest, Perancis
Brest	Brest-Litovsk
Brest	Brest
Bretagne	Bretagne
Brick	Batu bata
Bridge	Jembatan
Bridges	Kategori:Jembatan
Bridgetown	Bridgetown
Brigade	Brigade
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	British Columbia
British Empire	Imperium Britania
British Virgin Islands	Kepulauan Virgin Britania Raya
British people	Kategori:Tokoh Britania Raya
Brno	Brno
Broccoli	Brokoli
Bromine	Brom
Bronze	Perunggu
Bronze Age	Zaman Perunggu
Brown Bear	Beruang coklat
Brownian motion	Gerak Brown
Bruce Lee	Bruce Lee
Bruges	Brugge
Brunei	Brunei
Brunei	Kategori:Brunei
Brussels	Kota Brussel
Bucharest	Bukares
Buckingham Palace	Istana Buckingham
Buckminster Fuller	Buckminster Fuller
Budapest	Budapest
Buddha	Buddha
Buddhism	Agama Buddha
Buddhism	Kategori:Buddhisme
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo, New York
Building	Bangunan
Bulgaria	Bulgaria
Bulgaria	Kategori:Bulgaria
Bureaucracy	Birokrasi
Burgomaster	Walikota
Burkina Faso	Burkina Faso
Burkina Faso	Kategori:Burkina Faso
Burma	Myanmar
Burma	Kategori:Myanmar
Burqa	Burqa
Bursa	Bursa, Turki
Burundi	Kategori:Burundi
Bus	Bus (transportasi)
Bus (computing)	Bus komputer
Business	Bisnis
Businesspeople	Kategori:Wirausahawan
Buster Keaton	Buster Keaton
Butane	Butana
Butter	Mentega
Butterfly effect	Efek kupu-kupu
Bydgoszcz	Bydgoszcz
Byte	Bita
C (programming language)	C (bahasa pemrograman)
C. S. Lewis	C.S. Lewis
CD (disambiguation)	CD
CN Tower	Menara CN
COBOL	COBOL
Cabaret	Kabaret
Cacao	Kakao
Cache	Memori Cache
Cactus	Kaktus
Cadmium	Kadmium
Caelum	Caelum
Caesium	Sesium
Caffeine	Kafein
Cairo	Kairo
Cake	Bolu
Calabria	Calabria
Calais	Calais
Calcium	Kalsium
Calculator	Mesin hitung
Calculus	Kalkulus
Caldera	Kaldera
Calendar	Kalender
California	California
California	Kategori:California
Caligula	Caligula
Caliph	Khalifah
Calorie	Kalori
Calvados	Calvados
Calvin Coolidge	Calvin Coolidge
Calvinism	Calvinisme
Cambodia	Kamboja
Cambodia	Kategori:Kamboja
Cambrian	Kambrium
Cambridge	Cambridge, Cambridgeshire
Cambridge	Cambridge, Massachusetts
Cambridge (disambiguation)	Cambridge
Camel	Unta
Camera	Kamera
Cameroon	Kamerun
Cameroon	Kategori:Kamerun
Campania	Campania
Canada	Kanada
Canada	Kategori:Kanada
Canadian dollar	Dollar Kanada
Canary Islands	Kepulauan Canary
Canary Islands	Kategori:Kepulauan Canary
Canberra	Canberra
Cancer	Kanker
Cancer (constellation)	Cancer
Candela	Candela
Candle	Lilin
Canidae	Canidae
Canis Major	Canis Major
Canis Minor	Canis Minor
Cannabis	Cannabis
Cannabis (drug)	Ganja
Cannes	Cannes
Cannibalism	Kanibalisme
Cannon	Meriam
Canoe	Kano
Canon (company)	Canon (perusahaan)
Canopus	Canopus
Canterbury	Canterbury
Cantonese (linguistics)	Kantonis (linguistik)
Capacitor	Kondensator
Cape Canaveral	Cape Canaveral
Cape Horn	Tanjung Horn
Cape Town	Cape Town
Cape Verde	Tanjung Verde
Cape Verde	Kategori:Tanjung Verde
Cape of Good Hope	Tanjung Harapan
Capital	Ibu kota
Capital (economics)	Modal
Capital punishment	Hukuman mati
Capitalism	Kapitalisme
Capricornus	Capricornus
Caracas	Caracas
Carambola	Belimbing
Caravaggio	Lukisan Caravaggio
Carbohydrate	Karbohidrat
Carbon	Karbon
Carbon cycle	Siklus karbon
Carbon dioxide	Karbon dioksida
Carbon monoxide	Karbon monoksida
Carboniferous	Karbon (periode)
Carboxylic acid	Asam alkanoat
Carburetor	Karburator
Card game	Permainan kartu
Cardamom	Kapulaga
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardiology	Kardiologi
Cardiology	Kategori:Kardiologi
Cardiovascular system	Kategori:Sistem kardiovaskular
Caribbean	Kepulauan Karibia
