Turkish	﻿English
sütsüz	black
mavi	blue
kahverengi	brown
gri renkli	gray
ham	green
orange	orange
pembe	pink
kırmızı	red
menekşe rengi	violet
beyaz	white
sarı	yellow
çift	couple
sekiz	eight
seksen	eighty
on bir	eleven
elli	fifty
beş	five
kırk	forty
dört	four
milyon	million
dokuz	nine
*doksan??	ninety
hiç	nothing
bir	one
yedi	seven
yetmiş	seventy
altı	six
altmış	sixty
on	ten
üçüncü	third
on üç	thirteen
otuz	thirty
bin	thousand
bin	thousand
üç	three
kol	arm
sırt	back
gaga	beak
kan	blood
gövde	body
kemik	bone
beyin	brain
nefes	breath
hücre	cell
göğüs	chest
göğüs	chest
çene	chin
kulak	ear
göz	eye
yüz	face
parmak	finger
ayak	foot
alın	forehead
gen	gene
saç	hair
tüy	hair
el	hand
baş	head
kalp	heart
diz	knee
bacak	leg
dudak	lip
ağız	mouth
kas	muscle
tırnak	nail
boyun	neck
sinir	nerve
burun	nose
deri	skin
mide	stomach
kuyruk	tail
boğaz	throat
eldiven baş parmağı	thumb
ayak parmağı	toe
dil	tongue
diş	tooth
kanat	wing
karınca	ant
ayı	bear
arı	bee
kuş	bird
kedi	cat
inek	cow
kopek	dog
fil	elephant
balık	fish
sinek	fly
keçi	goat
at	horse
böcek	insect
aslan	lion
maymun	monkey
domuz	pig
koyun	sheep
yılan	snake
öğleden sonra	afternoon
yaşlılık	age
Nisan	April
ağustos	August
sonbahar	autumn
başlama	beginning
yüzyıl	century
tarih	date
gün	day
Aralık	December
son	end
akşam	evening
Şubat	February
Cuma	Friday
gelecek	future
saat	hour
Ocak	January
Temmuz	July
Haziran	June
mayıs	May
dakika	minute
an	moment
an	moment
Pazartesi	Monday
ay	month
sabah	morning
gece	night
Kasım	November
şimdi	now
Ekim	October
geçmiş	past
ara	pause
süre	period
Cumartesi	Saturday
mevsim	season
saniye	second
Eylül	September
ilkbahar	spring
yaz	summer
Pazar	Sunday
perşembe	Thursday
yarın	tomorrow
Salı	Tuesday
çarşamba	Wednesday
hafta	week
hafta sonu	weekend
kış	winter
yıl	year
ekmek	bread
kahvaltı	breakfast
yağ	butter
pasta	cake
peynir	cheese
çikolata	chocolate
yumurta	egg
yiyecek	food
meyve	fruit
öğle yemeği	lunch
yemek	meal
et	meat
yağ	oil
pirinç	rice
salata	salad
tuz	salt
sandviç	sandwich
sos	sauce
çorba	soup
şeker	sugar
tatlılık	sweet
bira	beer
kahve	coffee
içecek	drink
milk	milk
milkshake	milkshake
çay	tea
su	water
şarap	wine
elma	apple
kayısı	apricot
muz	banana
dut	blackberry
kiraz	cherry
limon	lemon
sert kabuklu meyve	nut
portakal	orange
şeftali	peach
armut	pear
ananas	pineapple
erik	plum
ahududu	raspberry
çilek	strawberry
fasulye	bean
lâhana	cabbage
havuç	carrot
hıyar	cucumber
sarımsak	garlic
zeytin	olive
soğan	onion
yabanî havuç	parsnip
patates	potato
turp	radish
domates	tomato
bebek	baby
doğum	birth
doğum günü	birthday
