cerrados	cerrado
carajos	carajo
vería	ver
seca	seco secar
recibiendo	recibir
pescar	pescar
olvidas	olvidar
naciones	nación
llevara	llevar
graciosa	gracioso
emergencias	emergencia
conviene	convenir
comunicaciones	comunicación
caí	caer
ocuparé	ocupar
niñita	niñita
hazte	hacer
estupenda	estupendo
disciplina	disciplina
case	casar
arriesgado	arriesgado arriesgar
arquitecto	arquitecto
vaticano	Vaticano
traerme	traer
tiroteo	tiroteo
sirvo	servir
sentirás	sentir
ratón	ratón
quitarme	quitar
quedaba	quedar
preguntan	preguntar
permíteme	permitir
masacre	masacre
infancia	infancia
indio	indio
homosexual	homosexual
chance	chance
barba	barba
artes	arte
acerque	acercar
susto	susto
síntomas	síntoma
salvarte	salvar
sabio	sabio
romance	romance
petición	petición
peligrosos	peligroso
orinar	orinar
macho	macho
llevarse	llevar
lindos	lindo
protegerte	proteger
profundidad	profundidad
pides	pedir
permanente	permanente
investigaciones	investigación
cruzando	cruzar
comenzando	comenzar
atrapada	atrapado atrapar
trampas	trampa
tomemos	tomar
tímido	tímido
ola	ola
narices	nariz
diana	diana Diana
presentarles	presentar
pasaremos	pasar
observa	observar
nacer	nacer
mona	mona mono
mm	mm milímetro
increíblemente	increíblemente
despegar	despegar
comentario	comentario
sufre	sufrir
ramera	ramera
perfume	perfume
oscura	oscuro
olas	ola
obligado	obligado obligar
noviembre	noviembre
logré	lograr
llevaría	llevar
fallado	fallado fallar
escocia	Escocia
destruyó	destruir
conduciendo	conducir
camiseta	camiseta
venas	vena
riendo	reír
resistir	resistir
pavo	pavo
pagué	pagar
nieto	nieto
liberar	liberar
hogares	hogar
denle	dar
barón	barón
aguanto	aguantar
vicepresidente	vicepresidente
simón	simón Simón
querrías	querer
quedara	quedar
ordenador	ordenador
jodidos	jodido joder
enfermeras	enfermera
despertado	despertado despertar
comentarios	comentario
alumnos	alumno
aburrida	aburrido aburrir
superar	superar
norma	norma normar
musical	musical
lápiz	lápiz
jodan	joder
incluye	incluir
fruta	fruta
entran	entrar
eléctrica	eléctrica eléctrico
crítica	crítica
comí	comer
chip	chip
cargado	cargado cargar
altas	alta alto
venden	vender
superiores	superior
sufriendo	sufrir
sacamos	sacar
invitó	invitar
huelo	oler
harían	hacer
gastar	gastar
escapa	escapar
confirmar	confirmar
quitado	quitado quitar
probando	probar
perímetro	perímetro
pegado	pegado pegar
olviden	olvidar
mentirosa	mentiroso
incapaz	incapaz
forense	forense
ésas	ese esa
dignidad	dignidad
detectives	detective
deportes	deporte
delicado	delicado
cuarenta	cuarenta
constante	constante
bebes	beber
sesos	seso
seriamente	seriamente
regresemos	regresar
protegiendo	proteger
muralla	muralla
meterse	meter
lleves	llevar
inténtalo	intentar
huye	huir
embarazo	embarazo embarazar
debimos	deber
cuartos	cuarto
copas	copa
rehén	rehén
pisos	piso
persiguiendo	perseguir
milagros	milagro Milagros
horror	horror
emocional	emocional
comedor	comedor
busqué	buscar
buscarme	buscar
tumbas	tumba tumbar
subtitulado	subtitulado
plazo	plazo
pesca	pesca pescar
muertas	muerto morir
mantenerlo	mantener
llamaremos	llamar
litros	litro
horribles	horrible
deudas	deuda
detiene	detener
compraste	comprar
comisaría	comisaría
verlas	ver
vé	ver
vago	vago vagar
unica	único
radiación	radiación
múltiples	múltiple
muchísimas	muchísimo mucho
equivoca	equivocar
cuya	cuyo
cortinas	cortina
tenerla	tener
tapa	tapa tapar
sorpresas	sorpresa
respiro	respiro respirar
queja	queja quejar
preguntarme	preguntar
oyendo	oír
mordida	mordida mordido morder
mmm	mmm
miró	mirar
marchar	marchar
mantequilla	mantequilla
guardián	guardián
escándalo	escándalo
causó	causar
aléjense	alejar
acercando	acercar
vió	ver
tinta	tinta tinto
sindicato	sindicato
reuniones	reunión
pida	pedir
personajes	personaje
lees	leer
dispuesta	dispuesto disponer
descripción	descripción
calzones	calzón
brigada	brigada
ayudaría	ayudar
repugnante	repugnante
odiaba	odiar
misa	misa
metrópolis	metrópolis metrópoli
meterme	meter
mamita	mamita
jamón	jamón
ésos	ese esos
cazadores	cazador
usarla	usar
retraso	retraso retrasar
responsabilidades	responsabilidad
preocupas	preocupar
pagando	pagar
linterna	linterna
inevitable	inevitable
encender	encender
distinta	distinto
compro	comprar
cacería	cacería
atacan	atacar
usaba	usar
parientes	pariente
menores	menor
jungla	jungla
dedicado	dedicado dedicar
