English	Romanian
Lausanne	Lausanne
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	Sankt Petersburg
Leo	Leul
Lesotho ; Kingdom of Lesotho	Lesotho
Liberia ; Republic of Liberia	Liberia
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Libia
Lithuanian ; Lithuanian	lituaniană
Lower Saxony	Saxonia Inferioară
Lyon	Lyon
Macedonian ; Macedonian	macedoneană
Madagascar ; Republic of Madagascar	Madagascar
Malawi ; Republic of Malaŵi	Malawi
Malta ; Republic of Malta	Malta
Martinique	Martinica
Mauritania ; Islamic Republic of Mauritania	Mauritania
Mayotte	Mayotte
Milky Way ; Galaxy	Calea Lactee
Milwaukee	Milwaukee
Moldova	Moldova
Monaco	Monaco
Monday	luni
Montserrat	Montserrat
Morocco ; Kingdom of Morocco	Maroc
Mount Fuji	Fuji
Myanmar	Myanmar
Nairobi	Nairobi
Namibia	Namibia
Nepali ; Nepali	nepaleză
Neptune	Neptun
New Caledonia	Noua Caledonie
New York	New York
New Zealand	Noua Zeelandă
Nicaragua	Nicaragua
Niger	Niger
Niue	Niue
Northern Ireland	Irlanda de Nord
Norway ; Kingdom of Norway	Norvegia
Nuuk	Nuuk
Orleans	Orléans
Pakistan ; Islamic Republic of Pakistan	Pakistan
Panama	Panama
Papua New Guinea	Papua-Noua Guinee
People's Republic of China ; China	China
Peru ; Republic of Peru	Peru
Philadelphia	Philadelphia
Poland	Polonia
Polish ; Polish	poloneză
Portugal	Portugalia
Portuguese ; Portuguese	portugheză
Puerto Rico	Porto Rico
Pyrenees	Pirinei
Pyrrhic victory	victorie pirică
Qatar	Qatar
Romania	România
Romanian ; Romanaian	română ; româneşte
Russian ; Russian	rusă
Sagittarius	Săgetătorul
Saint-Pierre and Miquelon	Saint Pierre şi Miquelon
Saturday	sâmbătă
Saudi Arabia ; Kingdom of Saudi Arabia	Arabia Saudită
Scorpio	Scorpionul
Scotland	Scoţia
Senegal	Senegal
Serbia	Serbia
Serbia and Montenegro	Serbia şi Muntenegru
Slovak ; Slovak	slovacă
Slovakia	Slovacia
Slovene ; Slovenian ; Slovenian	slovena ; slovenă
Somali ; somali	somaleză
South Africa	Africa de Sud
Spain	Spania
Sri Lanka	Sri Lanca
Sudan	Sudan
Sunday	duminică
Swahili	svahili
Sweden	Suedia
Swedish	suedeză
Switzerland	Elveţia
Taiwan	Taiwan
Tanzania	Tanzania
Tatar ; Tatar	tătară
Taurus	Taurul
Tennessee	Tennessee
Thai ; Thai	tailandeză
Thailand	Thailanda
Thuringia	Turingia
Thursday	joi
Togo	Togo
Tonga	Tonga
Toronto	Toronto
Tuesday	marţi
Turkey	Turcia
Uganda ; Republic of Uganda	Uganda
Ukrainian ; Ukrainian	ucraineană
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Regatul Unit al Marii Britanii şi Irlandei de Nord ; Regatul Unit
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	Statele Unite ale Americii
Vaduz	Vaduz
Vatican City ; The Holy See ; State of the Vatican City	Vatican
Venezuela	Venezuela
Venice	Veneţia
Volga	Volga
Wales	Ţara Galilor
Wallis and Futuna ; Territory of the Wallis and Futuna Islands	Wallis şi Futuna
Walloon ; Walloon	valonă
Wednesday ; quarta-feira	miercuri
Welsh ; Welsh	galeză
Wikipedia	Wikipedia
Wiktionary	Vicţionar
Wyoming	Wyoming
Zambia ; Republic of Zambia	Zambia
Zulu	zulu
aback	surprins
abacus	abac
abasement	umilire
abbreviation	prescurtare
abolitionist	aboliþionist
abortive	ratat
abrasive	abraziv
abridge	a prescurta
absolutely	categoric
accident	accident
accordion ; squeeze box ; piano accordion	harmonika
accountancy	contabilitate
acne	acnee
acquisition	achiziþie
acrid	în­ţe­­pător
actinium	actiniu
add	aduna
addition	adunare
adieu ; bye ; cheerio ; farewell ; good day ; goodbye	pa
adventure	aven­tură
aerobiology	aerobiologie
aggressive	agresiv
aggressor ; assailant ; attacker ; assaulter	agre­sor
agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia	agorafobie
airmail	poştă aeriană
alchemist	alchimist
alcoholism	alcoolism
alibi	alibi
allegory	alegorie
almond	migdală
almost	aproape
alongside ; amongst ; with	cu
aluminium	aluminiu
ambassador	ambasador
americium	americiu
amethyst	ametist
amphetamine	amfetamină
amphitheatre	amfiteatru
anarchism	anarhism
anarchy	anarhie
anchor	ancoră
anise	anason
ankle ; talocrural joint	gleznă
ant	furnică
anthropology	antropologie
antimony	stibiu
antiparticle	antiparticulă
antithesis	antiteză
anytime	întotdeauna
aphorism	aforism
apostle	apostol
apple	măr
appreciate	recunoscător
apricot	caisă
apron	şorţ
aquamarine	aquamarin
archaeological	arheologic
archbishop	ar­hiepiscop
architect	arhitect
architecture	arhitectura
argon	argon
argument	ceartă
aristocracy	aristocraţie
arm	braţ
armoury	arsenal
armpit	subsuoară
arrowhead	vârf de săgeată
arsenic	arsen
arson	incendiere preme­ditată
arsonist	incendiator
artful	viclean
arthritis	artrită
artichoke	anghinare
ascendancy	ascendent
ascent	ascensiune
ascent	urcuş
ascetic	ascet
ashamed	ruşi­nat (de)
ashen	pământiu
ashore	pe uscat
ashtray	scrumieră
asleep	adormit
asphalt	asfalt
aspiration	as­pi­raţie
assassin ; assassinator	asa­­­sin
assemble ; get together ; gather	a convoca
assent	a se declara de acord
assert	a sus­ţine
assertive	sigur pe sine
assign	a desemna
assignment	sarcină
assimilate	a asimila
assist	a ajuta
assorted	asortat
assumption ; supposition	suposição
astatine	astatiniu
asterisk	asterisc
asteroid	asteroid
asthma	astmã
astonish	a uimi
astonishing	uluitor
astonishment	uimire
astound	a şoca
astounding	şocant
astride	călare
astride	cu picioarele desfăcute
astrology ; star divination	astrologie
astrometry	astrometrie
astrophysics	astrofizică
atheist	ateu
atomic mass	masa atomică
atractive	atrăgător
atrocity	atrocitate
attached	ataşat
attachment	ataşament
attachment	accesoriu
attend	a îngriji
attend	a frecventa
attend	a ur­mări
attend	a se ocupa de
attendant	supraveghetor
attentive	atent
attic	mansardă
attire	haine
attitude	postură
attract	a atrage
audacious	îndrăzneţ
augment	a creşte
auspicious	de bun augur
authoritarian	auto­ritar
authorship	profesiune de scriitor
autocracy	autocraţie
autopsy	autopsie
available	dis­ponibil
avert	a preveni
avert	a întoarce
aviary	colivie
avid	avid
awe	veneraţie
awhile	un moment
bacon	bacon
bag ; pocket ; steal	fura
baker	brutar
baker ; bakery	brutărie
baking powder	praf de copt
ballad	baladă
ballot	alegere
ballroom	sală de bal
banana	banană
barium	bariu
barley	orz
baron	baron
basement	subsol
beaver	castor
bed	pat
beehive	stupină ; stup
beer	bere
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	buric
berkelium	berkeliu
beryllium ; glucinium	beriliu
better	mai bun
beverage ; drink	bautura
bicycle ; bike ; cycle	bicicletă
biochemistry	biochimie
biome	biom
birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition	nastere
bishop	episcop
bismuth	bismut
blacksmith	fierar ; kovač
blind	orb
blog ; weblog ; web log	weblog
blue	albastru
boat	barcă
bohrium	bohriu
bonsai	bonsai
boron	bor
boundary	graniţă ; hotar
bow	arc
bread	pâine
breakfast	micul dejun
bromine	brom
bull	taur
butcher	măcelar
cadmium	cadmiu
caesium	cesiu
calcium	calciu
californium	californiu
camouflage	camuflaj
capital	capitalã
carbon	carbon
cardinal	cardinal
carpet	covor
castle	castel
cauliflower	conopidă
celibacy	celibat
cerium	ceriu
cheers ; thank you ; thanks	mersi
chemical element ; element	element
chemist's ; chemist's shop ; pharmacy	farmacie
chess	șah ; šah
chimney	cămin ; şemineu
chipmunk	veveriţă cu fălci
chlorine	clor
cholesterol	colesterol
chromium	crom
chromosome	cromozom
cigarette	ţigară
cloud	nor
cobalt	cobalt
cockroach	gândac
coffee	cafeă
comet	cometă
communism	comunism
condom ; prophylactic ; rubber ; safe ; safety	prezervativ
conference	conferinta
consideration	consideraţie
constellation	constelaţie
constitution	constituţie
copper	cupru
cow	vacă
creativity ; inventiveness	creativitate
crossword	cuvinte încrucişate
cucumber	castravete
curium	curiu
darmstadtium	darmstadtiu
dazzle	a orbi
death penalty ; capital punishment ; death sentence	pedeapsa cu moartea ; pedeapsa capitală
defendant ; accused	acuzat
democracy	democraţie
demography	demografie
dentist	dentist
dentistry	stomatologie
diarrhea	diaree
diary	jurnal
dictionary	dicţionar
difficult	greu
discount	reducere
divorce	divorţ ; despărţire
do	face
dog	câine
dolphin	delfin
donation	donaţie
donation	donare
door	uşă
dress	rochie
drink ; gulp ; quaff ; sip	bea
drinking water	apă potabilă
dromedary	dromader
drum kit	baterie
drunk ; drunkard ; boozer	alcoolic
dubnium	dubniu
duck	raţă ; răţoi
dysprosium	disprosiu
ear	ureche
earthquake	cutremur
effort ; exertion	efort
einsteinium	einsteiniu
elbow	cot
electrical engineering	electrotehnică
electromagnetism	electricitatea şi magnetismul
emergency	urgenţă
empty	vid
entrepreneur	antreprenor
epigram	epigramă
equation	ecuaţie
equator	ecuator
erbium	erbiu
ethics	etică
europium	europiu
executioner	verdugo
explosion	explozie
eye	ochi
eyebrow	sprânceană
facility	uşurinţă
famine	foamete
fat ; obese	obez
finger	deget
fluorine	fluor
ford	vad
fork	furculiţă
fossil	fosilă
fracture	fractură
francium	franciu
freedom ; liberty	libertate
fuel cell	pilă de combustie
full	cheio
gadolinium	gadoliniu
gallium	galiu
gardener	grădinar
gas	gaz
genealogy	genealogie
genome	genom
germanium	germaniu
giraffe	girafă
gland	glandă
glaucoma	glaucom
gold	aur
goose	gâscă
gorilla	gorilă
governor	guvernator
grandson	nepot
granite	granit
grape	stugure
graviton	graviton
gull	pescăruş
haematology	hematologie
hafnium	hafniu
haiku	haiku
hairdresser ; barber	coafor
handkerchief	batistă
heathen ; infidel ; pagan	păgân
hedgehog	arici
hedonism	hedonism
helicopter	elicopter
helium	heliu
historiography	istoriografie
home ; home ; house	casă
honey	miere
hope	speranţă ; nădejde
horizon	horizonte
hormone	hormon
horse	cal
hour	oră ; ceas
huckleberry ; blueberry	afina
hunger ; hunger ; hunger	foame
hydrogen	hidrogen
independence	independenta
indium	indiu
infectious disease ; communicable diseases	boală infecţioasă
influenza ; flu	gripă
instep	scobitură
instrument ; musical instrument	instrument muzical
iodine	iod
iridium	iridiu
iron	fier
jackal	şacal
jazz	jazz
journalism	jurnalism
judo	judo
keyboard	tastatură ; claviatură
krypton	kripton
lanthanum	lantan
lead	plumb
leg	picior
lemon	lămâie
liberalism	liberalism
library	biblioteca
linguistics	lingvistică
liquid	lichid
lithium	litiu
little finger ; pinkie	deget mic
liver	ficat
locust	lăcustă
lottery	loterie
lumberjack	pădurar
lunch ; lunch ; lunch ; lunch ; luncheon	prânz ; prânz ; prânz ; prânz ; prânz
lung	plămân
lutetium	luteţiu
lynx	linx
machine gun	mitralieră
mackerel	macrou
magnesium	magneziu
malaria	malarie ; paludism
manganese	mangan
marsupial	marsupiale
mason ; bricklayer ; stonemason	zidar
mass	masă
melody ; tune	melodie
mendelevium	mendeleviu
menorah	menoră
mercury	mercur
metaphysics	metafizică
meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star	meteori ; meteori ; meteori ; meteori ; meteori
meteorite	meteorit
microphone	microfon
milk	lapte
millet	mei
miniskirt ; mini-skirt	minijupă
minor	minor
mistral	mistral
molar ; tooth	dinte
molybdenum	molibden
morphine	morfină
mosque	moschee
mother-in-law ; mother in law	soacră
motherhood ; maternity	maternitate
mouse	maus
museum	muzeu
music	muzică
musquito ; mosquito	tantar
mysterious	misterios
nadir	nadir
nappy	scutec
neighbour ; vecino	vecin
neodymium	neodim
neologism	neologism
neon	neon
neptunium	neptuniu
nickel	nichel
niobium	niobiu
nitrogen	azot
nobelium	nobeliu
nothing	nimic
noun ; substantive	substantiv
novel	roman
obey	a se supune
obsolete	învechit
obstacle ; obstruction	obstacol
official language	limbă oficială
oligarchy	oligarhie
oligopoly	oligopol
olive	olivă ; măslină
oncology	oncologie
onion	ceapă
ontology	ontologie
opium	opiu
optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism	optimism
orchestra	orchestră
orchid	orhidee
orphan	orfan
osmium	osmiu
ostrich	struţ
oxygen	oxigen
pacifist	pacifist
palladium	paladiu
palm	palmier
palm	palmă
pancreas	pancreas
parachute	parasuta
pear	pară
penguin	pinguin
peninsula	peninsulă
periodic table	tabelul periodic al elementelor
person	persoană
petition	petiţie
petrol	benzină
pheasant	fazan
phishing	phishing
phobia	fobie
phone ; telephone	telefon
phosphorus	fosfor
physiology	fiziologie
pigeon ; dove	porumbel
pino ; pine	pin
pity ; compassion	compasiune
place ; location	loc
platinum	platină
plough	plug
plutonium ; plutonium ; plutonium	plutoniu
poison	cadou
polonium	poloniu
pomegranate	rodie
porcelain	porcelan
possession	posesiune
posterity	posteritate
postman	factor poştal
potassium	potasiu
potato ; patato	artof ; cartof
power (physics) ; power	putere
praseodymium	praseodim
pregnancy	graviditate
prelate	prelat
prime number ; prime	număr prim
prince	prinţ
prisoner of war ; POW ; PoW ; PW	prizonier de război
problem	problemă
promethium	promeţiu
pronunciation	pronunţie
protactinium	protactiniu
proverb ; saying ; maxim	zicală ; proverb
putsch ; coup d'état	lovitură de stat
queen	regină
question	întrebare
rabbit	iepure
radium	radiu
rainbow	curcubeu
referendum ; plebiscite	referendum
reindeer	ren
renaissance	renaşterea
rhenium	reniu
rhodium	rodiu
rice	orez
roentgenium	roentgeniu
roof ; roof ; roof	acoperiş
rubidium	rubidiu
ruby	rubin
ruthenium	ruteniu
rutherfordium	rutherfordiu
sacrifice	sacrificiu
sailing ship	velier
salary	salariu
salmon	somon
samarium	samariu
sapphire	safir
saxophone	saxofon
scandium	scandiu
screw	şurub
screwdriver	şurubelniţă
secret	secret
server	server
sextant	sextant
shark	rechin
sheep	oaie
shepherd	păstor ; cioban
silicon	siliciu
silk	mătase
silver	argint
skull	craniu
slaughter	a tăia
smallpox	variolă
smile	zâmbet
sociolinguistics ; sociology of language	sociolingvistica
sodium	sodiu
sphinx	Sfinx
spider	păianjen
star	stea
storm ; tempest	furtună ; vijelie
story	povestire
strange ; odd	ciudat
strawberry	căpşună
strontium	stronţiu
sulphur	sulf
supermarket	supermagazin
surgeon	chirurg
table	masă
tadpole ; polliwog	mormoloc
takeover	preluare
tantalum	tantal
tea	ceai
technetium	tehnetziu
television	televiziune
ten	zece
terbium	terbiu
terrorism	terorism
thallium	taliu
theology	teologie
thermodynamics	termodinamică
thirst	sete
thumb	deget mare
thunder	tunet
timezone	fus orar
tin	staniu
titanium	titan
tomato	tomată
tomorrow	mâine
train	tren
translate ; interpret	traduce
translation	traducere
tree	arbore
triangle	triunghi
trolley bus ; trolleybus	troleibuz
trousers	pantaloni
trumpet	trompetă
tulip	lalea
tunafish	ton
tundra	tundră
tungsten	tungsten
turkey	curcan
twin	geamăn
university ; university ; academy	universitate ; universitate
ununseptium	ununseptiu
uranium	uraniu
usurp	uzurpa
vacuum cleaner	aspirator
valuable	preţios
vanadium	vanadiu
vegetable	legumă
verb	verb
veteran	veteran
veterinarian ; veterinary	veterinar
vineyard	vie
vowel	vocală
wasp	viespe
water	apa ; apă ; apă
water ; body of water	apă
weekend	sfârşit de săptămână ; weekend
whale	balenă
white	alb
wiki	wiki
willow	salcie
wine	vin
wolf	lup
word	cuvânt ; cuvînt
world war	război mondial
xenon	xenon
yttrium	ytriu
zero ; null	zero
zinc	zinc
zirconium	zirconiu
Åland Islands	Åland
