Slovak	﻿English
iný	another
zlý	bad
základný	basic
krásny	beautiful
najlepší	best
lepší	better
veľký	big
čistý	clean
studený	cold
správny	correct
tmavý	dark
ťažký	difficult
špinavý	dirty
rýchly	fast
dobrý	good
veľký	great
báječný	great
šťastný	happy
zdravý	healthy
ťažký	heavy
vysoký	high
horúci	hot
dôležitý	important
ľavý	left
ľahký	light
malý	little
dlhý	long
blízky	near
nový	new
príjemný	nice
otvorený	open
skutočný	real
pravý	right
jemný	sharp
podobný	similar
pomalý	slow
mäkký	soft
ostrý	strong
slabý	weak
nesprávny	wrong
kyselý	acid
po	after
predtým	ago
všetko	all
akýkoľvek	any
automatický	automatic
dostupný, k dispozícii	available
horký	bitter
otravný	boring
obidva	both
jasný	bright
zlomený	broken
ústredný	central
istý	certain
lacný	cheap
chemický	chemical
jasný	clear
zatvorený	closed
bežný	common
spoločný	common
úplný	complete
úmyselný	conscious
krutý	cruel
bežný	current
nebezpečný	dangerous
jemný	delicate
skľúčený	deplorable
odlišný	different
nepodobný	different
dolu	down
suchý	dry
každý	each
skorý	early
ľahký	easy
hospodársky	economic
úsporný	economic
elektrický	electric
rovnaký	equal
párny	even
vyrovnaný	even
každý	every
skvelý	excellent
falošný	fake
chybný	false
ďaleko	far
tučný	fat
veľký	fat
málo	few
konečný	final
finančný	financial
pevný	firm
prvý	first
plochý	flat
nasledujúci	following
zahraničný	foreign
bývalý	former
krehký	fragile
bezplatný	free
častý	frequent
čerstvý	fresh
plný	full
celkový	full
ďalej	further
budúci	future
všeobecný	general
priemyselný	industrial
zaujímavý	interesting
medzinárodný	international
posledný	last
oneskorený	late
legálny	legal
tekutý	liquid
miestny	local
hlasný	loud
nízky	low
šťastný	lucky
hlavný	main
veľký	major
mnoho	many
kovový	metal
vojenský	military
nepatrný	minute
moderný	modern
viac	more
veľa	much
úzky	narrow
národný	national
prírodný	natural
nutný	necessary
susedný	next
číslo	no
normálny	normal
z	off
pri	on
opačný	opposite
pôvodný	original
iný	other
vlastný	own
rovnobežný	parallel
osobitný	particular
minulý	past
osobný	personal
telesný	physical
politický	political
chudobný	poor
populárny	popular
možný	possible
prítomný	present
predošlý	previous
súkromný	private
pravdepodobný	probable
profesionálny	professional
verejný	public
tichý	quiet
pripravený	ready
nedávny	recent
pravidelný	regular
zodpovedný	responsible
neohybný	rigid
hrubý	rough
guľatý	round
bezpečný	safe
rovnaký	same
druhý	second
tajný	secret
oddelený	separate
vážny	serious
stanovený	set
niekoľko	several
krátky	short
tichý	silent
ľahký	simple
jediný	single
malý	small
hladký	smooth
pevný	solid
riedky	sparse
osobitný	special
špecifický	specific
štvorcový	square
bežný	standard
lepkavý	sticky
rovný	straight
zvláštny	strange
elegantný	stylish
náhly	sudden
sladký	sweet
vysoký	tall
hustý	thick
tenký	thin
tesný	tight
pravdivý	true
škaredý	ugly
pod	under
nezvyčajný	unusual
obvyklý	usual
bežný	usual
odchylný	various
teplý	warm
mokrý	wet
celý	whole
