English	Norwegian
black	svart
brown	brun
gray	grå
orange	orange
pink	rosa
red	rød
violet	fiolett
yellow	gul
couple	par
eight	åtte
eighteen	atten
eighty	åtti
eleven	elleve
forty	førti
four	fire
fourteen	fjorten
million	million
nine	ni
nineteen	nitten
ninety	nitti
nothing	intet
one	ett
seven	sju
seventy	sytti
six	seks
sixteen	seksten
sixty	seksti
ten	ti
third	tredje
thirteen	tretten
thousand	1000
three	tre
arm	arm
beak	nebb
blood	blod
body	kropp
bone	knokkel
brain	hjerne
breath	ånde
cell	celle
chest	bryst
chin	hake
ear	øre
eye	øye
face	fjes
finger	finger
foot	fot
forehead	panne
gene	gen
hair	hår
hand	hånd
head	hode
heart	hjerte
knee	kne
leg	bein
lip	leppe
mouth	munn
muscle	muskel
nail	negl
neck	hals
nerve	nerve
nose	nese
skin	hud
stomach	magesekk
tail	hale
throat	strupe
thumb	tommelfinger
toe	tå
tongue	tunge
tooth	tann
ant	maur
bear	bjørnefamilien
bee	bie
bird	fugl
cat	katte
cow	ku
dog	hund
elephant	elefant
fish	fisk
fly	flue
goat	geit
horse	hest
insect	insekt
lion	løve
monkey	apekatt
pig	svin
sheep	sau
snake	slange
afternoon	ettermiddag
age	alder
April	april
August	August
autumn	høst
beginning	begynnelse
century	århundre
date	dato
day	dag
December	desember
end	slutt
evening	kveld
February	februar
Friday	fredag
future	fremtid
hour	time
January	januar
July	juli
June	juni
May	mai
midnight	midnatt
minute	minutt
moment	øyeblikk
moment	øyeblikk
Monday	mandag
month	måned
morning	formiddag
night	natt
November	november
now	nå
October	oktober
past	fortid
pause	pause
period	periode
present	i dag
Saturday	Lørdag
season	sesong
second	sekund
September	september
spring	vår
summer	sommer
Sunday	Søndag
Thursday	Torsdag
Tuesday	Tirsdag
Wednesday	Onsdag
week	ukedager
weekend	helg
while	stund
winter	vinter
year	år
bread	brød
breakfast	frokost
butter	smør
cake	kake
cheese	ost
chocolate	sjokolade
egg	egg
food	mat
fruit	frukt
lunch	lunsj
meal	måltid
