English	Swedish
black	svart
blue	blå
brown	brun
gray	grå
green	omogen
orange	orange
pink	skärt
red	rött
violet	violett
white	vit
yellow	gul
couple	par
eight	åtta
eighteen	arton
eighty	åttio
eleven	elva
fifteen	femton
fifty	femtio
five	fem
forty	fyrtio
four	fyra
fourteen	fjorton
million	miljon
nine	nio
nineteen	nitton
ninety	nittio
nothing	noll
one	en
seven	sju
seventy	sjutio
six	sex
sixteen	sexton
sixty	sextio
ten	tio
third	tredje
thirteen	tretton
thirty	trettio
thousand	tusen
thousand	tusen
three	tre
twenty	tjugo
arm	arm
back	rygg
beak	näbb
blood	blod
body	kropp
bone	ben
brain	hjärna
breath	andedräkt
cell	cell
chest	bröst
chest	bröst
chin	haka
ear	öra
eye	öga
face	ansikte
finger	finger
foot	fot
forehead	panna
gene	gen
hair	hår
hand	hand
head	huvud
heart	hjärta
knee	knä
leg	ben
lip	läpp
mouth	mun
muscle	muskel
nail	nagel
neck	hals
nerve	nerv
nose	näsa
skin	hud
stomach	mage
tail	svans
throat	hals
thumb	tumme
toe	tå
tongue	tunga
tooth	tand
wing	vinge
ant	myra
bear	björn
bee	bi
bird	fågel
cat	katt
cow	ko
dog	hund
elephant	elefant
fish	fisk
fly	fluga
goat	get
horse	häst
insect	insekt
lion	lejon
monkey	apa
pig	svin
sheep	får
snake	orm
afternoon	eftermiddag
age	ålder
April	April
August	augusti
autumn	höst
beginning	början
century	sekel
date	datum
day	dag
December	December
evening	afton
February	Februari
Friday	Fredag
future	framtid
hour	timme
January	Januari
July	Juli
June	Juni
May	maj
midnight	midnatt
minute	minut
moment	moment
moment	ögonblick
Monday	Måndag
month	månad
morning	morgon
night	natt
November	November
now	nu
October	Oktober
past	det förflutna
pause	avbrott
period	period
present	nutid
Saturday	Lördag
season	säsong
second	sekund
September	September
spring	vår
summer	sommar
Sunday	Söndag
Thursday	Torsdag
tomorrow	morgondagen
Tuesday	Tisdag
Wednesday	Onsdag
week	vecka
weekend	helg
while	stund
winter	vinter
year	år
bread	bröd
breakfast	frukost
butter	smör
cake	kaka
cheese	ost
chocolate	choklad
egg	ägg
food	mat
fruit	frukt
lunch	lunch
meal	måltider
meat	kött
oil	olja
rice	risgryn
salad	sallad
salt	salt
sandwich	smörgåsen
sauce	sås
soup	soppa
sugar	socker
sweet	sötma
beer	öl
coffee	kaffe
drink	dryck
milk	mjölk
milkshake	milkshake
tea	te
water	vatten
wine	vin
apple	äpple
apricot	aprikos
banana	banan
blackberry	björnbär
cherry	körsbär
lemon	citron
nut	nöt
orange	apelsin
peach	persika
pear	päron
pineapple	ananas
plum	plommon
raspberry	hallon
strawberry	jordgubbe
bean	böna
cabbage	kål
carrot	morot
cucumber	gurka
garlic	vitlök
olive	oliv
onion	lök
parsnip	palsternacka
potato	potatis
radish	rädisa
tomato	tomat
baby	bebis
birth	födsel
birthday	födelsedag
boy	pojke
brother	bror
child	barn
daughter	dotter
death	döden
family	familj
father	far
friend	vän
girl	flicka
grandfather	farfar
human	människa
husband	äkta man
life	liv
man	man
marriage	äktenskap
mother	moder
