English	French
about	autour
above	au-dessus de
again	encore
almost	presque
along	le long de
already	déjà
always	toujours
approximately	approximativement
as	comme
before	devant
before	avant
behind	derrière
between	entre
beyond	passée
by	par
clearly	distinctement
directly	directement
down	bas
early	tôt
either	chaque
enough	assez
even	voire
exactly	exactement
finally	enfin
first	abord
forward	avant
generally	généralement
here	que voici
here	ici
however	cependant
immediately	immédiatement
in	dans
indeed	vraiment
inside	intérieur
instead	au lieu de
late	tard
later	ensuite
least	le moins
little	peu
merely	juste
never	jamais
not	non
now	actuellement
obviously	manifestement
often	fréquemment
once	une fois
outside	dehors
particularly	particulièrement
possibly	peut-être
preferably	plutôt
probably	probablement
quickly	vite
really	réellement
really	vraiment
recently	récemment
slowly	lentement
so	ainsi
solely	seul
sometimes	parfois
soon	bientôt
still	encore
such	tel
suddenly	subitement
surely	certainement
then	alors
there	là
therefore	donc
today	hui
together	ensemble
tomorrow	demain
tonight	ce soir
too	aussi
up	haut
usually	normalement
very	très
well	bien
why	pourquoi